, H2O2, TLR, PI3K_only, TNFa, Wnt, JAK-STAT, MAPK_PI3K, VEGF, TGFB, IL-1, MAPK_only
1804,0.0,3.0,7.0,2.0,1.0,8.0,4.0,5.0,10.0,6.0,9.0
1853,4.0,1.0,3.0,2.0,0.0,10.0,5.0,6.0,9.0,7.0,8.0
1902,1.0,3.0,8.0,7.0,0.0,4.0,2.0,5.0,6.0,9.0,10.0
1951,2.0,3.0,5.0,1.0,0.0,8.0,4.0,7.0,6.0,9.0,10.0
2000,5.0,0.0,1.0,2.0,4.0,6.0,3.0,7.0,8.0,9.0,10.0
2049,5.0,0.0,2.0,1.0,3.0,4.0,7.0,6.0,10.0,9.0,8.0
2098,2.0,0.0,1.0,4.0,6.0,5.0,9.0,3.0,10.0,8.0,7.0
2147,1.0,0.0,3.0,2.0,6.0,4.0,5.0,8.0,10.0,9.0,7.0
2196,5.0,6.0,1.0,4.0,3.0,10.0,2.0,0.0,7.0,9.0,8.0
2245,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,10.0,8.0,9.0
2294,0.0,1.0,7.0,2.0,3.0,4.0,9.0,5.0,8.0,10.0,6.0
2343,2.0,1.0,0.0,4.0,3.0,7.0,6.0,5.0,8.0,10.0,9.0
2392,4.0,0.0,2.0,3.0,8.0,1.0,6.0,5.0,7.0,9.0,10.0
2441,2.0,1.0,0.0,6.0,3.0,5.0,9.0,7.0,8.0,10.0,4.0
2490,2.0,1.0,0.0,3.0,7.0,6.0,5.0,4.0,9.0,10.0,8.0
2539,0.0,1.0,6.0,5.0,3.0,4.0,2.0,8.0,10.0,9.0,7.0
2588,7.0,2.0,3.0,6.0,0.0,4.0,5.0,1.0,10.0,9.0,8.0
2637,1.0,3.0,7.0,0.0,5.0,4.0,2.0,8.0,6.0,10.0,9.0
2686,0.0,1.0,7.0,3.0,2.0,4.0,5.0,6.0,9.0,10.0,8.0
2735,0.0,1.0,2.0,3.0,4.0,7.0,6.0,5.0,8.0,9.0,10.0
2784,1.0,0.0,7.0,8.0,2.0,5.0,4.0,3.0,9.0,10.0,6.0
2833,0.0,3.0,8.0,1.0,5.0,6.0,4.0,2.0,7.0,10.0,9.0
2882,2.0,0.0,8.0,5.0,1.0,6.0,3.0,4.0,7.0,9.0,10.0
2931,1.0,0.0,7.0,5.0,6.0,4.0,3.0,2.0,8.0,9.0,10.0
2980,0.0,2.0,3.0,7.0,5.0,6.0,4.0,1.0,8.0,9.0,10.0
3029,0.0,5.0,3.0,1.0,2.0,7.0,4.0,9.0,6.0,10.0,8.0
3078,0.0,1.0,8.0,6.0,5.0,7.0,3.0,2.0,10.0,9.0,4.0
3127,1.0,0.0,3.0,4.0,6.0,7.0,2.0,8.0,9.0,5.0,10.0
3176,5.0,1.0,4.0,0.0,6.0,2.0,3.0,9.0,7.0,8.0,10.0
3225,4.0,2.0,5.0,1.0,0.0,9.0,3.0,7.0,6.0,10.0,8.0
3274,4.0,2.0,0.0,3.0,6.0,8.0,1.0,9.0,10.0,7.0,5.0
3323,4.0,2.0,5.0,0.0,1.0,6.0,8.0,10.0,7.0,9.0,3.0
3372,8.0,0.0,2.0,1.0,5.0,4.0,7.0,3.0,6.0,9.0,10.0
3421,0.0,3.0,4.0,1.0,2.0,7.0,6.0,5.0,10.0,8.0,9.0
3470,0.0,8.0,3.0,10.0,1.0,6.0,2.0,5.0,7.0,9.0,4.0
3519,0.0,1.0,3.0,6.0,4.0,2.0,5.0,9.0,7.0,10.0,8.0
3568,0.0,4.0,1.0,10.0,3.0,5.0,2.0,8.0,6.0,7.0,9.0
3617,2.0,4.0,0.0,7.0,3.0,1.0,5.0,9.0,8.0,10.0,6.0
3666,0.0,5.0,4.0,2.0,1.0,6.0,3.0,10.0,7.0,9.0,8.0
3715,1.0,3.0,2.0,9.0,0.0,5.0,6.0,8.0,7.0,10.0,4.0
3764,1.0,7.0,0.0,3.0,2.0,4.0,5.0,6.0,8.0,10.0,9.0
3813,3.0,6.0,0.0,5.0,1.0,7.0,2.0,8.0,4.0,10.0,9.0
3862,0.0,7.0,4.0,3.0,6.0,2.0,5.0,1.0,9.0,10.0,8.0
3911,7.0,6.0,0.0,1.0,5.0,4.0,2.0,8.0,3.0,9.0,10.0
3960,2.0,0.0,4.0,1.0,8.0,5.0,3.0,10.0,6.0,7.0,9.0
4009,1.0,2.0,0.0,3.0,7.0,4.0,6.0,5.0,9.0,8.0,10.0
4058,0.0,2.0,3.0,1.0,6.0,5.0,9.0,8.0,7.0,10.0,4.0
4107,1.0,2.0,7.0,0.0,9.0,6.0,3.0,4.0,5.0,8.0,10.0
4156,1.0,3.0,2.0,0.0,6.0,5.0,8.0,4.0,10.0,7.0,9.0
4205,0.0,1.0,6.0,2.0,8.0,5.0,10.0,4.0,7.0,3.0,9.0
4254,3.0,1.0,4.0,0.0,6.0,2.0,8.0,5.0,7.0,9.0,10.0
4303,0.0,6.0,4.0,1.0,3.0,2.0,10.0,8.0,7.0,5.0,9.0
4352,1.0,2.0,3.0,0.0,8.0,5.0,10.0,7.0,4.0,6.0,9.0
4401,1.0,0.0,2.0,5.0,10.0,8.0,4.0,3.0,7.0,6.0,9.0
4450,3.0,2.0,6.0,4.0,0.0,7.0,1.0,8.0,5.0,9.0,10.0
4499,1.0,2.0,4.0,3.0,0.0,7.0,6.0,8.0,5.0,9.0,10.0
4548,3.0,1.0,2.0,0.0,4.0,6.0,8.0,9.0,5.0,10.0,7.0
4597,0.0,5.0,3.0,2.0,4.0,6.0,7.0,1.0,10.0,9.0,8.0
4646,1.0,4.0,5.0,6.0,0.0,3.0,2.0,10.0,9.0,8.0,7.0
4695,1.0,5.0,3.0,2.0,0.0,7.0,6.0,8.0,4.0,9.0,10.0
4744,0.0,1.0,3.0,4.0,2.0,6.0,7.0,5.0,8.0,10.0,9.0
4793,1.0,3.0,6.0,2.0,5.0,0.0,8.0,4.0,9.0,10.0,7.0
4842,3.0,2.0,1.0,6.0,0.0,5.0,4.0,9.0,8.0,10.0,7.0
4891,1.0,6.0,5.0,2.0,0.0,4.0,8.0,3.0,7.0,10.0,9.0
