,hsa-miR-579,hsa-miR-223,hsa-miR-142-5p,hsa-miR-519e,hsa-miR-558,hsa-miR-1975,hsa-miR-34a,hsa-miR-605,hsa-miR-302d,hsa-miR-133b,hsa-miR-513a-5p,hsa-miR-592,hsa-miR-520c-3p,hsa-miR-9,hsa-miR-1297,hsa-miR-526b,hsa-miR-424,hsa-let-7e,hsa-miR-571,hsa-miR-222,hsa-miR-614,hsa-miR-545,hsa-miR-708,hsa-miR-197,hsa-miR-484,hsa-miR-1287,hsa-miR-1978,hsa-miR-155,hsa-miR-33b,ebv-miR-BART5
1194,1.0,5.0,2.0,19.0,35.0,6.0,0.0,161.0,57.0,175.0,29.0,21.0,13.0,7.0,115.0,99.0,413.0,188.0,296.0,33.0,87.0,143.0,239.0,150.0,113.0,81.0,212.0,65.0,62.0,333.0
1243,2.0,0.0,62.0,15.0,115.0,5.0,3.0,41.0,501.0,363.0,12.0,65.0,395.0,1.0,16.0,442.0,144.0,378.0,11.0,20.0,105.0,28.0,61.0,14.0,19.0,214.0,22.0,66.0,118.0,53.0
1292,1.0,3.0,25.0,29.0,154.0,7.0,0.0,58.0,41.0,308.0,5.0,2.0,13.0,77.0,27.0,50.0,427.0,64.0,62.0,53.0,367.0,176.0,9.0,18.0,87.0,530.0,80.0,47.0,160.0,28.0
1341,1.0,10.0,39.0,4.0,291.0,0.0,27.0,139.0,186.0,458.0,5.0,101.0,7.0,25.0,6.0,23.0,193.0,104.0,185.0,399.0,105.0,49.0,95.0,67.0,2.0,57.0,410.0,384.0,28.0,152.0
1390,4.0,35.0,17.0,12.0,53.0,0.0,1.0,80.0,348.0,57.0,3.0,92.0,494.0,5.0,34.0,340.0,192.0,20.0,234.0,490.0,380.0,8.0,120.0,51.0,542.0,79.0,189.0,274.0,197.0,117.0
1439,0.0,3.0,4.0,8.0,90.0,15.0,53.0,235.0,29.0,24.0,1.0,121.0,102.0,172.0,11.0,13.0,454.0,114.0,22.0,143.0,120.0,207.0,200.0,148.0,38.0,185.0,285.0,95.0,315.0,25.0
1488,4.0,1.0,5.0,45.0,42.0,11.0,103.0,58.0,0.0,133.0,15.0,8.0,277.0,30.0,31.0,16.0,32.0,72.0,6.0,125.0,101.0,2.0,17.0,124.0,102.0,114.0,20.0,175.0,74.0,169.0
1537,1.0,0.0,6.0,16.0,19.0,78.0,28.0,31.0,2.0,14.0,144.0,27.0,54.0,15.0,190.0,62.0,71.0,4.0,9.0,45.0,8.0,88.0,13.0,20.0,256.0,112.0,42.0,110.0,10.0,5.0
1586,0.0,1.0,19.0,13.0,10.0,131.0,77.0,17.0,120.0,28.0,53.0,47.0,59.0,37.0,84.0,46.0,70.0,50.0,18.0,65.0,8.0,32.0,15.0,429.0,43.0,220.0,5.0,111.0,75.0,4.0
1635,0.0,5.0,12.0,6.0,180.0,57.0,60.0,17.0,22.0,116.0,8.0,51.0,284.0,1.0,192.0,31.0,79.0,59.0,23.0,127.0,215.0,27.0,110.0,254.0,322.0,11.0,3.0,153.0,2.0,361.0
1684,2.0,60.0,26.0,8.0,1.0,4.0,49.0,62.0,5.0,35.0,152.0,0.0,301.0,28.0,155.0,113.0,50.0,97.0,29.0,159.0,129.0,9.0,13.0,200.0,32.0,53.0,6.0,48.0,82.0,17.0
1733,0.0,1.0,2.0,56.0,15.0,34.0,54.0,6.0,26.0,123.0,5.0,12.0,78.0,7.0,22.0,28.0,114.0,64.0,4.0,95.0,85.0,17.0,20.0,3.0,11.0,65.0,113.0,341.0,21.0,23.0
1782,1.0,3.0,4.0,5.0,66.0,7.0,2.0,16.0,17.0,134.0,62.0,0.0,57.0,44.0,19.0,15.0,54.0,42.0,25.0,76.0,213.0,79.0,22.0,74.0,48.0,87.0,33.0,109.0,43.0,313.0
1831,0.0,14.0,7.0,1.0,21.0,5.0,77.0,192.0,15.0,75.0,82.0,17.0,168.0,55.0,174.0,2.0,29.0,107.0,157.0,65.0,35.0,26.0,38.0,39.0,8.0,78.0,4.0,349.0,3.0,83.0
1880,2.0,8.0,1.0,12.0,9.0,44.0,31.0,28.0,7.0,62.0,49.0,21.0,199.0,14.0,37.0,233.0,103.0,0.0,19.0,264.0,242.0,15.0,88.0,13.0,69.0,70.0,10.0,73.0,40.0,39.0
1929,10.0,2.0,13.0,72.0,18.0,5.0,139.0,30.0,3.0,54.0,119.0,9.0,448.0,0.0,44.0,6.0,33.0,1.0,149.0,88.0,244.0,22.0,16.0,362.0,66.0,304.0,4.0,7.0,43.0,21.0
1978,5.0,80.0,71.0,93.0,22.0,2.0,62.0,8.0,10.0,12.0,21.0,75.0,3.0,35.0,463.0,122.0,392.0,316.0,187.0,142.0,105.0,49.0,48.0,23.0,196.0,377.0,165.0,9.0,91.0,378.0
2027,0.0,23.0,398.0,14.0,2.0,25.0,1.0,5.0,15.0,167.0,279.0,45.0,196.0,50.0,104.0,55.0,24.0,72.0,102.0,218.0,209.0,70.0,40.0,19.0,121.0,364.0,353.0,123.0,179.0,556.0
2076,0.0,11.0,33.0,13.0,306.0,116.0,2.0,9.0,1.0,18.0,10.0,216.0,6.0,181.0,43.0,145.0,368.0,608.0,52.0,481.0,131.0,8.0,29.0,21.0,68.0,552.0,478.0,3.0,96.0,47.0
2125,5.0,99.0,76.0,3.0,11.0,98.0,37.0,20.0,2.0,409.0,34.0,1.0,63.0,4.0,38.0,15.0,190.0,566.0,0.0,14.0,219.0,267.0,30.0,9.0,12.0,203.0,404.0,124.0,109.0,145.0
2174,0.0,4.0,9.0,34.0,3.0,10.0,29.0,38.0,2.0,1.0,18.0,57.0,13.0,24.0,378.0,49.0,19.0,122.0,7.0,146.0,245.0,141.0,54.0,93.0,291.0,170.0,211.0,5.0,112.0,271.0
2223,18.0,10.0,41.0,246.0,34.0,98.0,23.0,7.0,43.0,173.0,47.0,22.0,1.0,66.0,30.0,56.0,45.0,17.0,272.0,93.0,20.0,94.0,63.0,31.0,2.0,493.0,26.0,19.0,12.0,527.0
2272,0.0,72.0,134.0,31.0,68.0,1.0,140.0,2.0,3.0,77.0,318.0,10.0,5.0,100.0,233.0,70.0,106.0,110.0,189.0,101.0,9.0,91.0,18.0,184.0,85.0,264.0,92.0,267.0,220.0,301.0
2321,10.0,0.0,13.0,280.0,4.0,3.0,61.0,1.0,2.0,30.0,7.0,8.0,21.0,67.0,23.0,18.0,59.0,88.0,461.0,22.0,403.0,19.0,230.0,26.0,191.0,253.0,113.0,9.0,33.0,60.0
2370,0.0,50.0,32.0,14.0,2.0,71.0,1.0,42.0,344.0,92.0,11.0,468.0,16.0,494.0,268.0,96.0,182.0,10.0,4.0,26.0,159.0,36.0,8.0,52.0,23.0,597.0,426.0,328.0,239.0,376.0
2419,1.0,44.0,27.0,288.0,4.0,0.0,312.0,13.0,24.0,71.0,54.0,5.0,10.0,67.0,49.0,205.0,116.0,335.0,9.0,38.0,19.0,407.0,6.0,538.0,496.0,18.0,154.0,2.0,63.0,160.0
2468,3.0,185.0,4.0,0.0,7.0,55.0,5.0,47.0,39.0,13.0,95.0,49.0,284.0,45.0,98.0,26.0,10.0,15.0,490.0,29.0,42.0,20.0,351.0,300.0,9.0,23.0,255.0,2.0,168.0,292.0
2517,0.0,87.0,20.0,15.0,45.0,40.0,3.0,16.0,7.0,13.0,209.0,279.0,539.0,4.0,47.0,46.0,9.0,141.0,165.0,71.0,21.0,14.0,30.0,75.0,219.0,43.0,54.0,2.0,508.0,198.0
2566,0.0,35.0,1.0,8.0,31.0,94.0,2.0,13.0,12.0,10.0,16.0,5.0,114.0,66.0,53.0,15.0,6.0,242.0,27.0,30.0,7.0,154.0,123.0,56.0,77.0,25.0,37.0,69.0,4.0,148.0
2615,0.0,4.0,1.0,5.0,6.0,136.0,3.0,9.0,25.0,2.0,396.0,28.0,121.0,351.0,45.0,48.0,11.0,22.0,54.0,39.0,29.0,26.0,239.0,66.0,209.0,84.0,72.0,37.0,44.0,50.0
2664,0.0,65.0,3.0,8.0,6.0,181.0,4.0,13.0,159.0,1.0,19.0,14.0,86.0,254.0,67.0,45.0,16.0,185.0,234.0,68.0,22.0,46.0,277.0,604.0,428.0,75.0,32.0,9.0,2.0,201.0
2713,0.0,266.0,7.0,1.0,11.0,68.0,13.0,59.0,45.0,16.0,9.0,161.0,22.0,183.0,17.0,62.0,4.0,289.0,2.0,126.0,152.0,26.0,52.0,109.0,14.0,65.0,121.0,182.0,49.0,427.0
2762,0.0,50.0,2.0,1.0,119.0,269.0,5.0,6.0,34.0,16.0,57.0,199.0,223.0,7.0,103.0,4.0,10.0,105.0,46.0,8.0,15.0,60.0,115.0,515.0,117.0,39.0,18.0,41.0,142.0,11.0
2811,0.0,20.0,4.0,46.0,7.0,21.0,2.0,22.0,9.0,14.0,264.0,34.0,126.0,19.0,29.0,13.0,10.0,58.0,61.0,93.0,28.0,32.0,44.0,336.0,38.0,30.0,63.0,118.0,71.0,49.0
2860,0.0,124.0,3.0,21.0,12.0,140.0,4.0,379.0,74.0,56.0,5.0,49.0,164.0,9.0,16.0,1.0,33.0,330.0,109.0,47.0,163.0,63.0,77.0,93.0,11.0,30.0,26.0,66.0,13.0,64.0
2909,0.0,36.0,42.0,1.0,48.0,32.0,8.0,52.0,29.0,18.0,40.0,12.0,318.0,19.0,33.0,6.0,27.0,34.0,25.0,28.0,7.0,58.0,72.0,271.0,14.0,97.0,9.0,261.0,5.0,88.0
2958,0.0,24.0,7.0,9.0,5.0,58.0,6.0,100.0,11.0,65.0,2.0,50.0,73.0,3.0,1.0,87.0,121.0,321.0,14.0,8.0,13.0,33.0,27.0,17.0,64.0,82.0,81.0,29.0,200.0,57.0
3007,0.0,29.0,6.0,5.0,2.0,121.0,56.0,3.0,242.0,4.0,15.0,22.0,140.0,218.0,14.0,21.0,67.0,37.0,133.0,369.0,1.0,49.0,216.0,8.0,405.0,433.0,20.0,58.0,200.0,31.0
3056,0.0,14.0,3.0,245.0,57.0,13.0,77.0,27.0,25.0,1.0,7.0,179.0,125.0,17.0,37.0,29.0,391.0,8.0,97.0,220.0,12.0,60.0,208.0,18.0,91.0,465.0,67.0,26.0,45.0,108.0
3105,0.0,33.0,5.0,11.0,131.0,1.0,2.0,19.0,22.0,65.0,47.0,311.0,78.0,283.0,21.0,38.0,140.0,6.0,95.0,67.0,10.0,23.0,39.0,26.0,32.0,163.0,8.0,86.0,211.0,13.0
3154,2.0,22.0,96.0,14.0,10.0,9.0,4.0,18.0,3.0,8.0,6.0,5.0,42.0,20.0,80.0,1.0,46.0,28.0,200.0,19.0,0.0,13.0,75.0,7.0,88.0,179.0,34.0,163.0,48.0,25.0
3203,0.0,13.0,1.0,3.0,20.0,22.0,51.0,14.0,45.0,6.0,28.0,111.0,73.0,15.0,33.0,19.0,42.0,5.0,141.0,57.0,36.0,67.0,237.0,460.0,166.0,56.0,27.0,9.0,304.0,8.0
3252,0.0,49.0,6.0,284.0,54.0,46.0,1.0,119.0,113.0,96.0,26.0,133.0,20.0,4.0,5.0,50.0,277.0,28.0,106.0,7.0,2.0,87.0,32.0,12.0,3.0,9.0,626.0,10.0,212.0,169.0
3301,0.0,12.0,411.0,10.0,191.0,30.0,1.0,5.0,4.0,2.0,59.0,284.0,97.0,7.0,11.0,14.0,51.0,49.0,124.0,312.0,44.0,101.0,52.0,306.0,112.0,34.0,93.0,178.0,195.0,45.0
3350,1.0,0.0,3.0,9.0,10.0,45.0,59.0,48.0,88.0,2.0,152.0,11.0,131.0,128.0,6.0,473.0,142.0,98.0,16.0,82.0,40.0,34.0,108.0,23.0,220.0,37.0,397.0,27.0,431.0,14.0
3399,0.0,25.0,39.0,17.0,7.0,20.0,18.0,10.0,11.0,12.0,114.0,155.0,8.0,33.0,5.0,138.0,331.0,30.0,52.0,16.0,2.0,26.0,77.0,1.0,88.0,27.0,70.0,86.0,233.0,130.0
3448,0.0,2.0,5.0,135.0,90.0,214.0,3.0,552.0,176.0,23.0,4.0,171.0,13.0,46.0,63.0,19.0,37.0,1.0,234.0,57.0,55.0,27.0,138.0,227.0,242.0,60.0,237.0,17.0,108.0,9.0
3497,2.0,4.0,7.0,5.0,130.0,19.0,543.0,127.0,36.0,79.0,1.0,21.0,10.0,17.0,39.0,376.0,8.0,0.0,265.0,203.0,59.0,148.0,216.0,13.0,47.0,67.0,9.0,16.0,37.0,428.0
3546,0.0,21.0,101.0,6.0,8.0,61.0,151.0,2.0,12.0,112.0,26.0,68.0,35.0,91.0,23.0,262.0,115.0,1.0,24.0,209.0,20.0,347.0,95.0,156.0,386.0,60.0,277.0,183.0,45.0,5.0
3595,0.0,5.0,202.0,1.0,14.0,113.0,13.0,40.0,29.0,7.0,4.0,12.0,28.0,6.0,125.0,148.0,79.0,2.0,165.0,109.0,9.0,628.0,32.0,238.0,375.0,189.0,276.0,246.0,303.0,3.0
3644,0.0,2.0,13.0,1.0,28.0,99.0,137.0,21.0,26.0,17.0,30.0,5.0,176.0,22.0,47.0,64.0,42.0,4.0,297.0,14.0,6.0,394.0,214.0,15.0,29.0,16.0,324.0,95.0,25.0,7.0
3693,0.0,1.0,342.0,11.0,2.0,15.0,20.0,246.0,156.0,78.0,8.0,31.0,5.0,9.0,83.0,286.0,59.0,13.0,336.0,56.0,116.0,315.0,186.0,224.0,75.0,129.0,209.0,86.0,58.0,6.0
3742,1.0,0.0,6.0,7.0,3.0,24.0,129.0,23.0,9.0,5.0,75.0,76.0,124.0,51.0,16.0,37.0,229.0,12.0,22.0,2.0,376.0,107.0,126.0,33.0,31.0,135.0,10.0,414.0,406.0,91.0
3791,1.0,5.0,6.0,2.0,60.0,99.0,57.0,66.0,14.0,19.0,3.0,36.0,4.0,182.0,24.0,30.0,184.0,0.0,103.0,49.0,12.0,46.0,272.0,76.0,9.0,223.0,472.0,150.0,303.0,8.0
3840,0.0,1.0,4.0,3.0,5.0,24.0,38.0,8.0,27.0,32.0,6.0,16.0,7.0,17.0,133.0,30.0,12.0,2.0,10.0,231.0,14.0,19.0,18.0,362.0,198.0,77.0,408.0,123.0,37.0,22.0
3889,1.0,2.0,6.0,3.0,142.0,0.0,76.0,29.0,39.0,37.0,26.0,36.0,8.0,56.0,7.0,102.0,42.0,11.0,127.0,156.0,31.0,30.0,4.0,79.0,454.0,43.0,268.0,10.0,271.0,12.0
3938,1.0,0.0,7.0,25.0,8.0,2.0,26.0,59.0,4.0,15.0,293.0,3.0,23.0,529.0,46.0,22.0,5.0,96.0,243.0,181.0,17.0,330.0,66.0,221.0,407.0,124.0,489.0,165.0,94.0,92.0
3987,0.0,5.0,193.0,83.0,9.0,2.0,233.0,1.0,8.0,24.0,4.0,278.0,28.0,115.0,91.0,164.0,25.0,123.0,6.0,105.0,31.0,60.0,56.0,29.0,37.0,39.0,73.0,3.0,535.0,10.0
4036,0.0,1.0,5.0,6.0,19.0,16.0,24.0,246.0,17.0,264.0,4.0,18.0,3.0,74.0,359.0,7.0,2.0,50.0,39.0,26.0,131.0,44.0,161.0,234.0,9.0,8.0,156.0,150.0,58.0,82.0
4085,3.0,0.0,2.0,89.0,20.0,1.0,133.0,12.0,11.0,9.0,103.0,7.0,38.0,108.0,131.0,244.0,315.0,166.0,189.0,34.0,17.0,438.0,40.0,91.0,5.0,78.0,19.0,74.0,68.0,165.0
4134,1.0,0.0,6.0,4.0,23.0,18.0,350.0,5.0,50.0,42.0,69.0,11.0,8.0,110.0,293.0,81.0,64.0,21.0,2.0,67.0,19.0,119.0,43.0,151.0,161.0,550.0,12.0,59.0,409.0,85.0
4183,0.0,1.0,14.0,4.0,382.0,7.0,10.0,22.0,11.0,57.0,45.0,98.0,8.0,198.0,39.0,2.0,61.0,494.0,3.0,25.0,83.0,107.0,606.0,5.0,100.0,274.0,295.0,29.0,26.0,44.0
4232,1.0,2.0,40.0,72.0,27.0,0.0,17.0,11.0,12.0,6.0,9.0,73.0,50.0,128.0,8.0,22.0,5.0,60.0,41.0,37.0,261.0,20.0,55.0,429.0,26.0,136.0,111.0,68.0,30.0,293.0
4281,2.0,0.0,95.0,18.0,124.0,1.0,4.0,3.0,5.0,6.0,36.0,88.0,14.0,58.0,149.0,409.0,13.0,30.0,203.0,75.0,220.0,370.0,89.0,137.0,302.0,498.0,111.0,368.0,121.0,375.0
4330,1.0,0.0,2.0,35.0,3.0,5.0,108.0,6.0,79.0,17.0,240.0,49.0,14.0,18.0,568.0,103.0,25.0,239.0,181.0,199.0,384.0,116.0,413.0,359.0,72.0,50.0,4.0,11.0,314.0,61.0
4379,1.0,0.0,3.0,6.0,55.0,16.0,244.0,2.0,210.0,89.0,267.0,10.0,12.0,35.0,14.0,521.0,4.0,31.0,17.0,52.0,5.0,355.0,559.0,382.0,117.0,442.0,146.0,98.0,259.0,271.0
4428,2.0,4.0,1.0,162.0,44.0,43.0,13.0,5.0,33.0,0.0,200.0,6.0,10.0,281.0,461.0,227.0,96.0,8.0,371.0,105.0,142.0,548.0,143.0,42.0,34.0,61.0,338.0,266.0,58.0,235.0
4477,5.0,1.0,0.0,9.0,7.0,58.0,8.0,14.0,20.0,2.0,3.0,6.0,147.0,45.0,254.0,48.0,115.0,10.0,49.0,169.0,176.0,353.0,392.0,59.0,55.0,343.0,598.0,87.0,30.0,92.0
4526,0.0,1.0,2.0,165.0,13.0,14.0,113.0,16.0,65.0,4.0,24.0,357.0,7.0,290.0,132.0,226.0,99.0,3.0,41.0,130.0,304.0,125.0,38.0,21.0,249.0,52.0,22.0,20.0,587.0,618.0
4575,2.0,1.0,0.0,23.0,122.0,80.0,487.0,39.0,3.0,65.0,21.0,24.0,9.0,197.0,171.0,14.0,131.0,4.0,132.0,41.0,77.0,11.0,12.0,5.0,10.0,15.0,18.0,325.0,63.0,91.0
4624,3.0,5.0,0.0,7.0,27.0,18.0,46.0,4.0,51.0,42.0,158.0,44.0,8.0,33.0,385.0,163.0,167.0,10.0,38.0,257.0,98.0,594.0,63.0,79.0,457.0,249.0,37.0,134.0,59.0,34.0
4673,5.0,1.0,0.0,105.0,165.0,8.0,56.0,28.0,83.0,17.0,25.0,30.0,7.0,98.0,262.0,42.0,63.0,59.0,109.0,412.0,53.0,26.0,354.0,16.0,326.0,276.0,13.0,54.0,225.0,269.0
4722,15.0,0.0,1.0,237.0,197.0,24.0,2.0,12.0,3.0,47.0,21.0,31.0,32.0,457.0,123.0,19.0,117.0,8.0,262.0,140.0,14.0,151.0,373.0,160.0,48.0,200.0,20.0,146.0,268.0,110.0
4771,3.0,1.0,0.0,41.0,45.0,15.0,5.0,56.0,117.0,4.0,62.0,155.0,115.0,69.0,132.0,75.0,23.0,9.0,28.0,525.0,58.0,81.0,133.0,2.0,161.0,17.0,182.0,13.0,201.0,446.0
4820,1.0,10.0,0.0,154.0,11.0,370.0,20.0,28.0,264.0,31.0,83.0,2.0,64.0,36.0,352.0,142.0,34.0,14.0,458.0,249.0,123.0,22.0,84.0,24.0,163.0,415.0,4.0,144.0,40.0,578.0
4869,5.0,2.0,0.0,94.0,4.0,34.0,7.0,97.0,191.0,17.0,11.0,60.0,15.0,10.0,306.0,228.0,53.0,8.0,59.0,160.0,43.0,35.0,140.0,58.0,23.0,143.0,13.0,208.0,320.0,601.0
