,XBP1,AMPK_pT172,4E-BP1,Rictor_pT1135,Transglutaminase,RSK1-2-3,IRS1,YAP_pS127,CD49b,A-Raf_pS299,Claudin-7,STAT5-alpha,Chk2,beta-Catenin,alpha-Catenin,NDRG1_pT346,HER3,Bax,PAI-1,E-Cadherin,Bcl-2,C-Raf_pS338,MSH6,C-Raf(BD610151),Akt_pS473,RAD51,C-Raf(MP05-739),Rab25,MDMX_MDM4(BetIHC-00108),PRDX1
490,0.0,4.0,8.0,5.0,23.0,2.0,3.0,1.0,105.0,103.0,19.0,20.0,75.0,13.0,24.0,139.0,7.0,12.0,11.0,22.0,28.0,74.0,81.0,134.0,57.0,68.0,44.0,61.0,9.0,18.0
539,0.0,21.0,8.0,1.0,15.0,6.0,2.0,4.0,18.0,43.0,14.0,45.0,5.0,29.0,10.0,3.0,7.0,97.0,17.0,93.0,118.0,33.0,66.0,31.0,163.0,129.0,9.0,12.0,13.0,56.0
588,0.0,7.0,8.0,6.0,3.0,9.0,2.0,1.0,33.0,32.0,35.0,54.0,43.0,41.0,45.0,26.0,16.0,82.0,81.0,67.0,42.0,57.0,95.0,19.0,150.0,98.0,103.0,53.0,31.0,160.0
637,0.0,2.0,19.0,15.0,4.0,1.0,3.0,32.0,138.0,90.0,104.0,30.0,37.0,17.0,49.0,73.0,31.0,86.0,10.0,20.0,56.0,13.0,130.0,48.0,11.0,26.0,36.0,61.0,9.0,50.0
686,2.0,11.0,6.0,0.0,23.0,1.0,7.0,4.0,14.0,116.0,8.0,44.0,67.0,10.0,18.0,45.0,35.0,28.0,80.0,9.0,50.0,82.0,3.0,124.0,142.0,20.0,5.0,21.0,34.0,41.0
735,0.0,2.0,53.0,20.0,4.0,1.0,10.0,32.0,24.0,55.0,6.0,3.0,7.0,129.0,101.0,17.0,11.0,38.0,31.0,120.0,37.0,58.0,76.0,114.0,86.0,12.0,8.0,47.0,13.0,25.0
784,0.0,1.0,28.0,9.0,11.0,31.0,15.0,5.0,36.0,6.0,46.0,58.0,82.0,52.0,100.0,27.0,4.0,106.0,41.0,20.0,160.0,26.0,76.0,64.0,40.0,45.0,3.0,8.0,21.0,30.0
833,16.0,1.0,2.0,19.0,30.0,4.0,3.0,5.0,7.0,109.0,14.0,6.0,39.0,21.0,22.0,84.0,0.0,66.0,33.0,9.0,64.0,12.0,59.0,36.0,45.0,63.0,15.0,53.0,23.0,32.0
882,0.0,4.0,25.0,43.0,1.0,6.0,16.0,20.0,9.0,10.0,23.0,44.0,3.0,96.0,86.0,62.0,40.0,128.0,22.0,29.0,32.0,15.0,31.0,114.0,91.0,36.0,2.0,39.0,116.0,110.0
931,1.0,0.0,24.0,13.0,23.0,7.0,2.0,4.0,49.0,15.0,26.0,22.0,101.0,33.0,118.0,16.0,20.0,43.0,32.0,31.0,30.0,36.0,109.0,12.0,120.0,91.0,62.0,34.0,3.0,63.0
980,0.0,2.0,10.0,1.0,4.0,3.0,20.0,62.0,93.0,7.0,15.0,24.0,5.0,43.0,83.0,21.0,103.0,12.0,38.0,18.0,6.0,11.0,68.0,120.0,105.0,37.0,116.0,32.0,87.0,19.0
1029,1.0,9.0,4.0,0.0,3.0,14.0,92.0,24.0,46.0,8.0,2.0,6.0,5.0,18.0,21.0,13.0,148.0,44.0,73.0,20.0,26.0,22.0,30.0,11.0,28.0,32.0,62.0,15.0,10.0,23.0
1078,0.0,1.0,2.0,3.0,6.0,31.0,19.0,44.0,7.0,43.0,10.0,16.0,4.0,58.0,9.0,5.0,39.0,14.0,46.0,113.0,35.0,117.0,77.0,37.0,21.0,55.0,50.0,12.0,24.0,22.0
1127,0.0,1.0,5.0,10.0,13.0,15.0,17.0,11.0,25.0,4.0,9.0,22.0,3.0,16.0,2.0,26.0,23.0,20.0,102.0,8.0,7.0,19.0,36.0,55.0,83.0,32.0,82.0,34.0,24.0,38.0
1176,1.0,21.0,0.0,2.0,11.0,20.0,6.0,112.0,35.0,5.0,69.0,8.0,7.0,27.0,26.0,3.0,31.0,30.0,49.0,43.0,13.0,15.0,18.0,14.0,12.0,78.0,84.0,56.0,53.0,42.0
1225,4.0,7.0,2.0,6.0,16.0,3.0,26.0,15.0,21.0,10.0,12.0,0.0,8.0,5.0,14.0,11.0,79.0,33.0,27.0,22.0,134.0,13.0,80.0,31.0,9.0,20.0,38.0,18.0,1.0,104.0
1274,0.0,1.0,14.0,6.0,21.0,22.0,2.0,5.0,65.0,19.0,18.0,7.0,3.0,10.0,8.0,37.0,45.0,13.0,98.0,35.0,15.0,54.0,56.0,60.0,82.0,111.0,30.0,33.0,4.0,44.0
1323,0.0,1.0,22.0,7.0,2.0,17.0,4.0,6.0,15.0,8.0,11.0,3.0,5.0,13.0,30.0,102.0,80.0,68.0,23.0,16.0,38.0,112.0,49.0,10.0,78.0,28.0,18.0,77.0,37.0,40.0
1372,0.0,1.0,4.0,6.0,9.0,12.0,25.0,43.0,5.0,3.0,2.0,11.0,13.0,33.0,53.0,37.0,36.0,78.0,151.0,14.0,99.0,51.0,63.0,82.0,20.0,45.0,68.0,35.0,22.0,109.0
1421,0.0,5.0,2.0,8.0,13.0,18.0,6.0,92.0,93.0,23.0,15.0,25.0,1.0,9.0,38.0,7.0,27.0,78.0,86.0,4.0,102.0,29.0,56.0,47.0,70.0,20.0,90.0,22.0,30.0,14.0
1470,0.0,1.0,5.0,8.0,2.0,25.0,6.0,7.0,23.0,12.0,24.0,10.0,66.0,9.0,18.0,13.0,4.0,11.0,69.0,41.0,45.0,44.0,55.0,3.0,94.0,46.0,47.0,74.0,101.0,53.0
1519,0.0,1.0,44.0,2.0,11.0,39.0,4.0,12.0,22.0,3.0,6.0,37.0,18.0,9.0,7.0,21.0,8.0,5.0,36.0,16.0,15.0,42.0,53.0,154.0,27.0,62.0,17.0,63.0,28.0,26.0
1568,0.0,1.0,15.0,2.0,95.0,24.0,3.0,94.0,9.0,7.0,23.0,6.0,29.0,22.0,68.0,25.0,26.0,43.0,35.0,19.0,28.0,4.0,33.0,14.0,151.0,11.0,18.0,12.0,44.0,38.0
1617,2.0,14.0,1.0,15.0,8.0,31.0,3.0,30.0,7.0,4.0,16.0,37.0,20.0,18.0,17.0,21.0,27.0,0.0,40.0,22.0,25.0,86.0,38.0,35.0,50.0,34.0,32.0,94.0,11.0,10.0
1666,2.0,1.0,40.0,6.0,99.0,11.0,32.0,9.0,23.0,27.0,38.0,31.0,8.0,35.0,42.0,46.0,0.0,3.0,55.0,41.0,15.0,26.0,36.0,7.0,21.0,18.0,30.0,118.0,22.0,4.0
1715,2.0,3.0,0.0,1.0,77.0,21.0,4.0,62.0,65.0,104.0,86.0,26.0,20.0,18.0,16.0,5.0,14.0,7.0,10.0,89.0,70.0,55.0,6.0,58.0,8.0,11.0,44.0,119.0,31.0,9.0
1764,0.0,12.0,4.0,1.0,52.0,10.0,14.0,43.0,120.0,7.0,22.0,26.0,5.0,34.0,95.0,3.0,76.0,2.0,30.0,61.0,37.0,96.0,16.0,6.0,20.0,24.0,15.0,73.0,99.0,69.0
1813,1.0,3.0,8.0,9.0,30.0,17.0,40.0,11.0,86.0,4.0,58.0,2.0,98.0,13.0,7.0,10.0,27.0,0.0,33.0,39.0,32.0,41.0,36.0,6.0,24.0,18.0,42.0,120.0,16.0,12.0
1862,0.0,6.0,11.0,2.0,5.0,13.0,8.0,25.0,119.0,30.0,7.0,10.0,31.0,15.0,4.0,1.0,9.0,24.0,22.0,64.0,98.0,29.0,20.0,52.0,94.0,12.0,79.0,18.0,17.0,35.0
1911,1.0,6.0,5.0,3.0,15.0,25.0,49.0,11.0,60.0,28.0,30.0,68.0,22.0,14.0,2.0,7.0,4.0,13.0,21.0,9.0,141.0,26.0,10.0,36.0,12.0,81.0,20.0,54.0,46.0,115.0
1960,0.0,3.0,2.0,57.0,1.0,4.0,10.0,47.0,34.0,11.0,6.0,20.0,82.0,32.0,18.0,17.0,19.0,56.0,28.0,69.0,21.0,58.0,67.0,8.0,7.0,141.0,49.0,13.0,39.0,12.0
2009,0.0,49.0,27.0,32.0,28.0,31.0,6.0,48.0,2.0,12.0,1.0,5.0,50.0,4.0,26.0,11.0,80.0,10.0,21.0,55.0,33.0,46.0,34.0,18.0,7.0,118.0,106.0,13.0,61.0,35.0
2058,0.0,8.0,11.0,13.0,12.0,20.0,5.0,29.0,2.0,77.0,4.0,22.0,105.0,6.0,68.0,3.0,10.0,18.0,9.0,48.0,55.0,15.0,46.0,80.0,1.0,53.0,32.0,34.0,31.0,7.0
2107,0.0,5.0,2.0,54.0,15.0,20.0,3.0,142.0,11.0,9.0,25.0,4.0,79.0,10.0,139.0,7.0,43.0,6.0,24.0,30.0,77.0,33.0,16.0,80.0,1.0,38.0,53.0,62.0,21.0,82.0
2156,0.0,14.0,2.0,30.0,1.0,61.0,10.0,12.0,26.0,22.0,90.0,16.0,66.0,60.0,29.0,28.0,32.0,43.0,18.0,36.0,86.0,87.0,51.0,7.0,5.0,105.0,17.0,40.0,31.0,19.0
2205,0.0,11.0,10.0,5.0,6.0,7.0,1.0,32.0,15.0,12.0,18.0,21.0,108.0,2.0,23.0,17.0,20.0,39.0,87.0,80.0,16.0,64.0,135.0,42.0,4.0,46.0,63.0,148.0,73.0,25.0
2254,0.0,5.0,4.0,106.0,6.0,9.0,10.0,13.0,15.0,18.0,7.0,25.0,63.0,38.0,43.0,2.0,16.0,29.0,24.0,74.0,39.0,147.0,17.0,12.0,1.0,119.0,73.0,23.0,58.0,28.0
2303,0.0,1.0,3.0,36.0,4.0,10.0,2.0,13.0,7.0,18.0,5.0,21.0,25.0,6.0,76.0,42.0,101.0,49.0,23.0,9.0,48.0,58.0,37.0,29.0,24.0,140.0,31.0,45.0,14.0,12.0
2352,0.0,4.0,3.0,9.0,42.0,18.0,2.0,20.0,6.0,24.0,96.0,14.0,19.0,32.0,161.0,5.0,76.0,108.0,27.0,123.0,8.0,33.0,130.0,50.0,1.0,62.0,74.0,49.0,23.0,7.0
2401,0.0,10.0,1.0,39.0,5.0,25.0,2.0,9.0,11.0,8.0,7.0,4.0,22.0,3.0,16.0,26.0,48.0,96.0,73.0,27.0,31.0,30.0,121.0,37.0,12.0,102.0,18.0,23.0,13.0,91.0
2450,1.0,2.0,0.0,4.0,6.0,10.0,22.0,18.0,48.0,17.0,53.0,77.0,12.0,11.0,14.0,45.0,5.0,19.0,50.0,8.0,20.0,90.0,13.0,7.0,63.0,95.0,29.0,9.0,118.0,131.0
2499,3.0,5.0,1.0,0.0,57.0,9.0,8.0,15.0,47.0,4.0,31.0,11.0,40.0,42.0,10.0,54.0,2.0,12.0,39.0,23.0,73.0,17.0,52.0,6.0,51.0,26.0,7.0,21.0,13.0,90.0
2548,0.0,6.0,1.0,3.0,40.0,27.0,7.0,9.0,20.0,10.0,5.0,148.0,15.0,38.0,2.0,23.0,4.0,35.0,28.0,21.0,52.0,120.0,46.0,22.0,12.0,14.0,50.0,13.0,61.0,39.0
2597,3.0,0.0,2.0,1.0,15.0,4.0,94.0,9.0,95.0,8.0,40.0,30.0,42.0,10.0,24.0,17.0,12.0,14.0,5.0,104.0,35.0,18.0,71.0,7.0,29.0,16.0,26.0,121.0,148.0,107.0
2646,1.0,5.0,0.0,9.0,49.0,12.0,7.0,57.0,10.0,3.0,15.0,81.0,63.0,36.0,58.0,16.0,2.0,18.0,6.0,25.0,4.0,19.0,32.0,8.0,33.0,87.0,20.0,23.0,119.0,42.0
2695,1.0,22.0,0.0,2.0,58.0,4.0,7.0,41.0,9.0,11.0,19.0,98.0,18.0,54.0,32.0,24.0,44.0,10.0,3.0,122.0,13.0,85.0,27.0,12.0,16.0,42.0,23.0,26.0,72.0,20.0
2744,2.0,10.0,6.0,3.0,5.0,15.0,0.0,81.0,8.0,35.0,11.0,65.0,13.0,66.0,4.0,21.0,9.0,17.0,25.0,36.0,12.0,22.0,63.0,1.0,68.0,19.0,14.0,27.0,16.0,59.0
2793,0.0,6.0,4.0,15.0,9.0,19.0,3.0,17.0,12.0,1.0,2.0,25.0,18.0,50.0,7.0,51.0,10.0,37.0,8.0,70.0,23.0,29.0,27.0,45.0,114.0,26.0,13.0,20.0,21.0,72.0
2842,0.0,1.0,4.0,3.0,6.0,11.0,16.0,41.0,29.0,2.0,20.0,46.0,10.0,56.0,22.0,45.0,7.0,5.0,76.0,25.0,13.0,14.0,12.0,30.0,28.0,19.0,17.0,8.0,38.0,101.0
2891,0.0,2.0,1.0,22.0,19.0,5.0,27.0,64.0,12.0,15.0,3.0,120.0,82.0,20.0,11.0,33.0,16.0,8.0,17.0,24.0,116.0,59.0,18.0,32.0,42.0,41.0,69.0,9.0,56.0,112.0
2940,0.0,16.0,4.0,8.0,1.0,6.0,33.0,49.0,11.0,86.0,17.0,52.0,2.0,9.0,90.0,112.0,10.0,15.0,3.0,70.0,35.0,12.0,59.0,18.0,38.0,83.0,37.0,69.0,51.0,26.0
2989,2.0,24.0,10.0,4.0,3.0,58.0,15.0,1.0,11.0,22.0,7.0,23.0,0.0,5.0,20.0,32.0,6.0,25.0,28.0,83.0,33.0,12.0,9.0,38.0,29.0,47.0,37.0,66.0,157.0,16.0
3038,0.0,7.0,6.0,15.0,17.0,31.0,14.0,2.0,25.0,19.0,46.0,42.0,8.0,21.0,3.0,32.0,1.0,23.0,57.0,30.0,22.0,9.0,48.0,5.0,12.0,38.0,82.0,85.0,74.0,27.0
3087,0.0,12.0,63.0,73.0,2.0,7.0,11.0,17.0,6.0,54.0,15.0,22.0,4.0,9.0,24.0,121.0,48.0,124.0,69.0,123.0,5.0,1.0,10.0,31.0,37.0,36.0,58.0,138.0,80.0,30.0
3136,0.0,41.0,38.0,6.0,8.0,16.0,27.0,4.0,20.0,46.0,29.0,5.0,35.0,125.0,30.0,59.0,58.0,18.0,13.0,63.0,2.0,42.0,11.0,19.0,1.0,64.0,48.0,90.0,102.0,57.0
3185,0.0,2.0,8.0,12.0,4.0,10.0,31.0,3.0,18.0,17.0,22.0,11.0,41.0,15.0,7.0,25.0,28.0,111.0,6.0,64.0,59.0,1.0,5.0,21.0,45.0,83.0,38.0,147.0,109.0,127.0
3234,0.0,1.0,2.0,16.0,7.0,35.0,19.0,6.0,5.0,18.0,24.0,29.0,60.0,4.0,47.0,30.0,9.0,14.0,11.0,67.0,3.0,23.0,120.0,10.0,15.0,34.0,71.0,105.0,8.0,33.0
3283,0.0,4.0,1.0,2.0,8.0,3.0,107.0,15.0,38.0,51.0,88.0,7.0,5.0,10.0,70.0,23.0,9.0,11.0,31.0,77.0,55.0,22.0,39.0,48.0,16.0,117.0,52.0,60.0,24.0,14.0
3332,0.0,2.0,13.0,1.0,27.0,4.0,12.0,8.0,9.0,103.0,102.0,16.0,32.0,14.0,18.0,15.0,21.0,20.0,29.0,126.0,154.0,5.0,33.0,7.0,36.0,116.0,40.0,64.0,28.0,3.0
3381,0.0,6.0,12.0,1.0,32.0,10.0,17.0,8.0,9.0,19.0,93.0,21.0,3.0,27.0,2.0,41.0,36.0,5.0,31.0,63.0,7.0,22.0,101.0,52.0,13.0,51.0,160.0,57.0,15.0,24.0
3430,1.0,0.0,3.0,17.0,13.0,7.0,20.0,23.0,5.0,6.0,22.0,11.0,29.0,118.0,18.0,144.0,30.0,88.0,15.0,40.0,85.0,43.0,69.0,2.0,10.0,14.0,46.0,59.0,92.0,27.0
3479,3.0,6.0,11.0,10.0,16.0,0.0,35.0,84.0,25.0,27.0,12.0,1.0,17.0,23.0,99.0,5.0,67.0,2.0,61.0,139.0,18.0,52.0,119.0,9.0,41.0,30.0,53.0,81.0,56.0,22.0
3528,11.0,3.0,7.0,18.0,5.0,1.0,6.0,4.0,75.0,26.0,23.0,0.0,29.0,9.0,21.0,121.0,24.0,13.0,123.0,135.0,22.0,46.0,74.0,40.0,103.0,2.0,10.0,20.0,77.0,17.0
3577,9.0,5.0,6.0,7.0,0.0,1.0,4.0,10.0,23.0,3.0,33.0,20.0,2.0,29.0,76.0,84.0,36.0,63.0,75.0,26.0,38.0,34.0,35.0,8.0,56.0,32.0,18.0,69.0,141.0,106.0
3626,3.0,0.0,10.0,6.0,5.0,2.0,13.0,18.0,21.0,17.0,20.0,1.0,4.0,53.0,80.0,48.0,25.0,23.0,55.0,7.0,14.0,33.0,24.0,8.0,35.0,16.0,9.0,104.0,139.0,142.0
3675,0.0,6.0,7.0,8.0,5.0,10.0,31.0,14.0,51.0,23.0,50.0,16.0,4.0,20.0,26.0,29.0,35.0,70.0,159.0,24.0,11.0,113.0,30.0,3.0,17.0,1.0,22.0,2.0,133.0,73.0
3724,1.0,2.0,5.0,3.0,4.0,12.0,67.0,70.0,61.0,21.0,105.0,10.0,26.0,69.0,154.0,36.0,30.0,20.0,17.0,28.0,51.0,33.0,90.0,19.0,29.0,9.0,43.0,49.0,38.0,56.0
3773,0.0,27.0,1.0,3.0,2.0,8.0,6.0,9.0,72.0,4.0,44.0,22.0,14.0,16.0,12.0,26.0,10.0,84.0,25.0,33.0,18.0,59.0,77.0,20.0,21.0,23.0,13.0,64.0,67.0,5.0
3822,0.0,6.0,2.0,17.0,1.0,4.0,40.0,7.0,43.0,20.0,64.0,9.0,30.0,10.0,128.0,21.0,15.0,5.0,14.0,19.0,36.0,25.0,11.0,16.0,29.0,8.0,23.0,57.0,100.0,34.0
3871,0.0,6.0,4.0,5.0,10.0,2.0,50.0,9.0,37.0,30.0,65.0,42.0,97.0,27.0,112.0,12.0,31.0,7.0,35.0,3.0,103.0,22.0,151.0,11.0,34.0,13.0,1.0,21.0,116.0,8.0
3920,3.0,9.0,6.0,11.0,0.0,39.0,7.0,5.0,2.0,24.0,14.0,4.0,21.0,69.0,13.0,43.0,16.0,108.0,18.0,46.0,12.0,65.0,28.0,66.0,55.0,59.0,37.0,144.0,17.0,51.0
3969,8.0,5.0,4.0,20.0,13.0,14.0,18.0,37.0,1.0,25.0,26.0,3.0,0.0,66.0,15.0,30.0,84.0,56.0,11.0,21.0,12.0,24.0,124.0,2.0,43.0,40.0,16.0,74.0,48.0,42.0
4018,0.0,18.0,40.0,52.0,2.0,3.0,8.0,12.0,1.0,16.0,110.0,25.0,79.0,15.0,5.0,19.0,156.0,67.0,11.0,64.0,30.0,7.0,105.0,38.0,162.0,97.0,69.0,14.0,73.0,23.0
4067,1.0,23.0,3.0,4.0,8.0,9.0,22.0,11.0,0.0,73.0,41.0,27.0,46.0,25.0,2.0,67.0,6.0,145.0,61.0,86.0,33.0,10.0,7.0,17.0,18.0,109.0,12.0,30.0,37.0,117.0
4116,1.0,66.0,11.0,3.0,23.0,2.0,13.0,7.0,0.0,46.0,12.0,40.0,21.0,10.0,42.0,28.0,17.0,69.0,34.0,53.0,32.0,36.0,4.0,15.0,83.0,5.0,9.0,43.0,80.0,63.0
4165,0.0,2.0,5.0,3.0,20.0,7.0,1.0,13.0,22.0,23.0,15.0,6.0,90.0,57.0,52.0,37.0,38.0,25.0,21.0,12.0,19.0,122.0,14.0,74.0,17.0,141.0,4.0,16.0,29.0,11.0
4214,0.0,2.0,3.0,1.0,7.0,57.0,35.0,4.0,12.0,19.0,18.0,9.0,14.0,15.0,37.0,101.0,16.0,98.0,17.0,8.0,24.0,135.0,105.0,46.0,78.0,6.0,53.0,36.0,11.0,56.0
4263,1.0,7.0,5.0,2.0,16.0,32.0,12.0,3.0,0.0,69.0,93.0,22.0,4.0,20.0,136.0,100.0,19.0,60.0,6.0,14.0,42.0,53.0,34.0,28.0,39.0,54.0,10.0,55.0,15.0,8.0
4312,6.0,1.0,2.0,4.0,8.0,5.0,97.0,28.0,0.0,24.0,13.0,3.0,139.0,11.0,27.0,40.0,35.0,30.0,12.0,21.0,23.0,19.0,17.0,100.0,102.0,111.0,26.0,20.0,76.0,110.0
4361,1.0,4.0,0.0,40.0,8.0,13.0,11.0,45.0,2.0,27.0,39.0,7.0,57.0,96.0,58.0,9.0,43.0,18.0,49.0,30.0,66.0,35.0,23.0,145.0,115.0,25.0,69.0,106.0,67.0,83.0
4410,0.0,9.0,2.0,10.0,32.0,7.0,8.0,15.0,18.0,25.0,79.0,1.0,31.0,5.0,19.0,21.0,29.0,11.0,6.0,86.0,3.0,43.0,36.0,160.0,142.0,59.0,157.0,103.0,4.0,72.0
4459,0.0,2.0,1.0,30.0,94.0,4.0,3.0,8.0,12.0,5.0,80.0,32.0,116.0,16.0,38.0,9.0,64.0,61.0,48.0,15.0,27.0,140.0,69.0,164.0,43.0,46.0,85.0,34.0,35.0,33.0
4508,0.0,4.0,6.0,5.0,2.0,19.0,3.0,77.0,1.0,7.0,59.0,67.0,14.0,33.0,80.0,42.0,24.0,39.0,37.0,12.0,8.0,21.0,13.0,74.0,17.0,29.0,60.0,30.0,64.0,69.0
4557,0.0,2.0,1.0,33.0,52.0,6.0,15.0,18.0,5.0,9.0,36.0,19.0,57.0,35.0,23.0,147.0,47.0,25.0,3.0,74.0,53.0,55.0,31.0,137.0,38.0,8.0,156.0,39.0,51.0,28.0
4606,0.0,1.0,2.0,10.0,39.0,5.0,16.0,66.0,46.0,3.0,64.0,35.0,57.0,20.0,26.0,4.0,93.0,9.0,38.0,43.0,14.0,18.0,12.0,143.0,15.0,96.0,159.0,11.0,89.0,8.0
4655,0.0,1.0,2.0,11.0,21.0,4.0,10.0,52.0,13.0,3.0,75.0,19.0,9.0,49.0,56.0,27.0,35.0,18.0,20.0,25.0,7.0,57.0,23.0,71.0,93.0,14.0,12.0,5.0,82.0,6.0
4704,0.0,1.0,5.0,3.0,9.0,8.0,7.0,39.0,26.0,2.0,30.0,61.0,15.0,23.0,17.0,19.0,71.0,80.0,130.0,10.0,11.0,54.0,21.0,98.0,100.0,13.0,139.0,24.0,28.0,20.0
4753,0.0,1.0,5.0,7.0,35.0,12.0,4.0,3.0,16.0,15.0,51.0,65.0,21.0,30.0,27.0,9.0,88.0,42.0,39.0,2.0,8.0,34.0,22.0,87.0,74.0,13.0,63.0,25.0,46.0,28.0
4802,0.0,4.0,3.0,5.0,65.0,9.0,6.0,13.0,38.0,7.0,15.0,63.0,21.0,39.0,16.0,2.0,10.0,57.0,35.0,18.0,1.0,126.0,24.0,132.0,36.0,95.0,138.0,110.0,8.0,20.0
4851,0.0,1.0,2.0,11.0,32.0,4.0,9.0,52.0,54.0,96.0,18.0,67.0,3.0,10.0,13.0,17.0,85.0,34.0,112.0,8.0,46.0,87.0,23.0,127.0,21.0,14.0,164.0,45.0,16.0,5.0
