,DOCK1,WWTR1,AGAP2,TFEB,CTSL,CDC42BPA,NTN4,C3orf52,SLC35D2,RGS20,S100A16,PTGR1,LIMA1,ATXN7L3B,KLF13,RP11-85G20.1,ORC1,PPIC,VAMP3,CTC-436P18.3,PHF8,RP11-175P19.2,AVPI1,SLC4A3,PERP,CD9,SLC38A6,RAET1G,CLASP2,ITGB5
3245,0.0,5.0,11.0,103.0,18.0,134.0,44.0,21.0,28.0,1.0,49.0,24.0,52.0,12.0,7.0,36.0,37.0,67.0,148.0,21402.0,9.0,15070.0,26.0,45.0,78.0,32.0,4706.0,34.0,12553.0,60.0
3294,1.0,7.0,10.0,22894.0,19.0,2.0,24.0,3.0,6.0,18970.0,18.0,41.0,62.0,1874.0,30.0,97.0,38.0,39.0,44.0,103.0,43.0,73.0,19873.0,12.0,16.0,51.0,2994.0,37.0,27.0,65.0
3343,0.0,44.0,7.0,21350.0,13.0,9.0,16.0,1.0,28.0,4.0,25.0,23.0,70.0,6954.0,159.0,53.0,89.0,12.0,67.0,21628.0,2458.0,62.0,19873.0,346.0,61.0,34.0,55.0,69.0,12530.0,36.0
3392,2.0,86.0,6.0,22955.0,12.0,150.0,24.0,17.0,27.0,1125.0,20.0,43.0,52.0,21.0,53.0,510.0,14.0,65.0,97.0,29.0,15.0,105.0,19893.0,56.0,23387.0,90.0,18.0,85.0,12545.0,54.0
3441,0.0,8.0,4.0,22905.0,34.0,6.0,7.0,1.0,29.0,83.0,25.0,88.0,6705.0,12.0,21.0,130.0,16.0,30.0,76.0,70.0,8481.0,66.0,73.0,2405.0,77.0,85.0,3029.0,51.0,18.0,58.0
3490,0.0,9.0,3.0,5.0,13.0,1.0,17.0,266.0,47.0,6.0,23.0,33.0,28.0,24.0,58.0,36.0,130.0,25.0,83.0,21393.0,8431.0,34.0,11.0,113.0,79.0,90.0,3507.0,23344.0,18.0,22.0
3539,1.0,5.0,7.0,22963.0,39.0,2.0,0.0,12955.0,65.0,18.0,45.0,230.0,52.0,11.0,40.0,32.0,46.0,36.0,13.0,27.0,319.0,106.0,103.0,13513.0,38.0,130.0,6279.0,74.0,17.0,150.0
3588,1.0,3.0,12.0,5.0,9.0,0.0,4.0,12932.0,69.0,102.0,39.0,246.0,94.0,29.0,40.0,13.0,89.0,50.0,70.0,33.0,8459.0,15.0,19945.0,13546.0,81.0,229.0,6481.0,54.0,62.0,118.0
3637,0.0,44.0,3.0,145.0,19.0,1.0,28.0,330.0,36.0,52.0,31.0,7.0,6685.0,27.0,50.0,21.0,231.0,108.0,67.0,21405.0,48.0,15057.0,57.0,13513.0,151.0,133.0,3023.0,34.0,20.0,98.0
3686,3.0,16.0,0.0,22890.0,62.0,1.0,6.0,5.0,70.0,8.0,50.0,147.0,98.0,6969.0,76.0,4.0,41.0,57.0,22.0,31.0,8456.0,54.0,152.0,13522.0,13.0,141.0,3067.0,663.0,11.0,18.0
3735,2.0,26.0,5.0,79.0,10.0,0.0,17.0,20.0,46.0,57.0,42.0,20281.0,53.0,29.0,27.0,18.0,3.0,31.0,82.0,21434.0,8468.0,54.0,109.0,13515.0,90.0,106.0,6270.0,78.0,28.0,123.0
3784,2.0,4.0,10.0,22935.0,25.0,0.0,5.0,462.0,83.0,3.0,50.0,136.0,222.0,23.0,11.0,22.0,14.0,67.0,44.0,51.0,95.0,149.0,200.0,976.0,2452.0,74.0,20.0,23341.0,28.0,190.0
3833,1.0,23.0,10.0,18.0,35.0,0.0,4.0,224.0,51.0,52.0,65.0,235.0,6710.0,17.0,46.0,26.0,66.0,43.0,56.0,29.0,445.0,48.0,39.0,13536.0,34.0,112.0,306.0,23105.0,12573.0,28.0
3882,0.0,7.0,2.0,22924.0,15.0,6.0,5.0,338.0,29.0,26.0,46.0,1424.0,6591.0,13.0,33.0,45.0,4.0,39.0,98.0,21363.0,8395.0,89.0,88.0,69.0,27.0,41.0,2912.0,74.0,12.0,10.0
3931,1.0,5.0,3.0,38.0,16.0,178.0,20.0,7.0,49.0,473.0,21.0,481.0,8.0,4787.0,81.0,22.0,31.0,55.0,4.0,35.0,2.0,85.0,19885.0,18.0,59.0,6.0,17.0,207.0,40.0,126.0
3980,3.0,16.0,4.0,17.0,7.0,1.0,22.0,38.0,70.0,26.0,73.0,20245.0,5.0,25.0,74.0,80.0,52.0,72.0,69.0,21632.0,23.0,30.0,19872.0,32.0,94.0,27.0,238.0,23349.0,10.0,83.0
4029,0.0,4.0,2.0,7.0,13.0,1.0,41.0,8.0,63.0,29.0,81.0,20281.0,25.0,14.0,87.0,142.0,16357.0,67.0,126.0,21630.0,12.0,99.0,19865.0,70.0,58.0,6.0,51.0,23347.0,2745.0,91.0
4078,3.0,5.0,2.0,1.0,18.0,17889.0,6.0,13004.0,15.0,52.0,97.0,20265.0,7349.0,19.0,94.0,49.0,29.0,66.0,8.0,40.0,16.0,14.0,19427.0,9.0,23311.0,58.0,3049.0,151.0,38.0,86.0
4127,0.0,184.0,12.0,85.0,39.0,4.0,7.0,9.0,15.0,43.0,20.0,20043.0,17.0,35.0,138.0,49.0,116.0,22011.0,73.0,21407.0,11.0,30.0,100.0,56.0,101.0,76.0,3007.0,23183.0,12494.0,41.0
4176,1.0,193.0,7.0,8.0,57.0,41.0,18.0,12989.0,58.0,169.0,132.0,20259.0,5726.0,5981.0,61.0,13.0,40.0,120.0,32.0,50.0,19.0,137.0,19655.0,21.0,23254.0,93.0,184.0,23332.0,12560.0,158.0
4225,4.0,7.0,1.0,14.0,33.0,18.0,3.0,65.0,51.0,69.0,15591.0,68.0,5709.0,20.0,43.0,385.0,48.0,168.0,9.0,21413.0,19.0,15072.0,19866.0,55.0,23360.0,143.0,120.0,23338.0,133.0,249.0
4274,0.0,1.0,10.0,85.0,25.0,6.0,16.0,12925.0,8.0,5.0,4.0,27.0,1264.0,26.0,60.0,14.0,11.0,61.0,43.0,13.0,3.0,71.0,58.0,7.0,29.0,67.0,3343.0,23314.0,79.0,55.0
4323,2.0,141.0,11.0,3.0,15.0,6.0,26.0,12874.0,17.0,66.0,7.0,49.0,64.0,20.0,128.0,139.0,38.0,274.0,118.0,21398.0,14.0,136.0,19871.0,10.0,72.0,63.0,27.0,23108.0,34.0,4.0
4372,1.0,86.0,0.0,240.0,9.0,4.0,21.0,27.0,104.0,19.0,34.0,42.0,5758.0,7416.0,71.0,66.0,183.0,175.0,3.0,15170.0,33.0,122.0,20720.0,16046.0,21813.0,5454.0,177.0,21892.0,118.0,187.0
4421,0.0,65.0,9.0,912.0,6.0,155.0,46.0,13.0,33.0,1.0,14.0,20.0,43.0,11.0,38.0,396.0,77.0,27.0,4.0,23.0,2107.0,17.0,87.0,80.0,28.0,15.0,128.0,61.0,12529.0,75.0
4470,5.0,3.0,12.0,22888.0,33.0,17633.0,71.0,19.0,49.0,1.0,47.0,114.0,14.0,16.0,132.0,36.0,15388.0,21977.0,15.0,57.0,8398.0,118.0,100.0,240.0,77.0,4935.0,35.0,51.0,12456.0,14692.0
4519,3.0,6.0,5.0,29.0,14.0,17621.0,15.0,12.0,26.0,2.0,4.0,21.0,36.0,18.0,52.0,188.0,41.0,43.0,0.0,21362.0,8433.0,25.0,19807.0,140.0,51.0,81.0,3385.0,1998.0,12441.0,56.0
4568,2.0,84.0,4.0,14.0,23.0,17643.0,73.0,44.0,49.0,11.0,0.0,30.0,58.0,8.0,48.0,3247.0,15417.0,61.0,1.0,35.0,8458.0,15102.0,155.0,216.0,23361.0,34.0,38.0,135.0,12517.0,117.0
4617,3.0,6.0,15.0,13.0,10.0,17649.0,14.0,12.0,26.0,2.0,9.0,32.0,75.0,17.0,50.0,88.0,58.0,31.0,1.0,66.0,6791.0,35.0,55.0,13459.0,29.0,6971.0,23.0,63.0,12490.0,20.0
4666,0.0,46.0,9.0,8.0,13.0,16449.0,95.0,7.0,69.0,45.0,31.0,18174.0,40.0,18.0,51.0,70.0,266.0,15.0,12.0,52.0,1130.0,24.0,93.0,227.0,42.0,47.0,49.0,62.0,17125.0,112.0
4715,0.0,4.0,12.0,8.0,11.0,17880.0,34.0,20.0,43.0,1.0,14.0,49.0,30.0,23.0,37.0,93.0,15549.0,15.0,3.0,21644.0,3473.0,27.0,57.0,153.0,47.0,18.0,3075.0,68.0,12556.0,72.0
4764,1.0,4.0,10.0,3.0,33.0,17629.0,50.0,30.0,5.0,0.0,15552.0,49.0,41.0,11.0,48.0,144.0,184.0,42.0,12.0,20.0,8439.0,55.0,64.0,13475.0,46.0,92.0,21.0,23182.0,1401.0,82.0
4813,0.0,1.0,8.0,22885.0,11.0,17636.0,48.0,27.0,23.0,6.0,10.0,45.0,40.0,6800.0,12.0,224.0,78.0,28.0,2.0,30.0,113.0,18.0,26.0,73.0,20.0,86.0,88.0,67.0,12422.0,49.0
4862,0.0,5.0,8.0,35.0,4.0,2408.0,9.0,1.0,44.0,7.0,18.0,31.0,47.0,3.0,97.0,79.0,112.0,42.0,6.0,36.0,101.0,40.0,85.0,124.0,27.0,63.0,109.0,23101.0,296.0,68.0
