,MYH9_MUT,FLNB_MUT,HLA-DRB6_DEL,RNF103-CHMP3_DEL,GUCY2C_MUT,LOC401177_AMP,SRD5A1_AMP,SGCZ_DEL,SNORD123_AMP,PI4KA_MUT,LOC100133267_DEL,GPR112_MUT,LOC100505806_AMP,RMND5A_DEL,ETS1_DEL,ROPN1L_AMP,CHD1_MUT,PHF3_MUT,FASTKD3_AMP,LOC729506_AMP,DAP_AMP,CCT5_AMP,ZNF705D_DEL,SLC25A24_DEL,LOC392196_DEL,LOC440704_AMP,PTCH1_AMP,TSHZ2_AMP,LOC100505738_AMP,IRX2_AMP
522,1.0,0.0,2.0,13.0,476.0,152.0,47.0,11.0,311.0,7.0,12.0,24.0,40.0,93.0,571.0,113.0,3.0,17.0,79.0,103.0,81.0,38.0,142.0,219.0,91.0,122.0,6.0,111.0,49.0,336.0
571,10.0,3.0,7.0,6.0,9.0,17.0,337.0,4.0,83.0,2.0,16.0,8.0,19.0,77.0,44.0,359.0,172.0,121.0,67.0,289.0,394.0,53.0,104.0,322.0,135.0,151.0,0.0,62.0,298.0,34.0
620,4.0,7.0,24.0,6.0,0.0,34.0,86.0,250.0,108.0,11.0,26.0,9.0,27.0,1.0,252.0,298.0,50.0,14.0,68.0,35.0,13.0,70.0,31.0,88.0,1308.0,508.0,5.0,827.0,74.0,332.0
669,4.0,94.0,2.0,19862.0,318.0,8.0,36.0,20225.0,135.0,68.0,26.0,3.0,44.0,12314.0,256.0,136.0,16.0,48.0,20.0,109.0,42.0,134.0,46.0,17.0,60.0,611.0,111.0,738.0,31.0,1.0
718,0.0,1.0,74.0,136.0,44.0,19.0,2.0,294.0,6.0,28.0,48.0,49.0,29.0,12195.0,273.0,141.0,31.0,16.0,33.0,46.0,5.0,142.0,65.0,105.0,902.0,233.0,108.0,267.0,15920.0,154.0
767,1.0,141.0,13.0,38.0,1245.0,22.0,24.0,20502.0,20.0,0.0,82.0,533.0,29.0,69.0,62.0,165.0,78.0,315.0,166.0,131.0,177.0,59.0,100.0,681.0,227.0,180.0,9.0,101.0,86.0,28.0
816,1.0,9.0,2.0,52.0,21.0,243.0,65.0,1283.0,22.0,3.0,1009.0,12.0,24.0,3249.0,181.0,7.0,1006.0,5.0,25.0,207.0,50.0,47.0,8969.0,161.0,469.0,757.0,6.0,0.0,56.0,80.0
865,7.0,21.0,8.0,6.0,3.0,98.0,23696.0,833.0,19.0,11.0,151.0,55.0,1209.0,9.0,353.0,205.0,134.0,4.0,207.0,103.0,53.0,38.0,245.0,390.0,991.0,27.0,2.0,109.0,12.0,145.0
914,10.0,17.0,2.0,1.0,6.0,309.0,132.0,1146.0,16994.0,62.0,4.0,103.0,29.0,443.0,18.0,74.0,28.0,912.0,87.0,315.0,44.0,223.0,753.0,1214.0,48.0,540.0,14.0,333.0,15891.0,17429.0
963,4.0,25.0,5.0,903.0,37.0,13789.0,141.0,9.0,648.0,3.0,0.0,1.0,579.0,127.0,116.0,23926.0,472.0,19.0,3099.0,3129.0,166.0,17633.0,42.0,124.0,20.0,2434.0,7.0,209.0,17008.0,18060.0
1012,5.0,39.0,47.0,0.0,1.0,14.0,12.0,405.0,38.0,10.0,42.0,2.0,430.0,1239.0,67.0,11.0,24.0,997.0,37.0,24044.0,6.0,8.0,325.0,1263.0,13.0,22.0,3270.0,133.0,174.0,17407.0
1061,0.0,43.0,28.0,1.0,4.0,42.0,377.0,56.0,18.0,16770.0,167.0,12.0,66.0,14.0,17.0,294.0,371.0,5.0,292.0,60.0,413.0,291.0,6.0,821.0,19.0,181.0,22759.0,10.0,80.0,1966.0
1110,19.0,5.0,10.0,1.0,26.0,4.0,42.0,1581.0,32.0,79.0,14.0,1385.0,33.0,0.0,6.0,165.0,12.0,1455.0,145.0,52.0,219.0,185.0,49.0,69.0,83.0,40.0,22749.0,66.0,65.0,17411.0
1159,0.0,2.0,8.0,28.0,1.0,24.0,65.0,725.0,60.0,4.0,64.0,7.0,675.0,3.0,232.0,59.0,198.0,510.0,97.0,21.0,351.0,51.0,49.0,180.0,30.0,41.0,22683.0,106.0,68.0,307.0
1208,0.0,13.0,5.0,3.0,6.0,15872.0,315.0,20504.0,24.0,22.0,162.0,834.0,76.0,2.0,8.0,29.0,64.0,190.0,21.0,213.0,99.0,12.0,70.0,388.0,2176.0,482.0,1224.0,25.0,62.0,113.0
1257,27.0,8.0,22.0,3.0,5.0,815.0,716.0,125.0,235.0,15.0,1474.0,12.0,377.0,0.0,4.0,22780.0,2853.0,2.0,59.0,68.0,1248.0,14174.0,111.0,160.0,61.0,6.0,22747.0,19.0,673.0,17314.0
1306,3.0,8.0,14.0,9.0,17.0,1.0,309.0,194.0,22.0,118.0,130.0,404.0,63.0,2.0,462.0,22840.0,69.0,169.0,10.0,23.0,50.0,51.0,18.0,969.0,6.0,96.0,15.0,60.0,365.0,143.0
1355,613.0,0.0,26.0,60.0,13.0,6.0,281.0,105.0,41.0,16.0,3622.0,9.0,116.0,339.0,22.0,12.0,1.0,8.0,28.0,63.0,259.0,31.0,75.0,6830.0,84.0,7.0,22681.0,192.0,64.0,17294.0
1404,5.0,2.0,1.0,0.0,4.0,6.0,68.0,20497.0,25.0,12.0,332.0,7.0,53.0,20.0,47.0,136.0,514.0,37.0,24.0,60.0,165.0,137.0,69.0,366.0,5128.0,121.0,3234.0,82.0,114.0,17291.0
1453,46.0,1.0,5.0,7.0,4.0,18.0,28.0,1234.0,33.0,8.0,19772.0,289.0,52.0,0.0,60.0,231.0,350.0,514.0,25.0,30.0,1512.0,82.0,1072.0,3235.0,4915.0,29.0,291.0,53.0,34.0,630.0
1502,1.0,86.0,83.0,21.0,3.0,553.0,292.0,8.0,269.0,247.0,85.0,253.0,16.0,104.0,217.0,29.0,16791.0,811.0,325.0,134.0,436.0,46.0,1159.0,79.0,143.0,26.0,4.0,70.0,2892.0,651.0
1551,1.0,5.0,20.0,1435.0,25.0,730.0,346.0,37.0,18.0,41.0,64.0,0.0,55.0,607.0,228.0,24.0,134.0,7.0,309.0,94.0,123.0,344.0,2.0,56.0,9.0,141.0,75.0,13.0,287.0,384.0
1600,0.0,265.0,37.0,181.0,331.0,15741.0,47.0,6.0,11.0,51.0,114.0,57.0,110.0,69.0,324.0,153.0,5.0,187.0,298.0,85.0,322.0,113.0,8.0,125.0,71.0,176.0,74.0,7.0,21.0,17301.0
1649,2.0,74.0,71.0,420.0,27.0,25.0,48.0,31.0,22.0,33.0,196.0,89.0,34.0,397.0,261.0,7.0,347.0,702.0,44.0,8.0,62.0,159.0,49.0,26.0,63.0,85.0,104.0,5.0,82.0,58.0
1698,3.0,0.0,119.0,257.0,614.0,21.0,228.0,159.0,83.0,9.0,1.0,62.0,22.0,2.0,54.0,192.0,16822.0,123.0,193.0,72.0,16.0,46.0,15.0,3867.0,28.0,34.0,7.0,98.0,18.0,65.0
1747,4.0,3314.0,1879.0,6.0,949.0,564.0,91.0,107.0,298.0,47.0,2.0,85.0,297.0,88.0,213.0,95.0,392.0,16817.0,90.0,32.0,57.0,300.0,25.0,12.0,27.0,10.0,3.0,9.0,15994.0,283.0
1796,14.0,3.0,83.0,2.0,210.0,128.0,0.0,46.0,63.0,6.0,47.0,249.0,15924.0,81.0,162.0,60.0,13.0,16855.0,31.0,50.0,235.0,216.0,136.0,33.0,48.0,116.0,185.0,79.0,52.0,7.0
1845,12.0,1717.0,6.0,1028.0,8.0,149.0,72.0,13.0,16926.0,7.0,27.0,28.0,32.0,67.0,162.0,107.0,2545.0,51.0,265.0,263.0,17812.0,93.0,258.0,17.0,3.0,69.0,1.0,412.0,98.0,362.0
1894,84.0,127.0,408.0,311.0,6.0,54.0,40.0,1.0,61.0,16656.0,18796.0,1496.0,41.0,33.0,39.0,16.0,24.0,780.0,233.0,18.0,162.0,232.0,146.0,103.0,83.0,43.0,214.0,20.0,78.0,256.0
1943,14.0,106.0,7.0,94.0,2.0,15832.0,23693.0,113.0,95.0,278.0,9.0,73.0,488.0,575.0,341.0,78.0,468.0,16874.0,57.0,99.0,47.0,1168.0,50.0,130.0,126.0,108.0,96.0,195.0,15971.0,17416.0
1992,0.0,1.0,47.0,19.0,2.0,5.0,1849.0,27.0,21.0,49.0,13.0,16.0,23.0,31.0,457.0,175.0,309.0,41.0,177.0,50.0,12.0,52.0,951.0,818.0,25.0,321.0,66.0,30.0,34.0,17269.0
2041,0.0,3.0,15.0,2.0,123.0,26.0,51.0,1348.0,316.0,124.0,23163.0,36.0,317.0,19.0,5.0,242.0,41.0,28.0,66.0,31.0,417.0,62.0,9121.0,7670.0,38.0,17.0,30.0,11.0,259.0,308.0
2090,1.0,3.0,126.0,132.0,0.0,45.0,61.0,55.0,4.0,16.0,678.0,2.0,162.0,10743.0,191.0,7.0,6.0,39.0,129.0,64.0,23.0,106.0,62.0,385.0,178.0,576.0,52.0,14.0,1231.0,186.0
2139,0.0,20.0,3.0,32.0,5.0,9.0,27.0,2.0,410.0,16741.0,173.0,112.0,233.0,946.0,508.0,22790.0,525.0,8.0,74.0,340.0,93.0,51.0,316.0,403.0,446.0,178.0,14.0,4.0,34.0,82.0
2188,2.0,6.0,13.0,108.0,17.0,21.0,126.0,42.0,16902.0,113.0,8.0,1.0,419.0,107.0,1286.0,527.0,63.0,7.0,442.0,360.0,59.0,205.0,771.0,3889.0,22.0,14693.0,1267.0,3288.0,72.0,5.0
2237,1.0,3.0,25.0,350.0,7.0,43.0,10.0,93.0,71.0,12.0,3101.0,0.0,333.0,2640.0,64.0,37.0,26.0,44.0,72.0,77.0,32.0,149.0,566.0,824.0,159.0,70.0,4.0,6.0,52.0,54.0
2286,2.0,18.0,345.0,462.0,0.0,17775.0,65.0,5.0,12349.0,208.0,2269.0,13.0,569.0,227.0,34.0,570.0,15.0,73.0,22702.0,447.0,48.0,17057.0,9481.0,7998.0,251.0,146.0,4.0,56.0,4304.0,18047.0
2335,1.0,2.0,42.0,5.0,0.0,89.0,27.0,32.0,112.0,17.0,773.0,3.0,143.0,33.0,26.0,12.0,18.0,10.0,410.0,86.0,30.0,409.0,11.0,537.0,23.0,1283.0,15.0,88.0,16.0,31.0
2384,15.0,27.0,100.0,116.0,5.0,30.0,46.0,348.0,7.0,26.0,65.0,19.0,12.0,78.0,127.0,56.0,3.0,643.0,6.0,13.0,278.0,183.0,0.0,2989.0,142.0,68.0,4.0,2571.0,34.0,93.0
2433,1.0,86.0,228.0,12.0,11.0,63.0,53.0,2454.0,90.0,60.0,3588.0,5.0,91.0,209.0,206.0,67.0,35.0,214.0,85.0,325.0,23.0,379.0,13.0,324.0,345.0,92.0,19.0,463.0,27.0,419.0
2482,25.0,33.0,10.0,2.0,26.0,109.0,14.0,546.0,232.0,310.0,6.0,138.0,231.0,0.0,280.0,55.0,217.0,435.0,29.0,188.0,41.0,60.0,11.0,1.0,31.0,40.0,19.0,13.0,189.0,17.0
2531,7.0,26.0,81.0,8.0,734.0,33.0,47.0,0.0,89.0,61.0,753.0,253.0,141.0,17.0,12.0,283.0,149.0,195.0,42.0,118.0,78.0,30.0,3304.0,1.0,3713.0,94.0,22.0,2001.0,15927.0,9.0
2580,1.0,2.0,0.0,616.0,47.0,293.0,10.0,39.0,67.0,403.0,224.0,285.0,247.0,64.0,4.0,246.0,137.0,165.0,9.0,78.0,70.0,20.0,193.0,6.0,124.0,1134.0,129.0,21.0,96.0,3.0
2629,1.0,5.0,0.0,4.0,56.0,14649.0,85.0,86.0,90.0,12718.0,3.0,108.0,106.0,220.0,9.0,514.0,272.0,2937.0,63.0,151.0,139.0,103.0,132.0,11.0,2746.0,1270.0,7.0,70.0,23.0,29.0
2678,3.0,242.0,6.0,2.0,4.0,712.0,8.0,28.0,50.0,124.0,1.0,219.0,65.0,0.0,206.0,20.0,18.0,884.0,347.0,275.0,95.0,346.0,11.0,39.0,53.0,127.0,12.0,22.0,146.0,34.0
2727,158.0,11.0,121.0,25.0,0.0,32.0,5.0,1.0,231.0,368.0,408.0,1425.0,232.0,107.0,127.0,115.0,1187.0,16895.0,3.0,12.0,30.0,8.0,142.0,7.0,81.0,15710.0,105.0,88.0,35.0,10.0
2776,19.0,3.0,0.0,2.0,121.0,36.0,28.0,14.0,353.0,70.0,4.0,702.0,507.0,1.0,176.0,29.0,33.0,229.0,63.0,65.0,130.0,304.0,311.0,11.0,195.0,509.0,15.0,9.0,15978.0,6.0
2825,18.0,0.0,5.0,39.0,3.0,44.0,22.0,2.0,48.0,59.0,8.0,526.0,261.0,6.0,469.0,17.0,3488.0,16936.0,194.0,211.0,83.0,15.0,58.0,6824.0,79.0,29.0,421.0,181.0,2252.0,4.0
2874,129.0,33.0,0.0,77.0,19.0,83.0,15.0,8.0,36.0,146.0,1.0,29.0,15916.0,66.0,71.0,12.0,16806.0,16843.0,7.0,117.0,272.0,5.0,17.0,14.0,115.0,16.0,451.0,97.0,190.0,135.0
2923,49.0,1.0,2.0,57.0,63.0,76.0,15.0,256.0,31.0,2486.0,4.0,399.0,157.0,0.0,1426.0,159.0,50.0,12.0,161.0,60.0,23.0,78.0,14.0,162.0,90.0,7.0,6.0,88.0,125.0,25.0
2972,34.0,55.0,7.0,1.0,25.0,11.0,147.0,3407.0,10.0,32.0,15.0,629.0,257.0,23.0,456.0,19.0,18.0,38.0,94.0,2.0,79.0,95.0,39.0,482.0,13.0,67.0,26.0,17.0,80.0,17394.0
3021,0.0,1.0,16.0,2.0,25.0,7.0,97.0,350.0,22.0,59.0,146.0,379.0,13.0,4.0,259.0,91.0,201.0,58.0,11.0,47.0,8.0,46.0,3611.0,27.0,451.0,145.0,383.0,45.0,73.0,6.0
3070,20.0,1309.0,81.0,2.0,21.0,1.0,23.0,15.0,29.0,222.0,18818.0,2530.0,10.0,6.0,9.0,26.0,170.0,8.0,84.0,71.0,126.0,85.0,128.0,14.0,67.0,12.0,823.0,57.0,72.0,88.0
3119,16.0,331.0,33.0,2.0,93.0,3.0,20.0,67.0,4.0,5.0,302.0,10131.0,82.0,0.0,7339.0,22.0,134.0,1039.0,63.0,17715.0,19.0,83.0,9577.0,6.0,363.0,785.0,214.0,788.0,72.0,1411.0
3168,0.0,166.0,2.0,19038.0,169.0,5.0,89.0,69.0,58.0,415.0,195.0,16788.0,18.0,82.0,29.0,3.0,19.0,832.0,88.0,76.0,99.0,90.0,243.0,8.0,131.0,134.0,1137.0,9.0,506.0,11.0
3217,14.0,157.0,19.0,2.0,7.0,15.0,16.0,25.0,29.0,16728.0,2517.0,1193.0,6.0,18.0,167.0,23.0,8.0,27.0,91.0,112.0,44.0,134.0,2120.0,1.0,377.0,67.0,352.0,11.0,111.0,54.0
3266,6.0,59.0,66.0,3.0,176.0,0.0,11.0,117.0,16957.0,53.0,639.0,683.0,22.0,29.0,679.0,22845.0,36.0,12.0,23934.0,65.0,93.0,78.0,131.0,23.0,75.0,1221.0,3503.0,18.0,10.0,14.0
3315,4.0,79.0,29.0,41.0,1.0,8.0,15.0,0.0,11.0,84.0,195.0,78.0,65.0,892.0,26.0,9.0,62.0,35.0,27.0,58.0,82.0,52.0,382.0,5.0,4317.0,210.0,261.0,6.0,10.0,2.0
3364,10.0,29.0,5.0,65.0,32.0,6.0,131.0,9.0,115.0,58.0,53.0,578.0,99.0,38.0,205.0,15.0,55.0,689.0,75.0,100.0,86.0,73.0,42.0,1.0,219.0,440.0,136.0,22.0,101.0,0.0
3413,216.0,9.0,10.0,0.0,68.0,70.0,46.0,4.0,24.0,3.0,8.0,16789.0,82.0,1.0,390.0,63.0,38.0,142.0,1644.0,49.0,138.0,116.0,6.0,2.0,5.0,232.0,22481.0,39.0,15998.0,26.0
3462,1.0,64.0,0.0,8.0,125.0,2.0,137.0,97.0,11.0,428.0,528.0,41.0,17.0,193.0,106.0,84.0,766.0,831.0,10.0,9.0,131.0,121.0,2980.0,3.0,1030.0,6.0,78.0,100.0,55.0,30.0
3511,0.0,353.0,140.0,58.0,16.0,80.0,331.0,308.0,259.0,9.0,7.0,28.0,48.0,23.0,63.0,260.0,220.0,653.0,261.0,202.0,296.0,66.0,10.0,34.0,5.0,85.0,22479.0,68.0,203.0,298.0
3560,1.0,28.0,13.0,18801.0,46.0,10.0,40.0,6.0,111.0,18.0,55.0,0.0,95.0,14.0,300.0,24087.0,115.0,59.0,23631.0,51.0,1840.0,30.0,3.0,313.0,4.0,5.0,53.0,279.0,306.0,15.0
3609,9.0,0.0,158.0,10.0,160.0,38.0,42.0,16.0,18.0,161.0,7.0,1.0,332.0,2.0,68.0,334.0,256.0,545.0,333.0,30.0,130.0,52.0,200.0,15.0,8.0,35.0,34.0,18299.0,1100.0,196.0
3658,4.0,91.0,457.0,2.0,13.0,628.0,385.0,966.0,879.0,86.0,7.0,0.0,206.0,1.0,45.0,515.0,16801.0,945.0,388.0,324.0,17835.0,2919.0,291.0,51.0,34.0,161.0,927.0,473.0,742.0,178.0
3707,40.0,2163.0,2.0,1288.0,32.0,1.0,3.0,4.0,15.0,351.0,307.0,9.0,14.0,2793.0,196.0,23780.0,1121.0,65.0,36.0,21696.0,141.0,52.0,91.0,68.0,134.0,360.0,226.0,207.0,107.0,97.0
3756,5.0,17.0,26.0,6.0,311.0,1.0,35.0,1062.0,120.0,137.0,106.0,21.0,72.0,2.0,73.0,19.0,1881.0,10.0,32.0,34.0,169.0,118.0,8.0,0.0,57.0,523.0,22426.0,18336.0,86.0,64.0
3805,21.0,1.0,3.0,11.0,27.0,15.0,58.0,6.0,35.0,1300.0,2.0,0.0,7.0,870.0,36.0,48.0,4.0,17.0,41.0,159.0,219.0,201.0,43.0,1267.0,23.0,125.0,575.0,18302.0,71.0,60.0
3854,2.0,170.0,1.0,646.0,40.0,6.0,103.0,25.0,21.0,5.0,4.0,3.0,12.0,456.0,19.0,88.0,42.0,41.0,69.0,46.0,54.0,31.0,89.0,237.0,71.0,500.0,148.0,44.0,23.0,96.0
3903,0.0,41.0,230.0,42.0,89.0,11.0,111.0,137.0,29.0,10.0,578.0,8.0,734.0,525.0,6.0,14.0,70.0,34.0,19.0,62.0,36.0,66.0,151.0,1046.0,1037.0,171.0,21.0,9.0,196.0,209.0
3952,4.0,5.0,0.0,17.0,108.0,491.0,21.0,570.0,40.0,13.0,1.0,66.0,35.0,58.0,180.0,22913.0,33.0,111.0,38.0,195.0,12.0,55.0,2.0,3.0,9.0,6.0,406.0,2640.0,198.0,165.0
4001,17.0,4.0,1.0,2.0,140.0,34.0,174.0,192.0,50.0,14.0,475.0,21.0,31.0,90.0,27.0,60.0,67.0,11247.0,47.0,58.0,39.0,172.0,46.0,43.0,494.0,5.0,82.0,700.0,253.0,207.0
4050,63.0,0.0,19.0,10.0,106.0,49.0,21.0,9.0,260.0,8.0,23.0,42.0,258.0,2.0,47.0,27.0,208.0,32.0,374.0,13.0,31.0,60.0,7.0,68.0,185.0,14681.0,162.0,924.0,105.0,20.0
4099,0.0,16.0,1.0,5.0,15.0,23.0,111.0,102.0,160.0,3.0,19854.0,448.0,13.0,9.0,5134.0,36.0,14.0,154.0,27.0,37.0,134.0,90.0,17.0,10.0,8.0,4.0,817.0,18382.0,16021.0,176.0
4148,2.0,0.0,14.0,33.0,2624.0,63.0,196.0,3647.0,89.0,34.0,5.0,29.0,17.0,111.0,352.0,49.0,992.0,1442.0,76.0,237.0,10.0,195.0,6.0,19.0,9.0,42.0,51.0,356.0,46.0,24.0
4197,105.0,0.0,16.0,68.0,61.0,14.0,23702.0,3.0,10.0,2.0,327.0,26.0,15917.0,268.0,19.0,1.0,81.0,11.0,177.0,143.0,17.0,176.0,41.0,92.0,93.0,65.0,22712.0,310.0,384.0,198.0
4246,22.0,0.0,1.0,3.0,88.0,18.0,56.0,27.0,138.0,105.0,9.0,513.0,6.0,21.0,400.0,64.0,16823.0,16871.0,58.0,34.0,111.0,66.0,5.0,2.0,14.0,15.0,385.0,137.0,16037.0,7.0
4295,65.0,0.0,1.0,4.0,283.0,47.0,48.0,1036.0,16930.0,61.0,12.0,1158.0,31.0,25.0,6.0,51.0,110.0,148.0,117.0,28.0,17.0,310.0,134.0,534.0,35.0,7.0,2343.0,18318.0,622.0,17381.0
4344,3.0,5.0,46.0,194.0,1833.0,90.0,52.0,32.0,4.0,24.0,0.0,212.0,219.0,341.0,53.0,27.0,49.0,198.0,44.0,28.0,6.0,218.0,14.0,431.0,92.0,106.0,179.0,172.0,23160.0,50.0
4393,5.0,0.0,6.0,107.0,1389.0,25.0,102.0,564.0,4.0,55.0,232.0,3540.0,28.0,62.0,36.0,47.0,977.0,330.0,169.0,23.0,140.0,168.0,56.0,46.0,13.0,41.0,20.0,24.0,15992.0,184.0
4442,0.0,12.0,52.0,18.0,6.0,648.0,8.0,1.0,21.0,116.0,2.0,3038.0,55.0,22.0,27.0,86.0,46.0,19.0,252.0,122.0,14.0,49.0,9.0,40.0,505.0,31.0,30.0,108.0,1070.0,172.0
4491,0.0,108.0,17.0,14.0,46.0,15866.0,4.0,1.0,207.0,32.0,145.0,56.0,11.0,27.0,35.0,22.0,69.0,23.0,65.0,39.0,24.0,33.0,335.0,177.0,93.0,651.0,152.0,6.0,1179.0,15.0
4540,51.0,1.0,53.0,96.0,39.0,113.0,22.0,6.0,170.0,80.0,16.0,628.0,171.0,285.0,343.0,19.0,143.0,17.0,13.0,36.0,35.0,10.0,21.0,2295.0,4428.0,78.0,69.0,199.0,30.0,71.0
4589,8.0,3.0,175.0,118.0,364.0,576.0,23.0,3304.0,44.0,52.0,0.0,1.0,108.0,43.0,1669.0,22.0,69.0,844.0,1746.0,27.0,17.0,103.0,97.0,2.0,15.0,14668.0,49.0,480.0,65.0,89.0
4638,1.0,17.0,122.0,176.0,10.0,125.0,19.0,0.0,26.0,2193.0,15.0,16787.0,15870.0,182.0,7.0,20.0,458.0,591.0,18.0,225.0,37.0,224.0,4.0,40.0,5.0,67.0,97.0,112.0,226.0,297.0
4687,1.0,33.0,91.0,933.0,19.0,10.0,2.0,0.0,206.0,16683.0,309.0,83.0,207.0,501.0,4.0,53.0,1068.0,170.0,39.0,67.0,23.0,208.0,334.0,7.0,54.0,82.0,50.0,138.0,15895.0,29.0
4736,21.0,3.0,12.0,59.0,10.0,17953.0,77.0,4.0,356.0,345.0,2.0,10086.0,355.0,219.0,64.0,126.0,786.0,6.0,45.0,352.0,94.0,57.0,254.0,217.0,54.0,128.0,39.0,5.0,4147.0,98.0
4785,0.0,208.0,552.0,41.0,7.0,56.0,12.0,1.0,26.0,2.0,62.0,177.0,55.0,334.0,13.0,15.0,6.0,233.0,5.0,139.0,152.0,33.0,8708.0,3.0,361.0,58.0,1184.0,43.0,4.0,183.0
4834,13.0,6.0,163.0,87.0,1.0,115.0,55.0,1848.0,79.0,59.0,1278.0,5.0,43.0,120.0,86.0,201.0,30.0,66.0,198.0,200.0,28.0,12.0,75.0,117.0,189.0,7.0,77.0,8.0,15890.0,223.0
4883,21.0,3.0,86.0,2.0,12.0,13.0,8.0,0.0,6.0,524.0,179.0,265.0,22.0,91.0,4.0,57.0,378.0,102.0,117.0,116.0,5.0,30.0,3393.0,6644.0,5256.0,48.0,76.0,80.0,15929.0,157.0
