,C-Raf_pS338,EGFR,Caveolin-1,HER2_pY1248,VAV1,HER2,G6PD,P-Cadherin,Claudin-7,EGFR_pY1068,AMPK_alpha,ADAR1,PDCD4,Bcl-xL,RSK1-2-3,HER3,TFRC,GATA3,Shc_pY317,RAD51,Bap1 c-4,CD31,GSK3-alpha-beta,PDK1_pS241,Rb_pS807_S811,PI3K-p85,p90RSK_pT573,C-Raf(MP05-739),VHL,Smac
540,0.0,7.0,4.0,8.0,11.0,13.0,2.0,5.0,3.0,27.0,1.0,10.0,22.0,15.0,35.0,6.0,20.0,18.0,12.0,17.0,9.0,14.0,49.0,21.0,31.0,50.0,23.0,44.0,48.0,51.0
589,4.0,1.0,2.0,3.0,6.0,9.0,17.0,7.0,11.0,24.0,0.0,8.0,18.0,23.0,30.0,5.0,10.0,13.0,12.0,21.0,16.0,14.0,55.0,20.0,25.0,39.0,28.0,37.0,69.0,60.0
638,8.0,11.0,0.0,2.0,10.0,13.0,3.0,4.0,9.0,22.0,6.0,1.0,15.0,32.0,78.0,12.0,20.0,28.0,14.0,5.0,41.0,45.0,75.0,35.0,17.0,7.0,29.0,34.0,19.0,61.0
687,9.0,7.0,1.0,0.0,15.0,8.0,3.0,10.0,2.0,12.0,4.0,35.0,23.0,16.0,37.0,5.0,27.0,19.0,6.0,13.0,18.0,14.0,71.0,26.0,29.0,31.0,24.0,22.0,106.0,34.0
736,1.0,6.0,0.0,8.0,10.0,14.0,7.0,2.0,5.0,39.0,4.0,18.0,21.0,11.0,41.0,3.0,29.0,16.0,22.0,12.0,20.0,19.0,63.0,25.0,32.0,34.0,36.0,15.0,40.0,58.0
785,1.0,2.0,4.0,5.0,8.0,6.0,24.0,9.0,0.0,32.0,3.0,14.0,26.0,7.0,36.0,12.0,11.0,21.0,37.0,18.0,17.0,19.0,60.0,34.0,20.0,40.0,10.0,29.0,51.0,22.0
834,6.0,2.0,0.0,5.0,3.0,10.0,4.0,9.0,8.0,12.0,1.0,14.0,11.0,13.0,69.0,7.0,47.0,17.0,15.0,24.0,30.0,16.0,28.0,25.0,36.0,33.0,18.0,32.0,42.0,20.0
883,1.0,2.0,4.0,0.0,5.0,3.0,21.0,9.0,20.0,8.0,6.0,18.0,10.0,25.0,33.0,7.0,13.0,11.0,12.0,27.0,53.0,30.0,15.0,43.0,16.0,19.0,47.0,32.0,46.0,59.0
932,1.0,2.0,3.0,4.0,7.0,8.0,5.0,0.0,9.0,25.0,10.0,16.0,27.0,21.0,48.0,6.0,17.0,18.0,13.0,30.0,32.0,11.0,29.0,33.0,35.0,14.0,26.0,24.0,49.0,34.0
981,1.0,0.0,10.0,2.0,4.0,6.0,11.0,13.0,31.0,9.0,7.0,12.0,18.0,16.0,3.0,5.0,76.0,68.0,32.0,8.0,17.0,57.0,14.0,22.0,41.0,25.0,19.0,36.0,61.0,103.0
1030,0.0,1.0,5.0,8.0,11.0,7.0,2.0,4.0,54.0,17.0,6.0,13.0,20.0,9.0,3.0,10.0,30.0,49.0,15.0,32.0,16.0,41.0,18.0,23.0,39.0,38.0,28.0,22.0,37.0,70.0
1079,2.0,0.0,5.0,10.0,1.0,9.0,7.0,4.0,23.0,6.0,15.0,12.0,11.0,28.0,3.0,30.0,32.0,47.0,13.0,29.0,20.0,44.0,41.0,36.0,24.0,18.0,39.0,37.0,38.0,84.0
1128,0.0,1.0,3.0,4.0,13.0,7.0,6.0,10.0,57.0,8.0,18.0,9.0,15.0,11.0,2.0,25.0,42.0,17.0,24.0,20.0,29.0,19.0,40.0,41.0,31.0,5.0,33.0,66.0,55.0,62.0
1177,1.0,3.0,6.0,2.0,7.0,8.0,31.0,0.0,29.0,11.0,5.0,20.0,18.0,14.0,4.0,15.0,60.0,55.0,49.0,24.0,21.0,44.0,40.0,56.0,19.0,34.0,13.0,75.0,22.0,71.0
1226,7.0,0.0,4.0,5.0,23.0,17.0,6.0,3.0,29.0,10.0,1.0,2.0,13.0,22.0,27.0,12.0,11.0,39.0,8.0,20.0,16.0,63.0,38.0,18.0,24.0,19.0,40.0,15.0,74.0,56.0
1275,0.0,2.0,1.0,8.0,9.0,5.0,7.0,4.0,31.0,11.0,13.0,14.0,6.0,12.0,3.0,10.0,39.0,50.0,15.0,32.0,22.0,79.0,23.0,27.0,16.0,20.0,24.0,49.0,25.0,91.0
1324,0.0,1.0,3.0,10.0,28.0,5.0,7.0,2.0,26.0,12.0,6.0,16.0,8.0,9.0,4.0,22.0,41.0,36.0,25.0,18.0,52.0,37.0,60.0,24.0,42.0,13.0,33.0,29.0,23.0,126.0
1373,0.0,1.0,7.0,4.0,18.0,8.0,5.0,3.0,26.0,9.0,15.0,6.0,35.0,10.0,2.0,17.0,50.0,57.0,11.0,25.0,20.0,58.0,24.0,56.0,16.0,33.0,32.0,34.0,31.0,72.0
1422,2.0,0.0,1.0,8.0,9.0,4.0,3.0,13.0,77.0,18.0,5.0,6.0,7.0,14.0,10.0,21.0,22.0,54.0,17.0,12.0,121.0,36.0,35.0,40.0,60.0,38.0,25.0,26.0,55.0,75.0
1471,0.0,1.0,2.0,6.0,4.0,3.0,7.0,11.0,5.0,16.0,20.0,14.0,12.0,34.0,18.0,38.0,15.0,10.0,9.0,8.0,86.0,26.0,13.0,30.0,25.0,21.0,65.0,60.0,27.0,29.0
1520,0.0,1.0,2.0,6.0,3.0,4.0,12.0,5.0,14.0,16.0,9.0,20.0,28.0,42.0,7.0,8.0,17.0,13.0,24.0,31.0,15.0,25.0,21.0,32.0,10.0,35.0,53.0,41.0,18.0,30.0
1569,0.0,1.0,3.0,6.0,7.0,4.0,17.0,12.0,10.0,14.0,2.0,40.0,30.0,11.0,32.0,9.0,5.0,18.0,8.0,23.0,15.0,26.0,13.0,48.0,53.0,43.0,19.0,49.0,24.0,27.0
1618,0.0,3.0,1.0,4.0,7.0,2.0,13.0,9.0,5.0,10.0,31.0,24.0,6.0,32.0,18.0,21.0,17.0,20.0,8.0,12.0,15.0,29.0,25.0,22.0,27.0,40.0,56.0,45.0,11.0,38.0
1667,1.0,0.0,3.0,6.0,2.0,5.0,4.0,10.0,9.0,11.0,15.0,21.0,25.0,14.0,35.0,8.0,7.0,28.0,22.0,13.0,18.0,31.0,16.0,24.0,19.0,26.0,42.0,50.0,29.0,33.0
1716,1.0,0.0,6.0,3.0,10.0,2.0,8.0,4.0,38.0,7.0,18.0,33.0,22.0,15.0,9.0,14.0,12.0,32.0,5.0,23.0,17.0,20.0,39.0,21.0,13.0,27.0,28.0,64.0,70.0,63.0
1765,1.0,0.0,2.0,6.0,5.0,3.0,11.0,9.0,4.0,18.0,13.0,10.0,22.0,30.0,25.0,36.0,7.0,20.0,14.0,16.0,8.0,19.0,24.0,35.0,28.0,42.0,38.0,43.0,12.0,15.0
1814,0.0,1.0,2.0,24.0,3.0,7.0,4.0,10.0,6.0,13.0,8.0,28.0,14.0,46.0,16.0,5.0,22.0,18.0,17.0,11.0,15.0,19.0,12.0,29.0,21.0,34.0,47.0,50.0,9.0,57.0
1863,2.0,0.0,5.0,6.0,1.0,4.0,3.0,19.0,7.0,11.0,23.0,37.0,33.0,36.0,9.0,32.0,17.0,27.0,16.0,12.0,8.0,28.0,14.0,51.0,10.0,43.0,87.0,48.0,38.0,18.0
1912,0.0,4.0,1.0,11.0,2.0,5.0,17.0,3.0,13.0,19.0,8.0,20.0,18.0,6.0,7.0,28.0,9.0,25.0,16.0,21.0,15.0,14.0,24.0,23.0,12.0,62.0,50.0,45.0,10.0,54.0
1961,5.0,3.0,0.0,8.0,1.0,7.0,21.0,2.0,9.0,10.0,4.0,17.0,11.0,6.0,55.0,18.0,16.0,24.0,14.0,13.0,22.0,15.0,12.0,38.0,49.0,82.0,25.0,27.0,28.0,29.0
2010,0.0,1.0,4.0,5.0,11.0,3.0,20.0,6.0,13.0,9.0,2.0,14.0,15.0,12.0,46.0,16.0,17.0,64.0,10.0,18.0,29.0,25.0,59.0,34.0,43.0,84.0,40.0,35.0,31.0,19.0
2059,1.0,0.0,2.0,4.0,15.0,9.0,7.0,3.0,14.0,5.0,6.0,36.0,11.0,10.0,27.0,16.0,8.0,13.0,12.0,24.0,34.0,21.0,43.0,42.0,18.0,51.0,30.0,23.0,68.0,35.0
2108,0.0,3.0,6.0,15.0,9.0,21.0,27.0,1.0,25.0,20.0,7.0,10.0,13.0,5.0,29.0,2.0,8.0,11.0,12.0,4.0,64.0,24.0,19.0,38.0,72.0,78.0,47.0,17.0,33.0,34.0
2157,2.0,0.0,4.0,3.0,6.0,5.0,47.0,1.0,15.0,7.0,9.0,17.0,36.0,46.0,41.0,49.0,14.0,13.0,27.0,18.0,20.0,38.0,30.0,23.0,42.0,63.0,11.0,28.0,19.0,16.0
2206,1.0,2.0,9.0,5.0,3.0,8.0,14.0,15.0,13.0,11.0,0.0,7.0,24.0,19.0,81.0,10.0,4.0,27.0,16.0,12.0,6.0,20.0,41.0,32.0,77.0,59.0,42.0,35.0,28.0,22.0
2255,0.0,1.0,3.0,9.0,4.0,11.0,20.0,5.0,19.0,12.0,2.0,13.0,15.0,8.0,28.0,10.0,6.0,18.0,7.0,21.0,16.0,31.0,38.0,26.0,49.0,81.0,24.0,23.0,29.0,48.0
2304,1.0,2.0,7.0,3.0,0.0,4.0,33.0,10.0,35.0,12.0,9.0,30.0,25.0,8.0,5.0,6.0,16.0,67.0,22.0,42.0,18.0,20.0,29.0,47.0,31.0,84.0,41.0,36.0,83.0,45.0
2353,0.0,1.0,3.0,2.0,7.0,6.0,29.0,4.0,15.0,10.0,9.0,44.0,12.0,11.0,26.0,14.0,24.0,16.0,8.0,28.0,5.0,35.0,19.0,30.0,27.0,49.0,33.0,73.0,43.0,51.0
2402,0.0,1.0,9.0,4.0,20.0,11.0,43.0,7.0,10.0,21.0,3.0,8.0,13.0,2.0,15.0,12.0,6.0,27.0,39.0,18.0,16.0,49.0,22.0,26.0,41.0,31.0,32.0,17.0,34.0,48.0
2451,0.0,2.0,3.0,4.0,14.0,8.0,9.0,11.0,1.0,16.0,12.0,5.0,21.0,15.0,13.0,28.0,17.0,7.0,22.0,19.0,20.0,50.0,10.0,32.0,30.0,6.0,35.0,79.0,90.0,36.0
2500,0.0,2.0,3.0,7.0,1.0,4.0,11.0,10.0,6.0,25.0,9.0,15.0,27.0,22.0,29.0,73.0,17.0,8.0,56.0,24.0,14.0,30.0,26.0,52.0,5.0,12.0,40.0,43.0,36.0,23.0
2549,0.0,3.0,5.0,2.0,4.0,6.0,8.0,11.0,9.0,1.0,15.0,10.0,18.0,22.0,17.0,13.0,30.0,16.0,21.0,31.0,7.0,26.0,12.0,36.0,14.0,20.0,73.0,102.0,24.0,27.0
2598,0.0,1.0,7.0,3.0,18.0,2.0,6.0,9.0,11.0,17.0,20.0,25.0,14.0,24.0,4.0,12.0,41.0,5.0,32.0,10.0,19.0,15.0,22.0,37.0,21.0,8.0,36.0,68.0,53.0,28.0
2647,1.0,0.0,5.0,6.0,7.0,10.0,18.0,25.0,12.0,4.0,8.0,2.0,9.0,14.0,13.0,3.0,31.0,11.0,16.0,28.0,42.0,29.0,20.0,23.0,53.0,21.0,54.0,79.0,59.0,51.0
2696,0.0,1.0,8.0,3.0,2.0,6.0,5.0,21.0,4.0,11.0,9.0,7.0,26.0,14.0,25.0,36.0,13.0,10.0,17.0,37.0,16.0,22.0,15.0,23.0,66.0,41.0,42.0,27.0,50.0,19.0
2745,0.0,3.0,4.0,1.0,7.0,5.0,2.0,9.0,13.0,12.0,19.0,6.0,63.0,29.0,27.0,22.0,16.0,8.0,48.0,10.0,15.0,18.0,23.0,21.0,41.0,40.0,43.0,47.0,35.0,17.0
2794,1.0,0.0,5.0,4.0,2.0,8.0,16.0,10.0,7.0,13.0,18.0,9.0,12.0,23.0,6.0,24.0,19.0,22.0,33.0,14.0,15.0,40.0,32.0,25.0,29.0,11.0,58.0,44.0,93.0,39.0
2843,0.0,1.0,7.0,2.0,4.0,3.0,6.0,22.0,16.0,13.0,15.0,9.0,26.0,12.0,5.0,11.0,21.0,10.0,28.0,24.0,8.0,31.0,20.0,38.0,17.0,36.0,25.0,64.0,58.0,23.0
2892,1.0,0.0,9.0,6.0,10.0,3.0,7.0,35.0,15.0,13.0,29.0,2.0,14.0,33.0,31.0,4.0,18.0,12.0,27.0,37.0,46.0,25.0,30.0,45.0,26.0,19.0,21.0,32.0,22.0,28.0
2941,5.0,1.0,0.0,16.0,2.0,11.0,9.0,15.0,7.0,19.0,14.0,3.0,10.0,4.0,8.0,31.0,6.0,12.0,32.0,13.0,70.0,44.0,23.0,22.0,40.0,20.0,27.0,50.0,89.0,64.0
2990,2.0,4.0,1.0,7.0,19.0,13.0,3.0,33.0,9.0,26.0,14.0,0.0,12.0,6.0,10.0,17.0,5.0,8.0,21.0,11.0,66.0,23.0,43.0,20.0,44.0,52.0,35.0,29.0,25.0,74.0
3039,16.0,2.0,3.0,6.0,18.0,7.0,8.0,13.0,1.0,15.0,14.0,4.0,11.0,17.0,5.0,25.0,0.0,35.0,10.0,12.0,69.0,34.0,56.0,19.0,38.0,60.0,31.0,40.0,9.0,107.0
3088,5.0,1.0,2.0,3.0,10.0,4.0,7.0,27.0,18.0,9.0,15.0,0.0,6.0,8.0,11.0,14.0,16.0,13.0,19.0,26.0,67.0,30.0,37.0,48.0,85.0,12.0,47.0,25.0,38.0,60.0
3137,5.0,1.0,2.0,9.0,15.0,6.0,10.0,8.0,28.0,44.0,29.0,0.0,7.0,11.0,4.0,21.0,22.0,3.0,42.0,19.0,88.0,40.0,53.0,23.0,34.0,20.0,55.0,26.0,13.0,50.0
3186,3.0,0.0,1.0,4.0,14.0,8.0,7.0,6.0,9.0,11.0,19.0,2.0,15.0,12.0,13.0,5.0,22.0,21.0,16.0,20.0,105.0,46.0,17.0,18.0,45.0,10.0,57.0,25.0,26.0,85.0
3235,8.0,3.0,0.0,9.0,2.0,10.0,1.0,11.0,13.0,4.0,31.0,5.0,16.0,6.0,7.0,26.0,12.0,14.0,17.0,15.0,87.0,23.0,40.0,27.0,48.0,39.0,24.0,66.0,25.0,116.0
3284,6.0,0.0,3.0,8.0,20.0,5.0,24.0,17.0,1.0,10.0,21.0,2.0,7.0,23.0,9.0,11.0,12.0,4.0,42.0,39.0,78.0,48.0,36.0,44.0,80.0,35.0,33.0,13.0,18.0,61.0
3333,0.0,1.0,2.0,10.0,11.0,6.0,5.0,7.0,12.0,13.0,22.0,8.0,4.0,20.0,9.0,14.0,17.0,3.0,18.0,32.0,42.0,29.0,15.0,40.0,25.0,19.0,55.0,62.0,24.0,82.0
3382,2.0,0.0,1.0,7.0,6.0,12.0,13.0,37.0,3.0,10.0,30.0,5.0,8.0,4.0,11.0,19.0,14.0,9.0,15.0,23.0,20.0,29.0,36.0,16.0,45.0,46.0,22.0,27.0,33.0,69.0
3431,0.0,1.0,3.0,4.0,5.0,7.0,26.0,6.0,24.0,9.0,16.0,40.0,2.0,47.0,15.0,36.0,30.0,38.0,12.0,20.0,33.0,22.0,14.0,18.0,41.0,8.0,67.0,35.0,42.0,37.0
3480,2.0,0.0,3.0,4.0,1.0,6.0,9.0,10.0,7.0,8.0,49.0,12.0,5.0,20.0,28.0,38.0,11.0,24.0,22.0,13.0,59.0,16.0,23.0,21.0,17.0,14.0,15.0,33.0,35.0,29.0
3529,1.0,2.0,5.0,3.0,0.0,6.0,11.0,20.0,16.0,4.0,32.0,9.0,13.0,27.0,39.0,55.0,7.0,14.0,30.0,29.0,23.0,17.0,12.0,42.0,45.0,60.0,25.0,22.0,8.0,36.0
3578,1.0,3.0,2.0,4.0,0.0,5.0,29.0,14.0,7.0,22.0,47.0,18.0,6.0,15.0,11.0,23.0,33.0,17.0,25.0,12.0,28.0,10.0,13.0,37.0,51.0,8.0,19.0,30.0,50.0,26.0
3627,1.0,3.0,2.0,5.0,0.0,7.0,18.0,19.0,6.0,8.0,34.0,41.0,4.0,24.0,31.0,43.0,38.0,17.0,15.0,10.0,23.0,13.0,11.0,20.0,14.0,9.0,30.0,28.0,39.0,25.0
3676,0.0,1.0,3.0,5.0,2.0,8.0,22.0,21.0,12.0,10.0,28.0,29.0,13.0,24.0,43.0,18.0,44.0,4.0,17.0,6.0,39.0,14.0,16.0,27.0,41.0,15.0,23.0,33.0,20.0,45.0
3725,0.0,8.0,1.0,12.0,4.0,5.0,33.0,11.0,30.0,28.0,24.0,3.0,6.0,14.0,10.0,50.0,9.0,16.0,32.0,15.0,57.0,29.0,77.0,25.0,23.0,7.0,20.0,55.0,31.0,48.0
3774,2.0,3.0,1.0,0.0,4.0,7.0,13.0,15.0,6.0,5.0,19.0,14.0,9.0,18.0,33.0,17.0,23.0,20.0,16.0,12.0,40.0,11.0,43.0,28.0,53.0,10.0,39.0,47.0,35.0,25.0
3823,1.0,6.0,2.0,4.0,0.0,8.0,47.0,12.0,3.0,18.0,38.0,24.0,5.0,16.0,58.0,50.0,21.0,22.0,57.0,20.0,44.0,25.0,29.0,35.0,63.0,7.0,17.0,14.0,49.0,40.0
3872,0.0,5.0,2.0,4.0,3.0,1.0,48.0,8.0,21.0,12.0,13.0,16.0,6.0,32.0,17.0,9.0,14.0,7.0,15.0,10.0,77.0,26.0,39.0,40.0,27.0,28.0,22.0,35.0,11.0,50.0
3921,1.0,5.0,6.0,0.0,8.0,2.0,3.0,4.0,14.0,10.0,60.0,36.0,20.0,7.0,11.0,9.0,22.0,12.0,21.0,16.0,53.0,23.0,37.0,25.0,18.0,29.0,30.0,33.0,35.0,84.0
3970,1.0,0.0,5.0,8.0,2.0,10.0,26.0,3.0,11.0,13.0,6.0,20.0,7.0,24.0,33.0,9.0,34.0,4.0,16.0,22.0,50.0,23.0,81.0,17.0,58.0,18.0,32.0,39.0,29.0,21.0
4019,1.0,0.0,2.0,3.0,16.0,6.0,4.0,7.0,13.0,14.0,12.0,18.0,5.0,11.0,15.0,9.0,28.0,10.0,32.0,33.0,42.0,19.0,39.0,8.0,54.0,29.0,31.0,27.0,24.0,23.0
4068,1.0,0.0,3.0,8.0,13.0,5.0,4.0,2.0,7.0,19.0,22.0,15.0,9.0,17.0,28.0,27.0,18.0,10.0,11.0,36.0,57.0,20.0,59.0,12.0,67.0,6.0,30.0,34.0,39.0,16.0
4117,8.0,0.0,1.0,4.0,7.0,9.0,2.0,6.0,17.0,5.0,19.0,23.0,16.0,11.0,18.0,13.0,24.0,10.0,3.0,15.0,21.0,22.0,34.0,14.0,52.0,31.0,53.0,35.0,43.0,41.0
4166,1.0,0.0,2.0,3.0,9.0,6.0,4.0,5.0,11.0,10.0,16.0,8.0,7.0,13.0,43.0,15.0,12.0,18.0,20.0,19.0,24.0,37.0,72.0,14.0,30.0,29.0,62.0,23.0,71.0,44.0
4215,0.0,1.0,3.0,2.0,13.0,7.0,5.0,4.0,6.0,8.0,16.0,17.0,18.0,14.0,11.0,15.0,12.0,23.0,19.0,10.0,26.0,22.0,39.0,9.0,27.0,24.0,36.0,25.0,34.0,40.0
4264,5.0,1.0,0.0,2.0,23.0,3.0,11.0,13.0,9.0,12.0,41.0,6.0,4.0,7.0,20.0,21.0,38.0,8.0,10.0,16.0,46.0,22.0,28.0,14.0,64.0,33.0,34.0,48.0,82.0,62.0
4313,5.0,0.0,1.0,3.0,2.0,6.0,10.0,7.0,8.0,4.0,12.0,27.0,17.0,11.0,16.0,13.0,14.0,9.0,24.0,42.0,26.0,21.0,30.0,25.0,19.0,15.0,41.0,89.0,52.0,31.0
4362,7.0,0.0,2.0,6.0,12.0,4.0,11.0,3.0,13.0,36.0,28.0,9.0,1.0,21.0,5.0,29.0,20.0,16.0,14.0,30.0,44.0,66.0,62.0,15.0,45.0,8.0,42.0,84.0,67.0,49.0
4411,17.0,2.0,0.0,7.0,5.0,10.0,1.0,18.0,3.0,8.0,4.0,6.0,12.0,15.0,11.0,48.0,14.0,9.0,16.0,27.0,23.0,13.0,25.0,28.0,24.0,42.0,67.0,82.0,22.0,53.0
4460,7.0,0.0,6.0,1.0,4.0,8.0,31.0,67.0,9.0,11.0,2.0,5.0,10.0,13.0,15.0,44.0,3.0,43.0,24.0,17.0,12.0,33.0,14.0,19.0,36.0,34.0,61.0,53.0,56.0,68.0
4509,4.0,6.0,1.0,15.0,0.0,25.0,8.0,13.0,9.0,11.0,2.0,7.0,14.0,17.0,40.0,26.0,10.0,20.0,5.0,21.0,16.0,22.0,3.0,18.0,28.0,96.0,31.0,76.0,39.0,30.0
4558,6.0,3.0,1.0,5.0,0.0,11.0,10.0,22.0,4.0,12.0,2.0,8.0,7.0,17.0,46.0,42.0,15.0,18.0,29.0,26.0,9.0,31.0,16.0,23.0,13.0,45.0,21.0,77.0,33.0,80.0
4607,6.0,9.0,0.0,2.0,3.0,8.0,7.0,11.0,1.0,18.0,5.0,10.0,21.0,17.0,39.0,13.0,4.0,24.0,29.0,14.0,20.0,26.0,28.0,22.0,12.0,44.0,57.0,15.0,16.0,27.0
4656,11.0,0.0,7.0,2.0,1.0,9.0,6.0,19.0,5.0,4.0,3.0,13.0,23.0,8.0,22.0,34.0,20.0,14.0,25.0,21.0,17.0,18.0,15.0,10.0,12.0,32.0,36.0,75.0,35.0,28.0
4705,8.0,3.0,2.0,9.0,1.0,6.0,11.0,28.0,0.0,29.0,7.0,5.0,18.0,21.0,23.0,62.0,13.0,16.0,32.0,14.0,20.0,25.0,10.0,17.0,4.0,88.0,44.0,84.0,73.0,31.0
4754,9.0,1.0,3.0,0.0,6.0,8.0,10.0,22.0,7.0,4.0,2.0,5.0,20.0,24.0,26.0,19.0,16.0,33.0,14.0,11.0,13.0,21.0,12.0,17.0,25.0,104.0,30.0,57.0,32.0,42.0
4803,1.0,0.0,14.0,7.0,2.0,15.0,16.0,10.0,3.0,6.0,4.0,27.0,21.0,17.0,28.0,37.0,22.0,26.0,32.0,12.0,23.0,13.0,5.0,24.0,9.0,39.0,38.0,70.0,36.0,30.0
4852,5.0,0.0,6.0,2.0,4.0,8.0,14.0,18.0,7.0,9.0,3.0,1.0,10.0,25.0,48.0,19.0,12.0,11.0,15.0,16.0,37.0,20.0,13.0,27.0,17.0,24.0,49.0,68.0,36.0,38.0
