,IRF8_DEL,RPL23AP82_DEL,NRAS_MUT,OR4C11_DEL,THSD7B_AMP,BRAF_MUT,PTEN_DEL,SFMBT1_AMP,BANP_DEL,DOCK10_AMP,GBP3_DEL,PIK3R4_MUT,ETS1_DEL,ATM_MUT,DMBT1_DEL,TP53_DEL,TP53_MUT,WNK1_DEL,EID3_DEL,EP300_MUT,ZBTB20_AMP,NKAIN2_DEL,ANKRD36B_DEL,PIP5K1B_DEL,KLRC2_DEL,OR4F4_AMP,GSTTP1_DEL,CFHR1_AMP,CSMD1_DEL,TPTE_DEL
1650,19.0,17.0,40.0,31.0,18.0,60.0,74.0,132.0,9202.0,5.0,38.0,48.0,106.0,39.0,78.0,100.0,99.0,95.0,10084.0,139.0,91.0,75.0,169.0,8588.0,3004.0,130.0,71.0,94.0,77.0,138.0
1699,596.0,27.0,38.0,10.0,25.0,149.0,72.0,131.0,9190.0,60.0,911.0,4.0,6052.0,134.0,79.0,7042.0,90.0,128.0,10082.0,16209.0,147.0,40.0,154.0,8593.0,3000.0,172.0,107.0,94.0,106.0,7006.0
1748,74.0,28.0,36.0,46.0,2.0,40.0,140.0,21988.0,9197.0,67.0,53.0,93.0,107.0,30.0,110.0,70.0,190.0,52.0,10086.0,71.0,145.0,7.0,95.0,8592.0,3005.0,80.0,54.0,63.0,171.0,90.0
1797,5.0,16.0,3.0,8.0,19161.0,37.0,54.0,61.0,9195.0,63.0,34.0,15914.0,81.0,17.0,138.0,125.0,115.0,141.0,10095.0,16207.0,92.0,3647.0,152.0,8586.0,96.0,146.0,83.0,103.0,167.0,68.0
1846,21.0,36.0,28.0,69.0,58.0,39.0,88.0,53.0,9193.0,104.0,60.0,11.0,138.0,78.0,150.0,92.0,73.0,44.0,10086.0,16209.0,115.0,80.0,158.0,8594.0,3012.0,132.0,79.0,48.0,100.0,97.0
1895,22.0,13.0,27.0,5817.0,12.0,78.0,11411.0,42.0,9197.0,158.0,54.0,41.0,100.0,46.0,162.0,168.0,83.0,53.0,10088.0,16209.0,139.0,74.0,124.0,8591.0,3010.0,116.0,136.0,154.0,159.0,94.0
1944,8.0,7.0,29.0,28.0,5.0,56.0,31.0,43.0,9207.0,21418.0,33.0,32.0,62.0,61.0,115.0,108.0,103.0,147.0,10084.0,16209.0,138.0,98.0,112.0,8591.0,3012.0,101.0,107.0,181.0,183.0,60.0
1993,604.0,10.0,22.0,11.0,38.0,46.0,11416.0,31.0,21.0,51.0,75.0,95.0,52.0,16012.0,86.0,7047.0,190.0,32.0,80.0,16211.0,142.0,36.0,135.0,8596.0,42.0,117.0,5102.0,82.0,112.0,141.0
2042,19.0,8.0,14.0,44.0,45.0,64.0,11390.0,21992.0,9210.0,21422.0,1124.0,92.0,23.0,16011.0,62.0,29.0,84.0,11299.0,37.0,114.0,39.0,177.0,94.0,8591.0,56.0,118.0,5100.0,14452.0,154.0,6993.0
2091,706.0,4.0,36.0,43.0,8.0,77.0,11414.0,62.0,18.0,21424.0,9.0,15916.0,10.0,15989.0,41.0,30.0,88.0,112.0,102.0,66.0,109.0,3516.0,164.0,8591.0,79.0,119.0,5098.0,186.0,120.0,115.0
2140,4.0,38.0,20.0,8.0,28.0,62.0,11440.0,24.0,9200.0,21.0,874.0,15897.0,33.0,16009.0,75.0,49.0,99.0,11276.0,18.0,58.0,111.0,3525.0,91.0,8588.0,13.0,142.0,5085.0,167.0,86.0,175.0
2189,2.0,1244.0,51.0,10.0,78.0,119.0,46.0,88.0,32.0,89.0,121.0,15916.0,81.0,15988.0,86.0,20.0,152.0,97.0,33.0,16208.0,104.0,3530.0,140.0,8589.0,36.0,127.0,131.0,188.0,143.0,7030.0
2238,14.0,19.0,15991.0,24.0,94.0,38.0,76.0,42.0,9.0,60.0,41.0,88.0,22.0,16006.0,57.0,29.0,70.0,46.0,28.0,16205.0,71.0,3579.0,131.0,8589.0,150.0,125.0,79.0,210.0,122.0,142.0
2287,10.0,3.0,18.0,93.0,12.0,16575.0,23.0,47.0,48.0,21418.0,909.0,15896.0,59.0,16009.0,96.0,109.0,104.0,11317.0,31.0,16209.0,129.0,3512.0,97.0,8589.0,44.0,175.0,5090.0,187.0,87.0,157.0
2336,10.0,14.0,38.0,44.0,127.0,54.0,11384.0,21990.0,33.0,53.0,95.0,15892.0,6051.0,81.0,78.0,57.0,85.0,49.0,76.0,16208.0,112.0,3587.0,110.0,8591.0,173.0,140.0,5089.0,203.0,117.0,96.0
2385,10.0,21.0,30.0,43.0,41.0,84.0,77.0,36.0,7.0,67.0,144.0,15920.0,52.0,16011.0,108.0,70.0,75.0,152.0,134.0,81.0,158.0,3522.0,138.0,8597.0,95.0,172.0,69.0,181.0,159.0,7011.0
2434,10.0,15.0,25.0,28.0,19197.0,60.0,65.0,21982.0,52.0,21432.0,114.0,15910.0,54.0,16001.0,82.0,37.0,146.0,89.0,10076.0,16203.0,110.0,3637.0,161.0,8587.0,81.0,168.0,71.0,140.0,139.0,121.0
2483,47.0,10.0,37.0,5814.0,28.0,16562.0,48.0,35.0,18.0,21424.0,938.0,34.0,144.0,16006.0,99.0,90.0,53.0,71.0,147.0,30.0,61.0,66.0,91.0,36.0,29.0,145.0,5096.0,14461.0,110.0,6992.0
2532,8.0,19.0,40.0,5837.0,19173.0,16569.0,27.0,24.0,64.0,71.0,946.0,48.0,62.0,41.0,216.0,55.0,128.0,143.0,84.0,57.0,121.0,3521.0,198.0,8598.0,33.0,134.0,79.0,101.0,149.0,7011.0
2581,30.0,0.0,11.0,20.0,107.0,54.0,67.0,35.0,9199.0,72.0,944.0,82.0,96.0,119.0,50.0,7046.0,61.0,78.0,37.0,65.0,114.0,57.0,202.0,8593.0,56.0,151.0,5094.0,14449.0,89.0,7031.0
2630,87.0,5.0,23.0,5823.0,71.0,42.0,82.0,50.0,9.0,104.0,945.0,108.0,38.0,15991.0,105.0,173.0,169.0,119.0,111.0,41.0,114.0,115.0,162.0,99.0,3017.0,132.0,40.0,14459.0,131.0,113.0
2679,19.0,1372.0,21.0,43.0,30.0,73.0,45.0,21994.0,9197.0,78.0,96.0,2.0,42.0,61.0,81.0,26.0,130.0,11298.0,54.0,22.0,118.0,79.0,122.0,63.0,71.0,85.0,166.0,180.0,140.0,117.0
2728,8.0,6.0,10.0,14.0,125.0,19.0,74.0,61.0,31.0,44.0,914.0,33.0,90.0,68.0,91.0,197.0,181.0,152.0,48.0,16211.0,158.0,86.0,138.0,75.0,34.0,164.0,130.0,14454.0,118.0,7007.0
2777,23.0,2.0,27.0,12.0,102.0,118.0,32.0,42.0,9196.0,78.0,939.0,48.0,44.0,16012.0,66.0,59.0,185.0,117.0,10101.0,43.0,129.0,152.0,142.0,58.0,35.0,90.0,82.0,14458.0,111.0,7033.0
2826,0.0,61.0,13.0,5817.0,19161.0,65.0,11383.0,21994.0,9195.0,21425.0,26.0,14.0,98.0,59.0,127.0,80.0,115.0,11314.0,110.0,66.0,130.0,72.0,126.0,8598.0,159.0,162.0,102.0,81.0,155.0,6975.0
2875,25.0,11.0,17.0,99.0,87.0,64.0,41.0,74.0,24.0,55.0,7.0,15898.0,115.0,16008.0,88.0,59.0,96.0,90.0,72.0,82.0,148.0,123.0,146.0,33.0,32.0,185.0,5095.0,157.0,102.0,6978.0
2924,19.0,10.0,15.0,50.0,19162.0,60.0,73.0,89.0,9193.0,21421.0,8.0,15917.0,41.0,16011.0,126.0,120.0,189.0,110.0,10086.0,54.0,80.0,103.0,128.0,77.0,57.0,172.0,5096.0,90.0,147.0,109.0
2973,605.0,80.0,24.0,53.0,57.0,30.0,61.0,23.0,11.0,54.0,128.0,43.0,161.0,15992.0,130.0,171.0,81.0,49.0,99.0,134.0,177.0,87.0,142.0,122.0,3015.0,55.0,92.0,14459.0,188.0,7042.0
3022,605.0,3.0,15996.0,99.0,45.0,23.0,87.0,25.0,7.0,21425.0,5.0,15898.0,189.0,6.0,221.0,7049.0,70.0,44.0,20.0,50.0,116.0,158.0,97.0,110.0,3013.0,49.0,5104.0,105.0,148.0,7011.0
3071,379.0,48.0,42.0,39.0,10.0,77.0,41.0,27.0,8.0,21.0,57.0,47.0,6062.0,15992.0,138.0,112.0,102.0,86.0,10091.0,61.0,148.0,132.0,98.0,58.0,59.0,90.0,168.0,14452.0,125.0,6997.0
3120,2.0,8.0,14.0,63.0,7.0,46.0,32.0,20.0,9214.0,129.0,48.0,123.0,6068.0,70.0,127.0,150.0,99.0,118.0,105.0,102.0,234.0,3530.0,64.0,114.0,202.0,115.0,159.0,204.0,209.0,6984.0
3169,603.0,35.0,41.0,10.0,61.0,23.0,83.0,7.0,5.0,21422.0,52.0,42.0,77.0,15987.0,173.0,105.0,133.0,11296.0,36.0,85.0,125.0,75.0,143.0,8590.0,3010.0,101.0,99.0,119.0,146.0,6989.0
3218,4.0,6.0,8.0,50.0,55.0,89.0,56.0,78.0,71.0,21425.0,947.0,18.0,70.0,15985.0,35.0,101.0,111.0,45.0,24.0,113.0,175.0,3520.0,98.0,109.0,107.0,61.0,73.0,195.0,162.0,7033.0
3267,0.0,15.0,23.0,19.0,54.0,139.0,36.0,41.0,12.0,108.0,924.0,72.0,179.0,15991.0,81.0,7048.0,76.0,25.0,10093.0,16213.0,203.0,3525.0,11939.0,65.0,56.0,199.0,5102.0,14458.0,149.0,7011.0
3316,12.0,45.0,14.0,28.0,122.0,36.0,55.0,39.0,9158.0,42.0,50.0,43.0,6042.0,74.0,63.0,111.0,84.0,58.0,0.0,16205.0,156.0,136.0,127.0,108.0,3001.0,85.0,5081.0,61.0,167.0,6967.0
3365,600.0,45.0,15993.0,35.0,72.0,39.0,111.0,29.0,14.0,82.0,58.0,23.0,170.0,15986.0,63.0,161.0,141.0,73.0,8.0,121.0,169.0,3516.0,190.0,47.0,3005.0,134.0,5092.0,93.0,216.0,6974.0
3414,607.0,35.0,47.0,21.0,103.0,39.0,46.0,21993.0,7.0,23.0,62.0,56.0,94.0,15991.0,91.0,29.0,66.0,38.0,117.0,149.0,88.0,3518.0,138.0,84.0,87.0,109.0,5100.0,205.0,208.0,7008.0
3463,4.0,40.0,18.0,39.0,32.0,74.0,46.0,29.0,9192.0,30.0,45.0,41.0,66.0,57.0,100.0,20.0,78.0,107.0,47.0,82.0,136.0,3517.0,88.0,8591.0,3001.0,197.0,132.0,87.0,188.0,81.0
3512,11.0,10.0,18.0,49.0,19.0,98.0,44.0,23.0,24.0,130.0,912.0,74.0,80.0,149.0,68.0,92.0,79.0,105.0,32.0,113.0,138.0,3583.0,122.0,58.0,54.0,169.0,152.0,52.0,10795.0,111.0
3561,4.0,52.0,57.0,80.0,56.0,34.0,65.0,46.0,63.0,154.0,82.0,15897.0,150.0,15991.0,112.0,136.0,115.0,188.0,10100.0,40.0,131.0,3517.0,118.0,8591.0,69.0,205.0,5094.0,96.0,126.0,116.0
3610,2.0,55.0,47.0,0.0,46.0,16568.0,56.0,33.0,9195.0,17.0,907.0,15919.0,31.0,16011.0,77.0,70.0,89.0,66.0,10090.0,123.0,150.0,42.0,95.0,8594.0,3006.0,168.0,5097.0,109.0,130.0,119.0
3659,758.0,1.0,30.0,29.0,37.0,35.0,34.0,154.0,9190.0,41.0,54.0,11.0,6043.0,16006.0,77.0,24.0,115.0,200.0,98.0,106.0,124.0,65.0,71.0,95.0,74.0,164.0,60.0,144.0,105.0,6973.0
3708,11.0,26.0,14.0,52.0,23.0,28.0,35.0,19.0,9198.0,29.0,45.0,103.0,25.0,57.0,91.0,22.0,100.0,13.0,6.0,16214.0,118.0,200.0,78.0,8595.0,3008.0,163.0,79.0,116.0,182.0,174.0
3757,16.0,39.0,12.0,160.0,23.0,42.0,21.0,15.0,9183.0,36.0,83.0,54.0,88.0,72.0,94.0,7029.0,62.0,208.0,78.0,16204.0,60.0,3640.0,89.0,8581.0,24.0,131.0,147.0,76.0,196.0,30.0
3806,9.0,7.0,30.0,37.0,22.0,75.0,55.0,34.0,9187.0,21.0,39.0,15915.0,153.0,134.0,106.0,29.0,51.0,140.0,56.0,102.0,113.0,13.0,78.0,8584.0,3001.0,130.0,79.0,90.0,163.0,100.0
3855,32.0,4.0,16154.0,5827.0,23.0,33.0,44.0,26.0,6.0,53.0,46.0,15915.0,60.0,76.0,103.0,7053.0,42.0,11299.0,140.0,16208.0,101.0,161.0,89.0,8593.0,125.0,134.0,86.0,41.0,189.0,6981.0
3904,7.0,21.0,12.0,5819.0,17.0,10.0,37.0,4.0,18.0,59.0,23.0,15918.0,39.0,22.0,134.0,7043.0,64.0,105.0,80.0,16211.0,154.0,3514.0,97.0,56.0,72.0,149.0,5092.0,89.0,135.0,108.0
3953,78.0,1367.0,15994.0,49.0,62.0,2.0,36.0,52.0,24.0,53.0,109.0,27.0,28.0,15989.0,138.0,7036.0,110.0,48.0,10080.0,65.0,50.0,3651.0,11952.0,34.0,3002.0,63.0,61.0,146.0,167.0,6974.0
4002,23.0,72.0,60.0,25.0,19180.0,83.0,52.0,75.0,9192.0,62.0,26.0,15915.0,31.0,16007.0,5380.0,33.0,88.0,112.0,10082.0,16209.0,90.0,123.0,92.0,118.0,86.0,145.0,70.0,146.0,179.0,6978.0
4051,24.0,71.0,15992.0,43.0,35.0,60.0,133.0,53.0,9193.0,28.0,932.0,15917.0,18.0,70.0,120.0,7037.0,110.0,11299.0,10085.0,16209.0,161.0,167.0,84.0,85.0,150.0,103.0,145.0,14445.0,192.0,106.0
4100,13.0,1363.0,79.0,3.0,50.0,40.0,104.0,77.0,23.0,42.0,97.0,53.0,6051.0,16005.0,84.0,95.0,185.0,66.0,10080.0,16206.0,129.0,46.0,80.0,55.0,3001.0,111.0,5094.0,14448.0,168.0,7039.0
4149,607.0,1375.0,77.0,98.0,19165.0,16568.0,79.0,65.0,9196.0,117.0,28.0,99.0,19.0,16.0,141.0,8.0,186.0,44.0,10085.0,144.0,130.0,114.0,126.0,112.0,3008.0,173.0,160.0,188.0,136.0,61.0
4198,604.0,33.0,15994.0,4.0,17.0,88.0,28.0,104.0,29.0,23.0,69.0,15898.0,78.0,16010.0,218.0,70.0,201.0,54.0,10087.0,68.0,110.0,84.0,73.0,121.0,3004.0,86.0,59.0,181.0,92.0,101.0
4247,21.0,1244.0,16245.0,24.0,26.0,71.0,11383.0,79.0,17.0,47.0,49.0,43.0,14.0,115.0,206.0,25.0,92.0,143.0,10080.0,16205.0,140.0,3583.0,133.0,85.0,2974.0,103.0,151.0,14442.0,104.0,74.0
4296,600.0,1372.0,44.0,9.0,158.0,39.0,53.0,21989.0,18.0,68.0,950.0,15918.0,13.0,56.0,97.0,7047.0,131.0,45.0,99.0,102.0,162.0,21.0,22.0,89.0,69.0,75.0,185.0,14456.0,177.0,138.0
4345,4.0,11.0,17.0,44.0,2.0,16562.0,116.0,30.0,63.0,18.0,77.0,60.0,12.0,16006.0,46.0,7039.0,95.0,11295.0,10084.0,94.0,111.0,33.0,86.0,48.0,37.0,139.0,47.0,175.0,133.0,79.0
4394,19.0,1367.0,22.0,4.0,96.0,16569.0,91.0,47.0,5.0,35.0,57.0,44.0,21.0,16012.0,5384.0,7044.0,124.0,110.0,131.0,16215.0,168.0,62.0,170.0,48.0,130.0,111.0,148.0,163.0,144.0,65.0
4443,462.0,41.0,15995.0,5821.0,38.0,22.0,33.0,19.0,9194.0,146.0,916.0,15918.0,6059.0,16010.0,99.0,7043.0,138.0,140.0,86.0,73.0,69.0,109.0,116.0,131.0,3007.0,57.0,172.0,155.0,113.0,130.0
4492,600.0,1366.0,15995.0,5829.0,12.0,79.0,60.0,22047.0,18.0,42.0,105.0,15918.0,134.0,29.0,109.0,135.0,101.0,80.0,50.0,16211.0,76.0,36.0,158.0,103.0,3008.0,73.0,5109.0,14460.0,64.0,137.0
4541,2.0,1361.0,93.0,5815.0,57.0,51.0,45.0,37.0,55.0,65.0,912.0,81.0,6053.0,28.0,78.0,7041.0,130.0,11316.0,112.0,16211.0,94.0,153.0,127.0,36.0,2999.0,76.0,5092.0,121.0,115.0,42.0
4590,1.0,3.0,15994.0,5821.0,12.0,29.0,49.0,103.0,19.0,21415.0,920.0,15917.0,26.0,8.0,101.0,99.0,166.0,42.0,135.0,34.0,65.0,171.0,136.0,98.0,3021.0,97.0,83.0,60.0,177.0,125.0
4639,10.0,3.0,15996.0,5815.0,18.0,16570.0,11392.0,87.0,59.0,70.0,16.0,12.0,53.0,65.0,117.0,58.0,188.0,99.0,129.0,52.0,109.0,118.0,94.0,49.0,3004.0,66.0,127.0,193.0,153.0,148.0
4688,25.0,30.0,23.0,5817.0,11.0,18.0,35.0,21987.0,12.0,33.0,37.0,57.0,6055.0,31.0,92.0,7044.0,178.0,55.0,10085.0,16210.0,111.0,24.0,168.0,49.0,3001.0,135.0,128.0,14453.0,189.0,127.0
4737,14.0,1368.0,15992.0,5814.0,58.0,16564.0,85.0,21989.0,9194.0,21421.0,32.0,37.0,6051.0,22.0,82.0,30.0,166.0,55.0,124.0,10.0,62.0,3509.0,69.0,52.0,84.0,74.0,88.0,132.0,175.0,7037.0
4786,13.0,367.0,9.0,5762.0,42.0,46.0,43.0,38.0,37.0,51.0,867.0,15908.0,6009.0,95.0,137.0,90.0,96.0,91.0,69.0,82.0,139.0,44.0,84.0,8579.0,2990.0,62.0,5072.0,93.0,63.0,72.0
4835,7.0,372.0,15987.0,5778.0,98.0,54.0,41.0,93.0,9187.0,85.0,50.0,15910.0,6039.0,62.0,102.0,39.0,134.0,46.0,153.0,16204.0,118.0,94.0,51.0,15.0,2997.0,82.0,42.0,83.0,45.0,160.0
4884,13.0,1364.0,44.0,5814.0,45.0,61.0,91.0,21986.0,9189.0,121.0,919.0,15916.0,6052.0,81.0,107.0,153.0,199.0,135.0,80.0,106.0,112.0,17.0,82.0,56.0,3000.0,94.0,128.0,169.0,97.0,6980.0
