,ITGA9,RP1-97D16.1,ST6GALNAC5,GGT6,RPL7AP28,ZNF334,UCP2,BMPR1B,ILDR1,CCBL2,TRIM58,RASSF9,AC016710.1,RP11-288H12.3,C2orf54,TMEM98,KCNIP2-AS1,RP11-389O22.4,FOXJ1,RP11-44F14.2,TSPYL5,MATN3,AC090804.1,SRBD1,TBX3,MAGEA6,C20orf112,CTB-36O1.3,CITED4,RP11-834C11.4
695,3.0,30.0,21.0,24.0,0.0,2.0,180.0,119.0,65.0,11.0,7.0,104.0,133.0,10.0,150.0,15.0,86.0,5.0,41.0,123.0,25.0,56.0,67.0,97.0,28.0,434.0,23.0,9.0,20.0,4.0
744,3.0,14.0,1.0,11.0,0.0,4.0,6.0,29.0,17.0,5.0,61.0,35.0,227.0,25.0,27.0,13.0,245.0,46.0,72.0,44.0,12.0,26.0,103.0,19.0,9.0,168.0,23.0,60.0,76.0,47.0
793,14.0,1.0,6.0,8.0,2.0,0.0,5.0,4.0,10.0,28.0,145.0,11.0,136.0,9.0,16.0,38.0,27.0,41.0,123.0,24.0,53.0,162.0,228.0,15.0,109.0,31.0,29.0,60.0,50.0,39.0
842,0.0,1.0,15.0,5.0,2.0,16.0,6.0,13.0,10.0,3.0,125.0,25.0,145.0,20.0,14.0,110.0,107.0,29.0,184.0,27.0,353.0,94.0,35.0,50.0,21.0,122.0,36.0,9.0,96.0,8.0
891,4.0,5.0,0.0,14.0,3.0,6.0,10.0,18.0,74.0,25.0,17.0,21.0,208.0,7.0,56.0,8.0,83.0,40.0,475.0,48.0,16.0,37.0,228.0,75.0,42.0,385.0,12.0,64.0,33.0,26.0
940,1.0,4.0,0.0,13.0,2.0,3.0,12.0,6.0,24.0,5.0,37.0,23.0,76.0,17.0,15.0,25.0,389.0,29.0,42.0,22.0,18.0,74.0,207.0,16.0,85.0,11.0,27.0,50.0,26.0,7.0
989,2.0,40.0,3.0,9.0,1.0,5.0,19.0,0.0,10.0,28.0,56.0,4.0,57.0,18.0,12.0,67.0,32.0,25.0,90.0,6.0,37.0,33.0,65.0,71.0,125.0,118.0,147.0,13.0,8.0,38.0
1038,1.0,5.0,3.0,108.0,0.0,7.0,6.0,4.0,63.0,23.0,16.0,8.0,2.0,40.0,52.0,21.0,46.0,11.0,609.0,9.0,159.0,34.0,139.0,61.0,92.0,234.0,10.0,283.0,153.0,55.0
1087,0.0,6.0,4.0,12.0,2.0,40.0,3.0,1.0,11.0,41.0,292.0,8.0,17.0,5.0,57.0,31.0,115.0,52.0,22.0,21.0,18.0,16.0,35.0,36.0,198.0,329.0,19.0,63.0,84.0,15.0
1136,0.0,14.0,1.0,9.0,11.0,2.0,5.0,13.0,16.0,8.0,82.0,19.0,47.0,3.0,22.0,4.0,25.0,33.0,52.0,6.0,107.0,55.0,177.0,80.0,26.0,83.0,17.0,274.0,67.0,160.0
1185,8.0,22.0,1.0,26.0,0.0,9.0,5.0,6.0,18.0,17.0,45.0,10.0,2.0,4.0,55.0,31.0,68.0,98.0,712.0,16.0,49.0,87.0,167.0,138.0,137.0,770.0,104.0,415.0,169.0,121.0
1234,0.0,2.0,1.0,24.0,4.0,5.0,9.0,3.0,31.0,15.0,102.0,7.0,8.0,6.0,111.0,83.0,45.0,10.0,164.0,13.0,17.0,48.0,74.0,42.0,255.0,82.0,23.0,28.0,12.0,118.0
1283,14.0,5.0,0.0,21.0,28.0,19.0,2.0,1.0,38.0,11.0,366.0,9.0,92.0,10.0,17.0,8.0,64.0,26.0,102.0,46.0,57.0,32.0,654.0,91.0,711.0,7.0,58.0,191.0,109.0,6.0
1332,0.0,3.0,2.0,55.0,1.0,4.0,11.0,6.0,16.0,57.0,54.0,9.0,5.0,30.0,34.0,7.0,68.0,81.0,63.0,12.0,45.0,52.0,61.0,19.0,151.0,17.0,21.0,25.0,44.0,42.0
1381,0.0,40.0,30.0,1.0,11.0,20.0,2.0,5.0,25.0,165.0,234.0,6.0,12.0,3.0,82.0,60.0,8.0,46.0,53.0,27.0,23.0,4.0,32.0,124.0,19.0,22.0,36.0,54.0,13.0,50.0
1430,0.0,204.0,52.0,2.0,1.0,12.0,103.0,55.0,46.0,31.0,9.0,15.0,5.0,3.0,161.0,61.0,116.0,10.0,616.0,448.0,18.0,180.0,220.0,231.0,22.0,317.0,117.0,6.0,72.0,19.0
1479,4.0,0.0,2.0,6.0,3.0,8.0,1.0,11.0,10.0,13.0,360.0,9.0,70.0,31.0,42.0,17.0,20.0,83.0,14.0,24.0,7.0,15.0,47.0,34.0,49.0,52.0,40.0,36.0,43.0,116.0
1528,2.0,68.0,4.0,15.0,3.0,10.0,1.0,24.0,20.0,127.0,41.0,14.0,11.0,27.0,18.0,45.0,9.0,124.0,26.0,34.0,0.0,80.0,30.0,32.0,29.0,33.0,110.0,19.0,8.0,42.0
1577,1.0,21.0,5.0,7.0,4.0,84.0,3.0,35.0,10.0,2.0,9.0,43.0,13.0,34.0,20.0,12.0,55.0,24.0,25.0,63.0,40.0,54.0,15.0,48.0,67.0,11.0,260.0,0.0,27.0,86.0
1626,11.0,2.0,7.0,36.0,0.0,25.0,3.0,1.0,10.0,19.0,105.0,5.0,15.0,118.0,81.0,13.0,67.0,27.0,42.0,51.0,4.0,76.0,131.0,24.0,450.0,17.0,16.0,545.0,12.0,152.0
1675,2.0,3.0,35.0,48.0,1.0,8.0,0.0,6.0,14.0,12.0,26.0,7.0,13.0,28.0,242.0,31.0,64.0,32.0,21.0,70.0,4.0,17.0,11.0,25.0,41.0,266.0,92.0,10.0,22.0,65.0
1724,2.0,0.0,6.0,15.0,47.0,5.0,1.0,53.0,7.0,45.0,164.0,26.0,75.0,87.0,81.0,34.0,28.0,229.0,14.0,54.0,3.0,38.0,13.0,48.0,58.0,8.0,126.0,10.0,22.0,51.0
1773,1.0,3.0,6.0,9.0,8.0,7.0,0.0,48.0,4.0,63.0,21.0,170.0,102.0,34.0,58.0,11.0,23.0,85.0,14.0,32.0,2.0,38.0,59.0,42.0,15.0,94.0,69.0,693.0,10.0,37.0
1822,1.0,2.0,32.0,11.0,6.0,46.0,0.0,24.0,5.0,17.0,99.0,142.0,44.0,25.0,29.0,45.0,69.0,38.0,8.0,34.0,3.0,31.0,12.0,27.0,21.0,7.0,168.0,28.0,10.0,48.0
1871,1.0,0.0,4.0,43.0,3.0,12.0,2.0,8.0,6.0,11.0,66.0,14.0,20.0,223.0,24.0,72.0,61.0,163.0,26.0,18.0,7.0,100.0,138.0,15.0,80.0,151.0,218.0,10.0,17.0,29.0
1920,8.0,20.0,1058.0,2.0,0.0,26.0,6.0,49.0,5.0,19.0,56.0,16.0,51.0,15.0,296.0,276.0,35.0,37.0,245.0,384.0,12.0,4.0,13.0,45.0,7.0,25.0,150.0,133.0,3.0,156.0
1969,0.0,4.0,8.0,3.0,6.0,2.0,21.0,23.0,30.0,1.0,15.0,38.0,60.0,64.0,12.0,9.0,287.0,10.0,14.0,51.0,255.0,66.0,34.0,29.0,46.0,214.0,27.0,5.0,100.0,312.0
2018,0.0,3.0,69.0,4.0,16.0,73.0,1.0,79.0,22.0,25.0,82.0,290.0,91.0,30.0,29.0,85.0,14.0,35.0,15.0,51.0,729.0,31.0,2.0,36.0,48.0,38.0,110.0,5.0,119.0,502.0
2067,7.0,10.0,0.0,3.0,46.0,6.0,8.0,99.0,47.0,19.0,29.0,320.0,85.0,88.0,2.0,1.0,61.0,17.0,9.0,26.0,174.0,105.0,48.0,36.0,76.0,5.0,57.0,172.0,223.0,35.0
2116,0.0,191.0,25.0,7.0,2.0,15.0,37.0,1.0,103.0,10.0,49.0,4.0,38.0,65.0,3.0,16.0,29.0,98.0,18.0,63.0,782.0,82.0,79.0,27.0,52.0,615.0,47.0,9.0,451.0,186.0
2165,0.0,1.0,13.0,2.0,27.0,7.0,4.0,15.0,17.0,9.0,6.0,14.0,18.0,53.0,21.0,12.0,245.0,5.0,16.0,195.0,25.0,59.0,44.0,66.0,50.0,97.0,52.0,42.0,89.0,307.0
2214,0.0,5.0,8.0,12.0,7.0,4.0,2.0,1.0,53.0,13.0,20.0,17.0,52.0,26.0,38.0,32.0,35.0,11.0,3.0,44.0,361.0,66.0,19.0,30.0,129.0,86.0,29.0,10.0,56.0,121.0
2263,4.0,8.0,14.0,0.0,17.0,2.0,3.0,24.0,60.0,5.0,127.0,13.0,426.0,9.0,6.0,53.0,122.0,1.0,63.0,190.0,49.0,36.0,10.0,23.0,51.0,129.0,15.0,16.0,212.0,375.0
2312,1.0,13.0,56.0,0.0,14.0,40.0,30.0,18.0,369.0,22.0,3.0,16.0,15.0,31.0,41.0,231.0,21.0,7.0,53.0,232.0,59.0,181.0,19.0,47.0,226.0,68.0,8.0,38.0,44.0,131.0
2361,10.0,8.0,1.0,0.0,6.0,21.0,14.0,24.0,100.0,17.0,22.0,11.0,76.0,23.0,4.0,69.0,25.0,39.0,288.0,56.0,15.0,31.0,30.0,19.0,254.0,82.0,36.0,37.0,42.0,746.0
2410,0.0,40.0,3.0,5.0,20.0,25.0,9.0,112.0,21.0,22.0,7.0,15.0,6.0,14.0,1.0,12.0,110.0,147.0,4.0,73.0,2716.0,546.0,30.0,18.0,119.0,17.0,122.0,2.0,185.0,1013.0
2459,0.0,3.0,5.0,1.0,104.0,2.0,35.0,55.0,23.0,18.0,8.0,33.0,7.0,46.0,10.0,40.0,43.0,6.0,34.0,9.0,11.0,64.0,60.0,47.0,14.0,17.0,42.0,117.0,12.0,20.0
2508,1.0,14.0,286.0,0.0,52.0,22.0,101.0,19.0,58.0,37.0,85.0,5.0,4.0,17.0,6.0,97.0,8.0,41.0,116.0,63.0,68.0,23.0,30.0,70.0,16.0,3.0,10.0,155.0,24.0,149.0
2557,28.0,5.0,2.0,1.0,40.0,3.0,0.0,7.0,34.0,24.0,98.0,12.0,45.0,38.0,10.0,214.0,15.0,44.0,16.0,79.0,6.0,4.0,73.0,127.0,11.0,23.0,107.0,283.0,9.0,74.0
2606,0.0,2.0,1.0,11.0,77.0,4.0,8.0,54.0,79.0,175.0,30.0,41.0,7.0,26.0,124.0,50.0,27.0,6.0,15.0,71.0,3.0,76.0,48.0,39.0,10.0,29.0,32.0,63.0,19.0,102.0
2655,6.0,2.0,5.0,0.0,17.0,3.0,33.0,29.0,16.0,8.0,12.0,10.0,7.0,24.0,23.0,106.0,21.0,1.0,43.0,22.0,11.0,107.0,78.0,39.0,85.0,4.0,96.0,34.0,9.0,37.0
2704,4.0,0.0,15.0,3.0,90.0,10.0,13.0,2.0,40.0,14.0,63.0,9.0,5.0,25.0,23.0,11.0,7.0,117.0,74.0,19.0,51.0,129.0,46.0,32.0,34.0,22.0,17.0,3455.0,6.0,166.0
2753,0.0,2.0,12.0,1.0,364.0,19.0,16.0,13.0,26.0,41.0,15.0,76.0,23.0,3.0,14.0,141.0,8.0,5.0,7.0,28.0,18.0,70.0,55.0,49.0,61.0,9.0,24.0,579.0,40.0,17.0
2802,1.0,27.0,10.0,0.0,77.0,14.0,25.0,11.0,105.0,5.0,19.0,7.0,9.0,23.0,31.0,69.0,3.0,6.0,30.0,227.0,111.0,50.0,107.0,46.0,13.0,44.0,48.0,79.0,316.0,68.0
2851,10.0,0.0,5.0,1.0,71.0,2.0,28.0,21.0,101.0,13.0,16.0,12.0,6.0,8.0,4.0,176.0,7.0,17.0,62.0,30.0,23.0,20.0,55.0,40.0,41.0,18.0,54.0,436.0,3.0,69.0
2900,3.0,5.0,0.0,7.0,772.0,10.0,24.0,19.0,67.0,1.0,43.0,28.0,6.0,70.0,25.0,16.0,27.0,2.0,46.0,17.0,44.0,71.0,507.0,127.0,34.0,4.0,140.0,267.0,426.0,49.0
2949,0.0,6.0,15.0,7.0,3.0,2.0,11.0,4.0,51.0,31.0,16.0,139.0,47.0,66.0,56.0,25.0,36.0,18.0,60.0,107.0,1.0,5.0,104.0,86.0,158.0,133.0,61.0,67.0,17.0,12.0
2998,21.0,127.0,5.0,2.0,3.0,10.0,4.0,0.0,15.0,18.0,40.0,12.0,154.0,39.0,31.0,9.0,111.0,77.0,96.0,294.0,17.0,25.0,168.0,32.0,510.0,30.0,1.0,67.0,112.0,74.0
3047,1.0,38.0,14.0,23.0,16.0,7.0,4.0,0.0,18.0,161.0,159.0,10.0,91.0,59.0,197.0,29.0,11.0,15.0,28.0,81.0,26.0,19.0,41.0,63.0,95.0,20.0,5.0,47.0,8.0,179.0
3096,6.0,88.0,4.0,3.0,9.0,2.0,35.0,37.0,10.0,26.0,19.0,47.0,21.0,81.0,28.0,23.0,70.0,5.0,90.0,50.0,1.0,30.0,46.0,59.0,143.0,0.0,27.0,7.0,40.0,14.0
3145,3.0,7.0,0.0,15.0,8.0,2.0,39.0,1.0,41.0,22.0,91.0,4.0,46.0,34.0,18.0,29.0,42.0,40.0,276.0,197.0,11.0,66.0,47.0,61.0,678.0,57.0,10.0,27.0,76.0,96.0
3194,0.0,35.0,1.0,10.0,4.0,2.0,17.0,8.0,23.0,20.0,18.0,19.0,13.0,91.0,27.0,3.0,362.0,5.0,106.0,400.0,25.0,163.0,274.0,51.0,73.0,7.0,70.0,58.0,6.0,56.0
3243,4.0,102.0,2.0,3.0,212.0,7.0,41.0,1.0,12.0,32.0,42.0,29.0,9.0,27.0,19.0,8.0,87.0,0.0,391.0,60.0,45.0,10.0,36.0,169.0,69.0,30.0,11.0,71.0,24.0,43.0
3292,0.0,25.0,14.0,2.0,10.0,4.0,15.0,1.0,22.0,48.0,323.0,5.0,24.0,77.0,35.0,36.0,84.0,33.0,226.0,37.0,7.0,12.0,32.0,60.0,486.0,53.0,9.0,45.0,28.0,30.0
3341,15.0,16.0,67.0,6.0,25.0,1.0,17.0,5.0,4.0,96.0,22.0,48.0,19.0,36.0,1113.0,176.0,196.0,41.0,568.0,354.0,0.0,7.0,212.0,186.0,49.0,85.0,58.0,243.0,141.0,52.0
3390,5.0,3.0,7.0,8.0,10.0,1.0,183.0,12.0,28.0,19.0,70.0,9.0,90.0,324.0,35.0,15.0,72.0,6.0,45.0,36.0,49.0,101.0,67.0,73.0,174.0,85.0,30.0,0.0,2.0,71.0
3439,11.0,3.0,39.0,1.0,0.0,14.0,24.0,54.0,18.0,26.0,7.0,102.0,27.0,4.0,2.0,152.0,21.0,42.0,65.0,17.0,644.0,51.0,16.0,63.0,217.0,72.0,481.0,30.0,20.0,291.0
3488,5.0,1.0,29.0,0.0,41.0,22.0,8.0,95.0,14.0,18.0,17.0,93.0,33.0,6.0,32.0,609.0,27.0,21.0,30.0,53.0,76.0,24.0,66.0,36.0,57.0,9.0,1418.0,26.0,10.0,23.0
3537,4.0,31.0,66.0,10.0,0.0,6.0,44.0,292.0,11.0,26.0,2.0,69.0,54.0,16.0,35.0,216.0,29.0,48.0,61.0,38.0,13.0,19.0,21.0,57.0,74.0,56.0,294.0,17.0,50.0,7.0
3586,4.0,3.0,17.0,13.0,0.0,16.0,36.0,121.0,26.0,11.0,1.0,50.0,21.0,42.0,23.0,173.0,39.0,12.0,22.0,8.0,110.0,74.0,28.0,96.0,160.0,63.0,636.0,31.0,32.0,52.0
3635,1.0,10.0,25.0,12.0,3.0,0.0,15.0,226.0,24.0,19.0,9.0,84.0,68.0,16.0,33.0,155.0,36.0,11.0,43.0,39.0,28.0,14.0,17.0,47.0,98.0,70.0,543.0,152.0,5.0,46.0
3684,40.0,15.0,37.0,1.0,0.0,25.0,19.0,56.0,46.0,2.0,583.0,26.0,1355.0,6.0,3.0,58.0,51.0,44.0,62.0,34.0,9.0,20.0,200.0,30.0,276.0,35.0,383.0,69.0,192.0,121.0
3733,26.0,10.0,18.0,0.0,9.0,7.0,32.0,126.0,19.0,17.0,11.0,43.0,31.0,6.0,24.0,705.0,21.0,5.0,35.0,28.0,60.0,12.0,15.0,37.0,91.0,38.0,230.0,4.0,20.0,56.0
3782,3.0,58.0,18.0,1.0,0.0,11.0,12.0,156.0,67.0,19.0,6.0,615.0,32.0,49.0,48.0,257.0,110.0,4.0,174.0,54.0,7.0,23.0,60.0,153.0,34.0,139.0,259.0,95.0,5.0,16.0
3831,3.0,23.0,9.0,1.0,2.0,17.0,11.0,943.0,33.0,43.0,7.0,158.0,59.0,14.0,4.0,535.0,8.0,49.0,71.0,34.0,116.0,15.0,25.0,104.0,39.0,12.0,654.0,48.0,13.0,98.0
3880,0.0,91.0,58.0,16.0,29.0,97.0,71.0,64.0,20.0,70.0,26.0,139.0,28.0,3.0,5.0,253.0,1.0,174.0,12.0,7.0,1881.0,63.0,21.0,301.0,124.0,33.0,934.0,44.0,47.0,82.0
3929,0.0,2.0,83.0,38.0,18.0,87.0,23.0,33.0,105.0,226.0,3.0,210.0,11.0,58.0,314.0,43.0,15.0,88.0,1.0,59.0,973.0,45.0,28.0,63.0,13.0,1011.0,74.0,966.0,32.0,40.0
3978,9.0,1.0,0.0,15.0,89.0,51.0,20.0,96.0,70.0,90.0,3.0,77.0,5.0,224.0,26.0,34.0,10.0,116.0,39.0,13.0,1001.0,67.0,162.0,75.0,30.0,2.0,28.0,553.0,56.0,71.0
4027,0.0,8.0,43.0,3.0,15.0,76.0,21.0,54.0,65.0,310.0,11.0,19.0,1.0,36.0,40.0,6.0,9.0,77.0,4.0,23.0,4931.0,90.0,48.0,49.0,33.0,24.0,103.0,316.0,55.0,926.0
4076,6.0,0.0,1.0,13.0,102.0,64.0,11.0,26.0,79.0,43.0,2.0,165.0,7.0,107.0,52.0,3.0,21.0,24.0,4.0,49.0,1634.0,152.0,100.0,86.0,23.0,20.0,51.0,307.0,92.0,71.0
4125,0.0,1.0,3.0,16.0,80.0,36.0,13.0,14.0,52.0,53.0,15.0,23.0,6.0,91.0,77.0,7.0,11.0,131.0,5.0,43.0,5805.0,108.0,469.0,75.0,17.0,46.0,65.0,240.0,57.0,162.0
4174,2.0,0.0,1.0,13.0,28.0,41.0,12.0,71.0,45.0,99.0,6.0,163.0,17.0,75.0,30.0,5.0,16.0,33.0,3.0,53.0,1062.0,40.0,117.0,73.0,10.0,19.0,267.0,153.0,24.0,92.0
4223,3.0,2.0,10.0,5.0,231.0,66.0,40.0,19.0,240.0,16.0,26.0,91.0,87.0,121.0,15.0,35.0,1.0,112.0,7.0,269.0,2476.0,203.0,935.0,73.0,9.0,50.0,103.0,2460.0,478.0,164.0
4272,5.0,1.0,4.0,34.0,31.0,41.0,20.0,14.0,66.0,109.0,0.0,33.0,2.0,15.0,86.0,114.0,25.0,24.0,35.0,32.0,903.0,39.0,220.0,143.0,17.0,18.0,80.0,1132.0,51.0,82.0
4321,1.0,0.0,2.0,17.0,8.0,40.0,18.0,4.0,14.0,76.0,7.0,16.0,3.0,195.0,13.0,68.0,33.0,45.0,73.0,20.0,10697.0,54.0,157.0,47.0,29.0,74.0,49.0,258.0,116.0,84.0
4370,2.0,1.0,3.0,82.0,19.0,88.0,18.0,920.0,62.0,81.0,6.0,172.0,0.0,68.0,84.0,24.0,20.0,29.0,4.0,157.0,1009.0,41.0,67.0,199.0,25.0,28.0,17.0,47.0,16.0,133.0
4419,0.0,46.0,48.0,21.0,1.0,25.0,221.0,8.0,44.0,43.0,3.0,10.0,2.0,111.0,58.0,4.0,178.0,16.0,13.0,93.0,5.0,78.0,49.0,98.0,53.0,37.0,27.0,6.0,26.0,14.0
4468,10.0,6.0,128.0,53.0,96.0,47.0,266.0,0.0,26.0,48.0,1.0,11.0,13.0,5.0,33.0,2.0,8.0,68.0,22.0,108.0,3.0,49.0,151.0,90.0,72.0,149.0,368.0,12.0,397.0,7.0
4517,0.0,29.0,28.0,39.0,3.0,4.0,38.0,2.0,16.0,10.0,52.0,6.0,7.0,181.0,23.0,1.0,193.0,15.0,13.0,33.0,31.0,96.0,65.0,36.0,17.0,84.0,204.0,61.0,83.0,68.0
4566,1.0,49.0,5.0,30.0,2.0,11.0,97.0,16.0,58.0,34.0,3.0,33.0,7.0,90.0,94.0,0.0,29.0,79.0,14.0,44.0,38.0,195.0,18.0,22.0,105.0,80.0,39.0,4.0,484.0,20.0
4615,1.0,30.0,44.0,48.0,9.0,2.0,153.0,36.0,84.0,5.0,3.0,260.0,67.0,76.0,91.0,0.0,19.0,17.0,4.0,43.0,72.0,320.0,61.0,55.0,13.0,281.0,25.0,54.0,198.0,49.0
4664,3.0,1.0,111.0,29.0,0.0,14.0,30.0,4.0,57.0,55.0,308.0,7.0,23.0,27.0,105.0,8.0,10.0,186.0,5.0,37.0,28.0,41.0,11.0,39.0,17.0,252.0,56.0,15.0,199.0,89.0
4713,1.0,12.0,5.0,15.0,2.0,7.0,31.0,8.0,18.0,19.0,4.0,10.0,9.0,47.0,6.0,0.0,29.0,37.0,11.0,22.0,77.0,43.0,30.0,33.0,25.0,89.0,91.0,3.0,17.0,76.0
4762,1.0,31.0,7.0,52.0,8.0,6.0,20.0,10.0,47.0,37.0,15.0,57.0,12.0,101.0,62.0,0.0,24.0,71.0,9.0,178.0,38.0,187.0,48.0,46.0,14.0,68.0,60.0,5.0,480.0,18.0
4811,1.0,105.0,62.0,34.0,0.0,17.0,23.0,7.0,44.0,57.0,30.0,16.0,9.0,173.0,160.0,4.0,22.0,38.0,5.0,133.0,11.0,99.0,15.0,77.0,42.0,201.0,8.0,3.0,13.0,60.0
4860,26.0,86.0,2.0,31.0,1.0,9.0,14.0,11.0,36.0,130.0,16.0,19.0,6.0,576.0,42.0,8.0,4.0,29.0,28.0,54.0,3.0,67.0,22.0,27.0,15.0,161.0,71.0,5.0,57.0,157.0
