,EP300_MUT,ARHGAP44_DEL,DIDO1_AMP,LOC643837_DEL,DLG2_AMP,EIF4G1_MUT,TSHZ2_AMP,MCEE_AMP,KRAS.G12_13_MUT,GRM5_DEL,THSD7B_AMP,CDH13_DEL,ADAM5_DEL,C15orf2_MUT,PTPRN2_AMP,HAR1B_AMP,PAX5_DEL,GSTTP1_DEL,SLC25A24_DEL,ZBTB20_AMP,CSMD3_MUT,MIPEPP3_DEL,OR4N3P_DEL,LOC727924_DEL,CNTLN_DEL,MGAM_DEL,GSTM1_DEL,SCAPER_DEL,SIRPB1_AMP,HLA-H_DEL
1944,30.0,50.0,42.0,19.0,28.0,11.0,25.0,60.0,15.0,291.0,19164.0,69.0,65.0,62.0,21639.0,0.0,139.0,5100.0,126.0,75.0,95.0,111.0,2788.0,164.0,9438.0,142.0,212.0,128.0,131.0,117.0
1993,21.0,33.0,13.0,10615.0,27.0,9.0,22.0,75.0,24134.0,20.0,19179.0,67.0,119.0,15925.0,5.0,23070.0,28.0,5080.0,42.0,112.0,32.0,109.0,37.0,136.0,172.0,116.0,49.0,169.0,84.0,88.0
2042,23.0,8156.0,8.0,9.0,29.0,16214.0,104.0,59.0,18.0,24.0,58.0,91.0,95.0,53.0,41.0,23074.0,42.0,141.0,106.0,146.0,112.0,135.0,93.0,101.0,9435.0,73.0,124.0,120.0,145.0,188.0
2091,20.0,4.0,8.0,38.0,25.0,3.0,41.0,47.0,24134.0,19.0,46.0,44.0,114.0,81.0,21630.0,23072.0,22.0,5086.0,78.0,97.0,58.0,142.0,130.0,80.0,43.0,134.0,109.0,137.0,101.0,57.0
2140,18.0,14.0,18084.0,7.0,19.0,15.0,27.0,43.0,113.0,10.0,19159.0,88.0,90.0,12.0,84.0,23100.0,35.0,5078.0,98.0,68.0,56.0,143.0,66.0,138.0,123.0,79.0,104.0,134.0,152.0,93.0
2189,14.0,8154.0,4.0,10618.0,17.0,29.0,142.0,121.0,42.0,45.0,55.0,79.0,159.0,15929.0,21631.0,23072.0,90.0,59.0,65.0,147.0,16130.0,99.0,115.0,77.0,81.0,128.0,160.0,84.0,70.0,144.0
2238,20.0,38.0,27.0,21.0,40.0,29.0,34.0,46.0,134.0,24.0,82.0,31.0,61.0,56.0,108.0,23100.0,50.0,5090.0,59.0,92.0,42.0,119.0,2382.0,105.0,179.0,144.0,103.0,75.0,155.0,153.0
2287,35.0,75.0,18085.0,38.0,34.0,33.0,36.0,19539.0,24134.0,37.0,48.0,59.0,78.0,111.0,21631.0,23072.0,20.0,5083.0,89.0,120.0,16106.0,11280.0,96.0,88.0,184.0,133.0,100.0,149.0,131.0,81.0
2336,12.0,8152.0,18099.0,0.0,18.0,16211.0,9.0,54.0,96.0,14.0,19199.0,102.0,94.0,15926.0,21626.0,23069.0,49.0,79.0,85.0,133.0,130.0,68.0,2759.0,121.0,35.0,91.0,165.0,86.0,151.0,119.0
2385,18.0,77.0,9.0,107.0,13225.0,8.0,24.0,94.0,24134.0,33.0,19198.0,66.0,86.0,16.0,21623.0,23067.0,50.0,104.0,70.0,128.0,60.0,32.0,67.0,144.0,132.0,8873.0,75.0,121.0,114.0,126.0
