,creatine,C20:4 CE,2-deoxycytidine,GABA,C22:6 CE,5-HIAA,3-phosphoglycerate,pantothenate,C36:1 DAG,creatinine,putrescine,hexoses (HILIC neg),homocysteine,SDMA/ADMA,C34:2 DAG,uridine,C36:4 PC-B,DHAP/glyceraldehyde 3P,C22:6 LPE,hypoxanthine,taurodeoxycholate,sarcosine,guanosine,inositol,hippurate,uracil,glutamine,carnitine,palmitoylcarnitine,C56:5 TAG
516,35.0,3.0,8.0,23.0,52.0,6.0,0.0,11.0,37.0,13.0,57.0,29.0,4.0,62.0,20.0,27.0,28.0,65.0,63.0,45.0,50.0,12.0,42.0,22.0,39.0,17.0,33.0,25.0,19.0,14.0
565,12.0,5.0,26.0,51.0,21.0,7.0,2.0,15.0,45.0,23.0,25.0,66.0,18.0,9.0,30.0,19.0,38.0,11.0,37.0,3.0,49.0,34.0,6.0,10.0,4.0,60.0,43.0,39.0,13.0,31.0
614,34.0,30.0,24.0,8.0,28.0,22.0,4.0,18.0,5.0,2.0,15.0,48.0,51.0,12.0,14.0,1.0,38.0,40.0,33.0,63.0,29.0,43.0,17.0,16.0,23.0,45.0,52.0,9.0,6.0,42.0
663,13.0,9.0,3.0,7.0,0.0,22.0,11.0,25.0,27.0,17.0,10.0,33.0,30.0,20.0,1.0,8.0,12.0,15.0,35.0,19.0,45.0,29.0,59.0,43.0,52.0,26.0,34.0,2.0,28.0,38.0
712,20.0,0.0,1.0,14.0,2.0,12.0,5.0,31.0,48.0,22.0,43.0,64.0,10.0,61.0,15.0,32.0,23.0,8.0,56.0,57.0,30.0,49.0,53.0,41.0,13.0,39.0,18.0,45.0,7.0,60.0
761,3.0,10.0,4.0,20.0,9.0,21.0,8.0,24.0,54.0,26.0,29.0,16.0,6.0,64.0,11.0,38.0,28.0,14.0,40.0,13.0,56.0,17.0,39.0,37.0,47.0,42.0,33.0,45.0,49.0,44.0
810,27.0,17.0,8.0,5.0,7.0,30.0,18.0,38.0,35.0,0.0,21.0,6.0,24.0,11.0,10.0,52.0,13.0,40.0,26.0,45.0,63.0,4.0,12.0,14.0,41.0,55.0,33.0,2.0,54.0,39.0
859,59.0,0.0,8.0,14.0,17.0,9.0,10.0,20.0,24.0,4.0,3.0,34.0,30.0,19.0,5.0,54.0,26.0,43.0,47.0,33.0,31.0,15.0,12.0,44.0,11.0,53.0,16.0,48.0,21.0,52.0
908,39.0,33.0,11.0,2.0,6.0,23.0,15.0,55.0,24.0,0.0,1.0,44.0,38.0,26.0,3.0,17.0,13.0,35.0,16.0,5.0,4.0,34.0,46.0,30.0,53.0,43.0,14.0,65.0,19.0,37.0
957,10.0,39.0,12.0,8.0,4.0,9.0,16.0,13.0,30.0,14.0,1.0,15.0,5.0,46.0,41.0,35.0,23.0,38.0,47.0,37.0,57.0,18.0,21.0,33.0,11.0,36.0,24.0,2.0,20.0,42.0
1006,7.0,60.0,17.0,24.0,25.0,16.0,11.0,20.0,15.0,0.0,63.0,26.0,8.0,59.0,5.0,9.0,4.0,12.0,13.0,55.0,2.0,32.0,54.0,53.0,19.0,23.0,39.0,3.0,41.0,34.0
1055,4.0,15.0,53.0,9.0,6.0,12.0,25.0,38.0,14.0,64.0,18.0,30.0,58.0,2.0,10.0,37.0,46.0,28.0,45.0,1.0,11.0,40.0,3.0,22.0,13.0,63.0,36.0,7.0,48.0,17.0
1104,33.0,52.0,14.0,16.0,6.0,27.0,10.0,39.0,7.0,0.0,62.0,9.0,32.0,30.0,54.0,36.0,22.0,21.0,38.0,4.0,1.0,45.0,40.0,20.0,15.0,26.0,37.0,8.0,17.0,46.0
1153,15.0,39.0,8.0,33.0,19.0,27.0,37.0,34.0,28.0,58.0,53.0,0.0,24.0,21.0,2.0,32.0,17.0,26.0,6.0,18.0,1.0,7.0,36.0,23.0,11.0,13.0,25.0,9.0,62.0,16.0
1202,1.0,25.0,28.0,15.0,23.0,13.0,46.0,8.0,5.0,7.0,66.0,20.0,33.0,30.0,14.0,10.0,16.0,35.0,11.0,40.0,44.0,12.0,48.0,45.0,42.0,39.0,4.0,6.0,55.0,49.0
1251,6.0,50.0,10.0,22.0,2.0,20.0,57.0,7.0,1.0,58.0,47.0,65.0,9.0,24.0,26.0,4.0,3.0,31.0,12.0,66.0,11.0,32.0,8.0,14.0,45.0,37.0,21.0,48.0,29.0,33.0
1300,7.0,14.0,26.0,11.0,37.0,9.0,34.0,18.0,6.0,5.0,4.0,2.0,66.0,21.0,58.0,24.0,15.0,31.0,22.0,42.0,0.0,39.0,41.0,10.0,48.0,27.0,25.0,62.0,52.0,13.0
1349,26.0,59.0,5.0,17.0,24.0,37.0,16.0,36.0,28.0,47.0,66.0,43.0,22.0,2.0,45.0,6.0,18.0,20.0,10.0,35.0,1.0,19.0,48.0,39.0,29.0,15.0,27.0,13.0,21.0,32.0
1398,11.0,45.0,10.0,25.0,17.0,22.0,30.0,40.0,38.0,62.0,9.0,1.0,27.0,24.0,32.0,46.0,7.0,37.0,8.0,5.0,19.0,54.0,33.0,20.0,58.0,26.0,18.0,44.0,55.0,13.0
1447,35.0,20.0,5.0,47.0,14.0,28.0,39.0,27.0,30.0,66.0,6.0,2.0,9.0,52.0,34.0,36.0,12.0,19.0,4.0,0.0,17.0,32.0,26.0,13.0,37.0,25.0,33.0,10.0,49.0,29.0
1496,4.0,40.0,14.0,20.0,23.0,21.0,39.0,43.0,45.0,61.0,28.0,10.0,0.0,36.0,30.0,48.0,27.0,22.0,13.0,34.0,65.0,51.0,50.0,16.0,33.0,26.0,38.0,6.0,32.0,3.0
1545,14.0,0.0,56.0,28.0,34.0,54.0,11.0,25.0,31.0,7.0,17.0,6.0,40.0,63.0,39.0,38.0,18.0,5.0,36.0,12.0,2.0,30.0,35.0,23.0,16.0,9.0,43.0,22.0,27.0,58.0
1594,6.0,20.0,9.0,46.0,47.0,45.0,25.0,31.0,16.0,57.0,32.0,48.0,10.0,56.0,15.0,27.0,42.0,17.0,22.0,23.0,5.0,2.0,37.0,3.0,43.0,29.0,40.0,13.0,21.0,1.0
1643,21.0,35.0,7.0,2.0,17.0,25.0,9.0,57.0,13.0,10.0,54.0,41.0,43.0,53.0,4.0,46.0,33.0,23.0,28.0,1.0,11.0,3.0,20.0,15.0,16.0,27.0,14.0,59.0,40.0,32.0
1692,35.0,51.0,36.0,52.0,4.0,25.0,21.0,38.0,18.0,16.0,12.0,7.0,41.0,46.0,2.0,10.0,26.0,15.0,39.0,27.0,0.0,11.0,43.0,19.0,22.0,13.0,30.0,50.0,32.0,54.0
1741,28.0,35.0,65.0,27.0,8.0,48.0,22.0,44.0,25.0,24.0,50.0,4.0,14.0,51.0,2.0,54.0,15.0,10.0,30.0,43.0,13.0,18.0,32.0,11.0,26.0,23.0,41.0,61.0,47.0,16.0
1790,25.0,18.0,22.0,31.0,14.0,23.0,28.0,39.0,42.0,30.0,59.0,13.0,17.0,24.0,52.0,21.0,47.0,29.0,50.0,4.0,9.0,5.0,10.0,8.0,26.0,40.0,44.0,48.0,20.0,32.0
1839,59.0,43.0,12.0,18.0,44.0,36.0,20.0,56.0,50.0,11.0,38.0,1.0,8.0,24.0,16.0,10.0,13.0,23.0,17.0,33.0,55.0,47.0,41.0,9.0,60.0,29.0,3.0,51.0,62.0,46.0
1888,4.0,48.0,18.0,50.0,20.0,51.0,47.0,31.0,19.0,3.0,39.0,8.0,16.0,12.0,34.0,49.0,26.0,22.0,25.0,35.0,2.0,10.0,14.0,9.0,13.0,45.0,32.0,28.0,36.0,0.0
1937,7.0,13.0,19.0,32.0,37.0,42.0,25.0,16.0,14.0,4.0,60.0,31.0,39.0,29.0,17.0,59.0,48.0,24.0,3.0,44.0,40.0,23.0,35.0,28.0,41.0,26.0,8.0,43.0,20.0,30.0
1986,0.0,15.0,58.0,8.0,23.0,12.0,21.0,46.0,10.0,64.0,49.0,24.0,20.0,13.0,43.0,16.0,60.0,25.0,40.0,9.0,2.0,59.0,41.0,31.0,37.0,45.0,14.0,38.0,18.0,35.0
2035,5.0,60.0,13.0,1.0,46.0,37.0,16.0,30.0,27.0,3.0,0.0,11.0,34.0,50.0,62.0,33.0,39.0,7.0,25.0,2.0,14.0,9.0,17.0,24.0,44.0,53.0,15.0,6.0,55.0,4.0
2084,1.0,30.0,52.0,18.0,27.0,17.0,33.0,11.0,26.0,63.0,46.0,28.0,8.0,21.0,61.0,25.0,14.0,53.0,58.0,56.0,36.0,62.0,37.0,19.0,12.0,44.0,9.0,20.0,13.0,6.0
2133,50.0,4.0,14.0,61.0,0.0,27.0,29.0,1.0,9.0,55.0,60.0,58.0,42.0,2.0,40.0,19.0,20.0,46.0,54.0,22.0,18.0,32.0,23.0,6.0,7.0,45.0,8.0,31.0,17.0,12.0
2182,61.0,26.0,12.0,18.0,30.0,15.0,59.0,8.0,23.0,35.0,14.0,17.0,44.0,21.0,1.0,37.0,55.0,49.0,20.0,31.0,0.0,2.0,27.0,47.0,6.0,5.0,42.0,52.0,56.0,36.0
2231,14.0,66.0,16.0,32.0,46.0,15.0,42.0,63.0,27.0,53.0,64.0,49.0,4.0,25.0,54.0,22.0,33.0,38.0,36.0,2.0,52.0,28.0,34.0,19.0,62.0,57.0,13.0,18.0,11.0,40.0
2280,7.0,6.0,15.0,53.0,34.0,21.0,25.0,1.0,23.0,14.0,48.0,20.0,11.0,42.0,31.0,2.0,50.0,39.0,40.0,63.0,36.0,10.0,54.0,28.0,17.0,18.0,32.0,61.0,27.0,64.0
2329,57.0,1.0,45.0,5.0,10.0,12.0,11.0,21.0,38.0,53.0,50.0,44.0,32.0,0.0,48.0,37.0,29.0,25.0,26.0,4.0,13.0,34.0,30.0,54.0,42.0,28.0,41.0,23.0,7.0,52.0
2378,0.0,5.0,53.0,3.0,22.0,9.0,29.0,45.0,23.0,43.0,62.0,32.0,40.0,16.0,25.0,34.0,46.0,10.0,20.0,30.0,4.0,56.0,33.0,52.0,60.0,14.0,21.0,8.0,26.0,35.0
2427,12.0,2.0,51.0,65.0,33.0,17.0,5.0,10.0,32.0,64.0,54.0,14.0,20.0,22.0,41.0,7.0,47.0,18.0,43.0,27.0,56.0,39.0,48.0,26.0,4.0,29.0,31.0,50.0,9.0,58.0
2476,3.0,4.0,58.0,18.0,8.0,23.0,28.0,27.0,15.0,9.0,2.0,10.0,5.0,22.0,57.0,40.0,59.0,0.0,35.0,53.0,41.0,44.0,6.0,14.0,51.0,19.0,50.0,56.0,33.0,11.0
2525,1.0,43.0,44.0,19.0,5.0,21.0,10.0,14.0,24.0,25.0,0.0,30.0,7.0,56.0,57.0,15.0,29.0,13.0,42.0,6.0,23.0,31.0,17.0,45.0,26.0,37.0,28.0,50.0,32.0,38.0
2574,0.0,17.0,38.0,18.0,61.0,13.0,4.0,1.0,9.0,64.0,21.0,15.0,42.0,62.0,30.0,16.0,31.0,32.0,14.0,47.0,7.0,8.0,39.0,35.0,49.0,2.0,40.0,12.0,29.0,56.0
2623,4.0,38.0,35.0,17.0,6.0,12.0,21.0,45.0,11.0,9.0,5.0,55.0,52.0,58.0,25.0,15.0,24.0,32.0,28.0,61.0,37.0,13.0,14.0,26.0,19.0,7.0,47.0,63.0,40.0,18.0
2672,10.0,53.0,11.0,18.0,42.0,14.0,44.0,13.0,24.0,9.0,33.0,27.0,1.0,43.0,4.0,38.0,32.0,19.0,20.0,21.0,8.0,29.0,23.0,35.0,37.0,7.0,36.0,57.0,28.0,25.0
2721,14.0,2.0,18.0,17.0,43.0,16.0,22.0,3.0,15.0,45.0,64.0,60.0,12.0,11.0,19.0,13.0,35.0,32.0,37.0,58.0,41.0,44.0,10.0,55.0,6.0,46.0,42.0,21.0,30.0,57.0
2770,24.0,7.0,25.0,21.0,49.0,18.0,28.0,5.0,29.0,8.0,12.0,15.0,2.0,50.0,0.0,43.0,30.0,26.0,33.0,36.0,11.0,19.0,22.0,31.0,47.0,3.0,20.0,41.0,17.0,23.0
2819,43.0,0.0,25.0,7.0,59.0,13.0,14.0,21.0,11.0,63.0,4.0,40.0,22.0,51.0,49.0,24.0,17.0,10.0,34.0,27.0,47.0,19.0,16.0,39.0,8.0,9.0,42.0,38.0,2.0,32.0
2868,63.0,35.0,11.0,34.0,13.0,17.0,19.0,31.0,39.0,4.0,10.0,1.0,3.0,23.0,42.0,38.0,8.0,33.0,16.0,21.0,57.0,9.0,18.0,41.0,44.0,7.0,12.0,37.0,32.0,6.0
2917,22.0,48.0,0.0,6.0,2.0,11.0,41.0,5.0,9.0,3.0,1.0,25.0,53.0,64.0,27.0,49.0,30.0,19.0,50.0,26.0,18.0,35.0,16.0,43.0,7.0,14.0,34.0,12.0,15.0,39.0
2966,18.0,35.0,51.0,25.0,7.0,53.0,23.0,59.0,3.0,16.0,39.0,24.0,28.0,54.0,62.0,31.0,26.0,32.0,58.0,37.0,17.0,57.0,5.0,40.0,29.0,10.0,22.0,45.0,30.0,47.0
3015,0.0,5.0,11.0,46.0,43.0,21.0,18.0,10.0,41.0,52.0,64.0,36.0,4.0,27.0,14.0,58.0,31.0,24.0,29.0,9.0,38.0,47.0,16.0,45.0,8.0,37.0,28.0,1.0,53.0,15.0
3064,22.0,27.0,41.0,57.0,28.0,12.0,23.0,3.0,14.0,47.0,64.0,8.0,33.0,10.0,42.0,51.0,46.0,29.0,50.0,52.0,39.0,60.0,17.0,16.0,49.0,45.0,31.0,13.0,5.0,18.0
3113,65.0,9.0,26.0,3.0,42.0,25.0,18.0,8.0,37.0,0.0,2.0,61.0,52.0,11.0,15.0,5.0,27.0,24.0,19.0,22.0,12.0,35.0,46.0,29.0,40.0,23.0,30.0,13.0,39.0,57.0
3162,27.0,6.0,32.0,59.0,25.0,26.0,31.0,7.0,22.0,8.0,15.0,2.0,13.0,42.0,23.0,35.0,34.0,36.0,43.0,17.0,47.0,38.0,29.0,24.0,44.0,28.0,62.0,11.0,52.0,33.0
3211,53.0,37.0,45.0,48.0,55.0,14.0,23.0,17.0,8.0,42.0,19.0,65.0,36.0,32.0,2.0,56.0,24.0,31.0,47.0,43.0,10.0,3.0,30.0,58.0,35.0,9.0,12.0,7.0,16.0,52.0
3260,1.0,58.0,39.0,47.0,50.0,14.0,22.0,17.0,13.0,34.0,16.0,66.0,61.0,65.0,26.0,5.0,25.0,31.0,29.0,30.0,36.0,11.0,3.0,52.0,56.0,42.0,21.0,63.0,23.0,37.0
3309,25.0,56.0,51.0,53.0,42.0,14.0,18.0,6.0,30.0,20.0,32.0,39.0,47.0,3.0,38.0,12.0,36.0,22.0,57.0,49.0,28.0,34.0,50.0,24.0,58.0,43.0,54.0,59.0,37.0,2.0
3358,0.0,55.0,5.0,21.0,13.0,26.0,17.0,7.0,18.0,64.0,12.0,49.0,14.0,35.0,15.0,29.0,23.0,22.0,36.0,48.0,43.0,44.0,11.0,40.0,25.0,57.0,46.0,3.0,6.0,9.0
3407,61.0,52.0,20.0,62.0,39.0,34.0,36.0,44.0,25.0,31.0,6.0,37.0,5.0,66.0,18.0,16.0,22.0,45.0,33.0,47.0,51.0,9.0,60.0,24.0,56.0,63.0,19.0,14.0,54.0,55.0
3456,7.0,24.0,9.0,41.0,14.0,19.0,32.0,26.0,1.0,22.0,21.0,5.0,56.0,16.0,51.0,12.0,48.0,27.0,20.0,43.0,23.0,11.0,35.0,30.0,47.0,18.0,10.0,36.0,13.0,8.0
3505,2.0,6.0,16.0,3.0,4.0,15.0,1.0,28.0,18.0,64.0,47.0,62.0,66.0,0.0,56.0,25.0,44.0,29.0,17.0,31.0,38.0,21.0,24.0,57.0,53.0,12.0,19.0,39.0,37.0,54.0
3554,18.0,9.0,35.0,24.0,27.0,25.0,10.0,44.0,13.0,12.0,23.0,3.0,55.0,62.0,58.0,1.0,17.0,31.0,50.0,46.0,39.0,45.0,49.0,5.0,4.0,38.0,52.0,60.0,33.0,41.0
3603,4.0,13.0,29.0,57.0,17.0,28.0,7.0,22.0,38.0,42.0,0.0,5.0,18.0,11.0,2.0,1.0,27.0,10.0,44.0,12.0,6.0,50.0,20.0,23.0,40.0,21.0,24.0,51.0,41.0,34.0
3652,36.0,11.0,65.0,14.0,13.0,19.0,16.0,12.0,17.0,0.0,5.0,18.0,4.0,37.0,15.0,62.0,20.0,52.0,53.0,23.0,25.0,39.0,26.0,38.0,50.0,8.0,22.0,46.0,28.0,30.0
3701,2.0,25.0,18.0,17.0,15.0,19.0,40.0,13.0,0.0,66.0,7.0,3.0,41.0,38.0,42.0,44.0,4.0,21.0,26.0,45.0,59.0,1.0,50.0,11.0,22.0,23.0,31.0,28.0,29.0,5.0
3750,58.0,15.0,27.0,38.0,3.0,23.0,45.0,10.0,17.0,0.0,8.0,19.0,1.0,6.0,4.0,53.0,55.0,33.0,24.0,18.0,5.0,54.0,11.0,31.0,60.0,22.0,13.0,46.0,35.0,2.0
3799,51.0,15.0,39.0,6.0,3.0,18.0,11.0,16.0,20.0,34.0,14.0,7.0,35.0,4.0,56.0,38.0,57.0,37.0,48.0,22.0,28.0,26.0,25.0,31.0,8.0,29.0,59.0,41.0,42.0,0.0
3848,11.0,14.0,18.0,7.0,54.0,44.0,55.0,23.0,38.0,39.0,1.0,21.0,63.0,51.0,5.0,10.0,25.0,37.0,31.0,48.0,33.0,13.0,24.0,41.0,66.0,43.0,30.0,2.0,53.0,15.0
3897,17.0,1.0,18.0,2.0,14.0,16.0,9.0,15.0,13.0,0.0,38.0,55.0,48.0,35.0,25.0,7.0,12.0,56.0,60.0,20.0,40.0,46.0,50.0,32.0,4.0,63.0,42.0,62.0,49.0,10.0
3946,43.0,11.0,49.0,26.0,14.0,48.0,20.0,8.0,13.0,39.0,32.0,36.0,4.0,12.0,45.0,38.0,29.0,10.0,5.0,3.0,6.0,55.0,41.0,35.0,50.0,27.0,46.0,15.0,51.0,16.0
3995,23.0,22.0,8.0,17.0,16.0,9.0,26.0,28.0,49.0,50.0,29.0,10.0,21.0,18.0,55.0,11.0,25.0,47.0,15.0,64.0,39.0,40.0,45.0,36.0,60.0,19.0,34.0,7.0,52.0,58.0
4044,11.0,9.0,12.0,6.0,2.0,17.0,10.0,23.0,24.0,65.0,8.0,36.0,26.0,34.0,51.0,14.0,58.0,37.0,13.0,4.0,42.0,5.0,48.0,29.0,28.0,38.0,39.0,46.0,44.0,25.0
4093,20.0,3.0,18.0,33.0,6.0,17.0,11.0,39.0,7.0,31.0,19.0,24.0,41.0,63.0,26.0,15.0,34.0,48.0,16.0,22.0,36.0,5.0,12.0,38.0,0.0,46.0,42.0,66.0,21.0,50.0
4142,24.0,7.0,16.0,32.0,2.0,29.0,26.0,10.0,42.0,15.0,12.0,11.0,9.0,35.0,36.0,45.0,17.0,4.0,20.0,8.0,54.0,33.0,0.0,46.0,28.0,65.0,61.0,23.0,56.0,63.0
4191,3.0,4.0,7.0,17.0,8.0,15.0,10.0,22.0,37.0,54.0,49.0,19.0,0.0,21.0,51.0,16.0,27.0,29.0,12.0,23.0,20.0,55.0,46.0,35.0,32.0,41.0,61.0,45.0,50.0,63.0
4240,2.0,7.0,17.0,9.0,46.0,11.0,5.0,3.0,12.0,15.0,66.0,47.0,18.0,20.0,60.0,6.0,55.0,13.0,19.0,8.0,26.0,22.0,32.0,36.0,25.0,51.0,27.0,21.0,38.0,30.0
4289,36.0,6.0,9.0,3.0,0.0,21.0,12.0,39.0,19.0,15.0,41.0,27.0,40.0,2.0,32.0,44.0,26.0,13.0,17.0,14.0,25.0,62.0,49.0,42.0,43.0,7.0,46.0,38.0,48.0,65.0
4338,6.0,3.0,5.0,61.0,8.0,12.0,13.0,46.0,44.0,29.0,21.0,28.0,17.0,32.0,33.0,27.0,35.0,10.0,19.0,0.0,36.0,7.0,14.0,37.0,1.0,49.0,57.0,2.0,22.0,40.0
4387,14.0,2.0,7.0,45.0,11.0,30.0,5.0,48.0,19.0,53.0,57.0,33.0,3.0,13.0,4.0,1.0,28.0,12.0,29.0,10.0,16.0,27.0,34.0,43.0,46.0,51.0,20.0,61.0,41.0,22.0
4436,24.0,36.0,29.0,39.0,10.0,28.0,37.0,18.0,14.0,0.0,44.0,25.0,41.0,54.0,4.0,12.0,23.0,35.0,34.0,19.0,9.0,21.0,17.0,50.0,20.0,59.0,40.0,1.0,52.0,45.0
4485,2.0,53.0,44.0,51.0,0.0,41.0,32.0,55.0,27.0,1.0,28.0,38.0,21.0,57.0,46.0,9.0,36.0,39.0,22.0,29.0,24.0,43.0,7.0,16.0,8.0,52.0,40.0,64.0,47.0,4.0
4534,1.0,3.0,58.0,10.0,27.0,32.0,23.0,13.0,28.0,60.0,17.0,55.0,40.0,14.0,11.0,15.0,30.0,20.0,12.0,45.0,57.0,31.0,43.0,26.0,0.0,48.0,63.0,49.0,18.0,5.0
4583,5.0,3.0,42.0,18.0,45.0,31.0,33.0,29.0,21.0,13.0,66.0,62.0,49.0,14.0,11.0,32.0,28.0,60.0,41.0,23.0,2.0,24.0,56.0,6.0,58.0,50.0,10.0,48.0,34.0,0.0
4632,1.0,12.0,38.0,8.0,37.0,20.0,22.0,0.0,7.0,3.0,40.0,10.0,49.0,54.0,11.0,31.0,35.0,43.0,9.0,25.0,16.0,30.0,63.0,21.0,36.0,24.0,33.0,41.0,6.0,19.0
4681,0.0,11.0,13.0,12.0,35.0,15.0,38.0,61.0,32.0,55.0,27.0,59.0,43.0,25.0,21.0,17.0,26.0,36.0,8.0,22.0,9.0,24.0,3.0,53.0,39.0,64.0,33.0,20.0,46.0,41.0
4730,16.0,30.0,52.0,29.0,32.0,48.0,45.0,34.0,27.0,1.0,23.0,54.0,49.0,20.0,57.0,3.0,46.0,35.0,8.0,37.0,40.0,22.0,9.0,43.0,19.0,15.0,21.0,50.0,14.0,12.0
4779,2.0,3.0,35.0,14.0,9.0,20.0,8.0,46.0,33.0,62.0,1.0,7.0,42.0,11.0,34.0,40.0,59.0,26.0,16.0,31.0,27.0,36.0,13.0,48.0,12.0,55.0,15.0,49.0,25.0,28.0
4828,0.0,11.0,44.0,6.0,15.0,37.0,22.0,8.0,36.0,10.0,3.0,55.0,24.0,63.0,19.0,40.0,43.0,20.0,14.0,33.0,47.0,59.0,31.0,21.0,39.0,61.0,56.0,26.0,54.0,50.0
4877,35.0,17.0,22.0,3.0,0.0,23.0,10.0,64.0,6.0,2.0,52.0,32.0,54.0,5.0,62.0,49.0,28.0,15.0,16.0,43.0,25.0,36.0,14.0,39.0,55.0,12.0,18.0,30.0,19.0,13.0
