,hsa-miR-558,hsa-miR-548a-3p,hsa-miR-148a,hsa-miR-205,hsa-miR-601,hsa-miR-604,hsa-miR-609,hsa-miR-223,hsa-miR-34c-5p,hsa-miR-512-3p,hsa-miR-508-3p,hsa-miR-657,hsa-miR-30c,hsa-miR-28-3p,hsa-miR-26b,hsa-miR-541,hsa-miR-548d-3p,hcmv-miR-US25-2-3p,hsa-miR-938,hsa-miR-1288,hsa-miR-711,hsa-miR-511,hsa-miR-877,hsa-miR-449b,hsa-miR-105,hsa-miR-1246,hsa-miR-616,hsa-miR-518d-3p,hsa-miR-320c,hsa-miR-571
4376,2.0,3.0,7.0,0.0,16.0,49.0,58.0,1.0,36.0,121.0,50.0,42.0,48.0,72.0,22.0,19.0,5.0,160.0,92.0,71.0,169.0,118.0,17.0,133.0,54.0,100.0,6.0,82.0,41.0,66.0
4425,6.0,4.0,3.0,1.0,2.0,9.0,12.0,8.0,20.0,46.0,83.0,99.0,7.0,64.0,25.0,15.0,148.0,38.0,88.0,19.0,296.0,76.0,5.0,14.0,16.0,113.0,224.0,60.0,96.0,74.0
4474,0.0,7.0,1.0,3.0,2.0,5.0,20.0,10.0,23.0,9.0,16.0,231.0,15.0,22.0,49.0,6.0,77.0,4.0,55.0,26.0,121.0,59.0,8.0,37.0,36.0,19.0,332.0,43.0,54.0,119.0
4523,0.0,3.0,12.0,6.0,1.0,4.0,9.0,5.0,43.0,23.0,11.0,110.0,15.0,37.0,22.0,27.0,29.0,2.0,85.0,41.0,33.0,35.0,14.0,24.0,20.0,10.0,368.0,46.0,112.0,71.0
4572,0.0,1.0,10.0,7.0,2.0,8.0,12.0,13.0,59.0,14.0,11.0,214.0,35.0,15.0,29.0,3.0,82.0,9.0,50.0,49.0,171.0,71.0,23.0,16.0,28.0,21.0,288.0,56.0,141.0,19.0
4621,1.0,0.0,13.0,5.0,2.0,36.0,9.0,3.0,24.0,15.0,41.0,58.0,78.0,88.0,23.0,19.0,51.0,37.0,122.0,179.0,4.0,17.0,26.0,64.0,12.0,28.0,175.0,141.0,125.0,8.0
4670,0.0,19.0,16.0,6.0,2.0,4.0,10.0,38.0,123.0,24.0,3.0,144.0,5.0,18.0,75.0,31.0,36.0,1.0,12.0,7.0,23.0,25.0,17.0,11.0,37.0,35.0,328.0,96.0,167.0,32.0
4719,0.0,6.0,20.0,4.0,3.0,17.0,37.0,50.0,42.0,12.0,92.0,26.0,9.0,79.0,40.0,2.0,126.0,1.0,96.0,28.0,16.0,67.0,10.0,45.0,27.0,22.0,210.0,64.0,118.0,106.0
4768,0.0,8.0,4.0,14.0,2.0,3.0,5.0,7.0,74.0,9.0,45.0,101.0,72.0,12.0,16.0,54.0,34.0,17.0,104.0,23.0,165.0,31.0,11.0,20.0,49.0,24.0,126.0,57.0,127.0,51.0
4817,0.0,2.0,3.0,16.0,1.0,6.0,15.0,4.0,12.0,9.0,56.0,96.0,7.0,27.0,112.0,13.0,36.0,8.0,51.0,32.0,164.0,48.0,46.0,64.0,18.0,22.0,259.0,45.0,90.0,102.0
4866,0.0,18.0,2.0,11.0,1.0,5.0,6.0,8.0,13.0,12.0,10.0,70.0,28.0,34.0,68.0,3.0,25.0,7.0,44.0,63.0,115.0,14.0,9.0,45.0,35.0,42.0,356.0,46.0,108.0,22.0
