,OESOPHAGUS,HAEMATOPOIETIC,THYROID,SOFT_TISSUE,GANGLIA,LUNG,BREAST,AERODIGESTIVE,ENDOMETRIUM,LIVER,SKIN,PLEURA,BILIARY,OVARY,URINARY,SALIVARY,STOMACH,PANCREAS,LARGE_INTESTINE,PROSTATE,BONE,KIDNEY,NERVOUS
927,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,10.0,12.0,15.0,11.0,7.0,13.0,14.0,17.0,16.0,21.0,18.0,20.0,19.0,22.0
976,0.0,3.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,16.0,10.0,12.0,13.0,15.0,14.0,17.0,18.0,21.0,19.0,20.0,22.0
1025,0.0,2.0,9.0,1.0,3.0,4.0,5.0,8.0,10.0,15.0,13.0,17.0,16.0,6.0,7.0,12.0,14.0,18.0,20.0,11.0,19.0,21.0,22.0
1074,1.0,0.0,11.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,15.0,16.0,10.0,12.0,13.0,9.0,14.0,18.0,17.0,19.0,20.0,21.0,22.0
1123,0.0,3.0,12.0,2.0,1.0,4.0,7.0,6.0,8.0,10.0,5.0,9.0,11.0,13.0,14.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
1172,1.0,0.0,9.0,2.0,3.0,18.0,12.0,8.0,14.0,5.0,10.0,13.0,7.0,6.0,4.0,11.0,16.0,17.0,19.0,15.0,21.0,20.0,22.0
1221,1.0,0.0,12.0,2.0,5.0,4.0,7.0,6.0,8.0,3.0,11.0,9.0,10.0,13.0,16.0,14.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
1270,1.0,0.0,11.0,2.0,5.0,4.0,3.0,6.0,7.0,8.0,13.0,18.0,10.0,15.0,12.0,9.0,14.0,17.0,16.0,19.0,20.0,21.0,22.0
1319,6.0,0.0,7.0,8.0,2.0,4.0,11.0,10.0,1.0,14.0,5.0,12.0,13.0,16.0,3.0,15.0,17.0,18.0,9.0,19.0,20.0,21.0,22.0
1368,1.0,0.0,11.0,14.0,4.0,3.0,6.0,5.0,7.0,8.0,2.0,17.0,10.0,12.0,13.0,9.0,16.0,19.0,18.0,20.0,21.0,15.0,22.0
1417,3.0,0.0,11.0,2.0,4.0,5.0,7.0,1.0,8.0,9.0,6.0,16.0,10.0,12.0,13.0,14.0,15.0,18.0,17.0,19.0,21.0,20.0,22.0
1466,2.0,0.0,12.0,3.0,4.0,6.0,9.0,8.0,10.0,5.0,17.0,16.0,11.0,1.0,13.0,14.0,15.0,18.0,7.0,20.0,19.0,21.0,22.0
1515,1.0,0.0,2.0,3.0,9.0,5.0,4.0,10.0,8.0,7.0,6.0,18.0,15.0,17.0,12.0,14.0,13.0,16.0,19.0,11.0,20.0,21.0,22.0
1564,0.0,4.0,1.0,12.0,3.0,7.0,6.0,8.0,5.0,10.0,2.0,9.0,11.0,16.0,15.0,14.0,13.0,17.0,19.0,20.0,18.0,21.0,22.0
1613,0.0,1.0,2.0,3.0,4.0,8.0,5.0,10.0,6.0,7.0,9.0,14.0,11.0,15.0,13.0,12.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
1662,7.0,0.0,8.0,1.0,2.0,5.0,6.0,9.0,4.0,15.0,3.0,10.0,11.0,17.0,13.0,12.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
1711,1.0,4.0,3.0,2.0,0.0,5.0,9.0,8.0,10.0,7.0,6.0,11.0,18.0,14.0,15.0,13.0,16.0,19.0,20.0,12.0,17.0,21.0,22.0
1760,0.0,2.0,1.0,11.0,3.0,5.0,7.0,6.0,8.0,9.0,4.0,15.0,10.0,12.0,16.0,13.0,14.0,17.0,18.0,19.0,20.0,22.0,21.0
1809,0.0,2.0,8.0,1.0,6.0,3.0,9.0,7.0,10.0,4.0,5.0,11.0,12.0,17.0,14.0,13.0,15.0,16.0,20.0,18.0,19.0,21.0,22.0
1858,4.0,0.0,1.0,2.0,3.0,5.0,9.0,8.0,6.0,15.0,13.0,10.0,11.0,16.0,14.0,12.0,17.0,18.0,7.0,19.0,20.0,21.0,22.0
1907,1.0,0.0,2.0,3.0,4.0,5.0,10.0,9.0,11.0,7.0,6.0,18.0,12.0,16.0,14.0,13.0,15.0,17.0,8.0,19.0,21.0,22.0,20.0
1956,4.0,0.0,1.0,2.0,3.0,5.0,7.0,9.0,8.0,15.0,6.0,10.0,11.0,16.0,13.0,12.0,14.0,17.0,21.0,19.0,20.0,18.0,22.0
2005,2.0,0.0,7.0,11.0,1.0,6.0,3.0,8.0,9.0,5.0,4.0,20.0,16.0,12.0,13.0,15.0,14.0,18.0,17.0,10.0,19.0,21.0,22.0
2054,0.0,1.0,2.0,12.0,3.0,11.0,5.0,8.0,4.0,10.0,6.0,9.0,17.0,13.0,14.0,16.0,15.0,20.0,19.0,7.0,18.0,21.0,22.0
2103,6.0,0.0,1.0,12.0,2.0,5.0,3.0,7.0,8.0,10.0,13.0,9.0,16.0,4.0,14.0,15.0,18.0,19.0,21.0,11.0,17.0,20.0,22.0
2152,6.0,1.0,0.0,11.0,2.0,3.0,4.0,7.0,8.0,5.0,12.0,9.0,17.0,13.0,14.0,16.0,15.0,19.0,18.0,10.0,20.0,21.0,22.0
2201,2.0,0.0,1.0,14.0,6.0,5.0,7.0,16.0,8.0,3.0,4.0,17.0,10.0,11.0,12.0,9.0,13.0,20.0,19.0,15.0,18.0,21.0,22.0
2250,1.0,0.0,8.0,12.0,2.0,3.0,10.0,9.0,5.0,6.0,4.0,7.0,17.0,13.0,14.0,16.0,15.0,18.0,20.0,11.0,19.0,21.0,22.0
2299,8.0,1.0,0.0,13.0,2.0,3.0,6.0,9.0,4.0,7.0,5.0,10.0,18.0,14.0,15.0,17.0,16.0,20.0,19.0,12.0,11.0,21.0,22.0
2348,2.0,0.0,1.0,13.0,7.0,8.0,9.0,19.0,6.0,3.0,4.0,10.0,17.0,5.0,14.0,16.0,15.0,20.0,18.0,12.0,11.0,21.0,22.0
2397,3.0,0.0,1.0,12.0,2.0,4.0,9.0,7.0,6.0,5.0,13.0,10.0,18.0,14.0,15.0,17.0,16.0,8.0,19.0,11.0,20.0,21.0,22.0
2446,2.0,1.0,0.0,15.0,3.0,13.0,11.0,10.0,4.0,8.0,5.0,12.0,17.0,6.0,7.0,14.0,16.0,18.0,20.0,9.0,19.0,21.0,22.0
2495,4.0,0.0,2.0,11.0,6.0,5.0,18.0,7.0,8.0,3.0,17.0,9.0,10.0,12.0,13.0,14.0,1.0,19.0,16.0,21.0,15.0,20.0,22.0
2544,1.0,5.0,2.0,4.0,0.0,6.0,17.0,7.0,8.0,10.0,16.0,9.0,11.0,12.0,13.0,14.0,3.0,19.0,15.0,21.0,18.0,20.0,22.0
2593,0.0,3.0,13.0,2.0,4.0,5.0,17.0,7.0,8.0,10.0,12.0,9.0,11.0,14.0,16.0,15.0,1.0,18.0,6.0,20.0,19.0,21.0,22.0
2642,5.0,0.0,1.0,3.0,4.0,7.0,18.0,9.0,10.0,6.0,17.0,11.0,12.0,14.0,15.0,13.0,2.0,19.0,8.0,20.0,16.0,21.0,22.0
2691,0.0,4.0,2.0,3.0,5.0,7.0,8.0,17.0,6.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,1.0,19.0,18.0,20.0,16.0,21.0,22.0
2740,4.0,0.0,2.0,3.0,6.0,5.0,9.0,8.0,10.0,13.0,15.0,11.0,12.0,17.0,18.0,14.0,1.0,19.0,7.0,20.0,21.0,16.0,22.0
2789,1.0,0.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,10.0,12.0,9.0,11.0,17.0,13.0,15.0,14.0,19.0,18.0,21.0,20.0,16.0,22.0
2838,1.0,0.0,11.0,2.0,4.0,5.0,17.0,6.0,7.0,16.0,13.0,8.0,10.0,18.0,12.0,9.0,3.0,19.0,15.0,14.0,20.0,21.0,22.0
2887,3.0,0.0,1.0,11.0,4.0,5.0,18.0,7.0,6.0,9.0,16.0,8.0,10.0,12.0,14.0,13.0,2.0,17.0,15.0,20.0,19.0,21.0,22.0
2936,0.0,4.0,1.0,2.0,5.0,6.0,17.0,9.0,10.0,7.0,8.0,11.0,12.0,14.0,15.0,13.0,3.0,19.0,18.0,16.0,20.0,21.0,22.0
2985,2.0,0.0,6.0,7.0,5.0,1.0,4.0,8.0,9.0,10.0,12.0,16.0,11.0,3.0,13.0,15.0,14.0,18.0,17.0,20.0,21.0,19.0,22.0
3034,3.0,2.0,7.0,0.0,5.0,4.0,8.0,6.0,9.0,10.0,1.0,17.0,15.0,12.0,13.0,14.0,18.0,20.0,19.0,11.0,16.0,21.0,22.0
3083,2.0,1.0,7.0,0.0,6.0,3.0,4.0,8.0,21.0,5.0,11.0,9.0,10.0,12.0,13.0,15.0,14.0,18.0,16.0,19.0,17.0,20.0,22.0
3132,3.0,1.0,8.0,0.0,7.0,6.0,16.0,9.0,10.0,5.0,4.0,17.0,12.0,2.0,13.0,15.0,14.0,19.0,18.0,20.0,11.0,21.0,22.0
3181,5.0,0.0,7.0,6.0,4.0,1.0,2.0,9.0,10.0,3.0,14.0,11.0,12.0,8.0,15.0,13.0,16.0,19.0,18.0,20.0,17.0,21.0,22.0
3230,8.0,3.0,13.0,0.0,7.0,1.0,4.0,9.0,10.0,2.0,6.0,21.0,12.0,5.0,14.0,16.0,15.0,18.0,17.0,19.0,11.0,20.0,22.0
3279,2.0,3.0,8.0,1.0,0.0,4.0,5.0,9.0,10.0,15.0,14.0,18.0,12.0,6.0,7.0,13.0,17.0,19.0,16.0,20.0,11.0,21.0,22.0
3328,8.0,1.0,9.0,0.0,6.0,2.0,4.0,10.0,11.0,5.0,14.0,17.0,12.0,3.0,7.0,13.0,15.0,20.0,16.0,19.0,18.0,21.0,22.0
3377,0.0,1.0,7.0,2.0,8.0,3.0,4.0,9.0,10.0,6.0,12.0,17.0,16.0,5.0,13.0,15.0,14.0,19.0,20.0,11.0,18.0,21.0,22.0
3426,3.0,1.0,6.0,0.0,8.0,5.0,2.0,9.0,10.0,4.0,16.0,11.0,12.0,7.0,14.0,13.0,15.0,19.0,18.0,20.0,17.0,21.0,22.0
3475,2.0,1.0,9.0,0.0,3.0,4.0,12.0,11.0,8.0,7.0,6.0,17.0,18.0,5.0,15.0,14.0,16.0,21.0,10.0,13.0,20.0,19.0,22.0
3524,2.0,0.0,1.0,7.0,6.0,3.0,18.0,8.0,5.0,4.0,11.0,9.0,17.0,13.0,14.0,16.0,15.0,20.0,19.0,10.0,21.0,12.0,22.0
3573,4.0,0.0,2.0,1.0,5.0,3.0,18.0,9.0,10.0,13.0,6.0,11.0,12.0,7.0,17.0,14.0,15.0,20.0,8.0,16.0,19.0,21.0,22.0
3622,8.0,0.0,2.0,1.0,3.0,7.0,16.0,9.0,4.0,5.0,6.0,19.0,10.0,11.0,12.0,13.0,15.0,17.0,20.0,14.0,18.0,21.0,22.0
3671,3.0,0.0,8.0,2.0,1.0,4.0,17.0,9.0,7.0,5.0,6.0,10.0,16.0,12.0,13.0,15.0,14.0,19.0,18.0,11.0,21.0,20.0,22.0
3720,5.0,3.0,1.0,2.0,4.0,0.0,10.0,9.0,6.0,13.0,8.0,11.0,17.0,7.0,15.0,14.0,16.0,19.0,18.0,12.0,21.0,20.0,22.0
3769,3.0,2.0,0.0,1.0,4.0,8.0,9.0,17.0,10.0,5.0,6.0,11.0,12.0,7.0,14.0,13.0,19.0,18.0,20.0,15.0,21.0,16.0,22.0
3818,7.0,0.0,2.0,1.0,3.0,4.0,9.0,8.0,10.0,15.0,5.0,17.0,11.0,6.0,13.0,12.0,14.0,19.0,18.0,16.0,20.0,21.0,22.0
3867,3.0,0.0,1.0,2.0,5.0,4.0,18.0,7.0,8.0,10.0,12.0,9.0,17.0,13.0,14.0,16.0,15.0,19.0,6.0,11.0,21.0,20.0,22.0
3916,3.0,1.0,0.0,7.0,2.0,4.0,9.0,8.0,6.0,5.0,16.0,18.0,15.0,11.0,12.0,14.0,13.0,19.0,20.0,10.0,17.0,21.0,22.0
3965,1.0,0.0,5.0,2.0,4.0,7.0,10.0,9.0,11.0,6.0,8.0,3.0,12.0,17.0,15.0,13.0,16.0,18.0,19.0,20.0,14.0,21.0,22.0
4014,0.0,1.0,4.0,3.0,2.0,5.0,7.0,8.0,9.0,6.0,12.0,10.0,11.0,16.0,19.0,13.0,15.0,17.0,20.0,21.0,18.0,14.0,22.0
4063,2.0,1.0,4.0,3.0,0.0,5.0,7.0,9.0,10.0,8.0,6.0,11.0,12.0,14.0,15.0,13.0,17.0,18.0,20.0,19.0,16.0,21.0,22.0
4112,4.0,1.0,2.0,12.0,0.0,5.0,7.0,8.0,3.0,10.0,6.0,9.0,11.0,17.0,13.0,15.0,14.0,18.0,20.0,19.0,16.0,21.0,22.0
4161,6.0,2.0,4.0,3.0,0.0,8.0,7.0,9.0,10.0,1.0,5.0,11.0,12.0,14.0,16.0,13.0,15.0,17.0,19.0,20.0,18.0,21.0,22.0
4210,0.0,2.0,3.0,12.0,1.0,6.0,5.0,7.0,4.0,10.0,13.0,9.0,11.0,14.0,15.0,17.0,16.0,8.0,20.0,19.0,18.0,21.0,22.0
4259,7.0,1.0,3.0,2.0,0.0,5.0,9.0,8.0,6.0,4.0,12.0,10.0,17.0,13.0,14.0,16.0,15.0,18.0,19.0,11.0,21.0,20.0,22.0
4308,0.0,3.0,11.0,2.0,1.0,6.0,5.0,14.0,7.0,4.0,13.0,8.0,10.0,16.0,12.0,9.0,15.0,17.0,20.0,19.0,18.0,22.0,21.0
4357,3.0,1.0,11.0,4.0,0.0,5.0,6.0,7.0,8.0,9.0,2.0,16.0,10.0,12.0,17.0,14.0,13.0,18.0,22.0,15.0,19.0,20.0,21.0
4406,1.0,4.0,2.0,3.0,0.0,5.0,10.0,9.0,11.0,7.0,8.0,12.0,13.0,6.0,17.0,14.0,18.0,16.0,15.0,21.0,19.0,20.0,22.0
4455,1.0,0.0,2.0,3.0,9.0,6.0,5.0,10.0,4.0,8.0,7.0,17.0,15.0,12.0,13.0,14.0,19.0,16.0,22.0,11.0,18.0,20.0,21.0
4504,0.0,2.0,6.0,1.0,7.0,3.0,4.0,8.0,10.0,5.0,12.0,16.0,11.0,15.0,13.0,14.0,18.0,9.0,20.0,17.0,19.0,21.0,22.0
4553,3.0,4.0,1.0,2.0,9.0,8.0,6.0,10.0,0.0,7.0,5.0,16.0,12.0,14.0,15.0,13.0,20.0,11.0,17.0,18.0,19.0,21.0,22.0
4602,0.0,3.0,1.0,2.0,8.0,4.0,10.0,9.0,7.0,6.0,5.0,20.0,11.0,12.0,13.0,14.0,18.0,15.0,17.0,16.0,22.0,19.0,21.0
4651,2.0,3.0,0.0,1.0,6.0,5.0,8.0,7.0,4.0,9.0,11.0,17.0,10.0,12.0,13.0,14.0,18.0,15.0,20.0,19.0,16.0,21.0,22.0
4700,3.0,0.0,1.0,2.0,8.0,5.0,6.0,9.0,4.0,7.0,12.0,16.0,11.0,15.0,13.0,14.0,21.0,10.0,20.0,17.0,19.0,18.0,22.0
4749,1.0,3.0,8.0,2.0,6.0,4.0,9.0,7.0,0.0,15.0,5.0,17.0,11.0,13.0,14.0,12.0,21.0,16.0,19.0,18.0,10.0,20.0,22.0
4798,0.0,2.0,1.0,8.0,7.0,3.0,11.0,10.0,6.0,4.0,5.0,12.0,13.0,17.0,15.0,14.0,19.0,16.0,9.0,20.0,21.0,18.0,22.0
4847,0.0,1.0,2.0,3.0,7.0,6.0,4.0,8.0,5.0,9.0,11.0,15.0,10.0,12.0,13.0,14.0,21.0,16.0,20.0,17.0,19.0,18.0,22.0
4896,0.0,3.0,1.0,14.0,5.0,2.0,7.0,6.0,4.0,8.0,11.0,16.0,10.0,12.0,13.0,9.0,21.0,18.0,17.0,15.0,19.0,20.0,22.0
