,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-210,hsa-miR-24,hsa-miR-151-3p,hsa-miR-22,hcmv-miR-US5-1,hsa-miR-193b,hsa-miR-149,hsa-miR-130a,hsa-miR-890,hsa-let-7a,hsa-let-7e,hsa-miR-135b,hsa-miR-10a,hsa-miR-21,hsa-miR-574-5p,hsa-miR-628-5p,ebv-miR-BART7,hsa-miR-150,hsa-miR-137,hsa-let-7i,hsa-miR-148a,hsa-miR-513a-3p,hsa-miR-455-5p,hsa-miR-29b,hsa-miR-597,hsa-miR-26b,hsa-miR-593,hsa-miR-147b
1190,3.0,1.0,0.0,29.0,11.0,47.0,7.0,2.0,93.0,225.0,31.0,8.0,15.0,18.0,14.0,198.0,19.0,74.0,9.0,23.0,12.0,4.0,264.0,22.0,5.0,174.0,259.0,16.0,303.0,39.0
1239,2.0,1.0,6.0,43.0,0.0,4.0,22.0,7.0,8.0,67.0,3.0,5.0,36.0,26.0,81.0,182.0,55.0,14.0,12.0,21.0,29.0,15.0,59.0,386.0,9.0,86.0,265.0,246.0,476.0,20.0
1288,1.0,0.0,17.0,42.0,6.0,3.0,2.0,23.0,9.0,8.0,12.0,15.0,7.0,544.0,478.0,27.0,16.0,37.0,72.0,14.0,4.0,50.0,120.0,383.0,11.0,237.0,340.0,55.0,587.0,5.0
1337,4.0,0.0,2.0,414.0,1.0,3.0,39.0,17.0,21.0,74.0,14.0,8.0,5.0,11.0,16.0,9.0,13.0,25.0,43.0,53.0,83.0,15.0,329.0,526.0,219.0,35.0,276.0,342.0,66.0,139.0
1386,0.0,2.0,3.0,16.0,1.0,13.0,99.0,17.0,5.0,12.0,4.0,56.0,39.0,19.0,7.0,25.0,228.0,11.0,9.0,23.0,15.0,40.0,94.0,582.0,162.0,79.0,69.0,28.0,20.0,26.0
1435,2.0,4.0,0.0,11.0,3.0,9.0,311.0,10.0,19.0,611.0,1.0,8.0,254.0,96.0,125.0,173.0,426.0,12.0,36.0,76.0,26.0,18.0,268.0,265.0,104.0,29.0,62.0,28.0,52.0,142.0
1484,11.0,6.0,0.0,4.0,67.0,18.0,265.0,20.0,2.0,3.0,117.0,8.0,40.0,9.0,13.0,151.0,14.0,5.0,99.0,7.0,1.0,12.0,309.0,54.0,288.0,173.0,92.0,28.0,22.0,65.0
1533,20.0,12.0,13.0,3.0,6.0,9.0,50.0,11.0,2.0,0.0,55.0,1.0,14.0,8.0,78.0,17.0,5.0,168.0,130.0,4.0,42.0,18.0,518.0,44.0,378.0,51.0,10.0,41.0,87.0,15.0
1582,2.0,5.0,6.0,1.0,21.0,10.0,159.0,28.0,4.0,0.0,24.0,7.0,20.0,22.0,167.0,34.0,3.0,48.0,23.0,29.0,9.0,12.0,41.0,19.0,374.0,59.0,237.0,49.0,25.0,15.0
1631,1.0,6.0,11.0,2.0,10.0,5.0,12.0,20.0,4.0,0.0,13.0,3.0,14.0,18.0,436.0,103.0,19.0,25.0,73.0,8.0,17.0,22.0,42.0,157.0,141.0,24.0,70.0,56.0,90.0,9.0
1680,1.0,7.0,10.0,4.0,6.0,23.0,14.0,41.0,3.0,0.0,18.0,5.0,13.0,2.0,12.0,127.0,37.0,274.0,62.0,44.0,119.0,9.0,271.0,31.0,121.0,30.0,103.0,36.0,35.0,19.0
1729,5.0,11.0,9.0,1.0,2.0,14.0,13.0,12.0,8.0,3.0,19.0,0.0,21.0,4.0,40.0,62.0,74.0,24.0,15.0,10.0,113.0,23.0,180.0,45.0,159.0,28.0,170.0,115.0,201.0,18.0
1778,5.0,1.0,4.0,0.0,3.0,9.0,54.0,59.0,14.0,6.0,15.0,2.0,26.0,20.0,12.0,98.0,42.0,61.0,11.0,88.0,90.0,37.0,206.0,7.0,51.0,36.0,551.0,118.0,99.0,18.0
1827,20.0,12.0,13.0,4.0,1.0,3.0,9.0,6.0,2.0,25.0,0.0,5.0,154.0,8.0,36.0,302.0,27.0,38.0,115.0,65.0,46.0,23.0,342.0,35.0,281.0,357.0,21.0,166.0,19.0,51.0
1876,13.0,0.0,4.0,14.0,3.0,2.0,5.0,1.0,102.0,8.0,39.0,7.0,23.0,6.0,17.0,12.0,19.0,25.0,21.0,115.0,222.0,108.0,313.0,109.0,98.0,86.0,20.0,182.0,16.0,84.0
1925,8.0,0.0,3.0,6.0,1.0,2.0,9.0,12.0,5.0,4.0,131.0,160.0,7.0,11.0,563.0,14.0,184.0,31.0,10.0,18.0,33.0,22.0,58.0,13.0,166.0,107.0,24.0,395.0,51.0,19.0
1974,2.0,23.0,1.0,7.0,0.0,6.0,3.0,9.0,5.0,4.0,424.0,53.0,18.0,98.0,300.0,111.0,10.0,69.0,330.0,21.0,142.0,33.0,14.0,13.0,26.0,40.0,28.0,139.0,8.0,56.0
2023,0.0,3.0,2.0,12.0,4.0,8.0,6.0,1.0,14.0,5.0,9.0,20.0,7.0,13.0,267.0,32.0,21.0,516.0,347.0,47.0,181.0,215.0,11.0,391.0,227.0,16.0,39.0,386.0,95.0,42.0
2072,9.0,1.0,4.0,2.0,3.0,13.0,6.0,8.0,0.0,5.0,12.0,7.0,147.0,18.0,14.0,37.0,61.0,99.0,79.0,49.0,17.0,19.0,10.0,236.0,23.0,408.0,16.0,38.0,22.0,39.0
