,hsa-miR-582-5p,hsa-miR-579,hsa-miR-548a-3p,hsa-miR-1257,hsa-miR-1197,hsa-miR-744,hsa-miR-499-3p,hsa-miR-205,hsa-miR-140-5p,hsa-miR-620,hsa-miR-638,hsv1-miR-H7,hsa-miR-651,hsa-miR-604,hsa-miR-1979,hsa-miR-759,hsa-miR-548c-5p,hsa-miR-551b,hsa-miR-924,hsa-miR-34a,hsa-miR-583,hsv1-miR-H8,hsa-miR-615-3p,kshv-miR-K12-8,hsa-miR-1977,hsa-miR-146b-3p,hsa-miR-770-5p,hsa-miR-612,ebv-miR-BART16,hsa-miR-214
1094,1.0,2.0,6.0,10.0,114.0,0.0,4.0,3.0,16.0,8.0,25.0,9.0,11.0,17.0,20.0,43.0,101.0,19.0,40.0,15.0,34.0,57.0,61.0,5.0,23.0,73.0,68.0,24.0,22.0,38.0
1143,0.0,1.0,8.0,14.0,9.0,2.0,15.0,5.0,12.0,17.0,32.0,7.0,52.0,21.0,34.0,20.0,66.0,13.0,58.0,3.0,38.0,27.0,23.0,22.0,24.0,59.0,42.0,4.0,36.0,37.0
1192,1.0,0.0,12.0,8.0,26.0,5.0,16.0,32.0,14.0,15.0,58.0,4.0,38.0,20.0,18.0,9.0,61.0,6.0,72.0,3.0,107.0,100.0,51.0,42.0,10.0,136.0,45.0,13.0,11.0,43.0
1241,0.0,1.0,7.0,8.0,29.0,18.0,6.0,21.0,16.0,4.0,71.0,9.0,32.0,37.0,12.0,53.0,22.0,40.0,43.0,3.0,26.0,73.0,33.0,15.0,14.0,36.0,30.0,17.0,24.0,49.0
1290,7.0,0.0,34.0,5.0,4.0,1.0,14.0,23.0,15.0,10.0,62.0,2.0,51.0,24.0,26.0,47.0,128.0,130.0,81.0,3.0,44.0,38.0,66.0,20.0,6.0,132.0,83.0,9.0,19.0,27.0
1339,11.0,1.0,3.0,13.0,7.0,0.0,4.0,27.0,15.0,43.0,26.0,2.0,30.0,14.0,32.0,33.0,125.0,6.0,116.0,5.0,19.0,29.0,25.0,81.0,49.0,70.0,67.0,9.0,47.0,112.0
1388,1.0,0.0,18.0,12.0,11.0,13.0,6.0,9.0,3.0,16.0,66.0,8.0,29.0,134.0,30.0,90.0,101.0,21.0,25.0,10.0,24.0,36.0,15.0,49.0,26.0,28.0,17.0,14.0,20.0,42.0
1437,5.0,0.0,19.0,9.0,16.0,3.0,12.0,2.0,11.0,27.0,56.0,25.0,50.0,8.0,23.0,55.0,51.0,6.0,58.0,10.0,34.0,53.0,47.0,4.0,24.0,119.0,52.0,14.0,26.0,36.0
1486,3.0,0.0,11.0,6.0,15.0,40.0,14.0,17.0,5.0,2.0,19.0,18.0,10.0,8.0,16.0,75.0,42.0,71.0,26.0,28.0,1.0,25.0,54.0,7.0,104.0,64.0,29.0,9.0,37.0,150.0
1535,0.0,1.0,7.0,5.0,27.0,66.0,16.0,24.0,11.0,14.0,43.0,29.0,63.0,22.0,4.0,40.0,2.0,10.0,21.0,19.0,50.0,8.0,49.0,6.0,36.0,172.0,25.0,3.0,62.0,93.0
1584,0.0,19.0,4.0,5.0,23.0,31.0,20.0,6.0,11.0,17.0,47.0,14.0,53.0,54.0,26.0,50.0,60.0,10.0,27.0,16.0,1.0,12.0,35.0,39.0,3.0,64.0,9.0,7.0,15.0,152.0
1633,0.0,1.0,6.0,8.0,21.0,44.0,4.0,7.0,38.0,3.0,24.0,5.0,76.0,23.0,10.0,41.0,46.0,9.0,49.0,27.0,2.0,17.0,60.0,13.0,14.0,77.0,53.0,15.0,25.0,102.0
1682,1.0,0.0,74.0,2.0,38.0,6.0,15.0,18.0,16.0,4.0,46.0,11.0,57.0,49.0,10.0,213.0,30.0,53.0,47.0,27.0,3.0,12.0,45.0,9.0,19.0,121.0,13.0,20.0,26.0,29.0
1731,0.0,2.0,14.0,5.0,52.0,13.0,9.0,8.0,4.0,10.0,26.0,17.0,22.0,28.0,6.0,36.0,12.0,19.0,18.0,33.0,1.0,21.0,87.0,3.0,35.0,77.0,71.0,11.0,109.0,81.0
1780,0.0,4.0,10.0,36.0,42.0,1.0,13.0,6.0,2.0,8.0,67.0,11.0,30.0,28.0,16.0,70.0,62.0,25.0,65.0,5.0,7.0,26.0,66.0,27.0,101.0,130.0,49.0,9.0,75.0,153.0
1829,0.0,6.0,13.0,4.0,14.0,2.0,19.0,15.0,42.0,3.0,12.0,22.0,25.0,43.0,11.0,34.0,30.0,118.0,36.0,8.0,7.0,18.0,44.0,1.0,20.0,51.0,9.0,10.0,49.0,73.0
1878,1.0,0.0,21.0,4.0,11.0,10.0,32.0,12.0,5.0,8.0,54.0,7.0,35.0,14.0,15.0,131.0,33.0,9.0,38.0,26.0,3.0,13.0,20.0,6.0,27.0,111.0,17.0,48.0,58.0,127.0
1927,0.0,1.0,21.0,49.0,10.0,46.0,13.0,8.0,68.0,9.0,22.0,12.0,30.0,25.0,2.0,121.0,4.0,38.0,5.0,39.0,3.0,7.0,17.0,16.0,44.0,45.0,14.0,29.0,6.0,144.0
1976,0.0,2.0,14.0,5.0,27.0,33.0,13.0,8.0,1.0,38.0,31.0,21.0,87.0,37.0,10.0,74.0,7.0,24.0,40.0,11.0,36.0,47.0,32.0,49.0,35.0,39.0,66.0,6.0,18.0,4.0
2025,9.0,0.0,12.0,6.0,7.0,107.0,30.0,24.0,3.0,2.0,19.0,29.0,15.0,4.0,20.0,66.0,5.0,43.0,16.0,8.0,25.0,27.0,22.0,10.0,37.0,72.0,17.0,38.0,63.0,28.0
2074,6.0,0.0,21.0,7.0,9.0,5.0,64.0,2.0,3.0,29.0,15.0,30.0,58.0,13.0,14.0,22.0,1.0,52.0,4.0,8.0,62.0,28.0,32.0,65.0,11.0,19.0,31.0,36.0,18.0,12.0
2123,34.0,0.0,40.0,1.0,7.0,44.0,20.0,112.0,10.0,15.0,27.0,9.0,90.0,21.0,5.0,11.0,3.0,83.0,25.0,26.0,17.0,29.0,2.0,47.0,19.0,6.0,14.0,104.0,62.0,4.0
2172,14.0,0.0,30.0,11.0,33.0,27.0,6.0,32.0,4.0,17.0,5.0,41.0,12.0,2.0,10.0,15.0,19.0,34.0,1.0,20.0,7.0,8.0,31.0,45.0,62.0,26.0,58.0,18.0,21.0,29.0
2221,24.0,0.0,33.0,3.0,32.0,43.0,19.0,31.0,2.0,18.0,1.0,20.0,69.0,11.0,12.0,42.0,22.0,122.0,4.0,17.0,74.0,30.0,23.0,64.0,8.0,7.0,47.0,5.0,39.0,6.0
2270,10.0,0.0,2.0,1.0,36.0,7.0,12.0,13.0,3.0,4.0,9.0,21.0,57.0,18.0,14.0,23.0,26.0,34.0,8.0,42.0,31.0,6.0,49.0,62.0,11.0,32.0,30.0,58.0,33.0,16.0
2319,11.0,0.0,19.0,5.0,24.0,8.0,4.0,10.0,3.0,33.0,27.0,50.0,13.0,7.0,28.0,58.0,2.0,63.0,1.0,32.0,60.0,22.0,20.0,101.0,6.0,9.0,23.0,17.0,44.0,21.0
2368,32.0,0.0,6.0,4.0,20.0,13.0,39.0,2.0,3.0,8.0,24.0,67.0,35.0,9.0,46.0,7.0,1.0,29.0,11.0,37.0,27.0,52.0,47.0,42.0,17.0,23.0,38.0,50.0,33.0,57.0
2417,55.0,0.0,68.0,2.0,15.0,3.0,65.0,33.0,8.0,26.0,6.0,19.0,113.0,1.0,16.0,30.0,5.0,11.0,39.0,4.0,34.0,20.0,66.0,23.0,13.0,12.0,32.0,115.0,56.0,61.0
2466,2.0,1.0,3.0,12.0,16.0,105.0,10.0,0.0,25.0,58.0,17.0,21.0,6.0,8.0,18.0,14.0,19.0,4.0,31.0,95.0,114.0,39.0,13.0,64.0,115.0,5.0,23.0,11.0,24.0,22.0
2515,0.0,4.0,2.0,15.0,1.0,100.0,7.0,14.0,28.0,23.0,38.0,61.0,12.0,46.0,85.0,10.0,30.0,5.0,9.0,11.0,27.0,103.0,41.0,35.0,66.0,3.0,63.0,8.0,13.0,17.0
2564,4.0,1.0,13.0,8.0,0.0,6.0,5.0,3.0,18.0,14.0,21.0,68.0,30.0,37.0,78.0,9.0,132.0,11.0,40.0,2.0,33.0,42.0,43.0,12.0,149.0,29.0,26.0,84.0,16.0,53.0
2613,0.0,1.0,13.0,15.0,17.0,79.0,3.0,2.0,31.0,33.0,25.0,63.0,28.0,19.0,60.0,14.0,5.0,48.0,6.0,10.0,53.0,37.0,35.0,41.0,92.0,7.0,29.0,12.0,20.0,18.0
2662,0.0,1.0,2.0,3.0,25.0,28.0,5.0,4.0,13.0,15.0,10.0,64.0,8.0,94.0,58.0,14.0,96.0,9.0,21.0,20.0,153.0,38.0,16.0,59.0,155.0,7.0,12.0,17.0,11.0,24.0
2711,0.0,1.0,9.0,2.0,5.0,98.0,3.0,21.0,7.0,16.0,14.0,34.0,8.0,29.0,106.0,4.0,12.0,6.0,27.0,104.0,82.0,39.0,15.0,33.0,139.0,26.0,24.0,19.0,50.0,30.0
2760,0.0,2.0,3.0,7.0,11.0,57.0,6.0,1.0,17.0,29.0,9.0,40.0,13.0,8.0,69.0,10.0,54.0,4.0,15.0,12.0,125.0,61.0,34.0,18.0,79.0,22.0,52.0,23.0,21.0,28.0
2809,0.0,2.0,28.0,9.0,1.0,12.0,16.0,36.0,6.0,15.0,10.0,66.0,5.0,13.0,18.0,3.0,57.0,7.0,21.0,25.0,87.0,14.0,48.0,40.0,45.0,27.0,20.0,75.0,44.0,24.0
2858,2.0,0.0,13.0,4.0,7.0,171.0,6.0,1.0,103.0,12.0,5.0,21.0,8.0,3.0,45.0,11.0,38.0,20.0,39.0,35.0,63.0,19.0,18.0,10.0,26.0,9.0,24.0,43.0,41.0,25.0
2907,1.0,3.0,2.0,11.0,14.0,42.0,17.0,0.0,6.0,16.0,10.0,47.0,29.0,8.0,82.0,9.0,56.0,19.0,32.0,20.0,35.0,31.0,118.0,5.0,88.0,48.0,13.0,4.0,50.0,36.0
2956,8.0,0.0,26.0,11.0,1.0,9.0,38.0,3.0,18.0,71.0,22.0,10.0,27.0,2.0,30.0,6.0,94.0,41.0,17.0,58.0,43.0,23.0,105.0,13.0,138.0,15.0,20.0,80.0,65.0,81.0
3005,6.0,1.0,4.0,2.0,0.0,42.0,14.0,9.0,15.0,31.0,11.0,23.0,30.0,3.0,16.0,8.0,81.0,5.0,36.0,63.0,37.0,10.0,75.0,26.0,24.0,29.0,21.0,33.0,22.0,177.0
3054,5.0,0.0,1.0,10.0,2.0,6.0,12.0,20.0,33.0,86.0,9.0,13.0,19.0,11.0,48.0,15.0,79.0,8.0,21.0,17.0,16.0,27.0,36.0,68.0,51.0,30.0,14.0,28.0,50.0,59.0
3103,1.0,3.0,12.0,7.0,0.0,29.0,57.0,5.0,16.0,39.0,4.0,8.0,30.0,2.0,10.0,17.0,150.0,18.0,9.0,32.0,37.0,33.0,21.0,35.0,14.0,51.0,22.0,44.0,40.0,102.0
3152,6.0,0.0,30.0,2.0,1.0,7.0,14.0,4.0,25.0,105.0,5.0,19.0,79.0,3.0,52.0,21.0,82.0,11.0,39.0,17.0,13.0,53.0,118.0,12.0,61.0,65.0,16.0,37.0,23.0,279.0
3201,3.0,1.0,8.0,15.0,0.0,19.0,24.0,10.0,7.0,45.0,5.0,21.0,18.0,2.0,84.0,30.0,31.0,9.0,13.0,72.0,23.0,34.0,114.0,14.0,261.0,11.0,135.0,22.0,41.0,117.0
3250,1.0,0.0,10.0,4.0,8.0,39.0,9.0,17.0,13.0,79.0,23.0,18.0,7.0,22.0,15.0,12.0,81.0,6.0,47.0,62.0,103.0,46.0,65.0,48.0,61.0,24.0,16.0,125.0,53.0,95.0
3299,2.0,0.0,1.0,19.0,10.0,17.0,25.0,3.0,11.0,52.0,8.0,5.0,53.0,29.0,46.0,95.0,73.0,60.0,15.0,21.0,7.0,58.0,77.0,138.0,81.0,14.0,12.0,59.0,39.0,152.0
3348,0.0,1.0,3.0,6.0,2.0,7.0,23.0,35.0,14.0,93.0,4.0,69.0,11.0,10.0,57.0,18.0,263.0,5.0,32.0,13.0,15.0,36.0,156.0,123.0,193.0,8.0,59.0,97.0,22.0,68.0
3397,2.0,0.0,23.0,9.0,4.0,10.0,39.0,63.0,8.0,52.0,12.0,6.0,7.0,1.0,15.0,11.0,49.0,3.0,81.0,34.0,38.0,19.0,85.0,41.0,66.0,91.0,14.0,21.0,40.0,31.0
3446,0.0,2.0,3.0,23.0,18.0,10.0,9.0,42.0,14.0,96.0,6.0,31.0,17.0,16.0,32.0,15.0,21.0,4.0,159.0,148.0,22.0,30.0,7.0,115.0,13.0,79.0,66.0,73.0,29.0,40.0
3495,2.0,0.0,35.0,4.0,25.0,14.0,5.0,62.0,17.0,105.0,8.0,3.0,6.0,19.0,52.0,11.0,7.0,106.0,38.0,30.0,32.0,18.0,1.0,46.0,27.0,28.0,37.0,182.0,41.0,9.0
3544,2.0,0.0,1.0,19.0,53.0,13.0,4.0,20.0,7.0,66.0,8.0,10.0,3.0,86.0,29.0,34.0,14.0,18.0,24.0,21.0,51.0,37.0,12.0,64.0,35.0,11.0,16.0,131.0,26.0,28.0
3593,0.0,1.0,6.0,18.0,22.0,5.0,15.0,7.0,3.0,28.0,13.0,26.0,4.0,35.0,54.0,17.0,85.0,43.0,34.0,10.0,19.0,48.0,30.0,37.0,33.0,9.0,82.0,97.0,16.0,23.0
3642,0.0,3.0,2.0,4.0,197.0,96.0,13.0,5.0,10.0,159.0,6.0,11.0,1.0,59.0,149.0,89.0,23.0,98.0,54.0,26.0,79.0,19.0,12.0,32.0,55.0,7.0,16.0,209.0,68.0,14.0
3691,0.0,1.0,3.0,5.0,40.0,18.0,11.0,43.0,9.0,26.0,23.0,2.0,7.0,30.0,10.0,25.0,14.0,34.0,44.0,91.0,32.0,27.0,16.0,6.0,39.0,4.0,160.0,157.0,50.0,22.0
3740,23.0,0.0,1.0,22.0,71.0,8.0,4.0,47.0,6.0,27.0,16.0,12.0,15.0,10.0,32.0,49.0,9.0,35.0,24.0,5.0,37.0,19.0,21.0,74.0,7.0,94.0,48.0,60.0,55.0,14.0
3789,0.0,2.0,10.0,20.0,8.0,3.0,12.0,9.0,33.0,22.0,19.0,6.0,17.0,31.0,21.0,42.0,57.0,74.0,75.0,23.0,1.0,29.0,7.0,24.0,53.0,30.0,92.0,168.0,69.0,117.0
3838,4.0,0.0,1.0,6.0,48.0,11.0,36.0,16.0,15.0,43.0,10.0,3.0,7.0,52.0,35.0,64.0,8.0,165.0,91.0,5.0,22.0,14.0,2.0,27.0,29.0,17.0,18.0,160.0,119.0,41.0
3887,0.0,3.0,4.0,1.0,15.0,14.0,31.0,9.0,8.0,2.0,10.0,6.0,11.0,5.0,24.0,51.0,68.0,88.0,49.0,47.0,54.0,23.0,21.0,43.0,7.0,32.0,39.0,146.0,19.0,28.0
3936,0.0,1.0,2.0,11.0,3.0,32.0,57.0,22.0,41.0,10.0,4.0,12.0,15.0,13.0,26.0,9.0,5.0,81.0,6.0,118.0,21.0,17.0,7.0,20.0,30.0,47.0,31.0,53.0,40.0,16.0
3985,1.0,5.0,2.0,0.0,14.0,3.0,16.0,13.0,18.0,9.0,7.0,6.0,4.0,37.0,12.0,24.0,27.0,88.0,8.0,133.0,74.0,21.0,17.0,31.0,70.0,30.0,53.0,108.0,61.0,10.0
4034,0.0,8.0,9.0,1.0,17.0,24.0,20.0,52.0,44.0,16.0,6.0,11.0,4.0,5.0,3.0,10.0,15.0,26.0,18.0,85.0,33.0,14.0,12.0,35.0,13.0,34.0,30.0,86.0,56.0,21.0
4083,0.0,6.0,10.0,15.0,4.0,2.0,23.0,29.0,59.0,97.0,7.0,1.0,12.0,3.0,5.0,17.0,20.0,25.0,46.0,101.0,19.0,13.0,8.0,34.0,35.0,51.0,31.0,106.0,39.0,22.0
4132,0.0,2.0,18.0,13.0,3.0,1.0,28.0,21.0,67.0,11.0,6.0,26.0,4.0,71.0,31.0,5.0,60.0,55.0,25.0,189.0,9.0,23.0,8.0,10.0,7.0,137.0,29.0,149.0,47.0,53.0
4181,0.0,5.0,21.0,1.0,2.0,3.0,50.0,20.0,213.0,19.0,16.0,8.0,9.0,28.0,17.0,10.0,35.0,130.0,6.0,193.0,27.0,13.0,4.0,7.0,15.0,41.0,14.0,138.0,37.0,39.0
4230,1.0,0.0,3.0,16.0,47.0,18.0,15.0,21.0,11.0,48.0,6.0,7.0,17.0,34.0,19.0,8.0,25.0,26.0,13.0,188.0,22.0,24.0,28.0,2.0,33.0,45.0,42.0,121.0,117.0,5.0
4279,0.0,5.0,2.0,1.0,28.0,3.0,20.0,24.0,16.0,33.0,4.0,6.0,7.0,111.0,17.0,14.0,26.0,80.0,8.0,41.0,109.0,12.0,11.0,46.0,23.0,15.0,18.0,95.0,51.0,9.0
4328,0.0,6.0,7.0,17.0,8.0,4.0,10.0,13.0,54.0,14.0,9.0,1.0,2.0,23.0,22.0,12.0,20.0,118.0,11.0,37.0,58.0,21.0,18.0,26.0,19.0,41.0,36.0,226.0,71.0,5.0
4377,1.0,0.0,2.0,3.0,13.0,16.0,61.0,82.0,131.0,22.0,64.0,5.0,8.0,15.0,19.0,10.0,25.0,47.0,14.0,160.0,44.0,9.0,23.0,17.0,4.0,68.0,80.0,79.0,32.0,11.0
4426,5.0,1.0,3.0,16.0,0.0,6.0,2.0,18.0,40.0,10.0,15.0,20.0,4.0,37.0,29.0,74.0,98.0,11.0,14.0,31.0,26.0,32.0,12.0,13.0,108.0,19.0,36.0,8.0,56.0,174.0
4475,3.0,2.0,4.0,9.0,0.0,1.0,5.0,8.0,69.0,18.0,6.0,42.0,19.0,11.0,47.0,17.0,57.0,14.0,30.0,144.0,15.0,26.0,13.0,55.0,60.0,25.0,56.0,27.0,54.0,120.0
4524,6.0,0.0,4.0,3.0,1.0,34.0,5.0,13.0,138.0,2.0,16.0,17.0,121.0,14.0,25.0,47.0,30.0,18.0,45.0,102.0,11.0,10.0,9.0,82.0,12.0,37.0,48.0,49.0,26.0,97.0
4573,5.0,0.0,2.0,13.0,1.0,4.0,3.0,45.0,60.0,20.0,22.0,14.0,24.0,30.0,17.0,23.0,90.0,6.0,12.0,46.0,7.0,34.0,9.0,21.0,50.0,11.0,84.0,29.0,57.0,106.0
4622,2.0,0.0,3.0,25.0,1.0,8.0,4.0,14.0,28.0,15.0,39.0,34.0,20.0,138.0,26.0,56.0,9.0,6.0,31.0,19.0,16.0,45.0,7.0,30.0,24.0,17.0,21.0,107.0,47.0,77.0
4671,2.0,0.0,32.0,47.0,1.0,41.0,9.0,106.0,55.0,5.0,8.0,27.0,3.0,11.0,102.0,4.0,268.0,19.0,35.0,249.0,17.0,25.0,66.0,24.0,10.0,104.0,58.0,86.0,50.0,181.0
4720,1.0,0.0,22.0,7.0,3.0,5.0,2.0,6.0,84.0,10.0,13.0,36.0,16.0,167.0,77.0,69.0,42.0,254.0,18.0,185.0,4.0,20.0,12.0,21.0,43.0,8.0,208.0,47.0,52.0,97.0
4769,4.0,1.0,23.0,54.0,0.0,10.0,19.0,3.0,44.0,14.0,41.0,8.0,13.0,15.0,57.0,136.0,30.0,50.0,22.0,21.0,9.0,18.0,51.0,177.0,34.0,12.0,6.0,31.0,48.0,88.0
4818,8.0,2.0,10.0,6.0,0.0,1.0,3.0,4.0,78.0,16.0,19.0,70.0,14.0,37.0,23.0,25.0,200.0,18.0,17.0,64.0,12.0,7.0,38.0,22.0,57.0,20.0,26.0,33.0,87.0,238.0
4867,6.0,2.0,1.0,32.0,0.0,4.0,5.0,14.0,40.0,7.0,94.0,95.0,98.0,10.0,149.0,37.0,75.0,3.0,33.0,66.0,55.0,17.0,29.0,101.0,116.0,45.0,35.0,9.0,58.0,74.0
