,NDN,AC026407.1,S100A4,HGF,MB21D1,ANGPTL2,AC016710.1,POLR2J3,GSTT1,HSD17B11,ALKBH3,RP11-834C11.4,CAMK1D,MAGEA1,DNAJA4,CLDN11,LUM,PLAUR,KLHL3,RP3-467L1.4,AC068134.10,AC093627.9,TTC31,TGFB1,SPTBN2,TSPYL5,SLFN13,CTD-3224K15.3,RP11-673E1.3,ZNF334
2312,1.0,2.0,4.0,30.0,18.0,0.0,221.0,102.0,7.0,5.0,95.0,65.0,3.0,33.0,14.0,23.0,13.0,80.0,64.0,19.0,97.0,6.0,60.0,68.0,52.0,43.0,183.0,326.0,153.0,17.0
2361,0.0,15.0,11.0,47.0,1.0,2.0,255.0,24.0,118.0,36.0,160.0,49.0,4.0,136.0,3.0,51.0,21.0,133.0,29.0,44.0,115.0,46.0,94.0,60.0,7.0,145.0,97.0,960.0,315.0,53.0
2410,0.0,1.0,17.0,68.0,10.0,3.0,177.0,120.0,7.0,19.0,51.0,14.0,2.0,214.0,25.0,35.0,22.0,121.0,45.0,31.0,58.0,21.0,40.0,48.0,224.0,23.0,5.0,158.0,436.0,15.0
2459,0.0,3.0,47.0,19.0,17.0,9.0,42.0,2.0,12.0,126.0,16.0,41.0,34.0,151.0,4.0,18.0,11.0,204.0,158.0,23.0,31.0,77.0,35.0,33.0,1.0,66.0,15.0,160.0,273.0,111.0
2508,0.0,12.0,2.0,27.0,63.0,24.0,220.0,25.0,3.0,38.0,248.0,21.0,20.0,550.0,58.0,11.0,17.0,44.0,39.0,19.0,35.0,9.0,43.0,60.0,32.0,2072.0,71.0,129.0,74.0,10.0
2557,0.0,1.0,7.0,74.0,13.0,21.0,69.0,12.0,2.0,50.0,14.0,9.0,11.0,4507.0,17.0,3.0,8.0,41.0,223.0,34.0,6.0,195.0,38.0,98.0,27.0,231.0,47.0,53.0,23.0,20.0
2606,0.0,1.0,52.0,7.0,89.0,39.0,41.0,14.0,4.0,110.0,25.0,16.0,150.0,851.0,6.0,18.0,17.0,35.0,159.0,388.0,67.0,22.0,12.0,79.0,3.0,42.0,9.0,29.0,36.0,33.0
2655,0.0,65.0,10.0,52.0,21.0,8.0,4.0,27.0,2.0,53.0,28.0,40.0,15.0,59.0,20.0,1.0,14.0,132.0,11.0,13.0,33.0,34.0,56.0,97.0,16.0,19.0,23.0,31.0,49.0,45.0
2704,0.0,1.0,40.0,20.0,10.0,34.0,21.0,8.0,76.0,64.0,18.0,26.0,35.0,273.0,5.0,14.0,12.0,79.0,103.0,4.0,17.0,230.0,46.0,53.0,11.0,4218.0,54.0,27.0,47.0,29.0
2753,0.0,1.0,23.0,13.0,73.0,17.0,22.0,15.0,3.0,66.0,9.0,18.0,28.0,330.0,7.0,10.0,37.0,50.0,48.0,92.0,4.0,34.0,47.0,153.0,25.0,267.0,35.0,55.0,43.0,12.0
2802,0.0,4.0,9.0,8.0,86.0,2.0,6.0,21.0,27.0,20.0,15.0,101.0,66.0,181.0,5.0,1.0,26.0,487.0,63.0,12.0,14.0,75.0,30.0,68.0,28.0,887.0,78.0,57.0,46.0,7.0
2851,0.0,3.0,8.0,14.0,31.0,19.0,107.0,10.0,22.0,61.0,76.0,21.0,92.0,1077.0,69.0,1.0,238.0,338.0,13.0,68.0,9.0,110.0,16.0,46.0,23.0,202.0,4.0,78.0,37.0,38.0
2900,0.0,1.0,4.0,35.0,17.0,10.0,82.0,16.0,6.0,41.0,14.0,34.0,40.0,117.0,8.0,5.0,350.0,49.0,190.0,28.0,11.0,119.0,46.0,113.0,9.0,43.0,23.0,18.0,12.0,3.0
2949,0.0,195.0,1.0,10.0,38.0,29.0,13.0,3.0,260.0,165.0,5.0,32.0,2.0,26.0,96.0,20.0,24.0,8.0,156.0,19.0,58.0,201.0,211.0,23.0,51.0,1918.0,694.0,30.0,216.0,212.0
2998,7.0,308.0,0.0,2.0,9.0,49.0,158.0,18.0,139.0,14.0,16.0,15.0,6.0,8.0,661.0,4.0,21.0,13.0,22.0,37.0,204.0,34.0,164.0,3.0,68.0,57.0,1.0,20.0,160.0,453.0
3047,0.0,3.0,1.0,6.0,28.0,20.0,8.0,9.0,21.0,4.0,17.0,27.0,7.0,5.0,256.0,64.0,152.0,19.0,174.0,119.0,291.0,23.0,130.0,14.0,72.0,39.0,44.0,18.0,96.0,30.0
3096,0.0,37.0,11.0,1.0,4.0,13.0,15.0,21.0,9.0,32.0,7.0,6.0,2.0,146.0,26.0,295.0,12.0,38.0,48.0,8.0,86.0,23.0,70.0,22.0,45.0,101.0,5.0,17.0,97.0,62.0
3145,0.0,13.0,1.0,8.0,36.0,40.0,10.0,22.0,2.0,83.0,15.0,7.0,3.0,37.0,50.0,5.0,27.0,88.0,11.0,45.0,9.0,41.0,194.0,19.0,67.0,153.0,6.0,32.0,175.0,79.0
3194,0.0,36.0,30.0,3.0,51.0,15.0,7.0,1.0,19.0,27.0,9.0,11.0,13.0,49.0,232.0,222.0,14.0,48.0,55.0,18.0,65.0,133.0,191.0,4.0,57.0,3771.0,184.0,10.0,109.0,443.0
