,Caspase-7_cleavedD198,Bax,Bcl-2,GATA3,p27_pT157,Cyclin_B1,GSK3-alpha-beta,MSH6,beta Actin,Bid,RAD51,PAI-1,Cyclin_D1,JNK_pT183_Y185,VAV1,Transglutaminase,HER2,Chk2_pT68,MEK1_pS217_S221,XBP1,FoxM1,beta-Catenin,GSK-3-BETA,AMPK_pT172,PKC-pan_BetaII_pS660,CD31,SHP-2_pY542,Rab25,BRCA2,GSK3-alpha-beta_pS21_S9
2746,0.0,13.0,3.0,2.0,10.0,7.0,16.0,21.0,11.0,15.0,17.0,1.0,4.0,14.0,8.0,18.0,20.0,34.0,29.0,26.0,51.0,31.0,24.0,12.0,61.0,27.0,9.0,48.0,67.0,60.0
2795,0.0,5.0,6.0,2.0,3.0,15.0,4.0,26.0,12.0,13.0,7.0,1.0,17.0,11.0,34.0,16.0,20.0,63.0,31.0,21.0,53.0,61.0,60.0,10.0,30.0,19.0,14.0,32.0,48.0,70.0
2844,0.0,6.0,9.0,1.0,5.0,28.0,8.0,30.0,48.0,3.0,37.0,23.0,27.0,10.0,49.0,7.0,14.0,22.0,15.0,16.0,55.0,40.0,29.0,2.0,65.0,32.0,35.0,34.0,75.0,70.0
2893,0.0,4.0,1.0,3.0,8.0,16.0,5.0,55.0,10.0,7.0,11.0,9.0,26.0,2.0,21.0,25.0,22.0,30.0,40.0,69.0,45.0,61.0,67.0,6.0,50.0,36.0,19.0,35.0,41.0,27.0
2942,0.0,16.0,1.0,2.0,7.0,14.0,6.0,26.0,35.0,5.0,18.0,37.0,19.0,12.0,3.0,13.0,9.0,29.0,38.0,36.0,23.0,4.0,25.0,54.0,20.0,17.0,8.0,41.0,24.0,63.0
2991,1.0,4.0,0.0,30.0,22.0,31.0,5.0,6.0,54.0,3.0,15.0,39.0,16.0,55.0,11.0,21.0,14.0,73.0,27.0,45.0,26.0,2.0,25.0,71.0,24.0,48.0,28.0,37.0,20.0,35.0
3040,0.0,1.0,2.0,28.0,12.0,31.0,5.0,13.0,25.0,9.0,11.0,27.0,7.0,4.0,3.0,19.0,24.0,17.0,14.0,21.0,18.0,6.0,42.0,33.0,20.0,40.0,16.0,32.0,30.0,53.0
3089,1.0,0.0,3.0,13.0,12.0,8.0,5.0,2.0,18.0,4.0,19.0,31.0,24.0,11.0,37.0,72.0,26.0,44.0,42.0,15.0,9.0,20.0,22.0,65.0,16.0,63.0,14.0,35.0,21.0,54.0
3138,0.0,2.0,8.0,14.0,22.0,10.0,4.0,1.0,75.0,3.0,21.0,15.0,36.0,6.0,11.0,25.0,26.0,18.0,20.0,55.0,28.0,5.0,24.0,44.0,9.0,56.0,30.0,38.0,13.0,29.0
3187,0.0,1.0,2.0,3.0,5.0,4.0,7.0,17.0,21.0,8.0,25.0,18.0,34.0,12.0,13.0,11.0,31.0,20.0,19.0,79.0,23.0,9.0,32.0,10.0,29.0,40.0,15.0,55.0,33.0,27.0
3236,0.0,1.0,3.0,4.0,15.0,26.0,10.0,6.0,58.0,13.0,22.0,29.0,11.0,28.0,21.0,36.0,19.0,9.0,14.0,46.0,7.0,18.0,20.0,35.0,2.0,37.0,31.0,30.0,5.0,33.0
3285,0.0,5.0,1.0,8.0,19.0,3.0,4.0,6.0,23.0,2.0,10.0,54.0,13.0,21.0,9.0,75.0,18.0,26.0,45.0,12.0,7.0,11.0,22.0,32.0,29.0,34.0,38.0,41.0,28.0,20.0
3334,0.0,3.0,5.0,1.0,12.0,7.0,16.0,6.0,13.0,2.0,37.0,39.0,15.0,22.0,4.0,25.0,35.0,18.0,36.0,38.0,8.0,10.0,9.0,46.0,24.0,72.0,20.0,28.0,11.0,67.0
3383,0.0,1.0,2.0,9.0,5.0,13.0,3.0,6.0,29.0,11.0,37.0,87.0,8.0,7.0,12.0,27.0,16.0,15.0,41.0,14.0,24.0,4.0,50.0,26.0,31.0,33.0,10.0,42.0,44.0,28.0
3432,0.0,1.0,10.0,7.0,26.0,11.0,5.0,2.0,6.0,3.0,16.0,44.0,8.0,9.0,15.0,46.0,22.0,19.0,28.0,13.0,52.0,17.0,37.0,4.0,45.0,29.0,38.0,102.0,34.0,41.0
3481,2.0,0.0,7.0,24.0,21.0,10.0,19.0,1.0,3.0,13.0,16.0,20.0,5.0,27.0,38.0,15.0,4.0,28.0,52.0,30.0,22.0,32.0,26.0,18.0,35.0,25.0,79.0,53.0,40.0,43.0
3530,1.0,0.0,3.0,15.0,47.0,10.0,4.0,6.0,8.0,7.0,12.0,9.0,2.0,13.0,50.0,18.0,17.0,55.0,36.0,24.0,29.0,28.0,19.0,21.0,59.0,27.0,60.0,46.0,20.0,22.0
3579,0.0,1.0,3.0,14.0,13.0,17.0,8.0,6.0,2.0,11.0,5.0,10.0,24.0,21.0,30.0,43.0,15.0,27.0,80.0,33.0,32.0,61.0,22.0,9.0,28.0,18.0,34.0,46.0,16.0,42.0
3628,0.0,2.0,3.0,15.0,10.0,5.0,25.0,1.0,13.0,18.0,6.0,7.0,4.0,30.0,47.0,16.0,14.0,29.0,19.0,32.0,23.0,53.0,31.0,21.0,33.0,27.0,72.0,79.0,20.0,61.0
3677,0.0,2.0,8.0,22.0,6.0,10.0,16.0,7.0,1.0,9.0,11.0,40.0,25.0,3.0,37.0,17.0,15.0,47.0,49.0,51.0,41.0,28.0,43.0,66.0,42.0,24.0,36.0,100.0,12.0,59.0
3726,0.0,1.0,5.0,6.0,15.0,13.0,7.0,2.0,3.0,8.0,10.0,16.0,32.0,9.0,64.0,28.0,12.0,17.0,54.0,21.0,23.0,33.0,19.0,14.0,34.0,24.0,63.0,69.0,30.0,39.0
3775,0.0,1.0,3.0,5.0,13.0,28.0,11.0,2.0,8.0,10.0,19.0,9.0,6.0,16.0,73.0,4.0,12.0,25.0,52.0,14.0,17.0,42.0,40.0,39.0,58.0,20.0,24.0,78.0,21.0,45.0
3824,1.0,0.0,2.0,9.0,19.0,13.0,6.0,4.0,5.0,16.0,18.0,44.0,8.0,25.0,53.0,10.0,27.0,23.0,45.0,3.0,20.0,49.0,15.0,36.0,42.0,47.0,61.0,62.0,7.0,46.0
3873,0.0,1.0,6.0,8.0,25.0,7.0,31.0,3.0,2.0,9.0,12.0,5.0,4.0,27.0,62.0,16.0,14.0,46.0,35.0,13.0,34.0,43.0,22.0,11.0,49.0,19.0,40.0,57.0,20.0,70.0
3922,0.0,2.0,3.0,10.0,7.0,6.0,12.0,4.0,11.0,35.0,15.0,78.0,1.0,43.0,21.0,9.0,13.0,28.0,31.0,24.0,8.0,23.0,47.0,62.0,22.0,27.0,17.0,20.0,38.0,40.0
3971,0.0,5.0,1.0,6.0,4.0,13.0,2.0,15.0,11.0,20.0,22.0,54.0,29.0,67.0,3.0,12.0,9.0,16.0,33.0,17.0,10.0,59.0,40.0,68.0,24.0,30.0,32.0,7.0,50.0,23.0
4020,3.0,1.0,7.0,0.0,4.0,8.0,32.0,6.0,2.0,14.0,12.0,22.0,5.0,62.0,18.0,26.0,23.0,24.0,9.0,28.0,10.0,27.0,44.0,79.0,51.0,29.0,15.0,39.0,20.0,25.0
4069,0.0,1.0,4.0,9.0,5.0,23.0,21.0,2.0,6.0,13.0,33.0,35.0,14.0,65.0,17.0,10.0,16.0,3.0,37.0,8.0,18.0,24.0,95.0,96.0,19.0,15.0,12.0,57.0,34.0,36.0
4118,4.0,6.0,0.0,13.0,2.0,15.0,17.0,3.0,21.0,10.0,25.0,51.0,1.0,81.0,18.0,5.0,9.0,11.0,23.0,19.0,8.0,44.0,59.0,80.0,32.0,33.0,20.0,49.0,43.0,46.0
4167,0.0,4.0,2.0,3.0,1.0,11.0,15.0,6.0,24.0,17.0,26.0,80.0,16.0,75.0,12.0,10.0,18.0,5.0,8.0,7.0,9.0,34.0,69.0,110.0,31.0,21.0,19.0,13.0,29.0,30.0
4216,0.0,9.0,2.0,6.0,5.0,32.0,15.0,17.0,10.0,19.0,24.0,50.0,3.0,82.0,16.0,1.0,4.0,8.0,18.0,7.0,11.0,62.0,68.0,36.0,22.0,20.0,13.0,12.0,42.0,28.0
4265,2.0,7.0,11.0,0.0,1.0,4.0,33.0,52.0,13.0,19.0,18.0,54.0,10.0,79.0,6.0,3.0,15.0,12.0,58.0,26.0,5.0,75.0,84.0,59.0,36.0,22.0,17.0,23.0,40.0,46.0
4314,0.0,1.0,2.0,4.0,7.0,23.0,16.0,15.0,5.0,30.0,33.0,56.0,6.0,81.0,13.0,11.0,8.0,9.0,41.0,17.0,12.0,37.0,50.0,65.0,26.0,62.0,3.0,18.0,34.0,29.0
4363,0.0,5.0,3.0,12.0,16.0,9.0,10.0,20.0,18.0,27.0,28.0,43.0,2.0,62.0,4.0,6.0,14.0,8.0,15.0,1.0,46.0,54.0,31.0,65.0,13.0,34.0,32.0,23.0,29.0,24.0
4412,0.0,3.0,4.0,1.0,6.0,12.0,8.0,11.0,35.0,13.0,5.0,2.0,20.0,9.0,7.0,42.0,24.0,32.0,16.0,36.0,27.0,31.0,30.0,19.0,10.0,29.0,33.0,28.0,52.0,18.0
4461,0.0,2.0,1.0,4.0,24.0,17.0,5.0,46.0,12.0,18.0,19.0,3.0,55.0,13.0,9.0,11.0,43.0,25.0,27.0,22.0,32.0,35.0,16.0,70.0,23.0,79.0,7.0,14.0,20.0,6.0
4510,0.0,1.0,3.0,2.0,18.0,8.0,15.0,6.0,12.0,10.0,7.0,5.0,9.0,32.0,11.0,49.0,30.0,41.0,17.0,29.0,45.0,28.0,63.0,53.0,14.0,26.0,20.0,4.0,36.0,22.0
4559,0.0,1.0,8.0,10.0,9.0,13.0,4.0,20.0,23.0,15.0,3.0,2.0,29.0,11.0,6.0,22.0,35.0,16.0,24.0,31.0,37.0,44.0,21.0,50.0,25.0,46.0,18.0,30.0,26.0,12.0
4608,0.0,1.0,4.0,8.0,17.0,7.0,21.0,5.0,9.0,10.0,3.0,6.0,37.0,18.0,24.0,16.0,29.0,12.0,31.0,2.0,34.0,26.0,38.0,28.0,13.0,55.0,43.0,48.0,49.0,15.0
4657,0.0,2.0,3.0,7.0,10.0,13.0,4.0,21.0,25.0,6.0,15.0,1.0,45.0,16.0,9.0,37.0,38.0,14.0,11.0,12.0,24.0,35.0,53.0,52.0,23.0,30.0,43.0,5.0,36.0,28.0
4706,0.0,1.0,5.0,30.0,7.0,4.0,11.0,13.0,9.0,28.0,6.0,3.0,35.0,12.0,2.0,33.0,23.0,8.0,31.0,29.0,24.0,74.0,42.0,39.0,19.0,38.0,32.0,10.0,21.0,41.0
4755,0.0,2.0,1.0,7.0,9.0,34.0,5.0,37.0,13.0,8.0,3.0,4.0,6.0,15.0,39.0,30.0,43.0,53.0,21.0,11.0,60.0,16.0,10.0,47.0,46.0,40.0,27.0,24.0,42.0,68.0
4804,0.0,1.0,8.0,2.0,6.0,11.0,4.0,21.0,7.0,9.0,5.0,3.0,17.0,22.0,33.0,50.0,16.0,15.0,18.0,24.0,28.0,42.0,38.0,53.0,23.0,34.0,31.0,10.0,32.0,12.0
4853,0.0,8.0,3.0,1.0,4.0,14.0,5.0,26.0,37.0,11.0,10.0,2.0,22.0,57.0,9.0,6.0,13.0,27.0,7.0,53.0,18.0,44.0,45.0,39.0,19.0,28.0,34.0,17.0,33.0,36.0
