,CHD1_MUT,RPUSD4_DEL,RYR3_DEL,MIR3167_DEL,DDX25_DEL,VSTM2B_AMP,LOC284395_AMP,KIRREL3-AS3_DEL,SNTG1_AMP,ZNF521_MUT,SMURF2_MUT,CT45A1_DEL,PUS3_DEL,HIF1A_MUT,KIRREL3-AS2_DEL,UPK3B_AMP,PARG_AMP,TSHZ3_AMP,ETS1_DEL,HYLS1_DEL,AKAP6_MUT,NFATC1_MUT,PER1_MUT,DDX12P_DEL,RBL1_MUT,KLRF2_DEL,PATE2_DEL,FTL_DEL,ARHGAP33_AMP,LOC100134317_AMP
763,80.0,65.0,32.0,2.0,6.0,0.0,10.0,6184.0,22355.0,16649.0,89.0,11.0,147.0,963.0,70.0,450.0,19399.0,21353.0,332.0,1.0,375.0,420.0,608.0,3076.0,431.0,18839.0,40.0,6847.0,868.0,15855.0
812,152.0,26.0,11614.0,18838.0,2.0,225.0,34.0,6099.0,22064.0,713.0,1980.0,156.0,9471.0,153.0,114.0,23249.0,19498.0,610.0,208.0,4803.0,16709.0,7.0,16406.0,3496.0,373.0,59.0,3164.0,5.0,18437.0,799.0
861,10.0,1792.0,360.0,37.0,3.0,48.0,5.0,1072.0,1719.0,27.0,624.0,10213.0,1151.0,193.0,1.0,200.0,19496.0,21321.0,9.0,109.0,329.0,319.0,140.0,3199.0,58.0,510.0,2876.0,400.0,63.0,15798.0
910,2.0,1222.0,124.0,38.0,7.0,21.0,33.0,6672.0,687.0,517.0,16886.0,104.0,10032.0,1383.0,77.0,22831.0,930.0,1.0,23.0,158.0,16740.0,16421.0,17.0,10909.0,1484.0,61.0,3852.0,6966.0,3.0,15811.0
959,0.0,11.0,11845.0,28.0,6.0,37.0,73.0,3545.0,311.0,8.0,2089.0,165.0,266.0,54.0,527.0,99.0,635.0,21334.0,1137.0,26.0,785.0,526.0,105.0,10889.0,16933.0,18959.0,285.0,6275.0,18298.0,20.0
1008,99.0,9942.0,11757.0,35.0,3343.0,15295.0,875.0,21.0,6.0,50.0,13.0,28.0,9567.0,16.0,21165.0,51.0,284.0,102.0,1441.0,4852.0,1405.0,1850.0,455.0,44.0,23.0,450.0,9.0,138.0,18317.0,870.0
1057,8.0,9876.0,9.0,7.0,2733.0,568.0,13387.0,39.0,19.0,192.0,784.0,123.0,507.0,5.0,371.0,51.0,492.0,511.0,60.0,506.0,2415.0,16512.0,381.0,653.0,32.0,244.0,555.0,13.0,157.0,2.0
1106,37.0,9907.0,88.0,29.0,24.0,10.0,2.0,930.0,22343.0,16673.0,16915.0,10377.0,762.0,883.0,21175.0,2589.0,246.0,21604.0,1.0,4840.0,72.0,16532.0,57.0,260.0,493.0,346.0,147.0,30.0,325.0,53.0
1155,55.0,660.0,384.0,42.0,571.0,1.0,13.0,7243.0,8.0,1145.0,16924.0,180.0,287.0,194.0,21151.0,22855.0,19446.0,730.0,1535.0,4634.0,16786.0,16524.0,759.0,4275.0,87.0,18928.0,4956.0,6070.0,365.0,541.0
1204,169.0,9961.0,6.0,10.0,2896.0,66.0,1206.0,6529.0,11.0,730.0,579.0,10329.0,9619.0,89.0,21163.0,136.0,594.0,1021.0,68.0,453.0,16815.0,16523.0,244.0,40.0,305.0,156.0,1549.0,7215.0,427.0,509.0
1253,96.0,955.0,63.0,65.0,780.0,15313.0,12971.0,459.0,23.0,926.0,16926.0,10316.0,9554.0,763.0,21147.0,11.0,297.0,279.0,347.0,4848.0,16812.0,16516.0,114.0,36.0,1691.0,60.0,3023.0,9.0,213.0,15.0
1302,16613.0,849.0,1.0,57.0,1113.0,78.0,58.0,370.0,4.0,16652.0,16925.0,824.0,9520.0,199.0,21263.0,234.0,19382.0,220.0,5673.0,475.0,813.0,16492.0,568.0,2175.0,16900.0,18.0,638.0,6809.0,384.0,621.0
1351,16594.0,13.0,82.0,2124.0,229.0,3.0,13345.0,533.0,59.0,2513.0,1024.0,106.0,49.0,16415.0,21292.0,2490.0,80.0,94.0,9.0,340.0,16707.0,16509.0,1223.0,89.0,16879.0,149.0,10.0,1660.0,85.0,1407.0
1400,16634.0,43.0,11727.0,19121.0,61.0,552.0,13458.0,7176.0,776.0,16668.0,16942.0,390.0,9565.0,333.0,21144.0,22.0,9.0,57.0,473.0,5383.0,16796.0,603.0,15.0,382.0,21.0,777.0,4721.0,3.0,109.0,6.0
1449,139.0,149.0,19.0,19133.0,2286.0,64.0,12956.0,39.0,206.0,1555.0,16902.0,2593.0,65.0,125.0,21167.0,651.0,19444.0,78.0,154.0,4807.0,556.0,1104.0,1.0,173.0,690.0,18909.0,3003.0,2.0,18349.0,273.0
1498,217.0,2.0,1.0,77.0,3136.0,47.0,12962.0,6467.0,18.0,1126.0,45.0,10292.0,27.0,16409.0,856.0,396.0,68.0,21364.0,10.0,2612.0,51.0,700.0,24.0,629.0,1144.0,2428.0,3614.0,214.0,18308.0,372.0
1547,1.0,54.0,20.0,79.0,371.0,228.0,404.0,290.0,113.0,48.0,1121.0,257.0,21.0,300.0,39.0,18.0,8.0,21605.0,31.0,5512.0,0.0,179.0,523.0,521.0,1875.0,18844.0,278.0,100.0,311.0,362.0
1596,43.0,9.0,4.0,926.0,2722.0,15273.0,13170.0,354.0,67.0,221.0,1783.0,10278.0,11.0,1176.0,21276.0,1344.0,6.0,391.0,4829.0,4902.0,106.0,347.0,62.0,3244.0,98.0,18837.0,220.0,201.0,0.0,178.0
1645,1213.0,10.0,4.0,19131.0,98.0,180.0,110.0,53.0,8.0,0.0,54.0,399.0,9566.0,15.0,21160.0,6.0,383.0,21486.0,1485.0,88.0,1282.0,52.0,283.0,2976.0,244.0,1791.0,14.0,11.0,18319.0,1501.0
1694,84.0,155.0,1919.0,37.0,123.0,230.0,12941.0,75.0,22337.0,134.0,890.0,10305.0,42.0,12.0,66.0,8.0,506.0,21487.0,51.0,354.0,30.0,826.0,16543.0,198.0,1832.0,641.0,132.0,172.0,18376.0,15914.0
1743,1.0,4.0,107.0,61.0,345.0,9.0,42.0,5.0,25.0,117.0,2.0,30.0,187.0,22.0,19.0,307.0,26.0,446.0,4813.0,4787.0,2511.0,29.0,242.0,72.0,6.0,435.0,127.0,954.0,16.0,15878.0
1792,22.0,7.0,2.0,19005.0,134.0,3.0,138.0,10.0,1.0,547.0,114.0,1041.0,9563.0,4.0,23.0,725.0,2117.0,761.0,221.0,21.0,16766.0,31.0,706.0,3926.0,89.0,155.0,4582.0,76.0,30.0,539.0
1841,11.0,36.0,0.0,18878.0,3014.0,697.0,13432.0,10.0,42.0,45.0,307.0,10269.0,9550.0,16409.0,69.0,209.0,19.0,21375.0,1202.0,12.0,16756.0,80.0,16464.0,2701.0,94.0,5.0,86.0,6919.0,31.0,258.0
1890,361.0,9846.0,926.0,19129.0,284.0,169.0,271.0,221.0,15.0,16653.0,321.0,2.0,9547.0,14.0,103.0,171.0,63.0,528.0,509.0,9.0,16759.0,251.0,872.0,2872.0,458.0,196.0,117.0,367.0,40.0,435.0
1939,19.0,9893.0,11730.0,662.0,66.0,11.0,0.0,205.0,1192.0,68.0,39.0,364.0,9510.0,43.0,35.0,471.0,198.0,1155.0,4768.0,1542.0,64.0,320.0,813.0,3108.0,383.0,25.0,118.0,6906.0,51.0,13.0
1988,0.0,469.0,9.0,19132.0,48.0,10.0,8.0,91.0,21.0,16651.0,126.0,26.0,103.0,2.0,350.0,148.0,1190.0,28.0,296.0,576.0,592.0,49.0,1746.0,1747.0,402.0,18895.0,195.0,200.0,376.0,42.0
2037,16625.0,32.0,3.0,81.0,16.0,5.0,0.0,68.0,24.0,86.0,16961.0,26.0,129.0,91.0,98.0,48.0,29.0,10.0,42.0,7.0,9.0,1255.0,16533.0,4.0,16980.0,917.0,3501.0,27.0,18335.0,15882.0
2086,79.0,155.0,31.0,226.0,0.0,30.0,10.0,3561.0,41.0,1240.0,16950.0,355.0,94.0,92.0,14.0,45.0,841.0,299.0,175.0,148.0,209.0,64.0,136.0,87.0,253.0,19021.0,197.0,371.0,18328.0,1950.0
2135,6.0,106.0,2.0,53.0,605.0,68.0,0.0,6176.0,473.0,29.0,64.0,388.0,9503.0,1.0,383.0,119.0,192.0,23.0,31.0,115.0,8.0,79.0,84.0,3128.0,17.0,18838.0,30.0,329.0,18323.0,159.0
2184,2.0,56.0,7.0,463.0,528.0,58.0,5.0,86.0,22320.0,258.0,1366.0,10.0,6.0,415.0,150.0,94.0,3.0,29.0,4802.0,183.0,16776.0,64.0,16469.0,2866.0,564.0,18821.0,3760.0,6874.0,571.0,184.0
2233,32.0,190.0,121.0,19124.0,3221.0,17.0,1.0,6226.0,1657.0,16659.0,174.0,12.0,112.0,0.0,21218.0,49.0,164.0,6.0,4874.0,373.0,14.0,604.0,54.0,586.0,228.0,552.0,4021.0,428.0,684.0,48.0
2282,120.0,18.0,209.0,245.0,15.0,1.0,11.0,54.0,461.0,6.0,16938.0,145.0,0.0,12.0,382.0,7.0,23192.0,344.0,1952.0,58.0,39.0,16540.0,2590.0,44.0,64.0,19150.0,518.0,5100.0,18349.0,5.0
2331,6.0,29.0,2.0,19125.0,9.0,1.0,12.0,8.0,77.0,16634.0,35.0,18.0,54.0,30.0,27.0,42.0,58.0,47.0,762.0,120.0,136.0,825.0,16510.0,57.0,62.0,371.0,3199.0,1787.0,1617.0,43.0
2380,1.0,35.0,11.0,550.0,3168.0,2.0,30.0,4.0,132.0,602.0,278.0,1861.0,25.0,16.0,101.0,105.0,146.0,15.0,185.0,4794.0,16775.0,464.0,675.0,13.0,39.0,18851.0,3442.0,14.0,76.0,15898.0
2429,910.0,25.0,280.0,189.0,79.0,150.0,17.0,140.0,608.0,16641.0,762.0,34.0,46.0,110.0,4.0,23.0,38.0,784.0,18.0,0.0,671.0,243.0,1500.0,55.0,16942.0,18850.0,3173.0,366.0,18433.0,15813.0
2478,0.0,16.0,28.0,300.0,126.0,15275.0,2.0,61.0,162.0,301.0,10.0,10354.0,771.0,9.0,60.0,146.0,519.0,21611.0,11.0,1660.0,270.0,19.0,16473.0,1696.0,16910.0,18905.0,90.0,7109.0,397.0,434.0
2527,0.0,15.0,50.0,11.0,3100.0,15286.0,12939.0,37.0,51.0,2.0,177.0,12294.0,409.0,16421.0,7.0,424.0,133.0,21389.0,1.0,164.0,16786.0,24.0,16462.0,114.0,16950.0,33.0,347.0,203.0,66.0,15826.0
2576,2.0,302.0,11766.0,153.0,792.0,18.0,87.0,3.0,665.0,158.0,224.0,67.0,415.0,44.0,112.0,360.0,23189.0,1.0,0.0,449.0,752.0,1492.0,107.0,814.0,16977.0,62.0,3817.0,77.0,18335.0,15934.0
2625,24.0,75.0,3.0,12.0,2679.0,21.0,17.0,6143.0,22359.0,514.0,69.0,10.0,9538.0,1970.0,21297.0,254.0,594.0,261.0,1.0,673.0,2366.0,4.0,16501.0,1164.0,16953.0,18821.0,3591.0,167.0,96.0,439.0
2674,352.0,48.0,11824.0,29.0,78.0,197.0,101.0,6047.0,49.0,184.0,16934.0,10343.0,9610.0,16469.0,3.0,22888.0,260.0,5.0,58.0,4968.0,16836.0,63.0,2611.0,3224.0,16976.0,247.0,24.0,6879.0,18425.0,15911.0
2723,8.0,8075.0,8258.0,2.0,0.0,6.0,42.0,3371.0,1007.0,213.0,52.0,77.0,1391.0,619.0,1.0,236.0,1739.0,87.0,34.0,105.0,24.0,1496.0,16552.0,10871.0,16958.0,18932.0,310.0,6503.0,336.0,15928.0
2772,11.0,43.0,161.0,18.0,7.0,35.0,14.0,729.0,22340.0,1.0,16901.0,430.0,9552.0,16409.0,47.0,22815.0,1888.0,21600.0,6.0,4806.0,16801.0,28.0,10.0,1070.0,16964.0,18914.0,31.0,7153.0,18308.0,15840.0
2821,27.0,56.0,155.0,24.0,4.0,11.0,5.0,6718.0,1918.0,218.0,57.0,11597.0,238.0,9138.0,2.0,1027.0,1.0,3.0,94.0,5281.0,558.0,164.0,12175.0,173.0,653.0,20051.0,294.0,1045.0,593.0,7092.0
2870,16624.0,0.0,11706.0,2.0,26.0,15236.0,116.0,219.0,1298.0,50.0,25.0,358.0,172.0,1575.0,72.0,22852.0,9.0,181.0,3.0,5307.0,13.0,16513.0,16522.0,634.0,16966.0,18883.0,10.0,6089.0,842.0,15839.0
2919,147.0,46.0,11699.0,3.0,10.0,552.0,2651.0,98.0,22292.0,508.0,75.0,451.0,9568.0,16441.0,73.0,23300.0,47.0,35.0,17.0,37.0,789.0,890.0,16467.0,639.0,913.0,18900.0,4711.0,5103.0,18333.0,15870.0
2968,14.0,161.0,121.0,244.0,210.0,1426.0,13359.0,1.0,1172.0,30.0,1175.0,10223.0,2155.0,2533.0,21282.0,515.0,9.0,21316.0,1844.0,5759.0,751.0,1227.0,1448.0,100.0,1854.0,682.0,564.0,86.0,245.0,15837.0
3017,56.0,8.0,10.0,16.0,1817.0,92.0,12966.0,560.0,2.0,972.0,473.0,717.0,4.0,1483.0,21137.0,2133.0,19433.0,640.0,1100.0,21.0,196.0,618.0,118.0,3978.0,16910.0,419.0,39.0,20.0,18339.0,1566.0
3066,42.0,110.0,11678.0,173.0,399.0,44.0,13397.0,22.0,14.0,372.0,16894.0,10291.0,32.0,583.0,21261.0,23249.0,19364.0,21321.0,5099.0,5733.0,16768.0,419.0,16507.0,4133.0,2560.0,312.0,497.0,192.0,18323.0,1096.0
3115,4.0,44.0,1.0,1303.0,3096.0,15205.0,189.0,152.0,178.0,15.0,147.0,10254.0,565.0,16398.0,21224.0,2385.0,430.0,21314.0,4738.0,358.0,877.0,883.0,512.0,1573.0,1302.0,18854.0,3231.0,12.0,78.0,29.0
3164,31.0,13.0,11732.0,18864.0,6334.0,15196.0,13371.0,9.0,51.0,2.0,16903.0,101.0,3.0,1103.0,21225.0,2220.0,19494.0,21365.0,231.0,0.0,591.0,1549.0,16438.0,3991.0,16878.0,25.0,18.0,49.0,18430.0,15954.0
3213,290.0,0.0,311.0,1.0,29.0,137.0,578.0,7.0,10.0,16665.0,339.0,219.0,5.0,16443.0,1835.0,787.0,19444.0,21372.0,1680.0,163.0,19.0,780.0,383.0,65.0,16908.0,307.0,115.0,696.0,562.0,15861.0
3262,553.0,6.0,283.0,187.0,216.0,2.0,13421.0,15.0,99.0,178.0,11.0,10303.0,0.0,16426.0,21274.0,23304.0,306.0,21372.0,1155.0,4835.0,1949.0,136.0,78.0,211.0,2362.0,414.0,1.0,192.0,354.0,627.0
3311,1663.0,18.0,45.0,133.0,1.0,1860.0,13348.0,11.0,2.0,16516.0,788.0,194.0,30.0,16406.0,21289.0,705.0,1555.0,21328.0,1352.0,598.0,1980.0,16502.0,56.0,253.0,41.0,871.0,23.0,6807.0,18449.0,318.0
3360,410.0,19.0,8358.0,85.0,0.0,46.0,12944.0,228.0,289.0,16647.0,16893.0,10616.0,11.0,16432.0,173.0,303.0,21.0,18.0,68.0,4.0,16794.0,236.0,16457.0,10985.0,16957.0,18843.0,5.0,3.0,869.0,15864.0
3409,670.0,200.0,1299.0,147.0,93.0,15224.0,4.0,1051.0,8.0,1288.0,1814.0,104.0,89.0,16423.0,21297.0,23330.0,19380.0,21319.0,60.0,48.0,512.0,272.0,16437.0,26.0,16886.0,137.0,130.0,6906.0,18446.0,15961.0
3458,1741.0,152.0,42.0,105.0,3.0,15265.0,1.0,6461.0,22335.0,697.0,22.0,319.0,24.0,26.0,21164.0,22826.0,309.0,70.0,222.0,4636.0,16786.0,2154.0,389.0,2.0,0.0,158.0,3622.0,424.0,18339.0,240.0
3507,13.0,24.0,11768.0,97.0,17.0,850.0,115.0,2075.0,22349.0,16664.0,159.0,10289.0,1244.0,1842.0,21280.0,93.0,21.0,59.0,1476.0,5100.0,288.0,1565.0,145.0,2.0,6.0,170.0,4828.0,364.0,361.0,15902.0
3556,39.0,9830.0,6.0,176.0,5.0,15095.0,0.0,5962.0,541.0,136.0,12.0,1301.0,532.0,72.0,21287.0,23292.0,497.0,21336.0,5356.0,286.0,1.0,808.0,68.0,9.0,51.0,209.0,198.0,522.0,42.0,15815.0
3605,19.0,9919.0,232.0,19122.0,8.0,560.0,9.0,6930.0,203.0,243.0,13.0,2585.0,199.0,864.0,668.0,22815.0,1.0,2441.0,163.0,377.0,64.0,1178.0,16.0,6.0,489.0,2180.0,23.0,503.0,21.0,15840.0
3654,13.0,1631.0,3.0,4.0,0.0,15212.0,29.0,582.0,22290.0,186.0,33.0,205.0,10.0,53.0,21278.0,23307.0,34.0,21381.0,2434.0,5404.0,415.0,16502.0,423.0,17.0,7.0,138.0,91.0,1169.0,654.0,126.0
3703,137.0,9891.0,11.0,40.0,116.0,480.0,412.0,6199.0,131.0,1338.0,1146.0,1597.0,9523.0,88.0,21274.0,68.0,45.0,21383.0,1006.0,4920.0,982.0,111.0,16515.0,12.0,451.0,18851.0,3202.0,1369.0,18323.0,158.0
3752,3.0,9850.0,25.0,47.0,48.0,15252.0,13379.0,1995.0,226.0,2147.0,247.0,124.0,126.0,16387.0,747.0,23328.0,15.0,21380.0,46.0,140.0,16743.0,698.0,115.0,51.0,16949.0,156.0,178.0,6825.0,766.0,27.0
3801,4.0,2135.0,390.0,120.0,21.0,15299.0,12952.0,1942.0,1302.0,66.0,1178.0,17.0,587.0,40.0,218.0,36.0,20.0,30.0,724.0,6980.0,16897.0,231.0,1.0,789.0,655.0,18925.0,3103.0,1016.0,18314.0,122.0
3850,5.0,1050.0,9.0,15.0,6385.0,18.0,291.0,72.0,244.0,150.0,1022.0,7.0,9508.0,55.0,87.0,23331.0,19396.0,21382.0,26.0,32.0,16712.0,732.0,0.0,754.0,16881.0,160.0,246.0,4885.0,53.0,1054.0
3899,0.0,9890.0,30.0,386.0,2972.0,15250.0,12936.0,480.0,928.0,23.0,16892.0,10303.0,9559.0,16417.0,21280.0,955.0,441.0,21362.0,4859.0,4917.0,79.0,16487.0,1.0,123.0,86.0,195.0,3242.0,2200.0,1700.0,15826.0
3948,3.0,2249.0,567.0,19010.0,426.0,4.0,11.0,6014.0,1161.0,21.0,0.0,565.0,9528.0,820.0,21276.0,22831.0,19439.0,215.0,5361.0,5849.0,217.0,46.0,9.0,1003.0,2112.0,16.0,4509.0,847.0,512.0,1377.0
3997,2.0,9922.0,2164.0,359.0,2932.0,324.0,13192.0,369.0,1096.0,859.0,248.0,7.0,315.0,1094.0,21147.0,993.0,1004.0,21368.0,4841.0,4817.0,688.0,408.0,391.0,592.0,1124.0,207.0,3370.0,708.0,18344.0,15909.0
4046,265.0,9900.0,969.0,102.0,6428.0,90.0,2068.0,6150.0,22292.0,49.0,609.0,1.0,9542.0,16401.0,0.0,634.0,19380.0,83.0,138.0,73.0,553.0,11.0,16511.0,4074.0,166.0,25.0,442.0,4933.0,18378.0,700.0
4095,13.0,0.0,1133.0,14.0,78.0,206.0,13413.0,5960.0,357.0,1749.0,15.0,5.0,9545.0,28.0,10.0,2.0,19396.0,1866.0,133.0,84.0,141.0,251.0,878.0,351.0,48.0,3.0,3703.0,5058.0,60.0,911.0
4144,27.0,167.0,11769.0,1082.0,6469.0,15299.0,209.0,7031.0,22361.0,435.0,5.0,393.0,9579.0,170.0,119.0,33.0,212.0,21363.0,2616.0,305.0,191.0,755.0,37.0,15.0,1480.0,36.0,4029.0,2520.0,142.0,15909.0
4193,10.0,21.0,1899.0,19776.0,228.0,14449.0,137.0,35.0,15879.0,9044.0,28.0,23.0,73.0,182.0,7.0,1827.0,22951.0,14996.0,2619.0,5583.0,7011.0,233.0,450.0,332.0,4066.0,51.0,4517.0,613.0,16726.0,88.0
4242,1579.0,46.0,47.0,18876.0,3351.0,722.0,13377.0,789.0,68.0,30.0,8.0,1129.0,9507.0,578.0,143.0,1576.0,1959.0,729.0,749.0,5858.0,2262.0,16501.0,597.0,1025.0,16876.0,814.0,3721.0,5026.0,39.0,15899.0
4291,16629.0,6.0,11734.0,19143.0,3467.0,187.0,192.0,6455.0,22334.0,16669.0,1921.0,10285.0,9569.0,16450.0,21169.0,22817.0,19450.0,21370.0,35.0,4820.0,613.0,16507.0,673.0,904.0,97.0,18916.0,4172.0,7143.0,18398.0,131.0
4340,667.0,43.0,521.0,19129.0,6387.0,42.0,519.0,6963.0,9.0,1070.0,10.0,1110.0,9537.0,7.0,21173.0,23332.0,19367.0,21321.0,1137.0,5027.0,215.0,16.0,16463.0,4159.0,16905.0,45.0,4761.0,452.0,311.0,32.0
4389,4.0,34.0,12.0,18889.0,3194.0,15265.0,12980.0,39.0,22294.0,675.0,15.0,10260.0,9511.0,760.0,13.0,23326.0,19385.0,1480.0,25.0,4926.0,16757.0,40.0,86.0,178.0,16942.0,18858.0,173.0,6869.0,1351.0,75.0
4438,1839.0,9849.0,142.0,18883.0,29.0,308.0,13380.0,6171.0,22343.0,300.0,201.0,100.0,7613.0,37.0,126.0,2542.0,1.0,15.0,2571.0,4871.0,53.0,642.0,701.0,2672.0,16912.0,18967.0,1035.0,6867.0,18427.0,783.0
4487,657.0,9861.0,8.0,19129.0,28.0,68.0,493.0,6227.0,27.0,42.0,16910.0,35.0,9576.0,16413.0,21174.0,454.0,76.0,749.0,4861.0,4930.0,307.0,52.0,16528.0,332.0,54.0,18904.0,3255.0,246.0,18334.0,15843.0
4536,42.0,151.0,198.0,18891.0,576.0,118.0,26.0,420.0,41.0,206.0,473.0,8.0,3.0,1.0,21256.0,0.0,192.0,61.0,675.0,5893.0,162.0,628.0,175.0,3291.0,240.0,18848.0,237.0,5138.0,2590.0,15886.0
4585,884.0,4.0,3.0,133.0,681.0,340.0,62.0,6228.0,22.0,16658.0,16899.0,292.0,0.0,44.0,21270.0,23310.0,59.0,192.0,1083.0,4926.0,137.0,16508.0,519.0,3230.0,13.0,18835.0,2959.0,6915.0,18328.0,25.0
4634,112.0,10.0,8693.0,35.0,11.0,103.0,847.0,65.0,16.0,58.0,96.0,22.0,20.0,16399.0,213.0,994.0,24.0,269.0,7133.0,717.0,0.0,16368.0,230.0,671.0,30.0,18825.0,4191.0,6381.0,18322.0,15855.0
4683,1.0,1134.0,39.0,187.0,40.0,836.0,857.0,9.0,43.0,74.0,3.0,431.0,433.0,2376.0,21288.0,316.0,178.0,974.0,5416.0,5028.0,1011.0,1073.0,2183.0,390.0,67.0,340.0,702.0,932.0,18441.0,15831.0
4732,132.0,13.0,1.0,72.0,22.0,653.0,3.0,50.0,12.0,117.0,16947.0,787.0,17.0,335.0,198.0,106.0,152.0,222.0,143.0,5931.0,65.0,16494.0,2507.0,4100.0,16924.0,18865.0,4579.0,4883.0,18312.0,15901.0
4781,2.0,230.0,1849.0,37.0,4.0,267.0,1861.0,155.0,457.0,666.0,2372.0,989.0,9305.0,16385.0,21259.0,153.0,1365.0,21348.0,7166.0,6924.0,9.0,228.0,16508.0,10936.0,26.0,18826.0,4202.0,6276.0,18327.0,290.0
4830,56.0,334.0,814.0,17.0,204.0,71.0,16.0,18.0,128.0,287.0,120.0,2.0,9556.0,136.0,386.0,215.0,130.0,973.0,5826.0,5884.0,16907.0,122.0,161.0,3930.0,16965.0,342.0,3715.0,5130.0,18340.0,15896.0
