,hsa-miR-921,hsa-miR-147b,hsa-miR-548d-3p,hsa-miR-29c,hsa-miR-223,hsa-miR-489,hsa-miR-26b,hsa-miR-125a-3p,hsa-miR-485-5p,hsa-miR-591,hsa-miR-1284,hsa-miR-615-3p,hsa-miR-492,hsa-miR-616,hsa-miR-518d-3p,hsa-miR-26a,hsa-miR-1278,hsa-miR-384,hsa-miR-29b,hsa-miR-320c,hsa-miR-1236,hsa-miR-770-5p,hsa-miR-328,hsa-miR-579,hsa-miR-516a-3p,hsa-miR-218,hsa-miR-892a,hsa-miR-1248,hiv1-miR-N367,hsa-miR-323-5p
1191,21.0,1.0,16.0,4.0,2.0,25.0,28.0,17.0,14.0,10.0,12.0,84.0,19.0,36.0,9.0,45.0,0.0,8.0,23.0,42.0,7.0,5.0,24.0,32.0,67.0,3.0,6.0,29.0,51.0,30.0
1240,18.0,19.0,15.0,10.0,20.0,8.0,3.0,91.0,29.0,1.0,47.0,13.0,109.0,22.0,4.0,24.0,0.0,11.0,31.0,21.0,2.0,5.0,25.0,27.0,32.0,16.0,6.0,39.0,33.0,7.0
1289,0.0,18.0,9.0,5.0,12.0,15.0,21.0,26.0,22.0,2.0,63.0,88.0,43.0,17.0,20.0,122.0,1.0,46.0,25.0,28.0,14.0,4.0,115.0,93.0,66.0,119.0,7.0,29.0,73.0,39.0
1338,5.0,4.0,30.0,1.0,2.0,6.0,17.0,54.0,16.0,8.0,38.0,173.0,31.0,7.0,37.0,53.0,0.0,15.0,20.0,36.0,3.0,19.0,152.0,58.0,87.0,32.0,12.0,27.0,101.0,13.0
1387,10.0,5.0,11.0,20.0,3.0,26.0,19.0,41.0,58.0,2.0,87.0,66.0,25.0,8.0,23.0,91.0,0.0,29.0,37.0,22.0,14.0,1.0,35.0,13.0,53.0,42.0,4.0,85.0,32.0,16.0
1436,0.0,15.0,20.0,7.0,5.0,36.0,3.0,66.0,32.0,6.0,21.0,157.0,19.0,8.0,9.0,16.0,2.0,44.0,38.0,55.0,14.0,26.0,28.0,23.0,42.0,11.0,1.0,43.0,63.0,25.0
1485,8.0,47.0,4.0,22.0,65.0,14.0,3.0,56.0,77.0,9.0,25.0,164.0,18.0,58.0,72.0,93.0,1.0,16.0,34.0,21.0,39.0,64.0,37.0,55.0,28.0,0.0,15.0,24.0,89.0,135.0
1534,61.0,36.0,3.0,69.0,6.0,14.0,1.0,70.0,71.0,4.0,32.0,16.0,91.0,190.0,18.0,15.0,2.0,24.0,135.0,12.0,185.0,41.0,125.0,11.0,35.0,9.0,72.0,64.0,19.0,44.0
1583,48.0,46.0,0.0,18.0,8.0,10.0,25.0,15.0,7.0,34.0,66.0,16.0,28.0,5.0,13.0,24.0,4.0,6.0,17.0,12.0,43.0,95.0,122.0,61.0,23.0,9.0,123.0,29.0,21.0,78.0
1632,5.0,27.0,9.0,1.0,15.0,6.0,30.0,83.0,12.0,4.0,16.0,36.0,8.0,7.0,33.0,37.0,2.0,0.0,17.0,79.0,43.0,145.0,75.0,45.0,34.0,40.0,95.0,52.0,29.0,170.0
1681,39.0,10.0,3.0,12.0,1.0,23.0,2.0,30.0,49.0,6.0,28.0,92.0,19.0,45.0,43.0,36.0,7.0,14.0,26.0,27.0,15.0,106.0,120.0,21.0,56.0,69.0,44.0,29.0,8.0,154.0
1730,19.0,37.0,0.0,26.0,6.0,9.0,24.0,59.0,62.0,1.0,4.0,32.0,49.0,36.0,74.0,15.0,13.0,10.0,35.0,30.0,83.0,58.0,27.0,21.0,40.0,28.0,65.0,56.0,3.0,134.0
1779,1.0,28.0,0.0,10.0,8.0,2.0,33.0,73.0,52.0,56.0,42.0,45.0,22.0,3.0,47.0,34.0,5.0,11.0,17.0,4.0,168.0,127.0,173.0,50.0,48.0,16.0,13.0,37.0,7.0,95.0
1828,97.0,48.0,8.0,21.0,3.0,24.0,2.0,32.0,41.0,12.0,142.0,34.0,67.0,1.0,44.0,5.0,15.0,30.0,19.0,17.0,165.0,69.0,53.0,40.0,27.0,13.0,29.0,35.0,10.0,305.0
1877,28.0,22.0,4.0,9.0,21.0,10.0,15.0,178.0,30.0,47.0,16.0,27.0,17.0,26.0,33.0,12.0,0.0,3.0,5.0,42.0,44.0,81.0,217.0,90.0,76.0,35.0,43.0,8.0,50.0,165.0
1926,20.0,28.0,0.0,13.0,7.0,1.0,60.0,8.0,29.0,37.0,9.0,15.0,80.0,21.0,22.0,4.0,40.0,91.0,32.0,10.0,41.0,87.0,34.0,98.0,56.0,92.0,5.0,18.0,6.0,42.0
1975,0.0,31.0,6.0,26.0,40.0,5.0,25.0,2.0,27.0,4.0,106.0,39.0,10.0,18.0,29.0,104.0,43.0,9.0,8.0,1.0,13.0,17.0,76.0,14.0,55.0,129.0,30.0,41.0,24.0,72.0
2024,0.0,6.0,21.0,12.0,15.0,13.0,27.0,16.0,23.0,17.0,19.0,1.0,8.0,22.0,36.0,11.0,317.0,4.0,2.0,10.0,3.0,24.0,34.0,7.0,41.0,79.0,44.0,225.0,83.0,28.0
2073,9.0,3.0,16.0,1.0,4.0,31.0,90.0,63.0,26.0,17.0,0.0,64.0,8.0,19.0,28.0,44.0,62.0,50.0,18.0,67.0,29.0,6.0,35.0,100.0,24.0,86.0,2.0,14.0,112.0,59.0
2122,0.0,1.0,31.0,13.0,5.0,9.0,17.0,21.0,12.0,26.0,19.0,33.0,23.0,11.0,6.0,30.0,32.0,57.0,15.0,3.0,8.0,2.0,54.0,14.0,24.0,146.0,36.0,7.0,38.0,37.0
2171,6.0,3.0,12.0,33.0,2.0,11.0,58.0,1.0,14.0,8.0,9.0,26.0,24.0,76.0,16.0,114.0,123.0,44.0,21.0,13.0,38.0,5.0,17.0,4.0,47.0,255.0,39.0,23.0,35.0,37.0
2220,38.0,9.0,22.0,5.0,13.0,8.0,42.0,31.0,2.0,17.0,1.0,21.0,10.0,45.0,15.0,29.0,99.0,46.0,7.0,3.0,12.0,36.0,23.0,19.0,25.0,30.0,41.0,0.0,75.0,116.0
2269,0.0,5.0,14.0,18.0,16.0,6.0,40.0,1.0,7.0,19.0,3.0,25.0,4.0,60.0,23.0,55.0,112.0,28.0,2.0,12.0,11.0,45.0,15.0,9.0,13.0,35.0,139.0,31.0,65.0,89.0
2318,1.0,9.0,20.0,6.0,13.0,37.0,45.0,11.0,5.0,23.0,12.0,3.0,18.0,16.0,0.0,51.0,204.0,49.0,4.0,2.0,32.0,17.0,10.0,42.0,22.0,28.0,34.0,19.0,29.0,94.0
2367,0.0,2.0,59.0,14.0,8.0,39.0,99.0,5.0,3.0,97.0,20.0,19.0,23.0,6.0,4.0,153.0,65.0,69.0,26.0,7.0,35.0,16.0,109.0,1.0,43.0,105.0,34.0,48.0,9.0,72.0
2416,5.0,4.0,0.0,15.0,52.0,12.0,89.0,24.0,9.0,18.0,19.0,7.0,1.0,8.0,10.0,46.0,130.0,65.0,6.0,2.0,53.0,11.0,86.0,81.0,122.0,66.0,68.0,138.0,107.0,58.0
2465,2.0,14.0,1.0,4.0,33.0,17.0,5.0,0.0,41.0,20.0,22.0,51.0,45.0,6.0,90.0,73.0,359.0,7.0,21.0,69.0,77.0,46.0,80.0,18.0,8.0,43.0,40.0,50.0,49.0,60.0
2514,10.0,1.0,51.0,5.0,39.0,6.0,0.0,2.0,33.0,12.0,50.0,38.0,4.0,31.0,35.0,73.0,9.0,7.0,71.0,79.0,59.0,49.0,70.0,26.0,22.0,19.0,119.0,32.0,13.0,16.0
2563,11.0,8.0,32.0,5.0,33.0,1.0,0.0,20.0,31.0,2.0,35.0,34.0,99.0,9.0,108.0,14.0,4.0,3.0,37.0,45.0,6.0,89.0,21.0,76.0,23.0,94.0,36.0,54.0,10.0,41.0
2612,4.0,9.0,20.0,11.0,34.0,2.0,5.0,241.0,19.0,1.0,91.0,27.0,0.0,117.0,26.0,25.0,100.0,30.0,192.0,39.0,7.0,79.0,14.0,99.0,29.0,3.0,147.0,84.0,16.0,21.0
2661,0.0,5.0,6.0,2.0,28.0,3.0,1.0,8.0,10.0,7.0,106.0,17.0,20.0,16.0,50.0,151.0,55.0,9.0,44.0,85.0,12.0,33.0,31.0,62.0,14.0,47.0,42.0,38.0,23.0,25.0
2710,0.0,21.0,6.0,4.0,24.0,7.0,3.0,16.0,50.0,11.0,14.0,1.0,28.0,13.0,39.0,5.0,49.0,10.0,17.0,77.0,47.0,74.0,9.0,25.0,20.0,26.0,12.0,31.0,66.0,45.0
2759,0.0,3.0,8.0,10.0,16.0,12.0,4.0,18.0,85.0,5.0,97.0,31.0,7.0,38.0,34.0,78.0,9.0,30.0,68.0,72.0,26.0,23.0,49.0,103.0,14.0,29.0,43.0,36.0,2.0,152.0
2808,0.0,14.0,6.0,3.0,17.0,28.0,2.0,4.0,29.0,1.0,56.0,45.0,50.0,42.0,47.0,66.0,5.0,13.0,30.0,49.0,31.0,25.0,44.0,41.0,51.0,48.0,26.0,99.0,18.0,68.0
2857,0.0,13.0,19.0,3.0,26.0,4.0,1.0,5.0,53.0,7.0,11.0,41.0,36.0,52.0,66.0,60.0,31.0,28.0,17.0,75.0,21.0,22.0,9.0,15.0,40.0,16.0,12.0,82.0,6.0,74.0
2906,0.0,4.0,7.0,5.0,33.0,2.0,1.0,6.0,11.0,3.0,87.0,26.0,32.0,15.0,74.0,77.0,80.0,49.0,21.0,23.0,43.0,105.0,68.0,71.0,54.0,41.0,55.0,48.0,17.0,8.0
2955,0.0,2.0,1.0,6.0,114.0,23.0,7.0,10.0,12.0,49.0,90.0,53.0,31.0,76.0,94.0,26.0,24.0,9.0,13.0,32.0,4.0,8.0,93.0,89.0,25.0,77.0,276.0,56.0,51.0,45.0
3004,0.0,6.0,1.0,3.0,58.0,4.0,5.0,47.0,7.0,20.0,72.0,2.0,34.0,11.0,192.0,32.0,17.0,15.0,25.0,85.0,10.0,9.0,71.0,23.0,16.0,61.0,166.0,89.0,81.0,33.0
3053,1.0,10.0,0.0,23.0,29.0,46.0,7.0,11.0,4.0,15.0,26.0,6.0,9.0,3.0,13.0,2.0,21.0,34.0,5.0,49.0,20.0,17.0,138.0,76.0,31.0,100.0,64.0,40.0,66.0,79.0
3102,0.0,1.0,3.0,5.0,28.0,13.0,15.0,7.0,11.0,110.0,106.0,37.0,184.0,2.0,45.0,83.0,26.0,17.0,6.0,21.0,192.0,67.0,109.0,14.0,41.0,235.0,22.0,50.0,60.0,96.0
3151,11.0,0.0,9.0,2.0,12.0,44.0,6.0,57.0,7.0,15.0,27.0,20.0,16.0,10.0,97.0,25.0,73.0,13.0,4.0,41.0,1.0,75.0,89.0,71.0,36.0,24.0,112.0,42.0,122.0,72.0
3200,4.0,5.0,8.0,0.0,41.0,32.0,29.0,1.0,2.0,30.0,57.0,9.0,36.0,27.0,40.0,71.0,7.0,22.0,17.0,13.0,37.0,6.0,34.0,10.0,76.0,137.0,23.0,33.0,90.0,69.0
3249,1.0,6.0,2.0,27.0,24.0,12.0,14.0,16.0,5.0,84.0,62.0,9.0,4.0,30.0,49.0,39.0,35.0,11.0,3.0,25.0,8.0,21.0,162.0,0.0,7.0,118.0,75.0,54.0,59.0,115.0
3298,6.0,10.0,1.0,2.0,59.0,31.0,14.0,5.0,7.0,40.0,90.0,4.0,13.0,25.0,60.0,9.0,11.0,43.0,3.0,24.0,8.0,47.0,39.0,42.0,18.0,46.0,35.0,33.0,51.0,99.0
3347,7.0,10.0,1.0,3.0,9.0,6.0,17.0,20.0,13.0,42.0,23.0,0.0,21.0,22.0,71.0,4.0,104.0,44.0,12.0,14.0,39.0,41.0,32.0,28.0,43.0,79.0,35.0,34.0,40.0,45.0
3396,0.0,4.0,3.0,5.0,9.0,14.0,21.0,12.0,1.0,50.0,59.0,13.0,7.0,11.0,28.0,40.0,55.0,15.0,26.0,93.0,19.0,54.0,111.0,6.0,47.0,74.0,310.0,37.0,32.0,34.0
3445,142.0,4.0,15.0,28.0,1.0,78.0,19.0,0.0,10.0,67.0,14.0,2.0,3.0,30.0,8.0,5.0,35.0,6.0,21.0,32.0,71.0,27.0,49.0,9.0,33.0,76.0,106.0,22.0,111.0,68.0
3494,34.0,0.0,30.0,29.0,2.0,1.0,6.0,8.0,5.0,42.0,81.0,118.0,68.0,17.0,21.0,18.0,12.0,28.0,80.0,45.0,39.0,48.0,16.0,23.0,14.0,3.0,101.0,13.0,19.0,111.0
3543,35.0,2.0,45.0,9.0,10.0,67.0,13.0,5.0,50.0,38.0,14.0,21.0,20.0,63.0,24.0,0.0,15.0,157.0,25.0,19.0,8.0,4.0,3.0,6.0,32.0,1.0,40.0,41.0,23.0,18.0
3592,28.0,17.0,20.0,16.0,5.0,4.0,2.0,1.0,15.0,25.0,30.0,0.0,56.0,22.0,11.0,41.0,13.0,34.0,86.0,27.0,45.0,8.0,10.0,6.0,19.0,70.0,74.0,33.0,49.0,23.0
3641,23.0,1.0,40.0,10.0,8.0,92.0,70.0,0.0,3.0,34.0,12.0,13.0,41.0,170.0,2.0,11.0,19.0,16.0,4.0,22.0,51.0,28.0,5.0,9.0,6.0,31.0,43.0,7.0,18.0,38.0
3690,20.0,2.0,12.0,22.0,5.0,36.0,3.0,1.0,10.0,8.0,92.0,38.0,46.0,23.0,6.0,19.0,0.0,24.0,9.0,21.0,102.0,7.0,26.0,34.0,44.0,40.0,95.0,29.0,13.0,63.0
3739,26.0,3.0,4.0,31.0,29.0,10.0,7.0,0.0,8.0,36.0,24.0,75.0,43.0,18.0,15.0,2.0,21.0,77.0,20.0,30.0,17.0,88.0,6.0,33.0,11.0,5.0,151.0,19.0,41.0,27.0
3788,117.0,2.0,44.0,3.0,6.0,29.0,7.0,14.0,5.0,35.0,11.0,52.0,4.0,21.0,9.0,10.0,24.0,1.0,18.0,54.0,27.0,39.0,38.0,43.0,22.0,40.0,34.0,0.0,53.0,89.0
3837,9.0,0.0,10.0,19.0,56.0,4.0,5.0,18.0,16.0,1.0,2.0,76.0,35.0,100.0,14.0,3.0,101.0,8.0,15.0,154.0,11.0,37.0,7.0,113.0,20.0,33.0,48.0,45.0,13.0,49.0
3886,16.0,4.0,19.0,13.0,30.0,7.0,33.0,73.0,12.0,59.0,2.0,11.0,94.0,99.0,31.0,9.0,3.0,8.0,14.0,32.0,44.0,90.0,1.0,0.0,17.0,35.0,87.0,6.0,54.0,15.0
3935,22.0,10.0,20.0,8.0,38.0,13.0,30.0,0.0,7.0,40.0,14.0,17.0,1.0,42.0,2.0,6.0,87.0,26.0,43.0,60.0,12.0,51.0,3.0,23.0,53.0,21.0,70.0,39.0,69.0,16.0
3984,66.0,1.0,2.0,4.0,40.0,13.0,5.0,3.0,36.0,39.0,50.0,11.0,0.0,17.0,29.0,14.0,31.0,33.0,35.0,51.0,12.0,18.0,8.0,43.0,34.0,21.0,27.0,125.0,26.0,19.0
4033,36.0,7.0,8.0,1.0,104.0,20.0,31.0,12.0,43.0,35.0,18.0,15.0,0.0,2.0,21.0,10.0,13.0,3.0,49.0,129.0,26.0,29.0,9.0,77.0,38.0,30.0,11.0,27.0,80.0,52.0
4082,9.0,11.0,1.0,3.0,36.0,15.0,20.0,5.0,8.0,81.0,31.0,2.0,0.0,13.0,25.0,16.0,50.0,12.0,33.0,60.0,17.0,18.0,6.0,29.0,19.0,26.0,34.0,38.0,41.0,27.0
4131,22.0,4.0,8.0,0.0,26.0,18.0,9.0,5.0,20.0,15.0,27.0,1.0,2.0,39.0,37.0,17.0,72.0,25.0,30.0,142.0,3.0,21.0,6.0,55.0,33.0,124.0,38.0,113.0,13.0,7.0
4180,0.0,42.0,7.0,26.0,32.0,25.0,1.0,16.0,27.0,21.0,28.0,3.0,2.0,40.0,18.0,23.0,39.0,10.0,77.0,56.0,8.0,12.0,69.0,55.0,4.0,174.0,45.0,30.0,9.0,58.0
4229,6.0,17.0,0.0,26.0,72.0,29.0,10.0,2.0,33.0,16.0,91.0,7.0,4.0,77.0,22.0,25.0,61.0,107.0,35.0,30.0,21.0,1.0,45.0,67.0,51.0,128.0,41.0,167.0,47.0,37.0
4278,52.0,8.0,13.0,26.0,69.0,17.0,21.0,11.0,16.0,102.0,0.0,5.0,1.0,35.0,12.0,2.0,112.0,9.0,48.0,36.0,29.0,46.0,19.0,23.0,6.0,76.0,10.0,42.0,20.0,44.0
4327,3.0,2.0,1.0,19.0,38.0,5.0,18.0,7.0,22.0,43.0,11.0,15.0,8.0,37.0,0.0,13.0,91.0,6.0,58.0,41.0,4.0,27.0,12.0,122.0,14.0,53.0,33.0,50.0,21.0,9.0
4376,3.0,25.0,6.0,7.0,26.0,2.0,8.0,36.0,50.0,22.0,45.0,10.0,12.0,20.0,15.0,0.0,87.0,124.0,31.0,90.0,21.0,72.0,39.0,27.0,54.0,51.0,5.0,14.0,71.0,4.0
4425,0.0,3.0,17.0,25.0,28.0,9.0,11.0,2.0,35.0,37.0,10.0,13.0,33.0,8.0,32.0,15.0,75.0,150.0,106.0,18.0,52.0,4.0,34.0,104.0,45.0,44.0,1.0,24.0,20.0,39.0
4474,0.0,1.0,25.0,29.0,6.0,20.0,30.0,2.0,54.0,11.0,9.0,39.0,33.0,21.0,12.0,17.0,38.0,55.0,95.0,19.0,7.0,3.0,24.0,8.0,50.0,16.0,18.0,49.0,10.0,4.0
4523,0.0,18.0,28.0,61.0,33.0,14.0,22.0,2.0,65.0,19.0,1.0,6.0,96.0,31.0,34.0,41.0,114.0,9.0,66.0,21.0,10.0,39.0,94.0,4.0,3.0,77.0,23.0,47.0,11.0,7.0
4572,0.0,5.0,32.0,11.0,4.0,6.0,9.0,1.0,23.0,31.0,59.0,28.0,18.0,7.0,13.0,10.0,39.0,66.0,87.0,14.0,16.0,12.0,8.0,68.0,19.0,36.0,3.0,21.0,2.0,17.0
4621,0.0,2.0,23.0,19.0,3.0,26.0,15.0,7.0,42.0,11.0,24.0,62.0,16.0,4.0,27.0,35.0,12.0,49.0,59.0,22.0,5.0,8.0,18.0,41.0,20.0,31.0,36.0,14.0,43.0,13.0
4670,0.0,5.0,4.0,11.0,3.0,1.0,14.0,8.0,7.0,41.0,27.0,28.0,20.0,2.0,75.0,9.0,119.0,18.0,100.0,62.0,38.0,23.0,12.0,22.0,17.0,15.0,6.0,72.0,31.0,10.0
4719,0.0,1.0,5.0,16.0,18.0,4.0,13.0,12.0,20.0,26.0,41.0,42.0,52.0,2.0,19.0,23.0,33.0,91.0,98.0,11.0,29.0,36.0,21.0,44.0,32.0,8.0,7.0,39.0,10.0,25.0
4768,0.0,1.0,76.0,58.0,25.0,2.0,9.0,20.0,26.0,22.0,3.0,52.0,93.0,16.0,5.0,29.0,38.0,39.0,55.0,62.0,14.0,24.0,10.0,12.0,18.0,6.0,13.0,15.0,33.0,7.0
4817,0.0,1.0,16.0,49.0,17.0,20.0,7.0,2.0,65.0,15.0,13.0,99.0,112.0,21.0,46.0,28.0,37.0,51.0,53.0,23.0,30.0,3.0,29.0,56.0,32.0,152.0,40.0,134.0,26.0,4.0
4866,0.0,4.0,11.0,28.0,2.0,22.0,20.0,16.0,31.0,36.0,6.0,8.0,34.0,30.0,15.0,7.0,27.0,55.0,21.0,10.0,35.0,32.0,9.0,54.0,23.0,40.0,1.0,51.0,5.0,41.0
