,hsa-miR-548a-3p,hsa-miR-205,hsa-miR-744,hsa-miR-223,hsa-miR-148a,hsa-miR-934,hsa-miR-30c,hsa-miR-662,hsa-miR-578,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-770-5p,hsa-miR-155,hsa-miR-1299,kshv-miR-K12-11,hsa-miR-222,hsa-miR-135b,hsa-miR-511,hsa-miR-196b,hsa-miR-323-5p,hsa-miR-603,hsa-miR-609,hsa-miR-921,hsa-miR-331-5p,kshv-miR-K12-7,hsa-miR-1182,hsa-miR-765,hsa-miR-220b,hsa-miR-1254,hsa-miR-1233
2025,0.0,1.0,58.0,4.0,21.0,6.0,12.0,8.0,27.0,16.0,5.0,3.0,28.0,14.0,30.0,2.0,7.0,19.0,326.0,25.0,119.0,75.0,68.0,82.0,17.0,63.0,36.0,10.0,42.0,33.0
2074,0.0,2.0,45.0,6.0,5.0,7.0,12.0,3.0,87.0,10.0,26.0,1.0,28.0,13.0,64.0,27.0,30.0,4.0,116.0,11.0,29.0,36.0,8.0,37.0,20.0,63.0,34.0,52.0,76.0,55.0
2123,1.0,0.0,49.0,29.0,38.0,12.0,5.0,3.0,65.0,19.0,11.0,2.0,33.0,23.0,24.0,39.0,9.0,4.0,81.0,18.0,35.0,50.0,45.0,20.0,7.0,83.0,44.0,6.0,127.0,41.0
2172,0.0,2.0,5.0,8.0,24.0,3.0,4.0,7.0,21.0,33.0,1.0,19.0,137.0,46.0,22.0,17.0,16.0,12.0,81.0,14.0,55.0,47.0,57.0,26.0,23.0,39.0,63.0,11.0,25.0,43.0
2221,1.0,0.0,60.0,20.0,53.0,30.0,14.0,2.0,9.0,7.0,11.0,8.0,38.0,12.0,35.0,13.0,37.0,27.0,140.0,18.0,180.0,47.0,4.0,26.0,3.0,77.0,58.0,22.0,48.0,5.0
2270,3.0,0.0,165.0,6.0,37.0,8.0,10.0,1.0,15.0,24.0,12.0,2.0,57.0,18.0,14.0,5.0,4.0,79.0,49.0,25.0,19.0,36.0,9.0,65.0,92.0,71.0,130.0,17.0,128.0,63.0
2319,0.0,1.0,14.0,17.0,6.0,22.0,4.0,2.0,50.0,25.0,57.0,24.0,34.0,20.0,136.0,13.0,3.0,7.0,262.0,28.0,97.0,48.0,36.0,18.0,16.0,54.0,98.0,10.0,44.0,103.0
2368,0.0,1.0,2.0,3.0,10.0,12.0,7.0,8.0,11.0,28.0,14.0,5.0,19.0,46.0,44.0,16.0,15.0,40.0,175.0,29.0,67.0,92.0,30.0,82.0,39.0,56.0,36.0,48.0,101.0,6.0
2417,1.0,0.0,62.0,6.0,13.0,4.0,8.0,2.0,19.0,20.0,16.0,9.0,43.0,50.0,26.0,12.0,3.0,7.0,162.0,31.0,103.0,28.0,10.0,52.0,25.0,78.0,94.0,5.0,88.0,34.0
2466,0.0,1.0,9.0,6.0,39.0,2.0,26.0,3.0,5.0,4.0,7.0,23.0,21.0,20.0,28.0,48.0,24.0,120.0,14.0,53.0,27.0,22.0,49.0,10.0,17.0,59.0,19.0,25.0,15.0,95.0
2515,1.0,0.0,4.0,8.0,9.0,2.0,12.0,22.0,5.0,15.0,7.0,6.0,16.0,11.0,13.0,27.0,39.0,33.0,10.0,36.0,50.0,19.0,117.0,46.0,37.0,70.0,14.0,30.0,29.0,34.0
2564,0.0,1.0,9.0,3.0,6.0,4.0,2.0,13.0,21.0,82.0,16.0,10.0,11.0,24.0,22.0,38.0,20.0,34.0,17.0,128.0,45.0,19.0,159.0,32.0,27.0,57.0,72.0,26.0,7.0,14.0
2613,0.0,1.0,2.0,3.0,12.0,7.0,10.0,8.0,5.0,24.0,20.0,9.0,11.0,13.0,22.0,57.0,23.0,39.0,4.0,56.0,85.0,48.0,33.0,25.0,40.0,36.0,32.0,41.0,19.0,55.0
2662,1.0,0.0,8.0,3.0,16.0,2.0,5.0,17.0,33.0,45.0,15.0,6.0,24.0,10.0,13.0,36.0,7.0,34.0,4.0,93.0,199.0,28.0,38.0,39.0,18.0,31.0,154.0,23.0,22.0,21.0
2711,0.0,1.0,8.0,4.0,9.0,2.0,6.0,7.0,3.0,13.0,5.0,10.0,30.0,17.0,21.0,18.0,60.0,48.0,31.0,58.0,41.0,12.0,29.0,59.0,33.0,28.0,36.0,40.0,16.0,20.0
2760,0.0,1.0,14.0,9.0,29.0,8.0,11.0,5.0,2.0,12.0,7.0,3.0,10.0,16.0,6.0,89.0,27.0,30.0,4.0,36.0,50.0,25.0,57.0,42.0,62.0,67.0,37.0,31.0,18.0,21.0
2809,2.0,0.0,11.0,3.0,28.0,5.0,4.0,10.0,1.0,17.0,21.0,13.0,7.0,14.0,6.0,26.0,12.0,84.0,19.0,20.0,69.0,30.0,8.0,76.0,59.0,54.0,29.0,25.0,89.0,34.0
2858,0.0,1.0,14.0,2.0,45.0,3.0,6.0,11.0,8.0,18.0,13.0,4.0,9.0,19.0,7.0,34.0,17.0,21.0,5.0,44.0,58.0,36.0,52.0,27.0,56.0,33.0,48.0,62.0,12.0,10.0
2907,1.0,0.0,13.0,3.0,17.0,8.0,2.0,23.0,16.0,38.0,4.0,5.0,7.0,31.0,15.0,78.0,21.0,12.0,6.0,27.0,59.0,19.0,24.0,80.0,57.0,63.0,44.0,11.0,20.0,18.0
2956,0.0,3.0,1.0,4.0,2.0,10.0,7.0,6.0,12.0,9.0,35.0,21.0,11.0,13.0,63.0,18.0,39.0,31.0,45.0,65.0,16.0,29.0,8.0,36.0,101.0,26.0,44.0,47.0,32.0,108.0
3005,0.0,1.0,5.0,3.0,6.0,2.0,4.0,19.0,31.0,14.0,21.0,45.0,54.0,10.0,101.0,15.0,22.0,13.0,11.0,52.0,9.0,24.0,34.0,18.0,103.0,17.0,116.0,58.0,8.0,41.0
3054,0.0,2.0,4.0,12.0,14.0,17.0,6.0,8.0,7.0,19.0,9.0,75.0,56.0,49.0,61.0,5.0,1.0,87.0,63.0,31.0,13.0,39.0,11.0,45.0,147.0,36.0,20.0,97.0,15.0,294.0
3103,0.0,1.0,2.0,4.0,17.0,21.0,16.0,8.0,10.0,3.0,5.0,25.0,27.0,15.0,13.0,29.0,22.0,60.0,12.0,9.0,7.0,6.0,32.0,20.0,75.0,34.0,162.0,113.0,24.0,127.0
3152,0.0,1.0,6.0,12.0,2.0,13.0,7.0,4.0,9.0,3.0,24.0,47.0,14.0,19.0,46.0,8.0,10.0,18.0,5.0,36.0,17.0,31.0,22.0,16.0,66.0,25.0,148.0,62.0,20.0,151.0
3201,0.0,2.0,1.0,14.0,3.0,7.0,5.0,4.0,8.0,15.0,9.0,46.0,10.0,16.0,85.0,36.0,12.0,33.0,23.0,71.0,18.0,6.0,22.0,13.0,94.0,17.0,93.0,83.0,21.0,197.0
3250,0.0,1.0,5.0,8.0,2.0,27.0,14.0,6.0,24.0,7.0,15.0,76.0,20.0,30.0,107.0,37.0,114.0,17.0,4.0,45.0,9.0,13.0,10.0,21.0,47.0,23.0,66.0,106.0,11.0,86.0
3299,0.0,1.0,9.0,5.0,2.0,14.0,12.0,7.0,40.0,4.0,11.0,59.0,27.0,8.0,50.0,19.0,18.0,38.0,25.0,103.0,17.0,55.0,3.0,6.0,36.0,80.0,30.0,58.0,35.0,52.0
3348,0.0,1.0,26.0,2.0,3.0,7.0,5.0,9.0,68.0,46.0,14.0,32.0,18.0,29.0,110.0,15.0,40.0,8.0,11.0,23.0,12.0,28.0,21.0,42.0,137.0,31.0,98.0,34.0,57.0,116.0
3397,0.0,1.0,4.0,5.0,10.0,6.0,9.0,2.0,13.0,15.0,17.0,55.0,26.0,24.0,18.0,14.0,19.0,70.0,22.0,87.0,11.0,28.0,44.0,8.0,165.0,53.0,43.0,67.0,3.0,40.0
3446,1.0,0.0,6.0,5.0,9.0,13.0,28.0,20.0,21.0,7.0,10.0,47.0,32.0,27.0,14.0,8.0,16.0,2.0,24.0,22.0,30.0,12.0,23.0,39.0,81.0,25.0,4.0,44.0,70.0,11.0
3495,2.0,0.0,3.0,4.0,14.0,6.0,17.0,37.0,16.0,22.0,26.0,29.0,25.0,31.0,13.0,12.0,120.0,20.0,143.0,7.0,35.0,10.0,1.0,46.0,98.0,28.0,5.0,42.0,51.0,23.0
3544,0.0,5.0,1.0,3.0,11.0,47.0,14.0,7.0,42.0,18.0,17.0,83.0,35.0,32.0,8.0,15.0,92.0,9.0,40.0,6.0,4.0,2.0,22.0,65.0,139.0,34.0,12.0,41.0,72.0,23.0
3593,0.0,1.0,2.0,3.0,4.0,9.0,12.0,26.0,31.0,6.0,8.0,67.0,46.0,13.0,27.0,11.0,72.0,7.0,70.0,28.0,21.0,17.0,5.0,38.0,116.0,30.0,29.0,33.0,53.0,10.0
3642,0.0,1.0,8.0,2.0,4.0,15.0,20.0,212.0,22.0,7.0,6.0,46.0,17.0,21.0,12.0,14.0,100.0,3.0,40.0,37.0,26.0,27.0,57.0,42.0,95.0,9.0,5.0,60.0,11.0,25.0
3691,0.0,1.0,5.0,6.0,4.0,2.0,8.0,38.0,18.0,3.0,22.0,28.0,71.0,21.0,12.0,25.0,52.0,7.0,82.0,35.0,16.0,19.0,10.0,60.0,75.0,26.0,13.0,63.0,39.0,14.0
3740,0.0,2.0,3.0,5.0,1.0,7.0,8.0,27.0,12.0,35.0,13.0,42.0,62.0,15.0,31.0,38.0,48.0,4.0,45.0,11.0,6.0,16.0,40.0,70.0,110.0,17.0,18.0,99.0,32.0,9.0
3789,0.0,1.0,5.0,3.0,2.0,11.0,4.0,67.0,57.0,14.0,23.0,27.0,25.0,24.0,19.0,18.0,73.0,8.0,74.0,10.0,9.0,12.0,29.0,99.0,91.0,20.0,22.0,13.0,66.0,6.0
3838,0.0,3.0,4.0,7.0,1.0,8.0,35.0,32.0,10.0,5.0,33.0,60.0,59.0,24.0,40.0,16.0,50.0,15.0,86.0,39.0,9.0,14.0,2.0,30.0,176.0,20.0,29.0,93.0,23.0,6.0
3887,0.0,1.0,2.0,5.0,3.0,6.0,14.0,40.0,21.0,7.0,39.0,72.0,24.0,34.0,38.0,12.0,80.0,4.0,30.0,33.0,8.0,18.0,10.0,94.0,35.0,9.0,13.0,49.0,66.0,77.0
3936,0.0,3.0,10.0,4.0,1.0,2.0,17.0,12.0,13.0,8.0,14.0,11.0,7.0,56.0,9.0,27.0,28.0,23.0,45.0,39.0,5.0,36.0,92.0,16.0,18.0,31.0,65.0,6.0,26.0,22.0
3985,0.0,1.0,2.0,10.0,4.0,9.0,13.0,3.0,20.0,22.0,19.0,25.0,6.0,24.0,31.0,5.0,32.0,11.0,44.0,39.0,52.0,159.0,223.0,35.0,16.0,15.0,27.0,30.0,17.0,74.0
4034,0.0,1.0,10.0,3.0,5.0,7.0,8.0,15.0,11.0,28.0,13.0,24.0,79.0,34.0,9.0,18.0,29.0,32.0,20.0,12.0,4.0,48.0,33.0,44.0,26.0,40.0,2.0,6.0,41.0,62.0
4083,0.0,3.0,8.0,36.0,2.0,6.0,30.0,1.0,4.0,26.0,9.0,5.0,47.0,19.0,12.0,35.0,14.0,42.0,16.0,10.0,23.0,81.0,60.0,40.0,21.0,50.0,18.0,11.0,55.0,15.0
4132,0.0,4.0,1.0,5.0,2.0,6.0,22.0,16.0,11.0,9.0,8.0,10.0,38.0,42.0,13.0,36.0,3.0,59.0,60.0,54.0,18.0,64.0,257.0,47.0,49.0,71.0,25.0,14.0,70.0,35.0
4181,0.0,1.0,13.0,7.0,2.0,21.0,20.0,24.0,3.0,16.0,10.0,11.0,46.0,60.0,19.0,35.0,26.0,8.0,42.0,5.0,17.0,48.0,36.0,34.0,30.0,14.0,66.0,9.0,54.0,31.0
4230,0.0,1.0,40.0,7.0,11.0,5.0,23.0,3.0,2.0,4.0,19.0,25.0,31.0,13.0,29.0,9.0,10.0,62.0,94.0,28.0,33.0,45.0,32.0,12.0,6.0,71.0,16.0,22.0,35.0,91.0
4279,0.0,3.0,26.0,1.0,8.0,10.0,11.0,2.0,4.0,6.0,5.0,23.0,29.0,68.0,19.0,44.0,14.0,28.0,18.0,35.0,7.0,20.0,151.0,60.0,43.0,39.0,49.0,31.0,51.0,37.0
4328,0.0,2.0,12.0,3.0,1.0,7.0,21.0,4.0,5.0,16.0,6.0,31.0,50.0,20.0,11.0,29.0,9.0,97.0,14.0,15.0,27.0,38.0,55.0,17.0,22.0,28.0,46.0,24.0,25.0,60.0
4377,0.0,2.0,1.0,5.0,9.0,8.0,52.0,19.0,23.0,16.0,7.0,13.0,25.0,33.0,17.0,50.0,58.0,54.0,3.0,12.0,18.0,77.0,36.0,6.0,4.0,15.0,78.0,20.0,37.0,79.0
4426,2.0,0.0,40.0,1.0,12.0,4.0,10.0,28.0,85.0,24.0,73.0,5.0,7.0,8.0,23.0,36.0,167.0,6.0,25.0,16.0,35.0,44.0,21.0,13.0,3.0,18.0,71.0,22.0,60.0,98.0
4475,1.0,0.0,39.0,5.0,22.0,6.0,4.0,11.0,30.0,167.0,65.0,12.0,32.0,75.0,78.0,23.0,13.0,41.0,97.0,43.0,59.0,7.0,46.0,58.0,3.0,27.0,8.0,14.0,68.0,64.0
4524,5.0,0.0,10.0,1.0,11.0,3.0,4.0,72.0,40.0,54.0,59.0,7.0,18.0,12.0,73.0,29.0,39.0,8.0,9.0,16.0,6.0,14.0,34.0,44.0,13.0,32.0,31.0,37.0,80.0,19.0
4573,2.0,0.0,17.0,1.0,5.0,11.0,7.0,12.0,51.0,55.0,24.0,4.0,33.0,6.0,20.0,58.0,64.0,15.0,13.0,27.0,108.0,18.0,9.0,75.0,16.0,30.0,37.0,52.0,94.0,10.0
4622,3.0,0.0,25.0,1.0,7.0,22.0,2.0,28.0,31.0,134.0,99.0,10.0,13.0,11.0,29.0,63.0,81.0,16.0,46.0,88.0,41.0,8.0,6.0,26.0,4.0,27.0,54.0,40.0,56.0,19.0
4671,2.0,0.0,101.0,1.0,24.0,3.0,4.0,22.0,30.0,40.0,60.0,6.0,9.0,16.0,82.0,29.0,38.0,10.0,59.0,20.0,75.0,120.0,13.0,23.0,8.0,37.0,21.0,12.0,52.0,83.0
4720,2.0,0.0,22.0,1.0,11.0,9.0,5.0,38.0,52.0,18.0,15.0,13.0,14.0,16.0,72.0,19.0,62.0,4.0,33.0,3.0,24.0,27.0,21.0,43.0,6.0,69.0,34.0,23.0,107.0,124.0
4769,3.0,0.0,51.0,1.0,9.0,4.0,2.0,8.0,50.0,89.0,33.0,13.0,5.0,38.0,12.0,11.0,52.0,10.0,19.0,7.0,55.0,20.0,16.0,29.0,6.0,48.0,28.0,36.0,84.0,45.0
4818,3.0,0.0,4.0,1.0,2.0,9.0,6.0,12.0,16.0,48.0,29.0,20.0,5.0,22.0,85.0,17.0,142.0,8.0,26.0,10.0,35.0,11.0,25.0,83.0,18.0,21.0,24.0,62.0,100.0,95.0
4867,2.0,0.0,76.0,1.0,18.0,4.0,3.0,182.0,9.0,43.0,6.0,5.0,13.0,17.0,32.0,25.0,33.0,10.0,21.0,19.0,88.0,101.0,39.0,65.0,14.0,16.0,30.0,63.0,22.0,90.0
