, H2O2, JAK-STAT, PI3K_only, VEGF, IL-1, MAPK_PI3K, TLR, Wnt, MAPK_only, TGFB, TNFa
3324,2.0,0.0,3.0,4.0,5.0,6.0,8.0,1.0,9.0,10.0,7.0
3373,6.0,4.0,9.0,3.0,8.0,7.0,2.0,0.0,1.0,10.0,5.0
3422,0.0,1.0,4.0,6.0,9.0,2.0,3.0,7.0,10.0,8.0,5.0
3471,0.0,1.0,2.0,6.0,8.0,3.0,4.0,9.0,7.0,5.0,10.0
3520,0.0,1.0,5.0,2.0,10.0,8.0,4.0,7.0,3.0,6.0,9.0
3569,1.0,0.0,2.0,8.0,3.0,4.0,5.0,6.0,9.0,7.0,10.0
3618,2.0,6.0,8.0,3.0,5.0,7.0,0.0,4.0,10.0,1.0,9.0
3667,1.0,0.0,4.0,5.0,9.0,3.0,10.0,8.0,6.0,2.0,7.0
3716,2.0,3.0,5.0,0.0,8.0,9.0,10.0,7.0,1.0,4.0,6.0
3765,1.0,2.0,7.0,0.0,6.0,3.0,9.0,5.0,10.0,4.0,8.0
3814,0.0,3.0,5.0,6.0,7.0,4.0,9.0,2.0,8.0,1.0,10.0
3863,0.0,1.0,9.0,2.0,5.0,8.0,6.0,3.0,10.0,4.0,7.0
3912,0.0,4.0,7.0,2.0,3.0,1.0,6.0,9.0,5.0,8.0,10.0
3961,6.0,4.0,5.0,2.0,3.0,7.0,9.0,8.0,1.0,10.0,0.0
4010,0.0,1.0,2.0,8.0,9.0,7.0,5.0,10.0,6.0,3.0,4.0
4059,1.0,0.0,7.0,8.0,4.0,6.0,2.0,9.0,5.0,10.0,3.0
4108,3.0,0.0,9.0,1.0,8.0,10.0,7.0,2.0,6.0,4.0,5.0
4157,5.0,3.0,8.0,4.0,6.0,7.0,0.0,2.0,9.0,1.0,10.0
4206,0.0,1.0,5.0,3.0,6.0,9.0,2.0,7.0,4.0,8.0,10.0
4255,4.0,5.0,7.0,8.0,1.0,6.0,2.0,9.0,10.0,0.0,3.0
4304,0.0,2.0,3.0,10.0,1.0,8.0,9.0,6.0,7.0,4.0,5.0
4353,1.0,0.0,4.0,9.0,3.0,5.0,7.0,2.0,10.0,8.0,6.0
4402,2.0,0.0,7.0,6.0,3.0,8.0,9.0,1.0,4.0,5.0,10.0
4451,3.0,0.0,4.0,2.0,7.0,8.0,10.0,6.0,9.0,1.0,5.0
4500,5.0,0.0,7.0,3.0,10.0,8.0,6.0,4.0,9.0,2.0,1.0
4549,5.0,6.0,9.0,7.0,1.0,8.0,2.0,4.0,10.0,0.0,3.0
4598,1.0,2.0,4.0,0.0,10.0,6.0,7.0,5.0,8.0,9.0,3.0
4647,3.0,0.0,7.0,9.0,10.0,4.0,5.0,6.0,8.0,1.0,2.0
4696,1.0,3.0,4.0,2.0,10.0,7.0,8.0,5.0,6.0,9.0,0.0
4745,1.0,7.0,6.0,0.0,10.0,4.0,5.0,8.0,9.0,2.0,3.0
4794,5.0,0.0,1.0,9.0,6.0,8.0,7.0,4.0,10.0,2.0,3.0
4843,1.0,4.0,5.0,0.0,6.0,8.0,2.0,3.0,7.0,9.0,10.0
4892,0.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0,1.0,2.0
