,HNRNPA1,ANP32B,DUT,ARHGAP11B,DNAJB2,MMS22L,DAZAP1,MMP24,ANP32A,HNRNPK,GNB3,MCM7,ITGB5,ODF2,BCL2L1,GPRC5B,ATP5D,RP11-177C12.1,C1orf122,NOB1,CTDSPL2,SUCO,TTF2,TFAP4,FAM98B,SSRP1,GART,EIF3L,LRRC8C,SMIM8
2310,46.0,2.0,8.0,3222.0,13176.0,13.0,45.0,29.0,27.0,1.0,0.0,74.0,124.0,19366.0,86.0,2758.0,32.0,13492.0,50.0,20.0,94.0,3.0,15415.0,762.0,3167.0,4.0,9128.0,568.0,14876.0,23320.0
2359,2.0,3.0,1.0,2885.0,23.0,30.0,69.0,6649.0,15.0,61.0,4.0,60.0,14447.0,20317.0,39.0,2838.0,24.0,11.0,73.0,247.0,2954.0,18.0,146.0,2273.0,279.0,9.0,33.0,9067.0,14883.0,23330.0
2408,9.0,27.0,3.0,1820.0,43.0,31.0,90.0,394.0,80.0,5.0,2.0,86.0,100.0,134.0,7982.0,3787.0,48.0,14576.0,1.0,1249.0,1660.0,59.0,16114.0,3742.0,1810.0,60.0,4.0,9014.0,11.0,44.0
2457,0.0,3.0,4.0,17.0,13191.0,15.0,59.0,6639.0,81.0,65.0,35.0,7.0,5.0,19843.0,28.0,2735.0,1.0,839.0,15998.0,50.0,75.0,17067.0,15424.0,8.0,2864.0,144.0,1041.0,9049.0,707.0,23322.0
2506,2.0,0.0,1.0,7.0,13202.0,25.0,11802.0,110.0,3263.0,105.0,8.0,30.0,4.0,20318.0,6703.0,2832.0,17.0,244.0,15989.0,5.0,10.0,357.0,15435.0,109.0,2877.0,3803.0,6725.0,9073.0,1080.0,23327.0
2555,6021.0,0.0,87.0,3.0,13208.0,8.0,11803.0,6641.0,3236.0,103.0,5816.0,39.0,1.0,56.0,6668.0,2803.0,2.0,886.0,16024.0,9952.0,49.0,398.0,15555.0,2282.0,2855.0,3781.0,6720.0,9066.0,85.0,22.0
2604,16.0,3.0,2.0,0.0,73.0,17.0,11796.0,6659.0,3161.0,113.0,35.0,44.0,1.0,46.0,6663.0,160.0,11763.0,13737.0,448.0,1194.0,8.0,33.0,15441.0,2436.0,471.0,2427.0,6774.0,893.0,14941.0,59.0
2653,12.0,3.0,8.0,2.0,13216.0,21.0,11788.0,74.0,3265.0,20431.0,35.0,84.0,1.0,20317.0,60.0,14.0,344.0,13512.0,15986.0,0.0,1041.0,18.0,15434.0,2741.0,2890.0,3781.0,6715.0,9068.0,5.0,23318.0
2702,2.0,0.0,1.0,37.0,13166.0,18.0,9.0,467.0,3192.0,20455.0,65.0,105.0,54.0,19362.0,33.0,149.0,11298.0,13608.0,714.0,9953.0,283.0,10.0,15535.0,2718.0,2144.0,71.0,6708.0,9051.0,182.0,23332.0
2751,11.0,1.0,22.0,4.0,89.0,50.0,67.0,155.0,3460.0,76.0,5948.0,18703.0,25.0,20329.0,49.0,2728.0,1048.0,13731.0,59.0,20.0,258.0,10.0,15432.0,2244.0,2906.0,3737.0,6779.0,9067.0,14888.0,23380.0
2800,10.0,42.0,6.0,4.0,78.0,23331.0,83.0,11.0,3233.0,55.0,3776.0,18730.0,21.0,20316.0,28.0,3009.0,35.0,13751.0,88.0,9952.0,34.0,53.0,15489.0,99.0,1560.0,3828.0,229.0,9061.0,14883.0,23388.0
2849,0.0,5.0,43.0,1.0,13182.0,23308.0,11767.0,6624.0,3460.0,18.0,60.0,18723.0,4.0,98.0,74.0,425.0,839.0,13741.0,12.0,10154.0,225.0,17083.0,13.0,64.0,431.0,37.0,6705.0,9049.0,296.0,75.0
2898,0.0,1.0,3652.0,13.0,13215.0,23098.0,108.0,15.0,2818.0,18.0,20.0,49.0,14333.0,19664.0,8757.0,67.0,24.0,226.0,16016.0,1230.0,124.0,224.0,15552.0,38.0,493.0,39.0,72.0,3.0,14871.0,23312.0
2947,7.0,34.0,117.0,29.0,13208.0,23315.0,843.0,76.0,20.0,0.0,75.0,18709.0,1029.0,21.0,1.0,2995.0,11773.0,13755.0,3.0,2.0,3270.0,17050.0,15448.0,39.0,1518.0,8.0,30.0,9069.0,202.0,23394.0
2996,0.0,56.0,131.0,13.0,1.0,23220.0,11807.0,37.0,30.0,2.0,19.0,18727.0,45.0,22.0,5.0,2828.0,142.0,212.0,76.0,33.0,3179.0,80.0,93.0,28.0,2873.0,17.0,6793.0,53.0,14887.0,23321.0
3045,5.0,3.0,39.0,13.0,105.0,23335.0,11792.0,6418.0,28.0,1.0,4263.0,18723.0,93.0,20.0,2.0,2950.0,816.0,13758.0,18.0,6.0,3381.0,59.0,15440.0,37.0,1576.0,8.0,0.0,16.0,471.0,23327.0
3094,6024.0,20543.0,27.0,4.0,5.0,114.0,11769.0,14.0,18.0,0.0,5818.0,18696.0,72.0,3.0,6664.0,119.0,179.0,13623.0,16015.0,92.0,73.0,17078.0,56.0,63.0,11.0,571.0,2.0,9062.0,9.0,23326.0
3143,91.0,547.0,0.0,16.0,68.0,94.0,1033.0,12.0,2822.0,47.0,5699.0,18719.0,87.0,9.0,6686.0,542.0,11792.0,13496.0,15999.0,83.0,2532.0,17020.0,4.0,45.0,151.0,3762.0,1.0,9088.0,10.0,23329.0
3192,109.0,20550.0,0.0,13.0,1.0,23315.0,272.0,6526.0,3341.0,3.0,263.0,18708.0,53.0,106.0,6696.0,2798.0,7.0,13755.0,15991.0,71.0,2924.0,525.0,61.0,28.0,2845.0,3770.0,2.0,9095.0,14940.0,23394.0
3241,6037.0,20549.0,16.0,25.0,5.0,23351.0,11798.0,396.0,3248.0,0.0,5940.0,18697.0,91.0,26.0,6697.0,2812.0,13.0,52.0,15996.0,104.0,66.0,318.0,45.0,2259.0,264.0,3752.0,2.0,9103.0,10.0,23377.0
3290,6010.0,20509.0,9.0,2893.0,0.0,49.0,11782.0,47.0,68.0,84.0,99.0,18719.0,860.0,80.0,6688.0,2835.0,43.0,88.0,36.0,58.0,89.0,352.0,15434.0,16.0,2847.0,373.0,51.0,9052.0,14940.0,23322.0
3339,6.0,20544.0,9.0,1165.0,1.0,59.0,774.0,669.0,3239.0,126.0,3912.0,18706.0,47.0,20321.0,6706.0,3019.0,33.0,25.0,189.0,117.0,99.0,215.0,15449.0,17.0,1524.0,4868.0,64.0,9067.0,12.0,23389.0
3388,237.0,20534.0,12.0,836.0,13192.0,23335.0,11766.0,6615.0,50.0,20426.0,5927.0,18697.0,95.0,20313.0,6675.0,2457.0,14.0,38.0,552.0,9953.0,112.0,474.0,15425.0,0.0,194.0,132.0,6776.0,19.0,3.0,500.0
3437,9.0,0.0,6.0,23.0,13184.0,31.0,11789.0,82.0,3268.0,3.0,7.0,78.0,14451.0,15.0,6679.0,2840.0,499.0,102.0,83.0,9972.0,3144.0,115.0,368.0,192.0,34.0,30.0,55.0,512.0,209.0,54.0
