,SLC25A37_AMP,MRGPRX1_DEL,CES1_AMP,GSTTP1_AMP,CES1P1_DEL,HLA-DRB1_AMP,UGT2B17_DEL,KCNG2_DEL,ZNF705G_AMP,FAM21A_DEL,HLA-DRB6_AMP,GOLGA6L10_AMP,LOC390660_AMP,DUSP22_DEL,MST1P9_AMP,ADAM5_DEL,CADM2_DEL,RBFOX1_DEL,KIAA1217_DEL,CACNB2_DEL,C18orf61_DEL,ADAM3A_DEL,DOCK8_DEL,HLA-H_DEL,PCDHA10_DEL,BCAS1_AMP,ZDHHC14_AMP,LRRC37A_AMP,MRC1_AMP,LOC100506776_DEL
521,2.0,1.0,0.0,30.0,10.0,6.0,4.0,15.0,26.0,88.0,25.0,22.0,21.0,23.0,3.0,185.0,13.0,11.0,60.0,35.0,85.0,186.0,33.0,73.0,32.0,114.0,187.0,34.0,7.0,220.0
570,2.0,4.0,3.0,26.0,34.0,1.0,20.0,12.0,11.0,41.0,0.0,19.0,18.0,10.0,21.0,35.0,7.0,6.0,5.0,50.0,44.0,51.0,16.0,74.0,82.0,29.0,47.0,43.0,9.0,42.0
619,1.0,4.0,0.0,8.0,14.0,2.0,11.0,29.0,9.0,15.0,5.0,22.0,23.0,3.0,13.0,42.0,10.0,7.0,21.0,63.0,43.0,58.0,50.0,18.0,44.0,41.0,39.0,35.0,37.0,32.0
668,2.0,0.0,17.0,10.0,16.0,5.0,1.0,15.0,24.0,49.0,28.0,97.0,98.0,4.0,41.0,19.0,48.0,12.0,7.0,13.0,120.0,34.0,166.0,148.0,78.0,47.0,65.0,60.0,3.0,8.0
717,0.0,1.0,3.0,22.0,5.0,10.0,6.0,7.0,8.0,276.0,32.0,15.0,16.0,34.0,49.0,50.0,24.0,4.0,769.0,55.0,27.0,84.0,14.0,73.0,53.0,28.0,56.0,178.0,45.0,33.0
766,2.0,3.0,0.0,30.0,7.0,1.0,9.0,20.0,17.0,21.0,8.0,27.0,28.0,15.0,13.0,69.0,25.0,10.0,40.0,56.0,53.0,111.0,45.0,94.0,98.0,14.0,43.0,29.0,44.0,12.0
815,1.0,0.0,2.0,13.0,36.0,4.0,42.0,15.0,30.0,19.0,10.0,21.0,20.0,6.0,5.0,25.0,7.0,26.0,3.0,17.0,86.0,33.0,18.0,324.0,23.0,55.0,69.0,262.0,14.0,32.0
864,1.0,4.0,0.0,3.0,131.0,8.0,2.0,21.0,15.0,5.0,60.0,10.0,11.0,7.0,16.0,105.0,17.0,6.0,45.0,66.0,56.0,259.0,14.0,68.0,90.0,40.0,34.0,121.0,43.0,9.0
913,0.0,1.0,10.0,6.0,8.0,4.0,11.0,18.0,13.0,23.0,15.0,25.0,24.0,2.0,75.0,30.0,12.0,9.0,29.0,42.0,17.0,45.0,67.0,86.0,69.0,131.0,21.0,90.0,3.0,31.0
962,1.0,3.0,0.0,11.0,6.0,8.0,4.0,12.0,137.0,78.0,36.0,68.0,69.0,2.0,58.0,38.0,14.0,5.0,18.0,39.0,32.0,81.0,25.0,35.0,70.0,29.0,83.0,94.0,22.0,31.0
1011,11.0,9.0,0.0,2.0,3.0,7.0,48.0,33.0,1.0,26.0,5.0,12.0,13.0,15.0,67.0,4.0,65.0,16.0,11884.0,46.0,60.0,6.0,40.0,152.0,34.0,29.0,74.0,10.0,43.0,305.0
1060,2.0,3.0,1.0,9.0,0.0,12.0,93.0,15.0,19.0,10.0,11.0,14.0,13.0,23.0,5.0,4.0,8.0,128.0,53.0,16.0,83.0,6.0,162.0,1387.0,20.0,22.0,96.0,17.0,67.0,894.0
1109,6.0,17.0,1.0,8.0,0.0,91.0,22.0,16.0,26.0,2.0,98.0,20.0,21.0,24.0,3.0,5.0,40.0,39.0,23.0,46.0,25.0,4.0,81.0,399.0,34.0,19.0,56.0,109.0,12.0,180.0
1158,8.0,10.0,3.0,9.0,0.0,5.0,75.0,12.0,15.0,6.0,4.0,14.0,13.0,7.0,19.0,1.0,18.0,20.0,921.0,21.0,22.0,2.0,11.0,108.0,59.0,23.0,89.0,45.0,66.0,1136.0
1207,1.0,60.0,5.0,3.0,0.0,40.0,79.0,2.0,4.0,9.0,17.0,15.0,14.0,8.0,6.0,13.0,12.0,20.0,679.0,7.0,53.0,38.0,49.0,90.0,75.0,23.0,41.0,39.0,11.0,18.0
1256,10.0,21.0,3.0,13.0,0.0,11.0,16.0,8.0,15.0,17.0,5.0,38.0,39.0,72.0,7.0,1.0,4.0,25.0,44.0,24.0,26.0,2.0,69.0,977.0,32.0,41.0,36.0,22.0,6.0,154.0
1305,3.0,7.0,1.0,5.0,0.0,8.0,740.0,2.0,13.0,12.0,4.0,10.0,9.0,6.0,40.0,14.0,48.0,17.0,286.0,16.0,21.0,18.0,27.0,809.0,19.0,29.0,39.0,991.0,25.0,393.0
1354,11.0,10.0,5.0,4.0,2.0,1044.0,96.0,7.0,3.0,9.0,833.0,39.0,38.0,6.0,42.0,0.0,63.0,156.0,26.0,14.0,22.0,1.0,31.0,1467.0,36.0,34.0,191.0,28.0,18.0,351.0
1403,31.0,5.0,1.0,12.0,0.0,10.0,95.0,6.0,2.0,7.0,15.0,28.0,27.0,8.0,20.0,4.0,19.0,13.0,2458.0,25.0,40.0,9.0,37.0,117.0,34.0,23.0,80.0,16.0,38.0,18.0
1452,5.0,42.0,1.0,8.0,0.0,2.0,7.0,23.0,4.0,16.0,3.0,12.0,13.0,11.0,30.0,6.0,72.0,55.0,28.0,14.0,20.0,9.0,10.0,1133.0,56.0,18.0,35.0,91.0,21.0,1010.0
1501,3.0,4.0,7.0,2.0,9.0,0.0,1.0,13.0,8.0,5.0,6.0,24.0,25.0,55.0,44.0,14.0,28.0,41.0,249.0,35.0,43.0,30.0,54.0,199.0,12.0,42.0,95.0,86.0,10.0,52.0
1550,23.0,3.0,4.0,1.0,8.0,15.0,5.0,10.0,6.0,9.0,26.0,11.0,12.0,18.0,49.0,0.0,14.0,17.0,91.0,47.0,27.0,2.0,13.0,25.0,21.0,80.0,207.0,62.0,341.0,19.0
1599,19.0,6.0,0.0,7.0,3.0,1.0,2.0,12.0,4.0,16.0,5.0,9.0,10.0,133.0,36.0,14.0,66.0,34.0,11543.0,22.0,27.0,26.0,45.0,11.0,29.0,50.0,366.0,32.0,44.0,21.0
1648,0.0,1.0,2.0,9.0,4.0,6.0,3.0,26.0,5.0,14.0,16.0,7.0,8.0,41.0,31.0,11.0,52.0,80.0,28.0,29.0,15.0,10.0,42.0,40.0,71.0,37.0,116.0,24.0,171.0,18.0
1697,43.0,0.0,2.0,1.0,8.0,5.0,6.0,16.0,4.0,39.0,9.0,11.0,10.0,175.0,521.0,14.0,873.0,7.0,782.0,13.0,12.0,34.0,38.0,568.0,15.0,612.0,73.0,83.0,33.0,49.0
1746,8.0,0.0,2.0,4.0,3.0,1.0,19.0,37.0,9.0,52.0,5.0,6.0,7.0,115.0,50.0,10.0,196.0,11.0,34.0,15.0,43.0,17.0,82.0,42.0,20.0,153.0,60.0,44.0,57.0,53.0
1795,6.0,5.0,0.0,2.0,3.0,1.0,7.0,17.0,8.0,11.0,9.0,13.0,14.0,347.0,39.0,4.0,18.0,20.0,172.0,27.0,30.0,10.0,86.0,37.0,34.0,28.0,103.0,22.0,12.0,29.0
1844,22.0,3.0,0.0,6.0,4.0,2.0,1.0,23.0,5.0,10.0,7.0,8.0,9.0,349.0,155.0,11.0,25.0,35.0,487.0,45.0,36.0,21.0,34.0,58.0,12.0,67.0,98.0,28.0,50.0,59.0
1893,35.0,2.0,0.0,1.0,21.0,3.0,12.0,8.0,4.0,15.0,14.0,10.0,9.0,559.0,61.0,5.0,48.0,57.0,139.0,25.0,6.0,13.0,46.0,17.0,51.0,39.0,1064.0,20.0,24.0,372.0
1942,10.0,6.0,2.0,0.0,1.0,7.0,3.0,47.0,11.0,9.0,28.0,17.0,16.0,255.0,40.0,4.0,162.0,30.0,57.0,62.0,25.0,8.0,21.0,13.0,29.0,44.0,181.0,372.0,42.0,72.0
1991,4.0,3.0,0.0,6.0,21.0,2.0,28.0,7.0,196.0,10.0,5.0,17.0,18.0,9.0,1.0,128.0,23.0,25.0,16.0,22.0,42.0,129.0,45.0,13.0,116.0,14.0,37.0,24.0,33.0,241.0
2040,0.0,6.0,5.0,7.0,4.0,1.0,11.0,32.0,54.0,13.0,3.0,20.0,21.0,2.0,8.0,12.0,131.0,9.0,16.0,14.0,15.0,19.0,91.0,322.0,40.0,50.0,34.0,47.0,189.0,143.0
2089,0.0,1.0,25.0,7.0,3.0,4.0,16.0,9.0,32.0,2.0,21.0,14.0,15.0,6.0,5.0,40.0,23.0,24.0,99.0,10.0,47.0,70.0,41.0,19.0,39.0,8.0,108.0,33.0,256.0,416.0
2138,2.0,9.0,11.0,8.0,1.0,0.0,7.0,13.0,70.0,3.0,4.0,65.0,66.0,288.0,6.0,22.0,100.0,15.0,18.0,40.0,39.0,47.0,179.0,16.0,71.0,20.0,74.0,75.0,55.0,49.0
2187,0.0,4.0,7.0,9.0,5.0,3.0,15.0,16.0,41.0,1.0,2.0,11.0,10.0,32.0,8.0,81.0,25.0,28.0,6.0,24.0,46.0,133.0,42.0,125.0,40.0,13.0,31.0,33.0,258.0,79.0
2236,1.0,5.0,2.0,12.0,30.0,3.0,1276.0,48.0,34.0,16.0,10.0,25.0,26.0,33.0,27.0,7.0,96.0,6.0,56.0,15.0,50.0,13.0,102.0,0.0,69.0,21.0,28.0,18.0,950.0,4.0
2285,0.0,3.0,10.0,4.0,82.0,5.0,53.0,11.0,27.0,1.0,17.0,15.0,16.0,30.0,2.0,13.0,79.0,21.0,8.0,23.0,26.0,22.0,25.0,18.0,162.0,14.0,32.0,19.0,14171.0,46.0
2334,4.0,5.0,8.0,3.0,2.0,0.0,6.0,7.0,326.0,11.0,1.0,23.0,22.0,14.0,16.0,29.0,41.0,9.0,75.0,13.0,117.0,51.0,38.0,66.0,70.0,10.0,24.0,113.0,318.0,144.0
2383,2.0,4.0,5.0,6.0,7.0,1.0,689.0,16.0,43.0,9.0,0.0,13.0,14.0,56.0,3.0,8.0,36.0,25.0,59.0,41.0,38.0,11.0,65.0,40.0,22.0,15.0,42.0,102.0,259.0,23.0
2432,1.0,5.0,12.0,0.0,22.0,2.0,18.0,15.0,24.0,8.0,9.0,14.0,13.0,3.0,4.0,90.0,49.0,11.0,16.0,21.0,28.0,171.0,23.0,62.0,30.0,42.0,25.0,515.0,405.0,36.0
2481,0.0,2.0,13.0,3.0,14.0,11.0,4.0,9.0,45.0,20.0,8.0,30.0,29.0,22.0,71.0,10.0,16.0,33.0,15.0,32.0,47.0,18.0,37.0,5.0,39.0,44.0,77.0,161.0,81.0,43.0
2530,9.0,3.0,15.0,1.0,10.0,30.0,0.0,22.0,367.0,8.0,13.0,33.0,32.0,167.0,2.0,24.0,14.0,27.0,44.0,128.0,34.0,42.0,16.0,4.0,38.0,21.0,20.0,28.0,197.0,29.0
2579,6.0,2.0,3.0,5.0,4.0,20.0,0.0,19.0,12.0,9.0,16.0,62.0,63.0,69.0,7.0,48.0,15.0,8.0,60.0,46.0,29.0,89.0,25.0,11.0,23.0,57.0,59.0,14.0,21.0,118.0
2628,1.0,0.0,2.0,8.0,17.0,10.0,3.0,4.0,181.0,18.0,7.0,54.0,55.0,109.0,104.0,5.0,38.0,84.0,23.0,42.0,24.0,14.0,11.0,6.0,30.0,31.0,15.0,28.0,185.0,12.0
2677,1.0,5.0,2.0,6.0,20.0,105.0,25.0,10.0,92.0,0.0,64.0,38.0,39.0,60.0,8.0,21.0,7.0,35.0,68.0,36.0,28.0,31.0,73.0,4.0,26.0,27.0,32.0,75.0,135.0,18.0
2726,1.0,5.0,37.0,4.0,2.0,46.0,0.0,3.0,152.0,7.0,22.0,44.0,45.0,99.0,49.0,19.0,23.0,21.0,33.0,29.0,62.0,42.0,18.0,15.0,40.0,58.0,36.0,66.0,20.0,25.0
2775,1.0,11.0,5.0,7.0,14.0,58.0,0.0,8.0,61.0,9.0,112.0,30.0,29.0,133.0,2.0,31.0,33.0,44.0,22.0,45.0,24.0,67.0,53.0,6.0,35.0,63.0,135.0,57.0,59.0,65.0
2824,2.0,0.0,12.0,5.0,7.0,62.0,3.0,20.0,400.0,1.0,38.0,25.0,24.0,28.0,11.0,32.0,26.0,265.0,19.0,41.0,91.0,44.0,89.0,13.0,34.0,40.0,57.0,42.0,31.0,22.0
2873,1.0,3.0,14.0,12.0,2.0,95.0,9.0,8.0,48.0,7.0,72.0,170.0,169.0,96.0,17.0,5.0,26.0,218.0,22.0,41.0,24.0,4.0,102.0,0.0,20.0,16.0,59.0,21.0,13.0,6.0
2922,3.0,5.0,8.0,13.0,14.0,243.0,6.0,0.0,69.0,36.0,122.0,20.0,19.0,10.0,11.0,1.0,12.0,51.0,38.0,23.0,29.0,4.0,30.0,15.0,32.0,62.0,26.0,142.0,41.0,59.0
2971,1.0,2.0,6.0,4.0,28.0,5.0,0.0,3.0,9.0,8.0,18.0,17.0,16.0,193.0,27.0,5956.0,14.0,41.0,36.0,26.0,25.0,6365.0,22.0,11.0,63.0,15.0,44.0,177.0,60.0,73.0
3020,0.0,3.0,16.0,1.0,81.0,2.0,4.0,6.0,8.0,9.0,5.0,10.0,11.0,17.0,23.0,93.0,14.0,20.0,36.0,24.0,33.0,187.0,19.0,90.0,76.0,83.0,38.0,419.0,168.0,54.0
3069,0.0,1.0,8.0,7.0,35.0,4.0,3.0,9.0,32.0,6.0,2.0,17.0,18.0,84.0,33.0,40.0,10.0,23.0,11.0,54.0,70.0,59.0,42.0,5.0,49.0,36.0,27.0,31.0,250.0,566.0
3118,1.0,8.0,22.0,2.0,34.0,14.0,0.0,4.0,9.0,3.0,15.0,12.0,13.0,50.0,19.0,190.0,27.0,51.0,11.0,58.0,73.0,452.0,98.0,59.0,64.0,39.0,282.0,141.0,49.0,40.0
3167,0.0,4.0,6.0,8.0,256.0,1.0,11.0,10.0,15.0,17.0,2.0,30.0,31.0,5.0,26.0,19.0,69.0,115.0,7.0,32.0,192.0,28.0,39.0,190.0,61.0,94.0,33.0,9.0,68.0,926.0
3216,0.0,3.0,25.0,4.0,23.0,2.0,1.0,7.0,5.0,18.0,6.0,15.0,14.0,26.0,32.0,34.0,17.0,132.0,11.0,27.0,63.0,47.0,16.0,28.0,108.0,75.0,33.0,193.0,36.0,240.0
3265,0.0,3.0,8.0,6.0,33.0,1.0,2.0,18.0,5.0,37.0,4.0,13.0,12.0,11.0,10.0,351.0,17.0,34.0,46.0,26.0,44.0,352.0,41.0,38.0,245.0,56.0,43.0,14.0,39.0,32.0
3314,0.0,2.0,8.0,4.0,638.0,1.0,9.0,3.0,5.0,6.0,12.0,10.0,11.0,61.0,29.0,85.0,18.0,20.0,17.0,14.0,131.0,144.0,56.0,34.0,139.0,52.0,31.0,19.0,64.0,16.0
3363,0.0,5.0,13.0,1.0,41.0,6.0,2.0,3.0,7.0,18.0,12.0,10.0,9.0,4.0,49.0,53.0,28.0,161.0,17.0,63.0,33.0,114.0,21.0,32.0,92.0,16.0,19.0,58.0,51.0,126.0
3412,0.0,2.0,8.0,3.0,9.0,1.0,4.0,7.0,15.0,21.0,5.0,11.0,10.0,96.0,13.0,1267.0,6.0,20.0,12.0,23.0,158.0,2581.0,22.0,25.0,89.0,26.0,52.0,14.0,74.0,239.0
3461,1.0,0.0,31.0,7.0,24.0,95.0,23.0,3.0,10.0,75.0,36.0,20.0,19.0,593.0,2.0,49.0,9.0,5.0,18.0,130.0,22.0,48.0,12.0,118.0,25.0,112.0,98.0,102.0,52.0,30.0
3510,1.0,20.0,18.0,3.0,56.0,17.0,296.0,31.0,50.0,6.0,12.0,74.0,75.0,115.0,8.0,15.0,9.0,25.0,19.0,41.0,51.0,16.0,24.0,2.0,38.0,62.0,44.0,33.0,21.0,14.0
3559,5.0,11.0,19.0,16.0,122.0,22.0,17.0,1.0,15.0,29.0,72.0,224.0,223.0,8.0,6.0,13.0,20.0,34.0,10.0,25.0,74.0,12.0,61.0,653.0,52.0,180.0,47.0,48.0,9.0,132.0
3608,0.0,1.0,9.0,6.0,2.0,74.0,39.0,12.0,13.0,14.0,49.0,37.0,36.0,98.0,3.0,22.0,28.0,7.0,15.0,45.0,18.0,23.0,52.0,25.0,20.0,182.0,33.0,152.0,134.0,235.0
3657,0.0,2.0,26.0,17.0,545.0,14.0,6.0,10.0,4.0,7.0,9.0,52.0,53.0,1571.0,12.0,82.0,75.0,83.0,3.0,43.0,31.0,81.0,33.0,28.0,32.0,146.0,139.0,89.0,1.0,39.0
3706,0.0,1.0,3.0,9.0,13.0,42.0,17.0,7.0,14.0,41.0,36.0,58.0,59.0,30.0,4.0,23.0,15.0,16.0,20.0,61.0,25.0,24.0,43.0,152.0,81.0,31.0,48.0,26.0,110.0,38.0
3755,0.0,2.0,5.0,3.0,27.0,107.0,8.0,11.0,9.0,80.0,79.0,31.0,30.0,460.0,86.0,15.0,20.0,29.0,10.0,55.0,32.0,16.0,25.0,17.0,28.0,70.0,75.0,14.0,51.0,6.0
3804,0.0,6.0,2.0,3.0,7.0,12345.0,25.0,23.0,16.0,32.0,158.0,33.0,34.0,11599.0,13.0,10.0,1.0,9.0,15.0,40.0,41.0,11.0,21.0,17.0,37.0,80.0,132.0,70.0,351.0,106.0
3853,0.0,6.0,21.0,23.0,25.0,27.0,72.0,4.0,3.0,5.0,41.0,36.0,35.0,9.0,24.0,34.0,7.0,15.0,2.0,112.0,53.0,33.0,26.0,32.0,11.0,341.0,56.0,109.0,19.0,123.0
3902,1.0,4.0,18.0,6.0,34.0,26.0,24.0,10.0,2.0,35.0,15.0,27.0,28.0,1074.0,68.0,17.0,37.0,74.0,45.0,118.0,43.0,16.0,38.0,21.0,23.0,59.0,58.0,49.0,103.0,13.0
3951,205.0,0.0,2.0,1.0,17.0,11.0,1278.0,5.0,6.0,4.0,23.0,46.0,47.0,8.0,19.0,3.0,218.0,22.0,35.0,16.0,26.0,9.0,13.0,18.0,80.0,24.0,39.0,14.0,41.0,40.0
4000,39.0,12.0,3.0,0.0,5.0,50.0,26.0,4.0,6.0,217.0,85.0,2.0,1.0,27.0,577.0,41.0,93.0,9.0,151.0,14.0,16.0,95.0,11.0,7.0,47.0,10.0,17.0,18921.0,36.0,18.0
4049,23.0,1.0,2.0,0.0,12.0,16.0,33.0,10.0,19.0,17.0,20.0,4.0,3.0,29.0,18.0,8.0,25.0,70.0,5.0,21.0,27.0,14.0,13.0,22.0,266.0,6.0,32.0,143.0,333.0,60.0
4098,15.0,2.0,7.0,3.0,4.0,10.0,35.0,9.0,12.0,20.0,5.0,14.0,13.0,33.0,61.0,16.0,11.0,34.0,1.0,21.0,57.0,23.0,6.0,19.0,42.0,8.0,41.0,143.0,101.0,67.0
4147,166.0,3.0,16.0,0.0,37.0,17.0,181.0,8.0,18.0,49.0,26.0,5.0,6.0,4.0,9.0,15.0,36.0,50.0,13.0,11.0,39.0,21.0,14.0,1.0,54.0,7.0,41.0,179.0,469.0,25.0
4196,23.0,0.0,5.0,6.0,18.0,15.0,514.0,17.0,4.0,16.0,50.0,12.0,13.0,26.0,22.0,9.0,30.0,98.0,1.0,44.0,41.0,10.0,27.0,2.0,53.0,21.0,14.0,28.0,77.0,7.0
4245,29.0,2.0,18.0,1.0,11.0,32.0,43.0,10.0,7.0,12.0,52.0,15.0,14.0,3.0,25.0,4.0,24.0,215.0,6.0,113.0,13.0,8.0,5.0,50.0,26.0,41.0,9.0,508.0,173.0,44.0
4294,12.0,1.0,8.0,2.0,98.0,4.0,64.0,16.0,3.0,11.0,9.0,6.0,7.0,46.0,175.0,10.0,176.0,544.0,0.0,13.0,24.0,15.0,21.0,68.0,79.0,28.0,14.0,63.0,39.0,40.0
4343,6.0,0.0,5.0,3.0,8.0,15.0,100.0,4.0,10.0,17.0,37.0,21.0,20.0,18.0,1.0,54.0,165.0,94.0,11.0,24.0,13.0,125.0,14.0,28.0,477.0,7.0,32.0,67.0,70.0,53.0
4392,29.0,7.0,3.0,0.0,8.0,14.0,87.0,26.0,90.0,15.0,16.0,12.0,13.0,4.0,11.0,44.0,85.0,189.0,2.0,32.0,35.0,107.0,18.0,48.0,130.0,49.0,17.0,23.0,27.0,97.0
4441,10.0,0.0,1.0,158.0,16.0,14.0,4.0,25.0,22.0,57.0,52.0,20.0,19.0,2.0,8.0,151.0,18.0,23.0,3.0,11.0,30.0,311.0,91.0,85.0,24.0,38.0,37.0,13.0,597.0,48.0
4490,33.0,5.0,1.0,29.0,7.0,12.0,21.0,32.0,4.0,8.0,27.0,15.0,16.0,0.0,20.0,37.0,9.0,142.0,35.0,57.0,59.0,51.0,361.0,13.0,56.0,87.0,58.0,6.0,575.0,40.0
4539,110.0,6.0,4.0,9.0,2.0,5.0,86.0,32.0,10.0,27.0,46.0,7.0,8.0,1.0,29.0,16.0,30.0,106.0,24.0,18.0,67.0,35.0,49.0,369.0,21.0,54.0,34.0,19.0,94.0,126.0
4588,16.0,3.0,4.0,9.0,0.0,57.0,1.0,20.0,10.0,13.0,519.0,31.0,30.0,2.0,7.0,110.0,19.0,29.0,14.0,17.0,26.0,227.0,99.0,140.0,196.0,331.0,28.0,21.0,34.0,11.0
4637,159.0,3.0,2.0,40.0,13.0,45.0,0.0,25.0,16.0,96.0,670.0,11.0,12.0,7.0,21.0,824.0,121.0,6.0,8.0,17.0,33.0,2062.0,709.0,720.0,34.0,211.0,114.0,253.0,31.0,18.0
4686,27.0,7.0,6.0,11.0,14.0,0.0,1.0,13.0,9.0,4.0,3.0,38.0,37.0,5.0,28.0,108.0,12.0,31.0,2.0,21.0,168.0,272.0,379.0,977.0,18.0,117.0,345.0,8.0,53.0,56.0
4735,1.0,2.0,4.0,20.0,3.0,7.0,0.0,24.0,31.0,26.0,46.0,21.0,22.0,8.0,6.0,937.0,65.0,45.0,9.0,27.0,63.0,2171.0,464.0,284.0,37.0,42.0,32.0,28.0,35.0,279.0
4784,233.0,0.0,9.0,20.0,14.0,30.0,1.0,13.0,10.0,36.0,286.0,11.0,12.0,3.0,6.0,18.0,107.0,82.0,59.0,16.0,78.0,35.0,635.0,217.0,24.0,129.0,57.0,39.0,196.0,22.0
4833,71.0,3.0,6.0,45.0,1.0,5.0,17.0,16.0,18.0,23.0,22.0,38.0,39.0,2.0,14.0,251.0,40.0,33.0,15.0,11.0,52.0,641.0,123.0,82.0,21.0,99.0,83.0,19.0,69.0,12.0
4882,63.0,1.0,0.0,36.0,8.0,7.0,9.0,18.0,5.0,19.0,24.0,21.0,20.0,10.0,16.0,125.0,23.0,25.0,46.0,11.0,107.0,124.0,267.0,35.0,14.0,37.0,176.0,3.0,55.0,185.0
