,GABA,UMP,alpha-glycerophosphate,C18:0 LPC,2-deoxyadenosine,C56:5 TAG,pantothenate,glutamine,serotonin,DHAP/glyceraldehyde 3P,C36:4 PC-B,beta-alanine,C18:0 LPE,niacinamide,serine,C16:0 LPE,dCMP,taurodeoxycholate,asparagine,adenosine,cotinine,putrescine,alpha-glycerophosphocholine,valerylcarnitine,acetylcholine,palmitoylcarnitine,2-deoxycytidine,creatine,creatinine,butyrylcarnitine/isobutyrylcarnitine
808,0.0,3.0,5.0,16.0,14.0,51.0,13.0,18.0,6.0,2.0,8.0,11.0,9.0,35.0,4.0,10.0,1.0,52.0,7.0,12.0,26.0,28.0,29.0,21.0,24.0,19.0,34.0,22.0,23.0,30.0
857,1.0,0.0,2.0,20.0,4.0,15.0,6.0,16.0,19.0,3.0,8.0,14.0,24.0,7.0,11.0,5.0,9.0,18.0,23.0,25.0,30.0,33.0,27.0,17.0,40.0,12.0,29.0,52.0,38.0,26.0
906,1.0,0.0,3.0,8.0,10.0,9.0,4.0,15.0,14.0,2.0,6.0,33.0,12.0,44.0,7.0,11.0,5.0,17.0,21.0,20.0,13.0,28.0,36.0,30.0,35.0,31.0,22.0,24.0,25.0,18.0
955,1.0,0.0,37.0,12.0,6.0,3.0,14.0,20.0,2.0,4.0,8.0,21.0,17.0,22.0,19.0,44.0,7.0,45.0,5.0,26.0,27.0,28.0,23.0,9.0,18.0,31.0,16.0,33.0,25.0,30.0
1004,0.0,1.0,5.0,2.0,13.0,3.0,16.0,14.0,17.0,36.0,11.0,8.0,7.0,9.0,47.0,22.0,35.0,43.0,48.0,6.0,4.0,10.0,27.0,18.0,26.0,29.0,20.0,25.0,23.0,28.0
1053,0.0,2.0,3.0,1.0,16.0,17.0,6.0,47.0,13.0,35.0,4.0,8.0,19.0,14.0,18.0,49.0,34.0,9.0,46.0,15.0,5.0,12.0,25.0,7.0,51.0,20.0,28.0,24.0,22.0,23.0
1102,0.0,1.0,2.0,8.0,3.0,5.0,12.0,14.0,6.0,35.0,4.0,18.0,7.0,10.0,47.0,22.0,16.0,15.0,30.0,11.0,9.0,13.0,28.0,27.0,20.0,31.0,25.0,23.0,24.0,26.0
1151,1.0,2.0,5.0,0.0,6.0,3.0,10.0,8.0,7.0,34.0,12.0,11.0,19.0,28.0,30.0,18.0,13.0,43.0,38.0,17.0,4.0,14.0,20.0,46.0,21.0,15.0,24.0,22.0,23.0,48.0
1200,1.0,5.0,2.0,0.0,4.0,7.0,36.0,47.0,9.0,40.0,11.0,12.0,19.0,10.0,21.0,15.0,6.0,20.0,46.0,8.0,3.0,13.0,25.0,28.0,22.0,29.0,33.0,23.0,24.0,34.0
1249,0.0,1.0,6.0,2.0,13.0,8.0,3.0,12.0,10.0,39.0,18.0,22.0,21.0,5.0,20.0,32.0,17.0,44.0,47.0,15.0,4.0,14.0,24.0,11.0,25.0,30.0,28.0,33.0,27.0,29.0
1298,0.0,1.0,8.0,10.0,4.0,13.0,14.0,9.0,11.0,15.0,2.0,23.0,7.0,6.0,45.0,26.0,12.0,18.0,19.0,17.0,3.0,5.0,25.0,28.0,24.0,46.0,55.0,22.0,21.0,27.0
1347,1.0,2.0,4.0,3.0,5.0,14.0,8.0,13.0,11.0,37.0,6.0,29.0,16.0,9.0,46.0,23.0,12.0,42.0,47.0,10.0,0.0,7.0,21.0,26.0,20.0,27.0,31.0,18.0,19.0,25.0
1396,0.0,5.0,9.0,4.0,2.0,6.0,15.0,8.0,19.0,21.0,13.0,7.0,3.0,17.0,18.0,50.0,39.0,20.0,24.0,10.0,1.0,11.0,29.0,31.0,16.0,14.0,26.0,25.0,33.0,30.0
1445,5.0,1.0,2.0,0.0,6.0,3.0,12.0,39.0,9.0,33.0,11.0,16.0,10.0,13.0,47.0,26.0,32.0,42.0,29.0,8.0,4.0,14.0,19.0,18.0,7.0,30.0,27.0,23.0,22.0,24.0
1494,0.0,1.0,7.0,4.0,16.0,11.0,3.0,2.0,6.0,10.0,17.0,5.0,20.0,9.0,13.0,34.0,45.0,39.0,8.0,14.0,19.0,24.0,12.0,28.0,50.0,29.0,15.0,23.0,22.0,27.0
1543,0.0,4.0,2.0,15.0,11.0,6.0,7.0,1.0,14.0,5.0,41.0,17.0,13.0,30.0,9.0,8.0,20.0,43.0,31.0,16.0,10.0,28.0,12.0,19.0,25.0,47.0,24.0,26.0,27.0,22.0
1592,0.0,1.0,2.0,15.0,11.0,12.0,3.0,5.0,17.0,6.0,13.0,20.0,14.0,16.0,18.0,53.0,36.0,46.0,51.0,4.0,8.0,28.0,10.0,26.0,30.0,25.0,19.0,23.0,24.0,9.0
1641,0.0,1.0,3.0,2.0,10.0,16.0,7.0,6.0,13.0,9.0,21.0,12.0,15.0,18.0,4.0,11.0,46.0,44.0,17.0,8.0,22.0,19.0,5.0,30.0,23.0,29.0,34.0,28.0,31.0,32.0
1690,0.0,1.0,5.0,7.0,14.0,6.0,2.0,8.0,30.0,4.0,10.0,3.0,28.0,15.0,16.0,18.0,36.0,45.0,50.0,11.0,17.0,24.0,9.0,26.0,19.0,54.0,22.0,20.0,29.0,12.0
1739,0.0,1.0,5.0,49.0,13.0,8.0,7.0,2.0,11.0,10.0,4.0,12.0,9.0,6.0,46.0,21.0,35.0,42.0,47.0,14.0,26.0,24.0,16.0,28.0,18.0,19.0,15.0,23.0,29.0,17.0
1788,0.0,1.0,14.0,10.0,12.0,7.0,3.0,4.0,20.0,11.0,5.0,8.0,17.0,13.0,30.0,16.0,34.0,42.0,47.0,2.0,15.0,22.0,23.0,48.0,25.0,9.0,18.0,26.0,27.0,19.0
1837,0.0,1.0,2.0,11.0,12.0,7.0,6.0,3.0,17.0,5.0,9.0,32.0,13.0,15.0,18.0,40.0,20.0,48.0,19.0,8.0,27.0,29.0,4.0,30.0,21.0,31.0,14.0,22.0,23.0,16.0
1886,0.0,1.0,2.0,12.0,11.0,8.0,6.0,3.0,19.0,5.0,15.0,10.0,7.0,16.0,44.0,46.0,24.0,39.0,17.0,4.0,14.0,29.0,9.0,32.0,21.0,33.0,18.0,22.0,23.0,31.0
1935,0.0,1.0,2.0,15.0,23.0,9.0,11.0,7.0,17.0,4.0,12.0,30.0,8.0,22.0,6.0,18.0,20.0,16.0,52.0,5.0,3.0,28.0,19.0,24.0,33.0,31.0,13.0,27.0,29.0,21.0
1984,0.0,1.0,2.0,9.0,3.0,12.0,42.0,50.0,7.0,8.0,11.0,14.0,18.0,28.0,5.0,4.0,6.0,16.0,15.0,21.0,17.0,19.0,27.0,10.0,24.0,25.0,31.0,23.0,22.0,20.0
2033,1.0,0.0,8.0,6.0,12.0,4.0,3.0,5.0,14.0,9.0,15.0,16.0,17.0,2.0,13.0,7.0,10.0,11.0,49.0,20.0,32.0,26.0,21.0,29.0,57.0,30.0,22.0,18.0,19.0,28.0
2082,1.0,0.0,20.0,3.0,6.0,17.0,13.0,5.0,4.0,12.0,8.0,10.0,11.0,21.0,50.0,53.0,2.0,7.0,16.0,9.0,27.0,28.0,30.0,32.0,29.0,19.0,24.0,26.0,25.0,56.0
2131,0.0,2.0,9.0,3.0,16.0,4.0,8.0,11.0,13.0,6.0,7.0,30.0,32.0,10.0,15.0,12.0,1.0,14.0,19.0,29.0,27.0,25.0,52.0,5.0,41.0,38.0,23.0,17.0,46.0,26.0
2180,1.0,0.0,14.0,2.0,4.0,6.0,12.0,5.0,8.0,17.0,16.0,7.0,51.0,23.0,10.0,11.0,3.0,9.0,18.0,13.0,26.0,28.0,21.0,15.0,57.0,31.0,25.0,22.0,33.0,30.0
2229,0.0,2.0,7.0,4.0,6.0,3.0,12.0,5.0,29.0,14.0,1.0,8.0,25.0,11.0,48.0,10.0,16.0,9.0,15.0,28.0,20.0,22.0,23.0,27.0,55.0,49.0,17.0,19.0,18.0,26.0
2278,0.0,1.0,4.0,8.0,5.0,3.0,2.0,14.0,13.0,17.0,12.0,19.0,10.0,16.0,7.0,18.0,6.0,9.0,53.0,31.0,25.0,27.0,24.0,30.0,23.0,32.0,20.0,22.0,21.0,29.0
2327,0.0,1.0,5.0,15.0,10.0,4.0,12.0,8.0,13.0,14.0,3.0,7.0,19.0,17.0,9.0,11.0,2.0,6.0,51.0,21.0,27.0,32.0,23.0,18.0,22.0,20.0,26.0,31.0,25.0,55.0
2376,2.0,0.0,7.0,6.0,16.0,5.0,1.0,23.0,22.0,38.0,12.0,3.0,18.0,15.0,14.0,9.0,10.0,17.0,21.0,4.0,27.0,30.0,19.0,8.0,26.0,49.0,25.0,24.0,32.0,29.0
2425,1.0,6.0,12.0,0.0,13.0,3.0,9.0,5.0,4.0,15.0,11.0,8.0,20.0,7.0,16.0,14.0,2.0,10.0,18.0,17.0,27.0,28.0,24.0,31.0,22.0,21.0,56.0,33.0,26.0,30.0
2474,0.0,7.0,2.0,10.0,4.0,9.0,1.0,16.0,37.0,14.0,15.0,17.0,8.0,18.0,6.0,5.0,39.0,3.0,46.0,26.0,31.0,29.0,21.0,13.0,22.0,11.0,19.0,30.0,24.0,25.0
2523,1.0,6.0,2.0,0.0,4.0,8.0,12.0,5.0,50.0,13.0,11.0,18.0,7.0,16.0,20.0,17.0,19.0,3.0,10.0,22.0,28.0,30.0,23.0,9.0,24.0,15.0,14.0,25.0,33.0,27.0
2572,0.0,4.0,2.0,1.0,11.0,7.0,16.0,5.0,44.0,13.0,9.0,17.0,6.0,21.0,52.0,24.0,38.0,3.0,12.0,10.0,26.0,29.0,15.0,8.0,22.0,14.0,25.0,23.0,32.0,30.0
2621,0.0,4.0,1.0,2.0,9.0,7.0,12.0,3.0,23.0,10.0,6.0,19.0,16.0,35.0,5.0,14.0,18.0,17.0,11.0,8.0,29.0,13.0,22.0,20.0,25.0,15.0,34.0,26.0,27.0,24.0
2670,0.0,2.0,1.0,4.0,21.0,19.0,5.0,6.0,50.0,3.0,7.0,10.0,9.0,22.0,14.0,12.0,35.0,11.0,16.0,8.0,18.0,30.0,23.0,13.0,24.0,20.0,15.0,25.0,32.0,27.0
2719,3.0,6.0,0.0,7.0,1.0,2.0,14.0,10.0,48.0,38.0,8.0,9.0,5.0,34.0,4.0,15.0,40.0,12.0,16.0,18.0,13.0,26.0,19.0,17.0,21.0,11.0,20.0,22.0,33.0,28.0
2768,0.0,11.0,1.0,9.0,2.0,14.0,4.0,8.0,15.0,13.0,3.0,18.0,10.0,43.0,22.0,21.0,6.0,5.0,17.0,23.0,26.0,34.0,35.0,7.0,27.0,12.0,20.0,33.0,30.0,31.0
2817,0.0,1.0,3.0,2.0,10.0,8.0,9.0,15.0,19.0,4.0,18.0,14.0,16.0,21.0,5.0,6.0,17.0,7.0,20.0,13.0,27.0,24.0,46.0,11.0,34.0,32.0,29.0,33.0,31.0,36.0
2866,0.0,11.0,17.0,2.0,3.0,1.0,5.0,7.0,54.0,23.0,13.0,18.0,4.0,46.0,10.0,24.0,19.0,6.0,9.0,22.0,16.0,8.0,35.0,31.0,15.0,14.0,34.0,25.0,26.0,30.0
2915,1.0,3.0,0.0,6.0,8.0,11.0,2.0,7.0,15.0,17.0,5.0,13.0,21.0,16.0,48.0,51.0,36.0,4.0,10.0,9.0,18.0,14.0,27.0,12.0,26.0,24.0,31.0,25.0,23.0,22.0
2964,0.0,4.0,1.0,3.0,2.0,11.0,6.0,16.0,13.0,5.0,39.0,15.0,14.0,9.0,17.0,21.0,8.0,10.0,19.0,30.0,7.0,24.0,34.0,45.0,33.0,20.0,28.0,32.0,31.0,22.0
3013,0.0,2.0,1.0,3.0,10.0,9.0,4.0,43.0,7.0,15.0,33.0,19.0,30.0,5.0,8.0,13.0,17.0,6.0,20.0,18.0,24.0,16.0,51.0,12.0,11.0,37.0,21.0,23.0,22.0,27.0
3062,2.0,3.0,1.0,10.0,4.0,9.0,0.0,43.0,6.0,30.0,41.0,13.0,14.0,8.0,17.0,16.0,7.0,5.0,20.0,32.0,29.0,11.0,36.0,24.0,18.0,12.0,19.0,33.0,51.0,25.0
3111,0.0,3.0,2.0,4.0,5.0,14.0,1.0,13.0,6.0,7.0,11.0,15.0,37.0,18.0,8.0,21.0,10.0,23.0,16.0,28.0,30.0,17.0,22.0,9.0,25.0,19.0,36.0,26.0,27.0,24.0
3160,1.0,14.0,2.0,0.0,7.0,3.0,5.0,49.0,18.0,16.0,41.0,15.0,13.0,6.0,17.0,19.0,4.0,10.0,43.0,28.0,25.0,9.0,23.0,8.0,32.0,21.0,31.0,33.0,27.0,29.0
3209,5.0,7.0,1.0,6.0,2.0,21.0,0.0,33.0,9.0,10.0,45.0,20.0,8.0,13.0,16.0,22.0,14.0,4.0,12.0,15.0,3.0,23.0,28.0,18.0,27.0,25.0,24.0,54.0,26.0,30.0
3258,0.0,20.0,10.0,1.0,3.0,8.0,4.0,15.0,14.0,18.0,12.0,9.0,23.0,6.0,2.0,5.0,11.0,19.0,49.0,22.0,7.0,32.0,41.0,17.0,40.0,13.0,35.0,47.0,55.0,21.0
3307,0.0,3.0,1.0,2.0,24.0,12.0,5.0,17.0,6.0,8.0,11.0,9.0,16.0,4.0,45.0,18.0,14.0,7.0,46.0,23.0,10.0,25.0,20.0,13.0,19.0,28.0,55.0,21.0,30.0,27.0
3356,0.0,11.0,2.0,3.0,5.0,4.0,1.0,17.0,6.0,19.0,41.0,18.0,44.0,12.0,13.0,16.0,8.0,10.0,15.0,29.0,26.0,24.0,33.0,7.0,32.0,9.0,27.0,31.0,30.0,20.0
3405,0.0,7.0,2.0,5.0,19.0,15.0,3.0,48.0,17.0,38.0,34.0,1.0,43.0,4.0,20.0,11.0,6.0,10.0,13.0,30.0,14.0,12.0,24.0,9.0,32.0,25.0,31.0,27.0,28.0,26.0
3454,0.0,1.0,4.0,7.0,3.0,2.0,5.0,8.0,37.0,11.0,6.0,12.0,15.0,16.0,45.0,10.0,14.0,41.0,13.0,23.0,25.0,27.0,9.0,29.0,18.0,17.0,24.0,21.0,31.0,28.0
3503,0.0,4.0,8.0,11.0,1.0,2.0,20.0,10.0,6.0,35.0,5.0,47.0,12.0,30.0,21.0,15.0,17.0,3.0,7.0,26.0,27.0,16.0,23.0,24.0,31.0,9.0,13.0,48.0,25.0,22.0
3552,0.0,3.0,1.0,2.0,4.0,5.0,11.0,14.0,12.0,7.0,20.0,6.0,45.0,21.0,16.0,9.0,13.0,19.0,8.0,26.0,29.0,25.0,22.0,27.0,23.0,15.0,17.0,31.0,32.0,24.0
3601,0.0,1.0,2.0,3.0,12.0,6.0,13.0,8.0,11.0,5.0,4.0,24.0,43.0,17.0,18.0,20.0,7.0,14.0,9.0,30.0,25.0,15.0,16.0,49.0,29.0,10.0,23.0,22.0,28.0,47.0
3650,1.0,4.0,8.0,0.0,2.0,3.0,7.0,15.0,14.0,9.0,16.0,28.0,26.0,12.0,31.0,11.0,34.0,10.0,5.0,18.0,22.0,27.0,20.0,17.0,53.0,6.0,21.0,52.0,19.0,51.0
3699,1.0,6.0,3.0,0.0,4.0,2.0,14.0,16.0,9.0,8.0,5.0,11.0,38.0,20.0,23.0,12.0,19.0,10.0,7.0,28.0,30.0,22.0,25.0,33.0,26.0,15.0,29.0,24.0,35.0,32.0
3748,0.0,1.0,6.0,2.0,10.0,3.0,18.0,15.0,14.0,8.0,4.0,9.0,43.0,21.0,12.0,16.0,35.0,5.0,11.0,20.0,27.0,17.0,13.0,45.0,22.0,7.0,26.0,23.0,32.0,31.0
3797,0.0,2.0,6.0,4.0,3.0,1.0,10.0,9.0,5.0,14.0,13.0,28.0,32.0,31.0,38.0,15.0,19.0,8.0,7.0,24.0,21.0,34.0,29.0,27.0,26.0,12.0,33.0,56.0,25.0,23.0
3846,0.0,1.0,5.0,2.0,4.0,3.0,6.0,13.0,17.0,9.0,8.0,30.0,23.0,16.0,14.0,28.0,37.0,10.0,15.0,27.0,31.0,11.0,20.0,33.0,22.0,7.0,29.0,24.0,25.0,26.0
3895,0.0,5.0,13.0,4.0,6.0,1.0,3.0,8.0,7.0,10.0,15.0,16.0,12.0,19.0,38.0,11.0,43.0,9.0,2.0,25.0,26.0,28.0,18.0,30.0,22.0,21.0,52.0,23.0,33.0,29.0
3944,0.0,1.0,5.0,4.0,9.0,3.0,2.0,13.0,7.0,11.0,34.0,30.0,17.0,16.0,6.0,19.0,12.0,18.0,8.0,23.0,21.0,14.0,40.0,27.0,42.0,25.0,20.0,38.0,28.0,26.0
3993,0.0,1.0,7.0,4.0,6.0,2.0,21.0,12.0,11.0,3.0,9.0,29.0,10.0,47.0,8.0,5.0,19.0,13.0,15.0,24.0,20.0,17.0,22.0,18.0,49.0,35.0,34.0,27.0,23.0,16.0
4042,0.0,1.0,6.0,5.0,17.0,2.0,8.0,13.0,3.0,10.0,39.0,11.0,7.0,16.0,18.0,14.0,42.0,41.0,44.0,24.0,32.0,4.0,20.0,29.0,21.0,30.0,33.0,22.0,23.0,28.0
4091,0.0,12.0,2.0,1.0,4.0,3.0,9.0,6.0,10.0,34.0,46.0,19.0,20.0,18.0,8.0,15.0,7.0,17.0,14.0,23.0,26.0,11.0,22.0,16.0,31.0,29.0,48.0,24.0,25.0,13.0
4140,0.0,3.0,4.0,15.0,5.0,2.0,6.0,8.0,1.0,12.0,32.0,18.0,7.0,16.0,17.0,29.0,11.0,10.0,9.0,23.0,36.0,14.0,42.0,19.0,37.0,25.0,24.0,22.0,21.0,27.0
4189,0.0,3.0,6.0,2.0,5.0,9.0,16.0,7.0,10.0,8.0,32.0,17.0,30.0,38.0,11.0,4.0,1.0,42.0,18.0,20.0,19.0,14.0,40.0,26.0,36.0,24.0,22.0,27.0,21.0,12.0
4238,0.0,17.0,4.0,7.0,16.0,1.0,5.0,20.0,3.0,12.0,14.0,18.0,13.0,11.0,2.0,34.0,47.0,46.0,8.0,9.0,29.0,31.0,19.0,15.0,24.0,28.0,53.0,25.0,26.0,10.0
4287,1.0,0.0,2.0,5.0,13.0,4.0,6.0,10.0,3.0,11.0,44.0,43.0,9.0,21.0,14.0,17.0,16.0,46.0,7.0,27.0,31.0,29.0,22.0,15.0,23.0,32.0,30.0,25.0,26.0,24.0
4336,0.0,1.0,2.0,4.0,7.0,8.0,14.0,18.0,3.0,6.0,12.0,31.0,20.0,17.0,21.0,26.0,13.0,11.0,9.0,16.0,23.0,5.0,29.0,30.0,24.0,19.0,33.0,27.0,28.0,15.0
4385,0.0,3.0,9.0,2.0,6.0,1.0,8.0,11.0,5.0,14.0,17.0,28.0,15.0,4.0,10.0,31.0,38.0,50.0,7.0,32.0,25.0,16.0,19.0,12.0,21.0,13.0,24.0,20.0,22.0,26.0
4434,0.0,1.0,7.0,37.0,4.0,2.0,11.0,5.0,9.0,33.0,39.0,10.0,6.0,8.0,45.0,15.0,16.0,42.0,29.0,22.0,24.0,3.0,13.0,48.0,18.0,20.0,23.0,19.0,21.0,47.0
4483,1.0,0.0,6.0,12.0,7.0,4.0,8.0,3.0,14.0,34.0,18.0,9.0,5.0,11.0,48.0,16.0,15.0,43.0,50.0,19.0,24.0,2.0,23.0,51.0,10.0,27.0,22.0,29.0,20.0,26.0
4532,0.0,1.0,6.0,48.0,4.0,2.0,9.0,10.0,7.0,34.0,18.0,8.0,5.0,14.0,46.0,26.0,33.0,11.0,47.0,12.0,16.0,3.0,15.0,22.0,17.0,20.0,23.0,27.0,25.0,24.0
4581,0.0,1.0,6.0,31.0,5.0,2.0,10.0,4.0,14.0,16.0,12.0,7.0,8.0,11.0,23.0,19.0,18.0,49.0,17.0,25.0,21.0,3.0,15.0,30.0,22.0,38.0,24.0,52.0,26.0,29.0
4630,0.0,4.0,5.0,7.0,9.0,2.0,6.0,3.0,37.0,36.0,10.0,8.0,20.0,21.0,50.0,14.0,16.0,41.0,13.0,25.0,12.0,1.0,22.0,32.0,11.0,33.0,34.0,23.0,24.0,31.0
4679,0.0,1.0,9.0,14.0,5.0,3.0,4.0,6.0,15.0,7.0,29.0,13.0,8.0,10.0,45.0,26.0,41.0,16.0,46.0,17.0,11.0,2.0,20.0,52.0,19.0,24.0,21.0,18.0,57.0,23.0
4728,1.0,0.0,10.0,19.0,3.0,4.0,6.0,5.0,8.0,16.0,13.0,12.0,9.0,18.0,48.0,26.0,11.0,7.0,15.0,30.0,20.0,2.0,24.0,28.0,14.0,49.0,29.0,22.0,21.0,55.0
4777,1.0,0.0,2.0,22.0,7.0,3.0,8.0,5.0,13.0,10.0,12.0,15.0,6.0,9.0,17.0,44.0,34.0,16.0,30.0,20.0,11.0,4.0,27.0,50.0,14.0,24.0,21.0,18.0,19.0,48.0
4826,1.0,0.0,13.0,26.0,12.0,11.0,7.0,5.0,9.0,18.0,10.0,16.0,4.0,15.0,6.0,37.0,42.0,3.0,20.0,31.0,14.0,2.0,36.0,52.0,34.0,22.0,29.0,33.0,55.0,23.0
4875,0.0,1.0,2.0,24.0,10.0,5.0,6.0,8.0,4.0,46.0,30.0,12.0,27.0,7.0,11.0,26.0,41.0,13.0,49.0,16.0,18.0,3.0,22.0,21.0,17.0,35.0,19.0,56.0,54.0,34.0
