,uracil,C34:4 PC,GABA,butyrylcarnitine/isobutyrylcarnitine,inositol,phosphocreatine,uridine,beta-alanine,guanosine,2-deoxyadenosine,UMP,hexoses (HILIC neg),malondialdehyde,creatinine,DHAP/glyceraldehyde 3P,C18:0 LPC,acetylcholine,N-carbamoyl-beta-alanine,2-deoxycytidine,C56:3 TAG,cytidine,hypoxanthine,creatine,inosine,adenosine,cystathionine,alpha-glycerophosphate,C22:6 CE,dCMP,isocitrate
859,18.0,5.0,11.0,8.0,28.0,25.0,7.0,37.0,2.0,31.0,3.0,0.0,24.0,1.0,61.0,4.0,17.0,36.0,16.0,29.0,58.0,30.0,13.0,45.0,19.0,38.0,32.0,59.0,44.0,46.0
908,20.0,7.0,14.0,4.0,48.0,45.0,29.0,27.0,23.0,2.0,28.0,15.0,40.0,17.0,26.0,12.0,38.0,46.0,30.0,55.0,34.0,62.0,11.0,39.0,53.0,61.0,36.0,33.0,8.0,43.0
957,24.0,26.0,39.0,41.0,23.0,21.0,11.0,62.0,31.0,17.0,40.0,8.0,16.0,63.0,30.0,59.0,25.0,20.0,13.0,37.0,6.0,44.0,10.0,3.0,1.0,60.0,50.0,53.0,38.0,15.0
1006,21.0,19.0,41.0,42.0,27.0,51.0,18.0,6.0,48.0,32.0,52.0,20.0,31.0,14.0,23.0,24.0,34.0,5.0,15.0,29.0,9.0,33.0,50.0,62.0,56.0,37.0,59.0,46.0,47.0,38.0
1055,2.0,15.0,5.0,46.0,26.0,0.0,32.0,29.0,35.0,21.0,37.0,6.0,19.0,53.0,47.0,40.0,43.0,28.0,7.0,30.0,12.0,11.0,56.0,44.0,18.0,48.0,14.0,45.0,27.0,25.0
1104,27.0,41.0,50.0,7.0,39.0,20.0,23.0,13.0,43.0,4.0,33.0,51.0,24.0,25.0,11.0,40.0,42.0,14.0,37.0,29.0,65.0,18.0,3.0,8.0,2.0,38.0,26.0,17.0,6.0,0.0
1153,2.0,19.0,46.0,13.0,17.0,12.0,22.0,66.0,1.0,5.0,7.0,3.0,31.0,10.0,14.0,52.0,20.0,32.0,28.0,45.0,41.0,11.0,29.0,49.0,26.0,15.0,36.0,38.0,39.0,24.0
1202,36.0,10.0,19.0,17.0,22.0,62.0,11.0,34.0,28.0,9.0,47.0,23.0,45.0,50.0,12.0,14.0,21.0,13.0,25.0,39.0,31.0,42.0,61.0,3.0,53.0,35.0,44.0,2.0,38.0,16.0
1251,40.0,16.0,60.0,43.0,15.0,35.0,14.0,7.0,49.0,3.0,37.0,41.0,13.0,56.0,33.0,6.0,34.0,1.0,20.0,9.0,61.0,46.0,52.0,12.0,57.0,27.0,50.0,38.0,58.0,25.0
1300,26.0,9.0,55.0,8.0,6.0,20.0,18.0,13.0,43.0,14.0,15.0,51.0,11.0,25.0,0.0,2.0,42.0,10.0,23.0,16.0,53.0,27.0,38.0,28.0,19.0,32.0,5.0,12.0,33.0,49.0
1349,60.0,31.0,30.0,19.0,20.0,22.0,41.0,25.0,58.0,27.0,49.0,56.0,23.0,48.0,6.0,28.0,38.0,3.0,33.0,14.0,47.0,11.0,53.0,45.0,66.0,7.0,8.0,37.0,16.0,26.0
1398,27.0,6.0,5.0,22.0,9.0,4.0,39.0,2.0,56.0,14.0,15.0,10.0,18.0,55.0,1.0,29.0,36.0,8.0,16.0,21.0,19.0,26.0,53.0,59.0,65.0,11.0,37.0,20.0,13.0,49.0
1447,46.0,15.0,56.0,54.0,10.0,41.0,16.0,24.0,33.0,12.0,31.0,22.0,32.0,9.0,7.0,2.0,19.0,11.0,30.0,38.0,17.0,20.0,8.0,5.0,40.0,14.0,45.0,0.0,59.0,13.0
1496,18.0,11.0,14.0,36.0,35.0,32.0,22.0,60.0,19.0,2.0,5.0,31.0,54.0,3.0,64.0,49.0,9.0,39.0,26.0,37.0,45.0,43.0,24.0,58.0,12.0,6.0,10.0,30.0,16.0,56.0
1545,20.0,19.0,4.0,37.0,30.0,16.0,11.0,29.0,38.0,31.0,23.0,36.0,32.0,5.0,6.0,0.0,39.0,7.0,17.0,14.0,41.0,1.0,34.0,40.0,49.0,8.0,9.0,18.0,33.0,62.0
1594,18.0,6.0,15.0,26.0,25.0,14.0,9.0,12.0,2.0,46.0,8.0,32.0,5.0,40.0,61.0,57.0,44.0,52.0,10.0,60.0,29.0,28.0,16.0,4.0,47.0,58.0,21.0,31.0,36.0,11.0
1643,12.0,4.0,5.0,56.0,24.0,27.0,17.0,8.0,26.0,28.0,6.0,1.0,38.0,13.0,0.0,57.0,23.0,60.0,20.0,32.0,29.0,11.0,63.0,21.0,16.0,33.0,43.0,35.0,48.0,30.0
1692,5.0,3.0,10.0,2.0,26.0,14.0,45.0,20.0,42.0,37.0,43.0,27.0,11.0,17.0,29.0,33.0,28.0,36.0,19.0,15.0,4.0,60.0,7.0,13.0,38.0,46.0,47.0,9.0,44.0,57.0
1741,1.0,10.0,11.0,5.0,19.0,23.0,34.0,36.0,26.0,59.0,42.0,53.0,21.0,55.0,15.0,46.0,62.0,16.0,37.0,66.0,41.0,25.0,60.0,20.0,30.0,31.0,47.0,7.0,54.0,32.0
1790,8.0,5.0,11.0,36.0,20.0,35.0,31.0,10.0,15.0,22.0,19.0,1.0,47.0,4.0,30.0,43.0,34.0,12.0,27.0,65.0,24.0,29.0,49.0,37.0,46.0,61.0,59.0,33.0,44.0,38.0
1839,16.0,20.0,17.0,26.0,35.0,30.0,19.0,39.0,5.0,63.0,65.0,7.0,42.0,4.0,33.0,15.0,34.0,45.0,11.0,40.0,3.0,14.0,29.0,10.0,0.0,57.0,25.0,50.0,37.0,60.0
1888,6.0,9.0,1.0,38.0,17.0,27.0,15.0,48.0,11.0,16.0,5.0,46.0,14.0,20.0,56.0,2.0,55.0,60.0,10.0,12.0,42.0,37.0,50.0,21.0,45.0,13.0,3.0,49.0,4.0,29.0
1937,8.0,31.0,14.0,15.0,10.0,29.0,16.0,33.0,52.0,43.0,13.0,6.0,17.0,58.0,44.0,12.0,26.0,5.0,11.0,63.0,19.0,4.0,50.0,24.0,53.0,28.0,1.0,62.0,9.0,34.0
1986,18.0,13.0,22.0,19.0,37.0,39.0,38.0,54.0,34.0,5.0,65.0,35.0,42.0,8.0,2.0,63.0,55.0,11.0,49.0,59.0,16.0,4.0,23.0,31.0,48.0,50.0,36.0,33.0,10.0,45.0
2035,28.0,39.0,21.0,44.0,17.0,23.0,30.0,7.0,46.0,18.0,1.0,19.0,8.0,63.0,20.0,11.0,41.0,35.0,13.0,52.0,2.0,6.0,50.0,5.0,61.0,40.0,26.0,43.0,36.0,34.0
2084,15.0,10.0,30.0,14.0,17.0,38.0,13.0,29.0,8.0,18.0,12.0,1.0,39.0,56.0,31.0,6.0,11.0,21.0,19.0,66.0,23.0,41.0,7.0,27.0,45.0,54.0,46.0,32.0,20.0,22.0
2133,30.0,12.0,14.0,16.0,44.0,39.0,21.0,15.0,18.0,3.0,1.0,13.0,48.0,23.0,35.0,41.0,59.0,0.0,25.0,29.0,8.0,37.0,47.0,61.0,64.0,50.0,31.0,43.0,26.0,24.0
2182,6.0,32.0,36.0,28.0,12.0,16.0,10.0,9.0,14.0,48.0,54.0,3.0,19.0,41.0,46.0,2.0,26.0,43.0,22.0,0.0,21.0,27.0,47.0,61.0,7.0,4.0,34.0,45.0,18.0,53.0
2231,4.0,41.0,27.0,34.0,5.0,13.0,17.0,22.0,20.0,19.0,61.0,7.0,16.0,25.0,36.0,30.0,8.0,1.0,55.0,53.0,9.0,42.0,56.0,12.0,31.0,29.0,6.0,14.0,43.0,50.0
2280,22.0,28.0,10.0,40.0,23.0,30.0,18.0,3.0,53.0,26.0,38.0,13.0,55.0,25.0,5.0,12.0,35.0,24.0,31.0,1.0,21.0,54.0,19.0,9.0,42.0,34.0,41.0,39.0,37.0,65.0
2329,32.0,7.0,17.0,39.0,35.0,20.0,28.0,2.0,19.0,4.0,18.0,46.0,15.0,34.0,40.0,21.0,10.0,16.0,50.0,6.0,1.0,51.0,53.0,30.0,11.0,42.0,27.0,25.0,49.0,43.0
2378,7.0,41.0,56.0,31.0,24.0,25.0,37.0,38.0,9.0,12.0,0.0,3.0,33.0,65.0,27.0,14.0,17.0,21.0,19.0,32.0,1.0,49.0,18.0,57.0,34.0,36.0,63.0,22.0,47.0,29.0
2427,49.0,11.0,4.0,44.0,18.0,21.0,35.0,6.0,20.0,12.0,9.0,45.0,29.0,2.0,13.0,51.0,28.0,1.0,30.0,66.0,7.0,57.0,43.0,19.0,17.0,40.0,32.0,8.0,36.0,63.0
2476,26.0,1.0,0.0,46.0,23.0,27.0,21.0,44.0,15.0,10.0,9.0,3.0,34.0,30.0,48.0,8.0,28.0,11.0,5.0,13.0,50.0,25.0,24.0,36.0,59.0,16.0,65.0,31.0,55.0,39.0
2525,33.0,13.0,9.0,12.0,24.0,16.0,37.0,62.0,21.0,15.0,10.0,25.0,5.0,18.0,23.0,59.0,7.0,48.0,17.0,3.0,44.0,14.0,41.0,47.0,50.0,26.0,34.0,43.0,4.0,31.0
2574,36.0,8.0,45.0,28.0,5.0,16.0,11.0,9.0,26.0,1.0,52.0,54.0,10.0,41.0,35.0,18.0,34.0,21.0,22.0,23.0,24.0,56.0,32.0,63.0,55.0,46.0,37.0,39.0,3.0,19.0
2623,8.0,5.0,4.0,2.0,17.0,18.0,33.0,41.0,50.0,31.0,39.0,36.0,29.0,15.0,1.0,7.0,6.0,9.0,45.0,57.0,11.0,60.0,3.0,48.0,14.0,35.0,20.0,13.0,38.0,51.0
2672,5.0,29.0,16.0,9.0,54.0,34.0,22.0,11.0,20.0,18.0,60.0,61.0,4.0,12.0,6.0,1.0,17.0,62.0,57.0,64.0,3.0,13.0,2.0,25.0,36.0,48.0,33.0,59.0,44.0,28.0
2721,13.0,11.0,6.0,4.0,39.0,23.0,25.0,55.0,32.0,5.0,35.0,48.0,14.0,12.0,26.0,21.0,56.0,0.0,43.0,66.0,1.0,50.0,45.0,30.0,2.0,20.0,22.0,52.0,44.0,15.0
2770,33.0,8.0,21.0,3.0,27.0,41.0,9.0,63.0,4.0,7.0,19.0,20.0,44.0,55.0,52.0,14.0,42.0,61.0,6.0,65.0,15.0,34.0,12.0,60.0,56.0,25.0,23.0,53.0,59.0,11.0
2819,2.0,14.0,6.0,3.0,25.0,10.0,29.0,21.0,7.0,48.0,17.0,23.0,20.0,40.0,35.0,42.0,12.0,49.0,45.0,58.0,50.0,27.0,16.0,18.0,5.0,44.0,38.0,47.0,24.0,33.0
2868,16.0,14.0,8.0,20.0,35.0,41.0,9.0,38.0,42.0,7.0,2.0,12.0,39.0,32.0,3.0,21.0,19.0,46.0,51.0,11.0,40.0,36.0,37.0,25.0,5.0,23.0,59.0,58.0,27.0,53.0
2917,17.0,5.0,10.0,18.0,32.0,3.0,33.0,60.0,58.0,23.0,46.0,8.0,37.0,54.0,2.0,4.0,21.0,19.0,45.0,66.0,31.0,16.0,24.0,55.0,27.0,26.0,39.0,51.0,64.0,36.0
2966,43.0,15.0,10.0,57.0,4.0,12.0,35.0,2.0,18.0,45.0,34.0,58.0,22.0,47.0,24.0,40.0,36.0,1.0,27.0,16.0,41.0,33.0,63.0,13.0,7.0,6.0,0.0,11.0,44.0,19.0
3015,15.0,41.0,44.0,42.0,10.0,14.0,17.0,0.0,47.0,40.0,6.0,7.0,4.0,45.0,19.0,48.0,30.0,24.0,8.0,3.0,66.0,11.0,31.0,13.0,27.0,23.0,33.0,36.0,35.0,25.0
3064,28.0,36.0,3.0,44.0,8.0,13.0,34.0,30.0,6.0,40.0,11.0,0.0,5.0,25.0,12.0,26.0,14.0,20.0,17.0,1.0,49.0,43.0,41.0,32.0,51.0,47.0,37.0,52.0,42.0,38.0
3113,13.0,63.0,2.0,52.0,5.0,11.0,30.0,12.0,9.0,42.0,34.0,55.0,7.0,27.0,56.0,28.0,15.0,38.0,35.0,8.0,65.0,17.0,32.0,36.0,61.0,14.0,1.0,45.0,37.0,41.0
3162,25.0,14.0,19.0,5.0,17.0,38.0,23.0,2.0,10.0,22.0,63.0,9.0,4.0,33.0,41.0,49.0,15.0,26.0,27.0,18.0,29.0,13.0,42.0,16.0,37.0,44.0,51.0,45.0,34.0,20.0
3211,17.0,11.0,19.0,39.0,8.0,14.0,38.0,5.0,2.0,24.0,3.0,52.0,23.0,26.0,34.0,28.0,27.0,21.0,18.0,30.0,44.0,15.0,54.0,53.0,65.0,41.0,9.0,12.0,31.0,10.0
3260,4.0,33.0,28.0,65.0,11.0,13.0,44.0,16.0,5.0,30.0,3.0,36.0,14.0,60.0,9.0,52.0,22.0,58.0,10.0,53.0,23.0,1.0,49.0,35.0,45.0,6.0,47.0,43.0,15.0,41.0
3309,10.0,21.0,17.0,26.0,20.0,30.0,24.0,14.0,4.0,39.0,33.0,58.0,5.0,6.0,31.0,50.0,1.0,22.0,38.0,11.0,59.0,3.0,35.0,13.0,52.0,42.0,9.0,37.0,12.0,43.0
3358,1.0,30.0,18.0,4.0,7.0,0.0,46.0,42.0,3.0,20.0,5.0,15.0,10.0,33.0,41.0,35.0,21.0,19.0,11.0,48.0,8.0,52.0,12.0,63.0,65.0,2.0,39.0,57.0,13.0,32.0
3407,3.0,20.0,19.0,13.0,16.0,26.0,38.0,5.0,2.0,32.0,14.0,61.0,9.0,18.0,24.0,7.0,21.0,48.0,33.0,4.0,28.0,11.0,43.0,10.0,8.0,17.0,65.0,34.0,23.0,30.0
3456,18.0,13.0,5.0,22.0,27.0,7.0,10.0,16.0,2.0,62.0,21.0,0.0,45.0,25.0,38.0,9.0,49.0,50.0,44.0,39.0,31.0,23.0,6.0,63.0,32.0,46.0,12.0,24.0,29.0,54.0
3505,7.0,12.0,1.0,36.0,14.0,3.0,33.0,13.0,18.0,37.0,53.0,0.0,17.0,44.0,58.0,20.0,51.0,8.0,41.0,30.0,35.0,27.0,16.0,66.0,11.0,40.0,52.0,24.0,28.0,23.0
3554,25.0,24.0,3.0,18.0,12.0,38.0,42.0,2.0,66.0,16.0,14.0,5.0,28.0,15.0,32.0,20.0,63.0,52.0,8.0,6.0,35.0,47.0,26.0,41.0,46.0,0.0,7.0,19.0,43.0,37.0
3603,7.0,27.0,65.0,38.0,15.0,6.0,4.0,19.0,31.0,13.0,1.0,10.0,20.0,36.0,24.0,46.0,59.0,30.0,42.0,2.0,23.0,5.0,12.0,61.0,0.0,33.0,39.0,48.0,51.0,60.0
3652,6.0,5.0,33.0,36.0,47.0,25.0,10.0,55.0,0.0,43.0,38.0,2.0,53.0,20.0,46.0,40.0,14.0,54.0,37.0,8.0,29.0,9.0,4.0,61.0,41.0,28.0,18.0,44.0,22.0,3.0
3701,1.0,36.0,10.0,56.0,8.0,5.0,53.0,13.0,37.0,33.0,28.0,46.0,45.0,54.0,22.0,29.0,32.0,59.0,31.0,4.0,25.0,17.0,26.0,34.0,18.0,42.0,14.0,9.0,27.0,64.0
3750,3.0,23.0,9.0,54.0,14.0,56.0,41.0,38.0,44.0,42.0,0.0,6.0,25.0,35.0,22.0,57.0,53.0,27.0,32.0,11.0,7.0,15.0,4.0,16.0,58.0,31.0,5.0,19.0,29.0,39.0
3799,13.0,11.0,1.0,5.0,10.0,51.0,14.0,23.0,34.0,22.0,20.0,3.0,33.0,47.0,28.0,2.0,4.0,8.0,53.0,12.0,24.0,35.0,7.0,64.0,16.0,31.0,9.0,40.0,52.0,39.0
3848,16.0,50.0,1.0,39.0,6.0,55.0,40.0,32.0,30.0,45.0,25.0,31.0,11.0,43.0,5.0,49.0,3.0,36.0,29.0,14.0,19.0,18.0,9.0,8.0,58.0,10.0,35.0,2.0,56.0,28.0
3897,8.0,31.0,40.0,19.0,20.0,11.0,13.0,0.0,36.0,12.0,52.0,3.0,15.0,61.0,10.0,16.0,2.0,39.0,43.0,65.0,21.0,5.0,7.0,1.0,6.0,23.0,32.0,26.0,51.0,33.0
3946,1.0,28.0,16.0,6.0,26.0,55.0,3.0,17.0,19.0,2.0,30.0,35.0,8.0,7.0,56.0,50.0,48.0,43.0,21.0,23.0,5.0,47.0,36.0,49.0,34.0,22.0,44.0,25.0,53.0,57.0
3995,34.0,15.0,25.0,11.0,22.0,24.0,13.0,64.0,28.0,39.0,45.0,43.0,41.0,16.0,48.0,12.0,14.0,0.0,32.0,5.0,35.0,54.0,27.0,59.0,21.0,57.0,40.0,49.0,31.0,17.0
4044,6.0,37.0,34.0,23.0,17.0,4.0,21.0,10.0,30.0,11.0,13.0,25.0,16.0,22.0,33.0,42.0,35.0,57.0,7.0,31.0,46.0,32.0,52.0,29.0,48.0,1.0,49.0,43.0,45.0,26.0
4093,4.0,16.0,42.0,11.0,7.0,25.0,12.0,21.0,61.0,27.0,2.0,20.0,15.0,22.0,10.0,56.0,62.0,33.0,29.0,57.0,6.0,17.0,43.0,38.0,35.0,9.0,53.0,40.0,47.0,28.0
4142,4.0,19.0,13.0,25.0,22.0,61.0,30.0,20.0,8.0,37.0,14.0,53.0,31.0,2.0,42.0,38.0,15.0,34.0,16.0,12.0,40.0,26.0,45.0,28.0,50.0,21.0,0.0,33.0,46.0,48.0
4191,5.0,9.0,16.0,33.0,14.0,0.0,17.0,20.0,53.0,57.0,55.0,39.0,23.0,11.0,10.0,12.0,2.0,8.0,25.0,43.0,29.0,15.0,32.0,60.0,50.0,13.0,7.0,37.0,40.0,22.0
4240,9.0,7.0,0.0,1.0,11.0,55.0,10.0,14.0,16.0,60.0,18.0,35.0,12.0,58.0,2.0,3.0,50.0,34.0,17.0,40.0,25.0,43.0,26.0,33.0,30.0,36.0,31.0,52.0,53.0,59.0
4289,10.0,13.0,21.0,19.0,6.0,12.0,7.0,3.0,48.0,45.0,17.0,24.0,53.0,1.0,59.0,20.0,32.0,15.0,29.0,16.0,50.0,40.0,52.0,31.0,28.0,57.0,23.0,56.0,44.0,58.0
4338,23.0,5.0,2.0,4.0,41.0,13.0,42.0,1.0,27.0,28.0,35.0,24.0,11.0,25.0,33.0,0.0,43.0,17.0,31.0,36.0,21.0,29.0,34.0,49.0,59.0,32.0,47.0,20.0,14.0,45.0
4387,3.0,16.0,6.0,4.0,14.0,15.0,12.0,36.0,59.0,24.0,20.0,32.0,17.0,25.0,41.0,18.0,11.0,35.0,40.0,48.0,1.0,30.0,27.0,58.0,22.0,8.0,55.0,39.0,47.0,53.0
4436,9.0,23.0,20.0,35.0,43.0,11.0,12.0,31.0,57.0,16.0,47.0,55.0,28.0,29.0,13.0,24.0,10.0,22.0,49.0,3.0,39.0,30.0,52.0,60.0,14.0,48.0,46.0,37.0,34.0,36.0
4485,25.0,14.0,49.0,24.0,40.0,11.0,44.0,12.0,56.0,26.0,6.0,2.0,29.0,52.0,15.0,3.0,16.0,19.0,35.0,18.0,1.0,22.0,55.0,13.0,23.0,36.0,53.0,27.0,31.0,28.0
4534,3.0,30.0,40.0,1.0,25.0,0.0,15.0,52.0,16.0,32.0,20.0,9.0,43.0,22.0,44.0,27.0,23.0,55.0,48.0,5.0,8.0,51.0,33.0,66.0,11.0,26.0,36.0,47.0,10.0,57.0
4583,30.0,2.0,55.0,48.0,39.0,15.0,19.0,65.0,49.0,42.0,60.0,18.0,59.0,22.0,47.0,12.0,27.0,0.0,53.0,21.0,5.0,17.0,8.0,62.0,33.0,34.0,14.0,1.0,31.0,3.0
4632,17.0,11.0,41.0,2.0,18.0,4.0,31.0,63.0,22.0,26.0,9.0,35.0,14.0,12.0,55.0,5.0,13.0,51.0,30.0,7.0,66.0,32.0,23.0,16.0,33.0,0.0,38.0,10.0,21.0,42.0
4681,1.0,13.0,43.0,6.0,19.0,7.0,33.0,52.0,10.0,18.0,15.0,16.0,61.0,35.0,17.0,22.0,46.0,5.0,56.0,26.0,62.0,63.0,49.0,20.0,30.0,36.0,11.0,29.0,2.0,23.0
4730,1.0,24.0,15.0,12.0,32.0,5.0,30.0,39.0,21.0,13.0,16.0,53.0,41.0,23.0,10.0,29.0,37.0,22.0,35.0,34.0,55.0,44.0,40.0,58.0,50.0,59.0,33.0,26.0,9.0,46.0
4779,52.0,25.0,29.0,17.0,23.0,12.0,8.0,48.0,24.0,15.0,40.0,36.0,32.0,18.0,9.0,0.0,11.0,56.0,37.0,5.0,19.0,30.0,46.0,45.0,1.0,28.0,6.0,34.0,20.0,13.0
4828,5.0,22.0,26.0,28.0,18.0,43.0,7.0,60.0,16.0,34.0,4.0,51.0,33.0,11.0,27.0,12.0,21.0,8.0,46.0,48.0,38.0,41.0,53.0,32.0,3.0,35.0,63.0,50.0,1.0,14.0
4877,2.0,26.0,47.0,32.0,10.0,8.0,13.0,33.0,11.0,15.0,6.0,23.0,22.0,41.0,24.0,48.0,9.0,17.0,20.0,31.0,57.0,63.0,25.0,61.0,66.0,36.0,38.0,46.0,29.0,19.0
