,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,BRAF.MC_MUT,OR2T34_AMP,DPP6_DEL,OR51A2_DEL,ZBTB20_AMP,SORD_AMP,ARHGEF5_AMP,LOC100287534_AMP,RHD_DEL,MAML3_MUT,AMY2A_DEL,PTPRC_MUT,BMPR2_AMP,NRXN3_DEL,HLA-H_DEL,GSTTP1_AMP,ZNF705G_AMP,HLA-DQB1_DEL,KIAA1217_DEL,NSFP1_DEL,RPS17_AMP,HERC2P2_AMP,OR2T29_AMP,ODZ3_DEL,UBE2Q2P2_AMP,RPS17L_AMP,PRSS3P2_DEL
2284,0.0,1.0,2.0,5.0,8.0,3.0,80.0,16.0,10.0,28.0,6.0,13.0,25.0,44.0,37.0,18.0,24.0,35.0,170.0,17.0,38.0,15.0,392.0,58.0,4.0,92.0,34.0,54.0,55.0,75.0
2333,0.0,1.0,7.0,4.0,5.0,2.0,57.0,22.0,14.0,11.0,42.0,9.0,10.0,8.0,24.0,18.0,13.0,69.0,16.0,15.0,70.0,31.0,404.0,49.0,3.0,91.0,25.0,50.0,48.0,231.0
2382,0.0,1.0,4.0,3.0,5.0,2.0,6.0,26.0,59.0,11.0,8.0,18.0,111.0,15.0,17.0,22.0,24.0,20.0,23.0,31.0,54.0,72.0,102.0,43.0,10.0,74.0,7.0,47.0,44.0,117.0
2431,0.0,1.0,5.0,2.0,14.0,4.0,15.0,45.0,35.0,34.0,221.0,23.0,33.0,18.0,46.0,22.0,26.0,866.0,36.0,19.0,218.0,30.0,307.0,6.0,3.0,128.0,12.0,10.0,8.0,13401.0
2480,0.0,1.0,7.0,4.0,18.0,26.0,3.0,14.0,78.0,2.0,135.0,91.0,23.0,20.0,25.0,117.0,31.0,79.0,80.0,5.0,47.0,19.0,261.0,9.0,30.0,175.0,109.0,13.0,10.0,2743.0
2529,0.0,1.0,42.0,9.0,25.0,10.0,2.0,11.0,5.0,58.0,63.0,34.0,36.0,24.0,41.0,272.0,22.0,8.0,16.0,4.0,66.0,23.0,67.0,27.0,19.0,634.0,168.0,30.0,28.0,112.0
2578,0.0,1.0,5.0,2.0,3.0,9.0,7.0,4.0,23.0,8.0,10.0,18.0,15.0,25.0,13.0,29.0,50.0,60.0,47.0,6.0,37.0,1706.0,308.0,30.0,17.0,43.0,240.0,33.0,32.0,729.0
2627,0.0,1.0,3.0,5.0,15.0,14.0,4.0,8.0,2.0,7.0,29.0,60.0,12.0,13.0,44.0,81.0,18.0,11.0,112.0,6.0,43.0,14772.0,135.0,35.0,20.0,125.0,192.0,32.0,33.0,52.0
2676,0.0,1.0,12.0,4.0,5.0,15.0,2.0,3.0,332.0,6.0,64.0,16.0,19.0,9.0,26.0,153.0,47.0,18.0,40.0,8.0,251.0,1310.0,260.0,22.0,62.0,59.0,89.0,23.0,25.0,335.0
2725,0.0,1.0,2.0,4.0,5.0,39.0,3.0,8.0,33.0,11.0,12.0,36.0,14.0,7.0,15.0,164.0,28.0,26.0,24.0,6.0,40.0,320.0,124.0,23.0,43.0,81.0,47.0,21.0,22.0,1436.0
2774,0.0,1.0,8.0,4.0,3.0,50.0,6.0,12.0,59.0,7.0,30.0,26.0,14.0,41.0,10.0,91.0,53.0,11.0,72.0,5.0,45.0,84.0,68.0,36.0,69.0,92.0,275.0,33.0,34.0,1788.0
2823,0.0,1.0,4.0,2.0,22.0,6.0,3.0,8.0,5.0,15.0,16.0,44.0,14.0,18.0,17.0,37.0,31.0,13.0,32.0,9.0,12.0,139.0,108.0,25.0,7.0,129.0,71.0,27.0,26.0,941.0
2872,0.0,1.0,5.0,9.0,4.0,16.0,2.0,10.0,15.0,3.0,12.0,89.0,27.0,25.0,31.0,134.0,77.0,36.0,20.0,7.0,22.0,1205.0,62.0,42.0,35.0,99.0,50.0,41.0,44.0,58.0
2921,0.0,1.0,12.0,3.0,5.0,9.0,2.0,20.0,16.0,11.0,34.0,18.0,38.0,6.0,17.0,88.0,86.0,329.0,10.0,4.0,37.0,28.0,115.0,53.0,47.0,153.0,80.0,52.0,56.0,158.0
2970,0.0,1.0,6.0,5.0,2.0,3.0,7.0,18.0,4.0,15.0,37.0,67.0,9.0,49.0,11.0,21.0,23.0,8.0,47.0,32.0,26.0,158.0,117.0,38.0,64.0,14.0,167.0,42.0,41.0,276.0
3019,0.0,1.0,2.0,5.0,4.0,7.0,3.0,15.0,9.0,19.0,17.0,21.0,20.0,73.0,16.0,101.0,24.0,29.0,150.0,58.0,6.0,4164.0,25.0,50.0,26.0,13.0,114.0,51.0,47.0,12.0
3068,0.0,1.0,4.0,3.0,2.0,8.0,12.0,21.0,11.0,25.0,58.0,55.0,14.0,20.0,7.0,30.0,22.0,6.0,17.0,47.0,18.0,1796.0,16.0,36.0,57.0,34.0,180.0,39.0,38.0,84.0
3117,0.0,1.0,3.0,4.0,2.0,5.0,24.0,6.0,7.0,8.0,14.0,119.0,30.0,25.0,9.0,163.0,36.0,23.0,49.0,40.0,38.0,185.0,13.0,35.0,39.0,19.0,37.0,31.0,32.0,22.0
3166,0.0,1.0,4.0,14.0,3.0,37.0,7.0,29.0,2.0,10.0,26.0,655.0,23.0,28.0,22.0,61.0,38.0,9.0,16.0,19.0,15.0,134.0,17.0,32.0,44.0,46.0,52.0,31.0,34.0,6.0
3215,0.0,1.0,3.0,5.0,4.0,2.0,13.0,18.0,8.0,17.0,9.0,26.0,27.0,143.0,15.0,11.0,37.0,10.0,107.0,39.0,21.0,56.0,19.0,88.0,7.0,64.0,51.0,89.0,87.0,24.0
3264,0.0,1.0,4.0,6.0,5.0,2.0,8.0,39.0,7.0,22.0,42.0,69.0,23.0,14.0,10.0,78.0,24.0,20.0,35.0,19.0,12.0,1563.0,74.0,31.0,18.0,26.0,34.0,28.0,29.0,47.0
3313,0.0,1.0,4.0,5.0,6.0,3.0,31.0,7.0,2.0,22.0,33.0,118.0,24.0,89.0,15.0,29.0,18.0,12.0,47.0,63.0,32.0,5206.0,88.0,57.0,260.0,35.0,28.0,59.0,58.0,14.0
3362,0.0,2.0,1.0,5.0,6.0,3.0,25.0,10.0,11.0,4.0,32.0,145.0,15.0,64.0,24.0,74.0,28.0,8.0,29.0,83.0,7.0,2309.0,66.0,36.0,19.0,22.0,31.0,39.0,35.0,16.0
3411,0.0,1.0,2.0,5.0,6.0,8.0,54.0,40.0,4.0,252.0,64.0,189.0,20.0,13.0,685.0,57.0,11.0,3.0,32.0,50.0,7.0,1713.0,21.0,448.0,9.0,14.0,25.0,450.0,446.0,231.0
3460,0.0,1.0,27.0,4.0,51.0,2.0,8.0,3.0,14.0,15.0,1493.0,23.0,53.0,36.0,694.0,35.0,96.0,510.0,84.0,61.0,181.0,80.0,7.0,21.0,6.0,92.0,52.0,19.0,20.0,586.0
3509,0.0,1.0,29.0,4.0,41.0,3.0,57.0,2.0,71.0,56.0,231.0,22.0,37.0,25.0,144.0,44.0,97.0,16.0,64.0,13.0,252.0,15.0,5.0,51.0,11.0,166.0,28.0,49.0,50.0,80.0
3558,0.0,1.0,7.0,4.0,16.0,3.0,19.0,2.0,12.0,25.0,708.0,6.0,11.0,22.0,664.0,99.0,72.0,5.0,89.0,657.0,350.0,15.0,14.0,56.0,124.0,26.0,43.0,59.0,58.0,506.0
3607,0.0,1.0,13.0,3.0,70.0,4.0,68.0,2.0,44.0,8.0,1165.0,20.0,58.0,11.0,121.0,19.0,168.0,92.0,42.0,12.0,1911.0,31.0,49.0,53.0,16.0,99.0,51.0,54.0,52.0,60.0
3656,0.0,1.0,5.0,3.0,35.0,4.0,12.0,2.0,11.0,13.0,476.0,9.0,24.0,10.0,221.0,91.0,72.0,43.0,93.0,45.0,44.0,84.0,7.0,16.0,8.0,87.0,74.0,14.0,15.0,55.0
3705,0.0,1.0,10.0,3.0,14.0,4.0,19.0,2.0,5.0,11.0,3293.0,6.0,28.0,8.0,209.0,17.0,45.0,79.0,939.0,37.0,163.0,7.0,16.0,62.0,9.0,35.0,71.0,63.0,60.0,39.0
3754,0.0,1.0,19.0,3.0,31.0,2.0,271.0,4.0,10.0,42.0,846.0,11.0,14.0,56.0,112.0,57.0,48.0,109.0,104.0,202.0,920.0,8.0,7.0,39.0,136.0,51.0,58.0,37.0,41.0,101.0
3803,0.0,1.0,15.0,3.0,6.0,5.0,43.0,2.0,10.0,14.0,410.0,7.0,25.0,9.0,153.0,70.0,76.0,22.0,78.0,71.0,35.0,42.0,11.0,64.0,8.0,34.0,46.0,63.0,65.0,28.0
3852,0.0,1.0,8.0,3.0,50.0,2.0,6.0,4.0,32.0,36.0,301.0,9.0,15.0,14.0,373.0,102.0,56.0,108.0,211.0,29.0,183.0,23.0,7.0,2116.0,91.0,78.0,24.0,2115.0,2112.0,48.0
3901,0.0,1.0,6.0,5.0,24.0,2.0,74.0,3.0,4.0,104.0,193.0,30.0,12.0,17.0,135.0,14.0,22.0,8.0,158.0,61.0,68.0,26.0,47.0,79.0,9.0,38.0,13.0,78.0,76.0,100.0
3950,0.0,1.0,6.0,2.0,11.0,3.0,47.0,32.0,4.0,27.0,13.0,12.0,16.0,22.0,64.0,33.0,88.0,53.0,73.0,10.0,39.0,90.0,83.0,20.0,15.0,77.0,51.0,19.0,21.0,37.0
3999,0.0,1.0,10.0,2.0,7.0,3.0,12.0,13.0,17.0,11.0,22.0,14.0,24.0,26.0,25.0,173.0,27.0,4.0,64.0,37.0,29.0,38.0,20.0,40.0,6.0,36.0,23.0,41.0,43.0,8.0
4048,0.0,1.0,4.0,3.0,12.0,2.0,32.0,8.0,5.0,6.0,16.0,13.0,30.0,15.0,22.0,20.0,117.0,14.0,100.0,29.0,7.0,1629.0,26.0,79.0,35.0,21.0,59.0,77.0,81.0,9.0
4097,0.0,1.0,7.0,3.0,13.0,2.0,27.0,5.0,4.0,31.0,17.0,18.0,14.0,11.0,56.0,42.0,36.0,68.0,22.0,67.0,43.0,6.0,57.0,84.0,47.0,54.0,25.0,87.0,88.0,23.0
4146,0.0,1.0,2.0,5.0,9.0,3.0,30.0,23.0,4.0,11.0,84.0,10.0,32.0,54.0,63.0,58.0,29.0,16.0,51.0,97.0,8.0,104.0,24.0,37.0,15.0,26.0,110.0,34.0,36.0,7.0
4195,0.0,1.0,4.0,3.0,19.0,2.0,20.0,9.0,7.0,16.0,8.0,11.0,14.0,10.0,52.0,13.0,35.0,23.0,50.0,38.0,15.0,61.0,130.0,42.0,58.0,48.0,12.0,40.0,39.0,5.0
4244,0.0,1.0,3.0,4.0,5.0,7.0,14.0,26.0,2.0,11.0,9.0,6.0,10.0,31.0,28.0,71.0,43.0,32.0,24.0,68.0,8.0,109.0,151.0,22.0,50.0,12.0,44.0,19.0,20.0,16.0
4293,0.0,1.0,4.0,3.0,6.0,2.0,20.0,82.0,5.0,9.0,43.0,14.0,29.0,8.0,37.0,45.0,44.0,49.0,7.0,48.0,40.0,22.0,66.0,31.0,63.0,47.0,18.0,33.0,30.0,11.0
4342,0.0,1.0,2.0,5.0,44.0,3.0,14.0,7.0,4.0,9.0,17.0,16.0,13.0,36.0,33.0,60.0,65.0,55.0,20.0,23.0,27.0,802.0,41.0,51.0,10.0,207.0,30.0,49.0,47.0,11.0
4391,0.0,1.0,6.0,8.0,42.0,2.0,3.0,197.0,11.0,13.0,52.0,22.0,20.0,25.0,27.0,243.0,51.0,67.0,33.0,49.0,7.0,95.0,53.0,44.0,10.0,75.0,9.0,46.0,48.0,4.0
4440,0.0,1.0,2.0,4.0,5.0,40.0,16.0,6.0,27.0,10.0,3.0,36.0,18.0,7.0,9.0,19.0,186.0,26.0,21.0,17.0,20.0,46.0,29.0,148.0,607.0,22.0,137.0,145.0,144.0,61.0
4489,0.0,1.0,2.0,4.0,10.0,6.0,3.0,14.0,707.0,33.0,5.0,8.0,7.0,25.0,11.0,66.0,29.0,15.0,37.0,21.0,13.0,9.0,28.0,54.0,242.0,92.0,27.0,50.0,52.0,42.0
4538,0.0,1.0,2.0,3.0,4.0,13.0,7.0,6.0,52.0,34.0,10.0,5.0,58.0,8.0,31.0,33.0,40.0,38.0,27.0,11.0,26.0,59.0,17.0,21.0,54.0,23.0,88.0,19.0,20.0,56.0
4587,0.0,1.0,2.0,4.0,8.0,5.0,7.0,31.0,29.0,18.0,3.0,11.0,9.0,15.0,14.0,34.0,38.0,1163.0,6.0,36.0,19.0,13.0,12.0,63.0,251.0,79.0,41.0,65.0,62.0,25.0
4636,0.0,1.0,2.0,4.0,6.0,9.0,8.0,14.0,16.0,23.0,3.0,5.0,19.0,15.0,13.0,7.0,30.0,24.0,17.0,32.0,10.0,46.0,55.0,58.0,36.0,37.0,316.0,57.0,56.0,11.0
4685,0.0,2.0,1.0,5.0,14.0,8.0,6.0,4.0,77.0,12.0,3.0,36.0,13.0,51.0,9.0,26.0,46.0,7.0,21.0,71.0,22.0,39.0,11.0,222.0,3890.0,50.0,70.0,221.0,224.0,18.0
4734,0.0,1.0,4.0,7.0,3.0,13.0,2.0,11.0,35.0,5.0,19.0,20.0,14.0,34.0,22.0,38.0,168.0,87.0,17.0,6.0,8.0,46.0,57.0,25.0,41.0,61.0,83.0,26.0,23.0,47.0
4783,0.0,1.0,3.0,2.0,7.0,6.0,11.0,5.0,31.0,63.0,4.0,8.0,15.0,10.0,13.0,33.0,39.0,207.0,19.0,20.0,23.0,27.0,317.0,143.0,200.0,34.0,56.0,144.0,142.0,17.0
4832,0.0,1.0,2.0,3.0,10.0,77.0,6.0,54.0,15.0,41.0,24.0,4.0,7.0,5.0,8.0,21.0,39.0,18.0,16.0,26.0,78.0,191.0,88.0,31.0,33.0,183.0,20.0,28.0,27.0,71.0
4881,0.0,1.0,7.0,3.0,2.0,8.0,10.0,6.0,33.0,14.0,16.0,12.0,13.0,15.0,11.0,21.0,40.0,87.0,25.0,24.0,19.0,5.0,17.0,107.0,283.0,22.0,81.0,108.0,109.0,183.0
