,SLFN11,XIST,KHDC1,RPSAP53,MX2,TSPYL5,HIC1,AP000783.1,KRT17P3,MAGEC2,AC124789.1,ZNF215,SMAP1,CTD-2203K17.1,SLFN12,Y_RNA,HNRNPUL1,AC093627.9,RP11-177C12.1,SPTBN2,TUBA3E,FHOD3,AC006050.2,INHBA,RP11-649A18.7,NDN,RPSAP47,LEPREL2,GPX1P1,RP11-834C11.4
695,0.0,1.0,2.0,8.0,21.0,3.0,7.0,15.0,5.0,42.0,18.0,128.0,20.0,95.0,46.0,12.0,53.0,37.0,26.0,126.0,34.0,52.0,62.0,57.0,9.0,13.0,66.0,55.0,111.0,36.0
744,0.0,1.0,2.0,4.0,86.0,6.0,9.0,24.0,11.0,85.0,7.0,16.0,22.0,10.0,29.0,35.0,19.0,36.0,37.0,12.0,26.0,105.0,115.0,48.0,3.0,91.0,27.0,169.0,76.0,93.0
793,0.0,11.0,3.0,9.0,27.0,1.0,93.0,55.0,12.0,349.0,19.0,598.0,13.0,62.0,38.0,448.0,57.0,35.0,34.0,33.0,5.0,52.0,85.0,56.0,2.0,39.0,64.0,51.0,1224.0,69.0
842,0.0,3.0,2.0,1.0,124.0,10.0,9.0,15.0,18.0,244.0,60.0,26.0,14.0,79.0,36.0,7.0,47.0,321.0,23.0,209.0,152.0,22.0,2973.0,72.0,8.0,4.0,25.0,1217.0,45.0,999.0
891,0.0,18.0,1.0,2.0,8.0,37.0,6.0,4.0,34.0,16.0,63.0,114.0,62.0,5.0,9.0,3.0,120.0,30.0,56.0,100.0,10.0,15.0,83.0,39.0,24.0,64.0,52.0,23.0,163.0,697.0
940,0.0,16.0,1.0,2.0,10.0,5.0,4.0,3.0,18.0,550.0,24.0,37.0,58.0,34.0,8.0,19.0,87.0,63.0,55.0,223.0,92.0,17.0,907.0,88.0,21.0,116.0,9.0,31.0,271.0,228.0
989,0.0,3.0,2.0,33.0,1.0,24.0,27.0,41.0,15.0,215.0,72.0,181.0,17.0,20.0,26.0,12.0,30.0,25.0,11.0,14.0,742.0,102.0,1470.0,68.0,86.0,23.0,233.0,22.0,7.0,34.0
1038,0.0,2.0,4.0,5.0,1.0,61.0,12.0,14.0,137.0,71.0,9.0,74.0,56.0,37.0,8.0,40.0,21.0,26.0,10.0,94.0,1252.0,19.0,3227.0,22.0,203.0,7.0,27.0,167.0,32.0,298.0
1087,0.0,3.0,4.0,13.0,2.0,51.0,16.0,69.0,21.0,32.0,175.0,60.0,59.0,19.0,15.0,113.0,14.0,20.0,54.0,29.0,123.0,18.0,228.0,11.0,91.0,5.0,83.0,688.0,1.0,35.0
1136,0.0,3.0,2.0,5.0,1.0,4.0,11.0,14.0,25.0,102.0,41.0,304.0,23.0,7.0,13.0,34.0,15.0,18.0,28.0,9.0,234.0,27.0,459.0,8.0,107.0,60.0,59.0,43.0,42.0,21.0
1185,0.0,2.0,3.0,40.0,1.0,23.0,6.0,18.0,25.0,32.0,27.0,26.0,42.0,30.0,28.0,78.0,31.0,33.0,24.0,9.0,371.0,44.0,536.0,5.0,568.0,29.0,195.0,81.0,13.0,43.0
1234,0.0,4.0,2.0,17.0,1.0,44.0,7.0,8.0,35.0,51.0,148.0,67.0,10.0,9.0,11.0,30.0,21.0,26.0,27.0,19.0,203.0,3.0,310.0,24.0,75.0,5.0,205.0,12.0,49.0,18.0
1283,0.0,2.0,4.0,13.0,1.0,44.0,11.0,8.0,14.0,54.0,190.0,17.0,41.0,24.0,18.0,16.0,29.0,6.0,35.0,10.0,298.0,20.0,254.0,7.0,47.0,12.0,60.0,33.0,102.0,19.0
1332,0.0,9.0,4.0,12.0,1.0,70.0,14.0,6.0,17.0,15.0,10.0,109.0,35.0,45.0,37.0,68.0,18.0,13.0,38.0,7.0,302.0,102.0,792.0,11.0,99.0,8.0,75.0,34.0,3.0,42.0
1381,0.0,15.0,2.0,39.0,1.0,10.0,162.0,9.0,65.0,14.0,29.0,253.0,12.0,165.0,32.0,293.0,30.0,6.0,23.0,8.0,118.0,160.0,465.0,11.0,82.0,4.0,217.0,26.0,5.0,73.0
1430,0.0,199.0,2.0,3.0,1.0,197.0,10.0,4.0,24.0,25.0,95.0,15.0,60.0,28.0,29.0,22.0,55.0,31.0,71.0,9.0,171.0,27.0,140.0,92.0,557.0,13.0,466.0,18.0,12.0,77.0
1479,0.0,37.0,2.0,7.0,1.0,49.0,6.0,11.0,35.0,25.0,20.0,28.0,41.0,12.0,17.0,29.0,179.0,4.0,72.0,43.0,106.0,210.0,349.0,24.0,152.0,204.0,141.0,45.0,498.0,194.0
1528,0.0,58.0,24.0,7.0,2.0,46.0,8.0,10.0,39.0,50.0,84.0,167.0,331.0,13.0,16.0,92.0,34.0,3.0,57.0,12.0,11.0,4.0,18.0,206.0,211.0,37.0,271.0,97.0,172.0,587.0
1577,0.0,2.0,3.0,5.0,4.0,15.0,14.0,21.0,13.0,6.0,34.0,62.0,25.0,11.0,35.0,7.0,88.0,9.0,55.0,61.0,17.0,24.0,45.0,59.0,37.0,94.0,47.0,44.0,76.0,156.0
1626,0.0,6.0,2.0,7.0,8.0,13.0,9.0,42.0,82.0,15.0,41.0,204.0,29.0,32.0,14.0,4.0,31.0,3.0,59.0,36.0,53.0,57.0,12.0,849.0,40.0,108.0,63.0,24.0,120.0,33.0
1675,0.0,6.0,2.0,10.0,16.0,323.0,9.0,26.0,52.0,260.0,452.0,11.0,56.0,5.0,19.0,3.0,48.0,288.0,149.0,54.0,241.0,121.0,193.0,34.0,102.0,39.0,913.0,84.0,38.0,1622.0
1724,0.0,10.0,2.0,1.0,14.0,62.0,7.0,8.0,12.0,6.0,16.0,39.0,101.0,11.0,9.0,5.0,220.0,4.0,27.0,19.0,24.0,90.0,28.0,64.0,13.0,136.0,36.0,37.0,137.0,405.0
1773,0.0,15.0,3.0,12.0,19.0,31.0,18.0,1.0,9.0,23.0,24.0,52.0,37.0,63.0,14.0,2.0,72.0,4.0,22.0,132.0,29.0,166.0,27.0,118.0,70.0,262.0,75.0,16.0,405.0,190.0
1822,0.0,2.0,1.0,9.0,19.0,45.0,21.0,26.0,12.0,16.0,336.0,111.0,85.0,7.0,35.0,3.0,58.0,6.0,62.0,8.0,20.0,42.0,231.0,136.0,37.0,117.0,109.0,31.0,1204.0,271.0
1871,0.0,68.0,9.0,5.0,7.0,28.0,186.0,4.0,13.0,10.0,84.0,247.0,106.0,20.0,11.0,137.0,64.0,2.0,29.0,8.0,34.0,120.0,30.0,15.0,26.0,16.0,138.0,39.0,89.0,22.0
1920,0.0,1.0,2.0,3.0,15.0,117.0,8.0,27.0,9.0,18.0,43.0,289.0,145.0,6.0,11.0,13.0,31.0,5.0,74.0,95.0,23.0,64.0,58.0,38.0,66.0,103.0,171.0,45.0,21.0,81.0
1969,0.0,4.0,1.0,2.0,6.0,18.0,7.0,5.0,20.0,44.0,75.0,150.0,38.0,49.0,33.0,3.0,50.0,17.0,27.0,15.0,34.0,184.0,42.0,26.0,19.0,47.0,78.0,22.0,10.0,25.0
2018,0.0,2.0,1.0,6.0,16.0,12.0,40.0,22.0,9.0,114.0,134.0,13.0,14.0,18.0,211.0,4.0,50.0,86.0,37.0,30.0,41.0,27.0,214.0,230.0,32.0,19.0,310.0,42.0,17.0,45.0
2067,0.0,1.0,4.0,10.0,3.0,2.0,6.0,8.0,17.0,66.0,16.0,22.0,26.0,76.0,97.0,19.0,27.0,32.0,14.0,7.0,55.0,116.0,24.0,34.0,127.0,12.0,433.0,69.0,5.0,13.0
2116,0.0,1.0,2.0,3.0,7.0,6.0,8.0,12.0,15.0,102.0,33.0,14.0,26.0,55.0,51.0,4.0,44.0,92.0,16.0,24.0,25.0,37.0,13.0,101.0,19.0,38.0,41.0,10.0,5.0,21.0
2165,0.0,1.0,3.0,8.0,7.0,4.0,24.0,17.0,25.0,66.0,13.0,11.0,30.0,49.0,6.0,2.0,35.0,27.0,10.0,176.0,58.0,21.0,18.0,53.0,36.0,240.0,5.0,34.0,32.0,14.0
2214,0.0,1.0,3.0,7.0,10.0,5.0,4.0,15.0,39.0,200.0,47.0,52.0,8.0,12.0,41.0,6.0,9.0,129.0,19.0,94.0,106.0,17.0,201.0,53.0,22.0,24.0,56.0,606.0,2.0,16.0
2263,0.0,2.0,7.0,8.0,1.0,5.0,6.0,4.0,45.0,95.0,28.0,50.0,47.0,89.0,105.0,3.0,16.0,33.0,17.0,29.0,15.0,35.0,30.0,36.0,23.0,55.0,174.0,13.0,9.0,48.0
2312,0.0,1.0,7.0,4.0,2.0,5.0,9.0,3.0,42.0,12.0,34.0,13.0,21.0,35.0,99.0,10.0,8.0,64.0,39.0,46.0,22.0,25.0,29.0,16.0,23.0,33.0,37.0,28.0,6.0,27.0
2361,0.0,3.0,9.0,2.0,1.0,7.0,104.0,5.0,16.0,88.0,460.0,24.0,17.0,72.0,87.0,49.0,52.0,21.0,27.0,11.0,145.0,196.0,207.0,14.0,25.0,18.0,33.0,36.0,4.0,10.0
2410,0.0,3.0,5.0,1.0,11.0,4.0,7.0,13.0,25.0,346.0,37.0,102.0,66.0,46.0,6.0,2.0,18.0,21.0,12.0,80.0,27.0,10.0,23.0,42.0,8.0,107.0,19.0,155.0,26.0,39.0
2459,0.0,1.0,4.0,2.0,3.0,28.0,11.0,12.0,53.0,8.0,21.0,6.0,22.0,59.0,97.0,52.0,46.0,38.0,35.0,57.0,16.0,82.0,10.0,119.0,131.0,7.0,71.0,15.0,17.0,19.0
2508,0.0,2.0,3.0,1.0,8.0,39.0,28.0,18.0,10.0,6.0,54.0,5.0,12.0,13.0,35.0,7.0,42.0,34.0,70.0,60.0,25.0,9.0,24.0,89.0,17.0,4.0,19.0,631.0,84.0,146.0
2557,0.0,8.0,2.0,1.0,3.0,5.0,15.0,9.0,13.0,69.0,4.0,34.0,10.0,24.0,49.0,7.0,30.0,16.0,14.0,96.0,21.0,23.0,26.0,218.0,39.0,19.0,18.0,100.0,37.0,131.0
2606,0.0,8.0,20.0,1.0,2.0,180.0,88.0,3.0,10.0,4.0,16.0,15.0,6.0,38.0,5.0,212.0,117.0,29.0,18.0,21.0,108.0,170.0,168.0,48.0,27.0,14.0,7.0,25.0,694.0,11.0
2655,0.0,1.0,3.0,2.0,6.0,35.0,9.0,8.0,7.0,15.0,24.0,4.0,25.0,14.0,87.0,5.0,20.0,53.0,18.0,38.0,19.0,17.0,191.0,161.0,16.0,106.0,75.0,11.0,45.0,289.0
2704,0.0,6.0,1.0,2.0,23.0,266.0,25.0,24.0,19.0,8.0,10.0,4.0,36.0,14.0,12.0,3.0,181.0,5.0,32.0,137.0,41.0,62.0,16.0,235.0,35.0,89.0,9.0,60.0,61.0,22.0
2753,0.0,2.0,3.0,1.0,7.0,6.0,4.0,19.0,20.0,31.0,17.0,8.0,27.0,40.0,9.0,497.0,36.0,219.0,14.0,138.0,114.0,57.0,181.0,102.0,127.0,5.0,227.0,1650.0,15.0,107.0
2802,0.0,7.0,14.0,1.0,2.0,12.0,10.0,5.0,45.0,8.0,171.0,24.0,64.0,13.0,25.0,28.0,21.0,6.0,32.0,31.0,15.0,3.0,22.0,40.0,57.0,9.0,39.0,46.0,123.0,59.0
2851,0.0,4.0,12.0,2.0,1.0,129.0,40.0,9.0,15.0,6.0,13.0,3.0,24.0,16.0,56.0,8.0,22.0,245.0,28.0,35.0,42.0,36.0,25.0,275.0,30.0,11.0,63.0,119.0,17.0,70.0
2900,0.0,3.0,9.0,1.0,6.0,15.0,40.0,7.0,13.0,8.0,5.0,4.0,23.0,99.0,10.0,12.0,20.0,35.0,17.0,112.0,18.0,151.0,22.0,61.0,50.0,44.0,2.0,47.0,123.0,371.0
2949,0.0,1.0,2.0,8.0,3.0,5.0,6.0,33.0,104.0,19.0,17.0,62.0,34.0,18.0,14.0,35.0,131.0,22.0,53.0,28.0,16.0,58.0,15.0,13.0,73.0,78.0,39.0,4.0,20.0,27.0
2998,0.0,1.0,8.0,13.0,5.0,2.0,22.0,16.0,33.0,3.0,4.0,243.0,17.0,28.0,30.0,21.0,23.0,6.0,25.0,40.0,54.0,162.0,24.0,12.0,39.0,38.0,9.0,11.0,7.0,31.0
3047,0.0,1.0,3.0,9.0,11.0,2.0,12.0,14.0,52.0,44.0,24.0,127.0,10.0,8.0,21.0,5.0,33.0,20.0,28.0,26.0,16.0,85.0,90.0,23.0,25.0,17.0,27.0,6.0,117.0,19.0
3096,0.0,1.0,21.0,14.0,5.0,2.0,38.0,55.0,77.0,39.0,278.0,1713.0,19.0,23.0,10.0,399.0,31.0,25.0,30.0,11.0,7.0,12.0,17.0,3.0,9.0,22.0,47.0,33.0,83.0,6.0
3145,0.0,2.0,3.0,32.0,19.0,1.0,7.0,17.0,35.0,33.0,13.0,149.0,12.0,56.0,21.0,9.0,25.0,8.0,26.0,44.0,22.0,36.0,16.0,6.0,50.0,72.0,29.0,5.0,226.0,24.0
3194,0.0,1.0,2.0,3.0,4.0,6.0,5.0,16.0,117.0,12.0,28.0,109.0,29.0,8.0,14.0,20.0,96.0,18.0,55.0,27.0,21.0,204.0,35.0,10.0,64.0,80.0,11.0,9.0,25.0,13.0
3243,0.0,1.0,15.0,5.0,4.0,9.0,13.0,29.0,241.0,11.0,154.0,70.0,19.0,6.0,39.0,21.0,7.0,54.0,92.0,27.0,14.0,12.0,17.0,3.0,48.0,82.0,18.0,28.0,37.0,10.0
3292,0.0,1.0,6.0,3.0,4.0,2.0,5.0,33.0,108.0,32.0,12.0,58.0,15.0,51.0,87.0,198.0,29.0,14.0,23.0,18.0,19.0,47.0,24.0,16.0,80.0,9.0,42.0,31.0,39.0,8.0
3341,0.0,1.0,6.0,2.0,90.0,16.0,3.0,9.0,839.0,35.0,5.0,17.0,14.0,34.0,163.0,15.0,36.0,24.0,19.0,114.0,62.0,47.0,187.0,89.0,63.0,7.0,10.0,75.0,462.0,8.0
3390,0.0,1.0,4.0,21.0,3.0,13.0,12.0,31.0,70.0,30.0,23.0,9.0,7.0,14.0,10.0,53.0,128.0,95.0,39.0,149.0,224.0,515.0,351.0,5.0,163.0,20.0,42.0,52.0,11.0,17.0
3439,0.0,1.0,3.0,4.0,9.0,17.0,274.0,27.0,12.0,2.0,7.0,11.0,15.0,50.0,105.0,1165.0,89.0,231.0,60.0,5.0,49.0,507.0,6.0,36.0,44.0,23.0,59.0,26.0,8.0,21.0
3488,0.0,11.0,1.0,2.0,14.0,28.0,19.0,7.0,8.0,6.0,23.0,3.0,53.0,81.0,139.0,18.0,22.0,67.0,83.0,36.0,59.0,269.0,12.0,309.0,71.0,56.0,61.0,25.0,4.0,66.0
3537,0.0,1.0,2.0,6.0,3.0,26.0,27.0,323.0,74.0,5.0,37.0,22.0,81.0,12.0,56.0,2688.0,36.0,44.0,122.0,18.0,52.0,10.0,13.0,98.0,66.0,969.0,76.0,7.0,4.0,35.0
3586,0.0,1.0,2.0,3.0,29.0,5.0,25.0,21.0,83.0,7.0,18.0,8.0,32.0,20.0,58.0,71.0,24.0,109.0,64.0,4.0,91.0,760.0,6.0,78.0,48.0,151.0,26.0,11.0,9.0,12.0
3635,0.0,3.0,1.0,2.0,10.0,90.0,15.0,26.0,28.0,50.0,22.0,5.0,18.0,127.0,163.0,48.0,31.0,247.0,35.0,34.0,4773.0,364.0,1837.0,135.0,56.0,156.0,11.0,119.0,4.0,25.0
3684,0.0,1.0,2.0,13.0,7.0,3.0,19.0,15.0,14.0,8.0,5.0,6.0,18.0,26.0,115.0,127.0,57.0,65.0,34.0,16.0,62.0,388.0,10.0,42.0,47.0,297.0,93.0,11.0,4.0,17.0
3733,0.0,1.0,2.0,7.0,3.0,10.0,29.0,48.0,19.0,12.0,13.0,5.0,22.0,14.0,21.0,80.0,44.0,72.0,23.0,31.0,32.0,505.0,4.0,112.0,93.0,502.0,8.0,6.0,9.0,27.0
3782,0.0,1.0,2.0,3.0,33.0,7.0,84.0,28.0,15.0,10.0,9.0,4.0,63.0,22.0,76.0,58.0,29.0,433.0,60.0,6.0,102.0,551.0,13.0,115.0,47.0,342.0,31.0,21.0,5.0,11.0
3831,0.0,1.0,2.0,5.0,274.0,23.0,121.0,43.0,7.0,11.0,55.0,46.0,118.0,48.0,69.0,61.0,39.0,100.0,137.0,92.0,54.0,254.0,26.0,66.0,35.0,360.0,9.0,24.0,41.0,70.0
3880,0.0,24.0,1.0,3.0,261.0,2.0,77.0,46.0,11.0,9.0,5.0,6.0,13.0,17.0,276.0,146.0,123.0,47.0,99.0,8.0,92.0,764.0,12.0,33.0,83.0,549.0,27.0,112.0,61.0,341.0
3929,0.0,1.0,2.0,25.0,48.0,4.0,7.0,30.0,11.0,381.0,39.0,139.0,57.0,36.0,62.0,13.0,47.0,151.0,31.0,103.0,244.0,9.0,1997.0,41.0,22.0,615.0,232.0,280.0,111.0,88.0
3978,0.0,1.0,2.0,25.0,4.0,5.0,3.0,34.0,196.0,207.0,55.0,266.0,33.0,80.0,48.0,13.0,29.0,104.0,75.0,70.0,125.0,51.0,238.0,82.0,27.0,1187.0,342.0,63.0,105.0,35.0
4027,0.0,4.0,1.0,9.0,2.0,16.0,15.0,97.0,52.0,441.0,45.0,147.0,177.0,33.0,103.0,71.0,21.0,183.0,90.0,23.0,119.0,8.0,106.0,42.0,31.0,2251.0,111.0,49.0,57.0,296.0
4076,0.0,1.0,4.0,11.0,16.0,20.0,192.0,27.0,21.0,36.0,43.0,146.0,118.0,70.0,84.0,666.0,46.0,317.0,33.0,47.0,201.0,103.0,292.0,7.0,9.0,176.0,178.0,307.0,92.0,14.0
4125,0.0,1.0,3.0,2.0,21.0,31.0,23.0,26.0,6.0,11.0,7.0,48.0,54.0,63.0,745.0,64.0,9.0,221.0,109.0,5.0,325.0,152.0,356.0,25.0,27.0,2679.0,44.0,146.0,406.0,88.0
4174,0.0,3.0,1.0,2.0,29.0,41.0,9.0,13.0,8.0,25.0,36.0,6.0,77.0,107.0,56.0,31.0,47.0,127.0,40.0,105.0,239.0,18.0,179.0,93.0,70.0,274.0,69.0,741.0,827.0,81.0
4223,0.0,1.0,2.0,6.0,33.0,258.0,88.0,50.0,22.0,162.0,91.0,176.0,58.0,35.0,29.0,15.0,32.0,45.0,80.0,332.0,9844.0,251.0,2663.0,65.0,89.0,13640.0,12.0,311.0,290.0,11.0
4272,0.0,1.0,2.0,4.0,11.0,34.0,7.0,78.0,33.0,109.0,35.0,19.0,81.0,10.0,17.0,6.0,74.0,48.0,37.0,142.0,244.0,20.0,157.0,60.0,14.0,490.0,21.0,53.0,30.0,5.0
4321,0.0,1.0,2.0,7.0,18.0,5.0,6.0,93.0,16.0,61.0,28.0,87.0,89.0,13.0,52.0,119.0,8.0,224.0,70.0,181.0,217.0,62.0,248.0,4.0,17.0,749.0,122.0,700.0,25.0,23.0
4370,0.0,2.0,9.0,41.0,26.0,267.0,10.0,13.0,14.0,925.0,101.0,133.0,58.0,52.0,63.0,1.0,19.0,1844.0,47.0,286.0,347.0,5.0,260.0,23.0,11.0,68.0,849.0,2934.0,45.0,335.0
4419,0.0,4.0,13.0,7.0,18.0,6.0,88.0,616.0,42.0,5.0,16.0,3.0,9.0,11.0,17.0,3622.0,41.0,102.0,91.0,52.0,27.0,12.0,2.0,25.0,22.0,8.0,10.0,30.0,34.0,14.0
4468,0.0,1.0,8.0,2.0,11.0,26.0,3.0,292.0,4995.0,42.0,23.0,4.0,9.0,10.0,130.0,64.0,5.0,439.0,144.0,870.0,33.0,6.0,133.0,78.0,60.0,7.0,12.0,88.0,27.0,97.0
4517,0.0,1.0,2.0,9.0,25.0,5.0,3.0,184.0,83.0,188.0,8.0,24.0,16.0,4.0,95.0,21.0,22.0,116.0,38.0,179.0,7.0,14.0,41.0,50.0,19.0,301.0,30.0,12.0,11.0,158.0
4566,0.0,1.0,2.0,11.0,7.0,6.0,5.0,505.0,87.0,10.0,3.0,8.0,9.0,4.0,92.0,774.0,42.0,194.0,79.0,287.0,12.0,35.0,16.0,23.0,65.0,118.0,32.0,15.0,18.0,46.0
4615,0.0,2.0,4.0,1.0,21.0,6.0,5.0,384.0,114.0,11.0,38.0,7.0,26.0,8.0,56.0,101.0,18.0,153.0,140.0,220.0,9.0,15.0,14.0,43.0,22.0,79.0,3.0,30.0,51.0,19.0
4664,0.0,2.0,8.0,5.0,15.0,1.0,12.0,69.0,73.0,16.0,19.0,9.0,20.0,7.0,21.0,61.0,10.0,83.0,90.0,193.0,11.0,6.0,13.0,18.0,26.0,53.0,4.0,14.0,128.0,78.0
4713,0.0,7.0,2.0,1.0,3.0,126.0,14.0,106.0,197.0,4.0,28.0,26.0,44.0,5.0,24.0,208.0,58.0,19.0,187.0,173.0,12.0,6.0,18.0,134.0,42.0,158.0,11.0,13.0,35.0,55.0
4762,0.0,1.0,3.0,2.0,8.0,9.0,4.0,223.0,56.0,12.0,15.0,6.0,19.0,7.0,135.0,60.0,13.0,31.0,123.0,112.0,11.0,16.0,14.0,24.0,22.0,70.0,10.0,29.0,53.0,43.0
4811,0.0,4.0,8.0,3.0,2.0,11.0,6.0,168.0,120.0,28.0,29.0,1.0,13.0,7.0,40.0,247.0,26.0,76.0,106.0,107.0,38.0,9.0,39.0,60.0,324.0,55.0,5.0,24.0,44.0,52.0
4860,0.0,4.0,11.0,1.0,73.0,44.0,15.0,894.0,58.0,39.0,21.0,14.0,50.0,3.0,51.0,23.0,9.0,187.0,425.0,258.0,16.0,7.0,17.0,10.0,12.0,24.0,5.0,396.0,70.0,27.0
