,DNAH8_MUT,DPP6_DEL,LOC440970_DEL,GSTTP1_AMP,PRB1_AMP,LILRA6_DEL,LPA_AMP,LOC653786_DEL,LOC348120_AMP,USP32P1_AMP,GOLGA8DP_DEL,ARSB_DEL,NCOA7_DEL,LILRB3_DEL,CADM2_DEL,CROCC_DEL,FFAR3_DEL,NCOA3_MUT,SIRPB1_AMP,PDE4D_AMP,CCDC144A_AMP,FAM106CP_AMP,LRRC37A2_AMP,EYS_DEL,LRRK1_MUT,AATK_AMP,BCAS1_AMP,OR2T11_AMP,ARHGAP22_DEL,NSFP1_AMP
1891,8.0,23.0,271.0,16.0,13.0,4.0,3.0,42.0,40.0,104.0,15.0,2.0,39.0,29.0,12.0,112.0,7.0,27.0,0.0,1.0,240.0,239.0,111.0,168.0,17.0,11.0,123.0,107.0,83.0,169.0
1940,25.0,10.0,95.0,6.0,20.0,14.0,0.0,11.0,1.0,2.0,7.0,26.0,409.0,55.0,12.0,15.0,9.0,13.0,265.0,33.0,3.0,4.0,94.0,239.0,22.0,137.0,19.0,39.0,64.0,135.0
1989,8.0,9.0,25.0,23.0,11.0,16.0,7.0,1.0,10.0,12.0,83.0,14.0,13.0,15.0,133.0,2.0,21.0,92.0,0.0,31.0,19.0,20.0,48.0,6.0,5.0,43.0,27.0,93.0,74.0,67.0
2038,6.0,10.0,55.0,69.0,4.0,43.0,2338.0,19.0,1.0,3.0,47.0,27.0,33.0,44.0,25.0,20.0,56.0,771.0,5.0,141.0,8.0,9.0,53.0,39.0,179.0,358.0,352.0,38.0,90.0,72.0
2087,19.0,175.0,8.0,22.0,1.0,10.0,989.0,0.0,14.0,26.0,66.0,27.0,6.0,9.0,3959.0,2.0,210.0,33.0,34.0,40.0,54.0,53.0,160.0,21.0,561.0,13.0,75.0,166.0,51.0,165.0
2136,14.0,2.0,114.0,19.0,5.0,21.0,23.0,3.0,6.0,9.0,32.0,141.0,49.0,22.0,408.0,17.0,45.0,143.0,4.0,40.0,12.0,13.0,137.0,42.0,11.0,76.0,58.0,0.0,227.0,192.0
2185,3.0,7.0,63.0,12.0,9.0,17.0,36.0,6.0,1.0,0.0,60.0,24.0,25.0,18.0,614.0,8.0,46.0,71.0,10.0,58.0,5.0,4.0,153.0,13.0,35.0,19.0,59.0,195.0,22.0,177.0
2234,3.0,17.0,132.0,15.0,1.0,22.0,13.0,20.0,0.0,10.0,19.0,131.0,134.0,23.0,267.0,8.0,11.0,34.0,51.0,39.0,5.0,4.0,25.0,2.0,12.0,28.0,140.0,33.0,264.0,24.0
2283,2.0,9.0,101.0,8.0,23.0,16.0,10.0,3.0,4.0,44.0,64.0,90.0,36.0,15.0,61.0,31.0,37.0,83.0,6.0,247.0,97.0,98.0,41.0,0.0,55.0,180.0,7.0,139.0,188.0,45.0
2332,10.0,159.0,27.0,0.0,9.0,12.0,214.0,7.0,3.0,14.0,57.0,50.0,4.0,13.0,985.0,28.0,40.0,41.0,44.0,90.0,19.0,20.0,69.0,15.0,18.0,62.0,39.0,54.0,127.0,83.0
2381,57.0,24.0,46.0,3.0,1.0,105.0,5.0,0.0,6.0,2.0,45.0,251.0,52.0,104.0,198.0,241.0,21.0,43.0,53.0,65.0,9.0,8.0,16.0,7.0,56.0,37.0,28.0,163.0,25.0,10.0
2430,79.0,10.0,16.0,3.0,17.0,57.0,4.0,5.0,8.0,0.0,278.0,15.0,13.0,58.0,218.0,26.0,43.0,81.0,27.0,77.0,2.0,1.0,28.0,18.0,12.0,45.0,49.0,478.0,39.0,32.0
2479,0.0,7.0,37.0,16.0,5.0,13.0,6.0,24.0,3.0,71.0,11.0,12.0,8.0,22.0,156.0,54.0,9.0,31.0,21.0,17.0,113.0,114.0,125.0,56.0,32.0,26.0,29.0,454.0,45.0,103.0
2528,0.0,10.0,9.0,13.0,3.0,6.0,1.0,26.0,5.0,32.0,21.0,15.0,16.0,24.0,31.0,99.0,8.0,81.0,7.0,96.0,51.0,52.0,89.0,20.0,30.0,23.0,37.0,25.0,33.0,102.0
2577,6.0,3.0,0.0,18.0,10.0,54.0,15.0,37.0,21.0,85.0,2.0,51.0,14.0,113.0,31.0,80.0,12.0,28.0,13.0,38.0,119.0,120.0,5.0,8.0,20.0,73.0,29.0,19.0,74.0,7.0
2626,34.0,69.0,43.0,2.0,20.0,129.0,27.0,19.0,0.0,3.0,23.0,13.0,7.0,128.0,58.0,1.0,40.0,98.0,68.0,74.0,18.0,17.0,284.0,5.0,10.0,15.0,47.0,46.0,25.0,263.0
2675,1.0,5.0,13.0,16.0,4.0,39.0,3.0,66.0,24.0,6.0,21.0,20.0,67.0,96.0,56.0,198.0,7.0,25.0,80.0,71.0,14.0,15.0,151.0,655.0,18.0,40.0,78.0,2.0,36.0,177.0
2724,1.0,2.0,4.0,31.0,30.0,7.0,5.0,50.0,26.0,9.0,8.0,17.0,6.0,29.0,10.0,41.0,24.0,11.0,3.0,45.0,16.0,15.0,53.0,0.0,27.0,32.0,46.0,12.0,20.0,62.0
2773,2.0,15.0,1.0,16.0,12.0,6.0,0.0,11.0,57.0,13.0,5.0,54.0,17.0,26.0,3.0,8.0,10.0,20.0,9.0,32.0,28.0,27.0,47.0,14.0,29.0,189.0,148.0,31.0,155.0,52.0
2822,3.0,5.0,8.0,38.0,16.0,18.0,0.0,4.0,37.0,9.0,6.0,24.0,54.0,42.0,2.0,43.0,10.0,858.0,1.0,56.0,14.0,15.0,11.0,101.0,114.0,156.0,138.0,46.0,27.0,13.0
2871,14.0,47.0,21.0,1.0,7.0,44.0,6.0,27.0,161.0,199.0,26.0,149.0,5.0,88.0,340.0,234.0,130.0,4.0,15.0,45.0,337.0,336.0,0.0,283.0,262.0,18.0,66.0,24.0,19.0,3.0
2920,1.0,2.0,150.0,21.0,24.0,3.0,0.0,377.0,10.0,97.0,13.0,121.0,63.0,9.0,7.0,46.0,65.0,40.0,57.0,365.0,67.0,66.0,15.0,41.0,4.0,22.0,36.0,64.0,267.0,20.0
2969,1.0,5.0,0.0,4.0,9.0,2.0,672.0,6.0,100.0,123.0,20.0,21.0,36.0,7.0,484.0,8.0,411.0,3.0,57.0,62.0,251.0,250.0,137.0,10.0,110.0,177.0,43.0,370.0,88.0,161.0
3018,3.0,8.0,11.0,0.0,15.0,5.0,47.0,42.0,77.0,37.0,132.0,32.0,69.0,9.0,98.0,67.0,70.0,36.0,30.0,180.0,61.0,60.0,19.0,134.0,10.0,97.0,51.0,17.0,14.0,20.0
3067,1.0,5.0,11.0,0.0,25.0,12.0,59.0,211.0,42.0,145.0,27.0,61.0,34.0,40.0,17.0,224.0,344.0,10.0,6.0,284.0,304.0,305.0,129.0,36.0,14.0,46.0,33.0,482.0,49.0,175.0
3116,10.0,3.0,4.0,0.0,9.0,5.0,73.0,24.0,18.0,33.0,108.0,43.0,22.0,12.0,7.0,27.0,80.0,42.0,1.0,50.0,59.0,60.0,95.0,2.0,29.0,153.0,16.0,133.0,78.0,131.0
3165,6.0,1.0,0.0,2.0,8.0,9.0,71.0,49.0,22.0,69.0,45.0,42.0,65.0,21.0,4.0,147.0,100.0,43.0,24.0,67.0,83.0,84.0,15.0,231.0,35.0,80.0,53.0,73.0,25.0,14.0
3214,0.0,1.0,2.0,34.0,7.0,6.0,29.0,28.0,10.0,124.0,9.0,58.0,40.0,13.0,26.0,79.0,3.0,272.0,151.0,73.0,47.0,46.0,5.0,127.0,56.0,20.0,116.0,52.0,115.0,8.0
3263,0.0,17.0,1.0,3.0,26.0,7.0,157.0,31.0,29.0,27.0,24.0,16.0,10.0,30.0,13.0,15.0,48.0,23.0,40.0,56.0,51.0,52.0,9.0,93.0,8.0,95.0,4.0,28.0,32.0,12.0
3312,22.0,18.0,1.0,0.0,8.0,348.0,24.0,37.0,5.0,7.0,12.0,13.0,149.0,349.0,6.0,9.0,25.0,39.0,11.0,35.0,15.0,16.0,208.0,20.0,4.0,404.0,14.0,103.0,40.0,227.0
3361,0.0,23.0,20.0,1.0,4.0,3.0,15.0,2.0,19.0,17.0,5.0,185.0,769.0,13.0,16.0,66.0,26.0,6.0,30.0,37.0,45.0,46.0,24.0,9.0,11.0,186.0,81.0,122.0,56.0,31.0
3410,8.0,2.0,10.0,1.0,6.0,7.0,246.0,31.0,9.0,28.0,106.0,18.0,16.0,15.0,208.0,29.0,102.0,79.0,5.0,84.0,122.0,123.0,105.0,22.0,14.0,23.0,65.0,24.0,19.0,135.0
3459,5.0,0.0,4.0,30.0,96.0,33.0,1.0,9.0,88.0,36.0,135.0,20.0,16.0,34.0,12.0,6.0,81.0,77.0,18.0,163.0,23.0,24.0,7.0,71.0,14.0,21.0,37.0,176.0,169.0,8.0
3508,3.0,5.0,0.0,2.0,22.0,1.0,10.0,94.0,29.0,18.0,26.0,36.0,15.0,9.0,19.0,11.0,172.0,27.0,37.0,380.0,7.0,8.0,34.0,142.0,25.0,24.0,23.0,156.0,112.0,76.0
3557,3.0,0.0,4.0,26.0,14.0,5.0,35.0,18.0,6.0,177.0,27.0,11.0,48.0,8.0,62.0,1.0,153.0,92.0,379.0,487.0,176.0,178.0,28.0,601.0,24.0,16.0,32.0,58.0,310.0,38.0
3606,21.0,0.0,5.0,3.0,12.0,20.0,4.0,13.0,8.0,215.0,150.0,51.0,11.0,42.0,76.0,2.0,132.0,249.0,113.0,1777.0,89.0,88.0,9.0,15.0,31.0,97.0,30.0,14.0,222.0,19.0
3655,0.0,2.0,4.0,3.0,41.0,1.0,10.0,8.0,22.0,33.0,26.0,13.0,53.0,11.0,14.0,7.0,29.0,109.0,18.0,733.0,17.0,16.0,78.0,504.0,28.0,24.0,43.0,174.0,211.0,120.0
3704,2.0,4.0,12.0,21.0,55.0,51.0,0.0,3.0,5.0,20.0,73.0,49.0,525.0,94.0,44.0,6.0,58.0,29.0,821.0,329.0,8.0,7.0,23.0,161.0,10.0,61.0,74.0,62.0,338.0,36.0
3753,0.0,15.0,17.0,23.0,45.0,7.0,11.0,14.0,36.0,16.0,57.0,47.0,83.0,18.0,79.0,1.0,49.0,320.0,633.0,271.0,10.0,9.0,19.0,39.0,133.0,65.0,403.0,160.0,210.0,29.0
3802,0.0,6.0,3.0,1.0,51.0,4.0,5.0,7.0,490.0,195.0,15.0,78.0,183.0,9.0,491.0,2.0,134.0,29.0,95.0,265.0,91.0,90.0,10.0,403.0,89.0,56.0,116.0,130.0,175.0,14.0
3851,1.0,0.0,31.0,4.0,16.0,3.0,24.0,48.0,120.0,17.0,52.0,93.0,35.0,11.0,7.0,19.0,103.0,40.0,96.0,256.0,10.0,9.0,36.0,2275.0,12.0,53.0,20.0,59.0,679.0,45.0
3900,26.0,2.0,3.0,1.0,131.0,9.0,46.0,16.0,35.0,1430.0,151.0,289.0,89.0,31.0,24.0,8.0,49.0,27.0,115.0,544.0,658.0,657.0,5.0,271.0,34.0,59.0,20.0,8452.0,240.0,4.0
3949,916.0,486.0,28.0,12.0,23.0,89.0,33.0,32.0,1.0,5.0,26.0,11.0,19.0,88.0,17.0,3.0,227.0,84.0,35.0,45.0,6.0,7.0,238.0,9.0,44.0,20.0,2.0,25.0,10.0,325.0
3998,19.0,8.0,0.0,28.0,11.0,27.0,287.0,4.0,50.0,39.0,1.0,36.0,46.0,67.0,2.0,3.0,6.0,13.0,21.0,9.0,57.0,56.0,12.0,41.0,237.0,100.0,35.0,5574.0,45.0,18.0
4047,1.0,12.0,14.0,68.0,19.0,10.0,208.0,117.0,16.0,18.0,0.0,11.0,2.0,26.0,4.0,15.0,7.0,13.0,8.0,9.0,24.0,25.0,322.0,50.0,29.0,64.0,37.0,106.0,86.0,538.0
4096,2.0,0.0,7.0,16.0,41.0,8.0,365.0,82.0,6.0,69.0,24.0,167.0,51.0,10.0,11.0,5.0,351.0,23.0,72.0,55.0,78.0,77.0,40.0,1239.0,22.0,223.0,109.0,38.0,165.0,63.0
4145,2.0,21.0,3.0,19.0,1.0,4.0,5550.0,95.0,5.0,8.0,6.0,29.0,59.0,14.0,9.0,10.0,11.0,51.0,50.0,61.0,17.0,16.0,117.0,611.0,116.0,53.0,20.0,105.0,31.0,135.0
4194,1.0,16.0,3.0,38.0,5.0,8.0,18800.0,87.0,4.0,30.0,15.0,14.0,37.0,21.0,6.0,9.0,83.0,28.0,2.0,13.0,34.0,35.0,62.0,542.0,102.0,57.0,26.0,63.0,96.0,75.0
4243,4.0,3.0,2.0,0.0,22.0,26.0,13515.0,92.0,52.0,8.0,6.0,15.0,55.0,78.0,1.0,20.0,21.0,9.0,54.0,11.0,41.0,42.0,14.0,218.0,83.0,39.0,94.0,176.0,19.0,18.0
4292,1.0,0.0,10.0,14.0,15.0,2.0,987.0,11.0,176.0,300.0,19.0,21.0,25.0,12.0,35.0,5.0,191.0,8.0,36.0,3.0,419.0,418.0,16.0,708.0,823.0,50.0,7.0,343.0,71.0,23.0
4341,1.0,0.0,6.0,45.0,12.0,3.0,7293.0,109.0,4.0,16.0,9.0,25.0,127.0,7.0,2.0,10.0,32.0,73.0,70.0,31.0,23.0,24.0,14.0,76.0,130.0,171.0,120.0,113.0,61.0,13.0
4390,0.0,57.0,5.0,17.0,7.0,10.0,122.0,11.0,23.0,20.0,4.0,92.0,68.0,21.0,2.0,15.0,36.0,32.0,25.0,22.0,9.0,8.0,19.0,5649.0,28.0,170.0,29.0,76.0,79.0,27.0
4439,0.0,2.0,10.0,67.0,5.0,11.0,108.0,78.0,54.0,28.0,92.0,38.0,29.0,34.0,8.0,46.0,6.0,352.0,1.0,45.0,43.0,44.0,58.0,128.0,438.0,343.0,98.0,60.0,14.0,50.0
4488,1.0,51.0,7.0,398.0,3.0,14.0,721.0,20.0,249.0,24.0,43.0,26.0,5.0,38.0,72.0,79.0,0.0,88.0,40.0,47.0,62.0,61.0,60.0,18.0,1394.0,22.0,697.0,4.0,37.0,48.0
4537,0.0,94.0,40.0,20.0,9.0,70.0,18.0,29.0,494.0,39.0,7.0,275.0,52.0,189.0,88.0,1335.0,8.0,58.0,181.0,10.0,50.0,51.0,26.0,6.0,3706.0,57.0,1240.0,2.0,30.0,28.0
4586,0.0,4.0,2.0,5.0,70.0,13.0,195.0,25.0,34.0,69.0,50.0,132.0,33.0,63.0,22.0,420.0,28.0,62.0,1.0,288.0,165.0,166.0,59.0,17.0,3651.0,149.0,759.0,3.0,207.0,56.0
4635,5.0,11.0,0.0,55.0,3.0,27.0,355.0,131.0,1.0,56.0,47.0,65.0,76.0,73.0,44.0,107.0,10.0,220.0,71.0,32.0,96.0,97.0,72.0,19.0,12972.0,112.0,49.0,4.0,12.0,79.0
4684,0.0,39.0,11.0,1819.0,3.0,7.0,26.0,5.0,9.0,121.0,37.0,511.0,14.0,34.0,63.0,85.0,4.0,59.0,42.0,33.0,46.0,47.0,13.0,24.0,4260.0,53.0,498.0,17.0,119.0,15.0
4733,3.0,50.0,0.0,23.0,2.0,51.0,5895.0,156.0,38.0,131.0,74.0,44.0,14.0,125.0,25.0,475.0,6.0,85.0,53.0,42.0,231.0,230.0,7.0,4.0,951.0,111.0,350.0,1.0,26.0,5.0
4782,43.0,7.0,2.0,19.0,1.0,53.0,30.0,54.0,3.0,4.0,35.0,26.0,55.0,146.0,9.0,140.0,5.0,82.0,207.0,31.0,16.0,17.0,881.0,10.0,2564.0,14.0,59.0,75.0,42.0,726.0
4831,51.0,363.0,30.0,0.0,2.0,35.0,293.0,16.0,113.0,31.0,95.0,132.0,14.0,34.0,232.0,107.0,164.0,114.0,119.0,120.0,61.0,62.0,32.0,6.0,19344.0,20.0,48.0,5.0,29.0,26.0
4880,0.0,56.0,5.0,26.0,2.0,13.0,1992.0,19.0,190.0,12.0,41.0,57.0,70.0,53.0,18.0,182.0,40.0,111.0,4.0,135.0,16.0,17.0,281.0,86.0,2980.0,100.0,584.0,27.0,20.0,262.0
