,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
1631,0.0,10.0,17.0,2.0,8.0,1.0,274.0,57.0,99.0,23.0,9.0,198.0,43.0,135.0,52.0,24.0,108.0,139.0,31.0,200.0,66.0,159.0,64.0,19.0,253.0,133.0,318.0,140.0,326.0,242.0
1680,0.0,3.0,59.0,11.0,1.0,2.0,5.0,52.0,119.0,7.0,56.0,255.0,16.0,20.0,14.0,86.0,134.0,66.0,582.0,186.0,41.0,330.0,349.0,8.0,371.0,50.0,189.0,4.0,29.0,439.0
1729,1.0,12.0,15.0,2.0,7.0,0.0,39.0,33.0,3.0,14.0,64.0,609.0,273.0,17.0,205.0,345.0,261.0,145.0,557.0,8.0,67.0,34.0,6.0,11.0,73.0,202.0,50.0,10.0,219.0,564.0
1778,1.0,10.0,110.0,4.0,98.0,8.0,5.0,204.0,324.0,211.0,202.0,436.0,3.0,280.0,52.0,16.0,351.0,233.0,34.0,50.0,9.0,23.0,12.0,283.0,17.0,37.0,456.0,35.0,55.0,111.0
1827,3.0,157.0,1.0,21.0,161.0,5.0,150.0,15.0,322.0,67.0,28.0,222.0,2.0,23.0,98.0,254.0,35.0,270.0,273.0,0.0,299.0,113.0,118.0,427.0,4.0,544.0,323.0,25.0,9.0,197.0
1876,2.0,5.0,465.0,0.0,35.0,12.0,204.0,152.0,97.0,50.0,265.0,76.0,125.0,71.0,197.0,92.0,13.0,249.0,256.0,61.0,22.0,119.0,25.0,423.0,14.0,607.0,151.0,144.0,215.0,7.0
1925,0.0,214.0,1.0,2.0,133.0,68.0,12.0,30.0,200.0,144.0,337.0,157.0,15.0,108.0,3.0,16.0,101.0,140.0,543.0,87.0,44.0,178.0,172.0,114.0,79.0,121.0,125.0,174.0,185.0,51.0
1974,230.0,27.0,0.0,1.0,19.0,370.0,110.0,293.0,54.0,33.0,11.0,142.0,239.0,17.0,135.0,13.0,23.0,281.0,6.0,205.0,134.0,8.0,53.0,94.0,129.0,389.0,234.0,260.0,77.0,59.0
2023,11.0,1.0,31.0,12.0,6.0,49.0,5.0,169.0,201.0,87.0,0.0,3.0,62.0,214.0,25.0,51.0,74.0,97.0,27.0,602.0,109.0,2.0,124.0,53.0,176.0,100.0,256.0,34.0,138.0,105.0
2072,13.0,6.0,18.0,12.0,91.0,107.0,297.0,303.0,131.0,549.0,19.0,43.0,11.0,0.0,1.0,9.0,7.0,73.0,45.0,71.0,26.0,22.0,321.0,3.0,51.0,195.0,2.0,186.0,95.0,61.0
2121,1.0,2.0,19.0,23.0,189.0,110.0,7.0,135.0,95.0,176.0,10.0,6.0,12.0,18.0,0.0,14.0,63.0,174.0,171.0,355.0,5.0,9.0,208.0,13.0,203.0,24.0,3.0,27.0,64.0,30.0
