,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
511,2.0,0.0,1.0,6.0,3.0,7.0,12.0,10.0,13.0,11.0,32.0,27.0,5.0,4.0,15.0,9.0,8.0,38.0,14.0,23.0,31.0,17.0,30.0,21.0,40.0,18.0,44.0,29.0,45.0,37.0
560,5.0,2.0,0.0,3.0,1.0,9.0,52.0,8.0,10.0,34.0,19.0,50.0,7.0,4.0,14.0,35.0,23.0,15.0,12.0,26.0,28.0,11.0,13.0,64.0,27.0,51.0,22.0,30.0,47.0,37.0
609,2.0,1.0,0.0,4.0,5.0,6.0,15.0,12.0,26.0,29.0,38.0,36.0,7.0,3.0,13.0,18.0,24.0,8.0,21.0,64.0,52.0,11.0,20.0,40.0,17.0,53.0,31.0,44.0,28.0,27.0
658,1.0,2.0,0.0,4.0,3.0,18.0,44.0,33.0,24.0,56.0,6.0,7.0,8.0,5.0,42.0,20.0,29.0,9.0,11.0,54.0,34.0,31.0,19.0,41.0,48.0,16.0,36.0,25.0,49.0,38.0
707,7.0,0.0,1.0,2.0,4.0,3.0,15.0,6.0,8.0,61.0,18.0,57.0,5.0,10.0,45.0,27.0,31.0,12.0,11.0,41.0,40.0,14.0,26.0,66.0,49.0,21.0,22.0,23.0,24.0,30.0
756,3.0,1.0,0.0,2.0,4.0,10.0,16.0,9.0,5.0,7.0,17.0,19.0,45.0,32.0,13.0,31.0,14.0,8.0,12.0,48.0,22.0,30.0,20.0,60.0,41.0,11.0,24.0,18.0,25.0,26.0
805,5.0,0.0,1.0,6.0,3.0,4.0,20.0,10.0,18.0,24.0,7.0,37.0,41.0,2.0,9.0,22.0,8.0,45.0,43.0,57.0,16.0,15.0,12.0,36.0,21.0,58.0,64.0,19.0,30.0,62.0
854,1.0,0.0,3.0,7.0,2.0,19.0,8.0,10.0,25.0,12.0,6.0,23.0,4.0,24.0,14.0,22.0,21.0,42.0,31.0,41.0,47.0,29.0,32.0,9.0,18.0,20.0,37.0,15.0,27.0,26.0
903,7.0,0.0,4.0,3.0,2.0,47.0,21.0,18.0,5.0,10.0,6.0,11.0,24.0,1.0,13.0,20.0,36.0,22.0,17.0,19.0,43.0,60.0,8.0,14.0,28.0,31.0,39.0,29.0,32.0,42.0
952,2.0,0.0,1.0,3.0,5.0,15.0,7.0,34.0,10.0,19.0,16.0,13.0,6.0,4.0,11.0,55.0,25.0,8.0,43.0,51.0,23.0,63.0,12.0,27.0,35.0,20.0,49.0,30.0,45.0,37.0
1001,1.0,3.0,2.0,0.0,10.0,9.0,5.0,14.0,17.0,13.0,8.0,7.0,25.0,33.0,15.0,11.0,4.0,29.0,27.0,20.0,12.0,26.0,16.0,56.0,65.0,60.0,54.0,46.0,6.0,37.0
1050,1.0,0.0,4.0,2.0,5.0,9.0,34.0,8.0,6.0,21.0,50.0,7.0,35.0,45.0,13.0,10.0,44.0,20.0,17.0,29.0,3.0,31.0,12.0,11.0,37.0,27.0,15.0,18.0,19.0,36.0
1099,1.0,4.0,2.0,0.0,3.0,8.0,7.0,9.0,27.0,46.0,11.0,10.0,57.0,48.0,5.0,60.0,6.0,49.0,18.0,36.0,12.0,33.0,39.0,52.0,22.0,50.0,45.0,51.0,17.0,66.0
1148,0.0,2.0,8.0,1.0,4.0,3.0,50.0,21.0,7.0,5.0,23.0,12.0,6.0,47.0,16.0,15.0,24.0,51.0,10.0,26.0,37.0,40.0,18.0,11.0,35.0,64.0,17.0,33.0,55.0,22.0
