,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,TAG_DEL,PRSS2_DEL,PRSS3P2_DEL,OR51A2_DEL,GSTT1_AMP,ADAM5_DEL,LOC391322_AMP,ADAM3A_DEL,HCG4B_DEL,GSTTP2_AMP,BTNL8_DEL,HERC2P2_AMP,SIRPB1_AMP,BMPR2_AMP,FRMPD2P1_AMP,UPK3B_AMP,DEFA3_AMP,SCAPER_DEL,MIR548AI_DEL,REREP3_DEL,KIAA2022_MUT,LOC727924_DEL,TNK2_MUT,CES1_AMP,OR2T27_DEL,SNX29_DEL
2039,49.0,51.0,30.0,41.0,21.0,16.0,15.0,20.0,13.0,29.0,14.0,18.0,22.0,12.0,2.0,11.0,6.0,0.0,53.0,179.0,19.0,9.0,88.0,108.0,33.0,43.0,163.0,4.0,67.0,7.0
2088,116.0,131.0,18.0,344.0,17.0,14.0,13.0,3.0,11.0,111.0,12.0,112.0,65.0,16.0,24.0,10.0,34.0,0.0,5.0,251.0,7.0,211.0,38.0,86.0,23.0,33.0,340.0,2.0,56.0,9.0
2137,12.0,13.0,1.0,30.0,10.0,7.0,8.0,34.0,3.0,47.0,4.0,57.0,17.0,15.0,0.0,21.0,25.0,16.0,5.0,117.0,11.0,149.0,91.0,24.0,26.0,33.0,142.0,42.0,89.0,19.0
2186,7.0,10.0,47.0,26.0,2.0,34.0,33.0,12.0,4.0,68.0,3.0,71.0,39.0,6.0,27.0,8.0,30.0,11.0,18.0,55.0,77.0,0.0,58.0,14.0,19.0,5.0,224.0,23.0,175.0,13.0
2235,150.0,163.0,72.0,33.0,12.0,16.0,17.0,37.0,3.0,60.0,2.0,65.0,13.0,5.0,22.0,14.0,0.0,46.0,6.0,88.0,18.0,8.0,7.0,86.0,29.0,137.0,172.0,19.0,36.0,15.0
2284,12.0,16.0,37.0,42.0,2.0,9.0,8.0,122.0,107.0,10.0,108.0,15.0,61.0,126.0,96.0,3.0,1.0,56.0,7.0,363.0,83.0,36.0,55.0,65.0,22.0,51.0,92.0,17.0,89.0,4.0
2333,32.0,38.0,14.0,46.0,3.0,1.0,0.0,99.0,9.0,34.0,8.0,33.0,5.0,7.0,6.0,58.0,2.0,23.0,37.0,328.0,10.0,39.0,22.0,48.0,71.0,57.0,596.0,13.0,42.0,61.0
2382,1207.0,1275.0,13.0,40.0,3.0,6.0,7.0,39.0,10.0,1.0,11.0,2.0,21.0,12.0,20.0,19.0,0.0,133.0,18.0,136.0,9.0,144.0,29.0,22.0,45.0,5.0,111.0,17.0,31.0,14.0
2431,22.0,25.0,7.0,37.0,3.0,21.0,20.0,146.0,392.0,32.0,393.0,30.0,15.0,630.0,8.0,4.0,75.0,11.0,18.0,254.0,19.0,0.0,35.0,26.0,31.0,1.0,204.0,68.0,34.0,17.0
2480,2.0,3.0,0.0,22.0,15.0,19.0,20.0,78.0,35.0,17.0,36.0,14.0,11.0,37.0,1413.0,1.0,43.0,268.0,47.0,42.0,59.0,25.0,87.0,21.0,118.0,4.0,23.0,51.0,110.0,34.0
