,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-148a,hsa-miR-1976,hsa-miR-548b-5p,hsa-miR-1908,hsa-miR-550,hsa-miR-491-3p,hsa-miR-628-5p,hsa-miR-320c,hsa-miR-92a,hsa-miR-150,hsa-miR-668,hsa-miR-375,hsa-miR-186,hsa-miR-1256,hsa-miR-584,hsa-miR-143,ebv-miR-BART13,hsa-miR-384,hsa-miR-423-3p,hsa-miR-1285,hsa-miR-1197,hsa-miR-330-3p,hsa-miR-744,ebv-miR-BART20-5p,hsa-miR-1271,hcmv-miR-US5-1,hsa-miR-505,hsa-miR-1977
507,0.0,3.0,383.0,7.0,17.0,26.0,2.0,5.0,38.0,8.0,19.0,35.0,15.0,42.0,39.0,1.0,14.0,391.0,58.0,30.0,34.0,80.0,23.0,50.0,4.0,93.0,32.0,9.0,458.0,25.0
556,0.0,8.0,47.0,1.0,12.0,10.0,2.0,3.0,29.0,4.0,25.0,13.0,21.0,6.0,54.0,5.0,17.0,43.0,65.0,48.0,41.0,40.0,30.0,14.0,23.0,82.0,42.0,20.0,31.0,24.0
605,0.0,1.0,3.0,9.0,4.0,25.0,6.0,27.0,31.0,7.0,5.0,8.0,20.0,40.0,42.0,16.0,50.0,106.0,26.0,15.0,38.0,49.0,69.0,57.0,2.0,246.0,30.0,23.0,58.0,68.0
654,0.0,13.0,4.0,5.0,76.0,30.0,27.0,2.0,19.0,6.0,9.0,16.0,31.0,3.0,21.0,12.0,80.0,59.0,24.0,10.0,69.0,84.0,8.0,34.0,1.0,37.0,54.0,52.0,496.0,356.0
703,0.0,1.0,3.0,10.0,13.0,5.0,4.0,8.0,18.0,6.0,25.0,14.0,7.0,17.0,91.0,2.0,20.0,351.0,41.0,121.0,40.0,52.0,33.0,46.0,16.0,291.0,19.0,12.0,76.0,375.0
752,0.0,1.0,39.0,3.0,70.0,15.0,4.0,5.0,17.0,52.0,21.0,13.0,7.0,30.0,19.0,2.0,23.0,96.0,93.0,35.0,48.0,8.0,94.0,59.0,10.0,124.0,64.0,6.0,46.0,37.0
801,0.0,2.0,17.0,7.0,28.0,5.0,1.0,23.0,60.0,10.0,20.0,4.0,18.0,40.0,36.0,21.0,15.0,355.0,13.0,59.0,73.0,12.0,8.0,104.0,11.0,313.0,9.0,29.0,111.0,38.0
850,0.0,2.0,20.0,12.0,21.0,14.0,7.0,15.0,8.0,3.0,5.0,6.0,28.0,48.0,24.0,1.0,10.0,141.0,22.0,43.0,80.0,35.0,19.0,42.0,242.0,46.0,25.0,26.0,27.0,30.0
899,0.0,1.0,11.0,2.0,15.0,39.0,6.0,4.0,10.0,43.0,7.0,9.0,20.0,8.0,120.0,3.0,13.0,384.0,22.0,45.0,49.0,25.0,16.0,26.0,21.0,37.0,57.0,14.0,93.0,340.0
948,0.0,7.0,15.0,4.0,88.0,27.0,1.0,2.0,5.0,10.0,6.0,12.0,18.0,48.0,38.0,3.0,19.0,68.0,71.0,16.0,103.0,140.0,45.0,47.0,43.0,65.0,31.0,14.0,9.0,17.0
997,0.0,64.0,69.0,1.0,3.0,7.0,6.0,28.0,26.0,57.0,239.0,30.0,12.0,15.0,62.0,21.0,73.0,23.0,27.0,70.0,36.0,24.0,4.0,32.0,10.0,34.0,2.0,38.0,11.0,8.0
1046,0.0,69.0,345.0,4.0,1.0,9.0,3.0,16.0,5.0,10.0,57.0,24.0,26.0,60.0,11.0,38.0,39.0,7.0,67.0,55.0,33.0,18.0,23.0,65.0,28.0,30.0,46.0,25.0,36.0,19.0
1095,0.0,29.0,16.0,9.0,11.0,2.0,5.0,8.0,46.0,18.0,19.0,15.0,72.0,3.0,22.0,25.0,23.0,1.0,214.0,30.0,27.0,14.0,13.0,10.0,75.0,7.0,39.0,63.0,32.0,36.0
1144,0.0,47.0,29.0,25.0,3.0,6.0,19.0,4.0,98.0,27.0,59.0,14.0,36.0,84.0,10.0,75.0,1.0,42.0,21.0,34.0,5.0,15.0,13.0,18.0,46.0,11.0,2.0,89.0,38.0,32.0
