,hsa-miR-296-5p,hsa-miR-105,hsa-miR-26a,hsa-miR-483-3p,hsa-miR-892a,hsa-miR-27b,hsa-miR-711,hsa-miR-616,hsa-miR-556-3p,hsa-miR-924,hsa-miR-331-5p,hsa-miR-34a,hsa-miR-744,hsa-miR-222,hsa-miR-550,hsa-miR-574-5p,hsa-miR-1977,hsa-miR-1307,hsa-miR-323-5p,hsa-miR-504,hsa-miR-143,hsa-miR-1236,hsa-miR-34c-5p,hsa-miR-645,hsa-miR-383,kshv-miR-K12-7,hsv2-miR-H2,ebv-miR-BART20-5p,hsa-miR-223,hsa-miR-220b
1241,1.0,14.0,3.0,18.0,4.0,0.0,2.0,28.0,13.0,7.0,6.0,5.0,44.0,8.0,36.0,32.0,10.0,12.0,38.0,19.0,11.0,24.0,34.0,30.0,52.0,76.0,79.0,23.0,20.0,70.0
1290,0.0,12.0,9.0,14.0,3.0,2.0,8.0,6.0,4.0,5.0,22.0,11.0,10.0,7.0,28.0,38.0,15.0,42.0,43.0,17.0,20.0,1.0,62.0,75.0,41.0,35.0,69.0,13.0,21.0,46.0
1339,0.0,2.0,10.0,7.0,27.0,1.0,13.0,11.0,9.0,18.0,25.0,3.0,14.0,4.0,12.0,32.0,21.0,5.0,31.0,23.0,24.0,19.0,75.0,54.0,76.0,98.0,121.0,20.0,8.0,69.0
1388,2.0,7.0,30.0,18.0,0.0,1.0,8.0,49.0,45.0,6.0,28.0,24.0,4.0,14.0,3.0,13.0,5.0,9.0,56.0,50.0,16.0,21.0,114.0,82.0,11.0,60.0,15.0,10.0,40.0,33.0
1437,0.0,8.0,6.0,7.0,5.0,12.0,28.0,47.0,4.0,3.0,24.0,2.0,20.0,10.0,89.0,14.0,17.0,1.0,29.0,38.0,9.0,11.0,77.0,93.0,21.0,42.0,96.0,33.0,18.0,50.0
1486,6.0,2.0,12.0,1.0,19.0,14.0,10.0,9.0,0.0,46.0,18.0,13.0,3.0,26.0,15.0,43.0,36.0,21.0,33.0,22.0,48.0,132.0,5.0,44.0,64.0,20.0,39.0,121.0,57.0,23.0
1535,14.0,37.0,12.0,8.0,4.0,6.0,2.0,1.0,18.0,28.0,9.0,10.0,0.0,15.0,7.0,20.0,3.0,23.0,44.0,27.0,16.0,111.0,35.0,22.0,11.0,187.0,34.0,25.0,90.0,38.0
1584,21.0,8.0,3.0,10.0,11.0,5.0,4.0,27.0,1.0,49.0,12.0,2.0,6.0,14.0,7.0,32.0,9.0,53.0,33.0,28.0,20.0,43.0,0.0,64.0,29.0,101.0,39.0,75.0,30.0,13.0
1633,0.0,2.0,49.0,8.0,1.0,16.0,6.0,17.0,5.0,14.0,7.0,3.0,12.0,28.0,29.0,20.0,4.0,46.0,82.0,18.0,21.0,155.0,11.0,72.0,10.0,40.0,32.0,67.0,37.0,24.0
1682,18.0,5.0,34.0,15.0,3.0,0.0,7.0,38.0,2.0,94.0,9.0,1.0,13.0,27.0,4.0,28.0,36.0,12.0,10.0,19.0,39.0,77.0,8.0,17.0,6.0,70.0,14.0,32.0,20.0,22.0
1731,5.0,11.0,8.0,6.0,2.0,3.0,4.0,10.0,1.0,35.0,14.0,7.0,0.0,15.0,70.0,9.0,16.0,31.0,193.0,19.0,50.0,117.0,13.0,32.0,25.0,171.0,20.0,29.0,22.0,43.0
1780,8.0,4.0,15.0,17.0,5.0,12.0,7.0,16.0,0.0,21.0,2.0,3.0,1.0,33.0,45.0,19.0,18.0,24.0,35.0,47.0,6.0,85.0,11.0,41.0,25.0,38.0,57.0,102.0,42.0,14.0
1829,3.0,8.0,15.0,7.0,6.0,17.0,13.0,4.0,9.0,35.0,2.0,1.0,10.0,11.0,0.0,12.0,54.0,30.0,41.0,69.0,24.0,28.0,37.0,19.0,53.0,33.0,23.0,97.0,171.0,14.0
1878,11.0,3.0,10.0,13.0,1.0,22.0,15.0,5.0,0.0,33.0,9.0,7.0,4.0,24.0,6.0,12.0,26.0,36.0,46.0,14.0,20.0,170.0,2.0,50.0,18.0,45.0,44.0,62.0,37.0,28.0
1927,22.0,2.0,9.0,7.0,3.0,20.0,4.0,12.0,0.0,26.0,27.0,1.0,23.0,36.0,15.0,11.0,67.0,6.0,10.0,21.0,34.0,125.0,16.0,78.0,28.0,76.0,5.0,31.0,56.0,41.0
1976,0.0,5.0,3.0,7.0,52.0,2.0,4.0,13.0,9.0,11.0,31.0,48.0,1.0,17.0,8.0,80.0,28.0,15.0,25.0,20.0,10.0,33.0,14.0,49.0,6.0,45.0,26.0,51.0,37.0,22.0
2025,0.0,8.0,3.0,4.0,38.0,1.0,11.0,6.0,22.0,5.0,54.0,21.0,17.0,26.0,2.0,20.0,12.0,28.0,68.0,9.0,16.0,39.0,19.0,114.0,13.0,30.0,59.0,64.0,37.0,14.0
2074,22.0,10.0,0.0,5.0,16.0,6.0,23.0,2.0,21.0,19.0,60.0,40.0,25.0,4.0,12.0,7.0,11.0,18.0,52.0,15.0,17.0,41.0,1.0,69.0,28.0,58.0,63.0,8.0,3.0,29.0
2123,8.0,1.0,2.0,3.0,27.0,0.0,10.0,13.0,12.0,32.0,37.0,14.0,21.0,6.0,5.0,20.0,42.0,23.0,15.0,4.0,35.0,46.0,95.0,72.0,7.0,33.0,43.0,16.0,31.0,48.0
2172,1.0,23.0,0.0,5.0,37.0,6.0,19.0,7.0,4.0,14.0,30.0,29.0,10.0,17.0,3.0,33.0,60.0,2.0,42.0,8.0,11.0,32.0,16.0,123.0,15.0,53.0,22.0,55.0,9.0,44.0
2221,20.0,16.0,15.0,27.0,14.0,0.0,26.0,2.0,24.0,46.0,35.0,98.0,1.0,37.0,10.0,39.0,36.0,4.0,7.0,8.0,100.0,105.0,31.0,111.0,9.0,34.0,19.0,44.0,13.0,21.0
2270,22.0,1.0,0.0,2.0,15.0,6.0,12.0,5.0,17.0,8.0,10.0,18.0,3.0,32.0,27.0,4.0,62.0,13.0,11.0,7.0,14.0,67.0,25.0,118.0,26.0,60.0,9.0,46.0,39.0,47.0
2319,2.0,3.0,5.0,15.0,8.0,29.0,13.0,6.0,49.0,22.0,23.0,20.0,0.0,7.0,11.0,9.0,138.0,1.0,25.0,73.0,104.0,28.0,24.0,112.0,27.0,36.0,64.0,48.0,18.0,174.0
2368,3.0,7.0,0.0,8.0,13.0,1.0,104.0,42.0,30.0,2.0,52.0,76.0,6.0,11.0,10.0,4.0,12.0,9.0,14.0,5.0,29.0,63.0,36.0,151.0,21.0,45.0,17.0,34.0,15.0,39.0
2417,9.0,3.0,4.0,8.0,17.0,0.0,42.0,6.0,11.0,14.0,73.0,10.0,18.0,29.0,7.0,32.0,16.0,1.0,19.0,12.0,13.0,133.0,81.0,136.0,23.0,38.0,15.0,21.0,25.0,56.0
2466,0.0,5.0,33.0,2.0,6.0,1.0,27.0,49.0,4.0,15.0,10.0,55.0,16.0,76.0,21.0,52.0,83.0,8.0,26.0,58.0,109.0,25.0,20.0,3.0,32.0,56.0,54.0,59.0,41.0,7.0
2515,0.0,31.0,49.0,5.0,8.0,1.0,6.0,79.0,13.0,10.0,15.0,30.0,9.0,21.0,22.0,119.0,19.0,3.0,25.0,113.0,131.0,12.0,4.0,7.0,45.0,41.0,53.0,37.0,36.0,34.0
2564,0.0,1.0,38.0,3.0,17.0,7.0,8.0,76.0,14.0,10.0,62.0,6.0,16.0,24.0,9.0,29.0,21.0,2.0,15.0,22.0,70.0,55.0,13.0,41.0,11.0,176.0,79.0,12.0,30.0,4.0
2613,0.0,2.0,44.0,5.0,7.0,9.0,4.0,33.0,12.0,6.0,14.0,180.0,10.0,11.0,16.0,21.0,40.0,3.0,35.0,30.0,37.0,31.0,15.0,17.0,13.0,46.0,85.0,34.0,74.0,50.0
2662,2.0,0.0,26.0,5.0,24.0,27.0,3.0,10.0,7.0,4.0,47.0,17.0,9.0,21.0,195.0,43.0,13.0,1.0,8.0,54.0,109.0,38.0,25.0,15.0,30.0,41.0,11.0,28.0,16.0,40.0
2711,3.0,4.0,54.0,0.0,17.0,6.0,10.0,38.0,8.0,7.0,64.0,207.0,18.0,11.0,1.0,19.0,30.0,2.0,33.0,31.0,79.0,35.0,5.0,34.0,32.0,95.0,105.0,96.0,61.0,15.0
2760,2.0,0.0,19.0,1.0,13.0,3.0,9.0,45.0,18.0,7.0,15.0,43.0,16.0,8.0,4.0,39.0,23.0,5.0,65.0,25.0,116.0,33.0,11.0,35.0,37.0,34.0,62.0,48.0,31.0,14.0
2809,1.0,3.0,64.0,4.0,7.0,0.0,13.0,40.0,6.0,5.0,18.0,15.0,8.0,10.0,19.0,45.0,22.0,2.0,101.0,21.0,68.0,50.0,29.0,16.0,52.0,38.0,57.0,24.0,12.0,20.0
2858,1.0,0.0,10.0,4.0,25.0,3.0,5.0,149.0,14.0,6.0,54.0,38.0,30.0,24.0,13.0,130.0,34.0,7.0,53.0,52.0,45.0,32.0,46.0,82.0,17.0,20.0,156.0,44.0,51.0,11.0
2907,0.0,2.0,72.0,1.0,31.0,3.0,7.0,21.0,34.0,15.0,8.0,9.0,19.0,22.0,49.0,112.0,47.0,10.0,80.0,64.0,81.0,43.0,20.0,27.0,6.0,11.0,129.0,67.0,71.0,26.0
2956,17.0,3.0,1.0,24.0,6.0,2.0,13.0,0.0,16.0,21.0,5.0,4.0,18.0,40.0,36.0,27.0,32.0,43.0,51.0,14.0,10.0,7.0,35.0,52.0,62.0,50.0,108.0,11.0,34.0,56.0
3005,27.0,0.0,4.0,94.0,6.0,2.0,9.0,24.0,8.0,20.0,3.0,46.0,5.0,21.0,52.0,11.0,25.0,41.0,10.0,13.0,32.0,1.0,7.0,14.0,28.0,135.0,51.0,12.0,18.0,44.0
3054,4.0,0.0,1.0,25.0,3.0,6.0,26.0,5.0,8.0,17.0,2.0,13.0,11.0,27.0,83.0,19.0,10.0,89.0,44.0,34.0,93.0,15.0,9.0,84.0,36.0,28.0,60.0,80.0,48.0,74.0
3103,39.0,1.0,0.0,70.0,9.0,4.0,13.0,6.0,16.0,31.0,3.0,5.0,7.0,28.0,19.0,37.0,11.0,60.0,48.0,12.0,34.0,18.0,2.0,32.0,24.0,26.0,36.0,15.0,10.0,44.0
3152,15.0,2.0,0.0,28.0,5.0,3.0,4.0,6.0,1.0,10.0,25.0,50.0,14.0,11.0,22.0,42.0,18.0,85.0,8.0,54.0,53.0,24.0,7.0,71.0,57.0,13.0,37.0,12.0,30.0,79.0
3201,12.0,10.0,0.0,22.0,1.0,3.0,9.0,11.0,6.0,43.0,2.0,21.0,14.0,23.0,27.0,25.0,20.0,32.0,44.0,110.0,107.0,7.0,29.0,8.0,56.0,15.0,4.0,38.0,78.0,58.0
3250,73.0,4.0,0.0,25.0,2.0,8.0,11.0,1.0,3.0,14.0,29.0,7.0,46.0,37.0,183.0,9.0,12.0,82.0,13.0,30.0,71.0,5.0,15.0,24.0,101.0,74.0,10.0,6.0,26.0,39.0
3299,34.0,10.0,0.0,36.0,1.0,7.0,42.0,5.0,3.0,6.0,9.0,13.0,22.0,2.0,28.0,12.0,4.0,118.0,18.0,51.0,26.0,15.0,14.0,44.0,62.0,31.0,98.0,27.0,41.0,92.0
3348,94.0,1.0,0.0,33.0,45.0,10.0,64.0,5.0,7.0,6.0,3.0,80.0,57.0,58.0,138.0,16.0,12.0,93.0,61.0,18.0,87.0,9.0,8.0,52.0,36.0,28.0,20.0,22.0,116.0,29.0
3397,73.0,2.0,6.0,29.0,4.0,46.0,7.0,1.0,37.0,41.0,22.0,17.0,11.0,8.0,26.0,3.0,0.0,45.0,28.0,19.0,70.0,13.0,9.0,12.0,38.0,33.0,53.0,5.0,65.0,76.0
3446,5.0,12.0,4.0,40.0,0.0,1.0,11.0,9.0,31.0,16.0,30.0,6.0,7.0,24.0,127.0,2.0,85.0,29.0,10.0,25.0,13.0,38.0,151.0,3.0,20.0,50.0,8.0,37.0,89.0,17.0
3495,87.0,8.0,2.0,10.0,0.0,4.0,18.0,3.0,15.0,13.0,19.0,21.0,9.0,16.0,193.0,1.0,38.0,54.0,29.0,32.0,12.0,61.0,43.0,22.0,11.0,7.0,27.0,75.0,83.0,76.0
3544,14.0,4.0,16.0,12.0,0.0,6.0,8.0,13.0,45.0,15.0,54.0,1.0,11.0,41.0,121.0,2.0,31.0,21.0,19.0,27.0,33.0,78.0,165.0,9.0,5.0,7.0,10.0,39.0,145.0,62.0
3593,6.0,2.0,1.0,16.0,0.0,7.0,39.0,4.0,11.0,24.0,29.0,5.0,8.0,13.0,169.0,3.0,56.0,86.0,10.0,19.0,33.0,52.0,182.0,9.0,34.0,18.0,25.0,54.0,130.0,59.0
3642,20.0,2.0,5.0,16.0,0.0,31.0,49.0,22.0,3.0,8.0,19.0,7.0,12.0,13.0,141.0,1.0,91.0,100.0,25.0,27.0,15.0,54.0,122.0,10.0,66.0,40.0,6.0,77.0,189.0,14.0
3691,30.0,1.0,3.0,21.0,7.0,11.0,4.0,9.0,12.0,6.0,33.0,55.0,10.0,15.0,53.0,2.0,27.0,91.0,26.0,25.0,19.0,37.0,79.0,42.0,29.0,16.0,5.0,34.0,149.0,38.0
3740,13.0,5.0,2.0,37.0,3.0,7.0,10.0,1.0,20.0,100.0,6.0,9.0,24.0,12.0,16.0,4.0,29.0,82.0,33.0,39.0,94.0,19.0,85.0,11.0,17.0,15.0,23.0,22.0,78.0,47.0
3789,25.0,8.0,1.0,24.0,0.0,11.0,18.0,2.0,46.0,60.0,13.0,4.0,5.0,30.0,152.0,3.0,21.0,36.0,23.0,9.0,14.0,122.0,34.0,7.0,22.0,28.0,10.0,53.0,255.0,56.0
3838,22.0,6.0,2.0,11.0,0.0,3.0,12.0,7.0,17.0,20.0,9.0,4.0,15.0,27.0,74.0,1.0,48.0,60.0,16.0,8.0,41.0,140.0,111.0,21.0,13.0,19.0,10.0,50.0,54.0,32.0
3887,37.0,19.0,6.0,52.0,0.0,3.0,7.0,4.0,9.0,32.0,8.0,15.0,5.0,40.0,78.0,10.0,35.0,55.0,63.0,17.0,11.0,29.0,62.0,20.0,13.0,16.0,25.0,49.0,86.0,36.0
3936,28.0,9.0,4.0,3.0,6.0,0.0,5.0,8.0,72.0,1.0,25.0,20.0,10.0,64.0,14.0,77.0,13.0,71.0,7.0,41.0,31.0,17.0,76.0,23.0,12.0,2.0,75.0,124.0,33.0,16.0
3985,5.0,3.0,9.0,2.0,33.0,11.0,14.0,7.0,35.0,1.0,63.0,94.0,28.0,16.0,0.0,13.0,37.0,8.0,10.0,46.0,56.0,6.0,24.0,105.0,12.0,4.0,27.0,124.0,31.0,32.0
4034,0.0,3.0,67.0,2.0,17.0,7.0,5.0,8.0,45.0,6.0,31.0,44.0,68.0,19.0,4.0,106.0,13.0,25.0,10.0,12.0,34.0,50.0,97.0,18.0,9.0,1.0,32.0,119.0,33.0,14.0
4083,12.0,1.0,25.0,7.0,27.0,5.0,0.0,3.0,64.0,2.0,20.0,36.0,30.0,16.0,6.0,37.0,15.0,4.0,11.0,13.0,18.0,23.0,137.0,21.0,10.0,29.0,19.0,31.0,33.0,58.0
4132,3.0,0.0,6.0,4.0,18.0,8.0,2.0,5.0,21.0,9.0,13.0,12.0,79.0,11.0,1.0,20.0,30.0,40.0,23.0,25.0,14.0,15.0,81.0,85.0,10.0,7.0,47.0,117.0,22.0,69.0
4181,0.0,4.0,16.0,9.0,20.0,34.0,2.0,5.0,13.0,7.0,8.0,60.0,26.0,30.0,14.0,87.0,18.0,62.0,21.0,43.0,25.0,27.0,152.0,54.0,12.0,1.0,19.0,85.0,52.0,38.0
4230,1.0,0.0,16.0,9.0,49.0,13.0,18.0,4.0,7.0,2.0,20.0,21.0,94.0,25.0,6.0,79.0,3.0,19.0,35.0,11.0,28.0,17.0,113.0,91.0,5.0,15.0,46.0,10.0,76.0,34.0
4279,13.0,0.0,2.0,7.0,11.0,28.0,3.0,9.0,35.0,6.0,34.0,51.0,46.0,4.0,12.0,192.0,5.0,39.0,8.0,15.0,32.0,14.0,56.0,17.0,38.0,1.0,31.0,24.0,37.0,30.0
4328,0.0,1.0,9.0,3.0,17.0,15.0,5.0,2.0,36.0,13.0,6.0,63.0,34.0,14.0,7.0,112.0,12.0,11.0,25.0,41.0,82.0,30.0,98.0,60.0,16.0,8.0,62.0,42.0,48.0,39.0
4377,14.0,2.0,8.0,16.0,0.0,6.0,1.0,21.0,15.0,24.0,9.0,69.0,30.0,22.0,4.0,40.0,12.0,13.0,17.0,45.0,28.0,19.0,73.0,20.0,7.0,25.0,18.0,87.0,10.0,34.0
4426,8.0,24.0,2.0,0.0,3.0,4.0,10.0,12.0,16.0,5.0,7.0,41.0,13.0,26.0,43.0,15.0,42.0,138.0,11.0,81.0,36.0,9.0,1.0,30.0,135.0,59.0,106.0,82.0,33.0,77.0
4475,4.0,5.0,0.0,17.0,3.0,8.0,2.0,6.0,11.0,10.0,16.0,29.0,19.0,7.0,24.0,63.0,18.0,33.0,1.0,26.0,38.0,12.0,15.0,9.0,85.0,36.0,90.0,34.0,32.0,105.0
4524,3.0,9.0,2.0,17.0,21.0,1.0,6.0,37.0,18.0,0.0,5.0,12.0,4.0,45.0,59.0,61.0,26.0,30.0,8.0,23.0,32.0,15.0,16.0,11.0,99.0,136.0,47.0,28.0,42.0,39.0
4573,0.0,14.0,3.0,6.0,1.0,18.0,2.0,7.0,9.0,4.0,10.0,16.0,35.0,8.0,31.0,33.0,43.0,62.0,23.0,59.0,13.0,17.0,39.0,11.0,86.0,29.0,28.0,12.0,30.0,124.0
4622,0.0,14.0,3.0,6.0,2.0,13.0,5.0,24.0,18.0,1.0,4.0,27.0,37.0,17.0,21.0,19.0,51.0,64.0,11.0,16.0,23.0,12.0,54.0,7.0,188.0,45.0,32.0,10.0,79.0,110.0
4671,0.0,8.0,6.0,2.0,5.0,7.0,4.0,12.0,14.0,1.0,9.0,16.0,22.0,43.0,36.0,50.0,40.0,76.0,11.0,74.0,41.0,10.0,19.0,20.0,47.0,25.0,29.0,21.0,28.0,86.0
4720,1.0,9.0,0.0,3.0,7.0,13.0,4.0,8.0,20.0,6.0,5.0,47.0,15.0,12.0,41.0,53.0,23.0,38.0,18.0,74.0,11.0,10.0,49.0,2.0,84.0,32.0,110.0,30.0,28.0,66.0
4769,2.0,7.0,3.0,5.0,1.0,29.0,8.0,11.0,0.0,4.0,12.0,35.0,25.0,23.0,87.0,13.0,46.0,15.0,31.0,21.0,105.0,14.0,20.0,6.0,75.0,94.0,34.0,19.0,30.0,140.0
4818,1.0,24.0,34.0,2.0,3.0,18.0,19.0,10.0,6.0,0.0,4.0,14.0,13.0,50.0,109.0,17.0,33.0,29.0,8.0,9.0,95.0,64.0,23.0,7.0,71.0,42.0,48.0,25.0,84.0,39.0
4867,2.0,37.0,1.0,6.0,0.0,7.0,8.0,17.0,13.0,5.0,27.0,31.0,4.0,16.0,39.0,44.0,41.0,15.0,3.0,18.0,78.0,12.0,35.0,14.0,86.0,110.0,24.0,28.0,19.0,85.0
