,PAI-1,VAV1,Caveolin-1,YAP_pS127,VEGFR2,p62 Lck ligand,EGFR,NF2,alpha-Catenin,PTEN,Collagen_VI,beta-Catenin,Annexin 1,E-Cadherin,Rb,Fibronectin,MAPK_pT202_Y204,Smad4,Akt_pS473,PEA15,Paxillin,RAD51,TAZ,Rb_pS807_S811,NF-kB-p65_pS536,FRA1,Transglutaminase,B-Raf,c-Jun_pS73,SCD1
543,0.0,1.0,3.0,2.0,6.0,19.0,17.0,21.0,7.0,11.0,5.0,15.0,53.0,23.0,113.0,4.0,43.0,22.0,18.0,62.0,65.0,122.0,14.0,50.0,24.0,9.0,48.0,91.0,29.0,145.0
592,2.0,0.0,1.0,5.0,7.0,3.0,4.0,21.0,10.0,90.0,20.0,38.0,16.0,6.0,55.0,9.0,83.0,35.0,63.0,8.0,59.0,44.0,13.0,107.0,112.0,51.0,71.0,86.0,25.0,19.0
641,3.0,1.0,0.0,2.0,51.0,6.0,16.0,87.0,45.0,4.0,8.0,11.0,66.0,24.0,23.0,19.0,15.0,35.0,27.0,22.0,57.0,48.0,36.0,99.0,143.0,5.0,98.0,43.0,88.0,83.0
690,0.0,1.0,3.0,7.0,24.0,2.0,22.0,10.0,14.0,33.0,17.0,72.0,4.0,9.0,5.0,8.0,16.0,6.0,29.0,51.0,37.0,56.0,60.0,61.0,31.0,76.0,55.0,21.0,25.0,40.0
739,0.0,1.0,4.0,5.0,6.0,2.0,13.0,20.0,8.0,12.0,10.0,61.0,9.0,29.0,68.0,7.0,122.0,14.0,86.0,80.0,104.0,38.0,3.0,69.0,75.0,17.0,23.0,49.0,67.0,77.0
788,0.0,1.0,2.0,3.0,7.0,4.0,15.0,32.0,12.0,43.0,31.0,33.0,17.0,5.0,98.0,18.0,128.0,111.0,51.0,10.0,44.0,9.0,16.0,36.0,42.0,27.0,58.0,29.0,49.0,55.0
837,1.0,0.0,2.0,3.0,25.0,15.0,9.0,13.0,18.0,17.0,12.0,14.0,108.0,61.0,22.0,4.0,5.0,11.0,8.0,10.0,52.0,47.0,133.0,36.0,107.0,38.0,32.0,74.0,41.0,54.0
886,1.0,0.0,2.0,10.0,14.0,19.0,8.0,17.0,3.0,57.0,7.0,11.0,13.0,4.0,37.0,5.0,34.0,50.0,119.0,27.0,129.0,22.0,12.0,91.0,127.0,6.0,31.0,97.0,49.0,39.0
935,0.0,1.0,2.0,8.0,15.0,9.0,27.0,14.0,16.0,6.0,4.0,107.0,52.0,3.0,133.0,30.0,98.0,83.0,26.0,137.0,69.0,29.0,25.0,63.0,21.0,7.0,40.0,34.0,57.0,101.0
984,2.0,1.0,0.0,9.0,19.0,20.0,15.0,8.0,18.0,4.0,5.0,29.0,64.0,14.0,50.0,48.0,104.0,35.0,51.0,11.0,17.0,12.0,71.0,10.0,112.0,3.0,27.0,7.0,23.0,54.0
1033,2.0,0.0,1.0,5.0,3.0,10.0,14.0,21.0,6.0,7.0,99.0,15.0,114.0,25.0,28.0,112.0,11.0,55.0,20.0,101.0,9.0,39.0,47.0,50.0,19.0,122.0,161.0,4.0,8.0,56.0
1082,2.0,1.0,0.0,6.0,7.0,10.0,5.0,12.0,9.0,37.0,18.0,4.0,28.0,11.0,55.0,14.0,15.0,46.0,33.0,67.0,19.0,17.0,51.0,49.0,31.0,141.0,106.0,45.0,71.0,8.0
1131,3.0,0.0,1.0,2.0,8.0,5.0,6.0,47.0,34.0,97.0,11.0,13.0,103.0,16.0,20.0,28.0,10.0,73.0,17.0,84.0,35.0,7.0,59.0,66.0,32.0,36.0,42.0,18.0,21.0,30.0
1180,0.0,1.0,2.0,13.0,3.0,6.0,7.0,93.0,8.0,51.0,15.0,88.0,38.0,4.0,71.0,25.0,23.0,19.0,116.0,5.0,22.0,63.0,57.0,74.0,122.0,21.0,44.0,81.0,10.0,47.0
1229,2.0,0.0,1.0,3.0,4.0,21.0,42.0,132.0,9.0,39.0,24.0,5.0,12.0,14.0,6.0,32.0,46.0,23.0,127.0,109.0,29.0,19.0,61.0,10.0,49.0,40.0,37.0,18.0,27.0,7.0
1278,2.0,0.0,1.0,4.0,10.0,22.0,9.0,24.0,19.0,17.0,7.0,15.0,69.0,3.0,16.0,6.0,13.0,31.0,90.0,52.0,23.0,8.0,92.0,14.0,74.0,40.0,41.0,107.0,33.0,46.0
1327,0.0,1.0,2.0,5.0,14.0,10.0,8.0,109.0,3.0,33.0,13.0,6.0,34.0,50.0,29.0,16.0,47.0,70.0,80.0,37.0,55.0,23.0,20.0,25.0,12.0,15.0,73.0,42.0,11.0,17.0
1376,1.0,0.0,2.0,4.0,7.0,20.0,5.0,23.0,9.0,44.0,8.0,17.0,24.0,19.0,18.0,35.0,15.0,38.0,81.0,62.0,21.0,10.0,78.0,30.0,16.0,34.0,58.0,50.0,32.0,26.0
1425,3.0,10.0,0.0,1.0,2.0,34.0,17.0,75.0,12.0,21.0,9.0,8.0,14.0,22.0,13.0,60.0,5.0,28.0,25.0,48.0,19.0,6.0,43.0,4.0,26.0,59.0,74.0,18.0,32.0,15.0
1474,0.0,4.0,1.0,14.0,2.0,25.0,18.0,8.0,6.0,80.0,7.0,24.0,3.0,9.0,40.0,11.0,63.0,108.0,23.0,35.0,5.0,15.0,17.0,51.0,95.0,10.0,30.0,49.0,48.0,16.0
1523,1.0,0.0,2.0,3.0,6.0,7.0,9.0,22.0,5.0,105.0,27.0,39.0,10.0,40.0,13.0,45.0,31.0,28.0,75.0,12.0,24.0,33.0,17.0,62.0,77.0,41.0,8.0,52.0,32.0,46.0
1572,2.0,3.0,1.0,0.0,8.0,38.0,4.0,6.0,57.0,34.0,7.0,11.0,5.0,82.0,15.0,10.0,33.0,12.0,49.0,25.0,87.0,59.0,9.0,21.0,69.0,30.0,35.0,42.0,31.0,55.0
1621,0.0,1.0,3.0,4.0,2.0,16.0,5.0,78.0,9.0,10.0,6.0,56.0,7.0,51.0,22.0,8.0,27.0,18.0,15.0,17.0,47.0,73.0,110.0,57.0,118.0,37.0,50.0,30.0,13.0,71.0
1670,2.0,1.0,0.0,3.0,4.0,25.0,6.0,13.0,9.0,14.0,23.0,17.0,7.0,151.0,5.0,19.0,26.0,16.0,45.0,135.0,32.0,27.0,30.0,12.0,86.0,41.0,34.0,10.0,20.0,36.0
1719,3.0,0.0,1.0,2.0,5.0,4.0,6.0,61.0,23.0,48.0,70.0,16.0,7.0,35.0,28.0,24.0,12.0,9.0,11.0,27.0,67.0,20.0,34.0,112.0,25.0,18.0,29.0,47.0,31.0,78.0
1768,1.0,2.0,0.0,3.0,4.0,9.0,5.0,77.0,10.0,15.0,6.0,40.0,18.0,162.0,19.0,47.0,117.0,20.0,22.0,25.0,43.0,27.0,14.0,7.0,31.0,99.0,8.0,11.0,111.0,63.0
1817,2.0,1.0,0.0,4.0,3.0,21.0,5.0,80.0,13.0,44.0,12.0,16.0,7.0,28.0,15.0,6.0,36.0,22.0,62.0,10.0,68.0,19.0,14.0,8.0,46.0,42.0,11.0,32.0,141.0,18.0
1866,1.0,2.0,0.0,5.0,10.0,3.0,11.0,19.0,21.0,30.0,12.0,45.0,34.0,8.0,4.0,15.0,52.0,13.0,96.0,6.0,59.0,17.0,14.0,49.0,53.0,24.0,73.0,16.0,9.0,31.0
1915,2.0,1.0,0.0,3.0,6.0,9.0,5.0,20.0,15.0,77.0,18.0,21.0,4.0,16.0,24.0,12.0,50.0,23.0,39.0,14.0,29.0,8.0,51.0,94.0,149.0,26.0,145.0,7.0,156.0,86.0
1964,2.0,0.0,24.0,1.0,3.0,39.0,5.0,15.0,48.0,34.0,13.0,22.0,7.0,80.0,9.0,17.0,8.0,29.0,6.0,14.0,67.0,66.0,37.0,73.0,36.0,124.0,11.0,65.0,77.0,10.0
2013,3.0,0.0,1.0,2.0,20.0,9.0,23.0,8.0,83.0,11.0,31.0,69.0,33.0,18.0,53.0,28.0,4.0,80.0,6.0,5.0,15.0,16.0,97.0,21.0,19.0,103.0,122.0,111.0,94.0,65.0
2062,3.0,0.0,5.0,2.0,37.0,4.0,6.0,26.0,40.0,19.0,15.0,39.0,28.0,24.0,54.0,18.0,1.0,14.0,17.0,48.0,51.0,7.0,65.0,95.0,21.0,33.0,27.0,46.0,44.0,10.0
2111,9.0,0.0,6.0,1.0,10.0,17.0,4.0,22.0,37.0,7.0,15.0,20.0,11.0,105.0,34.0,101.0,3.0,12.0,2.0,5.0,14.0,19.0,35.0,89.0,40.0,72.0,80.0,36.0,45.0,16.0
2160,1.0,0.0,6.0,5.0,9.0,59.0,7.0,21.0,31.0,4.0,64.0,8.0,18.0,27.0,11.0,78.0,2.0,16.0,3.0,57.0,36.0,12.0,38.0,30.0,49.0,58.0,32.0,29.0,26.0,107.0
2209,1.0,0.0,3.0,17.0,50.0,13.0,12.0,7.0,41.0,10.0,16.0,33.0,99.0,80.0,4.0,8.0,2.0,25.0,45.0,76.0,69.0,11.0,84.0,22.0,15.0,119.0,66.0,14.0,38.0,37.0
2258,11.0,0.0,1.0,3.0,7.0,5.0,25.0,13.0,20.0,2.0,23.0,57.0,21.0,24.0,22.0,29.0,6.0,9.0,4.0,43.0,90.0,52.0,30.0,94.0,31.0,83.0,44.0,85.0,81.0,37.0
2307,2.0,0.0,4.0,1.0,9.0,8.0,18.0,12.0,28.0,20.0,15.0,14.0,17.0,31.0,22.0,44.0,3.0,24.0,5.0,13.0,127.0,7.0,51.0,67.0,10.0,21.0,52.0,38.0,57.0,117.0
2356,4.0,0.0,2.0,3.0,24.0,7.0,14.0,1.0,5.0,29.0,22.0,17.0,10.0,38.0,82.0,127.0,9.0,30.0,11.0,32.0,13.0,20.0,56.0,25.0,54.0,26.0,44.0,8.0,50.0,16.0
2405,3.0,0.0,2.0,1.0,4.0,7.0,22.0,15.0,6.0,11.0,12.0,19.0,10.0,79.0,25.0,34.0,29.0,20.0,14.0,39.0,52.0,47.0,100.0,62.0,123.0,41.0,51.0,35.0,68.0,31.0
2454,0.0,4.0,2.0,3.0,9.0,1.0,54.0,8.0,31.0,18.0,47.0,6.0,33.0,7.0,142.0,73.0,5.0,14.0,36.0,13.0,23.0,35.0,24.0,29.0,19.0,37.0,53.0,32.0,46.0,82.0
2503,1.0,6.0,0.0,13.0,7.0,4.0,59.0,9.0,71.0,10.0,22.0,122.0,29.0,33.0,101.0,32.0,2.0,42.0,3.0,14.0,5.0,15.0,61.0,40.0,48.0,91.0,38.0,19.0,21.0,16.0
2552,3.0,2.0,1.0,4.0,5.0,0.0,60.0,22.0,19.0,48.0,46.0,6.0,21.0,69.0,38.0,63.0,23.0,43.0,15.0,7.0,14.0,54.0,12.0,9.0,8.0,36.0,56.0,35.0,71.0,148.0
2601,7.0,5.0,0.0,1.0,3.0,4.0,12.0,6.0,23.0,37.0,13.0,34.0,25.0,22.0,18.0,17.0,9.0,84.0,55.0,11.0,2.0,15.0,10.0,19.0,41.0,87.0,29.0,14.0,90.0,24.0
2650,1.0,3.0,0.0,8.0,9.0,2.0,19.0,45.0,6.0,18.0,12.0,7.0,51.0,55.0,88.0,31.0,17.0,28.0,22.0,4.0,23.0,32.0,87.0,25.0,40.0,14.0,96.0,38.0,11.0,43.0
2699,5.0,2.0,0.0,1.0,4.0,18.0,22.0,6.0,85.0,16.0,11.0,56.0,34.0,21.0,133.0,14.0,9.0,42.0,3.0,13.0,7.0,23.0,29.0,41.0,15.0,20.0,39.0,25.0,31.0,28.0
2748,7.0,2.0,0.0,3.0,1.0,4.0,29.0,10.0,6.0,21.0,20.0,11.0,47.0,67.0,75.0,18.0,41.0,28.0,57.0,27.0,8.0,94.0,44.0,78.0,9.0,37.0,39.0,58.0,88.0,14.0
2797,2.0,28.0,6.0,1.0,12.0,0.0,19.0,15.0,34.0,5.0,11.0,20.0,44.0,26.0,70.0,72.0,3.0,124.0,4.0,22.0,48.0,8.0,101.0,10.0,7.0,13.0,37.0,31.0,55.0,49.0
2846,4.0,2.0,1.0,3.0,24.0,0.0,30.0,114.0,21.0,13.0,35.0,116.0,33.0,16.0,52.0,86.0,5.0,107.0,6.0,38.0,34.0,11.0,31.0,45.0,12.0,9.0,7.0,23.0,64.0,50.0
2895,4.0,6.0,0.0,5.0,11.0,2.0,20.0,8.0,67.0,7.0,35.0,48.0,96.0,3.0,118.0,22.0,45.0,24.0,44.0,1.0,18.0,13.0,49.0,32.0,16.0,15.0,21.0,27.0,119.0,38.0
2944,1.0,0.0,3.0,4.0,7.0,11.0,2.0,37.0,105.0,45.0,12.0,10.0,154.0,15.0,16.0,5.0,84.0,13.0,143.0,22.0,64.0,30.0,33.0,25.0,43.0,8.0,23.0,9.0,42.0,20.0
2993,1.0,0.0,2.0,4.0,5.0,21.0,12.0,18.0,6.0,79.0,3.0,14.0,36.0,30.0,62.0,8.0,37.0,28.0,10.0,54.0,35.0,16.0,26.0,109.0,33.0,23.0,49.0,15.0,44.0,20.0
3042,2.0,1.0,0.0,9.0,5.0,23.0,3.0,10.0,31.0,25.0,6.0,4.0,21.0,81.0,61.0,47.0,96.0,11.0,97.0,29.0,12.0,45.0,8.0,140.0,58.0,15.0,32.0,14.0,16.0,22.0
3091,4.0,0.0,2.0,3.0,1.0,8.0,10.0,9.0,36.0,97.0,6.0,12.0,13.0,30.0,21.0,47.0,136.0,11.0,50.0,29.0,103.0,19.0,23.0,68.0,39.0,5.0,105.0,15.0,56.0,18.0
3140,1.0,0.0,4.0,2.0,6.0,13.0,3.0,16.0,65.0,8.0,12.0,7.0,18.0,52.0,21.0,101.0,123.0,5.0,17.0,24.0,9.0,84.0,63.0,36.0,11.0,32.0,19.0,35.0,23.0,10.0
3189,1.0,0.0,2.0,3.0,10.0,5.0,4.0,6.0,12.0,8.0,48.0,18.0,80.0,41.0,62.0,9.0,101.0,21.0,24.0,120.0,74.0,58.0,47.0,98.0,27.0,11.0,33.0,70.0,147.0,52.0
3238,1.0,0.0,2.0,6.0,3.0,9.0,5.0,11.0,60.0,142.0,4.0,7.0,104.0,15.0,75.0,58.0,28.0,8.0,130.0,86.0,18.0,10.0,89.0,23.0,64.0,14.0,33.0,63.0,83.0,29.0
3287,3.0,0.0,1.0,2.0,11.0,13.0,6.0,4.0,68.0,7.0,5.0,14.0,22.0,21.0,56.0,44.0,108.0,15.0,70.0,24.0,9.0,124.0,84.0,134.0,25.0,16.0,55.0,17.0,10.0,20.0
3336,2.0,0.0,3.0,8.0,4.0,6.0,1.0,11.0,42.0,47.0,12.0,33.0,10.0,64.0,20.0,7.0,74.0,5.0,30.0,9.0,14.0,26.0,25.0,19.0,41.0,17.0,94.0,31.0,28.0,77.0
3385,0.0,4.0,1.0,2.0,15.0,3.0,6.0,11.0,34.0,65.0,7.0,32.0,69.0,10.0,13.0,47.0,40.0,8.0,64.0,36.0,94.0,37.0,58.0,22.0,9.0,19.0,14.0,112.0,44.0,136.0
3434,2.0,1.0,0.0,3.0,8.0,6.0,9.0,29.0,14.0,12.0,50.0,19.0,7.0,41.0,24.0,15.0,33.0,40.0,11.0,30.0,36.0,28.0,20.0,5.0,77.0,4.0,23.0,27.0,34.0,39.0
3483,1.0,2.0,3.0,0.0,5.0,4.0,13.0,35.0,17.0,21.0,11.0,33.0,24.0,46.0,22.0,25.0,36.0,27.0,81.0,12.0,9.0,49.0,38.0,10.0,53.0,6.0,28.0,14.0,42.0,58.0
3532,2.0,0.0,1.0,4.0,3.0,6.0,5.0,13.0,23.0,73.0,31.0,19.0,8.0,28.0,10.0,42.0,14.0,18.0,17.0,16.0,45.0,9.0,24.0,7.0,21.0,11.0,47.0,32.0,30.0,46.0
3581,1.0,0.0,3.0,5.0,14.0,2.0,9.0,10.0,18.0,17.0,92.0,13.0,22.0,8.0,26.0,75.0,41.0,32.0,161.0,34.0,25.0,77.0,6.0,4.0,19.0,7.0,124.0,29.0,96.0,93.0
3630,2.0,0.0,1.0,3.0,9.0,4.0,18.0,14.0,99.0,12.0,6.0,67.0,23.0,11.0,24.0,39.0,61.0,27.0,22.0,107.0,7.0,31.0,10.0,37.0,16.0,5.0,29.0,19.0,62.0,28.0
3679,2.0,0.0,1.0,3.0,4.0,6.0,7.0,21.0,16.0,9.0,34.0,18.0,13.0,8.0,72.0,45.0,132.0,14.0,56.0,19.0,10.0,53.0,11.0,78.0,30.0,5.0,29.0,27.0,82.0,37.0
3728,1.0,3.0,0.0,5.0,4.0,2.0,8.0,26.0,11.0,14.0,24.0,20.0,13.0,34.0,32.0,17.0,97.0,6.0,53.0,23.0,86.0,37.0,19.0,9.0,7.0,46.0,10.0,31.0,28.0,12.0
3777,1.0,0.0,3.0,4.0,5.0,2.0,6.0,17.0,28.0,83.0,59.0,49.0,23.0,7.0,11.0,57.0,84.0,34.0,95.0,12.0,25.0,16.0,10.0,14.0,18.0,20.0,9.0,15.0,36.0,21.0
3826,2.0,0.0,1.0,3.0,9.0,4.0,5.0,56.0,14.0,13.0,106.0,6.0,27.0,29.0,69.0,72.0,16.0,10.0,48.0,32.0,21.0,8.0,19.0,11.0,12.0,7.0,34.0,44.0,118.0,24.0
3875,2.0,0.0,3.0,5.0,6.0,1.0,7.0,87.0,13.0,18.0,65.0,27.0,25.0,46.0,23.0,84.0,66.0,38.0,135.0,26.0,19.0,9.0,8.0,36.0,14.0,48.0,31.0,10.0,42.0,51.0
3924,1.0,0.0,2.0,3.0,34.0,18.0,29.0,24.0,10.0,21.0,35.0,16.0,9.0,7.0,12.0,6.0,11.0,8.0,19.0,124.0,27.0,76.0,28.0,5.0,88.0,33.0,83.0,71.0,25.0,97.0
3973,0.0,1.0,2.0,4.0,21.0,17.0,18.0,9.0,23.0,22.0,74.0,15.0,34.0,5.0,7.0,32.0,8.0,3.0,57.0,6.0,63.0,20.0,25.0,30.0,61.0,81.0,48.0,40.0,16.0,27.0
4022,0.0,1.0,3.0,2.0,13.0,20.0,22.0,53.0,8.0,6.0,156.0,4.0,44.0,19.0,39.0,15.0,49.0,16.0,14.0,5.0,9.0,102.0,31.0,23.0,61.0,25.0,21.0,34.0,27.0,10.0
4071,2.0,1.0,0.0,3.0,6.0,14.0,8.0,38.0,61.0,39.0,41.0,5.0,22.0,16.0,10.0,9.0,7.0,11.0,67.0,19.0,27.0,33.0,20.0,4.0,44.0,26.0,13.0,99.0,36.0,46.0
4120,0.0,2.0,1.0,8.0,23.0,43.0,14.0,16.0,50.0,36.0,42.0,34.0,19.0,3.0,12.0,11.0,15.0,10.0,27.0,9.0,6.0,98.0,57.0,30.0,40.0,17.0,21.0,38.0,4.0,18.0
4169,0.0,1.0,2.0,3.0,14.0,16.0,5.0,17.0,15.0,54.0,47.0,10.0,12.0,36.0,26.0,22.0,131.0,13.0,18.0,38.0,29.0,72.0,39.0,31.0,32.0,44.0,8.0,45.0,7.0,116.0
4218,1.0,0.0,2.0,3.0,7.0,6.0,10.0,15.0,14.0,17.0,158.0,13.0,9.0,27.0,20.0,5.0,16.0,11.0,29.0,8.0,21.0,67.0,12.0,4.0,25.0,89.0,23.0,83.0,55.0,94.0
4267,0.0,1.0,3.0,4.0,10.0,8.0,13.0,7.0,9.0,49.0,42.0,11.0,25.0,2.0,18.0,34.0,24.0,62.0,149.0,19.0,14.0,43.0,27.0,5.0,96.0,30.0,51.0,63.0,117.0,66.0
4316,0.0,2.0,1.0,3.0,6.0,62.0,9.0,11.0,5.0,10.0,71.0,20.0,45.0,7.0,12.0,18.0,13.0,43.0,72.0,29.0,23.0,51.0,30.0,36.0,67.0,47.0,8.0,32.0,17.0,35.0
4365,1.0,10.0,0.0,2.0,7.0,12.0,9.0,73.0,5.0,51.0,26.0,14.0,17.0,13.0,4.0,62.0,20.0,36.0,52.0,28.0,8.0,66.0,19.0,11.0,71.0,15.0,6.0,101.0,81.0,35.0
4414,1.0,2.0,0.0,4.0,12.0,17.0,5.0,29.0,40.0,3.0,37.0,16.0,20.0,19.0,10.0,6.0,15.0,30.0,35.0,7.0,8.0,44.0,22.0,11.0,27.0,47.0,26.0,88.0,53.0,134.0
4463,0.0,2.0,3.0,5.0,1.0,8.0,6.0,13.0,10.0,4.0,9.0,39.0,20.0,31.0,100.0,27.0,37.0,21.0,7.0,43.0,15.0,60.0,19.0,12.0,48.0,64.0,35.0,83.0,30.0,26.0
4512,5.0,0.0,1.0,2.0,3.0,41.0,16.0,12.0,8.0,4.0,25.0,24.0,15.0,7.0,38.0,19.0,11.0,29.0,9.0,47.0,28.0,52.0,35.0,33.0,6.0,50.0,49.0,10.0,20.0,22.0
4561,0.0,1.0,2.0,14.0,9.0,5.0,17.0,37.0,23.0,3.0,27.0,47.0,55.0,57.0,25.0,4.0,33.0,49.0,24.0,6.0,30.0,106.0,15.0,13.0,10.0,38.0,19.0,121.0,31.0,26.0
4610,0.0,2.0,1.0,7.0,4.0,6.0,5.0,22.0,47.0,3.0,20.0,89.0,16.0,11.0,23.0,9.0,24.0,13.0,65.0,61.0,37.0,36.0,19.0,8.0,17.0,60.0,18.0,52.0,54.0,29.0
4659,2.0,0.0,6.0,1.0,3.0,8.0,15.0,4.0,24.0,10.0,37.0,83.0,11.0,22.0,26.0,5.0,121.0,12.0,23.0,59.0,14.0,42.0,7.0,25.0,33.0,34.0,17.0,30.0,70.0,28.0
4708,1.0,3.0,0.0,9.0,15.0,2.0,6.0,5.0,21.0,4.0,52.0,45.0,38.0,40.0,20.0,10.0,128.0,101.0,24.0,64.0,16.0,77.0,26.0,96.0,8.0,44.0,112.0,17.0,14.0,23.0
4757,2.0,1.0,0.0,10.0,18.0,4.0,5.0,11.0,127.0,3.0,25.0,26.0,70.0,49.0,43.0,27.0,52.0,13.0,7.0,9.0,14.0,56.0,32.0,68.0,23.0,20.0,31.0,85.0,35.0,58.0
4806,1.0,4.0,0.0,13.0,14.0,32.0,2.0,9.0,28.0,5.0,24.0,93.0,12.0,7.0,29.0,3.0,122.0,15.0,10.0,6.0,8.0,19.0,38.0,50.0,18.0,39.0,71.0,27.0,36.0,57.0
4855,6.0,0.0,2.0,3.0,7.0,5.0,12.0,4.0,32.0,1.0,31.0,29.0,34.0,19.0,50.0,16.0,88.0,53.0,17.0,9.0,44.0,13.0,8.0,46.0,26.0,64.0,11.0,114.0,37.0,78.0
