,TSPYL5,LEPREL2,EMR1,LDOC1,AGAP4,PXDN,ZNF229,DUSP23,PTPN13,WNT5B,WNK4,RPS6KA6,ZYG11A,ZNF347,S100A4,ZNF518B,SH3BP1,ENPP2,C1orf233,ZNF502,TTC31,VWDE,CTF1,AC005624.2,ZNF90,OSR1,HBQ1,ZNF239,MFAP2,RP11-561C5.4
2263,2.0,1.0,0.0,3.0,13.0,12.0,124.0,5.0,4.0,8.0,45.0,16.0,57.0,42.0,288.0,98.0,22.0,48.0,88.0,52.0,301.0,40.0,394.0,1151.0,29.0,20.0,484.0,9.0,27.0,25.0
2312,2.0,1.0,7.0,0.0,6.0,4.0,87.0,5.0,17.0,16.0,28.0,50.0,42.0,36.0,71.0,29.0,216.0,72.0,84.0,206.0,161.0,18.0,33.0,64.0,20.0,14.0,225.0,3.0,152.0,35.0
2361,3.0,0.0,2.0,5.0,1.0,11.0,179.0,4.0,17.0,8.0,12.0,6.0,9.0,63.0,258.0,115.0,126.0,47.0,232.0,934.0,122.0,25.0,28.0,137.0,19.0,50.0,114.0,16.0,14.0,75.0
2410,1.0,0.0,2.0,3.0,6.0,12.0,20.0,72.0,65.0,10.0,57.0,27.0,26.0,855.0,242.0,2563.0,260.0,39.0,336.0,139.0,212.0,42.0,169.0,1003.0,76.0,18.0,178.0,43.0,34.0,63.0
2459,2.0,6.0,1.0,14.0,3.0,19.0,7.0,4.0,0.0,9.0,32.0,5.0,42.0,239.0,190.0,95.0,15.0,13.0,47.0,37.0,76.0,108.0,722.0,131.0,33.0,152.0,34.0,39.0,56.0,24.0
2508,13.0,1.0,2.0,103.0,0.0,23.0,5.0,51.0,61.0,25.0,20.0,142.0,27.0,259.0,36.0,50.0,64.0,44.0,293.0,184.0,18.0,593.0,41.0,744.0,176.0,114.0,28.0,346.0,90.0,19.0
2557,0.0,9.0,3.0,40.0,7.0,51.0,10.0,4.0,5.0,18.0,14.0,6.0,180.0,30.0,34.0,11.0,79.0,39.0,149.0,159.0,100.0,113.0,1600.0,147.0,22.0,158.0,44.0,23.0,89.0,119.0
2606,0.0,3.0,1.0,4.0,14.0,45.0,16.0,9.0,10.0,100.0,18.0,13.0,108.0,26.0,573.0,239.0,11.0,41.0,82.0,17.0,155.0,140.0,36.0,2366.0,182.0,169.0,6.0,141.0,12.0,37.0
2655,0.0,2.0,1.0,105.0,25.0,45.0,5.0,28.0,14.0,9.0,20.0,4.0,32.0,7.0,130.0,36.0,126.0,58.0,77.0,8.0,19.0,379.0,142.0,250.0,3.0,128.0,42.0,26.0,87.0,38.0
2704,16.0,0.0,1.0,100.0,4.0,8.0,2.0,9.0,6.0,14.0,49.0,71.0,104.0,23.0,59.0,124.0,11.0,198.0,103.0,120.0,29.0,159.0,933.0,40.0,62.0,205.0,56.0,13.0,51.0,20.0
