,NERVOUS,HAEMATOPOIETIC,LUNG,STOMACH,OVARY,PANCREAS,BREAST,URINARY,LIVER,LARGE_INTESTINE,SKIN,OESOPHAGUS,ENDOMETRIUM,PROSTATE,BONE,SOFT_TISSUE,KIDNEY,THYROID,PLEURA,AERODIGESTIVE,GANGLIA,BILIARY,SALIVARY
1665,2.0,11.0,0.0,9.0,8.0,1.0,3.0,14.0,5.0,4.0,6.0,15.0,13.0,7.0,12.0,10.0,16.0,22.0,17.0,21.0,18.0,19.0,20.0
1714,1.0,10.0,7.0,15.0,2.0,14.0,0.0,13.0,5.0,4.0,6.0,16.0,12.0,3.0,11.0,9.0,8.0,20.0,17.0,18.0,19.0,21.0,22.0
1763,16.0,0.0,1.0,2.0,5.0,3.0,7.0,17.0,18.0,4.0,13.0,6.0,8.0,11.0,10.0,12.0,15.0,14.0,9.0,19.0,21.0,22.0,20.0
1812,0.0,3.0,1.0,2.0,9.0,12.0,7.0,8.0,4.0,10.0,6.0,5.0,13.0,16.0,11.0,17.0,19.0,18.0,20.0,15.0,14.0,21.0,22.0
1861,0.0,5.0,3.0,16.0,1.0,6.0,7.0,15.0,8.0,4.0,2.0,9.0,10.0,12.0,11.0,13.0,14.0,17.0,21.0,18.0,19.0,20.0,22.0
1910,1.0,7.0,0.0,4.0,6.0,10.0,2.0,13.0,3.0,9.0,8.0,5.0,11.0,12.0,14.0,16.0,19.0,17.0,15.0,18.0,20.0,21.0,22.0
1959,8.0,1.0,7.0,9.0,10.0,13.0,5.0,14.0,0.0,4.0,6.0,3.0,12.0,2.0,11.0,17.0,21.0,16.0,18.0,19.0,15.0,20.0,22.0
2008,7.0,8.0,6.0,1.0,2.0,9.0,4.0,12.0,3.0,11.0,0.0,5.0,14.0,17.0,13.0,18.0,19.0,10.0,20.0,16.0,15.0,21.0,22.0
2057,4.0,9.0,0.0,8.0,5.0,3.0,6.0,16.0,1.0,14.0,2.0,7.0,15.0,17.0,13.0,22.0,10.0,11.0,20.0,18.0,12.0,19.0,21.0
2106,1.0,2.0,6.0,8.0,7.0,9.0,4.0,10.0,3.0,11.0,0.0,5.0,13.0,22.0,12.0,18.0,14.0,19.0,20.0,16.0,15.0,17.0,21.0
2155,1.0,7.0,3.0,10.0,2.0,6.0,9.0,8.0,0.0,4.0,14.0,5.0,12.0,17.0,11.0,18.0,13.0,19.0,20.0,16.0,15.0,21.0,22.0
2204,1.0,2.0,12.0,0.0,13.0,4.0,7.0,5.0,3.0,8.0,14.0,6.0,9.0,17.0,11.0,18.0,20.0,19.0,10.0,16.0,15.0,21.0,22.0
2253,5.0,2.0,1.0,3.0,6.0,8.0,9.0,4.0,7.0,12.0,0.0,11.0,20.0,16.0,13.0,18.0,10.0,19.0,17.0,15.0,14.0,21.0,22.0
2302,6.0,0.0,3.0,4.0,7.0,1.0,2.0,5.0,9.0,15.0,8.0,12.0,19.0,16.0,14.0,18.0,10.0,11.0,17.0,21.0,13.0,20.0,22.0
2351,1.0,3.0,5.0,0.0,2.0,7.0,8.0,9.0,4.0,6.0,12.0,13.0,14.0,16.0,17.0,18.0,10.0,11.0,19.0,15.0,22.0,20.0,21.0
2400,16.0,6.0,2.0,0.0,5.0,8.0,9.0,3.0,13.0,7.0,1.0,4.0,10.0,12.0,17.0,18.0,15.0,14.0,11.0,19.0,20.0,21.0,22.0
2449,8.0,2.0,0.0,7.0,4.0,3.0,6.0,10.0,1.0,12.0,9.0,5.0,14.0,17.0,13.0,18.0,11.0,19.0,20.0,16.0,15.0,22.0,21.0
2498,0.0,5.0,11.0,15.0,1.0,2.0,4.0,14.0,6.0,3.0,17.0,7.0,8.0,18.0,10.0,16.0,13.0,12.0,19.0,22.0,9.0,20.0,21.0
2547,9.0,8.0,5.0,6.0,7.0,2.0,3.0,10.0,4.0,16.0,13.0,0.0,11.0,1.0,15.0,14.0,18.0,12.0,21.0,19.0,17.0,20.0,22.0
2596,5.0,0.0,12.0,1.0,6.0,2.0,8.0,4.0,3.0,11.0,7.0,10.0,15.0,9.0,13.0,16.0,20.0,18.0,14.0,17.0,19.0,21.0,22.0
2645,0.0,1.0,5.0,6.0,7.0,3.0,4.0,11.0,13.0,10.0,15.0,9.0,12.0,2.0,17.0,14.0,8.0,16.0,18.0,19.0,20.0,21.0,22.0
2694,0.0,6.0,4.0,10.0,5.0,2.0,3.0,11.0,1.0,9.0,8.0,7.0,13.0,16.0,17.0,18.0,12.0,19.0,20.0,15.0,14.0,21.0,22.0
2743,4.0,2.0,0.0,3.0,1.0,5.0,7.0,14.0,8.0,10.0,6.0,9.0,11.0,12.0,15.0,13.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
2792,16.0,4.0,12.0,0.0,3.0,6.0,8.0,1.0,9.0,5.0,7.0,2.0,11.0,10.0,17.0,13.0,15.0,14.0,18.0,19.0,20.0,22.0,21.0
2841,0.0,3.0,1.0,2.0,13.0,7.0,8.0,14.0,4.0,6.0,12.0,5.0,9.0,11.0,10.0,15.0,18.0,17.0,16.0,19.0,20.0,21.0,22.0
2890,7.0,12.0,6.0,9.0,2.0,0.0,1.0,8.0,5.0,4.0,10.0,19.0,14.0,3.0,13.0,11.0,20.0,15.0,16.0,17.0,18.0,21.0,22.0
2939,4.0,6.0,0.0,1.0,5.0,9.0,2.0,3.0,13.0,10.0,8.0,7.0,11.0,12.0,15.0,17.0,19.0,14.0,16.0,18.0,22.0,20.0,21.0
2988,5.0,1.0,12.0,17.0,0.0,2.0,6.0,4.0,7.0,9.0,14.0,8.0,10.0,3.0,18.0,13.0,16.0,15.0,11.0,21.0,19.0,22.0,20.0
3037,7.0,1.0,0.0,5.0,14.0,2.0,3.0,6.0,4.0,10.0,8.0,9.0,11.0,12.0,19.0,16.0,13.0,17.0,15.0,22.0,18.0,20.0,21.0
3086,2.0,0.0,4.0,5.0,3.0,7.0,10.0,1.0,8.0,6.0,13.0,9.0,11.0,12.0,14.0,16.0,19.0,17.0,15.0,22.0,18.0,20.0,21.0
3135,6.0,1.0,0.0,4.0,7.0,2.0,9.0,5.0,3.0,20.0,8.0,21.0,11.0,22.0,17.0,14.0,16.0,15.0,12.0,19.0,10.0,13.0,18.0
3184,1.0,7.0,2.0,0.0,12.0,15.0,10.0,6.0,4.0,3.0,5.0,9.0,14.0,22.0,13.0,11.0,8.0,19.0,18.0,21.0,16.0,17.0,20.0
3233,2.0,3.0,0.0,1.0,16.0,6.0,9.0,5.0,4.0,8.0,13.0,7.0,10.0,12.0,11.0,18.0,15.0,14.0,17.0,21.0,19.0,20.0,22.0
3282,6.0,0.0,1.0,4.0,18.0,2.0,10.0,5.0,3.0,7.0,8.0,9.0,11.0,12.0,15.0,16.0,14.0,13.0,20.0,22.0,17.0,19.0,21.0
3331,7.0,0.0,5.0,6.0,9.0,1.0,12.0,8.0,15.0,11.0,4.0,3.0,13.0,2.0,14.0,16.0,10.0,18.0,19.0,22.0,17.0,20.0,21.0
3380,5.0,0.0,2.0,3.0,6.0,8.0,1.0,4.0,9.0,11.0,7.0,10.0,12.0,13.0,14.0,15.0,17.0,16.0,18.0,21.0,22.0,19.0,20.0
3429,1.0,15.0,4.0,0.0,2.0,3.0,8.0,5.0,10.0,7.0,18.0,6.0,9.0,11.0,16.0,12.0,14.0,13.0,17.0,21.0,19.0,20.0,22.0
3478,2.0,0.0,4.0,14.0,5.0,6.0,7.0,19.0,8.0,9.0,3.0,1.0,10.0,12.0,11.0,16.0,13.0,17.0,15.0,18.0,20.0,22.0,21.0
3527,1.0,2.0,3.0,15.0,4.0,5.0,7.0,0.0,8.0,10.0,6.0,9.0,11.0,12.0,16.0,13.0,14.0,18.0,17.0,19.0,20.0,22.0,21.0
3576,2.0,4.0,0.0,13.0,9.0,3.0,12.0,1.0,6.0,5.0,7.0,19.0,11.0,8.0,10.0,14.0,15.0,20.0,16.0,17.0,18.0,22.0,21.0
3625,0.0,16.0,3.0,17.0,1.0,5.0,7.0,4.0,2.0,10.0,6.0,8.0,11.0,13.0,18.0,14.0,15.0,19.0,12.0,21.0,9.0,22.0,20.0
3674,8.0,2.0,7.0,16.0,18.0,5.0,1.0,0.0,11.0,14.0,6.0,4.0,13.0,3.0,12.0,10.0,9.0,20.0,17.0,19.0,15.0,22.0,21.0
