,MEK1_pS217_S221,PTEN,Porin,SCD1,p90RSK_pT359_S363,Notch1,AMPK_pT172,Bax,PREX1,HER3,GATA3,Cyclin_D1,CD31,PDCD4,Smac,eEF2K,GAPDH,c-Myc,SF2,14-3-3_beta,4E-BP1_pS65,MSH6,Bcl-2,XBP1,MAPK_pT202_Y204,VAV1,RSK1-2-3,EGFR,p38_pT180_Y182,p27_pT157
2453,13.0,0.0,1.0,2.0,5.0,7.0,4.0,10.0,19.0,38.0,3.0,106.0,11.0,20.0,23.0,9.0,15.0,8.0,27.0,14.0,97.0,28.0,84.0,6.0,16.0,22.0,17.0,25.0,70.0,48.0
2502,5.0,1.0,3.0,2.0,0.0,15.0,6.0,88.0,22.0,8.0,4.0,25.0,14.0,11.0,59.0,10.0,7.0,21.0,75.0,45.0,13.0,9.0,87.0,18.0,38.0,19.0,63.0,17.0,35.0,36.0
2551,2.0,3.0,1.0,7.0,0.0,23.0,6.0,11.0,5.0,12.0,9.0,8.0,13.0,31.0,62.0,10.0,4.0,16.0,59.0,28.0,14.0,39.0,92.0,29.0,44.0,27.0,32.0,107.0,74.0,55.0
2600,7.0,1.0,0.0,6.0,2.0,13.0,4.0,16.0,64.0,14.0,3.0,113.0,20.0,50.0,18.0,109.0,27.0,12.0,55.0,15.0,5.0,36.0,90.0,26.0,40.0,21.0,11.0,9.0,32.0,28.0
2649,4.0,3.0,1.0,5.0,0.0,19.0,10.0,6.0,8.0,2.0,7.0,15.0,12.0,9.0,13.0,27.0,17.0,18.0,28.0,21.0,20.0,16.0,89.0,11.0,41.0,14.0,34.0,26.0,74.0,53.0
2698,4.0,0.0,1.0,3.0,2.0,10.0,6.0,7.0,14.0,9.0,18.0,13.0,21.0,8.0,76.0,5.0,24.0,83.0,15.0,48.0,29.0,39.0,91.0,51.0,25.0,11.0,66.0,30.0,35.0,38.0
2747,3.0,2.0,0.0,6.0,7.0,43.0,12.0,4.0,10.0,13.0,1.0,20.0,19.0,47.0,64.0,11.0,14.0,5.0,21.0,17.0,9.0,37.0,96.0,16.0,33.0,8.0,68.0,27.0,38.0,41.0
2796,1.0,5.0,0.0,4.0,7.0,15.0,6.0,16.0,19.0,21.0,3.0,14.0,9.0,24.0,59.0,2.0,17.0,11.0,61.0,46.0,18.0,22.0,85.0,12.0,41.0,20.0,63.0,8.0,32.0,30.0
2845,0.0,4.0,1.0,2.0,5.0,16.0,11.0,7.0,3.0,78.0,15.0,27.0,83.0,9.0,31.0,10.0,25.0,6.0,29.0,21.0,8.0,12.0,92.0,13.0,19.0,20.0,28.0,17.0,24.0,35.0
2894,3.0,0.0,4.0,7.0,1.0,31.0,6.0,9.0,8.0,23.0,2.0,14.0,18.0,12.0,63.0,15.0,17.0,13.0,28.0,27.0,11.0,36.0,98.0,5.0,25.0,16.0,53.0,122.0,75.0,50.0
2943,1.0,0.0,2.0,3.0,5.0,8.0,19.0,88.0,29.0,35.0,4.0,14.0,21.0,18.0,7.0,114.0,27.0,22.0,6.0,9.0,31.0,13.0,86.0,49.0,45.0,24.0,20.0,113.0,59.0,26.0
2992,1.0,0.0,2.0,4.0,6.0,10.0,27.0,3.0,11.0,9.0,5.0,8.0,17.0,20.0,15.0,115.0,109.0,22.0,18.0,29.0,14.0,26.0,88.0,16.0,23.0,135.0,7.0,114.0,72.0,73.0
3041,0.0,1.0,2.0,4.0,10.0,12.0,14.0,3.0,5.0,6.0,19.0,8.0,11.0,20.0,22.0,13.0,106.0,18.0,7.0,17.0,100.0,39.0,87.0,45.0,34.0,47.0,15.0,115.0,32.0,23.0
3090,3.0,1.0,0.0,2.0,7.0,9.0,8.0,5.0,21.0,13.0,17.0,14.0,20.0,23.0,45.0,4.0,115.0,29.0,15.0,6.0,101.0,28.0,87.0,16.0,25.0,61.0,27.0,22.0,53.0,52.0
3139,1.0,2.0,0.0,10.0,4.0,37.0,19.0,3.0,12.0,8.0,6.0,119.0,18.0,74.0,17.0,22.0,9.0,20.0,11.0,13.0,102.0,44.0,90.0,30.0,7.0,27.0,15.0,111.0,32.0,34.0
3188,0.0,2.0,1.0,3.0,7.0,6.0,12.0,4.0,13.0,11.0,15.0,24.0,17.0,70.0,48.0,18.0,114.0,80.0,5.0,20.0,104.0,10.0,89.0,40.0,19.0,35.0,8.0,115.0,36.0,28.0
3237,0.0,2.0,1.0,13.0,7.0,10.0,116.0,3.0,11.0,26.0,14.0,83.0,9.0,8.0,55.0,23.0,20.0,22.0,4.0,17.0,12.0,25.0,102.0,100.0,16.0,120.0,6.0,101.0,34.0,47.0
3286,0.0,2.0,1.0,3.0,5.0,12.0,91.0,6.0,19.0,7.0,9.0,117.0,15.0,23.0,17.0,16.0,112.0,8.0,10.0,45.0,100.0,18.0,84.0,4.0,14.0,27.0,11.0,110.0,31.0,34.0
3335,1.0,2.0,0.0,3.0,8.0,6.0,15.0,5.0,4.0,20.0,16.0,28.0,22.0,74.0,11.0,25.0,17.0,12.0,9.0,32.0,105.0,38.0,89.0,51.0,18.0,53.0,21.0,118.0,47.0,42.0
