,TP53_MUT,CWF19L2_DEL,EP300_MUT,DPP6_DEL,GALNT13_DEL,WNK1_MUT,PCCB_DEL,ZNF705G_AMP,SLC7A5P2_DEL,GRIN2B_MUT,RPTOR_AMP,OR2L13_MUT,NRAS_MUT,PRB1_AMP,LOC100271836_DEL,KANK1_AMP,LCE3B_DEL,CSMD3_MUT,CNTN6_MUT,NBPF4_DEL,MAP3K9_MUT,RPS17_AMP,GOLGA6L9_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,RPS17L_AMP,PTPRD_DEL,PKHD1_MUT,KLK2_DEL,P2RX7_MUT
1010,0.0,17.0,7.0,14.0,2.0,16.0,1.0,39.0,5.0,21.0,10.0,4.0,6.0,54.0,15.0,22.0,91.0,36.0,48.0,3.0,23.0,256.0,254.0,258.0,255.0,257.0,104.0,135.0,11.0,45.0
1059,3.0,6.0,15.0,34.0,4.0,18.0,1.0,30.0,19.0,35.0,7.0,5.0,28.0,14.0,45.0,23.0,42.0,33.0,27.0,46.0,125.0,8.0,9.0,12.0,10.0,11.0,244.0,148.0,20.0,122.0
1108,2.0,19.0,11.0,3.0,9.0,7.0,1.0,35.0,0.0,77.0,4.0,15.0,22.0,23.0,6.0,60.0,153.0,220.0,39.0,10.0,139.0,29.0,30.0,28.0,31.0,27.0,5.0,149.0,36.0,55.0
1157,43.0,7.0,42.0,4.0,8.0,31.0,9.0,6.0,17.0,58.0,36.0,21.0,26.0,29.0,37.0,16.0,30.0,415.0,24.0,20.0,88.0,11.0,12.0,15.0,14.0,13.0,119.0,25.0,28.0,77.0
1206,0.0,7.0,11.0,10.0,4.0,28.0,26.0,9.0,16.0,18.0,5.0,17.0,15.0,8.0,38.0,6.0,169.0,96.0,23.0,32.0,158.0,37.0,33.0,36.0,35.0,34.0,162.0,51.0,53.0,39.0
1255,0.0,3.0,9.0,4.0,63.0,27.0,28.0,59.0,144.0,40.0,8.0,7.0,98.0,84.0,363.0,73.0,18783.0,5604.0,6.0,70.0,65.0,14.0,17.0,15.0,16.0,18.0,294.0,64.0,12.0,254.0
1304,1.0,103.0,39.0,5.0,44.0,19.0,4.0,8.0,7.0,40.0,37.0,45.0,115.0,26.0,14.0,62.0,230.0,97.0,70.0,68.0,54.0,21.0,23.0,22.0,20.0,24.0,71.0,33.0,86.0,46.0
1353,2.0,6.0,9.0,0.0,5.0,27.0,7.0,1.0,14.0,81.0,37.0,8.0,38.0,10.0,15.0,46.0,79.0,11.0,174.0,44.0,149.0,18.0,16.0,17.0,19.0,20.0,22.0,76.0,130.0,406.0
1402,9.0,1.0,28.0,7.0,8.0,23.0,0.0,58.0,13.0,24.0,5.0,10.0,6.0,19.0,25.0,50.0,101.0,53.0,30.0,21.0,46.0,16.0,17.0,15.0,14.0,18.0,125.0,31.0,20.0,40.0
1451,5.0,28.0,1.0,431.0,9.0,31.0,3.0,4.0,39.0,42.0,22.0,7.0,25.0,47.0,99.0,10.0,2129.0,139.0,79.0,14.0,220.0,17.0,19.0,21.0,18.0,20.0,43.0,105.0,27.0,50.0
1500,0.0,76.0,5.0,46.0,2.0,8.0,43.0,31.0,10.0,3.0,1.0,30.0,53.0,7.0,26.0,39.0,9.0,54.0,35.0,44.0,38.0,19.0,17.0,21.0,20.0,18.0,80.0,15.0,140.0,50.0
1549,7.0,5.0,0.0,53.0,1.0,59.0,44.0,92.0,15.0,30.0,10.0,11.0,13.0,23.0,45.0,188.0,41.0,4.0,9.0,33.0,117.0,19.0,18.0,22.0,21.0,20.0,50.0,1216.0,79.0,199.0
1598,0.0,19.0,1.0,15.0,2.0,6.0,37.0,18.0,13.0,11.0,3.0,17.0,24.0,34.0,22.0,223.0,33.0,9.0,16.0,64.0,10.0,132.0,134.0,133.0,135.0,131.0,14.0,102.0,28.0,60.0
1647,11.0,33.0,0.0,121.0,18.0,4.0,10.0,12.0,26.0,2.0,7.0,9.0,23.0,28.0,87.0,61.0,72.0,75.0,19.0,14.0,37.0,44.0,42.0,46.0,43.0,45.0,115.0,21.0,74.0,34.0
1696,1.0,13.0,3.0,12.0,0.0,11.0,121.0,2.0,66.0,29.0,14.0,15.0,27.0,16.0,67.0,56.0,5.0,80.0,33.0,52.0,38.0,9.0,6.0,10.0,7.0,8.0,20.0,51.0,28.0,49.0
1745,0.0,26.0,1.0,14.0,22.0,21.0,19.0,4.0,5.0,15.0,3.0,421.0,131.0,40.0,17.0,2.0,173.0,25.0,18.0,84.0,6.0,11.0,9.0,12.0,13.0,10.0,52.0,150.0,37.0,90.0
1794,20.0,35.0,8.0,31.0,2.0,72.0,42.0,13.0,4.0,47.0,3.0,11.0,27.0,16.0,10.0,102.0,1.0,6.0,18.0,38.0,57.0,310.0,312.0,309.0,311.0,313.0,66.0,71.0,34.0,70.0
1843,0.0,6.0,1.0,3.0,2.0,7.0,8.0,243.0,66.0,4.0,24.0,32.0,22.0,35.0,143.0,153.0,31.0,26.0,5.0,56.0,10.0,19.0,16.0,15.0,17.0,18.0,180.0,41.0,21.0,95.0
1892,1.0,6.0,0.0,30.0,2.0,4.0,13.0,9.0,3.0,19.0,18.0,37.0,42.0,24.0,7.0,27.0,206.0,11.0,5.0,20.0,46.0,69.0,72.0,71.0,70.0,73.0,101.0,34.0,31.0,91.0
1941,0.0,7.0,2.0,15.0,1.0,33.0,8.0,56.0,6.0,14.0,23.0,29.0,40.0,26.0,31.0,153.0,3.0,5.0,22.0,35.0,27.0,11.0,9.0,13.0,12.0,10.0,28.0,168.0,57.0,167.0
1990,1.0,62.0,6.0,0.0,94.0,4.0,36.0,7.0,19.0,68.0,26.0,112.0,298.0,90.0,48.0,129.0,13.0,14.0,31.0,12.0,528.0,42.0,43.0,44.0,45.0,46.0,10.0,9.0,190.0,76.0
2039,0.0,32.0,15.0,2.0,42.0,25.0,41.0,28.0,195.0,40.0,128.0,100.0,1057.0,23.0,581.0,5.0,71.0,22.0,8.0,228.0,19.0,14.0,13.0,12.0,10.0,11.0,162.0,17.0,423.0,120.0
2088,0.0,9.0,3.0,1.0,25.0,2.0,68.0,6.0,59.0,71.0,30.0,269.0,126.0,81.0,61.0,12.0,4.0,11.0,31.0,66.0,53.0,50.0,48.0,46.0,49.0,47.0,95.0,7.0,184.0,91.0
2137,0.0,38.0,5.0,17.0,192.0,10.0,22.0,13.0,7.0,46.0,21.0,26.0,234.0,44.0,14.0,3.0,2.0,28.0,145.0,6.0,137.0,35.0,34.0,31.0,33.0,32.0,90.0,12.0,829.0,45.0
2186,0.0,31.0,2.0,1.0,68.0,5.0,49.0,13.0,17.0,15.0,407.0,73.0,203.0,48.0,35.0,4.0,3.0,6.0,178.0,10.0,32.0,22.0,24.0,23.0,25.0,26.0,603.0,16.0,234.0,472.0
2235,0.0,4.0,1.0,2.0,85.0,9.0,119.0,7.0,12.0,6.0,228.0,55.0,213.0,15.0,29.0,10.0,24.0,63.0,56.0,11.0,38.0,218.0,217.0,216.0,219.0,220.0,329.0,3.0,152.0,405.0
2284,0.0,14.0,1.0,2.0,33.0,4.0,154.0,6.0,51.0,22.0,71.0,91.0,316.0,21.0,106.0,223.0,3.0,18.0,52.0,12.0,39.0,198.0,201.0,199.0,197.0,200.0,43.0,5.0,123.0,82.0
2333,0.0,33.0,2.0,4.0,99.0,1.0,55.0,3.0,25.0,31.0,27.0,147.0,155.0,69.0,57.0,16.0,65.0,39.0,86.0,13.0,35.0,22.0,21.0,19.0,20.0,18.0,3711.0,6.0,305.0,88.0
2382,0.0,8.0,2.0,1.0,27.0,6.0,38.0,25.0,14.0,34.0,76.0,104.0,157.0,74.0,47.0,11.0,3.0,28.0,147.0,29.0,575.0,51.0,48.0,50.0,52.0,49.0,1416.0,4.0,349.0,111.0
2431,0.0,14.0,11.0,10.0,47.0,2.0,30.0,9.0,39.0,19.0,79.0,197.0,304.0,50.0,68.0,37.0,3.0,13.0,22.0,122.0,12.0,148.0,149.0,147.0,150.0,151.0,6365.0,4.0,135.0,119.0
2480,0.0,57.0,14.0,5.0,35.0,8.0,12.0,25.0,1.0,16.0,145.0,215.0,92.0,6.0,2.0,19.0,3.0,43.0,21.0,7.0,17.0,28.0,30.0,27.0,31.0,29.0,59.0,15.0,82.0,39.0
2529,21.0,19.0,6.0,2.0,0.0,7.0,1.0,22.0,9.0,16.0,14.0,12.0,23.0,4.0,8.0,17.0,35.0,20.0,50.0,52.0,162.0,39.0,41.0,40.0,38.0,37.0,51.0,13.0,81.0,47.0
2578,10.0,5.0,0.0,1.0,13.0,2.0,12.0,34.0,3.0,6.0,22.0,18.0,15.0,78.0,4.0,334.0,17.0,138.0,25.0,24.0,19.0,82.0,81.0,84.0,80.0,83.0,16.0,35.0,48.0,54.0
2627,3.0,18.0,6.0,0.0,4.0,1.0,25.0,2.0,8.0,46.0,94.0,19.0,17.0,21.0,9.0,28.0,5.0,10.0,23.0,26.0,39.0,15.0,14.0,13.0,12.0,16.0,7.0,49.0,62.0,56.0
2676,3.0,12.0,2.0,0.0,7.0,14.0,43.0,67.0,5.0,10.0,26.0,13.0,20.0,9.0,6.0,8.0,1.0,17.0,24.0,28.0,25.0,46.0,50.0,49.0,48.0,47.0,140.0,22.0,82.0,58.0
2725,59.0,6.0,0.0,42.0,5.0,2.0,30.0,14.0,7.0,15.0,9.0,21.0,77.0,10.0,8.0,226.0,1.0,22.0,28.0,41.0,52.0,19.0,17.0,18.0,20.0,16.0,3.0,78.0,53.0,26.0
2774,16.0,9.0,17.0,5.0,11.0,4.0,7.0,8.0,1.0,0.0,25.0,32.0,47.0,15.0,2.0,101.0,10.0,35.0,100.0,46.0,14.0,52.0,51.0,50.0,48.0,49.0,132.0,41.0,146.0,116.0
2823,1.0,2.0,21.0,7.0,0.0,6.0,17.0,8.0,3.0,14.0,44.0,34.0,31.0,11.0,5.0,27.0,58.0,25.0,24.0,10.0,33.0,286.0,287.0,290.0,289.0,288.0,229.0,19.0,79.0,46.0
2872,8.0,4.0,1.0,0.0,10.0,2.0,14.0,51.0,45.0,49.0,11.0,29.0,21.0,56.0,47.0,32.0,6.0,5.0,33.0,12.0,31.0,19.0,16.0,17.0,18.0,20.0,125.0,83.0,176.0,114.0
2921,0.0,12.0,1.0,4.0,11.0,6.0,7.0,31.0,2.0,38.0,28.0,21.0,25.0,27.0,3.0,5.0,8.0,54.0,150.0,9.0,93.0,121.0,120.0,119.0,123.0,122.0,34.0,99.0,80.0,109.0
2970,4.0,8.0,6.0,3.0,11.0,5.0,64.0,10.0,956.0,33.0,32.0,7.0,18.0,15.0,2681.0,0.0,39.0,16.0,38.0,27.0,310.0,112.0,108.0,109.0,111.0,110.0,1.0,43.0,117.0,48.0
3019,29.0,2.0,12.0,0.0,9.0,3.0,59.0,4.0,158.0,16.0,33.0,10.0,7.0,58.0,293.0,48.0,19.0,62.0,18.0,143.0,93.0,275.0,276.0,277.0,273.0,274.0,43.0,15.0,20.0,28.0
3068,17.0,18.0,34.0,11.0,5.0,15.0,30.0,3.0,76.0,57.0,12.0,4.0,13.0,16.0,134.0,22.0,43.0,55.0,21.0,29.0,112.0,72.0,69.0,73.0,71.0,70.0,0.0,68.0,6.0,9.0
3117,11.0,2.0,9.0,3.0,7.0,13.0,106.0,0.0,63.0,10.0,6.0,8.0,5.0,17.0,73.0,1.0,28.0,30.0,69.0,98.0,51.0,59.0,58.0,60.0,57.0,61.0,14.0,22.0,68.0,62.0
3166,5.0,16.0,6.0,0.0,50.0,1.0,31.0,45.0,310.0,17.0,77.0,141.0,46.0,121.0,1213.0,3.0,11.0,27.0,19.0,22.0,111.0,289.0,293.0,291.0,292.0,290.0,4.0,38.0,13.0,25.0
3215,9.0,10.0,7.0,0.0,81.0,2.0,30.0,41.0,77.0,19.0,36.0,5.0,20.0,23.0,192.0,3.0,6.0,226.0,56.0,13.0,217.0,368.0,365.0,364.0,366.0,367.0,122.0,216.0,18.0,21.0
3264,5.0,0.0,6.0,1.0,3.0,2.0,18.0,13.0,220.0,4.0,48.0,35.0,7.0,16.0,614.0,24.0,21.0,19.0,22.0,92.0,40.0,32.0,33.0,31.0,30.0,34.0,12.0,44.0,10.0,482.0
3313,2.0,7.0,14.0,0.0,33.0,1.0,42.0,12.0,174.0,10.0,21.0,5.0,15.0,37.0,461.0,97.0,32.0,6.0,20.0,220.0,50.0,162.0,159.0,158.0,161.0,160.0,13.0,19.0,17.0,30.0
3362,10.0,2.0,0.0,25.0,21.0,1.0,687.0,4.0,71.0,6.0,16.0,11.0,27.0,19.0,148.0,628.0,8.0,49.0,35.0,43.0,30.0,459.0,457.0,458.0,461.0,460.0,3.0,63.0,12.0,47.0
3411,0.0,37.0,5.0,4.0,22.0,1.0,43.0,11.0,388.0,6.0,36.0,10.0,16.0,27.0,1404.0,17.0,3.0,19.0,15.0,32.0,30.0,55.0,52.0,54.0,53.0,51.0,9.0,8.0,91.0,25.0
3460,0.0,6.0,8.0,22.0,2.0,37.0,26.0,1.0,4.0,38.0,12.0,9.0,15.0,19.0,11.0,7.0,151.0,16.0,399.0,21.0,386.0,112.0,108.0,110.0,111.0,109.0,47.0,50.0,48.0,45.0
3509,0.0,1.0,7.0,2.0,6.0,5.0,12.0,4.0,16.0,35.0,10.0,19.0,42.0,13.0,41.0,3.0,154.0,44.0,185.0,52.0,63.0,27.0,28.0,30.0,26.0,29.0,67.0,22.0,247.0,68.0
3558,3.0,1.0,7.0,13.0,17.0,11.0,9.0,2.0,4.0,29.0,5.0,15.0,20.0,19.0,8.0,0.0,142.0,40.0,108.0,28.0,33.0,57.0,60.0,61.0,58.0,59.0,38.0,121.0,76.0,43.0
3607,4.0,0.0,1.0,7.0,27.0,16.0,17.0,18.0,15.0,14.0,28.0,8.0,34.0,9.0,33.0,6.0,592.0,469.0,89.0,24.0,50.0,37.0,36.0,39.0,35.0,38.0,219.0,161.0,69.0,86.0
3656,0.0,9.0,2.0,195.0,20.0,4.0,8.0,47.0,15.0,6.0,5.0,3.0,254.0,19.0,23.0,1.0,150.0,82.0,61.0,130.0,22.0,11.0,14.0,10.0,12.0,13.0,7.0,36.0,45.0,17.0
3705,1.0,2.0,4.0,143.0,6.0,47.0,11.0,3.0,92.0,5.0,7.0,24.0,12.0,9.0,208.0,0.0,28.0,34.0,41.0,35.0,63.0,20.0,17.0,16.0,18.0,19.0,200.0,53.0,43.0,30.0
3754,2.0,1.0,15.0,12.0,45.0,24.0,7.0,8.0,22.0,10.0,35.0,34.0,19.0,197.0,23.0,0.0,32.0,416.0,28.0,29.0,141.0,196.0,194.0,195.0,192.0,193.0,19395.0,95.0,53.0,39.0
3803,3.0,1.0,4.0,38.0,12.0,43.0,6.0,9.0,13.0,17.0,7.0,8.0,87.0,11.0,28.0,0.0,39.0,157.0,107.0,10.0,119.0,34.0,32.0,35.0,36.0,33.0,186.0,313.0,113.0,20.0
3852,0.0,3.0,930.0,2114.0,7.0,36.0,12.0,4.0,5.0,35.0,6.0,14.0,20.0,17.0,11.0,1.0,37.0,21.0,56.0,110.0,45.0,83.0,81.0,80.0,82.0,84.0,16.0,2.0,174.0,22.0
3901,0.0,7.0,2.0,8.0,49.0,18.0,3.0,37.0,4.0,6.0,74.0,63.0,137.0,34.0,5.0,1.0,20.0,145.0,90.0,43.0,56.0,14.0,13.0,15.0,12.0,16.0,9.0,47.0,51.0,26.0
3950,0.0,16.0,20.0,51.0,6.0,52.0,18.0,471.0,21.0,24.0,15.0,25.0,34.0,14.0,39.0,1.0,3169.0,27.0,50.0,29.0,177.0,9.0,7.0,11.0,10.0,8.0,13.0,76.0,107.0,31.0
3999,0.0,17.0,7.0,42.0,1.0,33.0,14.0,190.0,8.0,24.0,21.0,39.0,30.0,35.0,9.0,13.0,71.0,18.0,25.0,34.0,41.0,5.0,2.0,4.0,3.0,6.0,15.0,80.0,40.0,52.0
4048,0.0,9.0,52.0,62.0,1.0,203.0,7.0,975.0,4.0,50.0,18.0,11.0,2.0,33.0,10.0,69.0,329.0,5.0,36.0,15.0,157.0,30.0,26.0,29.0,28.0,27.0,198.0,112.0,45.0,47.0
4097,0.0,6.0,8.0,5.0,4.0,31.0,41.0,103.0,115.0,47.0,43.0,36.0,24.0,27.0,283.0,26.0,222.0,45.0,76.0,14.0,300.0,13.0,12.0,10.0,11.0,9.0,179.0,468.0,139.0,124.0
4146,0.0,11.0,8.0,140.0,2.0,22.0,10.0,26.0,44.0,13.0,9.0,35.0,41.0,34.0,86.0,12.0,3883.0,17.0,25.0,47.0,31.0,5.0,7.0,6.0,3.0,4.0,19.0,921.0,60.0,37.0
4195,0.0,80.0,40.0,29.0,13.0,149.0,8.0,278.0,10.0,16.0,95.0,103.0,150.0,39.0,31.0,22.0,77.0,11.0,14.0,43.0,30.0,21.0,20.0,17.0,18.0,19.0,4.0,224.0,72.0,42.0
4244,0.0,3.0,2.0,29.0,1.0,20.0,4.0,102.0,24.0,21.0,5.0,25.0,16.0,116.0,35.0,6.0,6078.0,19.0,22.0,15.0,83.0,13.0,11.0,9.0,10.0,12.0,46.0,63.0,56.0,33.0
4293,0.0,10.0,9.0,51.0,28.0,54.0,12.0,197.0,74.0,53.0,11.0,16.0,33.0,25.0,221.0,14.0,318.0,233.0,15.0,31.0,109.0,5.0,4.0,3.0,1.0,2.0,117.0,84.0,50.0,24.0
4342,0.0,2.0,4.0,29.0,3.0,143.0,5.0,132.0,6.0,22.0,17.0,57.0,18.0,31.0,10.0,7.0,1109.0,86.0,58.0,8.0,62.0,44.0,45.0,46.0,48.0,47.0,101.0,628.0,33.0,65.0
4391,0.0,2.0,47.0,10.0,1.0,40.0,16.0,34.0,18.0,43.0,50.0,35.0,7.0,20.0,31.0,6.0,1822.0,33.0,272.0,41.0,42.0,23.0,21.0,22.0,24.0,25.0,85.0,654.0,30.0,978.0
4440,0.0,1.0,9.0,75.0,4.0,53.0,15.0,14.0,3.0,16.0,12.0,28.0,17.0,8.0,5.0,16058.0,7.0,348.0,110.0,310.0,6.0,151.0,150.0,153.0,149.0,152.0,49.0,23.0,25.0,571.0
4489,0.0,1.0,68.0,4170.0,7.0,75.0,14.0,17.0,21.0,33.0,2.0,4.0,35.0,15.0,47.0,23714.0,23.0,1506.0,106.0,1968.0,57.0,83.0,82.0,81.0,79.0,80.0,3.0,20.0,9.0,469.0
4538,7.0,0.0,28.0,102.0,6.0,5.0,15.0,117.0,14.0,9.0,35.0,59.0,16.0,19.0,22.0,4756.0,1.0,74.0,34.0,180.0,4.0,100.0,97.0,98.0,101.0,99.0,76.0,18.0,49.0,842.0
4587,1.0,0.0,66.0,86.0,7.0,48.0,54.0,6.0,4.0,12.0,2.0,10.0,14.0,19.0,9.0,13187.0,5.0,51.0,183.0,727.0,3.0,252.0,253.0,254.0,250.0,251.0,41.0,27.0,15.0,403.0
4636,0.0,1.0,17.0,24.0,12.0,39.0,10.0,43.0,11.0,3.0,16.0,5.0,30.0,26.0,25.0,23108.0,2.0,68.0,112.0,170.0,6.0,59.0,58.0,56.0,57.0,55.0,32.0,29.0,27.0,388.0
4685,1.0,0.0,10.0,4.0,2.0,11.0,37.0,210.0,13.0,3.0,54.0,12.0,15.0,7.0,14.0,20451.0,18.0,323.0,176.0,122.0,19.0,204.0,201.0,203.0,202.0,205.0,46.0,8.0,20.0,1033.0
4734,0.0,10.0,3.0,1889.0,19.0,61.0,44.0,29.0,12.0,4.0,23.0,6.0,16.0,11.0,22.0,1685.0,1.0,228.0,380.0,165.0,31.0,291.0,288.0,287.0,290.0,289.0,26.0,15.0,14.0,351.0
4783,1.0,14.0,44.0,106.0,31.0,22.0,13.0,21.0,4.0,5.0,266.0,126.0,90.0,29.0,8.0,268.0,0.0,46.0,349.0,47.0,7.0,96.0,97.0,94.0,98.0,95.0,16.0,19.0,86.0,279.0
4832,0.0,6.0,22.0,190.0,4.0,13.0,12.0,80.0,15.0,8.0,30.0,26.0,23.0,7.0,20.0,17006.0,1.0,46.0,111.0,651.0,3.0,65.0,64.0,63.0,66.0,62.0,134.0,9.0,19.0,579.0
4881,1.0,0.0,5.0,51.0,4.0,48.0,20.0,27.0,19.0,36.0,18.0,12.0,13.0,38.0,34.0,514.0,2.0,49.0,395.0,470.0,22.0,97.0,99.0,96.0,98.0,95.0,74.0,7.0,50.0,6294.0
