,4E-BP1,HER2_pY1248,XBP1,SHP-2_pY542,IRS1,RSK1-2-3,Rictor_pT1135,c-Kit,Rab25,Claudin-7,PRDX1,Porin,NDRG1_pT346,E-Cadherin,YAP_pS127,Akt_pS473,AMPK_pT172,A-Raf_pS299,Transglutaminase,STAT5-alpha,Acetyl-a-Tubulin (Lys40),PDK1,PAI-1,PDK1_pS241,PDCD4,Paxillin,p90RSK_pT573,p90RSK_pT359_S363,PEA15,p62 Lck ligand
741,40.0,1.0,39.0,15.0,32.0,0.0,10.0,9.0,24.0,4.0,5.0,20.0,26.0,22.0,2.0,118.0,6.0,36.0,27.0,69.0,114.0,21.0,16.0,45.0,44.0,43.0,12.0,58.0,55.0,50.0
790,3.0,0.0,2.0,25.0,7.0,13.0,79.0,14.0,24.0,21.0,18.0,20.0,29.0,157.0,1.0,120.0,31.0,4.0,64.0,68.0,116.0,42.0,23.0,56.0,41.0,43.0,45.0,44.0,73.0,47.0
839,0.0,1.0,34.0,21.0,2.0,3.0,17.0,104.0,6.0,10.0,8.0,16.0,39.0,15.0,9.0,122.0,4.0,115.0,66.0,71.0,118.0,43.0,45.0,25.0,58.0,46.0,50.0,14.0,41.0,54.0
888,1.0,7.0,2.0,11.0,5.0,6.0,82.0,4.0,20.0,19.0,21.0,61.0,85.0,23.0,62.0,121.0,0.0,37.0,69.0,30.0,118.0,48.0,8.0,45.0,46.0,50.0,13.0,53.0,39.0,59.0
937,24.0,0.0,25.0,94.0,3.0,18.0,85.0,4.0,13.0,12.0,92.0,93.0,155.0,31.0,1.0,6.0,36.0,27.0,70.0,5.0,121.0,44.0,17.0,43.0,60.0,47.0,48.0,49.0,41.0,50.0
986,38.0,3.0,0.0,1.0,24.0,12.0,5.0,106.0,16.0,28.0,19.0,20.0,30.0,18.0,37.0,34.0,6.0,2.0,86.0,40.0,118.0,22.0,46.0,50.0,43.0,44.0,45.0,51.0,55.0,53.0
1035,24.0,2.0,5.0,11.0,37.0,6.0,0.0,16.0,59.0,1.0,14.0,34.0,4.0,26.0,23.0,32.0,35.0,116.0,67.0,28.0,22.0,40.0,45.0,43.0,42.0,57.0,46.0,47.0,39.0,49.0
1084,0.0,4.0,1.0,6.0,25.0,68.0,11.0,104.0,29.0,151.0,16.0,26.0,18.0,19.0,37.0,5.0,30.0,115.0,35.0,32.0,119.0,21.0,40.0,76.0,51.0,39.0,41.0,42.0,63.0,44.0
1133,3.0,1.0,0.0,26.0,5.0,25.0,24.0,128.0,49.0,15.0,19.0,46.0,138.0,11.0,30.0,43.0,37.0,6.0,78.0,28.0,97.0,55.0,58.0,54.0,56.0,57.0,59.0,60.0,53.0,62.0
1182,1.0,2.0,4.0,0.0,22.0,7.0,8.0,108.0,13.0,14.0,84.0,26.0,5.0,27.0,59.0,33.0,122.0,31.0,30.0,72.0,34.0,37.0,40.0,39.0,45.0,18.0,42.0,44.0,48.0,60.0
1231,2.0,0.0,9.0,4.0,11.0,22.0,33.0,19.0,17.0,1.0,86.0,24.0,55.0,154.0,60.0,3.0,123.0,5.0,64.0,7.0,117.0,41.0,38.0,34.0,37.0,35.0,40.0,56.0,36.0,44.0
1280,42.0,1.0,0.0,37.0,22.0,72.0,73.0,29.0,3.0,9.0,11.0,14.0,7.0,154.0,43.0,118.0,33.0,38.0,35.0,36.0,122.0,46.0,48.0,65.0,45.0,47.0,49.0,64.0,80.0,52.0
1329,29.0,26.0,7.0,10.0,39.0,2.0,84.0,13.0,90.0,151.0,4.0,9.0,0.0,8.0,28.0,122.0,3.0,5.0,69.0,38.0,118.0,56.0,53.0,52.0,57.0,58.0,45.0,44.0,51.0,55.0
1378,7.0,16.0,8.0,0.0,150.0,27.0,4.0,33.0,40.0,10.0,26.0,25.0,21.0,5.0,70.0,38.0,1.0,36.0,78.0,98.0,96.0,54.0,57.0,23.0,55.0,56.0,58.0,59.0,53.0,61.0
1427,0.0,2.0,1.0,4.0,29.0,15.0,14.0,5.0,10.0,150.0,7.0,80.0,32.0,156.0,8.0,117.0,31.0,26.0,28.0,64.0,113.0,12.0,39.0,54.0,41.0,40.0,42.0,38.0,70.0,44.0
1476,3.0,24.0,4.0,5.0,7.0,30.0,19.0,0.0,31.0,150.0,14.0,1.0,28.0,18.0,2.0,33.0,123.0,6.0,34.0,79.0,117.0,20.0,22.0,90.0,62.0,47.0,40.0,48.0,87.0,41.0
1525,38.0,7.0,37.0,92.0,1.0,13.0,12.0,19.0,15.0,151.0,84.0,2.0,31.0,11.0,0.0,4.0,124.0,5.0,63.0,32.0,119.0,47.0,43.0,44.0,40.0,41.0,45.0,21.0,50.0,49.0
1574,31.0,3.0,30.0,0.0,1.0,5.0,78.0,107.0,25.0,150.0,13.0,11.0,57.0,155.0,34.0,32.0,4.0,114.0,65.0,2.0,29.0,39.0,45.0,41.0,44.0,40.0,7.0,22.0,43.0,48.0
1623,0.0,7.0,64.0,28.0,34.0,86.0,17.0,4.0,91.0,23.0,16.0,15.0,22.0,20.0,8.0,1.0,36.0,9.0,71.0,3.0,121.0,49.0,55.0,47.0,53.0,54.0,57.0,39.0,48.0,58.0
1672,39.0,132.0,37.0,26.0,136.0,24.0,82.0,3.0,85.0,23.0,21.0,89.0,92.0,17.0,0.0,31.0,33.0,7.0,69.0,2.0,120.0,44.0,42.0,48.0,46.0,8.0,49.0,53.0,45.0,57.0
1721,7.0,19.0,61.0,79.0,4.0,16.0,83.0,15.0,23.0,10.0,9.0,2.0,26.0,151.0,0.0,5.0,36.0,31.0,67.0,32.0,120.0,18.0,52.0,45.0,47.0,49.0,54.0,58.0,21.0,39.0
1770,7.0,132.0,6.0,0.0,4.0,5.0,72.0,9.0,80.0,129.0,29.0,2.0,28.0,30.0,8.0,1.0,37.0,35.0,87.0,73.0,117.0,23.0,42.0,46.0,44.0,43.0,41.0,40.0,47.0,49.0
1819,9.0,133.0,10.0,6.0,17.0,4.0,14.0,12.0,79.0,1.0,83.0,19.0,13.0,152.0,0.0,2.0,33.0,115.0,5.0,35.0,31.0,42.0,23.0,43.0,41.0,39.0,24.0,25.0,44.0,40.0
1868,32.0,22.0,3.0,0.0,5.0,11.0,8.0,4.0,27.0,17.0,86.0,9.0,16.0,2.0,1.0,7.0,36.0,6.0,64.0,75.0,120.0,44.0,41.0,45.0,42.0,46.0,40.0,21.0,50.0,62.0
1917,2.0,3.0,36.0,31.0,23.0,14.0,13.0,103.0,11.0,9.0,86.0,87.0,5.0,156.0,63.0,4.0,37.0,124.0,38.0,94.0,7.0,80.0,19.0,95.0,30.0,48.0,45.0,44.0,67.0,43.0
1966,30.0,9.0,0.0,22.0,148.0,8.0,93.0,123.0,7.0,109.0,20.0,48.0,26.0,11.0,2.0,1.0,31.0,36.0,24.0,5.0,33.0,53.0,56.0,52.0,54.0,55.0,57.0,58.0,50.0,60.0
2015,3.0,1.0,4.0,7.0,2.0,17.0,90.0,14.0,12.0,5.0,81.0,79.0,29.0,157.0,37.0,0.0,117.0,31.0,75.0,64.0,27.0,45.0,19.0,44.0,57.0,47.0,48.0,15.0,41.0,46.0
2064,29.0,4.0,35.0,1.0,0.0,8.0,16.0,11.0,82.0,19.0,26.0,23.0,28.0,161.0,64.0,7.0,122.0,3.0,69.0,75.0,5.0,54.0,10.0,49.0,55.0,56.0,61.0,48.0,47.0,58.0
2113,25.0,7.0,5.0,3.0,33.0,10.0,87.0,14.0,6.0,151.0,4.0,78.0,27.0,156.0,59.0,29.0,8.0,1.0,0.0,34.0,117.0,40.0,17.0,39.0,42.0,43.0,46.0,47.0,38.0,50.0
2162,8.0,3.0,7.0,22.0,1.0,21.0,96.0,19.0,20.0,114.0,45.0,43.0,10.0,108.0,29.0,36.0,39.0,33.0,25.0,24.0,4.0,55.0,58.0,54.0,56.0,57.0,30.0,59.0,52.0,61.0
2211,2.0,7.0,3.0,1.0,5.0,0.0,13.0,11.0,84.0,14.0,15.0,90.0,129.0,153.0,39.0,33.0,30.0,32.0,31.0,4.0,36.0,42.0,44.0,45.0,41.0,43.0,46.0,47.0,48.0,52.0
2260,2.0,0.0,3.0,6.0,7.0,14.0,15.0,12.0,24.0,1.0,86.0,88.0,36.0,152.0,28.0,33.0,35.0,5.0,80.0,52.0,30.0,41.0,45.0,40.0,43.0,44.0,46.0,47.0,39.0,49.0
2309,27.0,143.0,4.0,93.0,2.0,9.0,84.0,7.0,94.0,15.0,16.0,18.0,3.0,19.0,1.0,33.0,35.0,28.0,36.0,71.0,31.0,50.0,59.0,49.0,53.0,56.0,57.0,6.0,47.0,48.0
2358,38.0,5.0,3.0,0.0,7.0,72.0,13.0,14.0,16.0,150.0,9.0,84.0,28.0,156.0,2.0,31.0,1.0,4.0,35.0,30.0,118.0,47.0,19.0,62.0,44.0,42.0,48.0,43.0,77.0,46.0
2407,0.0,7.0,1.0,3.0,36.0,13.0,15.0,101.0,19.0,151.0,4.0,90.0,93.0,156.0,62.0,127.0,122.0,5.0,67.0,72.0,27.0,38.0,24.0,41.0,45.0,58.0,51.0,53.0,44.0,46.0
2456,0.0,1.0,23.0,76.0,3.0,9.0,14.0,5.0,19.0,13.0,87.0,89.0,7.0,6.0,62.0,37.0,34.0,25.0,32.0,21.0,31.0,41.0,46.0,39.0,44.0,58.0,47.0,48.0,40.0,10.0
2505,0.0,9.0,42.0,26.0,1.0,4.0,5.0,3.0,21.0,18.0,89.0,91.0,6.0,23.0,66.0,123.0,126.0,2.0,72.0,75.0,119.0,24.0,52.0,45.0,46.0,62.0,53.0,58.0,47.0,51.0
2554,10.0,25.0,13.0,26.0,12.0,16.0,70.0,2.0,28.0,4.0,3.0,7.0,0.0,9.0,29.0,121.0,5.0,32.0,89.0,81.0,34.0,36.0,40.0,35.0,37.0,38.0,14.0,41.0,45.0,43.0
2603,1.0,12.0,35.0,26.0,32.0,5.0,9.0,14.0,92.0,19.0,21.0,0.0,7.0,153.0,36.0,127.0,123.0,3.0,34.0,8.0,6.0,17.0,49.0,44.0,47.0,46.0,51.0,52.0,43.0,55.0
2652,3.0,7.0,36.0,26.0,31.0,4.0,83.0,103.0,17.0,18.0,6.0,8.0,1.0,23.0,63.0,121.0,124.0,33.0,68.0,74.0,28.0,25.0,13.0,46.0,48.0,51.0,9.0,56.0,59.0,47.0
2701,1.0,135.0,26.0,9.0,5.0,3.0,6.0,103.0,0.0,7.0,17.0,19.0,2.0,21.0,4.0,121.0,124.0,28.0,8.0,72.0,29.0,13.0,55.0,49.0,53.0,54.0,57.0,47.0,45.0,52.0
2750,11.0,0.0,23.0,20.0,30.0,34.0,10.0,4.0,9.0,29.0,25.0,61.0,31.0,151.0,62.0,8.0,7.0,117.0,68.0,73.0,1.0,36.0,58.0,39.0,16.0,17.0,44.0,43.0,41.0,26.0
2799,2.0,132.0,3.0,32.0,4.0,5.0,9.0,7.0,13.0,15.0,18.0,20.0,29.0,153.0,31.0,40.0,35.0,37.0,42.0,30.0,33.0,22.0,47.0,50.0,46.0,45.0,43.0,48.0,63.0,49.0
2848,0.0,21.0,35.0,8.0,3.0,1.0,5.0,11.0,7.0,6.0,16.0,17.0,2.0,15.0,28.0,33.0,36.0,4.0,87.0,74.0,32.0,20.0,37.0,43.0,39.0,38.0,42.0,61.0,44.0,47.0
2897,2.0,9.0,23.0,73.0,4.0,16.0,79.0,98.0,18.0,7.0,88.0,27.0,37.0,1.0,22.0,32.0,121.0,5.0,33.0,66.0,28.0,42.0,8.0,3.0,56.0,44.0,45.0,46.0,41.0,14.0
2946,0.0,1.0,4.0,15.0,145.0,3.0,80.0,100.0,86.0,149.0,36.0,35.0,20.0,29.0,25.0,33.0,8.0,27.0,34.0,71.0,118.0,41.0,58.0,44.0,42.0,38.0,24.0,46.0,40.0,48.0
2995,2.0,133.0,3.0,6.0,0.0,4.0,19.0,102.0,82.0,150.0,23.0,17.0,59.0,33.0,1.0,8.0,123.0,116.0,7.0,69.0,29.0,45.0,43.0,61.0,44.0,42.0,46.0,47.0,76.0,49.0
3044,2.0,0.0,34.0,8.0,33.0,11.0,12.0,9.0,17.0,130.0,19.0,21.0,6.0,20.0,36.0,31.0,28.0,1.0,41.0,73.0,118.0,51.0,54.0,13.0,52.0,53.0,55.0,57.0,59.0,24.0
3093,4.0,30.0,5.0,82.0,12.0,0.0,14.0,105.0,8.0,153.0,20.0,1.0,43.0,158.0,3.0,10.0,124.0,28.0,67.0,62.0,119.0,40.0,49.0,37.0,42.0,48.0,9.0,35.0,36.0,47.0
3142,1.0,7.0,34.0,74.0,138.0,15.0,16.0,106.0,81.0,150.0,84.0,9.0,6.0,25.0,0.0,32.0,120.0,2.0,3.0,31.0,28.0,42.0,39.0,36.0,37.0,11.0,18.0,44.0,38.0,49.0
3191,1.0,11.0,0.0,30.0,15.0,5.0,29.0,34.0,28.0,131.0,7.0,27.0,21.0,111.0,2.0,8.0,135.0,4.0,31.0,84.0,97.0,54.0,57.0,53.0,55.0,56.0,58.0,59.0,52.0,61.0
3240,3.0,143.0,0.0,93.0,5.0,84.0,9.0,23.0,91.0,11.0,7.0,13.0,14.0,152.0,30.0,123.0,29.0,6.0,33.0,4.0,121.0,45.0,47.0,39.0,59.0,20.0,19.0,48.0,40.0,22.0
3289,0.0,7.0,1.0,5.0,138.0,2.0,3.0,4.0,9.0,148.0,23.0,89.0,6.0,28.0,32.0,24.0,124.0,116.0,25.0,71.0,27.0,39.0,42.0,35.0,40.0,49.0,56.0,18.0,36.0,41.0
3338,1.0,22.0,2.0,3.0,24.0,4.0,5.0,14.0,9.0,131.0,16.0,30.0,32.0,154.0,0.0,123.0,33.0,41.0,38.0,78.0,35.0,79.0,49.0,66.0,64.0,17.0,45.0,42.0,65.0,21.0
3387,3.0,0.0,4.0,24.0,25.0,12.0,7.0,101.0,8.0,152.0,23.0,85.0,2.0,9.0,1.0,31.0,32.0,27.0,30.0,36.0,116.0,19.0,47.0,43.0,44.0,56.0,51.0,53.0,42.0,38.0
3436,33.0,9.0,34.0,31.0,20.0,1.0,12.0,101.0,29.0,5.0,17.0,21.0,18.0,23.0,30.0,119.0,4.0,8.0,82.0,78.0,37.0,44.0,40.0,60.0,43.0,42.0,25.0,45.0,88.0,39.0
3485,26.0,36.0,4.0,8.0,30.0,1.0,14.0,103.0,17.0,5.0,84.0,20.0,0.0,10.0,60.0,119.0,122.0,28.0,65.0,6.0,34.0,41.0,56.0,42.0,38.0,40.0,48.0,16.0,57.0,51.0
3534,34.0,10.0,32.0,0.0,11.0,3.0,2.0,101.0,9.0,152.0,26.0,24.0,15.0,157.0,54.0,118.0,6.0,33.0,30.0,4.0,8.0,42.0,35.0,58.0,41.0,37.0,36.0,44.0,88.0,39.0
3583,0.0,7.0,32.0,9.0,6.0,1.0,3.0,11.0,5.0,18.0,85.0,4.0,60.0,151.0,56.0,28.0,122.0,33.0,35.0,27.0,37.0,43.0,39.0,46.0,41.0,40.0,42.0,23.0,62.0,61.0
3632,35.0,5.0,4.0,2.0,23.0,0.0,6.0,101.0,8.0,25.0,80.0,83.0,3.0,18.0,58.0,120.0,10.0,115.0,9.0,1.0,7.0,38.0,22.0,40.0,36.0,37.0,42.0,43.0,45.0,39.0
3681,1.0,15.0,36.0,2.0,31.0,11.0,87.0,105.0,0.0,4.0,18.0,80.0,17.0,159.0,60.0,123.0,7.0,117.0,39.0,33.0,27.0,44.0,56.0,54.0,43.0,41.0,57.0,48.0,83.0,50.0
3730,7.0,19.0,25.0,15.0,2.0,5.0,8.0,104.0,16.0,0.0,17.0,3.0,55.0,4.0,24.0,121.0,123.0,28.0,33.0,71.0,119.0,20.0,44.0,40.0,56.0,43.0,14.0,45.0,41.0,42.0
3779,7.0,3.0,8.0,27.0,14.0,5.0,97.0,128.0,47.0,16.0,25.0,24.0,17.0,10.0,70.0,39.0,38.0,89.0,6.0,98.0,37.0,55.0,23.0,54.0,56.0,57.0,22.0,59.0,52.0,20.0
3828,27.0,10.0,28.0,3.0,39.0,6.0,4.0,14.0,22.0,21.0,0.0,80.0,129.0,154.0,62.0,123.0,40.0,118.0,67.0,73.0,32.0,47.0,15.0,46.0,58.0,50.0,57.0,41.0,44.0,45.0
3877,22.0,14.0,11.0,13.0,31.0,5.0,4.0,6.0,26.0,21.0,3.0,24.0,43.0,2.0,88.0,122.0,34.0,28.0,63.0,9.0,32.0,38.0,47.0,41.0,44.0,45.0,46.0,48.0,42.0,52.0
3926,0.0,136.0,1.0,59.0,27.0,14.0,18.0,16.0,84.0,151.0,81.0,79.0,91.0,32.0,3.0,123.0,8.0,117.0,28.0,7.0,127.0,40.0,45.0,39.0,41.0,43.0,56.0,48.0,38.0,52.0
3975,8.0,1.0,36.0,90.0,7.0,5.0,2.0,17.0,11.0,12.0,86.0,88.0,32.0,20.0,38.0,4.0,0.0,115.0,27.0,37.0,31.0,45.0,58.0,39.0,41.0,21.0,48.0,47.0,40.0,52.0
4024,36.0,0.0,4.0,79.0,2.0,14.0,25.0,10.0,18.0,19.0,20.0,91.0,1.0,22.0,3.0,128.0,123.0,5.0,68.0,33.0,31.0,59.0,12.0,42.0,60.0,50.0,54.0,11.0,45.0,47.0
4073,0.0,3.0,2.0,64.0,26.0,8.0,9.0,18.0,13.0,149.0,79.0,14.0,44.0,154.0,40.0,7.0,121.0,34.0,1.0,74.0,6.0,56.0,19.0,61.0,42.0,43.0,45.0,21.0,89.0,51.0
4122,25.0,132.0,27.0,14.0,1.0,4.0,18.0,97.0,7.0,163.0,87.0,10.0,0.0,40.0,64.0,36.0,118.0,113.0,39.0,3.0,31.0,41.0,60.0,42.0,46.0,43.0,48.0,49.0,44.0,50.0
4171,2.0,6.0,3.0,10.0,0.0,14.0,5.0,105.0,19.0,18.0,22.0,92.0,25.0,21.0,36.0,30.0,32.0,116.0,31.0,72.0,118.0,47.0,51.0,44.0,49.0,50.0,52.0,13.0,43.0,55.0
4220,41.0,0.0,2.0,65.0,23.0,73.0,3.0,6.0,10.0,4.0,84.0,13.0,30.0,14.0,60.0,31.0,1.0,117.0,32.0,81.0,121.0,19.0,46.0,49.0,43.0,44.0,20.0,47.0,64.0,63.0
4269,7.0,14.0,0.0,3.0,38.0,21.0,13.0,10.0,19.0,9.0,5.0,87.0,28.0,153.0,25.0,122.0,4.0,116.0,33.0,69.0,126.0,43.0,1.0,46.0,44.0,45.0,58.0,48.0,41.0,50.0
4318,1.0,20.0,62.0,9.0,5.0,14.0,16.0,100.0,8.0,2.0,88.0,37.0,92.0,4.0,24.0,33.0,0.0,27.0,34.0,15.0,29.0,39.0,13.0,40.0,41.0,42.0,58.0,46.0,44.0,48.0
4367,7.0,23.0,37.0,66.0,27.0,70.0,18.0,102.0,0.0,14.0,15.0,83.0,11.0,153.0,8.0,121.0,5.0,116.0,45.0,1.0,32.0,63.0,2.0,19.0,50.0,44.0,42.0,22.0,65.0,40.0
4416,0.0,28.0,1.0,4.0,2.0,20.0,71.0,100.0,7.0,16.0,12.0,32.0,34.0,17.0,38.0,5.0,37.0,117.0,43.0,39.0,127.0,25.0,46.0,24.0,44.0,45.0,27.0,49.0,23.0,65.0
4465,36.0,19.0,0.0,12.0,28.0,4.0,87.0,102.0,82.0,152.0,21.0,78.0,1.0,2.0,8.0,121.0,31.0,9.0,32.0,33.0,117.0,38.0,7.0,17.0,10.0,41.0,54.0,44.0,40.0,46.0
4514,37.0,3.0,1.0,10.0,2.0,77.0,17.0,14.0,22.0,150.0,83.0,85.0,5.0,156.0,61.0,29.0,32.0,39.0,4.0,35.0,117.0,45.0,42.0,58.0,41.0,40.0,43.0,44.0,90.0,57.0
4563,34.0,5.0,8.0,4.0,6.0,75.0,76.0,102.0,16.0,24.0,17.0,87.0,79.0,154.0,35.0,121.0,36.0,115.0,29.0,1.0,117.0,53.0,43.0,63.0,46.0,44.0,47.0,45.0,91.0,51.0
4612,3.0,8.0,0.0,1.0,31.0,5.0,14.0,101.0,82.0,20.0,18.0,19.0,38.0,156.0,59.0,10.0,6.0,115.0,11.0,2.0,28.0,40.0,46.0,39.0,43.0,45.0,48.0,50.0,37.0,36.0
4661,10.0,20.0,9.0,3.0,26.0,12.0,7.0,13.0,0.0,150.0,4.0,6.0,35.0,156.0,25.0,120.0,2.0,33.0,29.0,23.0,117.0,40.0,38.0,37.0,41.0,39.0,36.0,43.0,42.0,45.0
4710,5.0,21.0,0.0,1.0,22.0,73.0,74.0,9.0,81.0,149.0,3.0,28.0,6.0,154.0,62.0,122.0,4.0,39.0,35.0,36.0,120.0,47.0,48.0,52.0,46.0,45.0,43.0,42.0,64.0,51.0
4759,114.0,12.0,38.0,10.0,3.0,88.0,87.0,8.0,82.0,151.0,19.0,21.0,2.0,0.0,1.0,30.0,5.0,118.0,34.0,36.0,32.0,57.0,58.0,42.0,46.0,47.0,49.0,50.0,40.0,55.0
4808,8.0,23.0,38.0,65.0,5.0,73.0,2.0,12.0,30.0,4.0,83.0,18.0,31.0,157.0,9.0,122.0,125.0,36.0,33.0,32.0,119.0,94.0,21.0,92.0,54.0,41.0,43.0,44.0,91.0,46.0
4857,4.0,2.0,5.0,6.0,10.0,15.0,0.0,97.0,84.0,149.0,19.0,1.0,38.0,154.0,61.0,9.0,7.0,113.0,8.0,31.0,28.0,41.0,57.0,35.0,43.0,44.0,46.0,45.0,37.0,50.0
