, JAK-STAT, TLR, MAPK_PI3K, PI3K_only, TGFB, TNFa, Wnt, IL-1, H2O2, MAPK_only, VEGF
3662,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0
3711,1.0,0.0,4.0,2.0,6.0,5.0,3.0,7.0,8.0,9.0,10.0
3760,3.0,0.0,1.0,4.0,5.0,2.0,6.0,7.0,8.0,10.0,9.0
3809,2.0,0.0,5.0,1.0,6.0,3.0,7.0,4.0,8.0,9.0,10.0
3858,2.0,0.0,3.0,1.0,6.0,5.0,4.0,7.0,8.0,10.0,9.0
3907,0.0,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3956,1.0,0.0,2.0,5.0,4.0,6.0,7.0,3.0,8.0,9.0,10.0
4005,1.0,0.0,3.0,7.0,5.0,4.0,6.0,2.0,10.0,8.0,9.0
4054,0.0,1.0,2.0,4.0,7.0,3.0,5.0,6.0,9.0,8.0,10.0
4103,0.0,1.0,3.0,7.0,6.0,4.0,5.0,2.0,8.0,10.0,9.0
4152,0.0,1.0,2.0,9.0,4.0,6.0,3.0,5.0,8.0,10.0,7.0
4201,1.0,0.0,2.0,6.0,3.0,5.0,7.0,4.0,9.0,8.0,10.0
4250,1.0,0.0,2.0,3.0,5.0,7.0,6.0,4.0,9.0,8.0,10.0
4299,1.0,0.0,2.0,4.0,5.0,6.0,7.0,3.0,9.0,8.0,10.0
4348,0.0,1.0,3.0,7.0,5.0,6.0,4.0,2.0,8.0,9.0,10.0
4397,0.0,1.0,2.0,4.0,7.0,3.0,6.0,5.0,10.0,9.0,8.0
4446,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,10.0,9.0
4495,0.0,1.0,2.0,5.0,3.0,7.0,4.0,6.0,8.0,9.0,10.0
4544,1.0,0.0,3.0,7.0,4.0,5.0,2.0,6.0,10.0,9.0,8.0
4593,1.0,0.0,2.0,4.0,6.0,5.0,3.0,7.0,10.0,8.0,9.0
4642,1.0,0.0,3.0,6.0,2.0,5.0,4.0,7.0,8.0,10.0,9.0
4691,0.0,1.0,3.0,6.0,2.0,5.0,4.0,7.0,9.0,10.0,8.0
4740,0.0,1.0,2.0,6.0,3.0,4.0,5.0,7.0,10.0,8.0,9.0
4789,0.0,1.0,4.0,6.0,3.0,5.0,2.0,8.0,10.0,7.0,9.0
4838,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
4887,1.0,0.0,3.0,4.0,2.0,7.0,5.0,6.0,8.0,9.0,10.0
