,1-methylnicotinamide,C16:0 LPE,pantothenate,C34:2 DAG,C22:6 CE,C36:1 DAG,niacinamide,hypoxanthine,creatine,alpha-glycerophosphocholine,guanosine,C18:0 LPE,GABA,C22:6 LPE,C18:0 LPC,DHAP/glyceraldehyde 3P,inositol,2-deoxyadenosine,carnitine,oxalate,cytidine,inosine,beta-alanine,C34:4 PC,2-deoxycytidine,alpha-glycerophosphate,UMP,creatinine,3-phosphoglycerate,C22:6 LPC
1050,6.0,3.0,7.0,60.0,2.0,0.0,56.0,10.0,34.0,5.0,8.0,4.0,9.0,33.0,11.0,37.0,24.0,1.0,59.0,16.0,17.0,23.0,41.0,39.0,31.0,25.0,57.0,12.0,19.0,51.0
1099,1.0,7.0,14.0,6.0,0.0,3.0,31.0,15.0,8.0,12.0,55.0,4.0,2.0,24.0,11.0,44.0,26.0,5.0,21.0,30.0,10.0,50.0,27.0,33.0,52.0,19.0,51.0,25.0,22.0,40.0
1148,0.0,1.0,3.0,7.0,4.0,5.0,8.0,6.0,49.0,2.0,32.0,24.0,15.0,33.0,11.0,62.0,39.0,10.0,22.0,43.0,9.0,14.0,21.0,25.0,64.0,17.0,47.0,13.0,19.0,61.0
1197,3.0,6.0,2.0,12.0,1.0,0.0,51.0,25.0,20.0,5.0,14.0,13.0,16.0,41.0,4.0,11.0,44.0,9.0,7.0,8.0,18.0,15.0,27.0,58.0,40.0,28.0,50.0,26.0,31.0,46.0
1246,17.0,0.0,3.0,7.0,5.0,1.0,11.0,2.0,19.0,10.0,14.0,4.0,8.0,15.0,6.0,55.0,28.0,26.0,13.0,44.0,12.0,9.0,39.0,66.0,62.0,29.0,46.0,41.0,21.0,27.0
1295,4.0,5.0,0.0,37.0,2.0,1.0,50.0,11.0,15.0,7.0,23.0,6.0,47.0,16.0,3.0,64.0,38.0,30.0,9.0,40.0,13.0,14.0,28.0,26.0,45.0,56.0,57.0,49.0,42.0,10.0
1344,2.0,8.0,0.0,6.0,3.0,1.0,38.0,7.0,14.0,5.0,11.0,13.0,44.0,18.0,4.0,24.0,15.0,10.0,26.0,37.0,20.0,49.0,32.0,17.0,56.0,35.0,53.0,48.0,30.0,22.0
1393,5.0,4.0,1.0,18.0,3.0,2.0,10.0,6.0,38.0,0.0,16.0,8.0,17.0,40.0,22.0,27.0,35.0,9.0,47.0,19.0,15.0,23.0,45.0,26.0,66.0,11.0,53.0,30.0,13.0,37.0
1442,0.0,3.0,5.0,4.0,2.0,1.0,9.0,8.0,7.0,6.0,10.0,26.0,16.0,22.0,11.0,14.0,20.0,38.0,30.0,12.0,36.0,19.0,39.0,23.0,45.0,13.0,55.0,31.0,18.0,65.0
1491,0.0,6.0,5.0,1.0,4.0,9.0,34.0,2.0,20.0,12.0,24.0,3.0,30.0,8.0,35.0,55.0,17.0,7.0,28.0,38.0,31.0,27.0,29.0,16.0,26.0,40.0,15.0,13.0,36.0,32.0
1540,0.0,10.0,1.0,4.0,7.0,2.0,15.0,34.0,18.0,30.0,3.0,5.0,27.0,12.0,11.0,26.0,37.0,6.0,52.0,14.0,35.0,46.0,17.0,51.0,13.0,23.0,16.0,20.0,8.0,31.0
1589,0.0,9.0,5.0,8.0,4.0,2.0,1.0,6.0,12.0,48.0,3.0,7.0,15.0,25.0,18.0,50.0,20.0,10.0,27.0,13.0,29.0,17.0,47.0,28.0,14.0,63.0,34.0,52.0,11.0,54.0
1638,0.0,7.0,2.0,1.0,9.0,3.0,19.0,29.0,50.0,14.0,4.0,6.0,12.0,13.0,38.0,24.0,16.0,34.0,40.0,21.0,45.0,37.0,28.0,64.0,20.0,32.0,5.0,56.0,30.0,57.0
1687,0.0,4.0,2.0,1.0,8.0,5.0,11.0,34.0,7.0,38.0,3.0,14.0,6.0,20.0,46.0,28.0,19.0,36.0,22.0,29.0,39.0,44.0,26.0,47.0,27.0,32.0,16.0,33.0,35.0,63.0
1736,1.0,3.0,9.0,0.0,32.0,4.0,7.0,10.0,8.0,6.0,24.0,2.0,11.0,13.0,45.0,15.0,39.0,19.0,52.0,37.0,31.0,49.0,12.0,40.0,58.0,34.0,5.0,16.0,14.0,47.0
1785,0.0,13.0,5.0,1.0,10.0,6.0,7.0,16.0,15.0,19.0,4.0,3.0,22.0,11.0,41.0,60.0,14.0,2.0,39.0,30.0,8.0,38.0,58.0,42.0,29.0,47.0,25.0,34.0,17.0,23.0
1834,0.0,6.0,2.0,3.0,23.0,8.0,10.0,20.0,9.0,4.0,7.0,5.0,24.0,30.0,12.0,38.0,48.0,1.0,36.0,28.0,56.0,50.0,39.0,41.0,34.0,51.0,11.0,22.0,46.0,13.0
1883,0.0,8.0,1.0,6.0,39.0,12.0,9.0,16.0,15.0,2.0,4.0,11.0,17.0,32.0,28.0,30.0,21.0,3.0,20.0,25.0,35.0,41.0,24.0,60.0,43.0,22.0,5.0,29.0,57.0,37.0
1932,0.0,6.0,2.0,3.0,20.0,1.0,14.0,15.0,10.0,4.0,11.0,23.0,46.0,32.0,50.0,42.0,47.0,18.0,59.0,21.0,17.0,51.0,33.0,16.0,38.0,45.0,8.0,54.0,9.0,31.0
1981,4.0,5.0,0.0,11.0,1.0,2.0,3.0,23.0,8.0,37.0,9.0,6.0,54.0,33.0,28.0,19.0,25.0,12.0,30.0,22.0,47.0,20.0,27.0,49.0,62.0,10.0,21.0,58.0,7.0,35.0
2030,5.0,4.0,0.0,7.0,6.0,1.0,11.0,28.0,2.0,3.0,16.0,10.0,41.0,18.0,12.0,9.0,22.0,17.0,51.0,15.0,42.0,36.0,23.0,29.0,61.0,31.0,20.0,13.0,34.0,62.0
2079,3.0,14.0,0.0,2.0,6.0,1.0,5.0,18.0,39.0,34.0,15.0,19.0,11.0,10.0,16.0,29.0,54.0,38.0,4.0,35.0,8.0,22.0,9.0,12.0,44.0,30.0,37.0,50.0,23.0,24.0
2128,0.0,1.0,2.0,3.0,8.0,4.0,5.0,13.0,6.0,17.0,30.0,7.0,15.0,14.0,29.0,9.0,33.0,36.0,28.0,32.0,40.0,25.0,16.0,42.0,60.0,34.0,37.0,11.0,53.0,39.0
2177,0.0,2.0,1.0,6.0,4.0,3.0,5.0,21.0,8.0,23.0,25.0,11.0,13.0,18.0,9.0,26.0,65.0,17.0,16.0,19.0,12.0,7.0,30.0,27.0,48.0,14.0,10.0,31.0,36.0,52.0
2226,3.0,4.0,0.0,1.0,2.0,5.0,14.0,20.0,7.0,10.0,21.0,6.0,11.0,44.0,15.0,23.0,53.0,31.0,18.0,12.0,13.0,9.0,46.0,22.0,55.0,8.0,16.0,33.0,57.0,26.0
2275,7.0,5.0,3.0,0.0,2.0,1.0,4.0,9.0,6.0,27.0,19.0,39.0,21.0,14.0,13.0,36.0,58.0,28.0,30.0,16.0,33.0,31.0,22.0,25.0,54.0,11.0,32.0,12.0,10.0,56.0
2324,0.0,4.0,2.0,1.0,7.0,6.0,17.0,12.0,26.0,3.0,28.0,9.0,10.0,47.0,5.0,27.0,61.0,19.0,24.0,11.0,23.0,22.0,8.0,44.0,25.0,33.0,39.0,31.0,36.0,21.0
2373,6.0,2.0,0.0,3.0,5.0,1.0,29.0,4.0,25.0,27.0,14.0,8.0,49.0,11.0,7.0,20.0,39.0,26.0,16.0,9.0,24.0,12.0,48.0,38.0,55.0,31.0,15.0,34.0,28.0,18.0
2422,0.0,2.0,1.0,9.0,3.0,7.0,6.0,27.0,16.0,10.0,17.0,4.0,11.0,5.0,15.0,19.0,36.0,55.0,37.0,12.0,56.0,44.0,32.0,8.0,23.0,24.0,43.0,65.0,33.0,13.0
2471,3.0,4.0,1.0,2.0,6.0,0.0,14.0,9.0,7.0,8.0,13.0,32.0,22.0,20.0,17.0,10.0,23.0,12.0,42.0,15.0,18.0,21.0,48.0,25.0,16.0,11.0,35.0,37.0,30.0,38.0
2520,0.0,3.0,1.0,11.0,8.0,2.0,4.0,7.0,5.0,49.0,52.0,6.0,9.0,27.0,23.0,42.0,26.0,46.0,32.0,14.0,59.0,12.0,62.0,25.0,30.0,17.0,58.0,33.0,20.0,19.0
2569,2.0,0.0,3.0,1.0,4.0,7.0,15.0,10.0,20.0,16.0,14.0,32.0,8.0,9.0,24.0,51.0,13.0,47.0,28.0,11.0,55.0,26.0,33.0,27.0,5.0,23.0,17.0,64.0,21.0,31.0
2618,8.0,1.0,2.0,3.0,19.0,0.0,6.0,7.0,12.0,22.0,15.0,4.0,16.0,13.0,20.0,14.0,11.0,41.0,52.0,21.0,32.0,10.0,24.0,44.0,27.0,34.0,17.0,38.0,9.0,40.0
2667,1.0,0.0,8.0,2.0,10.0,3.0,6.0,7.0,4.0,9.0,11.0,45.0,15.0,25.0,22.0,13.0,17.0,37.0,29.0,16.0,51.0,48.0,30.0,36.0,23.0,63.0,52.0,27.0,21.0,50.0
2716,8.0,0.0,1.0,5.0,3.0,4.0,6.0,2.0,7.0,9.0,11.0,44.0,12.0,23.0,20.0,18.0,27.0,33.0,38.0,32.0,51.0,19.0,39.0,41.0,17.0,36.0,34.0,64.0,13.0,29.0
2765,0.0,1.0,3.0,11.0,15.0,2.0,4.0,10.0,5.0,17.0,8.0,16.0,18.0,32.0,20.0,53.0,13.0,12.0,30.0,9.0,6.0,21.0,29.0,34.0,7.0,48.0,31.0,19.0,35.0,36.0
2814,4.0,0.0,2.0,5.0,8.0,1.0,45.0,3.0,19.0,35.0,11.0,9.0,13.0,17.0,14.0,15.0,7.0,24.0,22.0,26.0,47.0,23.0,29.0,37.0,10.0,51.0,38.0,34.0,55.0,36.0
2863,3.0,0.0,4.0,5.0,10.0,7.0,8.0,2.0,6.0,32.0,1.0,41.0,11.0,12.0,23.0,13.0,14.0,18.0,30.0,31.0,16.0,27.0,37.0,53.0,42.0,29.0,15.0,39.0,9.0,22.0
2912,2.0,0.0,3.0,4.0,7.0,8.0,17.0,1.0,6.0,53.0,23.0,31.0,5.0,19.0,30.0,16.0,11.0,35.0,14.0,12.0,47.0,39.0,20.0,34.0,25.0,56.0,41.0,18.0,10.0,55.0
2961,0.0,3.0,1.0,2.0,6.0,12.0,8.0,38.0,20.0,19.0,43.0,4.0,14.0,22.0,24.0,34.0,61.0,21.0,11.0,5.0,18.0,52.0,33.0,27.0,40.0,39.0,17.0,57.0,36.0,51.0
3010,0.0,1.0,13.0,10.0,5.0,4.0,2.0,28.0,7.0,53.0,23.0,25.0,39.0,20.0,15.0,37.0,8.0,6.0,12.0,24.0,32.0,26.0,40.0,33.0,30.0,31.0,35.0,50.0,16.0,34.0
3059,0.0,4.0,7.0,1.0,2.0,14.0,21.0,6.0,34.0,5.0,24.0,8.0,18.0,44.0,37.0,11.0,23.0,12.0,35.0,27.0,13.0,17.0,51.0,50.0,3.0,15.0,10.0,54.0,53.0,41.0
3108,2.0,1.0,11.0,0.0,16.0,10.0,9.0,3.0,8.0,19.0,31.0,4.0,6.0,62.0,17.0,44.0,42.0,21.0,36.0,38.0,7.0,30.0,47.0,5.0,20.0,43.0,34.0,12.0,26.0,35.0
3157,1.0,3.0,0.0,2.0,4.0,6.0,8.0,7.0,12.0,19.0,5.0,9.0,16.0,11.0,20.0,30.0,10.0,22.0,65.0,21.0,24.0,36.0,64.0,54.0,18.0,46.0,39.0,17.0,25.0,15.0
3206,0.0,6.0,5.0,1.0,3.0,8.0,4.0,22.0,21.0,38.0,16.0,2.0,30.0,36.0,23.0,37.0,7.0,19.0,15.0,20.0,9.0,55.0,44.0,39.0,12.0,41.0,13.0,10.0,52.0,11.0
3255,1.0,6.0,2.0,0.0,4.0,13.0,3.0,7.0,12.0,27.0,8.0,5.0,18.0,46.0,9.0,10.0,57.0,31.0,21.0,42.0,17.0,24.0,16.0,11.0,50.0,26.0,30.0,52.0,41.0,47.0
3304,1.0,8.0,2.0,0.0,3.0,10.0,4.0,15.0,9.0,48.0,19.0,11.0,12.0,33.0,20.0,7.0,13.0,5.0,22.0,26.0,37.0,17.0,43.0,18.0,56.0,51.0,16.0,55.0,39.0,29.0
3353,0.0,11.0,5.0,1.0,19.0,12.0,2.0,3.0,7.0,24.0,15.0,6.0,32.0,28.0,52.0,8.0,26.0,29.0,23.0,14.0,21.0,38.0,47.0,17.0,31.0,4.0,40.0,66.0,64.0,16.0
3402,0.0,7.0,1.0,2.0,19.0,9.0,8.0,3.0,18.0,36.0,17.0,11.0,47.0,34.0,40.0,10.0,5.0,4.0,13.0,29.0,16.0,57.0,30.0,37.0,42.0,14.0,32.0,49.0,64.0,20.0
3451,4.0,3.0,2.0,9.0,1.0,0.0,10.0,13.0,32.0,6.0,5.0,7.0,23.0,11.0,21.0,48.0,37.0,26.0,20.0,22.0,52.0,12.0,8.0,24.0,16.0,30.0,49.0,25.0,28.0,18.0
3500,2.0,4.0,5.0,0.0,10.0,11.0,3.0,18.0,9.0,1.0,49.0,39.0,6.0,7.0,59.0,40.0,27.0,26.0,43.0,46.0,30.0,28.0,24.0,62.0,25.0,48.0,47.0,15.0,20.0,29.0
3549,2.0,0.0,5.0,3.0,4.0,1.0,7.0,13.0,12.0,14.0,6.0,20.0,9.0,8.0,27.0,48.0,62.0,11.0,43.0,19.0,39.0,32.0,31.0,33.0,44.0,54.0,15.0,30.0,17.0,34.0
3598,10.0,0.0,4.0,2.0,8.0,1.0,9.0,5.0,6.0,23.0,11.0,42.0,19.0,13.0,15.0,17.0,7.0,30.0,3.0,47.0,55.0,62.0,43.0,54.0,29.0,27.0,14.0,39.0,52.0,51.0
3647,1.0,0.0,3.0,4.0,5.0,2.0,18.0,6.0,29.0,9.0,8.0,28.0,12.0,25.0,43.0,14.0,7.0,40.0,30.0,27.0,16.0,53.0,65.0,64.0,36.0,20.0,11.0,17.0,22.0,19.0
3696,3.0,0.0,4.0,10.0,1.0,5.0,15.0,40.0,2.0,7.0,6.0,13.0,25.0,11.0,43.0,23.0,16.0,20.0,17.0,19.0,62.0,29.0,12.0,26.0,57.0,36.0,30.0,60.0,31.0,64.0
3745,1.0,4.0,11.0,7.0,3.0,0.0,5.0,24.0,12.0,2.0,6.0,15.0,16.0,10.0,58.0,40.0,17.0,26.0,9.0,20.0,19.0,61.0,13.0,43.0,14.0,60.0,36.0,27.0,41.0,33.0
3794,3.0,0.0,7.0,2.0,4.0,5.0,1.0,10.0,23.0,6.0,22.0,59.0,14.0,9.0,50.0,8.0,12.0,17.0,31.0,21.0,26.0,35.0,18.0,20.0,43.0,47.0,11.0,51.0,25.0,42.0
3843,4.0,1.0,11.0,5.0,17.0,0.0,19.0,39.0,14.0,2.0,3.0,15.0,25.0,6.0,16.0,9.0,43.0,13.0,23.0,10.0,45.0,56.0,47.0,59.0,18.0,53.0,20.0,26.0,36.0,61.0
3892,0.0,7.0,23.0,5.0,3.0,2.0,9.0,11.0,30.0,1.0,6.0,40.0,8.0,29.0,60.0,24.0,19.0,32.0,16.0,15.0,12.0,44.0,18.0,49.0,27.0,56.0,31.0,35.0,61.0,65.0
3941,1.0,0.0,3.0,4.0,5.0,13.0,11.0,8.0,6.0,2.0,7.0,21.0,54.0,18.0,16.0,27.0,17.0,32.0,23.0,28.0,33.0,44.0,30.0,15.0,9.0,38.0,12.0,59.0,36.0,19.0
3990,1.0,0.0,20.0,8.0,2.0,15.0,10.0,11.0,4.0,3.0,5.0,28.0,21.0,9.0,12.0,23.0,32.0,62.0,25.0,34.0,26.0,36.0,13.0,22.0,24.0,14.0,6.0,65.0,17.0,19.0
4039,1.0,0.0,3.0,17.0,2.0,11.0,18.0,15.0,4.0,14.0,5.0,24.0,51.0,32.0,19.0,8.0,12.0,36.0,10.0,37.0,63.0,20.0,27.0,21.0,23.0,31.0,7.0,26.0,16.0,9.0
4088,1.0,0.0,8.0,13.0,2.0,5.0,23.0,3.0,6.0,4.0,14.0,16.0,24.0,20.0,22.0,29.0,11.0,10.0,21.0,55.0,37.0,39.0,15.0,43.0,12.0,48.0,7.0,59.0,19.0,27.0
4137,9.0,0.0,5.0,18.0,1.0,10.0,11.0,3.0,4.0,6.0,13.0,60.0,33.0,32.0,2.0,14.0,7.0,35.0,30.0,54.0,37.0,24.0,49.0,51.0,17.0,57.0,8.0,43.0,12.0,34.0
4186,3.0,1.0,2.0,9.0,5.0,6.0,7.0,13.0,12.0,0.0,15.0,20.0,10.0,27.0,11.0,21.0,28.0,14.0,53.0,25.0,4.0,34.0,22.0,56.0,38.0,32.0,8.0,63.0,23.0,51.0
4235,0.0,3.0,9.0,2.0,6.0,8.0,34.0,10.0,23.0,12.0,4.0,58.0,11.0,19.0,5.0,35.0,25.0,16.0,31.0,33.0,38.0,57.0,24.0,27.0,1.0,60.0,7.0,43.0,39.0,13.0
4284,1.0,3.0,6.0,13.0,0.0,15.0,2.0,12.0,5.0,8.0,10.0,32.0,20.0,4.0,27.0,42.0,9.0,21.0,47.0,44.0,54.0,25.0,30.0,61.0,17.0,59.0,18.0,24.0,35.0,11.0
4333,0.0,1.0,33.0,11.0,2.0,5.0,14.0,19.0,21.0,6.0,13.0,9.0,29.0,3.0,8.0,12.0,36.0,37.0,34.0,16.0,56.0,44.0,22.0,50.0,15.0,49.0,4.0,41.0,7.0,23.0
4382,4.0,0.0,2.0,5.0,1.0,6.0,26.0,9.0,23.0,16.0,3.0,28.0,10.0,11.0,18.0,7.0,13.0,20.0,12.0,8.0,54.0,41.0,29.0,21.0,14.0,49.0,42.0,47.0,35.0,58.0
4431,9.0,0.0,1.0,10.0,2.0,8.0,7.0,4.0,5.0,48.0,52.0,45.0,22.0,35.0,12.0,11.0,3.0,18.0,21.0,46.0,57.0,6.0,15.0,29.0,51.0,14.0,32.0,13.0,34.0,39.0
4480,1.0,0.0,4.0,2.0,8.0,22.0,6.0,5.0,13.0,48.0,10.0,38.0,12.0,24.0,36.0,11.0,3.0,28.0,41.0,14.0,9.0,19.0,20.0,30.0,65.0,23.0,33.0,15.0,64.0,62.0
4529,0.0,1.0,3.0,2.0,7.0,5.0,8.0,4.0,28.0,38.0,29.0,57.0,9.0,13.0,44.0,26.0,17.0,6.0,20.0,41.0,36.0,21.0,14.0,11.0,27.0,35.0,37.0,23.0,45.0,61.0
4578,2.0,0.0,3.0,20.0,1.0,9.0,27.0,15.0,37.0,16.0,56.0,50.0,8.0,64.0,10.0,52.0,5.0,33.0,26.0,4.0,12.0,23.0,47.0,24.0,29.0,55.0,39.0,66.0,58.0,59.0
4627,2.0,0.0,1.0,3.0,4.0,7.0,34.0,12.0,22.0,31.0,20.0,54.0,15.0,27.0,30.0,10.0,5.0,28.0,8.0,48.0,17.0,53.0,26.0,21.0,45.0,13.0,24.0,16.0,37.0,39.0
4676,3.0,1.0,2.0,4.0,0.0,37.0,9.0,6.0,5.0,17.0,24.0,53.0,7.0,22.0,13.0,16.0,8.0,40.0,11.0,43.0,31.0,12.0,10.0,20.0,46.0,56.0,19.0,63.0,42.0,52.0
4725,2.0,4.0,0.0,3.0,1.0,31.0,8.0,5.0,12.0,19.0,7.0,48.0,18.0,6.0,55.0,37.0,14.0,16.0,34.0,24.0,27.0,35.0,29.0,38.0,26.0,21.0,20.0,22.0,39.0,47.0
4774,5.0,2.0,1.0,4.0,0.0,7.0,18.0,20.0,65.0,16.0,22.0,38.0,21.0,3.0,8.0,44.0,6.0,9.0,24.0,46.0,19.0,50.0,12.0,17.0,32.0,63.0,47.0,31.0,48.0,66.0
4823,1.0,0.0,2.0,4.0,3.0,15.0,45.0,7.0,34.0,38.0,11.0,31.0,19.0,5.0,23.0,13.0,22.0,29.0,39.0,27.0,9.0,28.0,16.0,20.0,41.0,43.0,53.0,30.0,35.0,46.0
4872,1.0,2.0,0.0,3.0,7.0,6.0,10.0,5.0,17.0,37.0,21.0,8.0,9.0,12.0,15.0,53.0,19.0,39.0,11.0,45.0,44.0,40.0,50.0,36.0,16.0,30.0,61.0,41.0,27.0,51.0
