,BONE,SOFT_TISSUE,HAEMATOPOIETIC,OESOPHAGUS,PANCREAS,STOMACH,LIVER,ENDOMETRIUM,LUNG,SKIN,OVARY,BREAST,LARGE_INTESTINE,NERVOUS,GANGLIA,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
2301,15.0,0.0,1.0,2.0,3.0,10.0,4.0,11.0,8.0,6.0,7.0,5.0,9.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
2350,16.0,0.0,1.0,7.0,2.0,9.0,11.0,3.0,4.0,8.0,5.0,6.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,15.0,17.0,0.0,1.0,2.0,9.0,4.0,10.0,8.0,7.0,6.0,5.0,3.0,11.0,12.0,13.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
2448,16.0,0.0,1.0,3.0,5.0,11.0,2.0,4.0,8.0,7.0,9.0,10.0,6.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,0.0,1.0,2.0,3.0,5.0,8.0,11.0,4.0,9.0,6.0,10.0,7.0,12.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2546,1.0,0.0,2.0,11.0,6.0,9.0,12.0,4.0,5.0,8.0,10.0,7.0,13.0,3.0,15.0,16.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
2595,1.0,0.0,2.0,8.0,4.0,6.0,12.0,3.0,7.0,13.0,10.0,9.0,11.0,5.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,1.0,0.0,2.0,4.0,7.0,5.0,11.0,3.0,8.0,10.0,9.0,6.0,13.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
2693,0.0,1.0,2.0,4.0,7.0,8.0,10.0,21.0,9.0,5.0,13.0,6.0,11.0,3.0,14.0,15.0,16.0,18.0,19.0,20.0,12.0,17.0,22.0
2742,0.0,1.0,2.0,6.0,5.0,9.0,12.0,11.0,8.0,4.0,10.0,3.0,7.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2791,0.0,1.0,2.0,6.0,4.0,11.0,12.0,5.0,8.0,9.0,7.0,10.0,14.0,3.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
2840,17.0,0.0,1.0,5.0,7.0,12.0,2.0,6.0,8.0,9.0,10.0,11.0,13.0,4.0,14.0,15.0,16.0,18.0,19.0,20.0,3.0,21.0,22.0
2889,0.0,1.0,2.0,5.0,7.0,11.0,12.0,3.0,8.0,9.0,6.0,10.0,14.0,4.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
2938,1.0,0.0,2.0,6.0,3.0,12.0,17.0,7.0,10.0,9.0,5.0,8.0,11.0,4.0,14.0,15.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
2987,0.0,17.0,2.0,4.0,3.0,5.0,11.0,1.0,7.0,6.0,10.0,9.0,8.0,20.0,13.0,14.0,15.0,16.0,18.0,19.0,12.0,21.0,22.0
3036,0.0,18.0,1.0,6.0,2.0,10.0,3.0,5.0,4.0,7.0,8.0,11.0,12.0,9.0,14.0,15.0,16.0,17.0,19.0,20.0,13.0,21.0,22.0
3085,0.0,18.0,1.0,6.0,4.0,5.0,3.0,12.0,9.0,8.0,10.0,11.0,7.0,2.0,14.0,15.0,16.0,17.0,19.0,20.0,13.0,21.0,22.0
3134,0.0,18.0,1.0,5.0,2.0,3.0,7.0,4.0,8.0,6.0,13.0,10.0,11.0,9.0,14.0,15.0,16.0,17.0,19.0,20.0,12.0,21.0,22.0
3183,0.0,18.0,1.0,3.0,2.0,6.0,7.0,4.0,8.0,5.0,9.0,12.0,10.0,11.0,14.0,15.0,16.0,17.0,19.0,20.0,13.0,21.0,22.0
3232,0.0,17.0,1.0,9.0,3.0,10.0,2.0,7.0,5.0,4.0,11.0,6.0,8.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3281,0.0,18.0,1.0,3.0,2.0,5.0,8.0,4.0,7.0,6.0,12.0,10.0,11.0,9.0,14.0,15.0,16.0,17.0,19.0,20.0,13.0,21.0,22.0
3330,0.0,17.0,1.0,9.0,2.0,3.0,6.0,4.0,7.0,5.0,12.0,10.0,11.0,8.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3379,0.0,17.0,1.0,5.0,2.0,4.0,7.0,12.0,6.0,3.0,11.0,8.0,9.0,10.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3428,15.0,17.0,0.0,5.0,2.0,1.0,6.0,4.0,7.0,8.0,11.0,9.0,10.0,3.0,12.0,13.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
3477,0.0,1.0,2.0,4.0,5.0,3.0,9.0,12.0,11.0,8.0,13.0,7.0,6.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,0.0,1.0,2.0,5.0,7.0,4.0,10.0,12.0,11.0,9.0,13.0,8.0,6.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,2.0,5.0,3.0,4.0,9.0,13.0,12.0,8.0,11.0,6.0,7.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,0.0,1.0,2.0,4.0,8.0,5.0,3.0,11.0,10.0,9.0,7.0,6.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3673,0.0,1.0,2.0,4.0,9.0,3.0,7.0,12.0,11.0,10.0,8.0,6.0,5.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
3722,1.0,0.0,2.0,6.0,3.0,5.0,10.0,21.0,8.0,7.0,12.0,4.0,9.0,11.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
3771,0.0,1.0,2.0,4.0,3.0,12.0,11.0,13.0,7.0,6.0,9.0,8.0,5.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,1.0,0.0,2.0,4.0,5.0,8.0,3.0,21.0,6.0,10.0,7.0,11.0,9.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,15.0,22.0
3869,0.0,1.0,2.0,3.0,4.0,5.0,11.0,12.0,10.0,7.0,13.0,9.0,6.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,0.0,1.0,2.0,4.0,3.0,9.0,12.0,7.0,6.0,5.0,10.0,8.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,0.0,18.0,2.0,1.0,5.0,3.0,6.0,7.0,9.0,4.0,13.0,12.0,10.0,8.0,14.0,15.0,16.0,17.0,19.0,20.0,11.0,21.0,22.0
4016,0.0,1.0,2.0,4.0,3.0,5.0,11.0,14.0,8.0,6.0,12.0,7.0,9.0,10.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
4065,16.0,0.0,1.0,3.0,6.0,4.0,2.0,8.0,7.0,5.0,10.0,12.0,11.0,9.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,0.0,1.0,3.0,2.0,4.0,6.0,8.0,12.0,11.0,9.0,7.0,10.0,14.0,5.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
4163,0.0,1.0,2.0,3.0,4.0,6.0,13.0,5.0,7.0,9.0,12.0,8.0,11.0,10.0,16.0,15.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
4212,0.0,1.0,2.0,4.0,7.0,5.0,3.0,9.0,10.0,6.0,12.0,13.0,8.0,11.0,16.0,15.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
4261,0.0,1.0,3.0,4.0,7.0,5.0,12.0,2.0,9.0,6.0,8.0,10.0,11.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4310,1.0,0.0,2.0,4.0,7.0,9.0,8.0,10.0,5.0,6.0,11.0,12.0,13.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,0.0,1.0,2.0,3.0,5.0,11.0,6.0,4.0,9.0,14.0,7.0,10.0,12.0,8.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
4408,0.0,1.0,2.0,3.0,6.0,9.0,7.0,11.0,8.0,4.0,10.0,5.0,12.0,19.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4457,16.0,0.0,2.0,12.0,3.0,6.0,5.0,1.0,8.0,11.0,4.0,7.0,10.0,9.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,16.0,0.0,1.0,4.0,7.0,5.0,3.0,21.0,6.0,9.0,2.0,8.0,11.0,10.0,12.0,13.0,14.0,17.0,18.0,19.0,20.0,15.0,22.0
4555,16.0,0.0,2.0,12.0,5.0,6.0,3.0,1.0,8.0,11.0,4.0,7.0,9.0,10.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,16.0,0.0,3.0,12.0,6.0,5.0,4.0,1.0,7.0,9.0,2.0,8.0,11.0,10.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,15.0,0.0,1.0,11.0,6.0,9.0,4.0,2.0,10.0,8.0,3.0,5.0,7.0,19.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
4702,16.0,0.0,1.0,12.0,7.0,5.0,4.0,2.0,8.0,9.0,3.0,10.0,6.0,11.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,16.0,0.0,2.0,12.0,5.0,9.0,4.0,1.0,7.0,11.0,3.0,6.0,10.0,8.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,16.0,1.0,2.0,12.0,3.0,6.0,4.0,0.0,8.0,11.0,5.0,7.0,9.0,10.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,14.0,16.0,0.0,10.0,4.0,5.0,3.0,1.0,6.0,8.0,2.0,7.0,9.0,19.0,11.0,12.0,13.0,15.0,17.0,18.0,20.0,21.0,22.0
4898,16.0,0.0,1.0,12.0,6.0,5.0,2.0,3.0,8.0,10.0,4.0,7.0,11.0,9.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
