,VAV1,Akt_pS473,VHL,YAP_pS127,Stathmin,alpha-Catenin,beta-Catenin,Claudin-7,HER3,Heregulin,p62 Lck ligand,SF2,PI3K-p110-alpha,Chk1,Raptor,PEA15,Chk1_pS345,p90RSK_pT573,Bcl-2,Bax,Caspase-7_cleavedD198,MIG-6,Src_pY416,MAPK_pT202_Y204,Tuberin_pT1462,N-Cadherin,p21,EGFR,Lck,Transglutaminase
2307,1.0,0.0,7.0,9.0,10.0,2.0,56.0,52.0,16.0,49.0,5.0,8.0,28.0,44.0,137.0,29.0,78.0,3.0,91.0,125.0,22.0,12.0,66.0,25.0,131.0,6.0,17.0,124.0,138.0,14.0
2356,0.0,1.0,2.0,3.0,4.0,5.0,12.0,10.0,13.0,56.0,82.0,60.0,6.0,73.0,79.0,25.0,16.0,26.0,53.0,87.0,28.0,7.0,19.0,20.0,35.0,37.0,48.0,45.0,52.0,8.0
2405,0.0,1.0,3.0,2.0,13.0,11.0,18.0,58.0,9.0,132.0,10.0,8.0,23.0,6.0,94.0,4.0,7.0,49.0,19.0,24.0,15.0,37.0,157.0,105.0,43.0,83.0,31.0,42.0,113.0,28.0
2454,1.0,2.0,0.0,5.0,7.0,6.0,4.0,3.0,9.0,31.0,10.0,22.0,8.0,131.0,68.0,111.0,28.0,19.0,23.0,11.0,100.0,15.0,29.0,27.0,98.0,39.0,36.0,62.0,89.0,55.0
2503,0.0,1.0,3.0,7.0,5.0,8.0,6.0,2.0,4.0,9.0,29.0,20.0,13.0,49.0,10.0,54.0,21.0,23.0,15.0,16.0,78.0,17.0,62.0,83.0,26.0,110.0,12.0,18.0,105.0,73.0
2552,2.0,0.0,1.0,3.0,5.0,12.0,8.0,6.0,10.0,94.0,11.0,7.0,4.0,9.0,92.0,17.0,22.0,50.0,20.0,116.0,89.0,24.0,34.0,98.0,43.0,25.0,131.0,53.0,52.0,37.0
2601,1.0,0.0,3.0,2.0,15.0,13.0,14.0,6.0,11.0,21.0,10.0,5.0,29.0,16.0,41.0,33.0,8.0,90.0,7.0,28.0,50.0,86.0,98.0,48.0,103.0,26.0,65.0,27.0,71.0,94.0
2650,3.0,1.0,2.0,0.0,7.0,6.0,5.0,4.0,10.0,30.0,17.0,24.0,47.0,48.0,19.0,12.0,8.0,31.0,9.0,63.0,102.0,18.0,164.0,38.0,108.0,128.0,99.0,145.0,62.0,16.0
2699,1.0,2.0,0.0,4.0,3.0,18.0,5.0,9.0,7.0,6.0,12.0,14.0,8.0,13.0,26.0,52.0,101.0,39.0,20.0,11.0,108.0,28.0,76.0,25.0,90.0,10.0,37.0,42.0,33.0,43.0
2748,1.0,0.0,8.0,9.0,6.0,3.0,4.0,5.0,7.0,10.0,11.0,43.0,20.0,18.0,51.0,16.0,2.0,89.0,64.0,33.0,42.0,37.0,15.0,40.0,135.0,93.0,95.0,23.0,141.0,19.0
2797,1.0,2.0,0.0,8.0,3.0,4.0,5.0,7.0,6.0,37.0,55.0,33.0,9.0,50.0,14.0,10.0,24.0,107.0,13.0,19.0,68.0,35.0,106.0,42.0,44.0,30.0,75.0,31.0,93.0,85.0
2846,1.0,3.0,5.0,2.0,9.0,4.0,6.0,7.0,0.0,108.0,20.0,12.0,15.0,13.0,28.0,16.0,8.0,86.0,25.0,113.0,119.0,27.0,47.0,37.0,66.0,75.0,33.0,10.0,29.0,51.0
2895,0.0,2.0,13.0,3.0,14.0,4.0,5.0,7.0,1.0,24.0,16.0,15.0,12.0,41.0,23.0,17.0,91.0,97.0,6.0,32.0,143.0,60.0,87.0,21.0,107.0,111.0,125.0,61.0,35.0,64.0
2944,0.0,1.0,3.0,2.0,7.0,8.0,10.0,14.0,6.0,5.0,13.0,50.0,66.0,22.0,12.0,73.0,9.0,16.0,27.0,11.0,19.0,36.0,25.0,38.0,45.0,33.0,23.0,74.0,4.0,26.0
2993,0.0,5.0,2.0,1.0,4.0,3.0,6.0,11.0,22.0,8.0,29.0,50.0,91.0,43.0,26.0,27.0,25.0,63.0,45.0,7.0,61.0,34.0,47.0,54.0,10.0,40.0,36.0,41.0,120.0,15.0
3042,0.0,1.0,3.0,2.0,6.0,17.0,5.0,4.0,19.0,7.0,35.0,46.0,21.0,51.0,14.0,18.0,56.0,16.0,99.0,12.0,62.0,33.0,8.0,24.0,34.0,71.0,50.0,23.0,58.0,15.0
3091,0.0,5.0,1.0,4.0,2.0,7.0,3.0,6.0,14.0,9.0,30.0,37.0,10.0,18.0,11.0,38.0,8.0,42.0,21.0,23.0,119.0,98.0,20.0,150.0,46.0,17.0,13.0,32.0,24.0,94.0
3140,0.0,1.0,4.0,3.0,6.0,20.0,15.0,7.0,8.0,2.0,68.0,30.0,42.0,5.0,44.0,9.0,29.0,11.0,16.0,21.0,24.0,84.0,33.0,10.0,50.0,31.0,17.0,104.0,51.0,22.0
3189,0.0,2.0,5.0,3.0,1.0,7.0,6.0,13.0,10.0,4.0,44.0,123.0,27.0,15.0,63.0,8.0,22.0,38.0,16.0,31.0,52.0,57.0,110.0,29.0,42.0,48.0,53.0,84.0,49.0,12.0
3238,1.0,7.0,3.0,4.0,0.0,5.0,2.0,12.0,9.0,6.0,89.0,19.0,11.0,10.0,70.0,14.0,104.0,26.0,37.0,33.0,91.0,8.0,27.0,135.0,28.0,29.0,112.0,78.0,93.0,17.0
3287,0.0,2.0,1.0,3.0,5.0,9.0,10.0,7.0,8.0,4.0,34.0,6.0,27.0,17.0,14.0,23.0,15.0,11.0,30.0,36.0,61.0,58.0,26.0,12.0,72.0,31.0,112.0,13.0,49.0,28.0
3336,0.0,1.0,2.0,3.0,7.0,6.0,4.0,11.0,16.0,5.0,47.0,79.0,10.0,13.0,28.0,12.0,66.0,32.0,29.0,48.0,86.0,33.0,20.0,45.0,43.0,62.0,44.0,74.0,39.0,93.0
3385,0.0,2.0,10.0,1.0,5.0,3.0,6.0,18.0,21.0,4.0,57.0,26.0,23.0,85.0,20.0,55.0,128.0,17.0,16.0,58.0,47.0,37.0,11.0,9.0,138.0,53.0,72.0,35.0,12.0,24.0
3434,0.0,4.0,8.0,14.0,1.0,3.0,6.0,2.0,7.0,30.0,59.0,5.0,10.0,15.0,19.0,37.0,144.0,20.0,38.0,24.0,39.0,62.0,47.0,34.0,46.0,158.0,86.0,44.0,52.0,139.0
3483,0.0,2.0,4.0,5.0,12.0,7.0,33.0,3.0,9.0,36.0,29.0,90.0,6.0,20.0,11.0,69.0,27.0,16.0,52.0,21.0,23.0,8.0,86.0,40.0,37.0,57.0,47.0,88.0,95.0,92.0
3532,0.0,1.0,3.0,9.0,12.0,20.0,8.0,2.0,5.0,14.0,38.0,35.0,16.0,32.0,21.0,87.0,133.0,15.0,6.0,45.0,17.0,71.0,122.0,67.0,81.0,50.0,4.0,62.0,61.0,41.0
3581,0.0,1.0,4.0,10.0,3.0,28.0,6.0,2.0,54.0,5.0,9.0,20.0,12.0,94.0,21.0,151.0,38.0,52.0,45.0,14.0,32.0,47.0,123.0,39.0,8.0,64.0,75.0,30.0,58.0,24.0
