,C-Raf_pS338,Beclin,HSP70,CDK1,Rb_pS807_S811,Caspase-7_cleavedD198,p38_pT180_Y182,Raptor,P-Cadherin,NF-kB-p65_pS536,MIG-6,MAPK_pT202_Y204,MYH11,SHP-2_pY542,TTF1,Akt,4E-BP1,PEA15,Annexin_VII,beta-Catenin_pT41_S45,MSH6,VAV1,PKC-alpha,PDK1,PDCD4,p90RSK_pT359_S363,p90RSK_pT573,p14 Arf(BetA300-340A),Paxillin,PDK1_pS241
790,13.0,0.0,2.0,17.0,15.0,14.0,38.0,93.0,48.0,94.0,26.0,40.0,133.0,9.0,34.0,4.0,28.0,22.0,41.0,107.0,29.0,30.0,1.0,19.0,53.0,56.0,11.0,50.0,54.0,49.0
839,0.0,25.0,3.0,14.0,90.0,15.0,24.0,18.0,56.0,44.0,27.0,28.0,163.0,89.0,65.0,121.0,2.0,46.0,37.0,9.0,93.0,63.0,21.0,48.0,49.0,11.0,13.0,4.0,52.0,47.0
888,7.0,5.0,30.0,22.0,10.0,103.0,6.0,83.0,45.0,9.0,1.0,31.0,163.0,74.0,2.0,33.0,25.0,14.0,124.0,13.0,93.0,67.0,37.0,43.0,46.0,51.0,50.0,4.0,47.0,42.0
937,14.0,0.0,2.0,5.0,13.0,15.0,9.0,91.0,35.0,25.0,26.0,29.0,94.0,1.0,65.0,7.0,114.0,19.0,40.0,99.0,144.0,64.0,59.0,46.0,47.0,54.0,52.0,39.0,56.0,45.0
986,0.0,23.0,24.0,14.0,87.0,1.0,3.0,86.0,2.0,16.0,135.0,41.0,134.0,25.0,76.0,29.0,127.0,58.0,116.0,6.0,42.0,71.0,19.0,59.0,10.0,57.0,56.0,43.0,54.0,51.0
1035,0.0,10.0,6.0,1.0,4.0,17.0,50.0,77.0,8.0,12.0,142.0,139.0,93.0,11.0,29.0,120.0,34.0,52.0,32.0,13.0,143.0,54.0,89.0,39.0,40.0,45.0,44.0,57.0,41.0,38.0
1084,0.0,37.0,9.0,13.0,4.0,5.0,55.0,67.0,6.0,29.0,14.0,12.0,1.0,89.0,27.0,39.0,76.0,20.0,40.0,38.0,141.0,74.0,3.0,19.0,61.0,41.0,65.0,30.0,63.0,58.0
1133,1.0,25.0,0.0,18.0,8.0,23.0,5.0,83.0,41.0,81.0,143.0,27.0,2.0,91.0,67.0,28.0,114.0,17.0,126.0,103.0,144.0,68.0,20.0,48.0,50.0,24.0,54.0,30.0,51.0,55.0
1182,3.0,9.0,1.0,27.0,0.0,13.0,8.0,4.0,53.0,12.0,11.0,14.0,2.0,90.0,7.0,120.0,112.0,19.0,124.0,99.0,93.0,34.0,86.0,44.0,41.0,40.0,46.0,25.0,39.0,48.0
1231,1.0,0.0,23.0,7.0,19.0,13.0,8.0,16.0,54.0,3.0,28.0,27.0,15.0,35.0,51.0,122.0,33.0,29.0,2.0,100.0,94.0,34.0,85.0,18.0,77.0,44.0,45.0,25.0,52.0,90.0
1280,1.0,94.0,2.0,0.0,10.0,105.0,3.0,11.0,51.0,24.0,92.0,141.0,28.0,27.0,6.0,119.0,112.0,62.0,122.0,18.0,127.0,33.0,17.0,60.0,16.0,42.0,41.0,50.0,46.0,75.0
1329,0.0,2.0,5.0,22.0,9.0,8.0,18.0,35.0,19.0,3.0,91.0,20.0,1.0,56.0,31.0,119.0,26.0,62.0,33.0,10.0,145.0,29.0,7.0,60.0,39.0,43.0,42.0,4.0,40.0,61.0
1378,0.0,27.0,9.0,3.0,11.0,13.0,8.0,74.0,22.0,57.0,143.0,139.0,127.0,62.0,6.0,5.0,33.0,60.0,124.0,4.0,92.0,46.0,86.0,42.0,41.0,45.0,36.0,2.0,38.0,47.0
1427,1.0,94.0,3.0,0.0,2.0,104.0,4.0,12.0,6.0,28.0,91.0,140.0,89.0,86.0,69.0,118.0,110.0,52.0,123.0,15.0,145.0,64.0,7.0,40.0,41.0,47.0,44.0,36.0,42.0,39.0
1476,4.0,7.0,2.0,129.0,3.0,5.0,18.0,73.0,21.0,26.0,27.0,25.0,30.0,38.0,34.0,121.0,113.0,88.0,31.0,32.0,163.0,54.0,83.0,64.0,28.0,16.0,46.0,49.0,62.0,89.0
1525,13.0,1.0,25.0,16.0,12.0,5.0,4.0,6.0,43.0,14.0,3.0,137.0,133.0,24.0,28.0,119.0,2.0,44.0,128.0,104.0,134.0,42.0,77.0,49.0,15.0,55.0,53.0,45.0,50.0,58.0
1574,112.0,1.0,0.0,14.0,4.0,19.0,23.0,21.0,50.0,24.0,27.0,37.0,32.0,75.0,29.0,25.0,126.0,46.0,39.0,106.0,31.0,26.0,85.0,17.0,43.0,22.0,49.0,34.0,55.0,42.0
1623,3.0,1.0,0.0,2.0,8.0,13.0,12.0,92.0,32.0,40.0,6.0,30.0,24.0,75.0,65.0,123.0,5.0,43.0,36.0,105.0,95.0,26.0,19.0,46.0,49.0,54.0,53.0,48.0,50.0,44.0
1672,9.0,6.0,19.0,28.0,5.0,4.0,18.0,11.0,22.0,58.0,2.0,23.0,93.0,0.0,37.0,126.0,33.0,76.0,34.0,96.0,143.0,38.0,88.0,26.0,46.0,17.0,16.0,21.0,44.0,61.0
1721,2.0,41.0,3.0,0.0,29.0,16.0,6.0,5.0,24.0,4.0,19.0,18.0,22.0,92.0,31.0,37.0,40.0,56.0,39.0,122.0,144.0,32.0,26.0,58.0,59.0,63.0,62.0,135.0,60.0,57.0
1770,4.0,7.0,8.0,16.0,0.0,5.0,17.0,72.0,15.0,54.0,2.0,9.0,74.0,3.0,41.0,118.0,35.0,23.0,124.0,96.0,145.0,6.0,28.0,45.0,24.0,40.0,25.0,51.0,43.0,60.0
1819,13.0,3.0,0.0,7.0,4.0,6.0,18.0,15.0,1.0,27.0,26.0,23.0,94.0,31.0,33.0,127.0,113.0,62.0,125.0,37.0,144.0,35.0,88.0,52.0,28.0,44.0,43.0,57.0,41.0,16.0
1868,9.0,1.0,22.0,5.0,8.0,10.0,51.0,74.0,2.0,28.0,144.0,26.0,128.0,0.0,6.0,127.0,3.0,77.0,37.0,98.0,94.0,36.0,89.0,46.0,45.0,20.0,19.0,55.0,43.0,47.0
1917,8.0,3.0,0.0,5.0,89.0,6.0,47.0,17.0,44.0,94.0,7.0,32.0,133.0,1.0,34.0,9.0,26.0,45.0,4.0,105.0,134.0,72.0,76.0,57.0,49.0,39.0,52.0,50.0,48.0,46.0
1966,8.0,15.0,33.0,146.0,0.0,9.0,11.0,85.0,50.0,44.0,5.0,142.0,6.0,75.0,68.0,1.0,2.0,40.0,37.0,12.0,94.0,31.0,58.0,19.0,49.0,54.0,55.0,34.0,14.0,43.0
2015,11.0,0.0,1.0,6.0,3.0,126.0,46.0,10.0,53.0,56.0,13.0,141.0,25.0,34.0,26.0,121.0,112.0,20.0,110.0,18.0,127.0,27.0,16.0,21.0,60.0,42.0,41.0,7.0,45.0,62.0
2064,5.0,0.0,139.0,4.0,14.0,13.0,11.0,8.0,46.0,7.0,31.0,34.0,132.0,16.0,36.0,28.0,23.0,22.0,127.0,105.0,2.0,61.0,60.0,19.0,17.0,51.0,50.0,59.0,49.0,42.0
2113,1.0,0.0,4.0,16.0,11.0,14.0,37.0,82.0,7.0,27.0,144.0,6.0,17.0,90.0,66.0,122.0,114.0,44.0,5.0,100.0,3.0,68.0,2.0,13.0,10.0,50.0,48.0,41.0,55.0,42.0
2162,4.0,35.0,24.0,0.0,16.0,9.0,43.0,8.0,25.0,55.0,3.0,142.0,58.0,34.0,32.0,119.0,2.0,15.0,109.0,29.0,11.0,50.0,13.0,60.0,17.0,46.0,38.0,51.0,18.0,74.0
2211,22.0,0.0,1.0,7.0,2.0,30.0,15.0,84.0,35.0,53.0,8.0,32.0,23.0,5.0,68.0,121.0,114.0,39.0,3.0,102.0,24.0,27.0,57.0,17.0,40.0,43.0,19.0,50.0,38.0,37.0
2260,0.0,1.0,139.0,148.0,4.0,38.0,46.0,81.0,5.0,51.0,25.0,7.0,13.0,8.0,66.0,121.0,112.0,12.0,111.0,21.0,20.0,67.0,28.0,2.0,14.0,43.0,54.0,23.0,40.0,39.0
2309,2.0,0.0,12.0,10.0,15.0,96.0,55.0,6.0,44.0,28.0,7.0,3.0,33.0,76.0,4.0,32.0,36.0,9.0,29.0,106.0,8.0,27.0,52.0,45.0,18.0,49.0,48.0,26.0,19.0,43.0
2358,3.0,0.0,5.0,28.0,1.0,109.0,24.0,73.0,51.0,56.0,12.0,25.0,29.0,6.0,31.0,119.0,35.0,27.0,124.0,99.0,4.0,43.0,20.0,21.0,38.0,42.0,41.0,50.0,22.0,59.0
2407,2.0,0.0,7.0,3.0,1.0,119.0,56.0,23.0,31.0,93.0,142.0,30.0,144.0,5.0,28.0,4.0,29.0,46.0,125.0,104.0,143.0,37.0,41.0,13.0,51.0,60.0,54.0,59.0,52.0,48.0
2456,17.0,2.0,21.0,33.0,20.0,18.0,56.0,19.0,97.0,25.0,35.0,38.0,32.0,81.0,69.0,41.0,26.0,1.0,115.0,8.0,0.0,31.0,46.0,48.0,49.0,53.0,52.0,89.0,50.0,61.0
2505,1.0,20.0,8.0,7.0,6.0,11.0,49.0,9.0,53.0,29.0,30.0,34.0,23.0,15.0,26.0,35.0,28.0,42.0,2.0,25.0,144.0,66.0,76.0,45.0,46.0,58.0,57.0,54.0,48.0,44.0
2554,2.0,1.0,5.0,20.0,4.0,24.0,11.0,22.0,35.0,0.0,32.0,142.0,28.0,81.0,67.0,122.0,114.0,49.0,40.0,25.0,29.0,65.0,38.0,16.0,52.0,58.0,13.0,59.0,57.0,50.0
2603,4.0,7.0,8.0,130.0,14.0,12.0,53.0,24.0,3.0,6.0,31.0,136.0,97.0,79.0,32.0,33.0,126.0,18.0,38.0,26.0,132.0,66.0,40.0,49.0,50.0,52.0,54.0,59.0,11.0,55.0
2652,28.0,39.0,21.0,9.0,0.0,107.0,4.0,7.0,25.0,26.0,144.0,24.0,10.0,71.0,34.0,121.0,113.0,5.0,38.0,42.0,27.0,54.0,15.0,66.0,16.0,19.0,49.0,57.0,64.0,90.0
2701,2.0,30.0,5.0,11.0,13.0,14.0,55.0,8.0,25.0,1.0,26.0,4.0,0.0,3.0,34.0,7.0,39.0,21.0,124.0,28.0,95.0,44.0,6.0,45.0,46.0,50.0,49.0,61.0,47.0,43.0
2750,15.0,0.0,1.0,3.0,18.0,16.0,51.0,7.0,57.0,155.0,133.0,136.0,33.0,91.0,75.0,30.0,126.0,6.0,4.0,9.0,132.0,70.0,40.0,52.0,13.0,56.0,46.0,32.0,12.0,50.0
2799,4.0,0.0,25.0,10.0,8.0,104.0,55.0,16.0,54.0,3.0,142.0,140.0,144.0,64.0,44.0,38.0,114.0,40.0,33.0,5.0,143.0,52.0,90.0,43.0,22.0,24.0,23.0,39.0,45.0,41.0
2848,14.0,3.0,1.0,26.0,0.0,105.0,11.0,16.0,55.0,7.0,93.0,140.0,2.0,65.0,28.0,6.0,113.0,47.0,5.0,12.0,163.0,49.0,17.0,18.0,36.0,42.0,22.0,15.0,37.0,33.0
2897,2.0,24.0,9.0,4.0,73.0,103.0,22.0,6.0,47.0,1.0,145.0,12.0,76.0,65.0,36.0,0.0,111.0,19.0,5.0,93.0,89.0,26.0,86.0,40.0,20.0,46.0,44.0,7.0,41.0,53.0
2946,16.0,0.0,138.0,5.0,15.0,23.0,24.0,92.0,42.0,4.0,144.0,141.0,17.0,11.0,28.0,2.0,9.0,43.0,32.0,105.0,8.0,70.0,75.0,45.0,47.0,54.0,53.0,29.0,48.0,44.0
2995,12.0,1.0,3.0,16.0,81.0,105.0,0.0,83.0,7.0,50.0,144.0,140.0,17.0,8.0,6.0,127.0,28.0,19.0,124.0,97.0,2.0,5.0,76.0,49.0,59.0,58.0,13.0,55.0,51.0,48.0
3044,2.0,1.0,6.0,7.0,88.0,105.0,49.0,79.0,26.0,9.0,145.0,142.0,16.0,73.0,8.0,29.0,4.0,36.0,5.0,95.0,10.0,0.0,24.0,39.0,41.0,21.0,45.0,35.0,43.0,38.0
3093,7.0,1.0,4.0,128.0,14.0,104.0,26.0,15.0,27.0,53.0,127.0,141.0,80.0,2.0,8.0,9.0,33.0,38.0,5.0,95.0,10.0,67.0,0.0,41.0,54.0,12.0,47.0,29.0,44.0,40.0
3142,23.0,8.0,3.0,146.0,24.0,107.0,2.0,85.0,49.0,32.0,144.0,141.0,94.0,29.0,36.0,38.0,113.0,42.0,4.0,100.0,31.0,64.0,21.0,45.0,57.0,15.0,52.0,5.0,47.0,44.0
3191,6.0,4.0,3.0,0.0,73.0,103.0,22.0,14.0,19.0,55.0,16.0,141.0,127.0,8.0,7.0,118.0,29.0,60.0,123.0,95.0,26.0,43.0,86.0,40.0,39.0,20.0,2.0,24.0,37.0,48.0
3240,0.0,10.0,3.0,22.0,88.0,125.0,1.0,20.0,2.0,6.0,145.0,142.0,42.0,80.0,5.0,118.0,111.0,14.0,124.0,97.0,25.0,29.0,4.0,7.0,45.0,51.0,19.0,36.0,47.0,44.0
3289,13.0,0.0,8.0,3.0,72.0,14.0,2.0,15.0,59.0,57.0,94.0,142.0,4.0,35.0,39.0,6.0,34.0,51.0,5.0,99.0,128.0,46.0,90.0,25.0,41.0,1.0,45.0,9.0,43.0,38.0
3338,0.0,1.0,12.0,20.0,61.0,101.0,5.0,84.0,45.0,155.0,133.0,2.0,27.0,78.0,30.0,31.0,38.0,22.0,37.0,24.0,41.0,66.0,46.0,47.0,49.0,15.0,51.0,48.0,18.0,59.0
3387,2.0,24.0,138.0,12.0,27.0,105.0,4.0,57.0,23.0,3.0,143.0,30.0,144.0,17.0,7.0,32.0,14.0,39.0,31.0,97.0,19.0,29.0,0.0,11.0,55.0,46.0,13.0,5.0,44.0,38.0
3436,3.0,99.0,0.0,21.0,15.0,7.0,4.0,13.0,27.0,6.0,10.0,25.0,8.0,23.0,26.0,36.0,34.0,41.0,112.0,102.0,35.0,30.0,76.0,38.0,54.0,47.0,46.0,29.0,42.0,40.0
3485,7.0,30.0,6.0,2.0,3.0,12.0,23.0,29.0,24.0,14.0,26.0,10.0,9.0,28.0,31.0,1.0,37.0,40.0,126.0,105.0,8.0,5.0,90.0,20.0,21.0,22.0,45.0,54.0,43.0,39.0
3534,12.0,0.0,5.0,3.0,10.0,11.0,24.0,9.0,28.0,2.0,29.0,140.0,1.0,38.0,6.0,122.0,40.0,20.0,35.0,41.0,144.0,36.0,87.0,22.0,48.0,45.0,44.0,58.0,43.0,66.0
3583,14.0,9.0,4.0,17.0,13.0,24.0,8.0,16.0,47.0,5.0,39.0,28.0,0.0,77.0,31.0,121.0,37.0,18.0,126.0,10.0,35.0,34.0,61.0,43.0,44.0,50.0,49.0,54.0,59.0,41.0
3632,0.0,39.0,5.0,9.0,1.0,8.0,17.0,10.0,62.0,28.0,133.0,20.0,24.0,71.0,31.0,119.0,3.0,14.0,32.0,109.0,23.0,33.0,65.0,44.0,41.0,48.0,46.0,22.0,50.0,45.0
3681,6.0,40.0,3.0,8.0,69.0,22.0,49.0,71.0,12.0,0.0,29.0,5.0,24.0,84.0,38.0,4.0,126.0,16.0,128.0,103.0,26.0,42.0,10.0,66.0,18.0,21.0,48.0,28.0,80.0,92.0
3730,127.0,3.0,9.0,16.0,70.0,17.0,24.0,0.0,23.0,22.0,33.0,19.0,20.0,90.0,76.0,55.0,72.0,8.0,40.0,115.0,6.0,2.0,51.0,57.0,58.0,62.0,61.0,135.0,59.0,56.0
3779,23.0,13.0,2.0,22.0,16.0,4.0,50.0,83.0,6.0,8.0,143.0,9.0,5.0,21.0,36.0,120.0,25.0,37.0,35.0,14.0,144.0,65.0,26.0,49.0,42.0,53.0,54.0,45.0,56.0,20.0
3828,3.0,106.0,23.0,12.0,76.0,5.0,4.0,30.0,25.0,31.0,26.0,141.0,144.0,65.0,34.0,122.0,114.0,18.0,7.0,29.0,27.0,50.0,90.0,46.0,20.0,44.0,42.0,55.0,48.0,47.0
3877,2.0,1.0,25.0,21.0,19.0,18.0,37.0,93.0,26.0,129.0,29.0,6.0,0.0,12.0,70.0,35.0,27.0,45.0,38.0,11.0,134.0,30.0,58.0,57.0,20.0,15.0,51.0,28.0,49.0,46.0
3926,8.0,23.0,36.0,16.0,15.0,14.0,12.0,84.0,7.0,5.0,94.0,24.0,17.0,2.0,67.0,0.0,25.0,19.0,126.0,4.0,1.0,69.0,33.0,44.0,45.0,51.0,49.0,6.0,46.0,42.0
3975,0.0,4.0,14.0,10.0,28.0,20.0,65.0,66.0,2.0,21.0,145.0,163.0,33.0,91.0,76.0,37.0,6.0,55.0,143.0,107.0,18.0,7.0,26.0,57.0,58.0,61.0,60.0,135.0,59.0,56.0
4024,1.0,37.0,2.0,5.0,3.0,7.0,0.0,70.0,24.0,4.0,144.0,141.0,94.0,74.0,51.0,35.0,114.0,14.0,119.0,109.0,26.0,34.0,6.0,50.0,42.0,43.0,41.0,22.0,40.0,62.0
4073,0.0,37.0,22.0,30.0,70.0,7.0,18.0,8.0,23.0,3.0,127.0,25.0,76.0,88.0,47.0,1.0,39.0,13.0,124.0,96.0,2.0,51.0,12.0,89.0,61.0,15.0,40.0,5.0,49.0,63.0
4122,8.0,5.0,2.0,7.0,86.0,15.0,1.0,84.0,29.0,9.0,133.0,33.0,6.0,11.0,69.0,34.0,3.0,17.0,35.0,108.0,132.0,71.0,4.0,50.0,53.0,39.0,56.0,47.0,54.0,49.0
4171,0.0,30.0,21.0,11.0,8.0,1.0,3.0,77.0,24.0,49.0,144.0,140.0,26.0,28.0,32.0,35.0,40.0,42.0,112.0,105.0,95.0,34.0,27.0,45.0,46.0,50.0,19.0,23.0,47.0,44.0
4220,8.0,41.0,24.0,130.0,10.0,1.0,62.0,78.0,61.0,30.0,133.0,136.0,20.0,5.0,56.0,4.0,40.0,60.0,33.0,107.0,132.0,34.0,91.0,47.0,49.0,22.0,3.0,53.0,50.0,46.0
4269,6.0,5.0,7.0,11.0,30.0,15.0,1.0,13.0,60.0,2.0,28.0,135.0,133.0,72.0,51.0,37.0,114.0,93.0,126.0,106.0,4.0,56.0,88.0,46.0,45.0,22.0,40.0,0.0,44.0,47.0
4318,0.0,2.0,3.0,149.0,71.0,15.0,19.0,11.0,7.0,93.0,144.0,23.0,27.0,38.0,49.0,37.0,32.0,12.0,125.0,29.0,26.0,55.0,1.0,64.0,63.0,43.0,10.0,56.0,62.0,90.0
4367,1.0,96.0,4.0,5.0,75.0,2.0,22.0,14.0,26.0,12.0,93.0,141.0,28.0,0.0,52.0,31.0,40.0,20.0,125.0,19.0,3.0,56.0,18.0,43.0,44.0,49.0,48.0,60.0,45.0,41.0
4416,0.0,8.0,10.0,20.0,61.0,17.0,11.0,3.0,34.0,28.0,27.0,141.0,94.0,21.0,31.0,122.0,25.0,12.0,126.0,1.0,26.0,30.0,60.0,16.0,59.0,15.0,51.0,35.0,49.0,44.0
4465,21.0,17.0,16.0,1.0,12.0,9.0,22.0,6.0,0.0,84.0,30.0,143.0,144.0,15.0,65.0,3.0,7.0,40.0,38.0,106.0,29.0,63.0,61.0,44.0,45.0,47.0,58.0,55.0,41.0,43.0
4514,2.0,10.0,8.0,0.0,70.0,106.0,20.0,73.0,1.0,55.0,92.0,4.0,90.0,61.0,27.0,120.0,5.0,89.0,125.0,7.0,127.0,33.0,3.0,47.0,42.0,18.0,43.0,50.0,41.0,59.0
4563,12.0,0.0,21.0,110.0,9.0,8.0,20.0,11.0,24.0,59.0,28.0,142.0,94.0,39.0,38.0,3.0,113.0,15.0,33.0,32.0,6.0,36.0,86.0,77.0,53.0,17.0,45.0,56.0,42.0,63.0
4612,1.0,31.0,3.0,7.0,74.0,103.0,23.0,12.0,25.0,26.0,94.0,141.0,10.0,8.0,35.0,2.0,32.0,28.0,122.0,29.0,27.0,4.0,0.0,43.0,19.0,20.0,47.0,58.0,45.0,66.0
4661,0.0,1.0,4.0,7.0,5.0,29.0,19.0,6.0,22.0,31.0,26.0,23.0,28.0,41.0,56.0,122.0,42.0,12.0,32.0,37.0,27.0,35.0,11.0,15.0,65.0,48.0,17.0,58.0,45.0,67.0
4710,10.0,5.0,9.0,13.0,17.0,105.0,6.0,14.0,24.0,52.0,30.0,143.0,57.0,69.0,47.0,1.0,111.0,19.0,8.0,96.0,3.0,50.0,82.0,62.0,61.0,20.0,35.0,44.0,60.0,87.0
4759,15.0,1.0,2.0,5.0,87.0,23.0,25.0,85.0,3.0,94.0,33.0,135.0,133.0,13.0,69.0,6.0,0.0,16.0,35.0,12.0,4.0,27.0,11.0,39.0,40.0,7.0,49.0,55.0,47.0,38.0
4808,1.0,4.0,18.0,8.0,86.0,12.0,32.0,84.0,6.0,94.0,30.0,137.0,132.0,14.0,67.0,28.0,19.0,42.0,39.0,3.0,133.0,65.0,44.0,58.0,46.0,50.0,49.0,56.0,47.0,43.0
4857,9.0,0.0,1.0,11.0,79.0,103.0,51.0,82.0,60.0,29.0,25.0,137.0,133.0,71.0,31.0,38.0,34.0,48.0,37.0,4.0,134.0,2.0,27.0,17.0,46.0,20.0,19.0,26.0,49.0,47.0
