,hsa-miR-584,hsa-miR-105,hsa-miR-448,hsa-miR-1321,hsa-miR-921,hsa-miR-642,hsa-miR-556-3p,kshv-miR-K12-2,hsa-miR-330-3p,hsa-miR-1245,hsa-miR-1293,hsa-miR-650,hsa-miR-888,hsa-miR-491-3p,hsa-miR-137,hsa-miR-934,hsa-miR-373,hsa-miR-605,hsa-miR-639,kshv-miR-K12-11,hsa-miR-630,hsa-miR-453,hsa-miR-142-5p,hsa-miR-924,hsa-miR-601,hsa-miR-155,hsa-miR-223,hsa-miR-106b,hsa-miR-520a-3p,hsa-miR-181c
505,0.0,1.0,13.0,37.0,3.0,34.0,2.0,10.0,4.0,31.0,17.0,15.0,16.0,51.0,41.0,12.0,75.0,152.0,47.0,76.0,20.0,96.0,29.0,11.0,25.0,21.0,50.0,33.0,107.0,81.0
554,0.0,11.0,4.0,28.0,49.0,6.0,71.0,25.0,2.0,31.0,9.0,5.0,15.0,74.0,45.0,18.0,162.0,170.0,23.0,14.0,19.0,46.0,20.0,24.0,219.0,8.0,161.0,43.0,98.0,101.0
603,0.0,2.0,18.0,11.0,13.0,38.0,33.0,42.0,1.0,6.0,4.0,83.0,21.0,104.0,7.0,40.0,97.0,16.0,8.0,54.0,68.0,89.0,12.0,3.0,60.0,9.0,48.0,43.0,37.0,69.0
652,1.0,2.0,6.0,52.0,4.0,71.0,24.0,66.0,7.0,3.0,9.0,13.0,12.0,34.0,84.0,38.0,86.0,31.0,51.0,79.0,26.0,180.0,75.0,0.0,128.0,11.0,14.0,74.0,36.0,55.0
701,0.0,1.0,11.0,13.0,21.0,19.0,22.0,3.0,24.0,35.0,2.0,77.0,63.0,54.0,6.0,52.0,129.0,335.0,34.0,27.0,41.0,164.0,14.0,8.0,47.0,12.0,26.0,57.0,128.0,84.0
750,0.0,1.0,6.0,3.0,39.0,44.0,7.0,4.0,5.0,19.0,25.0,9.0,34.0,46.0,99.0,47.0,107.0,178.0,27.0,30.0,79.0,60.0,22.0,17.0,56.0,14.0,41.0,32.0,13.0,118.0
799,0.0,4.0,2.0,47.0,10.0,28.0,23.0,3.0,27.0,25.0,14.0,6.0,45.0,146.0,132.0,32.0,98.0,86.0,1.0,30.0,13.0,153.0,8.0,7.0,39.0,11.0,69.0,51.0,64.0,81.0
848,0.0,3.0,33.0,47.0,23.0,11.0,26.0,66.0,28.0,5.0,8.0,24.0,12.0,85.0,95.0,86.0,116.0,36.0,34.0,10.0,44.0,127.0,4.0,1.0,78.0,2.0,58.0,41.0,62.0,72.0
897,0.0,1.0,6.0,25.0,3.0,10.0,2.0,31.0,28.0,24.0,8.0,57.0,47.0,219.0,42.0,17.0,123.0,139.0,7.0,51.0,54.0,80.0,5.0,22.0,30.0,76.0,18.0,16.0,58.0,13.0
946,0.0,67.0,32.0,114.0,22.0,61.0,69.0,30.0,4.0,27.0,18.0,9.0,16.0,142.0,140.0,10.0,60.0,108.0,14.0,25.0,145.0,276.0,1.0,7.0,57.0,5.0,63.0,51.0,132.0,26.0
995,0.0,13.0,8.0,14.0,1.0,77.0,7.0,3.0,45.0,29.0,61.0,2.0,6.0,55.0,16.0,4.0,22.0,39.0,69.0,66.0,32.0,5.0,54.0,23.0,21.0,34.0,12.0,36.0,10.0,57.0
1044,0.0,2.0,13.0,7.0,6.0,28.0,15.0,22.0,8.0,1.0,47.0,11.0,14.0,20.0,25.0,44.0,57.0,3.0,19.0,5.0,73.0,10.0,12.0,21.0,51.0,87.0,38.0,46.0,30.0,32.0
1093,0.0,14.0,1.0,8.0,7.0,30.0,23.0,28.0,13.0,18.0,33.0,2.0,9.0,11.0,6.0,47.0,19.0,80.0,75.0,20.0,17.0,4.0,25.0,141.0,5.0,15.0,16.0,44.0,22.0,55.0
1142,2.0,4.0,23.0,20.0,1.0,8.0,3.0,0.0,44.0,7.0,12.0,5.0,32.0,276.0,123.0,303.0,16.0,13.0,104.0,9.0,26.0,25.0,18.0,15.0,24.0,35.0,40.0,47.0,85.0,38.0
1191,1.0,19.0,0.0,20.0,3.0,10.0,13.0,7.0,52.0,6.0,22.0,2.0,51.0,17.0,70.0,8.0,183.0,34.0,37.0,9.0,24.0,4.0,140.0,233.0,16.0,54.0,91.0,27.0,41.0,21.0
1240,0.0,5.0,19.0,8.0,3.0,70.0,18.0,16.0,53.0,1.0,14.0,12.0,11.0,30.0,25.0,9.0,29.0,7.0,91.0,41.0,84.0,2.0,36.0,45.0,4.0,34.0,46.0,23.0,13.0,10.0
1289,0.0,21.0,20.0,9.0,15.0,65.0,8.0,1.0,45.0,7.0,3.0,2.0,58.0,59.0,39.0,23.0,24.0,12.0,13.0,4.0,40.0,18.0,22.0,43.0,6.0,38.0,29.0,27.0,19.0,30.0
1338,0.0,9.0,6.0,1.0,2.0,8.0,7.0,4.0,38.0,3.0,22.0,51.0,47.0,27.0,15.0,29.0,14.0,5.0,16.0,21.0,25.0,12.0,108.0,96.0,18.0,11.0,28.0,23.0,33.0,49.0
1387,3.0,0.0,8.0,18.0,16.0,63.0,2.0,4.0,14.0,10.0,22.0,6.0,83.0,36.0,1.0,88.0,15.0,7.0,103.0,29.0,59.0,60.0,38.0,57.0,5.0,13.0,11.0,27.0,37.0,26.0
1436,3.0,5.0,1.0,0.0,10.0,106.0,6.0,7.0,24.0,23.0,8.0,14.0,22.0,4.0,19.0,15.0,29.0,9.0,99.0,65.0,46.0,2.0,75.0,13.0,60.0,27.0,58.0,33.0,11.0,43.0
1485,10.0,0.0,6.0,2.0,27.0,23.0,5.0,124.0,7.0,36.0,190.0,26.0,47.0,1.0,57.0,12.0,44.0,20.0,73.0,11.0,21.0,3.0,64.0,77.0,70.0,62.0,48.0,49.0,17.0,16.0
1534,0.0,4.0,1.0,8.0,58.0,3.0,27.0,124.0,10.0,2.0,22.0,16.0,83.0,39.0,82.0,64.0,23.0,19.0,28.0,66.0,30.0,12.0,101.0,15.0,29.0,20.0,77.0,17.0,6.0,32.0
1583,2.0,3.0,1.0,5.0,20.0,27.0,0.0,14.0,16.0,36.0,34.0,26.0,185.0,15.0,100.0,7.0,21.0,101.0,10.0,23.0,8.0,4.0,28.0,12.0,17.0,150.0,45.0,11.0,19.0,52.0
1632,1.0,2.0,15.0,0.0,58.0,11.0,18.0,12.0,57.0,21.0,5.0,19.0,146.0,138.0,10.0,42.0,29.0,38.0,6.0,3.0,14.0,39.0,34.0,87.0,32.0,67.0,43.0,28.0,88.0,27.0
1681,6.0,1.0,0.0,2.0,7.0,48.0,4.0,23.0,13.0,39.0,41.0,14.0,67.0,3.0,29.0,11.0,27.0,42.0,10.0,44.0,8.0,17.0,77.0,74.0,22.0,20.0,154.0,18.0,38.0,113.0
1730,0.0,6.0,1.0,5.0,4.0,88.0,19.0,42.0,10.0,7.0,98.0,41.0,55.0,52.0,83.0,13.0,49.0,14.0,25.0,9.0,27.0,3.0,86.0,44.0,65.0,73.0,26.0,21.0,8.0,74.0
1779,3.0,0.0,26.0,1.0,2.0,52.0,47.0,93.0,9.0,31.0,33.0,10.0,29.0,13.0,139.0,89.0,27.0,106.0,12.0,90.0,21.0,158.0,22.0,18.0,102.0,82.0,35.0,70.0,74.0,4.0
1828,1.0,0.0,29.0,4.0,15.0,20.0,8.0,45.0,12.0,10.0,196.0,36.0,108.0,30.0,141.0,25.0,41.0,5.0,28.0,6.0,23.0,11.0,18.0,2.0,3.0,95.0,21.0,7.0,19.0,74.0
1877,5.0,0.0,15.0,10.0,115.0,113.0,59.0,121.0,85.0,21.0,68.0,43.0,1.0,26.0,55.0,2.0,48.0,7.0,41.0,25.0,9.0,11.0,18.0,35.0,24.0,47.0,36.0,30.0,8.0,32.0
1926,0.0,11.0,6.0,16.0,1.0,12.0,8.0,117.0,19.0,180.0,161.0,178.0,9.0,60.0,111.0,17.0,124.0,53.0,43.0,21.0,13.0,3.0,150.0,35.0,24.0,27.0,36.0,7.0,29.0,33.0
1975,5.0,3.0,0.0,7.0,17.0,9.0,10.0,39.0,15.0,8.0,96.0,6.0,14.0,11.0,13.0,50.0,31.0,24.0,22.0,44.0,60.0,1.0,32.0,26.0,2.0,95.0,18.0,23.0,35.0,78.0
2024,4.0,15.0,2.0,5.0,3.0,30.0,8.0,0.0,12.0,1.0,24.0,207.0,23.0,77.0,290.0,28.0,80.0,51.0,42.0,40.0,21.0,25.0,45.0,10.0,20.0,66.0,11.0,37.0,38.0,128.0
2073,0.0,26.0,2.0,13.0,1.0,15.0,12.0,6.0,3.0,37.0,5.0,17.0,8.0,102.0,72.0,25.0,256.0,60.0,40.0,11.0,197.0,14.0,58.0,10.0,45.0,57.0,19.0,51.0,67.0,32.0
2122,2.0,20.0,0.0,12.0,15.0,106.0,3.0,1.0,14.0,4.0,7.0,27.0,10.0,67.0,121.0,50.0,30.0,8.0,13.0,6.0,105.0,28.0,41.0,5.0,48.0,61.0,57.0,21.0,78.0,46.0
2171,0.0,3.0,4.0,14.0,2.0,8.0,15.0,1.0,9.0,22.0,16.0,51.0,18.0,24.0,65.0,32.0,13.0,92.0,28.0,21.0,26.0,19.0,7.0,48.0,17.0,187.0,12.0,6.0,123.0,41.0
2220,3.0,0.0,4.0,5.0,11.0,43.0,21.0,6.0,2.0,8.0,77.0,25.0,15.0,28.0,19.0,10.0,50.0,65.0,83.0,54.0,24.0,36.0,31.0,9.0,1.0,63.0,81.0,47.0,64.0,34.0
2269,4.0,2.0,3.0,14.0,0.0,23.0,5.0,1.0,11.0,7.0,104.0,8.0,19.0,10.0,9.0,13.0,26.0,126.0,24.0,6.0,65.0,33.0,132.0,64.0,21.0,157.0,30.0,63.0,38.0,35.0
2318,2.0,3.0,0.0,22.0,16.0,13.0,8.0,1.0,9.0,27.0,45.0,28.0,24.0,12.0,68.0,26.0,18.0,5.0,21.0,29.0,47.0,4.0,19.0,10.0,25.0,150.0,33.0,6.0,44.0,53.0
2367,0.0,2.0,20.0,8.0,16.0,12.0,52.0,4.0,6.0,14.0,19.0,13.0,40.0,55.0,1.0,160.0,36.0,57.0,10.0,26.0,49.0,51.0,44.0,18.0,9.0,34.0,32.0,46.0,7.0,56.0
2416,4.0,5.0,1.0,16.0,0.0,3.0,32.0,11.0,25.0,27.0,12.0,72.0,45.0,9.0,53.0,7.0,42.0,23.0,8.0,30.0,139.0,33.0,50.0,18.0,54.0,62.0,20.0,60.0,14.0,15.0
2465,7.0,0.0,4.0,32.0,28.0,47.0,36.0,61.0,5.0,14.0,23.0,12.0,8.0,3.0,112.0,41.0,9.0,25.0,140.0,13.0,39.0,15.0,46.0,31.0,50.0,80.0,2.0,63.0,77.0,90.0
2514,1.0,4.0,0.0,2.0,18.0,59.0,11.0,10.0,5.0,16.0,27.0,25.0,14.0,7.0,47.0,37.0,20.0,3.0,80.0,91.0,29.0,39.0,60.0,31.0,17.0,32.0,8.0,113.0,35.0,74.0
2563,0.0,14.0,2.0,36.0,18.0,130.0,72.0,47.0,12.0,30.0,32.0,28.0,4.0,26.0,77.0,50.0,37.0,3.0,19.0,1.0,38.0,29.0,25.0,11.0,20.0,84.0,9.0,46.0,21.0,71.0
2612,0.0,1.0,4.0,45.0,48.0,78.0,61.0,13.0,3.0,59.0,11.0,10.0,24.0,16.0,100.0,87.0,37.0,6.0,20.0,81.0,26.0,23.0,49.0,5.0,70.0,46.0,9.0,50.0,8.0,41.0
2661,0.0,28.0,2.0,5.0,6.0,78.0,60.0,26.0,146.0,75.0,15.0,3.0,1.0,23.0,45.0,235.0,17.0,13.0,52.0,27.0,9.0,131.0,31.0,14.0,58.0,20.0,18.0,41.0,11.0,46.0
2710,1.0,4.0,0.0,37.0,77.0,31.0,74.0,14.0,30.0,8.0,56.0,33.0,12.0,6.0,72.0,58.0,17.0,3.0,26.0,7.0,5.0,39.0,18.0,2.0,27.0,79.0,98.0,67.0,23.0,119.0
2759,0.0,14.0,1.0,19.0,16.0,43.0,173.0,18.0,74.0,89.0,27.0,12.0,11.0,8.0,42.0,47.0,23.0,35.0,7.0,2.0,56.0,26.0,6.0,15.0,77.0,49.0,17.0,46.0,30.0,20.0
2808,0.0,13.0,1.0,6.0,68.0,118.0,134.0,37.0,24.0,31.0,32.0,40.0,2.0,14.0,200.0,15.0,30.0,12.0,36.0,107.0,94.0,61.0,28.0,3.0,116.0,5.0,42.0,45.0,44.0,91.0
2857,1.0,5.0,0.0,51.0,8.0,42.0,117.0,28.0,6.0,24.0,7.0,36.0,4.0,3.0,83.0,25.0,15.0,2.0,52.0,70.0,32.0,27.0,38.0,9.0,76.0,19.0,29.0,37.0,12.0,90.0
2906,0.0,5.0,1.0,15.0,23.0,26.0,40.0,6.0,4.0,153.0,8.0,95.0,25.0,2.0,14.0,18.0,64.0,13.0,37.0,31.0,82.0,69.0,59.0,48.0,32.0,50.0,22.0,34.0,35.0,47.0
2955,0.0,15.0,11.0,1.0,3.0,20.0,66.0,33.0,4.0,12.0,24.0,200.0,9.0,35.0,48.0,80.0,32.0,13.0,37.0,242.0,58.0,74.0,78.0,16.0,67.0,2.0,44.0,68.0,45.0,25.0
3004,3.0,6.0,1.0,2.0,0.0,12.0,87.0,52.0,78.0,83.0,32.0,57.0,8.0,108.0,117.0,15.0,33.0,76.0,17.0,14.0,18.0,23.0,58.0,11.0,119.0,37.0,19.0,24.0,13.0,39.0
3053,7.0,2.0,5.0,1.0,4.0,0.0,6.0,29.0,40.0,19.0,14.0,157.0,61.0,27.0,3.0,20.0,15.0,38.0,13.0,21.0,22.0,41.0,81.0,127.0,52.0,17.0,43.0,34.0,102.0,25.0
3102,0.0,28.0,1.0,16.0,2.0,3.0,153.0,11.0,68.0,36.0,20.0,84.0,12.0,6.0,61.0,63.0,25.0,57.0,9.0,31.0,5.0,87.0,14.0,4.0,168.0,56.0,49.0,7.0,33.0,34.0
3151,1.0,3.0,0.0,20.0,2.0,4.0,26.0,6.0,15.0,53.0,22.0,89.0,51.0,67.0,75.0,8.0,126.0,64.0,17.0,16.0,18.0,39.0,103.0,11.0,143.0,40.0,21.0,35.0,13.0,10.0
3200,30.0,1.0,7.0,2.0,0.0,9.0,33.0,95.0,53.0,69.0,34.0,80.0,15.0,18.0,16.0,17.0,12.0,6.0,3.0,42.0,20.0,51.0,91.0,28.0,308.0,225.0,59.0,57.0,29.0,89.0
3249,0.0,5.0,2.0,3.0,1.0,6.0,15.0,19.0,14.0,63.0,29.0,84.0,7.0,8.0,10.0,4.0,17.0,30.0,41.0,31.0,67.0,28.0,93.0,45.0,86.0,54.0,26.0,53.0,35.0,32.0
3298,3.0,1.0,2.0,4.0,0.0,9.0,20.0,30.0,43.0,24.0,64.0,113.0,12.0,11.0,8.0,6.0,23.0,93.0,33.0,55.0,63.0,41.0,60.0,7.0,104.0,84.0,10.0,59.0,26.0,51.0
3347,4.0,3.0,0.0,16.0,1.0,2.0,10.0,9.0,31.0,47.0,78.0,66.0,58.0,5.0,61.0,27.0,39.0,18.0,17.0,89.0,15.0,20.0,12.0,7.0,35.0,148.0,135.0,26.0,14.0,101.0
3396,3.0,47.0,0.0,19.0,2.0,1.0,23.0,31.0,42.0,83.0,59.0,36.0,17.0,5.0,72.0,123.0,8.0,196.0,9.0,58.0,4.0,32.0,12.0,51.0,44.0,27.0,28.0,41.0,16.0,55.0
3445,0.0,21.0,14.0,3.0,75.0,5.0,6.0,27.0,8.0,2.0,22.0,20.0,32.0,12.0,1.0,92.0,4.0,9.0,59.0,33.0,15.0,56.0,89.0,172.0,10.0,31.0,28.0,35.0,181.0,16.0
3494,0.0,24.0,3.0,7.0,48.0,5.0,4.0,9.0,13.0,6.0,47.0,31.0,40.0,46.0,10.0,58.0,16.0,1.0,14.0,41.0,81.0,15.0,57.0,151.0,27.0,55.0,36.0,28.0,67.0,18.0
3543,0.0,37.0,17.0,1.0,39.0,7.0,65.0,29.0,10.0,11.0,3.0,4.0,71.0,13.0,2.0,316.0,6.0,33.0,20.0,154.0,14.0,47.0,25.0,148.0,15.0,12.0,110.0,38.0,30.0,9.0
3592,0.0,2.0,41.0,15.0,137.0,1.0,8.0,5.0,23.0,14.0,7.0,3.0,24.0,32.0,85.0,48.0,4.0,10.0,9.0,13.0,25.0,38.0,31.0,105.0,11.0,20.0,59.0,22.0,64.0,6.0
3641,0.0,32.0,5.0,9.0,69.0,3.0,14.0,95.0,24.0,12.0,21.0,4.0,33.0,2.0,1.0,15.0,6.0,45.0,35.0,16.0,29.0,11.0,92.0,51.0,28.0,62.0,17.0,30.0,26.0,8.0
3690,0.0,17.0,6.0,12.0,90.0,1.0,4.0,21.0,8.0,2.0,16.0,22.0,95.0,23.0,13.0,54.0,24.0,3.0,26.0,11.0,40.0,31.0,44.0,57.0,29.0,106.0,80.0,36.0,96.0,14.0
3739,0.0,44.0,5.0,20.0,28.0,2.0,13.0,32.0,18.0,41.0,3.0,76.0,62.0,36.0,14.0,12.0,179.0,6.0,10.0,22.0,43.0,63.0,68.0,228.0,25.0,143.0,40.0,19.0,11.0,1.0
3788,0.0,12.0,1.0,2.0,84.0,14.0,3.0,8.0,15.0,5.0,21.0,33.0,50.0,4.0,16.0,81.0,22.0,6.0,19.0,44.0,78.0,25.0,61.0,37.0,11.0,31.0,93.0,42.0,18.0,43.0
3837,0.0,3.0,31.0,10.0,27.0,11.0,2.0,34.0,5.0,7.0,8.0,1.0,22.0,14.0,13.0,43.0,19.0,83.0,128.0,60.0,88.0,33.0,32.0,21.0,44.0,15.0,52.0,42.0,54.0,9.0
3886,0.0,20.0,26.0,2.0,103.0,22.0,72.0,61.0,6.0,5.0,8.0,10.0,30.0,35.0,24.0,82.0,16.0,3.0,32.0,38.0,31.0,121.0,4.0,27.0,59.0,79.0,12.0,28.0,47.0,1.0
3935,0.0,4.0,10.0,3.0,26.0,12.0,22.0,2.0,16.0,14.0,5.0,8.0,41.0,6.0,9.0,15.0,11.0,29.0,33.0,71.0,74.0,36.0,17.0,76.0,35.0,7.0,56.0,38.0,75.0,103.0
3984,6.0,0.0,25.0,1.0,26.0,7.0,24.0,14.0,3.0,13.0,10.0,12.0,27.0,2.0,42.0,40.0,5.0,16.0,28.0,67.0,30.0,20.0,36.0,35.0,23.0,4.0,59.0,18.0,93.0,73.0
4033,6.0,0.0,25.0,5.0,21.0,18.0,1.0,10.0,12.0,36.0,7.0,2.0,48.0,20.0,3.0,53.0,11.0,32.0,47.0,39.0,43.0,23.0,4.0,73.0,17.0,24.0,85.0,28.0,142.0,45.0
4082,16.0,2.0,59.0,10.0,6.0,41.0,155.0,0.0,4.0,37.0,9.0,39.0,21.0,1.0,8.0,7.0,18.0,91.0,71.0,30.0,27.0,43.0,45.0,108.0,25.0,22.0,134.0,33.0,20.0,68.0
4131,1.0,5.0,6.0,2.0,45.0,9.0,13.0,0.0,25.0,106.0,3.0,4.0,16.0,10.0,54.0,49.0,11.0,114.0,58.0,50.0,40.0,19.0,15.0,162.0,29.0,12.0,66.0,26.0,68.0,65.0
4180,2.0,0.0,191.0,1.0,6.0,11.0,9.0,4.0,20.0,19.0,27.0,3.0,51.0,8.0,5.0,18.0,16.0,300.0,29.0,45.0,50.0,141.0,42.0,36.0,76.0,13.0,33.0,108.0,103.0,68.0
4229,2.0,0.0,12.0,7.0,38.0,3.0,13.0,29.0,21.0,15.0,16.0,5.0,31.0,10.0,6.0,62.0,1.0,61.0,65.0,48.0,33.0,66.0,46.0,28.0,58.0,4.0,11.0,19.0,42.0,91.0
4278,5.0,0.0,40.0,3.0,4.0,13.0,12.0,2.0,31.0,8.0,20.0,1.0,38.0,17.0,18.0,7.0,6.0,76.0,33.0,22.0,24.0,44.0,37.0,142.0,35.0,11.0,65.0,26.0,66.0,79.0
4327,1.0,0.0,13.0,5.0,31.0,30.0,23.0,4.0,15.0,14.0,2.0,3.0,26.0,9.0,11.0,7.0,44.0,102.0,25.0,20.0,53.0,19.0,32.0,110.0,21.0,17.0,70.0,29.0,65.0,18.0
4376,3.0,2.0,10.0,1.0,0.0,6.0,47.0,20.0,28.0,5.0,4.0,58.0,26.0,8.0,7.0,22.0,17.0,11.0,91.0,112.0,97.0,83.0,80.0,77.0,52.0,14.0,23.0,68.0,216.0,54.0
4425,2.0,36.0,26.0,11.0,21.0,0.0,8.0,14.0,5.0,32.0,28.0,17.0,100.0,84.0,12.0,1.0,159.0,7.0,15.0,16.0,4.0,54.0,82.0,66.0,13.0,67.0,90.0,87.0,53.0,19.0
4474,13.0,18.0,7.0,10.0,0.0,1.0,5.0,26.0,23.0,36.0,130.0,2.0,42.0,30.0,3.0,6.0,12.0,14.0,9.0,39.0,49.0,59.0,24.0,62.0,19.0,86.0,126.0,153.0,55.0,17.0
4523,3.0,7.0,9.0,20.0,4.0,1.0,6.0,33.0,10.0,55.0,104.0,39.0,136.0,5.0,21.0,17.0,28.0,2.0,29.0,62.0,36.0,43.0,47.0,44.0,41.0,37.0,190.0,187.0,65.0,19.0
4572,0.0,58.0,13.0,10.0,4.0,3.0,32.0,19.0,39.0,106.0,41.0,1.0,17.0,105.0,6.0,68.0,26.0,12.0,37.0,30.0,25.0,72.0,48.0,89.0,20.0,168.0,199.0,161.0,59.0,2.0
4621,0.0,10.0,31.0,4.0,7.0,9.0,8.0,23.0,19.0,79.0,49.0,33.0,44.0,16.0,6.0,22.0,26.0,2.0,28.0,36.0,29.0,65.0,35.0,34.0,15.0,96.0,157.0,48.0,69.0,27.0
4670,1.0,10.0,7.0,18.0,3.0,8.0,24.0,6.0,22.0,34.0,103.0,2.0,57.0,25.0,4.0,11.0,26.0,0.0,31.0,13.0,20.0,88.0,17.0,43.0,42.0,83.0,60.0,79.0,23.0,16.0
4719,3.0,25.0,35.0,5.0,4.0,0.0,14.0,7.0,9.0,80.0,110.0,2.0,39.0,20.0,8.0,6.0,22.0,1.0,85.0,12.0,16.0,38.0,73.0,43.0,13.0,55.0,183.0,61.0,54.0,51.0
4768,1.0,16.0,56.0,7.0,0.0,5.0,27.0,4.0,15.0,36.0,34.0,6.0,29.0,21.0,14.0,13.0,10.0,3.0,38.0,32.0,8.0,30.0,218.0,26.0,189.0,25.0,42.0,65.0,39.0,19.0
4817,0.0,18.0,21.0,5.0,7.0,1.0,3.0,2.0,53.0,49.0,63.0,6.0,51.0,119.0,8.0,27.0,46.0,4.0,38.0,12.0,54.0,13.0,10.0,40.0,45.0,94.0,122.0,117.0,157.0,31.0
4866,2.0,5.0,29.0,1.0,0.0,4.0,23.0,25.0,47.0,57.0,33.0,18.0,35.0,12.0,7.0,30.0,15.0,3.0,22.0,46.0,21.0,39.0,62.0,41.0,49.0,61.0,177.0,28.0,37.0,17.0
