,4E-BP1_pT70,4E-BP1_pT37_T46,Rab25,4E-BP1_pS65,Bim(EP1036),E-Cadherin,Src_pY416,Akt_pS473,XBP1,p21,FOXO3a,GATA3,STAT5-alpha,beta-Catenin,PDCD4,Bax,Claudin-7,MEK1_pS217_S221,Cyclin_D1,Transglutaminase,A-Raf_pS299,Heregulin,MDM2_pS166,IRS1,HER3,AR,INPP4B,eEF2K,SETD2,ADAR1
490,4.0,1.0,6.0,0.0,3.0,2.0,106.0,97.0,11.0,28.0,24.0,18.0,114.0,13.0,9.0,38.0,33.0,5.0,36.0,82.0,47.0,22.0,7.0,43.0,15.0,76.0,44.0,50.0,21.0,86.0
539,27.0,3.0,1.0,78.0,8.0,4.0,17.0,32.0,15.0,14.0,9.0,23.0,25.0,21.0,0.0,2.0,10.0,57.0,13.0,50.0,64.0,46.0,48.0,68.0,31.0,11.0,6.0,73.0,5.0,7.0
588,2.0,20.0,0.0,22.0,18.0,15.0,58.0,24.0,26.0,8.0,3.0,95.0,30.0,25.0,57.0,5.0,23.0,12.0,11.0,6.0,56.0,7.0,10.0,1.0,17.0,68.0,4.0,84.0,36.0,31.0
637,6.0,36.0,8.0,5.0,16.0,14.0,23.0,43.0,3.0,1.0,2.0,33.0,38.0,25.0,9.0,37.0,30.0,63.0,0.0,97.0,18.0,15.0,21.0,65.0,32.0,35.0,64.0,7.0,149.0,13.0
686,2.0,15.0,0.0,22.0,1.0,4.0,117.0,12.0,13.0,87.0,6.0,89.0,41.0,8.0,23.0,31.0,16.0,26.0,5.0,68.0,63.0,95.0,19.0,101.0,35.0,104.0,14.0,54.0,21.0,25.0
735,6.0,4.0,1.0,7.0,2.0,8.0,122.0,90.0,47.0,3.0,15.0,10.0,13.0,18.0,54.0,61.0,21.0,0.0,11.0,5.0,109.0,9.0,40.0,72.0,17.0,22.0,127.0,20.0,12.0,52.0
784,3.0,16.0,0.0,13.0,51.0,7.0,11.0,20.0,15.0,38.0,1.0,21.0,5.0,9.0,2.0,93.0,14.0,6.0,24.0,47.0,12.0,33.0,30.0,8.0,34.0,31.0,29.0,4.0,56.0,154.0
833,0.0,19.0,11.0,1.0,5.0,8.0,4.0,36.0,12.0,3.0,2.0,41.0,27.0,23.0,66.0,90.0,52.0,13.0,17.0,24.0,62.0,34.0,15.0,35.0,81.0,91.0,7.0,26.0,29.0,9.0
882,38.0,14.0,26.0,27.0,68.0,24.0,17.0,2.0,23.0,6.0,4.0,16.0,30.0,86.0,11.0,5.0,29.0,8.0,79.0,130.0,60.0,18.0,1.0,62.0,49.0,15.0,21.0,10.0,37.0,33.0
931,65.0,82.0,69.0,11.0,1.0,19.0,33.0,45.0,3.0,4.0,2.0,18.0,20.0,17.0,25.0,12.0,8.0,101.0,68.0,88.0,34.0,32.0,63.0,67.0,16.0,35.0,5.0,36.0,44.0,57.0
980,10.0,1.0,5.0,2.0,9.0,23.0,49.0,3.0,33.0,19.0,11.0,35.0,13.0,0.0,15.0,6.0,14.0,39.0,66.0,110.0,31.0,131.0,25.0,22.0,17.0,47.0,93.0,37.0,67.0,41.0
1029,2.0,71.0,30.0,19.0,4.0,25.0,143.0,10.0,0.0,9.0,26.0,27.0,14.0,16.0,33.0,3.0,113.0,12.0,122.0,21.0,147.0,59.0,17.0,5.0,32.0,115.0,23.0,41.0,22.0,13.0
1078,4.0,20.0,2.0,16.0,1.0,34.0,12.0,38.0,94.0,46.0,5.0,66.0,14.0,6.0,29.0,13.0,26.0,0.0,121.0,22.0,8.0,98.0,61.0,19.0,33.0,159.0,24.0,18.0,67.0,42.0
1127,3.0,8.0,2.0,1.0,0.0,13.0,162.0,72.0,21.0,34.0,22.0,19.0,70.0,7.0,45.0,4.0,123.0,12.0,49.0,62.0,23.0,15.0,56.0,9.0,16.0,51.0,5.0,77.0,14.0,28.0
