,pyroglutamic acid,C36:4 PC-B,1-methylnicotinamide,creatine,3-phosphoglycerate,carnitine,SDMA/ADMA,hippurate,inositol,C56:3 TAG,uridine,C34:2 DAG,niacinamide,malondialdehyde,cytidine,C16:0 LPE,PEP,cotinine,C18:0 LPC,leucine,inosine,GABA,palmitoylcarnitine,dCMP,NADP,C34:4 PC,isocitrate,alpha-glycerophosphate,taurodeoxycholate,oxalate
1099,2.0,6.0,0.0,4.0,14.0,3.0,8.0,1.0,21.0,9.0,18.0,7.0,13.0,64.0,41.0,32.0,34.0,22.0,47.0,29.0,51.0,11.0,17.0,42.0,10.0,15.0,58.0,39.0,20.0,12.0
1148,1.0,3.0,4.0,6.0,11.0,5.0,9.0,7.0,36.0,2.0,0.0,14.0,35.0,24.0,10.0,16.0,25.0,8.0,12.0,26.0,18.0,29.0,27.0,15.0,33.0,65.0,28.0,51.0,13.0,42.0
1197,5.0,2.0,28.0,15.0,11.0,3.0,9.0,1.0,19.0,8.0,0.0,10.0,7.0,34.0,22.0,57.0,16.0,30.0,47.0,46.0,23.0,13.0,6.0,33.0,36.0,43.0,40.0,25.0,4.0,44.0
1246,3.0,1.0,2.0,10.0,17.0,23.0,0.0,13.0,20.0,4.0,5.0,8.0,6.0,26.0,64.0,33.0,9.0,7.0,35.0,19.0,21.0,16.0,41.0,28.0,45.0,15.0,12.0,40.0,52.0,48.0
1295,0.0,1.0,18.0,2.0,4.0,25.0,3.0,7.0,12.0,28.0,11.0,24.0,8.0,13.0,23.0,14.0,54.0,44.0,26.0,15.0,36.0,21.0,9.0,16.0,43.0,30.0,6.0,27.0,49.0,10.0
1344,1.0,17.0,10.0,8.0,34.0,4.0,5.0,38.0,7.0,2.0,0.0,14.0,13.0,45.0,25.0,9.0,12.0,18.0,21.0,58.0,60.0,43.0,11.0,3.0,23.0,57.0,53.0,63.0,27.0,66.0
1393,0.0,1.0,6.0,2.0,30.0,3.0,35.0,22.0,43.0,7.0,5.0,4.0,8.0,39.0,16.0,45.0,59.0,24.0,15.0,17.0,25.0,28.0,11.0,9.0,14.0,12.0,34.0,44.0,26.0,63.0
1442,0.0,4.0,22.0,3.0,17.0,7.0,15.0,19.0,37.0,1.0,10.0,5.0,45.0,42.0,39.0,27.0,60.0,25.0,13.0,33.0,41.0,9.0,21.0,2.0,29.0,8.0,36.0,18.0,56.0,44.0
1491,0.0,16.0,8.0,21.0,6.0,3.0,7.0,9.0,18.0,1.0,20.0,10.0,47.0,35.0,12.0,39.0,19.0,2.0,43.0,40.0,32.0,14.0,56.0,17.0,4.0,26.0,24.0,5.0,61.0,36.0
1540,0.0,23.0,31.0,26.0,14.0,9.0,22.0,4.0,28.0,1.0,34.0,24.0,16.0,44.0,11.0,61.0,30.0,5.0,62.0,50.0,46.0,7.0,35.0,12.0,2.0,25.0,20.0,51.0,13.0,8.0
1589,0.0,39.0,14.0,20.0,27.0,8.0,9.0,7.0,16.0,3.0,48.0,10.0,29.0,35.0,4.0,26.0,22.0,6.0,21.0,56.0,23.0,11.0,30.0,38.0,1.0,13.0,47.0,2.0,46.0,25.0
1638,1.0,33.0,13.0,24.0,10.0,25.0,17.0,2.0,12.0,0.0,21.0,46.0,3.0,45.0,6.0,28.0,22.0,8.0,39.0,49.0,11.0,57.0,19.0,16.0,4.0,14.0,9.0,15.0,35.0,7.0
1687,0.0,14.0,12.0,8.0,37.0,3.0,2.0,7.0,16.0,1.0,11.0,4.0,9.0,15.0,48.0,22.0,10.0,6.0,45.0,47.0,19.0,23.0,33.0,13.0,58.0,25.0,31.0,35.0,55.0,5.0
1736,0.0,16.0,9.0,5.0,2.0,6.0,25.0,7.0,1.0,4.0,30.0,14.0,48.0,34.0,11.0,44.0,47.0,12.0,21.0,46.0,26.0,17.0,43.0,3.0,8.0,55.0,23.0,20.0,42.0,15.0
1785,3.0,48.0,38.0,1.0,4.0,0.0,5.0,27.0,2.0,32.0,12.0,43.0,22.0,15.0,42.0,21.0,19.0,9.0,20.0,56.0,64.0,14.0,50.0,17.0,33.0,59.0,61.0,7.0,31.0,10.0
1834,0.0,48.0,5.0,1.0,14.0,18.0,15.0,4.0,19.0,38.0,20.0,9.0,6.0,34.0,25.0,26.0,12.0,2.0,32.0,45.0,21.0,16.0,55.0,30.0,8.0,41.0,50.0,10.0,24.0,7.0
1883,0.0,53.0,8.0,1.0,6.0,24.0,31.0,2.0,5.0,10.0,32.0,18.0,47.0,30.0,38.0,14.0,23.0,22.0,12.0,16.0,55.0,3.0,28.0,7.0,20.0,41.0,36.0,13.0,11.0,27.0
1932,1.0,41.0,31.0,57.0,10.0,15.0,53.0,16.0,20.0,7.0,26.0,30.0,24.0,25.0,11.0,6.0,22.0,9.0,38.0,13.0,19.0,2.0,35.0,12.0,0.0,28.0,32.0,27.0,37.0,4.0
1981,1.0,2.0,0.0,27.0,4.0,11.0,8.0,14.0,6.0,42.0,3.0,22.0,5.0,41.0,10.0,9.0,34.0,25.0,28.0,35.0,26.0,7.0,32.0,19.0,30.0,12.0,15.0,33.0,16.0,48.0
2030,3.0,2.0,0.0,6.0,11.0,19.0,21.0,22.0,5.0,28.0,4.0,25.0,10.0,13.0,7.0,9.0,8.0,17.0,27.0,55.0,12.0,15.0,14.0,23.0,39.0,34.0,18.0,43.0,31.0,29.0
2079,3.0,5.0,7.0,1.0,20.0,14.0,22.0,6.0,4.0,9.0,0.0,16.0,13.0,11.0,24.0,2.0,8.0,23.0,52.0,10.0,21.0,30.0,12.0,18.0,39.0,25.0,31.0,38.0,37.0,49.0
2128,0.0,8.0,20.0,16.0,10.0,21.0,11.0,3.0,4.0,18.0,5.0,24.0,30.0,15.0,19.0,6.0,9.0,13.0,36.0,1.0,28.0,42.0,22.0,38.0,29.0,2.0,61.0,39.0,7.0,60.0
2177,2.0,7.0,0.0,20.0,3.0,13.0,24.0,14.0,1.0,39.0,22.0,6.0,5.0,18.0,29.0,11.0,35.0,8.0,37.0,9.0,4.0,44.0,17.0,33.0,32.0,34.0,41.0,26.0,27.0,54.0
2226,5.0,9.0,16.0,32.0,10.0,12.0,23.0,14.0,3.0,15.0,2.0,21.0,4.0,6.0,25.0,0.0,1.0,13.0,54.0,8.0,7.0,39.0,29.0,24.0,46.0,20.0,17.0,38.0,11.0,42.0
2275,5.0,22.0,0.0,12.0,16.0,39.0,65.0,3.0,2.0,7.0,31.0,26.0,30.0,8.0,6.0,32.0,13.0,4.0,52.0,1.0,9.0,36.0,18.0,15.0,23.0,10.0,20.0,63.0,19.0,42.0
2324,0.0,38.0,6.0,25.0,4.0,9.0,24.0,16.0,2.0,44.0,22.0,5.0,37.0,10.0,13.0,7.0,1.0,18.0,15.0,8.0,3.0,21.0,31.0,11.0,27.0,19.0,58.0,41.0,32.0,30.0
2373,5.0,7.0,2.0,13.0,20.0,30.0,26.0,6.0,1.0,27.0,49.0,4.0,34.0,17.0,8.0,18.0,0.0,19.0,11.0,3.0,22.0,9.0,12.0,41.0,15.0,39.0,58.0,10.0,42.0,57.0
2422,6.0,13.0,1.0,20.0,5.0,14.0,42.0,11.0,7.0,16.0,19.0,0.0,26.0,9.0,12.0,38.0,2.0,27.0,25.0,3.0,24.0,28.0,53.0,31.0,18.0,15.0,21.0,54.0,61.0,47.0
2471,0.0,16.0,2.0,30.0,55.0,12.0,9.0,1.0,17.0,5.0,20.0,10.0,34.0,43.0,8.0,53.0,4.0,3.0,7.0,19.0,26.0,32.0,25.0,37.0,15.0,45.0,58.0,22.0,56.0,6.0
2520,0.0,7.0,2.0,13.0,18.0,21.0,6.0,1.0,8.0,9.0,34.0,23.0,15.0,60.0,39.0,32.0,31.0,36.0,17.0,26.0,19.0,35.0,12.0,56.0,4.0,29.0,11.0,28.0,3.0,45.0
2569,0.0,3.0,2.0,5.0,10.0,4.0,18.0,1.0,32.0,11.0,27.0,35.0,39.0,15.0,29.0,50.0,6.0,14.0,7.0,9.0,28.0,52.0,8.0,13.0,26.0,22.0,37.0,38.0,41.0,51.0
2618,0.0,14.0,18.0,19.0,21.0,9.0,10.0,1.0,11.0,7.0,59.0,8.0,56.0,13.0,27.0,12.0,3.0,4.0,16.0,5.0,31.0,40.0,24.0,6.0,2.0,61.0,55.0,63.0,28.0,38.0
2667,1.0,39.0,8.0,11.0,32.0,2.0,4.0,0.0,37.0,10.0,18.0,9.0,14.0,12.0,30.0,15.0,17.0,50.0,3.0,27.0,19.0,54.0,20.0,16.0,31.0,51.0,41.0,21.0,56.0,7.0
2716,0.0,11.0,3.0,7.0,45.0,5.0,44.0,1.0,35.0,4.0,27.0,14.0,10.0,15.0,59.0,13.0,33.0,8.0,12.0,21.0,41.0,47.0,57.0,31.0,19.0,56.0,40.0,48.0,42.0,25.0
2765,0.0,13.0,1.0,3.0,10.0,15.0,28.0,5.0,14.0,7.0,48.0,30.0,27.0,46.0,50.0,35.0,16.0,12.0,25.0,24.0,9.0,8.0,2.0,39.0,6.0,37.0,41.0,11.0,42.0,17.0
2814,2.0,18.0,16.0,1.0,4.0,5.0,20.0,0.0,17.0,3.0,39.0,9.0,53.0,23.0,36.0,12.0,6.0,19.0,34.0,38.0,55.0,25.0,41.0,11.0,22.0,13.0,40.0,24.0,54.0,15.0
2863,1.0,2.0,3.0,0.0,6.0,8.0,17.0,7.0,12.0,14.0,53.0,15.0,26.0,21.0,18.0,16.0,10.0,59.0,22.0,32.0,30.0,31.0,23.0,29.0,44.0,42.0,62.0,19.0,47.0,5.0
2912,0.0,2.0,34.0,3.0,36.0,25.0,50.0,1.0,6.0,33.0,64.0,18.0,8.0,23.0,28.0,47.0,4.0,37.0,17.0,26.0,48.0,21.0,43.0,5.0,38.0,35.0,56.0,19.0,12.0,42.0
2961,0.0,3.0,62.0,21.0,8.0,9.0,51.0,22.0,1.0,10.0,12.0,19.0,4.0,2.0,14.0,43.0,18.0,15.0,7.0,28.0,50.0,23.0,52.0,45.0,39.0,30.0,5.0,6.0,34.0,46.0
3010,0.0,5.0,57.0,39.0,11.0,34.0,4.0,6.0,9.0,2.0,3.0,22.0,27.0,8.0,32.0,40.0,14.0,46.0,10.0,41.0,21.0,19.0,23.0,15.0,33.0,25.0,7.0,1.0,18.0,30.0
3059,0.0,2.0,32.0,48.0,25.0,28.0,10.0,7.0,13.0,66.0,4.0,8.0,12.0,1.0,39.0,41.0,14.0,42.0,5.0,6.0,18.0,19.0,9.0,24.0,3.0,16.0,45.0,29.0,17.0,35.0
3108,0.0,1.0,28.0,53.0,12.0,3.0,25.0,7.0,4.0,45.0,21.0,5.0,37.0,19.0,8.0,6.0,22.0,36.0,15.0,2.0,34.0,33.0,11.0,48.0,29.0,38.0,57.0,50.0,30.0,24.0
3157,0.0,2.0,38.0,21.0,6.0,5.0,12.0,1.0,13.0,25.0,57.0,37.0,22.0,9.0,8.0,34.0,23.0,39.0,11.0,16.0,59.0,17.0,27.0,42.0,7.0,31.0,53.0,3.0,43.0,40.0
3206,0.0,1.0,19.0,25.0,7.0,21.0,2.0,45.0,10.0,12.0,29.0,14.0,16.0,3.0,4.0,35.0,6.0,13.0,17.0,5.0,22.0,23.0,46.0,28.0,36.0,34.0,49.0,20.0,8.0,9.0
3255,0.0,26.0,61.0,54.0,20.0,7.0,1.0,2.0,25.0,45.0,8.0,42.0,4.0,14.0,12.0,15.0,30.0,13.0,34.0,3.0,35.0,49.0,11.0,65.0,53.0,23.0,27.0,6.0,17.0,46.0
3304,0.0,2.0,8.0,38.0,12.0,37.0,14.0,1.0,9.0,45.0,19.0,7.0,31.0,3.0,6.0,22.0,53.0,51.0,11.0,4.0,24.0,29.0,5.0,61.0,18.0,23.0,47.0,13.0,21.0,40.0
3353,0.0,3.0,44.0,41.0,8.0,16.0,10.0,1.0,25.0,17.0,4.0,12.0,38.0,19.0,22.0,52.0,35.0,26.0,28.0,5.0,24.0,14.0,20.0,66.0,6.0,50.0,64.0,2.0,23.0,15.0
3402,0.0,2.0,22.0,19.0,6.0,7.0,3.0,1.0,60.0,33.0,16.0,9.0,18.0,5.0,4.0,38.0,35.0,28.0,34.0,14.0,43.0,44.0,27.0,10.0,25.0,45.0,31.0,8.0,36.0,47.0
3451,1.0,0.0,19.0,8.0,51.0,55.0,4.0,21.0,11.0,29.0,3.0,5.0,14.0,24.0,20.0,30.0,26.0,6.0,17.0,10.0,2.0,22.0,16.0,44.0,15.0,33.0,39.0,28.0,56.0,32.0
3500,1.0,0.0,7.0,21.0,48.0,52.0,18.0,11.0,10.0,13.0,12.0,37.0,8.0,3.0,29.0,14.0,22.0,2.0,47.0,5.0,19.0,17.0,35.0,33.0,28.0,20.0,30.0,23.0,26.0,15.0
3549,1.0,0.0,21.0,43.0,50.0,27.0,6.0,3.0,32.0,45.0,2.0,10.0,8.0,29.0,57.0,40.0,13.0,5.0,54.0,15.0,19.0,22.0,17.0,11.0,53.0,12.0,34.0,44.0,24.0,25.0
3598,0.0,1.0,4.0,40.0,7.0,26.0,10.0,5.0,29.0,11.0,9.0,15.0,6.0,13.0,34.0,23.0,20.0,8.0,43.0,16.0,21.0,47.0,2.0,3.0,25.0,27.0,17.0,35.0,36.0,12.0
3647,0.0,1.0,2.0,21.0,17.0,39.0,19.0,30.0,10.0,12.0,5.0,26.0,3.0,15.0,60.0,20.0,49.0,22.0,43.0,8.0,7.0,66.0,34.0,16.0,6.0,38.0,40.0,47.0,33.0,24.0
3696,0.0,9.0,13.0,7.0,60.0,43.0,37.0,15.0,42.0,53.0,1.0,44.0,39.0,2.0,27.0,11.0,8.0,17.0,23.0,3.0,22.0,19.0,6.0,32.0,20.0,47.0,12.0,24.0,18.0,40.0
3745,7.0,1.0,3.0,2.0,38.0,12.0,55.0,27.0,23.0,8.0,13.0,22.0,15.0,16.0,62.0,6.0,4.0,19.0,33.0,5.0,24.0,37.0,9.0,34.0,17.0,25.0,28.0,42.0,31.0,20.0
3794,0.0,1.0,30.0,9.0,40.0,13.0,21.0,35.0,27.0,14.0,5.0,6.0,4.0,2.0,52.0,45.0,47.0,12.0,19.0,3.0,8.0,43.0,24.0,38.0,34.0,7.0,11.0,60.0,25.0,20.0
3843,1.0,7.0,41.0,4.0,29.0,11.0,6.0,16.0,8.0,19.0,0.0,59.0,3.0,2.0,42.0,10.0,60.0,20.0,35.0,5.0,9.0,17.0,44.0,13.0,25.0,14.0,28.0,58.0,12.0,39.0
3892,0.0,1.0,4.0,5.0,28.0,12.0,39.0,31.0,18.0,15.0,2.0,33.0,41.0,29.0,34.0,3.0,13.0,44.0,49.0,24.0,8.0,42.0,9.0,6.0,26.0,11.0,14.0,45.0,40.0,51.0
3941,1.0,0.0,11.0,2.0,49.0,4.0,6.0,42.0,3.0,8.0,18.0,15.0,9.0,7.0,14.0,17.0,21.0,37.0,19.0,43.0,39.0,20.0,31.0,10.0,27.0,41.0,12.0,55.0,47.0,26.0
3990,3.0,1.0,8.0,0.0,9.0,12.0,25.0,6.0,2.0,4.0,17.0,7.0,23.0,16.0,5.0,46.0,13.0,10.0,26.0,19.0,14.0,35.0,32.0,15.0,18.0,49.0,20.0,22.0,27.0,38.0
4039,2.0,0.0,8.0,4.0,6.0,12.0,14.0,27.0,24.0,36.0,45.0,5.0,42.0,7.0,1.0,38.0,23.0,28.0,11.0,48.0,20.0,16.0,3.0,9.0,21.0,22.0,40.0,30.0,10.0,44.0
4088,2.0,0.0,13.0,1.0,17.0,5.0,3.0,9.0,4.0,26.0,11.0,35.0,19.0,18.0,6.0,10.0,38.0,7.0,16.0,12.0,47.0,37.0,8.0,28.0,42.0,25.0,15.0,39.0,20.0,52.0
4137,0.0,2.0,8.0,4.0,9.0,5.0,1.0,3.0,44.0,33.0,42.0,11.0,40.0,10.0,19.0,16.0,20.0,23.0,21.0,7.0,18.0,12.0,32.0,17.0,34.0,6.0,15.0,38.0,30.0,59.0
4186,5.0,0.0,4.0,1.0,28.0,7.0,2.0,6.0,3.0,61.0,54.0,24.0,10.0,8.0,14.0,20.0,21.0,15.0,30.0,27.0,11.0,22.0,32.0,16.0,50.0,19.0,9.0,25.0,23.0,17.0
4235,2.0,4.0,32.0,0.0,6.0,31.0,15.0,1.0,9.0,45.0,50.0,16.0,13.0,5.0,3.0,28.0,19.0,29.0,17.0,20.0,21.0,8.0,27.0,35.0,46.0,23.0,7.0,10.0,43.0,14.0
4284,2.0,0.0,30.0,1.0,7.0,8.0,13.0,11.0,4.0,27.0,24.0,9.0,15.0,21.0,3.0,16.0,36.0,45.0,54.0,17.0,6.0,18.0,32.0,10.0,57.0,20.0,35.0,46.0,29.0,53.0
4333,0.0,2.0,18.0,1.0,4.0,17.0,24.0,6.0,5.0,8.0,58.0,16.0,3.0,12.0,7.0,20.0,14.0,22.0,11.0,10.0,38.0,32.0,23.0,26.0,36.0,35.0,9.0,21.0,33.0,45.0
4382,15.0,16.0,7.0,1.0,0.0,6.0,29.0,12.0,4.0,10.0,54.0,5.0,8.0,17.0,13.0,9.0,3.0,20.0,47.0,22.0,19.0,35.0,43.0,14.0,40.0,45.0,23.0,24.0,36.0,30.0
4431,2.0,9.0,1.0,3.0,26.0,5.0,19.0,11.0,0.0,29.0,8.0,23.0,33.0,27.0,40.0,36.0,37.0,43.0,16.0,20.0,12.0,10.0,6.0,22.0,7.0,4.0,46.0,56.0,41.0,42.0
4480,0.0,6.0,2.0,1.0,10.0,15.0,3.0,22.0,33.0,18.0,21.0,5.0,59.0,9.0,23.0,32.0,16.0,34.0,11.0,4.0,50.0,29.0,31.0,19.0,25.0,8.0,12.0,27.0,39.0,30.0
4529,0.0,13.0,7.0,15.0,24.0,31.0,11.0,49.0,1.0,36.0,10.0,6.0,32.0,28.0,8.0,52.0,38.0,20.0,12.0,27.0,25.0,4.0,29.0,39.0,2.0,9.0,14.0,51.0,3.0,16.0
4578,0.0,2.0,14.0,1.0,19.0,15.0,26.0,31.0,6.0,22.0,44.0,30.0,13.0,29.0,34.0,7.0,47.0,9.0,3.0,23.0,24.0,4.0,33.0,46.0,5.0,16.0,17.0,37.0,36.0,32.0
4627,5.0,6.0,1.0,3.0,13.0,10.0,2.0,20.0,29.0,32.0,4.0,26.0,33.0,57.0,28.0,15.0,48.0,8.0,21.0,11.0,23.0,7.0,19.0,40.0,42.0,0.0,12.0,22.0,27.0,46.0
4676,5.0,2.0,0.0,15.0,34.0,9.0,4.0,54.0,21.0,12.0,29.0,27.0,65.0,1.0,3.0,30.0,20.0,55.0,25.0,8.0,13.0,40.0,7.0,18.0,37.0,6.0,33.0,11.0,41.0,31.0
4725,9.0,2.0,0.0,19.0,45.0,34.0,38.0,37.0,31.0,3.0,8.0,5.0,14.0,1.0,12.0,27.0,15.0,7.0,11.0,53.0,6.0,13.0,18.0,30.0,28.0,16.0,22.0,24.0,39.0,65.0
4774,1.0,3.0,0.0,18.0,14.0,2.0,25.0,32.0,45.0,39.0,8.0,12.0,10.0,26.0,11.0,34.0,20.0,24.0,6.0,55.0,17.0,13.0,7.0,31.0,23.0,22.0,5.0,48.0,33.0,57.0
4823,1.0,2.0,0.0,27.0,4.0,5.0,7.0,6.0,31.0,13.0,32.0,11.0,41.0,58.0,18.0,37.0,38.0,25.0,15.0,20.0,42.0,10.0,57.0,30.0,3.0,9.0,8.0,43.0,36.0,22.0
4872,1.0,3.0,0.0,13.0,19.0,5.0,4.0,22.0,33.0,6.0,2.0,31.0,11.0,15.0,17.0,16.0,27.0,28.0,20.0,47.0,46.0,18.0,10.0,34.0,12.0,9.0,25.0,7.0,39.0,29.0
