,GABA,C18:0 LPC,C56:5 TAG,pantothenate,2-deoxyadenosine,UMP,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,C36:4 PC-B,alpha-glycerophosphocholine,glutamine,beta-alanine,niacinamide,valerylcarnitine,adenosine,serotonin,asparagine,C18:0 LPE,cytidine,creatinine,C22:6 LPC,palmitoylcarnitine,C20:4 CE,serine,dCMP,oxalate,sarcosine,inositol,C16:0 LPE,NADP
659,5.0,8.0,4.0,1.0,20.0,2.0,13.0,24.0,0.0,21.0,3.0,6.0,16.0,9.0,15.0,11.0,10.0,34.0,28.0,32.0,7.0,23.0,18.0,37.0,38.0,26.0,30.0,22.0,12.0,40.0
708,0.0,1.0,7.0,12.0,3.0,17.0,6.0,4.0,11.0,38.0,26.0,14.0,23.0,5.0,9.0,2.0,8.0,20.0,19.0,25.0,34.0,41.0,27.0,13.0,33.0,35.0,15.0,24.0,18.0,31.0
757,0.0,17.0,20.0,5.0,2.0,1.0,14.0,10.0,38.0,23.0,3.0,16.0,26.0,21.0,9.0,12.0,7.0,11.0,6.0,22.0,4.0,19.0,13.0,27.0,33.0,24.0,18.0,36.0,34.0,48.0
806,0.0,15.0,46.0,23.0,29.0,7.0,6.0,1.0,5.0,19.0,26.0,9.0,22.0,17.0,12.0,21.0,10.0,8.0,3.0,35.0,13.0,25.0,30.0,14.0,11.0,31.0,4.0,2.0,16.0,28.0
855,7.0,4.0,23.0,1.0,12.0,14.0,0.0,3.0,15.0,24.0,26.0,10.0,8.0,2.0,16.0,40.0,13.0,21.0,5.0,25.0,35.0,17.0,22.0,19.0,32.0,31.0,6.0,11.0,9.0,34.0
904,7.0,4.0,5.0,13.0,19.0,12.0,3.0,2.0,0.0,24.0,17.0,11.0,31.0,23.0,18.0,32.0,25.0,28.0,6.0,36.0,14.0,42.0,9.0,30.0,33.0,15.0,29.0,8.0,22.0,27.0
953,1.0,6.0,3.0,8.0,19.0,4.0,20.0,2.0,10.0,40.0,22.0,14.0,31.0,0.0,26.0,11.0,9.0,27.0,7.0,33.0,32.0,42.0,35.0,24.0,12.0,29.0,5.0,28.0,37.0,23.0
1002,2.0,0.0,4.0,7.0,20.0,1.0,15.0,19.0,17.0,11.0,12.0,3.0,8.0,27.0,5.0,34.0,37.0,6.0,22.0,10.0,21.0,30.0,25.0,47.0,26.0,41.0,24.0,9.0,49.0,33.0
1051,4.0,0.0,14.0,11.0,9.0,1.0,2.0,26.0,3.0,31.0,20.0,6.0,5.0,7.0,10.0,23.0,36.0,24.0,12.0,18.0,13.0,16.0,22.0,21.0,41.0,35.0,27.0,8.0,33.0,34.0
1100,0.0,8.0,3.0,12.0,9.0,1.0,6.0,25.0,2.0,14.0,18.0,16.0,4.0,35.0,15.0,13.0,29.0,10.0,48.0,20.0,7.0,36.0,11.0,41.0,22.0,32.0,30.0,5.0,27.0,24.0
1149,15.0,1.0,10.0,6.0,5.0,4.0,0.0,27.0,13.0,12.0,9.0,3.0,17.0,22.0,25.0,16.0,50.0,32.0,14.0,21.0,7.0,11.0,20.0,26.0,18.0,24.0,31.0,2.0,30.0,33.0
1198,2.0,0.0,11.0,31.0,1.0,13.0,8.0,21.0,3.0,5.0,19.0,4.0,12.0,20.0,6.0,14.0,43.0,24.0,18.0,15.0,38.0,41.0,27.0,36.0,28.0,30.0,35.0,9.0,17.0,37.0
1247,4.0,2.0,17.0,10.0,26.0,1.0,15.0,29.0,22.0,5.0,14.0,16.0,3.0,9.0,18.0,35.0,43.0,11.0,6.0,25.0,13.0,34.0,20.0,24.0,23.0,7.0,37.0,0.0,45.0,21.0
1296,2.0,7.0,4.0,23.0,12.0,0.0,10.0,14.0,1.0,15.0,17.0,19.0,3.0,34.0,29.0,20.0,30.0,8.0,27.0,11.0,13.0,45.0,9.0,39.0,24.0,25.0,26.0,5.0,33.0,41.0
1345,5.0,0.0,20.0,11.0,7.0,3.0,1.0,26.0,10.0,13.0,22.0,16.0,2.0,24.0,8.0,19.0,36.0,21.0,12.0,9.0,23.0,29.0,15.0,31.0,17.0,28.0,35.0,4.0,33.0,34.0
1394,2.0,0.0,3.0,27.0,5.0,15.0,17.0,16.0,11.0,4.0,10.0,1.0,12.0,30.0,9.0,29.0,35.0,14.0,6.0,31.0,19.0,13.0,32.0,25.0,46.0,24.0,28.0,8.0,38.0,26.0
1443,10.0,0.0,3.0,19.0,14.0,1.0,13.0,16.0,7.0,4.0,20.0,22.0,18.0,9.0,24.0,23.0,38.0,17.0,5.0,8.0,26.0,35.0,12.0,53.0,29.0,41.0,25.0,6.0,28.0,37.0
1492,0.0,1.0,8.0,4.0,24.0,13.0,14.0,12.0,9.0,6.0,3.0,2.0,7.0,20.0,5.0,18.0,11.0,16.0,23.0,15.0,28.0,31.0,48.0,10.0,39.0,21.0,36.0,40.0,59.0,25.0
1541,0.0,16.0,2.0,9.0,23.0,10.0,3.0,6.0,8.0,5.0,1.0,19.0,21.0,14.0,25.0,30.0,42.0,13.0,36.0,11.0,12.0,22.0,40.0,17.0,34.0,4.0,26.0,27.0,38.0,7.0
1590,0.0,16.0,7.0,4.0,13.0,1.0,11.0,8.0,10.0,9.0,2.0,30.0,6.0,27.0,3.0,32.0,33.0,5.0,25.0,15.0,24.0,21.0,35.0,23.0,52.0,17.0,46.0,29.0,49.0,14.0
1639,0.0,3.0,10.0,2.0,21.0,8.0,6.0,17.0,22.0,1.0,4.0,15.0,5.0,26.0,7.0,12.0,13.0,18.0,28.0,19.0,31.0,20.0,39.0,9.0,38.0,14.0,35.0,25.0,34.0,11.0
1688,0.0,4.0,5.0,3.0,23.0,1.0,11.0,8.0,13.0,2.0,6.0,10.0,16.0,17.0,7.0,27.0,22.0,12.0,35.0,21.0,25.0,58.0,41.0,20.0,38.0,9.0,37.0,40.0,50.0,32.0
1737,0.0,19.0,2.0,1.0,25.0,9.0,7.0,14.0,3.0,11.0,5.0,8.0,4.0,28.0,17.0,24.0,37.0,6.0,21.0,15.0,23.0,41.0,16.0,20.0,50.0,10.0,45.0,13.0,30.0,34.0
1786,0.0,7.0,5.0,1.0,20.0,3.0,10.0,16.0,6.0,13.0,4.0,12.0,11.0,19.0,2.0,34.0,14.0,17.0,15.0,23.0,22.0,8.0,24.0,25.0,26.0,9.0,33.0,31.0,35.0,29.0
1835,0.0,12.0,3.0,7.0,20.0,5.0,6.0,10.0,8.0,2.0,1.0,17.0,15.0,28.0,4.0,23.0,16.0,9.0,18.0,21.0,14.0,36.0,33.0,19.0,37.0,11.0,51.0,40.0,54.0,13.0
1884,0.0,9.0,2.0,1.0,18.0,15.0,11.0,6.0,13.0,4.0,5.0,10.0,19.0,14.0,3.0,33.0,16.0,8.0,23.0,12.0,21.0,31.0,26.0,34.0,45.0,7.0,17.0,43.0,42.0,24.0
1933,0.0,13.0,1.0,14.0,20.0,11.0,2.0,16.0,10.0,12.0,8.0,48.0,17.0,19.0,5.0,36.0,35.0,4.0,27.0,9.0,40.0,24.0,39.0,6.0,30.0,7.0,47.0,29.0,33.0,28.0
1982,0.0,14.0,33.0,28.0,3.0,1.0,5.0,24.0,4.0,13.0,38.0,8.0,40.0,6.0,19.0,15.0,27.0,29.0,25.0,16.0,51.0,12.0,30.0,7.0,9.0,18.0,17.0,10.0,2.0,52.0
2031,0.0,11.0,13.0,2.0,6.0,1.0,4.0,14.0,24.0,16.0,7.0,8.0,3.0,17.0,37.0,20.0,31.0,10.0,33.0,29.0,22.0,42.0,26.0,9.0,18.0,27.0,21.0,32.0,5.0,56.0
2080,0.0,9.0,10.0,20.0,4.0,2.0,30.0,11.0,5.0,12.0,6.0,19.0,33.0,24.0,15.0,7.0,14.0,8.0,29.0,17.0,26.0,21.0,35.0,31.0,1.0,22.0,28.0,46.0,25.0,36.0
2129,1.0,0.0,5.0,8.0,16.0,2.0,12.0,7.0,6.0,17.0,14.0,26.0,24.0,4.0,23.0,27.0,20.0,46.0,13.0,11.0,35.0,30.0,32.0,28.0,3.0,18.0,9.0,36.0,10.0,33.0
2178,0.0,2.0,10.0,15.0,1.0,6.0,23.0,9.0,14.0,28.0,12.0,5.0,32.0,3.0,8.0,17.0,22.0,29.0,21.0,7.0,43.0,20.0,26.0,11.0,4.0,24.0,31.0,35.0,13.0,59.0
2227,0.0,4.0,1.0,3.0,5.0,8.0,19.0,10.0,2.0,17.0,12.0,6.0,25.0,22.0,20.0,35.0,21.0,23.0,26.0,24.0,50.0,37.0,16.0,28.0,34.0,36.0,18.0,39.0,9.0,61.0
2276,0.0,21.0,2.0,1.0,3.0,5.0,31.0,25.0,11.0,12.0,14.0,18.0,24.0,9.0,49.0,20.0,33.0,6.0,32.0,34.0,60.0,17.0,10.0,4.0,13.0,28.0,23.0,26.0,19.0,46.0
2325,0.0,11.0,2.0,17.0,12.0,1.0,21.0,9.0,13.0,25.0,30.0,4.0,28.0,6.0,19.0,43.0,18.0,20.0,39.0,16.0,48.0,10.0,24.0,8.0,3.0,23.0,22.0,15.0,7.0,58.0
2374,0.0,4.0,7.0,3.0,25.0,5.0,16.0,11.0,10.0,9.0,30.0,1.0,15.0,8.0,2.0,32.0,17.0,14.0,18.0,6.0,36.0,24.0,37.0,23.0,19.0,34.0,22.0,42.0,12.0,58.0
2423,1.0,0.0,16.0,3.0,19.0,9.0,29.0,7.0,4.0,14.0,11.0,2.0,13.0,23.0,12.0,5.0,33.0,10.0,41.0,15.0,46.0,20.0,27.0,25.0,8.0,31.0,24.0,22.0,6.0,62.0
2472,4.0,1.0,6.0,2.0,0.0,17.0,5.0,9.0,16.0,18.0,29.0,20.0,23.0,3.0,22.0,44.0,11.0,12.0,30.0,8.0,33.0,7.0,24.0,15.0,31.0,25.0,34.0,14.0,19.0,57.0
2521,2.0,0.0,3.0,12.0,1.0,14.0,5.0,10.0,7.0,30.0,8.0,24.0,23.0,6.0,13.0,56.0,18.0,15.0,20.0,11.0,40.0,4.0,9.0,37.0,17.0,34.0,25.0,35.0,21.0,52.0
2570,2.0,0.0,12.0,15.0,1.0,5.0,4.0,8.0,13.0,11.0,14.0,22.0,18.0,7.0,9.0,58.0,19.0,6.0,16.0,3.0,52.0,10.0,48.0,29.0,20.0,56.0,24.0,33.0,40.0,45.0
2619,1.0,0.0,4.0,9.0,2.0,12.0,13.0,3.0,20.0,11.0,16.0,24.0,47.0,27.0,5.0,37.0,22.0,7.0,31.0,21.0,26.0,8.0,23.0,10.0,15.0,39.0,32.0,28.0,29.0,46.0
2668,1.0,0.0,13.0,4.0,2.0,22.0,5.0,7.0,18.0,24.0,19.0,10.0,28.0,11.0,3.0,46.0,31.0,12.0,17.0,8.0,39.0,9.0,25.0,6.0,34.0,36.0,37.0,26.0,16.0,41.0
2717,6.0,1.0,2.0,7.0,0.0,16.0,4.0,9.0,12.0,8.0,10.0,18.0,31.0,11.0,22.0,53.0,24.0,5.0,13.0,38.0,25.0,3.0,29.0,17.0,47.0,40.0,21.0,20.0,37.0,41.0
2766,5.0,4.0,11.0,6.0,0.0,13.0,2.0,9.0,7.0,10.0,12.0,26.0,30.0,1.0,23.0,32.0,19.0,28.0,41.0,22.0,34.0,3.0,31.0,29.0,16.0,27.0,20.0,8.0,15.0,45.0
2815,1.0,0.0,12.0,7.0,2.0,4.0,6.0,3.0,37.0,27.0,32.0,34.0,18.0,11.0,5.0,30.0,40.0,10.0,13.0,24.0,28.0,20.0,8.0,9.0,22.0,41.0,35.0,14.0,21.0,42.0
2864,3.0,2.0,1.0,5.0,0.0,15.0,21.0,7.0,19.0,9.0,4.0,14.0,42.0,23.0,22.0,41.0,29.0,6.0,11.0,25.0,12.0,20.0,27.0,18.0,26.0,24.0,28.0,32.0,30.0,17.0
2913,2.0,0.0,5.0,1.0,4.0,7.0,3.0,11.0,9.0,21.0,19.0,13.0,20.0,8.0,6.0,31.0,16.0,25.0,18.0,24.0,40.0,15.0,10.0,48.0,41.0,32.0,26.0,39.0,42.0,58.0
2962,0.0,1.0,9.0,2.0,4.0,10.0,7.0,5.0,13.0,8.0,21.0,28.0,6.0,26.0,18.0,14.0,29.0,19.0,27.0,39.0,20.0,22.0,11.0,30.0,23.0,12.0,3.0,24.0,37.0,17.0
3011,2.0,1.0,15.0,0.0,5.0,18.0,3.0,6.0,11.0,33.0,31.0,28.0,7.0,13.0,24.0,17.0,10.0,38.0,4.0,22.0,25.0,36.0,30.0,23.0,20.0,19.0,8.0,16.0,9.0,29.0
3060,3.0,0.0,11.0,1.0,2.0,12.0,7.0,20.0,35.0,15.0,42.0,8.0,9.0,4.0,33.0,17.0,14.0,31.0,21.0,36.0,29.0,6.0,23.0,22.0,10.0,19.0,5.0,27.0,24.0,18.0
3109,0.0,2.0,15.0,1.0,8.0,16.0,9.0,11.0,13.0,6.0,17.0,19.0,12.0,5.0,46.0,14.0,18.0,31.0,3.0,33.0,21.0,26.0,23.0,24.0,38.0,40.0,4.0,27.0,29.0,28.0
3158,3.0,0.0,4.0,1.0,12.0,33.0,6.0,11.0,14.0,13.0,20.0,10.0,8.0,5.0,34.0,17.0,25.0,38.0,9.0,15.0,36.0,30.0,27.0,31.0,7.0,18.0,2.0,21.0,32.0,24.0
3207,3.0,1.0,11.0,0.0,4.0,13.0,5.0,7.0,30.0,27.0,21.0,9.0,15.0,8.0,6.0,32.0,10.0,12.0,16.0,31.0,19.0,39.0,17.0,23.0,28.0,18.0,2.0,44.0,20.0,35.0
3256,1.0,0.0,3.0,5.0,2.0,38.0,17.0,7.0,11.0,21.0,18.0,23.0,4.0,8.0,15.0,26.0,32.0,27.0,33.0,36.0,40.0,9.0,13.0,12.0,19.0,10.0,6.0,31.0,20.0,24.0
3305,2.0,0.0,14.0,3.0,36.0,10.0,6.0,4.0,8.0,15.0,19.0,11.0,1.0,17.0,29.0,12.0,42.0,38.0,7.0,25.0,44.0,27.0,23.0,34.0,21.0,30.0,5.0,13.0,31.0,18.0
3354,0.0,2.0,8.0,1.0,12.0,33.0,3.0,27.0,24.0,15.0,14.0,20.0,9.0,5.0,13.0,7.0,6.0,45.0,4.0,19.0,36.0,10.0,39.0,28.0,11.0,34.0,16.0,18.0,32.0,25.0
3403,3.0,0.0,11.0,1.0,16.0,28.0,8.0,15.0,19.0,22.0,21.0,2.0,6.0,5.0,34.0,29.0,14.0,31.0,7.0,33.0,26.0,51.0,18.0,46.0,32.0,10.0,4.0,41.0,9.0,12.0
3452,2.0,5.0,0.0,8.0,12.0,3.0,19.0,6.0,7.0,1.0,4.0,13.0,16.0,31.0,24.0,14.0,10.0,22.0,15.0,25.0,9.0,17.0,38.0,39.0,33.0,26.0,49.0,48.0,37.0,11.0
3501,2.0,1.0,5.0,24.0,0.0,10.0,20.0,31.0,3.0,15.0,4.0,28.0,38.0,7.0,29.0,19.0,9.0,32.0,16.0,33.0,14.0,6.0,26.0,27.0,13.0,18.0,48.0,52.0,30.0,36.0
3550,1.0,0.0,5.0,13.0,6.0,9.0,10.0,4.0,23.0,19.0,29.0,2.0,35.0,18.0,22.0,15.0,3.0,46.0,16.0,26.0,7.0,11.0,49.0,24.0,33.0,39.0,36.0,54.0,14.0,21.0
3599,0.0,5.0,21.0,13.0,12.0,15.0,10.0,3.0,6.0,1.0,9.0,25.0,16.0,26.0,17.0,14.0,8.0,42.0,28.0,36.0,7.0,2.0,35.0,27.0,4.0,32.0,11.0,57.0,38.0,18.0
3648,4.0,2.0,6.0,8.0,0.0,5.0,10.0,14.0,18.0,27.0,16.0,22.0,25.0,12.0,7.0,35.0,1.0,46.0,33.0,19.0,9.0,3.0,15.0,20.0,36.0,41.0,28.0,55.0,31.0,29.0
3697,1.0,0.0,2.0,17.0,4.0,6.0,18.0,7.0,9.0,14.0,20.0,19.0,24.0,25.0,16.0,11.0,5.0,55.0,26.0,39.0,3.0,8.0,10.0,28.0,22.0,31.0,40.0,27.0,29.0,15.0
3746,1.0,0.0,5.0,22.0,7.0,3.0,19.0,14.0,6.0,4.0,21.0,9.0,31.0,24.0,12.0,26.0,11.0,25.0,8.0,37.0,17.0,2.0,20.0,15.0,36.0,33.0,29.0,51.0,30.0,16.0
3795,0.0,7.0,3.0,17.0,5.0,1.0,11.0,12.0,25.0,15.0,6.0,27.0,36.0,24.0,35.0,10.0,13.0,43.0,26.0,31.0,8.0,4.0,20.0,30.0,19.0,32.0,37.0,46.0,22.0,14.0
3844,0.0,1.0,4.0,10.0,6.0,3.0,20.0,11.0,8.0,9.0,17.0,27.0,18.0,28.0,26.0,29.0,16.0,38.0,5.0,31.0,7.0,2.0,13.0,24.0,15.0,36.0,39.0,56.0,33.0,21.0
3893,4.0,2.0,0.0,1.0,5.0,15.0,23.0,12.0,17.0,7.0,6.0,13.0,18.0,37.0,21.0,14.0,3.0,29.0,11.0,36.0,10.0,22.0,31.0,38.0,41.0,25.0,26.0,54.0,24.0,8.0
3942,0.0,5.0,2.0,1.0,9.0,8.0,11.0,19.0,18.0,23.0,24.0,21.0,12.0,17.0,32.0,36.0,28.0,14.0,10.0,22.0,4.0,37.0,3.0,20.0,13.0,6.0,33.0,15.0,25.0,40.0
3991,0.0,4.0,1.0,19.0,3.0,8.0,6.0,2.0,22.0,9.0,17.0,31.0,39.0,21.0,7.0,27.0,20.0,11.0,18.0,25.0,12.0,32.0,14.0,15.0,23.0,13.0,29.0,40.0,5.0,24.0
4040,0.0,4.0,1.0,5.0,20.0,18.0,6.0,10.0,37.0,9.0,21.0,13.0,23.0,17.0,38.0,25.0,29.0,3.0,8.0,31.0,12.0,39.0,11.0,22.0,46.0,15.0,16.0,26.0,14.0,7.0
4089,0.0,2.0,1.0,6.0,3.0,31.0,5.0,35.0,41.0,13.0,10.0,12.0,25.0,14.0,30.0,11.0,21.0,26.0,15.0,20.0,9.0,32.0,18.0,23.0,8.0,4.0,17.0,27.0,24.0,19.0
4138,0.0,13.0,2.0,1.0,5.0,16.0,4.0,8.0,27.0,25.0,33.0,14.0,19.0,15.0,51.0,7.0,6.0,18.0,28.0,12.0,17.0,31.0,9.0,29.0,22.0,3.0,42.0,34.0,23.0,53.0
4187,0.0,4.0,9.0,7.0,1.0,17.0,5.0,3.0,35.0,13.0,15.0,18.0,16.0,23.0,25.0,12.0,27.0,39.0,11.0,21.0,26.0,22.0,14.0,24.0,2.0,8.0,28.0,36.0,6.0,41.0
4236,0.0,5.0,1.0,3.0,15.0,37.0,4.0,18.0,16.0,6.0,26.0,21.0,8.0,14.0,7.0,12.0,29.0,20.0,25.0,23.0,22.0,34.0,17.0,9.0,36.0,2.0,13.0,11.0,27.0,40.0
4285,0.0,10.0,2.0,1.0,4.0,11.0,5.0,8.0,33.0,21.0,13.0,16.0,28.0,12.0,20.0,17.0,14.0,18.0,6.0,19.0,7.0,35.0,22.0,32.0,37.0,3.0,9.0,39.0,27.0,26.0
4334,0.0,1.0,7.0,8.0,3.0,11.0,5.0,2.0,13.0,34.0,25.0,45.0,19.0,31.0,10.0,20.0,12.0,16.0,30.0,21.0,26.0,15.0,27.0,24.0,22.0,18.0,4.0,28.0,32.0,6.0
4383,0.0,2.0,1.0,4.0,9.0,11.0,8.0,12.0,20.0,6.0,18.0,33.0,3.0,17.0,25.0,5.0,13.0,36.0,19.0,15.0,21.0,10.0,43.0,7.0,32.0,39.0,23.0,22.0,34.0,26.0
4432,0.0,22.0,2.0,5.0,8.0,7.0,10.0,23.0,37.0,1.0,3.0,12.0,18.0,41.0,26.0,13.0,27.0,4.0,31.0,33.0,15.0,42.0,44.0,11.0,24.0,34.0,43.0,39.0,28.0,32.0
4481,1.0,11.0,5.0,8.0,13.0,0.0,9.0,41.0,29.0,6.0,3.0,24.0,10.0,34.0,27.0,12.0,19.0,4.0,20.0,18.0,7.0,55.0,23.0,33.0,35.0,21.0,32.0,17.0,26.0,14.0
4530,0.0,8.0,3.0,11.0,6.0,1.0,4.0,29.0,21.0,2.0,7.0,10.0,17.0,35.0,19.0,9.0,20.0,15.0,24.0,31.0,26.0,55.0,14.0,38.0,27.0,36.0,22.0,30.0,46.0,5.0
4579,0.0,24.0,5.0,4.0,28.0,1.0,10.0,15.0,16.0,2.0,6.0,8.0,3.0,35.0,26.0,18.0,21.0,7.0,25.0,30.0,11.0,54.0,20.0,33.0,23.0,19.0,39.0,14.0,31.0,45.0
4628,0.0,6.0,3.0,1.0,27.0,8.0,9.0,25.0,22.0,7.0,5.0,10.0,13.0,16.0,29.0,23.0,33.0,31.0,20.0,35.0,2.0,38.0,18.0,32.0,19.0,24.0,37.0,15.0,36.0,21.0
4677,0.0,14.0,4.0,2.0,10.0,1.0,3.0,6.0,43.0,9.0,17.0,32.0,5.0,45.0,48.0,12.0,38.0,13.0,22.0,55.0,11.0,21.0,8.0,31.0,42.0,27.0,19.0,18.0,24.0,16.0
4726,0.0,8.0,5.0,4.0,3.0,1.0,14.0,29.0,21.0,13.0,2.0,25.0,16.0,20.0,44.0,11.0,10.0,9.0,48.0,36.0,27.0,37.0,18.0,23.0,12.0,28.0,30.0,32.0,39.0,15.0
4775,0.0,23.0,6.0,5.0,25.0,2.0,3.0,10.0,18.0,7.0,4.0,17.0,8.0,27.0,22.0,11.0,15.0,1.0,50.0,26.0,16.0,58.0,30.0,36.0,31.0,29.0,42.0,34.0,48.0,28.0
4824,1.0,18.0,6.0,3.0,13.0,0.0,38.0,32.0,11.0,17.0,2.0,21.0,10.0,45.0,49.0,14.0,7.0,5.0,23.0,46.0,12.0,50.0,15.0,20.0,39.0,16.0,29.0,8.0,35.0,33.0
4873,0.0,12.0,5.0,4.0,16.0,2.0,1.0,15.0,37.0,22.0,6.0,8.0,11.0,18.0,50.0,9.0,17.0,21.0,28.0,41.0,7.0,51.0,24.0,10.0,34.0,35.0,25.0,13.0,47.0,40.0
