,NGEF,MAGEA1,GPX3,TNNI3K,LINC00942,ACKR3,BTBD11,MYEF2,RP11-157G21.2,SLC12A7,VAMP5,FAM21B,PTEN,ITGA9,TAF7,HTATSF1P2,GREM1,PDLIM4,RP4-605O3.4,SLC2A12,PDE9A,MBOAT1,MGC10955,GPR158,SPAST,IGF1R,C3orf18,G0S2,RP11-554J4.1,TMEM246
1919,0.0,1.0,8.0,30.0,21.0,4.0,507.0,45.0,78.0,42.0,12.0,19.0,41.0,10.0,119.0,74.0,942.0,25.0,203.0,478.0,60.0,61.0,86.0,88.0,70.0,39.0,133.0,3266.0,27.0,524.0
1968,4.0,55.0,9.0,3.0,109.0,2.0,25.0,7.0,8.0,29.0,1.0,0.0,62.0,24.0,20.0,16.0,15.0,228.0,44.0,155.0,41.0,101.0,439.0,472.0,273.0,45.0,95.0,46.0,19.0,912.0
2017,3.0,94.0,1.0,8.0,105.0,6.0,19.0,4.0,26.0,12.0,2.0,0.0,79.0,31.0,20.0,25.0,54.0,2063.0,28.0,210.0,155.0,62.0,36.0,463.0,70.0,114.0,684.0,58.0,55.0,1025.0
2066,1.0,5.0,65.0,26.0,129.0,131.0,4.0,2.0,3.0,187.0,14.0,0.0,70.0,96.0,12.0,62.0,90.0,60.0,25.0,16.0,163.0,41.0,160.0,731.0,213.0,39.0,120.0,17.0,86.0,24.0
2115,1.0,79.0,22.0,103.0,91.0,88.0,4.0,5.0,33.0,11.0,10.0,0.0,18.0,28.0,2.0,488.0,39.0,574.0,38.0,13.0,95.0,16.0,14.0,56.0,184.0,199.0,105.0,63.0,106.0,214.0
2164,0.0,12.0,10.0,6.0,74.0,18.0,5.0,2.0,1.0,14.0,39.0,3.0,72.0,19.0,21.0,11.0,85.0,94.0,42.0,135.0,79.0,28.0,44.0,102.0,251.0,43.0,650.0,13.0,520.0,92.0
2213,2.0,63.0,15.0,28.0,49.0,3.0,16.0,0.0,4.0,41.0,9.0,1.0,86.0,10.0,5.0,59.0,55.0,1266.0,13.0,90.0,291.0,76.0,200.0,353.0,33.0,77.0,473.0,85.0,12.0,341.0
2262,4.0,18.0,28.0,2.0,118.0,45.0,14.0,12.0,15.0,59.0,16.0,8.0,17.0,50.0,5.0,512.0,797.0,0.0,11.0,7.0,71.0,136.0,43.0,90.0,291.0,27.0,74.0,473.0,76.0,629.0
2311,69.0,262.0,7.0,1.0,118.0,17.0,12.0,13.0,6.0,59.0,11.0,0.0,70.0,121.0,71.0,188.0,5.0,7963.0,3.0,157.0,4.0,44.0,218.0,79.0,348.0,31.0,993.0,426.0,16.0,28.0
2360,8.0,20.0,18.0,11.0,246.0,92.0,5.0,10.0,0.0,95.0,6.0,1.0,176.0,32.0,3.0,241.0,27.0,2619.0,65.0,13.0,188.0,55.0,41.0,15.0,198.0,35.0,218.0,115.0,87.0,90.0
2409,8.0,0.0,22.0,46.0,103.0,6.0,564.0,1.0,14.0,162.0,21.0,2.0,214.0,326.0,4.0,426.0,364.0,336.0,9.0,166.0,110.0,72.0,16.0,370.0,453.0,12.0,137.0,692.0,108.0,265.0
2458,2.0,9.0,5.0,8.0,1.0,0.0,6.0,16.0,11.0,10.0,22.0,91.0,39.0,33.0,177.0,3.0,45.0,7.0,201.0,30.0,18.0,65.0,31.0,96.0,78.0,313.0,32.0,19.0,1561.0,4.0
2507,7.0,104.0,28.0,60.0,1.0,0.0,10.0,48.0,19.0,4.0,44.0,14.0,31.0,133.0,102.0,15.0,11.0,25.0,226.0,29.0,40.0,75.0,135.0,216.0,59.0,347.0,30.0,55.0,146.0,3.0
2556,11.0,4.0,21.0,7.0,0.0,8.0,15.0,40.0,1.0,12.0,9.0,59.0,127.0,32.0,93.0,10.0,784.0,2.0,51.0,85.0,39.0,161.0,110.0,597.0,133.0,203.0,3.0,43.0,147.0,17.0
2605,1.0,28.0,55.0,13.0,0.0,6.0,30.0,5.0,8.0,272.0,38.0,242.0,51.0,121.0,57.0,2.0,98.0,66.0,68.0,16.0,101.0,11.0,4.0,589.0,21.0,799.0,14.0,20.0,318.0,9.0
2654,18.0,2.0,8.0,21.0,6.0,0.0,19.0,184.0,9.0,17.0,52.0,32.0,73.0,50.0,646.0,53.0,79.0,107.0,23.0,49.0,1.0,65.0,252.0,51.0,45.0,84.0,11.0,621.0,146.0,3.0
2703,1.0,16.0,4.0,5.0,0.0,25.0,46.0,45.0,11.0,14.0,99.0,211.0,40.0,78.0,194.0,3.0,27.0,184.0,237.0,52.0,337.0,65.0,20.0,41.0,24.0,824.0,215.0,93.0,162.0,2.0
2752,64.0,126.0,1.0,7.0,17.0,30.0,6.0,207.0,157.0,114.0,1188.0,3.0,59.0,103.0,98.0,268.0,408.0,60.0,39.0,13.0,12.0,58.0,53.0,34.0,8.0,256.0,19.0,18.0,153.0,40.0
2801,7.0,89.0,11.0,18.0,1.0,3.0,4.0,17.0,2.0,29.0,36.0,42.0,20.0,71.0,126.0,40.0,149.0,6.0,177.0,43.0,28.0,35.0,21.0,14.0,47.0,231.0,53.0,30.0,125.0,0.0
2850,142.0,20.0,4.0,23.0,0.0,1.0,173.0,63.0,2.0,327.0,114.0,19.0,125.0,84.0,47.0,6.0,13.0,5.0,65.0,85.0,119.0,77.0,21.0,68.0,16.0,488.0,10.0,50.0,140.0,66.0
2899,9.0,200.0,2.0,13.0,0.0,6.0,1.0,17.0,8.0,185.0,39.0,29.0,14.0,37.0,594.0,38.0,41.0,45.0,46.0,51.0,31.0,203.0,446.0,197.0,116.0,382.0,3.0,196.0,208.0,5.0
2948,0.0,1.0,9.0,3.0,2.0,11.0,79.0,31.0,346.0,87.0,12.0,19.0,88.0,36.0,17.0,1572.0,161.0,21.0,43.0,22.0,55.0,60.0,71.0,6.0,72.0,13.0,433.0,109.0,52.0,28.0
2997,0.0,3.0,11.0,17.0,1.0,23.0,9.0,15.0,10.0,126.0,19.0,7.0,40.0,27.0,8.0,76.0,50.0,71.0,51.0,5.0,39.0,88.0,274.0,6.0,57.0,48.0,37.0,107.0,13.0,2.0
3046,0.0,2.0,1.0,3.0,9.0,92.0,6.0,60.0,32.0,23.0,16.0,377.0,43.0,24.0,88.0,39.0,62.0,10.0,78.0,285.0,409.0,87.0,5.0,19.0,131.0,180.0,314.0,281.0,74.0,49.0
3095,0.0,8.0,27.0,121.0,9.0,39.0,5.0,63.0,24.0,49.0,13.0,4.0,3.0,22.0,45.0,1108.0,25.0,41.0,6.0,20.0,40.0,37.0,110.0,15.0,17.0,21.0,44.0,42.0,1.0,11.0
3144,0.0,15.0,3.0,9.0,1.0,4.0,8.0,203.0,41.0,104.0,12.0,32.0,82.0,26.0,53.0,226.0,31.0,516.0,70.0,59.0,25.0,160.0,72.0,6.0,50.0,411.0,1383.0,125.0,49.0,35.0
3193,1.0,7.0,6.0,63.0,4.0,5.0,120.0,315.0,19.0,181.0,60.0,2.0,40.0,16.0,29.0,268.0,234.0,0.0,12.0,41.0,21.0,42.0,238.0,45.0,99.0,10.0,258.0,497.0,22.0,87.0
3242,0.0,1.0,10.0,5.0,21.0,393.0,11.0,54.0,2.0,46.0,15.0,8.0,29.0,24.0,23.0,80.0,51.0,7.0,25.0,3.0,49.0,70.0,525.0,12.0,65.0,45.0,14.0,259.0,4.0,52.0
3291,1.0,0.0,7.0,6.0,5.0,39.0,61.0,57.0,68.0,64.0,83.0,35.0,199.0,21.0,16.0,335.0,36.0,23.0,42.0,53.0,22.0,26.0,151.0,92.0,45.0,62.0,194.0,160.0,9.0,70.0
3340,0.0,5.0,25.0,8.0,2.0,7.0,4.0,54.0,28.0,151.0,15.0,11.0,63.0,14.0,19.0,329.0,120.0,20.0,16.0,9.0,30.0,52.0,225.0,13.0,42.0,41.0,95.0,50.0,17.0,22.0
3389,2.0,3.0,8.0,21.0,10.0,15.0,25.0,300.0,13.0,798.0,55.0,4.0,35.0,250.0,63.0,3462.0,39.0,402.0,34.0,5.0,12.0,115.0,22.0,0.0,60.0,37.0,134.0,113.0,23.0,829.0
3438,223.0,3.0,6.0,4.0,24.0,0.0,158.0,67.0,115.0,20.0,233.0,157.0,165.0,23.0,19.0,85.0,318.0,414.0,15.0,65.0,11.0,112.0,43.0,48.0,36.0,18.0,26.0,93.0,210.0,1096.0
3487,32.0,5.0,4.0,10.0,6.0,0.0,20.0,24.0,22.0,141.0,129.0,14.0,19.0,42.0,57.0,7.0,3.0,17.0,11.0,2.0,30.0,15.0,34.0,26.0,104.0,79.0,43.0,231.0,89.0,552.0
3536,50.0,5.0,6.0,44.0,9.0,14.0,13.0,23.0,110.0,78.0,365.0,104.0,7.0,153.0,52.0,40.0,8.0,2181.0,22.0,1.0,11.0,18.0,12.0,74.0,19.0,93.0,21.0,2.0,410.0,206.0
3585,82.0,9.0,14.0,3.0,98.0,7.0,11.0,95.0,36.0,104.0,85.0,1328.0,6.0,55.0,76.0,13.0,17.0,2991.0,27.0,1.0,0.0,32.0,8.0,67.0,72.0,260.0,49.0,23.0,129.0,16.0
3634,62.0,0.0,20.0,49.0,15.0,7.0,405.0,314.0,219.0,37.0,14.0,1844.0,8.0,22.0,53.0,4.0,30.0,28.0,102.0,12.0,10.0,73.0,11.0,86.0,34.0,68.0,112.0,13.0,206.0,123.0
3683,1.0,0.0,9.0,3.0,4.0,13.0,6.0,37.0,50.0,62.0,92.0,211.0,15.0,154.0,95.0,7.0,65.0,244.0,76.0,8.0,14.0,82.0,77.0,141.0,51.0,100.0,12.0,10.0,140.0,1390.0
3732,2.0,1.0,0.0,15.0,28.0,12.0,32.0,18.0,23.0,94.0,76.0,21.0,17.0,42.0,70.0,8.0,27.0,7.0,14.0,3.0,4.0,5.0,16.0,331.0,57.0,107.0,20.0,43.0,260.0,135.0
3781,56.0,0.0,1.0,11.0,5.0,2.0,47.0,33.0,140.0,82.0,22.0,1259.0,14.0,45.0,20.0,110.0,21.0,3.0,31.0,6.0,10.0,12.0,4.0,61.0,55.0,23.0,15.0,18.0,7.0,102.0
3830,10.0,4.0,0.0,1.0,3.0,2.0,27.0,42.0,30.0,19.0,66.0,1624.0,15.0,78.0,25.0,24.0,91.0,5.0,36.0,9.0,7.0,50.0,21.0,11.0,63.0,77.0,40.0,14.0,105.0,201.0
3879,1.0,27.0,0.0,18.0,8.0,48.0,10.0,89.0,79.0,134.0,44.0,28.0,21.0,12.0,82.0,2.0,5.0,90.0,4.0,76.0,6.0,7.0,68.0,35.0,42.0,66.0,47.0,13.0,138.0,24.0
3928,4.0,3.0,2.0,0.0,18.0,9.0,1.0,27.0,66.0,6.0,118.0,51.0,21.0,61.0,10.0,43.0,32.0,1321.0,37.0,7.0,186.0,67.0,263.0,44.0,59.0,30.0,102.0,117.0,15.0,5.0
3977,0.0,2.0,5.0,1.0,3.0,4.0,27.0,1119.0,12.0,6.0,15.0,29.0,11.0,128.0,17.0,14.0,103.0,13.0,30.0,935.0,175.0,158.0,1037.0,36.0,83.0,32.0,58.0,86.0,34.0,21.0
4026,2.0,0.0,1.0,4.0,23.0,10.0,3.0,9.0,30.0,77.0,20.0,11.0,17.0,1348.0,21.0,54.0,36.0,1985.0,19.0,81.0,205.0,440.0,340.0,151.0,57.0,27.0,296.0,67.0,73.0,8.0
4075,4.0,0.0,1.0,2.0,11.0,18.0,3.0,124.0,5.0,17.0,42.0,26.0,6.0,133.0,43.0,13.0,33.0,1046.0,23.0,100.0,19.0,31.0,517.0,10.0,304.0,22.0,34.0,382.0,20.0,7.0
4124,6.0,2.0,0.0,3.0,4.0,129.0,1.0,13.0,23.0,94.0,70.0,59.0,7.0,85.0,11.0,10.0,26.0,420.0,48.0,40.0,37.0,31.0,72.0,5.0,139.0,46.0,49.0,204.0,12.0,15.0
4173,0.0,8.0,2.0,5.0,11.0,35.0,7.0,22.0,18.0,1.0,14.0,41.0,13.0,245.0,26.0,9.0,6.0,3458.0,121.0,65.0,229.0,58.0,333.0,3.0,40.0,33.0,432.0,31.0,44.0,10.0
4222,15.0,1.0,0.0,7.0,5.0,13.0,2.0,468.0,74.0,4.0,60.0,42.0,71.0,513.0,48.0,6.0,81.0,9868.0,44.0,247.0,11.0,137.0,1379.0,47.0,77.0,59.0,162.0,16.0,12.0,8.0
4271,4.0,1.0,2.0,0.0,5.0,46.0,11.0,65.0,6.0,251.0,9.0,301.0,16.0,90.0,23.0,70.0,10.0,254.0,17.0,40.0,305.0,27.0,465.0,3.0,118.0,71.0,37.0,54.0,25.0,38.0
4320,4.0,0.0,1.0,3.0,8.0,41.0,13.0,12.0,11.0,20.0,115.0,10.0,15.0,130.0,31.0,2.0,17.0,484.0,5.0,69.0,86.0,28.0,982.0,40.0,112.0,30.0,14.0,79.0,48.0,6.0
4369,1.0,0.0,4.0,3.0,5.0,12.0,9.0,43.0,10.0,21.0,67.0,114.0,26.0,107.0,70.0,13.0,39.0,542.0,46.0,20.0,592.0,74.0,329.0,7.0,19.0,18.0,82.0,50.0,24.0,2.0
4418,200.0,0.0,4.0,3.0,172.0,329.0,24.0,5.0,7.0,9.0,714.0,469.0,52.0,162.0,13.0,316.0,28.0,191.0,156.0,45.0,141.0,15.0,2.0,309.0,107.0,250.0,46.0,53.0,341.0,345.0
4467,45.0,1.0,8.0,5.0,148.0,19.0,17.0,103.0,21.0,0.0,66.0,418.0,92.0,10.0,44.0,39.0,18.0,15.0,59.0,130.0,90.0,3.0,6.0,4.0,122.0,35.0,64.0,98.0,146.0,50.0
4516,31.0,47.0,1.0,8.0,134.0,69.0,4.0,6.0,2.0,3.0,37.0,29.0,266.0,14.0,50.0,11.0,20.0,64.0,99.0,526.0,56.0,63.0,17.0,127.0,197.0,176.0,44.0,250.0,577.0,90.0
4565,792.0,10.0,63.0,8.0,500.0,83.0,187.0,6.0,13.0,22.0,359.0,14.0,41.0,53.0,99.0,3.0,5.0,50.0,237.0,52.0,36.0,29.0,0.0,75.0,26.0,40.0,48.0,76.0,248.0,423.0
4614,53.0,6.0,158.0,11.0,910.0,66.0,2.0,3.0,0.0,7.0,79.0,23.0,101.0,18.0,46.0,41.0,97.0,99.0,83.0,42.0,147.0,22.0,31.0,261.0,126.0,26.0,167.0,119.0,160.0,36.0
4663,46.0,28.0,1.0,0.0,80.0,70.0,5.0,10.0,9.0,3.0,74.0,541.0,94.0,13.0,26.0,42.0,21.0,11.0,45.0,126.0,41.0,8.0,2.0,29.0,231.0,111.0,50.0,144.0,392.0,1849.0
4712,53.0,49.0,18.0,7.0,923.0,11.0,5.0,16.0,17.0,6.0,30.0,1448.0,107.0,44.0,45.0,73.0,10.0,9.0,159.0,15.0,203.0,13.0,0.0,231.0,72.0,50.0,4.0,173.0,867.0,2556.0
4761,63.0,3.0,2.0,1.0,161.0,25.0,34.0,115.0,17.0,18.0,246.0,13.0,196.0,23.0,189.0,66.0,10.0,38.0,122.0,87.0,26.0,82.0,0.0,61.0,132.0,162.0,324.0,202.0,340.0,1605.0
4810,89.0,9.0,12.0,3.0,104.0,34.0,5.0,6.0,0.0,7.0,351.0,17.0,135.0,36.0,56.0,2.0,869.0,35.0,57.0,85.0,52.0,75.0,10.0,203.0,376.0,19.0,39.0,176.0,109.0,1809.0
4859,5.0,23.0,29.0,10.0,730.0,419.0,1.0,41.0,6.0,0.0,16.0,290.0,32.0,38.0,116.0,4.0,15.0,477.0,155.0,27.0,328.0,20.0,7.0,54.0,112.0,287.0,226.0,22.0,538.0,244.0
