,Akt_pS473,GATA3,p14 Arf(BetA300-340A),MEK1_pS217_S221,GSK3_pS9,c-Kit,RAD51,SETD2,HER3,PI3K-p110-alpha,PKC-delta_pS664,Smad3,Rab25,IRS1,VEGFR2,GAPDH,eEF2K,TFRC,PTEN,PEA15,Notch1,Akt,ACVRL1,PI3K-p85,PKC-alpha,PDK1,PEA15_pS116,PDK1_pS241,p90RSK_pT573,PDCD4
2554,1.0,4.0,5.0,0.0,11.0,99.0,92.0,77.0,7.0,75.0,2.0,23.0,6.0,36.0,70.0,131.0,26.0,32.0,83.0,22.0,38.0,29.0,120.0,59.0,78.0,42.0,55.0,45.0,57.0,44.0
2603,5.0,4.0,62.0,0.0,147.0,7.0,83.0,73.0,20.0,19.0,67.0,69.0,12.0,2.0,54.0,160.0,153.0,92.0,87.0,52.0,64.0,121.0,32.0,66.0,16.0,46.0,48.0,47.0,23.0,51.0
2652,4.0,3.0,0.0,1.0,25.0,103.0,14.0,10.0,135.0,37.0,21.0,26.0,16.0,35.0,63.0,130.0,158.0,36.0,5.0,2.0,32.0,27.0,126.0,23.0,22.0,50.0,46.0,49.0,44.0,53.0
2701,1.0,5.0,32.0,36.0,131.0,3.0,83.0,15.0,134.0,73.0,34.0,0.0,80.0,30.0,68.0,136.0,29.0,10.0,79.0,13.0,6.0,121.0,126.0,57.0,35.0,40.0,55.0,39.0,18.0,38.0
2750,39.0,0.0,1.0,27.0,131.0,8.0,81.0,69.0,133.0,90.0,87.0,29.0,12.0,2.0,55.0,148.0,154.0,5.0,13.0,20.0,50.0,120.0,4.0,16.0,88.0,44.0,66.0,57.0,21.0,45.0
2799,0.0,2.0,24.0,3.0,20.0,1.0,19.0,90.0,145.0,40.0,14.0,94.0,82.0,18.0,72.0,149.0,157.0,31.0,81.0,16.0,22.0,124.0,39.0,32.0,41.0,44.0,42.0,58.0,43.0,45.0
2848,6.0,3.0,32.0,141.0,26.0,99.0,10.0,88.0,132.0,19.0,13.0,28.0,80.0,5.0,69.0,155.0,163.0,0.0,79.0,55.0,36.0,122.0,127.0,39.0,16.0,48.0,42.0,47.0,54.0,50.0
2897,0.0,2.0,3.0,4.0,20.0,18.0,78.0,66.0,23.0,17.0,90.0,39.0,81.0,25.0,52.0,147.0,154.0,5.0,10.0,63.0,61.0,38.0,37.0,29.0,16.0,46.0,93.0,50.0,48.0,45.0
2946,1.0,130.0,0.0,3.0,10.0,104.0,25.0,12.0,38.0,27.0,77.0,7.0,83.0,9.0,4.0,136.0,160.0,63.0,18.0,49.0,34.0,35.0,33.0,57.0,76.0,41.0,73.0,40.0,50.0,42.0
2995,1.0,0.0,6.0,26.0,2.0,100.0,16.0,4.0,133.0,75.0,3.0,7.0,93.0,145.0,29.0,17.0,24.0,32.0,85.0,44.0,36.0,121.0,120.0,59.0,78.0,42.0,54.0,43.0,47.0,41.0
3044,1.0,6.0,27.0,32.0,10.0,21.0,0.0,11.0,22.0,2.0,19.0,9.0,57.0,31.0,37.0,131.0,5.0,34.0,17.0,40.0,7.0,120.0,119.0,3.0,20.0,43.0,82.0,41.0,45.0,55.0
3093,0.0,10.0,5.0,29.0,4.0,15.0,22.0,17.0,134.0,18.0,21.0,3.0,82.0,35.0,39.0,9.0,1.0,67.0,13.0,43.0,44.0,30.0,28.0,20.0,75.0,42.0,40.0,45.0,16.0,56.0
3142,5.0,12.0,2.0,4.0,9.0,101.0,0.0,3.0,6.0,20.0,25.0,23.0,16.0,26.0,66.0,146.0,1.0,42.0,83.0,18.0,15.0,120.0,43.0,48.0,55.0,59.0,44.0,46.0,53.0,49.0
3191,0.0,24.0,27.0,34.0,2.0,12.0,4.0,8.0,25.0,20.0,7.0,6.0,81.0,3.0,28.0,147.0,1.0,40.0,18.0,19.0,43.0,31.0,118.0,22.0,45.0,57.0,42.0,44.0,56.0,47.0
3240,6.0,5.0,0.0,1.0,134.0,105.0,16.0,11.0,25.0,24.0,20.0,4.0,80.0,36.0,29.0,131.0,2.0,66.0,18.0,43.0,40.0,33.0,31.0,82.0,58.0,45.0,42.0,44.0,53.0,47.0
3289,6.0,11.0,8.0,30.0,27.0,104.0,1.0,85.0,134.0,5.0,23.0,25.0,18.0,7.0,33.0,136.0,0.0,62.0,9.0,16.0,54.0,120.0,36.0,26.0,73.0,44.0,41.0,43.0,12.0,45.0
3338,0.0,21.0,4.0,40.0,7.0,11.0,12.0,91.0,5.0,2.0,24.0,3.0,81.0,39.0,6.0,146.0,20.0,35.0,17.0,55.0,33.0,121.0,25.0,19.0,43.0,46.0,41.0,45.0,50.0,56.0
3387,0.0,5.0,29.0,4.0,8.0,12.0,15.0,10.0,134.0,42.0,3.0,30.0,59.0,6.0,32.0,147.0,163.0,70.0,19.0,45.0,43.0,121.0,120.0,41.0,1.0,14.0,44.0,47.0,11.0,48.0
3436,6.0,5.0,2.0,30.0,11.0,22.0,3.0,91.0,1.0,21.0,42.0,8.0,19.0,38.0,71.0,18.0,35.0,39.0,82.0,49.0,130.0,33.0,0.0,44.0,43.0,51.0,46.0,50.0,16.0,52.0
3485,7.0,12.0,30.0,29.0,145.0,101.0,17.0,90.0,4.0,18.0,59.0,2.0,19.0,140.0,65.0,23.0,9.0,71.0,3.0,58.0,34.0,26.0,40.0,41.0,45.0,51.0,44.0,47.0,56.0,52.0
3534,5.0,1.0,39.0,27.0,133.0,104.0,85.0,9.0,135.0,46.0,2.0,0.0,12.0,4.0,3.0,22.0,35.0,40.0,17.0,18.0,32.0,121.0,25.0,7.0,21.0,57.0,47.0,48.0,56.0,50.0
3583,6.0,4.0,27.0,14.0,26.0,11.0,1.0,28.0,10.0,90.0,17.0,31.0,13.0,23.0,55.0,131.0,3.0,46.0,92.0,20.0,60.0,7.0,38.0,89.0,19.0,78.0,64.0,65.0,21.0,63.0
3632,41.0,2.0,28.0,34.0,17.0,103.0,87.0,80.0,21.0,11.0,62.0,9.0,15.0,7.0,0.0,18.0,163.0,37.0,12.0,43.0,20.0,32.0,119.0,23.0,77.0,46.0,44.0,45.0,49.0,42.0
3681,33.0,14.0,1.0,3.0,144.0,9.0,26.0,5.0,4.0,59.0,63.0,43.0,90.0,2.0,66.0,27.0,25.0,71.0,18.0,45.0,40.0,31.0,120.0,29.0,78.0,60.0,48.0,47.0,6.0,61.0
3730,6.0,14.0,8.0,31.0,11.0,101.0,2.0,3.0,17.0,54.0,93.0,4.0,19.0,38.0,33.0,15.0,7.0,65.0,21.0,20.0,23.0,32.0,121.0,26.0,36.0,42.0,53.0,44.0,9.0,16.0
3779,1.0,5.0,3.0,28.0,6.0,11.0,83.0,13.0,17.0,43.0,46.0,26.0,82.0,39.0,0.0,162.0,2.0,31.0,81.0,59.0,87.0,32.0,35.0,21.0,22.0,48.0,44.0,50.0,57.0,53.0
3828,0.0,1.0,8.0,32.0,145.0,15.0,14.0,20.0,142.0,40.0,58.0,77.0,81.0,3.0,29.0,148.0,154.0,75.0,31.0,11.0,56.0,121.0,7.0,34.0,49.0,41.0,42.0,39.0,46.0,57.0
3877,29.0,5.0,8.0,7.0,19.0,10.0,26.0,6.0,20.0,25.0,2.0,65.0,82.0,22.0,35.0,131.0,157.0,64.0,13.0,4.0,15.0,30.0,32.0,3.0,91.0,17.0,92.0,56.0,46.0,43.0
3926,0.0,12.0,2.0,30.0,8.0,1.0,26.0,76.0,5.0,13.0,25.0,40.0,18.0,37.0,6.0,14.0,160.0,38.0,20.0,28.0,33.0,35.0,120.0,17.0,59.0,7.0,74.0,52.0,50.0,47.0
3975,4.0,17.0,5.0,27.0,131.0,14.0,6.0,66.0,23.0,11.0,8.0,35.0,1.0,0.0,36.0,18.0,158.0,33.0,15.0,91.0,2.0,7.0,127.0,3.0,87.0,78.0,90.0,64.0,43.0,63.0
4024,4.0,0.0,3.0,27.0,2.0,18.0,20.0,74.0,8.0,10.0,58.0,5.0,83.0,1.0,6.0,131.0,160.0,42.0,7.0,56.0,38.0,122.0,120.0,12.0,13.0,46.0,82.0,45.0,50.0,47.0
4073,6.0,7.0,4.0,142.0,1.0,101.0,13.0,88.0,23.0,21.0,72.0,2.0,55.0,3.0,9.0,11.0,158.0,33.0,17.0,38.0,31.0,116.0,29.0,22.0,0.0,16.0,42.0,39.0,43.0,14.0
4122,0.0,9.0,3.0,23.0,4.0,17.0,11.0,19.0,20.0,89.0,2.0,6.0,15.0,5.0,1.0,14.0,31.0,63.0,78.0,35.0,30.0,118.0,28.0,55.0,8.0,34.0,53.0,36.0,52.0,38.0
4171,2.0,3.0,7.0,24.0,4.0,105.0,0.0,89.0,9.0,10.0,5.0,1.0,20.0,32.0,27.0,13.0,160.0,37.0,33.0,82.0,41.0,35.0,126.0,76.0,40.0,26.0,58.0,56.0,55.0,43.0
4220,0.0,4.0,35.0,9.0,1.0,106.0,6.0,16.0,7.0,24.0,10.0,13.0,80.0,2.0,30.0,14.0,160.0,3.0,79.0,11.0,8.0,25.0,26.0,73.0,21.0,39.0,36.0,38.0,43.0,40.0
4269,0.0,14.0,33.0,141.0,10.0,107.0,23.0,13.0,25.0,24.0,3.0,8.0,19.0,9.0,5.0,15.0,21.0,62.0,20.0,41.0,6.0,120.0,119.0,72.0,2.0,44.0,40.0,42.0,49.0,46.0
4318,30.0,12.0,1.0,141.0,8.0,11.0,16.0,90.0,6.0,59.0,24.0,25.0,19.0,35.0,2.0,131.0,159.0,29.0,20.0,26.0,4.0,121.0,120.0,17.0,5.0,22.0,83.0,48.0,50.0,47.0
4367,6.0,21.0,38.0,7.0,132.0,104.0,23.0,91.0,134.0,10.0,20.0,1.0,86.0,2.0,30.0,137.0,0.0,3.0,92.0,8.0,52.0,122.0,29.0,75.0,14.0,49.0,46.0,48.0,56.0,50.0
4416,34.0,8.0,4.0,31.0,131.0,15.0,6.0,90.0,17.0,2.0,26.0,84.0,19.0,32.0,35.0,10.0,157.0,29.0,3.0,23.0,39.0,0.0,127.0,41.0,42.0,57.0,43.0,56.0,51.0,47.0
4465,8.0,5.0,0.0,31.0,133.0,106.0,6.0,2.0,135.0,26.0,21.0,75.0,18.0,36.0,4.0,13.0,1.0,38.0,9.0,45.0,42.0,39.0,121.0,83.0,22.0,46.0,41.0,40.0,14.0,56.0
4514,2.0,5.0,6.0,9.0,20.0,31.0,16.0,67.0,134.0,18.0,81.0,35.0,13.0,138.0,8.0,1.0,160.0,0.0,11.0,12.0,55.0,3.0,4.0,83.0,82.0,87.0,84.0,86.0,15.0,88.0
4563,0.0,148.0,18.0,10.0,11.0,1.0,27.0,94.0,157.0,52.0,22.0,28.0,26.0,152.0,33.0,9.0,7.0,30.0,25.0,54.0,136.0,2.0,44.0,35.0,21.0,56.0,53.0,55.0,34.0,57.0
4612,4.0,0.0,2.0,28.0,132.0,9.0,86.0,80.0,135.0,50.0,7.0,75.0,13.0,24.0,27.0,38.0,163.0,1.0,16.0,43.0,55.0,34.0,5.0,23.0,91.0,40.0,42.0,41.0,22.0,39.0
4661,0.0,14.0,37.0,3.0,10.0,100.0,17.0,91.0,142.0,27.0,19.0,66.0,18.0,36.0,38.0,146.0,158.0,35.0,26.0,21.0,41.0,122.0,121.0,93.0,59.0,56.0,44.0,43.0,53.0,46.0
4710,34.0,14.0,40.0,3.0,11.0,13.0,18.0,10.0,133.0,59.0,20.0,15.0,1.0,138.0,29.0,16.0,159.0,0.0,25.0,2.0,49.0,121.0,126.0,89.0,88.0,44.0,74.0,42.0,48.0,45.0
4759,9.0,7.0,3.0,33.0,133.0,4.0,17.0,12.0,26.0,56.0,0.0,74.0,81.0,139.0,69.0,24.0,159.0,10.0,19.0,20.0,43.0,32.0,127.0,92.0,58.0,42.0,39.0,41.0,14.0,55.0
4808,3.0,16.0,36.0,6.0,132.0,14.0,21.0,75.0,25.0,7.0,58.0,18.0,81.0,35.0,61.0,4.0,157.0,66.0,9.0,23.0,32.0,0.0,126.0,82.0,11.0,40.0,42.0,43.0,56.0,39.0
4857,0.0,18.0,7.0,6.0,136.0,101.0,21.0,89.0,132.0,38.0,4.0,72.0,79.0,144.0,32.0,19.0,153.0,8.0,78.0,20.0,46.0,29.0,27.0,22.0,43.0,39.0,44.0,41.0,48.0,55.0
