,Akt_pS473,HER3,PRAS40_pT246,TIGAR,Acetyl-a-Tubulin (Lys40),AR,CDK1,FRA1,MEK1_pS217_S221,CD49b,E-Cadherin,JNK2,Syk,Tuberin_pT1462,YB-1_pS102,IGFBP2,alpha-Catenin,C-Raf(MP05-739),Gab2,Transglutaminase,Chk2_pT68,p38_MAPK,RBM15,Shc_pY317,TFRC,Src,VHL,SHP-2_pY542,c-Kit,PKC-pan_BetaII_pS660
1229,0.0,6.0,2.0,25.0,5.0,3.0,1.0,4.0,9.0,13.0,20.0,26.0,34.0,10.0,7.0,30.0,11.0,36.0,14.0,15.0,90.0,8.0,29.0,126.0,60.0,46.0,35.0,27.0,40.0,33.0
1278,0.0,2.0,7.0,6.0,11.0,3.0,5.0,1.0,12.0,10.0,13.0,45.0,14.0,9.0,19.0,4.0,16.0,15.0,22.0,50.0,127.0,18.0,71.0,26.0,75.0,29.0,21.0,34.0,17.0,38.0
1327,0.0,3.0,4.0,14.0,5.0,7.0,8.0,6.0,11.0,10.0,1.0,29.0,2.0,30.0,21.0,9.0,54.0,16.0,70.0,18.0,104.0,13.0,38.0,42.0,23.0,43.0,32.0,49.0,127.0,24.0
1376,0.0,2.0,1.0,5.0,6.0,9.0,8.0,3.0,7.0,59.0,10.0,67.0,4.0,31.0,11.0,23.0,12.0,18.0,47.0,20.0,65.0,50.0,48.0,25.0,51.0,44.0,24.0,14.0,40.0,87.0
1425,0.0,3.0,2.0,13.0,6.0,1.0,7.0,16.0,4.0,15.0,10.0,51.0,20.0,24.0,23.0,25.0,11.0,37.0,41.0,21.0,47.0,8.0,19.0,14.0,26.0,17.0,36.0,5.0,62.0,49.0
1474,0.0,13.0,1.0,5.0,2.0,17.0,10.0,3.0,19.0,12.0,27.0,35.0,4.0,18.0,24.0,11.0,15.0,32.0,39.0,25.0,23.0,70.0,28.0,26.0,6.0,22.0,16.0,51.0,79.0,66.0
1523,0.0,8.0,10.0,3.0,4.0,5.0,2.0,6.0,19.0,11.0,1.0,43.0,20.0,7.0,28.0,34.0,93.0,39.0,51.0,13.0,92.0,14.0,44.0,35.0,29.0,17.0,15.0,57.0,18.0,119.0
1572,0.0,1.0,7.0,3.0,2.0,12.0,6.0,19.0,9.0,11.0,5.0,27.0,33.0,18.0,28.0,22.0,4.0,81.0,34.0,8.0,29.0,40.0,31.0,13.0,48.0,16.0,41.0,89.0,23.0,88.0
1621,0.0,4.0,1.0,9.0,2.0,19.0,12.0,10.0,7.0,27.0,8.0,33.0,5.0,24.0,32.0,3.0,23.0,37.0,81.0,11.0,142.0,60.0,28.0,6.0,13.0,49.0,30.0,50.0,14.0,39.0
1670,0.0,3.0,2.0,1.0,4.0,12.0,5.0,17.0,9.0,33.0,7.0,10.0,24.0,19.0,37.0,18.0,27.0,52.0,11.0,14.0,58.0,26.0,81.0,8.0,51.0,15.0,43.0,63.0,32.0,36.0
1719,0.0,17.0,1.0,12.0,5.0,10.0,3.0,26.0,24.0,39.0,8.0,20.0,25.0,14.0,27.0,53.0,9.0,99.0,22.0,87.0,18.0,70.0,7.0,60.0,29.0,11.0,23.0,80.0,15.0,62.0
1768,0.0,3.0,1.0,4.0,8.0,30.0,2.0,12.0,14.0,122.0,11.0,40.0,5.0,6.0,20.0,23.0,10.0,116.0,26.0,48.0,49.0,9.0,114.0,16.0,29.0,24.0,22.0,61.0,145.0,50.0
1817,0.0,6.0,1.0,2.0,4.0,22.0,3.0,14.0,13.0,7.0,8.0,66.0,12.0,55.0,37.0,9.0,25.0,60.0,44.0,29.0,47.0,35.0,11.0,28.0,5.0,61.0,20.0,17.0,49.0,67.0
1866,0.0,4.0,3.0,5.0,1.0,25.0,6.0,23.0,7.0,41.0,16.0,39.0,14.0,2.0,67.0,65.0,20.0,44.0,18.0,34.0,35.0,28.0,8.0,13.0,22.0,30.0,32.0,17.0,42.0,12.0
1915,0.0,1.0,2.0,27.0,5.0,30.0,4.0,3.0,13.0,52.0,14.0,91.0,11.0,10.0,16.0,9.0,42.0,31.0,34.0,61.0,53.0,7.0,15.0,24.0,8.0,25.0,26.0,17.0,44.0,32.0
1964,0.0,1.0,6.0,8.0,23.0,4.0,2.0,3.0,5.0,7.0,15.0,43.0,13.0,17.0,38.0,44.0,22.0,41.0,18.0,11.0,19.0,14.0,107.0,33.0,34.0,9.0,40.0,42.0,48.0,20.0
2013,0.0,1.0,2.0,4.0,29.0,6.0,3.0,11.0,5.0,9.0,10.0,13.0,12.0,14.0,18.0,32.0,22.0,17.0,16.0,31.0,24.0,7.0,52.0,25.0,8.0,27.0,33.0,20.0,53.0,145.0
2062,0.0,2.0,7.0,4.0,9.0,1.0,12.0,6.0,5.0,3.0,8.0,42.0,11.0,27.0,14.0,33.0,10.0,16.0,45.0,15.0,40.0,36.0,67.0,106.0,138.0,13.0,86.0,21.0,26.0,19.0
2111,0.0,4.0,10.0,2.0,8.0,7.0,1.0,5.0,3.0,6.0,22.0,14.0,42.0,62.0,20.0,49.0,30.0,11.0,27.0,13.0,33.0,17.0,34.0,29.0,24.0,19.0,21.0,9.0,47.0,12.0
2160,0.0,13.0,1.0,2.0,31.0,4.0,3.0,7.0,5.0,6.0,16.0,49.0,8.0,18.0,17.0,22.0,12.0,10.0,53.0,28.0,23.0,19.0,24.0,15.0,21.0,14.0,11.0,9.0,77.0,32.0
2209,2.0,1.0,7.0,0.0,16.0,10.0,4.0,6.0,3.0,5.0,20.0,54.0,8.0,40.0,18.0,23.0,51.0,17.0,35.0,13.0,12.0,37.0,33.0,9.0,34.0,15.0,38.0,11.0,117.0,14.0
2258,2.0,0.0,3.0,1.0,35.0,9.0,6.0,5.0,7.0,4.0,16.0,25.0,17.0,10.0,38.0,54.0,8.0,13.0,14.0,12.0,26.0,11.0,27.0,19.0,37.0,22.0,30.0,21.0,142.0,28.0
2307,0.0,3.0,1.0,4.0,12.0,5.0,7.0,2.0,6.0,9.0,10.0,31.0,22.0,27.0,43.0,36.0,89.0,11.0,49.0,17.0,101.0,13.0,72.0,29.0,59.0,8.0,62.0,14.0,81.0,25.0
2356,0.0,9.0,7.0,3.0,13.0,1.0,5.0,2.0,6.0,4.0,12.0,47.0,42.0,15.0,41.0,34.0,8.0,10.0,25.0,40.0,17.0,22.0,32.0,24.0,11.0,31.0,35.0,14.0,90.0,43.0
2405,0.0,6.0,3.0,1.0,10.0,4.0,2.0,9.0,7.0,12.0,17.0,40.0,5.0,23.0,93.0,29.0,21.0,15.0,30.0,8.0,13.0,16.0,41.0,14.0,24.0,44.0,32.0,22.0,72.0,18.0
2454,0.0,4.0,7.0,5.0,1.0,2.0,6.0,14.0,20.0,10.0,13.0,22.0,23.0,64.0,48.0,15.0,61.0,25.0,51.0,45.0,27.0,47.0,11.0,49.0,24.0,9.0,33.0,8.0,3.0,89.0
2503,0.0,19.0,3.0,6.0,1.0,2.0,4.0,24.0,14.0,8.0,11.0,15.0,10.0,13.0,59.0,9.0,86.0,27.0,26.0,62.0,54.0,31.0,58.0,43.0,33.0,64.0,29.0,95.0,36.0,41.0
2552,0.0,3.0,1.0,2.0,4.0,6.0,20.0,11.0,8.0,15.0,5.0,27.0,45.0,51.0,19.0,31.0,16.0,12.0,41.0,95.0,24.0,36.0,29.0,21.0,23.0,62.0,28.0,65.0,14.0,104.0
2601,0.0,6.0,7.0,5.0,3.0,2.0,1.0,9.0,4.0,39.0,26.0,10.0,24.0,18.0,38.0,43.0,50.0,29.0,19.0,31.0,76.0,48.0,11.0,36.0,12.0,16.0,17.0,90.0,14.0,62.0
2650,0.0,3.0,10.0,2.0,5.0,1.0,4.0,26.0,37.0,7.0,86.0,8.0,52.0,11.0,13.0,14.0,94.0,18.0,19.0,39.0,110.0,62.0,67.0,12.0,23.0,33.0,27.0,16.0,56.0,25.0
2699,0.0,2.0,9.0,7.0,10.0,1.0,8.0,13.0,4.0,33.0,3.0,32.0,5.0,6.0,43.0,21.0,24.0,19.0,57.0,52.0,129.0,25.0,26.0,17.0,18.0,15.0,22.0,14.0,11.0,122.0
2748,0.0,5.0,4.0,1.0,6.0,7.0,8.0,2.0,3.0,9.0,14.0,50.0,11.0,20.0,13.0,34.0,55.0,12.0,28.0,38.0,43.0,33.0,26.0,46.0,49.0,17.0,18.0,29.0,16.0,54.0
2797,0.0,8.0,6.0,5.0,1.0,2.0,7.0,4.0,21.0,3.0,13.0,43.0,70.0,9.0,120.0,10.0,38.0,11.0,24.0,51.0,66.0,46.0,19.0,72.0,15.0,36.0,14.0,39.0,18.0,44.0
2846,0.0,5.0,3.0,4.0,2.0,1.0,7.0,9.0,6.0,40.0,27.0,22.0,10.0,21.0,65.0,14.0,15.0,8.0,88.0,35.0,11.0,52.0,50.0,71.0,17.0,34.0,99.0,49.0,18.0,45.0
2895,0.0,2.0,12.0,8.0,3.0,1.0,5.0,7.0,4.0,14.0,41.0,51.0,6.0,11.0,28.0,10.0,104.0,16.0,19.0,22.0,133.0,36.0,38.0,24.0,44.0,93.0,15.0,18.0,23.0,76.0
2944,0.0,1.0,2.0,21.0,4.0,27.0,9.0,7.0,5.0,3.0,11.0,22.0,85.0,37.0,121.0,13.0,10.0,34.0,17.0,8.0,14.0,31.0,47.0,74.0,15.0,38.0,62.0,94.0,26.0,24.0
2993,0.0,7.0,9.0,3.0,6.0,1.0,2.0,8.0,13.0,34.0,10.0,75.0,16.0,31.0,12.0,21.0,17.0,35.0,139.0,23.0,11.0,15.0,18.0,65.0,46.0,68.0,20.0,90.0,22.0,38.0
3042,0.0,1.0,11.0,7.0,8.0,2.0,21.0,5.0,14.0,4.0,3.0,33.0,65.0,40.0,12.0,42.0,25.0,10.0,30.0,26.0,20.0,32.0,13.0,15.0,31.0,24.0,41.0,48.0,18.0,16.0
3091,0.0,11.0,3.0,4.0,1.0,5.0,26.0,2.0,17.0,13.0,28.0,86.0,139.0,20.0,30.0,32.0,49.0,7.0,87.0,42.0,16.0,61.0,18.0,34.0,21.0,56.0,97.0,31.0,52.0,12.0
3140,0.0,1.0,3.0,6.0,12.0,5.0,11.0,2.0,7.0,9.0,14.0,46.0,36.0,13.0,30.0,19.0,8.0,4.0,33.0,22.0,20.0,65.0,41.0,31.0,114.0,129.0,47.0,25.0,59.0,78.0
3189,0.0,3.0,6.0,2.0,1.0,7.0,5.0,4.0,10.0,11.0,45.0,26.0,30.0,76.0,33.0,8.0,39.0,35.0,25.0,13.0,18.0,53.0,16.0,47.0,49.0,119.0,43.0,14.0,42.0,9.0
3238,0.0,2.0,1.0,12.0,3.0,4.0,14.0,6.0,11.0,16.0,41.0,38.0,13.0,21.0,45.0,35.0,18.0,20.0,30.0,5.0,25.0,37.0,32.0,24.0,27.0,42.0,33.0,29.0,19.0,28.0
3287,0.0,10.0,4.0,7.0,1.0,5.0,8.0,2.0,9.0,3.0,14.0,66.0,67.0,58.0,32.0,11.0,54.0,31.0,22.0,18.0,30.0,17.0,55.0,24.0,44.0,149.0,23.0,13.0,19.0,29.0
3336,0.0,5.0,3.0,4.0,11.0,1.0,13.0,2.0,7.0,8.0,26.0,17.0,6.0,25.0,9.0,10.0,21.0,28.0,66.0,22.0,96.0,54.0,16.0,29.0,19.0,45.0,23.0,15.0,40.0,30.0
3385,0.0,2.0,3.0,22.0,1.0,18.0,7.0,12.0,13.0,8.0,46.0,10.0,83.0,23.0,4.0,48.0,31.0,24.0,19.0,9.0,35.0,41.0,27.0,45.0,94.0,114.0,30.0,62.0,15.0,29.0
3434,0.0,3.0,1.0,2.0,4.0,6.0,12.0,7.0,9.0,29.0,5.0,18.0,8.0,22.0,60.0,37.0,20.0,10.0,26.0,34.0,15.0,13.0,25.0,11.0,33.0,38.0,32.0,21.0,105.0,30.0
3483,0.0,2.0,3.0,4.0,7.0,1.0,27.0,15.0,9.0,23.0,31.0,13.0,14.0,50.0,21.0,25.0,55.0,5.0,6.0,8.0,11.0,18.0,29.0,20.0,43.0,77.0,26.0,35.0,57.0,22.0
3532,0.0,2.0,3.0,12.0,4.0,1.0,5.0,7.0,6.0,64.0,40.0,10.0,16.0,13.0,21.0,62.0,36.0,17.0,9.0,26.0,19.0,20.0,11.0,8.0,46.0,31.0,56.0,72.0,14.0,15.0
3581,0.0,2.0,1.0,3.0,8.0,10.0,5.0,19.0,9.0,15.0,4.0,16.0,21.0,7.0,23.0,14.0,35.0,39.0,34.0,20.0,13.0,17.0,6.0,25.0,45.0,53.0,11.0,12.0,115.0,31.0
3630,0.0,3.0,1.0,4.0,9.0,7.0,2.0,6.0,14.0,15.0,29.0,5.0,16.0,12.0,21.0,18.0,38.0,17.0,13.0,8.0,11.0,49.0,20.0,61.0,31.0,145.0,43.0,28.0,19.0,51.0
3679,0.0,1.0,4.0,10.0,17.0,3.0,8.0,2.0,15.0,14.0,6.0,12.0,5.0,7.0,52.0,25.0,16.0,45.0,26.0,27.0,114.0,31.0,62.0,36.0,76.0,21.0,43.0,37.0,19.0,53.0
3728,0.0,2.0,1.0,3.0,9.0,5.0,29.0,8.0,16.0,21.0,18.0,4.0,35.0,19.0,44.0,11.0,15.0,22.0,17.0,14.0,7.0,24.0,27.0,20.0,128.0,52.0,40.0,6.0,36.0,51.0
3777,0.0,3.0,1.0,8.0,9.0,2.0,14.0,5.0,4.0,32.0,17.0,6.0,20.0,61.0,18.0,43.0,26.0,19.0,10.0,13.0,7.0,39.0,11.0,30.0,42.0,31.0,27.0,57.0,85.0,33.0
3826,0.0,1.0,4.0,2.0,13.0,7.0,3.0,5.0,23.0,41.0,15.0,21.0,18.0,29.0,35.0,33.0,77.0,12.0,16.0,8.0,6.0,108.0,38.0,42.0,71.0,36.0,26.0,10.0,34.0,32.0
3875,0.0,1.0,4.0,2.0,11.0,6.0,5.0,3.0,7.0,17.0,8.0,25.0,10.0,26.0,38.0,23.0,49.0,35.0,12.0,9.0,89.0,24.0,19.0,16.0,79.0,71.0,13.0,15.0,91.0,125.0
3924,0.0,4.0,8.0,16.0,2.0,7.0,17.0,1.0,24.0,6.0,20.0,18.0,41.0,14.0,10.0,57.0,25.0,54.0,36.0,55.0,5.0,11.0,15.0,23.0,67.0,30.0,26.0,35.0,64.0,21.0
3973,0.0,2.0,9.0,11.0,8.0,3.0,12.0,10.0,5.0,1.0,4.0,14.0,29.0,15.0,30.0,25.0,19.0,41.0,71.0,23.0,26.0,82.0,18.0,36.0,94.0,22.0,16.0,28.0,32.0,45.0
4022,0.0,1.0,4.0,6.0,9.0,2.0,7.0,12.0,5.0,3.0,8.0,15.0,21.0,10.0,13.0,49.0,58.0,32.0,66.0,44.0,50.0,20.0,26.0,11.0,17.0,34.0,37.0,23.0,55.0,14.0
4071,0.0,4.0,6.0,8.0,1.0,3.0,5.0,9.0,2.0,12.0,29.0,26.0,20.0,28.0,30.0,10.0,99.0,33.0,87.0,32.0,64.0,19.0,22.0,11.0,16.0,35.0,146.0,47.0,48.0,7.0
4120,0.0,1.0,5.0,13.0,3.0,2.0,15.0,17.0,14.0,6.0,22.0,8.0,27.0,37.0,35.0,16.0,21.0,48.0,25.0,12.0,7.0,58.0,4.0,11.0,42.0,19.0,63.0,34.0,26.0,31.0
4169,0.0,8.0,7.0,21.0,2.0,4.0,39.0,5.0,6.0,1.0,10.0,15.0,38.0,3.0,9.0,12.0,53.0,28.0,113.0,20.0,44.0,14.0,16.0,32.0,76.0,11.0,29.0,40.0,45.0,18.0
4218,0.0,3.0,5.0,2.0,1.0,8.0,6.0,7.0,14.0,4.0,25.0,17.0,31.0,37.0,12.0,34.0,47.0,39.0,27.0,67.0,13.0,20.0,18.0,9.0,35.0,28.0,10.0,36.0,42.0,21.0
4267,0.0,10.0,4.0,5.0,14.0,7.0,1.0,3.0,11.0,2.0,9.0,15.0,28.0,19.0,27.0,43.0,24.0,16.0,22.0,39.0,8.0,26.0,6.0,12.0,33.0,46.0,50.0,36.0,59.0,29.0
4316,0.0,2.0,10.0,3.0,6.0,1.0,4.0,18.0,14.0,11.0,35.0,7.0,5.0,82.0,26.0,9.0,61.0,72.0,62.0,15.0,13.0,17.0,8.0,25.0,52.0,20.0,55.0,32.0,87.0,38.0
4365,0.0,2.0,3.0,19.0,1.0,10.0,15.0,16.0,4.0,17.0,12.0,13.0,54.0,8.0,34.0,47.0,31.0,40.0,7.0,41.0,5.0,30.0,11.0,20.0,70.0,23.0,50.0,18.0,55.0,37.0
4414,0.0,3.0,9.0,1.0,11.0,16.0,4.0,2.0,6.0,7.0,8.0,24.0,32.0,13.0,5.0,25.0,23.0,76.0,10.0,40.0,14.0,33.0,48.0,17.0,58.0,57.0,19.0,12.0,83.0,30.0
4463,2.0,3.0,11.0,4.0,12.0,9.0,13.0,6.0,83.0,1.0,0.0,10.0,64.0,30.0,7.0,118.0,21.0,35.0,14.0,85.0,5.0,26.0,34.0,86.0,8.0,15.0,82.0,31.0,37.0,36.0
4512,0.0,2.0,5.0,3.0,4.0,14.0,6.0,1.0,12.0,9.0,10.0,36.0,20.0,33.0,7.0,17.0,13.0,38.0,8.0,23.0,45.0,69.0,44.0,40.0,43.0,11.0,66.0,27.0,48.0,18.0
4561,1.0,6.0,10.0,0.0,121.0,9.0,2.0,4.0,16.0,5.0,3.0,28.0,54.0,41.0,12.0,18.0,19.0,38.0,7.0,36.0,14.0,13.0,65.0,23.0,22.0,29.0,24.0,90.0,37.0,58.0
4610,0.0,6.0,14.0,2.0,18.0,27.0,9.0,8.0,16.0,3.0,5.0,15.0,71.0,7.0,10.0,82.0,1.0,49.0,52.0,41.0,4.0,17.0,40.0,56.0,25.0,30.0,47.0,59.0,19.0,13.0
4659,0.0,3.0,5.0,2.0,34.0,11.0,4.0,6.0,25.0,1.0,8.0,7.0,51.0,14.0,33.0,24.0,21.0,46.0,27.0,72.0,9.0,68.0,22.0,55.0,23.0,69.0,26.0,54.0,85.0,86.0
4708,2.0,0.0,7.0,1.0,66.0,23.0,4.0,17.0,8.0,5.0,3.0,15.0,39.0,14.0,6.0,18.0,12.0,53.0,35.0,33.0,21.0,30.0,84.0,29.0,22.0,16.0,26.0,55.0,50.0,67.0
4757,0.0,7.0,3.0,4.0,11.0,54.0,2.0,5.0,20.0,1.0,13.0,16.0,15.0,40.0,10.0,26.0,17.0,32.0,21.0,8.0,25.0,29.0,45.0,19.0,27.0,49.0,69.0,28.0,53.0,85.0
4806,0.0,1.0,5.0,3.0,16.0,11.0,4.0,2.0,17.0,8.0,7.0,9.0,28.0,33.0,12.0,34.0,46.0,38.0,6.0,42.0,86.0,44.0,58.0,64.0,48.0,65.0,13.0,37.0,32.0,15.0
4855,0.0,3.0,6.0,2.0,7.0,35.0,1.0,10.0,11.0,4.0,14.0,9.0,8.0,22.0,27.0,16.0,62.0,47.0,36.0,42.0,17.0,59.0,51.0,21.0,33.0,53.0,39.0,15.0,12.0,38.0
