,hsa-miR-125a-3p,hsa-miR-574-5p,hsa-miR-196b,hsa-miR-1254,hsa-miR-628-5p,hsa-miR-641,hsa-miR-877,hsa-miR-453,hsa-miR-590-5p,hsa-miR-892a,hsa-miR-184,hsa-miR-1286,hsa-miR-891a,hsa-miR-578,hsa-miR-661,hsa-miR-548f,hsa-miR-651,hsa-miR-199b-5p,hsa-miR-759,hsa-miR-197,hsa-miR-223,hsa-miR-635,hsa-miR-619,hsa-miR-1284,hsa-miR-1292,hsa-miR-551b,hsa-miR-34c-5p,hsa-miR-875-3p,hsa-miR-140-5p,hsa-miR-147b
946,1.0,11.0,0.0,26.0,2.0,49.0,19.0,22.0,6.0,32.0,12.0,47.0,48.0,29.0,10.0,5.0,7.0,21.0,56.0,33.0,16.0,28.0,36.0,4.0,53.0,35.0,46.0,66.0,106.0,13.0
995,0.0,20.0,1.0,2.0,39.0,34.0,15.0,12.0,22.0,13.0,59.0,19.0,27.0,11.0,98.0,60.0,9.0,135.0,36.0,44.0,29.0,5.0,69.0,3.0,51.0,93.0,7.0,4.0,79.0,42.0
1044,1.0,0.0,2.0,4.0,8.0,9.0,26.0,5.0,24.0,11.0,22.0,6.0,14.0,44.0,276.0,164.0,12.0,37.0,150.0,46.0,28.0,7.0,45.0,65.0,20.0,161.0,72.0,17.0,53.0,33.0
1093,0.0,5.0,26.0,3.0,57.0,4.0,28.0,2.0,21.0,8.0,40.0,10.0,32.0,9.0,122.0,58.0,15.0,16.0,207.0,13.0,36.0,6.0,24.0,70.0,59.0,103.0,18.0,1.0,54.0,72.0
1142,1.0,2.0,8.0,22.0,35.0,25.0,9.0,20.0,12.0,78.0,46.0,3.0,26.0,7.0,252.0,122.0,18.0,41.0,27.0,45.0,11.0,4.0,39.0,16.0,156.0,24.0,5.0,0.0,140.0,181.0
1191,9.0,3.0,16.0,5.0,43.0,80.0,67.0,2.0,68.0,0.0,39.0,1.0,36.0,12.0,232.0,149.0,34.0,32.0,40.0,54.0,14.0,26.0,13.0,4.0,126.0,65.0,10.0,28.0,92.0,120.0
1240,3.0,0.0,1.0,5.0,25.0,11.0,27.0,23.0,9.0,15.0,99.0,7.0,20.0,14.0,83.0,112.0,4.0,106.0,18.0,22.0,53.0,6.0,220.0,40.0,103.0,12.0,47.0,8.0,74.0,33.0
1289,3.0,5.0,2.0,0.0,12.0,6.0,15.0,46.0,83.0,14.0,60.0,8.0,20.0,1.0,249.0,45.0,42.0,28.0,117.0,34.0,24.0,9.0,44.0,118.0,48.0,38.0,32.0,4.0,53.0,131.0
1338,4.0,0.0,2.0,1.0,28.0,8.0,15.0,7.0,45.0,80.0,6.0,37.0,11.0,12.0,155.0,107.0,24.0,121.0,59.0,5.0,23.0,9.0,89.0,77.0,110.0,86.0,35.0,3.0,111.0,138.0
1387,3.0,4.0,1.0,0.0,36.0,48.0,94.0,5.0,84.0,28.0,14.0,7.0,52.0,8.0,100.0,157.0,16.0,43.0,23.0,70.0,13.0,2.0,30.0,95.0,39.0,285.0,9.0,18.0,113.0,67.0
1436,3.0,50.0,0.0,2.0,34.0,73.0,24.0,4.0,67.0,15.0,55.0,6.0,10.0,18.0,143.0,99.0,102.0,97.0,16.0,60.0,39.0,8.0,31.0,54.0,116.0,59.0,17.0,1.0,146.0,33.0
1485,0.0,3.0,41.0,4.0,11.0,7.0,16.0,5.0,213.0,14.0,211.0,21.0,18.0,22.0,9.0,28.0,359.0,89.0,109.0,149.0,212.0,49.0,8.0,98.0,17.0,1.0,114.0,6.0,127.0,183.0
1534,0.0,1.0,5.0,40.0,3.0,23.0,18.0,2.0,47.0,114.0,185.0,11.0,71.0,29.0,56.0,98.0,70.0,45.0,36.0,187.0,84.0,59.0,27.0,176.0,44.0,9.0,102.0,127.0,7.0,215.0
1583,3.0,0.0,20.0,5.0,7.0,16.0,9.0,1.0,56.0,22.0,177.0,10.0,41.0,36.0,28.0,30.0,230.0,42.0,40.0,53.0,27.0,31.0,15.0,128.0,75.0,4.0,24.0,162.0,237.0,166.0
1632,1.0,4.0,7.0,9.0,0.0,25.0,10.0,6.0,65.0,31.0,196.0,13.0,17.0,11.0,8.0,18.0,115.0,21.0,41.0,111.0,132.0,73.0,5.0,78.0,135.0,3.0,70.0,27.0,109.0,163.0
1681,2.0,10.0,1.0,27.0,4.0,14.0,16.0,3.0,56.0,13.0,214.0,8.0,59.0,167.0,53.0,32.0,343.0,62.0,80.0,78.0,23.0,31.0,44.0,15.0,21.0,5.0,22.0,74.0,201.0,41.0
1730,1.0,3.0,17.0,10.0,4.0,5.0,15.0,6.0,21.0,40.0,310.0,11.0,8.0,84.0,51.0,23.0,123.0,53.0,63.0,43.0,147.0,49.0,12.0,127.0,74.0,9.0,121.0,69.0,115.0,159.0
1779,0.0,8.0,16.0,23.0,2.0,5.0,14.0,6.0,115.0,3.0,322.0,128.0,34.0,28.0,17.0,125.0,93.0,11.0,86.0,73.0,62.0,42.0,10.0,26.0,51.0,4.0,31.0,19.0,109.0,206.0
1828,4.0,1.0,14.0,10.0,7.0,15.0,28.0,6.0,65.0,116.0,145.0,9.0,64.0,26.0,3.0,19.0,127.0,5.0,45.0,85.0,40.0,60.0,18.0,131.0,63.0,12.0,129.0,180.0,88.0,381.0
1877,0.0,4.0,38.0,5.0,29.0,15.0,28.0,3.0,69.0,8.0,167.0,14.0,43.0,35.0,58.0,11.0,124.0,10.0,60.0,13.0,27.0,7.0,71.0,177.0,86.0,6.0,45.0,234.0,158.0,102.0
1926,0.0,5.0,10.0,8.0,2.0,3.0,7.0,6.0,55.0,12.0,314.0,61.0,54.0,99.0,241.0,64.0,230.0,13.0,195.0,124.0,90.0,23.0,53.0,126.0,32.0,11.0,98.0,38.0,41.0,78.0
1975,2.0,3.0,0.0,12.0,42.0,26.0,6.0,13.0,46.0,183.0,5.0,27.0,83.0,1.0,24.0,61.0,99.0,166.0,4.0,92.0,33.0,28.0,40.0,136.0,14.0,25.0,29.0,32.0,10.0,15.0
2024,0.0,2.0,8.0,9.0,34.0,12.0,17.0,1.0,61.0,45.0,19.0,5.0,47.0,41.0,11.0,27.0,91.0,49.0,22.0,95.0,75.0,28.0,43.0,111.0,15.0,4.0,74.0,6.0,16.0,3.0
2073,1.0,0.0,2.0,29.0,16.0,15.0,28.0,4.0,63.0,80.0,33.0,5.0,30.0,3.0,7.0,158.0,95.0,117.0,6.0,270.0,67.0,8.0,54.0,42.0,57.0,19.0,10.0,24.0,9.0,11.0
2122,2.0,1.0,0.0,6.0,46.0,35.0,8.0,3.0,34.0,51.0,7.0,4.0,39.0,12.0,5.0,80.0,18.0,44.0,16.0,204.0,36.0,64.0,60.0,33.0,29.0,11.0,19.0,26.0,13.0,9.0
2171,0.0,4.0,3.0,34.0,31.0,13.0,25.0,11.0,111.0,10.0,22.0,38.0,56.0,2.0,1.0,105.0,78.0,29.0,16.0,67.0,37.0,89.0,17.0,48.0,52.0,28.0,50.0,7.0,12.0,18.0
2220,0.0,1.0,3.0,9.0,12.0,13.0,20.0,5.0,49.0,21.0,8.0,24.0,18.0,6.0,7.0,97.0,29.0,173.0,16.0,69.0,51.0,43.0,116.0,37.0,33.0,2.0,67.0,22.0,30.0,11.0
2269,0.0,1.0,14.0,19.0,6.0,35.0,45.0,16.0,26.0,28.0,82.0,2.0,12.0,113.0,5.0,40.0,20.0,60.0,13.0,90.0,115.0,39.0,34.0,25.0,10.0,70.0,66.0,31.0,59.0,4.0
2318,2.0,0.0,3.0,39.0,8.0,5.0,16.0,19.0,99.0,84.0,10.0,9.0,60.0,1.0,83.0,174.0,33.0,23.0,15.0,119.0,103.0,41.0,55.0,54.0,12.0,30.0,57.0,77.0,4.0,6.0
2367,0.0,1.0,3.0,16.0,21.0,9.0,41.0,7.0,61.0,23.0,8.0,2.0,48.0,217.0,6.0,145.0,131.0,91.0,14.0,94.0,130.0,64.0,136.0,62.0,93.0,44.0,12.0,26.0,19.0,18.0
2416,1.0,33.0,0.0,4.0,43.0,51.0,14.0,11.0,350.0,99.0,30.0,15.0,89.0,5.0,2.0,75.0,168.0,20.0,9.0,145.0,108.0,79.0,3.0,16.0,91.0,8.0,34.0,10.0,77.0,44.0
2465,7.0,21.0,4.0,1.0,5.0,13.0,28.0,14.0,68.0,2.0,34.0,42.0,29.0,135.0,35.0,15.0,44.0,78.0,3.0,18.0,71.0,57.0,37.0,62.0,83.0,60.0,39.0,94.0,48.0,23.0
2514,7.0,2.0,57.0,0.0,30.0,9.0,4.0,15.0,20.0,36.0,11.0,74.0,48.0,212.0,5.0,10.0,58.0,21.0,8.0,35.0,101.0,40.0,14.0,80.0,52.0,1.0,111.0,19.0,29.0,123.0
2563,0.0,11.0,8.0,4.0,5.0,1.0,9.0,21.0,15.0,19.0,13.0,189.0,39.0,81.0,146.0,6.0,3.0,51.0,37.0,14.0,34.0,46.0,41.0,165.0,100.0,25.0,54.0,67.0,2.0,58.0
2612,1.0,14.0,17.0,2.0,3.0,16.0,9.0,13.0,4.0,0.0,18.0,106.0,58.0,155.0,10.0,20.0,29.0,25.0,71.0,38.0,8.0,36.0,72.0,140.0,66.0,45.0,63.0,146.0,12.0,61.0
2661,1.0,4.0,55.0,0.0,2.0,3.0,24.0,30.0,9.0,6.0,19.0,13.0,8.0,167.0,14.0,5.0,20.0,60.0,15.0,29.0,40.0,22.0,28.0,34.0,106.0,66.0,110.0,101.0,31.0,350.0
2710,1.0,3.0,12.0,4.0,2.0,7.0,0.0,6.0,23.0,13.0,18.0,38.0,5.0,167.0,37.0,10.0,55.0,36.0,111.0,40.0,46.0,16.0,22.0,68.0,24.0,8.0,152.0,29.0,11.0,186.0
2759,0.0,4.0,54.0,3.0,2.0,10.0,20.0,16.0,12.0,1.0,14.0,40.0,8.0,328.0,31.0,32.0,23.0,26.0,112.0,24.0,46.0,98.0,59.0,15.0,36.0,5.0,282.0,68.0,9.0,88.0
2808,21.0,86.0,12.0,0.0,37.0,20.0,51.0,15.0,43.0,4.0,45.0,28.0,2.0,234.0,1.0,3.0,58.0,7.0,93.0,36.0,24.0,9.0,6.0,63.0,27.0,23.0,146.0,92.0,8.0,196.0
2857,2.0,3.0,88.0,0.0,9.0,12.0,23.0,6.0,1.0,10.0,4.0,142.0,7.0,91.0,39.0,16.0,11.0,97.0,140.0,21.0,18.0,60.0,19.0,28.0,42.0,5.0,26.0,29.0,13.0,59.0
2906,1.0,75.0,102.0,6.0,20.0,31.0,3.0,56.0,47.0,7.0,270.0,44.0,15.0,309.0,269.0,59.0,125.0,24.0,55.0,67.0,11.0,60.0,90.0,9.0,63.0,73.0,99.0,123.0,41.0,38.0
2955,2.0,0.0,16.0,3.0,11.0,1.0,17.0,58.0,28.0,72.0,124.0,18.0,6.0,30.0,4.0,10.0,9.0,112.0,12.0,36.0,89.0,61.0,100.0,23.0,24.0,19.0,46.0,29.0,126.0,140.0
3004,0.0,8.0,36.0,5.0,107.0,9.0,30.0,14.0,15.0,91.0,12.0,19.0,7.0,13.0,1.0,37.0,43.0,65.0,24.0,2.0,28.0,31.0,159.0,6.0,47.0,89.0,70.0,22.0,142.0,69.0
3053,0.0,3.0,14.0,4.0,12.0,2.0,5.0,7.0,15.0,48.0,29.0,34.0,6.0,170.0,1.0,8.0,21.0,67.0,79.0,24.0,13.0,53.0,199.0,27.0,35.0,18.0,36.0,10.0,87.0,165.0
3102,1.0,0.0,23.0,3.0,53.0,9.0,7.0,21.0,18.0,95.0,22.0,77.0,6.0,5.0,2.0,8.0,19.0,36.0,96.0,75.0,16.0,46.0,70.0,25.0,24.0,4.0,37.0,79.0,47.0,124.0
3151,5.0,0.0,9.0,12.0,25.0,8.0,2.0,23.0,62.0,33.0,16.0,150.0,11.0,56.0,1.0,6.0,17.0,112.0,30.0,63.0,10.0,37.0,49.0,204.0,46.0,4.0,15.0,40.0,61.0,183.0
3200,0.0,9.0,3.0,2.0,30.0,7.0,14.0,6.0,54.0,46.0,12.0,79.0,10.0,24.0,1.0,4.0,52.0,224.0,13.0,35.0,33.0,75.0,40.0,17.0,42.0,16.0,19.0,25.0,158.0,152.0
3249,9.0,2.0,11.0,5.0,24.0,4.0,6.0,10.0,19.0,138.0,13.0,109.0,55.0,26.0,1.0,3.0,7.0,40.0,15.0,50.0,27.0,39.0,92.0,161.0,32.0,70.0,63.0,66.0,126.0,247.0
3298,1.0,4.0,5.0,2.0,10.0,0.0,6.0,17.0,75.0,13.0,25.0,171.0,8.0,97.0,3.0,7.0,11.0,32.0,69.0,135.0,19.0,22.0,125.0,9.0,18.0,47.0,26.0,20.0,117.0,283.0
3347,0.0,24.0,6.0,14.0,12.0,10.0,1.0,16.0,34.0,49.0,31.0,84.0,5.0,95.0,23.0,19.0,212.0,129.0,35.0,210.0,65.0,79.0,88.0,61.0,46.0,2.0,39.0,3.0,105.0,247.0
3396,1.0,17.0,11.0,5.0,33.0,3.0,0.0,12.0,42.0,27.0,10.0,115.0,32.0,18.0,36.0,2.0,38.0,51.0,34.0,44.0,16.0,50.0,24.0,135.0,30.0,9.0,203.0,14.0,15.0,292.0
3445,0.0,1.0,4.0,25.0,6.0,88.0,2.0,3.0,14.0,41.0,11.0,5.0,20.0,60.0,9.0,45.0,40.0,28.0,76.0,155.0,24.0,27.0,35.0,39.0,33.0,8.0,18.0,36.0,71.0,70.0
3494,2.0,0.0,3.0,19.0,17.0,8.0,1.0,49.0,26.0,10.0,39.0,4.0,21.0,57.0,32.0,79.0,9.0,81.0,7.0,84.0,24.0,23.0,94.0,6.0,61.0,37.0,46.0,213.0,15.0,34.0
3543,0.0,2.0,4.0,16.0,18.0,77.0,9.0,10.0,1.0,31.0,20.0,5.0,12.0,3.0,82.0,45.0,41.0,22.0,21.0,88.0,19.0,13.0,33.0,60.0,17.0,150.0,25.0,164.0,48.0,11.0
3592,2.0,1.0,12.0,11.0,14.0,8.0,16.0,0.0,9.0,4.0,5.0,3.0,25.0,23.0,94.0,15.0,32.0,36.0,41.0,49.0,44.0,86.0,38.0,26.0,37.0,67.0,24.0,408.0,21.0,111.0
3641,0.0,9.0,2.0,58.0,5.0,49.0,7.0,16.0,4.0,3.0,151.0,13.0,36.0,14.0,30.0,17.0,32.0,93.0,46.0,11.0,33.0,40.0,43.0,1.0,25.0,163.0,19.0,143.0,47.0,12.0
3690,1.0,0.0,10.0,3.0,15.0,11.0,2.0,5.0,26.0,7.0,57.0,12.0,27.0,14.0,78.0,23.0,76.0,24.0,29.0,145.0,35.0,46.0,28.0,4.0,13.0,62.0,9.0,16.0,8.0,6.0
3739,2.0,0.0,3.0,6.0,5.0,20.0,1.0,12.0,13.0,4.0,16.0,19.0,42.0,7.0,49.0,9.0,30.0,31.0,50.0,48.0,10.0,17.0,54.0,47.0,33.0,8.0,29.0,113.0,138.0,14.0
3788,0.0,13.0,1.0,35.0,16.0,76.0,7.0,5.0,10.0,11.0,12.0,8.0,9.0,2.0,19.0,26.0,17.0,49.0,31.0,158.0,30.0,92.0,51.0,3.0,22.0,23.0,4.0,77.0,18.0,29.0
3837,0.0,2.0,3.0,5.0,18.0,9.0,4.0,7.0,23.0,6.0,21.0,1.0,10.0,27.0,34.0,15.0,31.0,91.0,142.0,29.0,40.0,13.0,247.0,14.0,93.0,165.0,16.0,181.0,101.0,75.0
3886,0.0,2.0,1.0,36.0,16.0,37.0,9.0,3.0,6.0,23.0,8.0,65.0,15.0,39.0,68.0,67.0,45.0,77.0,29.0,35.0,21.0,91.0,149.0,5.0,13.0,42.0,7.0,267.0,78.0,33.0
3935,1.0,2.0,4.0,33.0,47.0,71.0,29.0,20.0,11.0,8.0,7.0,43.0,6.0,30.0,5.0,63.0,50.0,9.0,36.0,19.0,53.0,64.0,122.0,318.0,37.0,16.0,3.0,59.0,77.0,10.0
3984,1.0,18.0,0.0,30.0,28.0,140.0,14.0,35.0,3.0,2.0,5.0,8.0,49.0,50.0,7.0,128.0,62.0,16.0,4.0,17.0,69.0,46.0,107.0,27.0,9.0,246.0,31.0,34.0,222.0,11.0
4033,0.0,2.0,29.0,35.0,6.0,108.0,9.0,26.0,13.0,20.0,11.0,1.0,36.0,193.0,99.0,198.0,199.0,31.0,32.0,38.0,45.0,59.0,90.0,8.0,27.0,128.0,5.0,41.0,95.0,15.0
4082,3.0,0.0,17.0,22.0,42.0,25.0,34.0,18.0,1.0,26.0,8.0,6.0,2.0,62.0,27.0,97.0,14.0,23.0,19.0,5.0,119.0,80.0,82.0,126.0,16.0,41.0,20.0,115.0,101.0,11.0
4131,3.0,0.0,112.0,16.0,9.0,76.0,1.0,45.0,21.0,2.0,14.0,19.0,25.0,59.0,26.0,209.0,48.0,12.0,6.0,43.0,85.0,40.0,115.0,116.0,29.0,57.0,69.0,178.0,102.0,4.0
4180,0.0,9.0,3.0,6.0,51.0,109.0,13.0,48.0,2.0,4.0,26.0,30.0,29.0,43.0,263.0,169.0,88.0,47.0,5.0,12.0,54.0,20.0,233.0,248.0,80.0,16.0,78.0,28.0,72.0,25.0
4229,0.0,1.0,67.0,7.0,10.0,73.0,5.0,100.0,3.0,13.0,12.0,15.0,37.0,14.0,6.0,39.0,22.0,2.0,16.0,8.0,26.0,56.0,169.0,152.0,9.0,52.0,40.0,36.0,138.0,4.0
4278,0.0,2.0,4.0,10.0,3.0,59.0,34.0,16.0,5.0,30.0,23.0,11.0,13.0,35.0,43.0,44.0,21.0,12.0,1.0,28.0,29.0,137.0,117.0,61.0,90.0,324.0,17.0,199.0,92.0,15.0
4327,0.0,2.0,7.0,6.0,32.0,85.0,36.0,39.0,12.0,60.0,107.0,11.0,21.0,51.0,93.0,45.0,132.0,3.0,13.0,4.0,44.0,56.0,294.0,184.0,19.0,99.0,22.0,202.0,55.0,16.0
4376,0.0,1.0,22.0,24.0,14.0,66.0,32.0,129.0,2.0,25.0,16.0,7.0,12.0,158.0,21.0,84.0,10.0,13.0,3.0,5.0,62.0,15.0,107.0,98.0,49.0,55.0,20.0,167.0,141.0,36.0
4425,3.0,8.0,1.0,15.0,12.0,4.0,5.0,184.0,21.0,106.0,143.0,19.0,61.0,2.0,14.0,23.0,27.0,51.0,43.0,7.0,59.0,101.0,9.0,31.0,104.0,70.0,139.0,123.0,35.0,327.0
4474,7.0,0.0,4.0,3.0,24.0,6.0,16.0,326.0,1.0,37.0,5.0,73.0,22.0,8.0,102.0,27.0,17.0,108.0,14.0,10.0,76.0,32.0,28.0,99.0,18.0,116.0,180.0,142.0,19.0,105.0
4523,0.0,9.0,2.0,1.0,62.0,6.0,10.0,39.0,13.0,46.0,11.0,41.0,36.0,4.0,59.0,32.0,29.0,89.0,19.0,58.0,65.0,64.0,8.0,48.0,33.0,54.0,80.0,183.0,3.0,167.0
4572,3.0,0.0,1.0,2.0,150.0,15.0,22.0,102.0,7.0,20.0,8.0,75.0,37.0,19.0,32.0,53.0,79.0,50.0,10.0,14.0,73.0,38.0,55.0,132.0,43.0,182.0,69.0,86.0,6.0,101.0
4621,0.0,2.0,6.0,1.0,113.0,11.0,14.0,100.0,3.0,24.0,12.0,20.0,39.0,17.0,62.0,29.0,134.0,166.0,74.0,22.0,43.0,16.0,34.0,19.0,15.0,30.0,244.0,50.0,25.0,135.0
4670,0.0,3.0,43.0,4.0,110.0,11.0,10.0,98.0,15.0,112.0,12.0,85.0,5.0,19.0,1.0,25.0,32.0,34.0,66.0,30.0,9.0,26.0,16.0,13.0,8.0,57.0,102.0,158.0,23.0,318.0
4719,2.0,0.0,15.0,3.0,88.0,25.0,16.0,108.0,5.0,23.0,4.0,26.0,103.0,1.0,6.0,22.0,38.0,79.0,35.0,7.0,155.0,42.0,14.0,93.0,19.0,11.0,131.0,178.0,10.0,159.0
4768,0.0,8.0,15.0,31.0,127.0,10.0,16.0,76.0,13.0,59.0,30.0,7.0,52.0,17.0,18.0,117.0,141.0,60.0,50.0,140.0,70.0,48.0,20.0,6.0,53.0,41.0,32.0,228.0,19.0,114.0
4817,1.0,0.0,19.0,2.0,75.0,6.0,8.0,209.0,20.0,14.0,16.0,15.0,31.0,5.0,84.0,67.0,23.0,59.0,9.0,68.0,118.0,7.0,28.0,58.0,39.0,62.0,236.0,100.0,10.0,105.0
4866,3.0,18.0,1.0,0.0,84.0,20.0,5.0,130.0,9.0,35.0,23.0,335.0,17.0,4.0,101.0,81.0,28.0,36.0,24.0,87.0,128.0,55.0,58.0,96.0,14.0,193.0,139.0,135.0,6.0,40.0
