,Src_pY527,Bax,Transglutaminase,Gab2,Cyclin_E1,CD49b,Shc_pY317,HSP70,YB-1_pS102,MEK1_pS217_S221,FRA1,p21,MIG-6,Notch1,PDCD4,E-Cadherin,XBP1,HER3,CDK1,Annexin 1,Src_pY416,STAT5-alpha,alpha-Catenin,14-3-3_zeta,p14 Arf(BetA300-340A),PKC-pan_BetaII_pS660,VAV1,Raptor,ADAR1,MDMX_MDM4(BetIHC-00108)
491,1.0,6.0,10.0,21.0,0.0,4.0,11.0,3.0,27.0,16.0,15.0,23.0,12.0,34.0,22.0,28.0,2.0,17.0,31.0,24.0,33.0,7.0,20.0,30.0,14.0,8.0,13.0,54.0,5.0,46.0
540,8.0,1.0,9.0,4.0,0.0,2.0,16.0,3.0,30.0,10.0,11.0,29.0,14.0,17.0,20.0,31.0,5.0,13.0,36.0,23.0,15.0,7.0,63.0,26.0,22.0,18.0,39.0,32.0,21.0,64.0
589,9.0,0.0,16.0,12.0,8.0,7.0,10.0,5.0,17.0,2.0,37.0,26.0,4.0,6.0,13.0,61.0,19.0,1.0,14.0,33.0,27.0,57.0,46.0,28.0,39.0,18.0,15.0,34.0,23.0,107.0
638,7.0,11.0,16.0,4.0,1.0,2.0,9.0,3.0,8.0,0.0,12.0,17.0,10.0,31.0,18.0,26.0,6.0,5.0,33.0,37.0,20.0,27.0,55.0,68.0,23.0,13.0,30.0,35.0,21.0,34.0
687,2.0,3.0,18.0,1.0,0.0,9.0,8.0,10.0,13.0,11.0,28.0,15.0,7.0,29.0,17.0,50.0,5.0,6.0,51.0,26.0,12.0,19.0,67.0,32.0,20.0,14.0,25.0,68.0,38.0,35.0
736,2.0,5.0,44.0,0.0,1.0,8.0,17.0,10.0,9.0,6.0,26.0,12.0,7.0,13.0,16.0,29.0,4.0,19.0,20.0,30.0,3.0,27.0,48.0,28.0,36.0,24.0,22.0,97.0,18.0,32.0
785,0.0,2.0,6.0,1.0,3.0,11.0,17.0,8.0,18.0,7.0,10.0,15.0,4.0,16.0,20.0,24.0,5.0,9.0,28.0,27.0,23.0,47.0,48.0,12.0,64.0,25.0,14.0,43.0,21.0,68.0
834,6.0,1.0,3.0,11.0,0.0,4.0,15.0,2.0,17.0,5.0,9.0,30.0,7.0,16.0,12.0,28.0,18.0,13.0,24.0,22.0,21.0,14.0,65.0,27.0,19.0,32.0,33.0,56.0,38.0,52.0
883,2.0,1.0,11.0,10.0,0.0,6.0,16.0,7.0,12.0,9.0,21.0,30.0,5.0,18.0,19.0,28.0,3.0,4.0,43.0,14.0,20.0,15.0,36.0,34.0,22.0,17.0,23.0,33.0,13.0,53.0
932,0.0,5.0,15.0,8.0,3.0,2.0,31.0,1.0,21.0,7.0,22.0,41.0,13.0,20.0,11.0,14.0,19.0,4.0,28.0,6.0,10.0,18.0,35.0,12.0,26.0,27.0,37.0,25.0,48.0,47.0
981,3.0,0.0,5.0,2.0,1.0,12.0,7.0,10.0,25.0,19.0,27.0,4.0,29.0,8.0,6.0,20.0,22.0,21.0,23.0,36.0,14.0,11.0,13.0,9.0,24.0,15.0,40.0,26.0,16.0,38.0
1030,0.0,4.0,1.0,3.0,8.0,12.0,22.0,9.0,15.0,11.0,25.0,2.0,7.0,6.0,21.0,16.0,5.0,19.0,26.0,35.0,10.0,23.0,20.0,13.0,34.0,24.0,40.0,18.0,37.0,31.0
1079,0.0,1.0,2.0,31.0,8.0,6.0,7.0,3.0,16.0,5.0,33.0,4.0,19.0,18.0,39.0,10.0,15.0,34.0,52.0,14.0,24.0,20.0,41.0,30.0,29.0,23.0,53.0,32.0,35.0,26.0
1128,0.0,16.0,8.0,18.0,3.0,12.0,2.0,7.0,9.0,22.0,19.0,10.0,1.0,5.0,4.0,15.0,28.0,54.0,6.0,13.0,50.0,55.0,29.0,21.0,17.0,24.0,43.0,60.0,39.0,33.0
1177,8.0,2.0,7.0,1.0,19.0,11.0,12.0,3.0,22.0,15.0,14.0,5.0,6.0,9.0,10.0,0.0,4.0,23.0,13.0,30.0,33.0,42.0,74.0,17.0,29.0,40.0,26.0,44.0,66.0,16.0
1226,2.0,8.0,0.0,6.0,7.0,27.0,24.0,12.0,4.0,18.0,11.0,14.0,9.0,10.0,17.0,3.0,30.0,61.0,16.0,1.0,26.0,5.0,13.0,19.0,32.0,20.0,21.0,25.0,92.0,67.0
1275,0.0,6.0,4.0,2.0,16.0,7.0,13.0,1.0,22.0,20.0,11.0,5.0,14.0,3.0,25.0,29.0,15.0,30.0,9.0,8.0,12.0,51.0,21.0,10.0,64.0,19.0,27.0,17.0,59.0,46.0
1324,0.0,1.0,2.0,3.0,17.0,6.0,19.0,5.0,8.0,13.0,11.0,14.0,23.0,4.0,7.0,10.0,31.0,9.0,40.0,12.0,49.0,52.0,43.0,21.0,30.0,16.0,38.0,48.0,25.0,32.0
1373,4.0,2.0,1.0,0.0,35.0,18.0,7.0,10.0,25.0,17.0,13.0,3.0,16.0,5.0,24.0,8.0,12.0,21.0,6.0,11.0,42.0,37.0,15.0,20.0,9.0,19.0,28.0,27.0,38.0,22.0
1422,3.0,0.0,11.0,1.0,12.0,4.0,2.0,5.0,6.0,18.0,9.0,10.0,34.0,15.0,13.0,24.0,26.0,7.0,21.0,28.0,8.0,62.0,20.0,23.0,22.0,33.0,19.0,14.0,30.0,47.0
1471,0.0,11.0,7.0,34.0,14.0,8.0,13.0,17.0,1.0,22.0,4.0,38.0,51.0,10.0,5.0,46.0,56.0,18.0,9.0,26.0,27.0,33.0,12.0,20.0,16.0,15.0,55.0,2.0,32.0,35.0
1520,1.0,0.0,2.0,34.0,38.0,18.0,27.0,23.0,9.0,20.0,10.0,3.0,16.0,21.0,22.0,4.0,15.0,13.0,6.0,8.0,26.0,12.0,19.0,24.0,31.0,33.0,7.0,5.0,74.0,85.0
1569,15.0,0.0,2.0,16.0,32.0,10.0,20.0,18.0,9.0,19.0,8.0,4.0,26.0,7.0,23.0,5.0,29.0,25.0,14.0,6.0,31.0,13.0,11.0,12.0,37.0,27.0,56.0,1.0,22.0,101.0
1618,1.0,0.0,2.0,26.0,8.0,22.0,9.0,19.0,28.0,3.0,17.0,15.0,10.0,11.0,29.0,13.0,24.0,7.0,4.0,20.0,31.0,5.0,25.0,38.0,27.0,32.0,16.0,6.0,23.0,36.0
1667,0.0,4.0,1.0,11.0,15.0,62.0,8.0,32.0,3.0,6.0,18.0,7.0,19.0,10.0,38.0,9.0,31.0,17.0,12.0,2.0,40.0,14.0,36.0,47.0,52.0,33.0,37.0,5.0,27.0,34.0
1716,0.0,4.0,5.0,30.0,10.0,13.0,12.0,26.0,3.0,1.0,28.0,6.0,18.0,22.0,9.0,21.0,32.0,23.0,15.0,14.0,24.0,7.0,2.0,36.0,25.0,48.0,20.0,8.0,16.0,72.0
1765,7.0,10.0,0.0,8.0,21.0,30.0,14.0,25.0,1.0,12.0,17.0,11.0,38.0,6.0,22.0,3.0,36.0,15.0,5.0,4.0,59.0,26.0,18.0,19.0,28.0,29.0,24.0,2.0,40.0,39.0
1814,0.0,1.0,2.0,20.0,29.0,14.0,27.0,12.0,3.0,10.0,11.0,17.0,32.0,36.0,34.0,22.0,68.0,18.0,21.0,4.0,53.0,8.0,16.0,15.0,31.0,43.0,24.0,6.0,13.0,89.0
1863,0.0,1.0,5.0,14.0,28.0,4.0,8.0,11.0,2.0,12.0,24.0,9.0,42.0,34.0,38.0,7.0,41.0,18.0,16.0,13.0,50.0,6.0,10.0,19.0,54.0,31.0,32.0,3.0,45.0,25.0
1912,18.0,0.0,1.0,34.0,30.0,17.0,15.0,12.0,6.0,5.0,7.0,8.0,21.0,9.0,24.0,20.0,32.0,10.0,4.0,2.0,14.0,23.0,26.0,13.0,39.0,51.0,29.0,3.0,27.0,73.0
1961,1.0,9.0,5.0,17.0,4.0,0.0,2.0,22.0,42.0,18.0,12.0,13.0,37.0,56.0,7.0,6.0,16.0,11.0,3.0,19.0,57.0,14.0,15.0,33.0,31.0,21.0,28.0,58.0,26.0,10.0
2010,0.0,4.0,16.0,7.0,21.0,5.0,1.0,9.0,62.0,8.0,12.0,42.0,6.0,43.0,27.0,15.0,10.0,3.0,20.0,2.0,65.0,41.0,11.0,18.0,30.0,31.0,25.0,28.0,24.0,22.0
2059,0.0,34.0,4.0,21.0,45.0,1.0,15.0,13.0,16.0,8.0,5.0,14.0,10.0,24.0,9.0,12.0,39.0,18.0,3.0,7.0,26.0,31.0,11.0,20.0,17.0,23.0,25.0,27.0,54.0,70.0
2108,0.0,5.0,6.0,3.0,17.0,2.0,4.0,9.0,42.0,12.0,8.0,26.0,10.0,51.0,11.0,13.0,20.0,16.0,1.0,19.0,82.0,46.0,36.0,33.0,21.0,23.0,7.0,70.0,22.0,18.0
2157,0.0,10.0,8.0,12.0,7.0,2.0,1.0,6.0,29.0,30.0,14.0,22.0,18.0,42.0,4.0,21.0,11.0,17.0,13.0,3.0,82.0,50.0,5.0,20.0,24.0,26.0,16.0,57.0,49.0,9.0
2206,0.0,3.0,6.0,25.0,22.0,2.0,1.0,5.0,47.0,4.0,10.0,21.0,8.0,55.0,7.0,12.0,18.0,11.0,9.0,14.0,40.0,34.0,16.0,13.0,33.0,19.0,30.0,37.0,45.0,23.0
2255,0.0,12.0,4.0,5.0,10.0,8.0,14.0,1.0,31.0,3.0,15.0,24.0,6.0,41.0,16.0,20.0,28.0,11.0,7.0,9.0,47.0,39.0,13.0,38.0,23.0,18.0,21.0,78.0,42.0,17.0
2304,13.0,0.0,6.0,8.0,20.0,1.0,9.0,2.0,37.0,15.0,3.0,31.0,4.0,56.0,23.0,21.0,22.0,25.0,5.0,7.0,18.0,55.0,27.0,10.0,60.0,24.0,17.0,69.0,28.0,26.0
2353,1.0,17.0,2.0,3.0,16.0,7.0,6.0,4.0,59.0,24.0,12.0,15.0,9.0,52.0,5.0,11.0,10.0,26.0,0.0,20.0,37.0,22.0,18.0,40.0,28.0,21.0,29.0,31.0,41.0,14.0
2402,0.0,6.0,8.0,14.0,13.0,3.0,4.0,18.0,79.0,22.0,1.0,47.0,17.0,31.0,15.0,19.0,11.0,30.0,2.0,12.0,45.0,20.0,28.0,40.0,23.0,5.0,56.0,60.0,29.0,21.0
2451,3.0,0.0,16.0,14.0,4.0,9.0,15.0,10.0,20.0,13.0,18.0,8.0,5.0,7.0,19.0,30.0,2.0,6.0,23.0,21.0,1.0,29.0,42.0,12.0,17.0,49.0,36.0,31.0,22.0,25.0
2500,7.0,4.0,6.0,20.0,2.0,22.0,16.0,9.0,21.0,23.0,12.0,46.0,13.0,3.0,8.0,17.0,1.0,5.0,28.0,26.0,0.0,10.0,24.0,11.0,41.0,31.0,39.0,14.0,49.0,32.0
2549,10.0,0.0,4.0,12.0,3.0,7.0,8.0,26.0,16.0,21.0,47.0,15.0,23.0,5.0,36.0,14.0,6.0,11.0,13.0,2.0,1.0,31.0,22.0,9.0,30.0,45.0,24.0,25.0,40.0,29.0
2598,2.0,1.0,21.0,10.0,0.0,20.0,12.0,5.0,13.0,27.0,19.0,26.0,7.0,4.0,30.0,9.0,8.0,29.0,17.0,16.0,6.0,15.0,11.0,28.0,18.0,22.0,25.0,40.0,32.0,46.0
2647,7.0,6.0,2.0,32.0,0.0,10.0,4.0,1.0,37.0,18.0,23.0,26.0,13.0,5.0,9.0,15.0,8.0,16.0,3.0,19.0,11.0,48.0,35.0,24.0,27.0,28.0,21.0,17.0,14.0,61.0
2696,22.0,5.0,2.0,45.0,8.0,16.0,9.0,17.0,26.0,11.0,24.0,55.0,27.0,6.0,19.0,14.0,1.0,7.0,20.0,3.0,4.0,21.0,18.0,15.0,13.0,25.0,34.0,32.0,38.0,31.0
2745,4.0,1.0,0.0,18.0,2.0,21.0,19.0,8.0,9.0,3.0,27.0,5.0,10.0,17.0,25.0,23.0,11.0,12.0,22.0,55.0,6.0,62.0,31.0,20.0,28.0,30.0,48.0,16.0,67.0,42.0
2794,2.0,0.0,4.0,9.0,3.0,1.0,10.0,6.0,30.0,20.0,15.0,36.0,25.0,44.0,14.0,16.0,12.0,40.0,19.0,22.0,5.0,7.0,11.0,39.0,24.0,26.0,23.0,31.0,18.0,46.0
2843,35.0,0.0,2.0,16.0,4.0,12.0,27.0,1.0,11.0,15.0,42.0,23.0,5.0,7.0,6.0,9.0,17.0,24.0,18.0,10.0,3.0,30.0,19.0,20.0,32.0,26.0,8.0,28.0,45.0,40.0
2892,1.0,6.0,3.0,8.0,5.0,7.0,12.0,0.0,41.0,4.0,29.0,19.0,35.0,26.0,11.0,58.0,24.0,10.0,27.0,25.0,2.0,23.0,45.0,18.0,9.0,30.0,39.0,13.0,124.0,67.0
2941,1.0,3.0,2.0,0.0,5.0,11.0,26.0,30.0,17.0,10.0,16.0,20.0,18.0,7.0,9.0,8.0,60.0,28.0,49.0,21.0,24.0,4.0,13.0,50.0,35.0,43.0,27.0,61.0,15.0,63.0
2990,4.0,3.0,7.0,0.0,29.0,24.0,19.0,27.0,8.0,20.0,9.0,2.0,11.0,15.0,6.0,1.0,12.0,25.0,22.0,10.0,13.0,14.0,17.0,23.0,16.0,26.0,42.0,44.0,30.0,59.0
3039,2.0,12.0,13.0,0.0,15.0,10.0,21.0,17.0,1.0,26.0,33.0,9.0,37.0,29.0,44.0,4.0,11.0,6.0,42.0,22.0,41.0,7.0,36.0,18.0,16.0,25.0,35.0,8.0,64.0,24.0
3088,0.0,12.0,7.0,1.0,5.0,13.0,9.0,36.0,8.0,3.0,22.0,16.0,2.0,28.0,15.0,4.0,14.0,29.0,54.0,10.0,38.0,6.0,11.0,21.0,33.0,27.0,41.0,51.0,23.0,18.0
3137,4.0,12.0,0.0,16.0,21.0,11.0,3.0,24.0,23.0,2.0,10.0,9.0,15.0,22.0,32.0,7.0,29.0,18.0,36.0,1.0,39.0,6.0,8.0,5.0,13.0,41.0,78.0,19.0,35.0,34.0
3186,0.0,6.0,1.0,5.0,17.0,10.0,23.0,36.0,3.0,18.0,21.0,13.0,9.0,26.0,27.0,12.0,22.0,37.0,33.0,7.0,14.0,2.0,15.0,4.0,28.0,34.0,45.0,63.0,11.0,41.0
3235,7.0,2.0,1.0,10.0,0.0,16.0,19.0,25.0,14.0,5.0,17.0,20.0,22.0,15.0,4.0,8.0,21.0,18.0,34.0,23.0,9.0,6.0,35.0,3.0,30.0,27.0,33.0,24.0,44.0,70.0
3284,1.0,0.0,4.0,3.0,2.0,31.0,22.0,55.0,8.0,13.0,12.0,17.0,9.0,28.0,11.0,7.0,16.0,24.0,35.0,10.0,6.0,5.0,32.0,19.0,23.0,26.0,71.0,14.0,21.0,47.0
3333,30.0,3.0,11.0,6.0,0.0,1.0,10.0,21.0,2.0,12.0,5.0,25.0,8.0,26.0,14.0,4.0,22.0,32.0,16.0,9.0,13.0,23.0,50.0,7.0,20.0,39.0,68.0,69.0,37.0,49.0
3382,2.0,1.0,5.0,0.0,7.0,4.0,18.0,10.0,3.0,26.0,9.0,39.0,6.0,15.0,19.0,8.0,50.0,20.0,24.0,12.0,13.0,16.0,30.0,32.0,25.0,27.0,63.0,33.0,34.0,36.0
3431,2.0,1.0,7.0,0.0,3.0,14.0,8.0,6.0,12.0,17.0,19.0,29.0,13.0,26.0,16.0,27.0,10.0,4.0,45.0,21.0,5.0,34.0,59.0,35.0,24.0,22.0,61.0,15.0,38.0,31.0
3480,2.0,1.0,5.0,0.0,4.0,21.0,3.0,26.0,18.0,7.0,11.0,13.0,16.0,20.0,15.0,33.0,8.0,17.0,31.0,23.0,6.0,22.0,25.0,48.0,24.0,43.0,62.0,14.0,34.0,9.0
3529,4.0,0.0,3.0,1.0,16.0,18.0,8.0,5.0,26.0,6.0,9.0,33.0,12.0,17.0,20.0,15.0,10.0,7.0,29.0,44.0,2.0,52.0,34.0,74.0,30.0,19.0,61.0,36.0,38.0,13.0
3578,2.0,1.0,7.0,0.0,5.0,22.0,9.0,4.0,14.0,6.0,10.0,24.0,26.0,19.0,11.0,8.0,23.0,3.0,21.0,15.0,25.0,85.0,58.0,68.0,45.0,17.0,55.0,16.0,30.0,28.0
3627,2.0,3.0,0.0,1.0,6.0,20.0,5.0,8.0,10.0,4.0,14.0,33.0,21.0,11.0,17.0,38.0,19.0,9.0,34.0,22.0,12.0,27.0,53.0,35.0,16.0,55.0,80.0,13.0,65.0,18.0
3676,3.0,0.0,2.0,1.0,15.0,27.0,7.0,4.0,32.0,13.0,8.0,19.0,20.0,14.0,10.0,45.0,5.0,12.0,58.0,30.0,6.0,24.0,50.0,35.0,38.0,25.0,84.0,9.0,43.0,17.0
3725,1.0,2.0,3.0,0.0,14.0,16.0,4.0,7.0,12.0,8.0,24.0,40.0,19.0,22.0,9.0,41.0,11.0,10.0,15.0,6.0,5.0,20.0,54.0,70.0,26.0,39.0,72.0,13.0,36.0,35.0
3774,1.0,4.0,0.0,2.0,17.0,18.0,5.0,10.0,8.0,3.0,22.0,12.0,15.0,25.0,14.0,43.0,6.0,13.0,36.0,42.0,11.0,40.0,24.0,46.0,28.0,41.0,75.0,31.0,9.0,19.0
3823,2.0,1.0,3.0,0.0,27.0,10.0,23.0,13.0,21.0,5.0,7.0,17.0,35.0,39.0,25.0,36.0,11.0,9.0,8.0,4.0,42.0,24.0,59.0,6.0,62.0,14.0,15.0,20.0,49.0,48.0
3872,1.0,4.0,5.0,0.0,18.0,23.0,10.0,16.0,21.0,3.0,9.0,19.0,24.0,17.0,8.0,22.0,2.0,7.0,11.0,6.0,13.0,33.0,35.0,48.0,12.0,44.0,72.0,25.0,37.0,15.0
3921,1.0,10.0,13.0,3.0,0.0,7.0,24.0,33.0,12.0,49.0,16.0,2.0,32.0,4.0,6.0,35.0,8.0,19.0,17.0,11.0,18.0,5.0,14.0,9.0,22.0,15.0,23.0,31.0,34.0,28.0
3970,1.0,14.0,0.0,12.0,6.0,3.0,10.0,5.0,21.0,7.0,17.0,2.0,19.0,4.0,13.0,23.0,42.0,8.0,20.0,9.0,16.0,11.0,48.0,15.0,26.0,18.0,33.0,22.0,25.0,34.0
4019,0.0,28.0,3.0,12.0,18.0,5.0,4.0,19.0,10.0,16.0,30.0,11.0,14.0,8.0,15.0,7.0,54.0,2.0,6.0,1.0,62.0,23.0,27.0,37.0,20.0,9.0,21.0,78.0,25.0,42.0
4068,0.0,16.0,2.0,35.0,12.0,10.0,3.0,21.0,8.0,11.0,14.0,1.0,29.0,19.0,6.0,20.0,5.0,4.0,32.0,25.0,40.0,13.0,17.0,23.0,47.0,18.0,53.0,24.0,9.0,15.0
4117,4.0,20.0,2.0,13.0,6.0,0.0,1.0,19.0,14.0,15.0,17.0,27.0,46.0,3.0,9.0,23.0,26.0,7.0,37.0,10.0,39.0,8.0,25.0,42.0,12.0,5.0,63.0,24.0,11.0,43.0
4166,0.0,15.0,2.0,8.0,7.0,3.0,9.0,13.0,1.0,11.0,17.0,5.0,6.0,4.0,18.0,44.0,60.0,14.0,28.0,16.0,25.0,10.0,23.0,47.0,24.0,37.0,21.0,67.0,41.0,34.0
4215,9.0,11.0,3.0,41.0,23.0,13.0,26.0,7.0,22.0,8.0,17.0,1.0,16.0,0.0,5.0,12.0,4.0,10.0,6.0,21.0,2.0,18.0,15.0,45.0,35.0,33.0,61.0,20.0,27.0,40.0
4264,0.0,7.0,2.0,8.0,11.0,1.0,16.0,9.0,4.0,48.0,13.0,5.0,17.0,31.0,12.0,34.0,27.0,24.0,6.0,3.0,19.0,10.0,25.0,14.0,33.0,20.0,26.0,36.0,15.0,42.0
4313,0.0,32.0,1.0,6.0,12.0,3.0,9.0,23.0,7.0,28.0,8.0,11.0,14.0,21.0,15.0,4.0,33.0,16.0,17.0,18.0,36.0,19.0,13.0,5.0,30.0,2.0,29.0,24.0,10.0,53.0
4362,0.0,10.0,1.0,2.0,8.0,7.0,9.0,4.0,14.0,24.0,15.0,17.0,26.0,3.0,13.0,22.0,16.0,5.0,23.0,11.0,19.0,47.0,21.0,18.0,53.0,25.0,72.0,27.0,29.0,12.0
4411,21.0,1.0,12.0,13.0,16.0,0.0,6.0,29.0,8.0,15.0,7.0,11.0,5.0,2.0,17.0,9.0,10.0,22.0,4.0,23.0,42.0,30.0,61.0,33.0,3.0,19.0,18.0,60.0,37.0,62.0
4460,41.0,0.0,1.0,13.0,22.0,2.0,9.0,21.0,6.0,24.0,20.0,4.0,3.0,5.0,11.0,8.0,10.0,16.0,14.0,37.0,19.0,30.0,27.0,44.0,17.0,35.0,32.0,60.0,53.0,66.0
4509,10.0,3.0,8.0,5.0,45.0,4.0,26.0,71.0,2.0,14.0,0.0,16.0,1.0,7.0,24.0,23.0,9.0,17.0,6.0,15.0,20.0,53.0,25.0,77.0,13.0,47.0,22.0,41.0,127.0,35.0
4558,33.0,0.0,9.0,20.0,23.0,5.0,8.0,43.0,22.0,10.0,7.0,35.0,3.0,6.0,15.0,1.0,4.0,21.0,2.0,26.0,32.0,45.0,17.0,31.0,18.0,37.0,11.0,30.0,71.0,55.0
4607,15.0,0.0,3.0,4.0,31.0,2.0,20.0,12.0,8.0,9.0,10.0,17.0,6.0,1.0,7.0,13.0,16.0,26.0,11.0,43.0,35.0,37.0,18.0,40.0,5.0,38.0,21.0,30.0,92.0,32.0
4656,26.0,1.0,2.0,11.0,23.0,0.0,15.0,8.0,13.0,12.0,3.0,17.0,14.0,28.0,9.0,10.0,5.0,29.0,7.0,27.0,40.0,18.0,31.0,58.0,6.0,25.0,20.0,81.0,45.0,33.0
4705,33.0,11.0,18.0,12.0,26.0,0.0,9.0,23.0,2.0,28.0,3.0,10.0,6.0,1.0,8.0,14.0,4.0,16.0,7.0,67.0,52.0,36.0,13.0,24.0,5.0,55.0,20.0,27.0,37.0,35.0
4754,22.0,14.0,6.0,15.0,23.0,0.0,11.0,26.0,3.0,32.0,10.0,7.0,4.0,1.0,8.0,9.0,2.0,27.0,5.0,43.0,41.0,21.0,40.0,70.0,12.0,48.0,20.0,50.0,65.0,28.0
4803,19.0,2.0,4.0,10.0,17.0,0.0,8.0,21.0,1.0,14.0,3.0,5.0,22.0,11.0,7.0,6.0,9.0,24.0,15.0,55.0,47.0,16.0,28.0,25.0,12.0,40.0,27.0,38.0,41.0,42.0
4852,38.0,1.0,5.0,14.0,52.0,0.0,12.0,34.0,2.0,4.0,9.0,24.0,7.0,6.0,15.0,19.0,17.0,10.0,3.0,16.0,20.0,31.0,11.0,25.0,8.0,42.0,26.0,51.0,83.0,99.0
