,hsa-miR-21,hsa-miR-205,hsa-miR-1978,hsa-miR-2117,hsa-miR-548a-3p,hsa-miR-31,hsa-miR-22,hsa-miR-1303,hsa-miR-30a,hsa-miR-424,hsa-miR-30d,hsa-miR-135b,hsa-miR-200a,hsa-miR-661,hsa-miR-136,hsa-miR-371-3p,ebv-miR-BART7,hsa-miR-140-5p,hsa-miR-224,hcmv-miR-US5-1,kshv-miR-K12-6-5p,hsa-miR-663,hsa-miR-222,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-567,hsa-miR-636,hsa-miR-197,hsa-miR-628-5p,hsa-miR-766
2023,457.0,0.0,5.0,40.0,58.0,15.0,154.0,8.0,34.0,362.0,628.0,91.0,6.0,274.0,2.0,216.0,288.0,4.0,172.0,186.0,41.0,12.0,112.0,11.0,26.0,415.0,9.0,119.0,46.0,51.0
2072,6.0,4.0,17.0,3.0,146.0,64.0,90.0,8.0,32.0,10.0,313.0,113.0,16.0,22.0,2.0,28.0,184.0,0.0,624.0,161.0,53.0,43.0,63.0,39.0,181.0,199.0,1.0,349.0,473.0,260.0
2121,21.0,9.0,0.0,30.0,128.0,7.0,2.0,49.0,31.0,189.0,614.0,52.0,13.0,145.0,5.0,12.0,43.0,195.0,182.0,61.0,134.0,4.0,40.0,175.0,481.0,73.0,10.0,239.0,414.0,173.0
2170,35.0,1.0,3.0,36.0,102.0,9.0,31.0,20.0,5.0,230.0,26.0,6.0,22.0,4.0,12.0,0.0,29.0,59.0,13.0,144.0,414.0,30.0,539.0,32.0,339.0,18.0,484.0,467.0,46.0,84.0
2219,1.0,0.0,4.0,47.0,6.0,12.0,2.0,3.0,100.0,14.0,11.0,13.0,21.0,52.0,7.0,16.0,20.0,9.0,40.0,109.0,521.0,61.0,27.0,65.0,565.0,509.0,323.0,44.0,58.0,10.0
2268,29.0,0.0,102.0,7.0,33.0,73.0,42.0,19.0,3.0,6.0,23.0,259.0,11.0,45.0,43.0,17.0,12.0,84.0,5.0,26.0,8.0,34.0,256.0,471.0,4.0,1.0,99.0,69.0,71.0,120.0
2317,1.0,0.0,168.0,88.0,272.0,20.0,136.0,6.0,7.0,2.0,40.0,46.0,3.0,25.0,48.0,24.0,19.0,14.0,33.0,332.0,74.0,583.0,54.0,17.0,10.0,285.0,101.0,13.0,59.0,79.0
2366,16.0,0.0,4.0,6.0,28.0,10.0,42.0,5.0,21.0,1.0,48.0,34.0,3.0,2.0,400.0,8.0,20.0,17.0,53.0,70.0,393.0,433.0,13.0,145.0,36.0,33.0,106.0,128.0,27.0,277.0
2415,12.0,0.0,94.0,21.0,23.0,9.0,51.0,5.0,4.0,22.0,76.0,25.0,37.0,10.0,8.0,190.0,6.0,2.0,45.0,1.0,161.0,40.0,3.0,52.0,236.0,67.0,66.0,68.0,73.0,96.0
2464,1.0,52.0,109.0,69.0,59.0,25.0,6.0,16.0,4.0,7.0,0.0,18.0,3.0,192.0,15.0,208.0,175.0,195.0,27.0,43.0,36.0,12.0,160.0,44.0,132.0,140.0,2.0,379.0,100.0,9.0
2513,0.0,8.0,51.0,16.0,5.0,2.0,6.0,1.0,21.0,17.0,13.0,125.0,10.0,72.0,9.0,20.0,7.0,419.0,14.0,19.0,63.0,11.0,47.0,181.0,29.0,131.0,15.0,91.0,443.0,26.0
2562,25.0,107.0,120.0,44.0,4.0,2.0,18.0,5.0,11.0,153.0,1.0,56.0,17.0,35.0,37.0,3.0,10.0,236.0,23.0,16.0,30.0,8.0,339.0,407.0,34.0,613.0,0.0,283.0,68.0,139.0
2611,47.0,41.0,511.0,5.0,11.0,230.0,15.0,89.0,46.0,4.0,10.0,206.0,264.0,9.0,28.0,0.0,140.0,62.0,12.0,1.0,7.0,40.0,129.0,87.0,32.0,214.0,111.0,27.0,235.0,109.0
2660,40.0,161.0,71.0,14.0,10.0,44.0,109.0,1.0,107.0,78.0,3.0,88.0,0.0,76.0,23.0,66.0,90.0,91.0,12.0,5.0,28.0,271.0,38.0,248.0,16.0,351.0,86.0,25.0,177.0,405.0
2709,10.0,27.0,319.0,35.0,163.0,6.0,13.0,5.0,9.0,88.0,3.0,37.0,0.0,71.0,65.0,30.0,4.0,22.0,21.0,2.0,28.0,43.0,20.0,177.0,67.0,185.0,290.0,221.0,151.0,75.0
2758,8.0,3.0,284.0,228.0,7.0,14.0,152.0,35.0,6.0,11.0,2.0,26.0,0.0,40.0,10.0,4.0,145.0,18.0,5.0,1.0,60.0,330.0,376.0,382.0,29.0,539.0,374.0,268.0,20.0,101.0
2807,3.0,38.0,13.0,2.0,537.0,4.0,17.0,6.0,50.0,9.0,10.0,183.0,1.0,25.0,19.0,5.0,18.0,12.0,142.0,0.0,76.0,36.0,277.0,7.0,11.0,549.0,192.0,16.0,83.0,57.0
2856,2.0,181.0,6.0,4.0,15.0,3.0,195.0,9.0,8.0,25.0,1.0,482.0,142.0,21.0,5.0,14.0,156.0,71.0,30.0,0.0,236.0,242.0,113.0,146.0,104.0,12.0,10.0,35.0,581.0,217.0
2905,14.0,2.0,16.0,73.0,84.0,19.0,24.0,5.0,28.0,78.0,11.0,278.0,0.0,542.0,6.0,47.0,116.0,25.0,54.0,1.0,87.0,609.0,94.0,51.0,151.0,31.0,22.0,69.0,55.0,76.0
2954,2.0,43.0,1.0,34.0,55.0,28.0,0.0,7.0,4.0,201.0,10.0,108.0,37.0,326.0,53.0,321.0,352.0,9.0,109.0,116.0,6.0,182.0,26.0,19.0,95.0,46.0,15.0,535.0,48.0,406.0
3003,0.0,30.0,7.0,1.0,276.0,5.0,4.0,17.0,11.0,55.0,244.0,72.0,22.0,60.0,3.0,71.0,10.0,53.0,178.0,2.0,23.0,20.0,88.0,76.0,75.0,38.0,172.0,67.0,458.0,45.0
3052,0.0,34.0,1.0,24.0,232.0,17.0,21.0,5.0,4.0,55.0,16.0,228.0,2.0,19.0,7.0,142.0,11.0,10.0,58.0,47.0,9.0,60.0,61.0,170.0,66.0,77.0,46.0,67.0,70.0,473.0
3101,0.0,10.0,1.0,11.0,232.0,7.0,41.0,8.0,43.0,20.0,628.0,376.0,24.0,57.0,142.0,129.0,3.0,27.0,44.0,16.0,23.0,109.0,45.0,100.0,22.0,39.0,146.0,49.0,88.0,101.0
3150,2.0,72.0,96.0,32.0,287.0,0.0,27.0,47.0,9.0,3.0,35.0,6.0,91.0,5.0,97.0,20.0,69.0,21.0,552.0,8.0,7.0,76.0,219.0,51.0,54.0,169.0,89.0,75.0,66.0,136.0
3199,0.0,1.0,127.0,15.0,66.0,19.0,3.0,101.0,144.0,45.0,9.0,4.0,77.0,7.0,5.0,50.0,11.0,57.0,229.0,336.0,102.0,69.0,380.0,312.0,154.0,17.0,72.0,49.0,23.0,137.0
3248,4.0,2.0,3.0,1.0,98.0,0.0,67.0,37.0,28.0,6.0,85.0,5.0,7.0,23.0,35.0,166.0,57.0,459.0,519.0,104.0,8.0,63.0,18.0,244.0,19.0,27.0,29.0,43.0,21.0,50.0
3297,11.0,1.0,34.0,0.0,9.0,24.0,21.0,8.0,60.0,3.0,12.0,238.0,7.0,4.0,88.0,107.0,101.0,546.0,165.0,73.0,6.0,273.0,331.0,155.0,234.0,18.0,2.0,281.0,149.0,45.0
3346,5.0,1.0,2.0,4.0,8.0,412.0,37.0,54.0,12.0,101.0,269.0,34.0,106.0,6.0,27.0,0.0,93.0,511.0,341.0,3.0,333.0,9.0,26.0,349.0,228.0,21.0,20.0,204.0,38.0,43.0
3395,2.0,3.0,19.0,51.0,16.0,12.0,0.0,165.0,7.0,1.0,134.0,5.0,40.0,70.0,6.0,30.0,131.0,298.0,101.0,107.0,14.0,20.0,13.0,185.0,77.0,26.0,21.0,264.0,191.0,133.0
3444,9.0,53.0,2.0,0.0,153.0,34.0,21.0,4.0,365.0,58.0,318.0,36.0,19.0,62.0,77.0,3.0,55.0,27.0,61.0,26.0,18.0,5.0,158.0,10.0,97.0,29.0,14.0,24.0,12.0,119.0
3493,23.0,1.0,0.0,3.0,182.0,216.0,25.0,16.0,33.0,36.0,115.0,7.0,176.0,571.0,31.0,13.0,19.0,252.0,4.0,57.0,49.0,2.0,298.0,149.0,24.0,392.0,93.0,41.0,6.0,18.0
3542,1.0,72.0,2.0,35.0,10.0,77.0,102.0,87.0,68.0,4.0,111.0,5.0,9.0,171.0,141.0,0.0,76.0,258.0,110.0,13.0,523.0,37.0,417.0,159.0,339.0,415.0,21.0,230.0,12.0,6.0
3591,0.0,2.0,18.0,19.0,55.0,133.0,8.0,11.0,575.0,47.0,26.0,40.0,16.0,50.0,163.0,219.0,89.0,237.0,95.0,1.0,6.0,77.0,255.0,66.0,485.0,57.0,75.0,537.0,3.0,186.0
3640,6.0,126.0,0.0,23.0,11.0,230.0,18.0,27.0,189.0,2.0,145.0,10.0,8.0,130.0,3.0,352.0,62.0,13.0,4.0,7.0,30.0,15.0,39.0,17.0,101.0,21.0,73.0,171.0,20.0,19.0
3689,2.0,3.0,12.0,6.0,54.0,65.0,392.0,46.0,63.0,0.0,189.0,1.0,8.0,25.0,45.0,158.0,42.0,13.0,17.0,11.0,270.0,30.0,111.0,85.0,411.0,279.0,60.0,74.0,4.0,50.0
3738,5.0,346.0,73.0,4.0,7.0,62.0,161.0,37.0,142.0,2.0,20.0,0.0,373.0,178.0,138.0,44.0,19.0,66.0,31.0,194.0,173.0,348.0,21.0,10.0,23.0,42.0,147.0,9.0,32.0,468.0
3787,36.0,10.0,29.0,322.0,0.0,333.0,394.0,1.0,331.0,13.0,120.0,105.0,23.0,4.0,9.0,430.0,2.0,129.0,503.0,345.0,3.0,46.0,14.0,70.0,127.0,54.0,6.0,57.0,45.0,67.0
3836,26.0,66.0,3.0,13.0,2.0,135.0,7.0,5.0,168.0,0.0,177.0,15.0,225.0,6.0,167.0,55.0,75.0,220.0,164.0,90.0,35.0,47.0,77.0,63.0,99.0,79.0,61.0,8.0,32.0,116.0
3885,38.0,13.0,5.0,169.0,40.0,337.0,248.0,0.0,365.0,19.0,177.0,292.0,21.0,14.0,74.0,50.0,41.0,128.0,90.0,77.0,129.0,313.0,22.0,42.0,99.0,11.0,85.0,7.0,10.0,20.0
3934,0.0,91.0,26.0,15.0,1.0,24.0,5.0,265.0,51.0,29.0,21.0,7.0,50.0,4.0,323.0,9.0,140.0,6.0,148.0,3.0,2.0,152.0,8.0,88.0,10.0,159.0,41.0,16.0,179.0,226.0
3983,0.0,499.0,13.0,5.0,8.0,2.0,1.0,17.0,19.0,123.0,6.0,14.0,27.0,20.0,83.0,16.0,38.0,35.0,3.0,36.0,15.0,21.0,72.0,7.0,182.0,12.0,105.0,54.0,549.0,61.0
4032,14.0,547.0,9.0,38.0,89.0,217.0,0.0,58.0,80.0,10.0,199.0,1.0,16.0,37.0,337.0,17.0,241.0,30.0,41.0,75.0,49.0,321.0,59.0,64.0,522.0,56.0,18.0,29.0,47.0,295.0
4081,0.0,16.0,6.0,13.0,21.0,5.0,11.0,112.0,17.0,228.0,15.0,19.0,38.0,294.0,166.0,4.0,290.0,7.0,114.0,1.0,3.0,48.0,127.0,126.0,67.0,50.0,406.0,14.0,200.0,250.0
4130,2.0,57.0,124.0,14.0,1.0,45.0,0.0,15.0,21.0,251.0,9.0,19.0,132.0,4.0,144.0,23.0,61.0,10.0,157.0,3.0,68.0,54.0,5.0,130.0,177.0,262.0,136.0,140.0,51.0,46.0
4179,3.0,15.0,9.0,46.0,0.0,21.0,95.0,176.0,60.0,613.0,38.0,156.0,168.0,141.0,287.0,1.0,51.0,109.0,194.0,28.0,54.0,35.0,36.0,10.0,22.0,161.0,65.0,40.0,34.0,5.0
4228,10.0,20.0,63.0,59.0,126.0,13.0,3.0,14.0,2.0,56.0,134.0,94.0,79.0,0.0,57.0,33.0,224.0,37.0,111.0,271.0,74.0,31.0,6.0,4.0,86.0,41.0,1.0,11.0,89.0,545.0
4277,4.0,136.0,2.0,60.0,39.0,18.0,0.0,20.0,25.0,26.0,11.0,89.0,3.0,12.0,142.0,36.0,377.0,90.0,175.0,49.0,1.0,15.0,73.0,27.0,7.0,29.0,19.0,38.0,8.0,221.0
4326,3.0,43.0,5.0,13.0,101.0,30.0,6.0,106.0,298.0,27.0,18.0,347.0,35.0,251.0,99.0,9.0,486.0,108.0,83.0,169.0,11.0,45.0,444.0,1.0,0.0,95.0,28.0,57.0,198.0,76.0
4375,1.0,5.0,0.0,6.0,56.0,51.0,30.0,61.0,78.0,11.0,306.0,354.0,49.0,3.0,142.0,37.0,257.0,452.0,94.0,123.0,2.0,9.0,273.0,34.0,16.0,17.0,104.0,270.0,193.0,25.0
4424,73.0,19.0,1.0,16.0,141.0,10.0,31.0,25.0,0.0,5.0,9.0,144.0,529.0,11.0,15.0,2.0,3.0,482.0,418.0,50.0,51.0,53.0,12.0,7.0,66.0,374.0,138.0,6.0,57.0,194.0
4473,22.0,38.0,7.0,20.0,4.0,21.0,462.0,93.0,5.0,2.0,11.0,49.0,86.0,8.0,10.0,0.0,1.0,48.0,9.0,533.0,6.0,557.0,12.0,74.0,15.0,19.0,200.0,25.0,301.0,622.0
4522,2.0,7.0,9.0,1.0,16.0,86.0,44.0,20.0,3.0,13.0,23.0,8.0,32.0,30.0,441.0,0.0,6.0,56.0,38.0,19.0,71.0,40.0,10.0,11.0,4.0,12.0,169.0,159.0,42.0,17.0
4571,2.0,17.0,24.0,0.0,85.0,8.0,14.0,67.0,19.0,10.0,7.0,3.0,65.0,13.0,83.0,5.0,1.0,32.0,33.0,4.0,22.0,391.0,62.0,92.0,36.0,23.0,211.0,127.0,121.0,43.0
4620,4.0,69.0,1.0,17.0,2.0,144.0,210.0,120.0,113.0,123.0,7.0,3.0,116.0,6.0,67.0,0.0,34.0,227.0,49.0,13.0,381.0,98.0,23.0,164.0,33.0,349.0,287.0,540.0,156.0,302.0
4669,3.0,127.0,0.0,2.0,16.0,14.0,10.0,22.0,20.0,1.0,18.0,8.0,35.0,12.0,194.0,6.0,7.0,17.0,9.0,45.0,25.0,63.0,5.0,181.0,11.0,454.0,94.0,163.0,81.0,4.0
4718,28.0,27.0,0.0,5.0,6.0,121.0,3.0,2.0,63.0,72.0,4.0,18.0,34.0,16.0,257.0,1.0,12.0,316.0,82.0,137.0,124.0,69.0,284.0,373.0,37.0,285.0,70.0,250.0,308.0,8.0
4767,4.0,9.0,0.0,37.0,28.0,27.0,34.0,84.0,53.0,22.0,7.0,3.0,1.0,88.0,6.0,2.0,5.0,25.0,14.0,56.0,17.0,36.0,59.0,33.0,19.0,131.0,283.0,102.0,359.0,61.0
4816,5.0,29.0,0.0,9.0,33.0,115.0,16.0,39.0,8.0,55.0,1.0,22.0,3.0,24.0,537.0,2.0,6.0,48.0,7.0,217.0,10.0,138.0,161.0,216.0,23.0,42.0,170.0,530.0,406.0,67.0
4865,4.0,7.0,3.0,8.0,25.0,40.0,11.0,9.0,2.0,37.0,1.0,10.0,21.0,18.0,28.0,0.0,29.0,128.0,340.0,379.0,74.0,81.0,94.0,501.0,17.0,45.0,42.0,204.0,425.0,5.0
