,PCDHB6,XXbac-BPG181B23.7,PCDHB2,PTH2R,RNF208,VANGL2,MICALL1,LDOC1,IQCA1,RIN2,HOXA4,KCTD21-AS1,UGT2B7,TMEM117,CTD-2514C3.1,S100A2,HMGA1P4,AKR1E2,GALNT14,TEX15,RP4-555D20.4,RP11-479G22.8,RP11-2B6.3,AMOT,JOSD1,RP11-1042B17.1,RP11-609L3.1,SP140L,PPP1R14C,CTB-36O1.3
841,16.0,2.0,26.0,540.0,1.0,18.0,8.0,6.0,22.0,116.0,50.0,11.0,13.0,285.0,0.0,10.0,114.0,71.0,5.0,557.0,61.0,17.0,9.0,120.0,69.0,83.0,3.0,45.0,20.0,4.0
890,1.0,2.0,0.0,8.0,26.0,31.0,12.0,321.0,38.0,102.0,28.0,4.0,90.0,17.0,13.0,635.0,46.0,9.0,88.0,213.0,370.0,100.0,225.0,349.0,691.0,331.0,41.0,10.0,92.0,21.0
939,3.0,24.0,6.0,18.0,5.0,57.0,26.0,768.0,53.0,56.0,37.0,9.0,48.0,262.0,0.0,82.0,89.0,244.0,205.0,50.0,115.0,168.0,4.0,990.0,66.0,177.0,12.0,41.0,55.0,28.0
988,5.0,15.0,8.0,24.0,21.0,0.0,45.0,13.0,3.0,57.0,17.0,27.0,62.0,59.0,40.0,52.0,23.0,945.0,280.0,46.0,2.0,16.0,234.0,425.0,33.0,38.0,37.0,71.0,54.0,31.0
1037,23.0,0.0,14.0,20.0,12.0,2.0,38.0,22.0,3.0,4.0,52.0,15.0,36.0,32.0,21.0,7.0,40.0,157.0,44.0,25.0,5.0,17.0,28.0,139.0,422.0,137.0,48.0,99.0,88.0,47.0
1086,22.0,0.0,26.0,9.0,28.0,2.0,29.0,5.0,8.0,15.0,19.0,75.0,39.0,7.0,269.0,70.0,83.0,33.0,116.0,24.0,1.0,51.0,125.0,178.0,36.0,52.0,48.0,81.0,32.0,71.0
1135,2.0,9.0,0.0,27.0,12.0,3.0,212.0,34.0,6.0,252.0,13.0,60.0,86.0,16.0,6773.0,25.0,62.0,50.0,8.0,80.0,39.0,285.0,96.0,120.0,470.0,69.0,310.0,32.0,44.0,2912.0
1184,11.0,2.0,152.0,170.0,0.0,7.0,27.0,41.0,49.0,43.0,74.0,68.0,108.0,16.0,146.0,3.0,30.0,197.0,149.0,12.0,37.0,466.0,85.0,144.0,29.0,28.0,160.0,130.0,536.0,21.0
1233,0.0,1.0,16.0,28.0,10.0,11.0,83.0,190.0,29.0,181.0,4.0,35.0,15.0,40.0,142.0,9.0,26.0,579.0,184.0,2.0,6.0,33.0,45.0,8.0,75.0,120.0,203.0,34.0,14.0,36.0
1282,26.0,1.0,45.0,3.0,14.0,18.0,63.0,15.0,8.0,34.0,19.0,53.0,10.0,7.0,61.0,16.0,46.0,1697.0,62.0,94.0,4.0,80.0,186.0,35.0,75.0,126.0,24.0,39.0,76.0,44.0
1331,29.0,0.0,17.0,44.0,31.0,37.0,120.0,13.0,1.0,51.0,6.0,93.0,11.0,25.0,268.0,87.0,156.0,370.0,41.0,1080.0,24.0,88.0,18.0,53.0,64.0,351.0,96.0,97.0,27.0,22.0
1380,19.0,1.0,6.0,127.0,7.0,5.0,400.0,37.0,0.0,25.0,33.0,50.0,34.0,129.0,29.0,24.0,15.0,116.0,107.0,123.0,10.0,9.0,3.0,196.0,258.0,36.0,11.0,12.0,21.0,69.0
1429,79.0,4.0,47.0,15.0,11.0,10.0,196.0,22.0,18.0,59.0,31.0,46.0,23.0,45.0,460.0,60.0,6.0,1015.0,178.0,43.0,0.0,100.0,5.0,344.0,19.0,52.0,147.0,30.0,8.0,221.0
1478,0.0,2.0,1.0,97.0,36.0,19.0,12.0,856.0,168.0,221.0,27.0,24.0,100.0,52.0,186.0,102.0,75.0,22.0,33.0,58.0,127.0,153.0,169.0,129.0,82.0,18.0,140.0,21.0,224.0,6.0
1527,0.0,1.0,23.0,41.0,13.0,2.0,10.0,566.0,79.0,181.0,245.0,26.0,81.0,5.0,54.0,28.0,132.0,35.0,286.0,170.0,212.0,40.0,152.0,7.0,547.0,8.0,209.0,37.0,48.0,121.0
1576,0.0,5.0,2.0,79.0,18.0,4.0,39.0,272.0,51.0,434.0,24.0,8.0,53.0,7.0,45.0,71.0,67.0,81.0,1.0,6.0,477.0,215.0,62.0,41.0,344.0,32.0,58.0,27.0,210.0,381.0
1625,19.0,13.0,23.0,7.0,0.0,10.0,8.0,840.0,91.0,243.0,29.0,141.0,119.0,11.0,34.0,382.0,52.0,294.0,84.0,396.0,32.0,536.0,18.0,20.0,107.0,17.0,190.0,121.0,27.0,108.0
1674,0.0,34.0,14.0,175.0,65.0,10.0,15.0,158.0,40.0,64.0,275.0,36.0,56.0,4.0,22.0,108.0,66.0,27.0,60.0,116.0,156.0,59.0,47.0,5.0,63.0,1.0,46.0,29.0,30.0,2.0
1723,0.0,10.0,2.0,49.0,52.0,1.0,5.0,102.0,142.0,34.0,110.0,9.0,20.0,4.0,611.0,77.0,118.0,3.0,18.0,66.0,902.0,54.0,70.0,11.0,477.0,63.0,157.0,104.0,1638.0,351.0
1772,0.0,7.0,3.0,49.0,13.0,1.0,16.0,245.0,93.0,365.0,53.0,21.0,63.0,8.0,61.0,102.0,71.0,23.0,30.0,2144.0,131.0,105.0,25.0,10.0,117.0,54.0,44.0,56.0,143.0,38.0
1821,0.0,10.0,4.0,71.0,6.0,9.0,37.0,124.0,196.0,319.0,42.0,28.0,60.0,8.0,3.0,13.0,107.0,2.0,1.0,44.0,68.0,227.0,70.0,47.0,444.0,48.0,33.0,59.0,83.0,93.0
1870,0.0,84.0,1.0,49.0,3.0,5.0,8.0,113.0,82.0,41.0,10.0,15.0,17.0,6.0,335.0,53.0,66.0,2.0,40.0,65.0,388.0,158.0,28.0,38.0,240.0,26.0,75.0,34.0,48.0,77.0
1919,0.0,29.0,3.0,9.0,2.0,25.0,5.0,170.0,310.0,33.0,28.0,57.0,63.0,21.0,36.0,76.0,27.0,6.0,234.0,54.0,88.0,528.0,15.0,4.0,193.0,11.0,523.0,46.0,173.0,1577.0
1968,3.0,1.0,8.0,9.0,7.0,45.0,28.0,77.0,18.0,41.0,381.0,25.0,39.0,158.0,86.0,13.0,12.0,468.0,0.0,284.0,11.0,14.0,24.0,6.0,62.0,43.0,16.0,26.0,184.0,2.0
2017,85.0,0.0,230.0,40.0,8.0,23.0,37.0,69.0,12.0,13.0,63.0,131.0,83.0,200.0,655.0,9.0,44.0,2585.0,1.0,152.0,3.0,5.0,221.0,19.0,79.0,16.0,174.0,20.0,4.0,10.0
2066,243.0,2.0,101.0,17.0,11.0,90.0,9.0,0.0,83.0,10.0,22.0,192.0,31.0,37.0,172.0,67.0,6.0,44.0,1.0,182.0,28.0,12.0,240.0,53.0,5.0,69.0,58.0,48.0,81.0,21.0
2115,6.0,0.0,4.0,72.0,50.0,362.0,3.0,16.0,30.0,7.0,122.0,46.0,439.0,55.0,721.0,27.0,1.0,376.0,18.0,126.0,12.0,20.0,35.0,70.0,53.0,47.0,24.0,308.0,197.0,10.0
2164,5.0,0.0,16.0,10.0,31.0,85.0,15.0,2.0,4.0,1.0,6.0,72.0,68.0,53.0,60.0,42.0,29.0,57.0,12.0,288.0,20.0,14.0,18.0,69.0,17.0,96.0,40.0,9.0,74.0,8.0
2213,17.0,0.0,15.0,62.0,2.0,25.0,12.0,1.0,18.0,39.0,20.0,30.0,35.0,14.0,525.0,7.0,11.0,566.0,5.0,133.0,10.0,115.0,66.0,97.0,102.0,81.0,32.0,80.0,119.0,6.0
2262,65.0,1.0,75.0,49.0,11.0,19.0,8.0,3.0,34.0,6.0,10.0,73.0,42.0,13.0,655.0,25.0,2.0,586.0,5.0,624.0,164.0,37.0,154.0,244.0,26.0,181.0,57.0,22.0,172.0,14.0
2311,8.0,0.0,1.0,44.0,4.0,6.0,5.0,10.0,64.0,27.0,85.0,63.0,94.0,33.0,750.0,31.0,19.0,897.0,3.0,60.0,12.0,65.0,92.0,13.0,22.0,53.0,38.0,24.0,225.0,20.0
2360,8.0,2.0,7.0,32.0,31.0,5.0,6.0,3016.0,99.0,126.0,357.0,48.0,162.0,12.0,1986.0,160.0,73.0,4.0,1.0,802.0,571.0,124.0,1138.0,81.0,92.0,5890.0,131.0,201.0,29.0,9.0
2409,29.0,4.0,104.0,31.0,75.0,78.0,23.0,107.0,0.0,13.0,189.0,146.0,95.0,17.0,219.0,8.0,5.0,2144.0,9.0,143.0,46.0,10.0,60.0,53.0,3.0,47.0,77.0,207.0,39.0,49.0
2458,22.0,45.0,10.0,2.0,59.0,128.0,74.0,31.0,6.0,0.0,8.0,18.0,15.0,29.0,3.0,106.0,24.0,4.0,19.0,37.0,33.0,91.0,12.0,53.0,129.0,51.0,178.0,7.0,48.0,542.0
2507,0.0,34.0,2.0,4.0,39.0,307.0,13.0,236.0,5.0,14.0,85.0,22.0,11.0,29.0,12.0,25.0,40.0,1.0,170.0,49.0,147.0,122.0,3.0,44.0,23.0,64.0,82.0,177.0,53.0,962.0
2556,6.0,29.0,4.0,5.0,90.0,107.0,63.0,539.0,1.0,31.0,246.0,238.0,283.0,15.0,72.0,406.0,73.0,0.0,99.0,424.0,201.0,47.0,41.0,316.0,153.0,67.0,26.0,17.0,61.0,7469.0
2605,8.0,17.0,3.0,22.0,46.0,38.0,24.0,4.0,6.0,1.0,29.0,36.0,30.0,40.0,2.0,42.0,27.0,47.0,0.0,101.0,329.0,20.0,12.0,7.0,54.0,159.0,49.0,56.0,190.0,185.0
2654,14.0,61.0,115.0,2.0,7.0,13.0,58.0,9.0,86.0,36.0,24.0,60.0,16.0,66.0,0.0,113.0,4.0,134.0,1.0,29.0,48.0,11.0,10.0,3.0,21.0,57.0,138.0,19.0,49.0,665.0
2703,5.0,20.0,14.0,0.0,29.0,96.0,27.0,16.0,31.0,66.0,9.0,54.0,22.0,81.0,1.0,99.0,32.0,10.0,3.0,8.0,15.0,28.0,134.0,40.0,79.0,143.0,64.0,63.0,308.0,472.0
2752,13.0,15.0,24.0,8.0,85.0,140.0,98.0,76.0,2.0,34.0,157.0,35.0,3.0,45.0,1275.0,91.0,36.0,28.0,1.0,20.0,100.0,115.0,83.0,61.0,174.0,29.0,277.0,97.0,255.0,473.0
2801,3.0,15.0,0.0,6.0,12.0,499.0,22.0,30.0,23.0,2.0,57.0,11.0,20.0,248.0,1.0,142.0,61.0,5.0,27.0,50.0,34.0,184.0,9.0,18.0,33.0,45.0,127.0,32.0,59.0,36.0
2850,6.0,46.0,34.0,5.0,120.0,175.0,28.0,109.0,21.0,25.0,99.0,78.0,154.0,222.0,35.0,32.0,7.0,84.0,57.0,117.0,41.0,24.0,45.0,38.0,3.0,54.0,106.0,33.0,114.0,268.0
2899,0.0,11.0,25.0,1.0,19.0,151.0,16.0,70.0,30.0,3.0,13.0,52.0,17.0,14.0,21.0,27.0,74.0,10.0,7.0,376.0,300.0,163.0,15.0,6.0,129.0,8.0,98.0,123.0,195.0,403.0
2948,75.0,14.0,59.0,33.0,3.0,41.0,42.0,11.0,111.0,28.0,15.0,36.0,8.0,49.0,553.0,16.0,138.0,744.0,18.0,48.0,38.0,39.0,13.0,10.0,83.0,474.0,108.0,9.0,6.0,5.0
2997,91.0,49.0,219.0,0.0,1.0,24.0,22.0,2.0,258.0,6.0,13.0,780.0,18.0,20.0,3.0,28.0,68.0,209.0,80.0,204.0,9.0,12.0,17.0,31.0,87.0,114.0,55.0,57.0,16.0,139.0
3046,14.0,8.0,5.0,4.0,12.0,52.0,31.0,3.0,86.0,25.0,49.0,27.0,66.0,77.0,10.0,0.0,74.0,477.0,104.0,20.0,23.0,18.0,96.0,6.0,160.0,69.0,34.0,151.0,222.0,144.0
3095,28.0,1.0,76.0,21.0,6.0,0.0,5.0,11.0,156.0,35.0,91.0,51.0,9.0,18.0,1481.0,3.0,71.0,189.0,7.0,34.0,197.0,304.0,16.0,4.0,204.0,3213.0,187.0,231.0,94.0,37.0
3144,18.0,8.0,9.0,1.0,3.0,4.0,7.0,111.0,109.0,6.0,71.0,108.0,12.0,88.0,5.0,50.0,43.0,158.0,207.0,51.0,19.0,2.0,36.0,0.0,41.0,195.0,22.0,48.0,13.0,54.0
3193,10.0,16.0,13.0,21.0,1.0,65.0,8.0,6.0,290.0,4.0,14.0,42.0,31.0,51.0,120.0,24.0,49.0,45.0,271.0,38.0,82.0,23.0,3.0,12.0,27.0,118.0,22.0,66.0,9.0,2.0
3242,26.0,39.0,14.0,72.0,7.0,1.0,11.0,81.0,382.0,22.0,38.0,189.0,23.0,69.0,12.0,310.0,470.0,71.0,881.0,63.0,317.0,90.0,40.0,6.0,115.0,50.0,123.0,4.0,17.0,100.0
3291,24.0,23.0,44.0,5.0,0.0,4.0,16.0,77.0,211.0,10.0,79.0,78.0,1.0,92.0,114.0,11.0,9.0,345.0,412.0,37.0,36.0,19.0,27.0,106.0,41.0,275.0,13.0,59.0,52.0,49.0
3340,46.0,10.0,29.0,3.0,19.0,24.0,5.0,2.0,160.0,0.0,35.0,30.0,7.0,50.0,31.0,37.0,68.0,43.0,196.0,16.0,25.0,33.0,15.0,49.0,139.0,70.0,40.0,51.0,150.0,158.0
3389,7.0,2.0,8.0,1.0,175.0,30.0,13.0,11.0,124.0,9.0,700.0,129.0,226.0,116.0,4.0,6.0,52.0,2479.0,2592.0,50.0,35.0,14.0,19.0,10.0,15.0,168.0,61.0,59.0,26.0,203.0
3438,4.0,24.0,1.0,80.0,438.0,0.0,37.0,10.0,9.0,43.0,2030.0,110.0,1093.0,25.0,143.0,561.0,206.0,11.0,356.0,32.0,124.0,35.0,340.0,41.0,68.0,14.0,36.0,49.0,26.0,56.0
3487,2.0,6.0,34.0,62.0,577.0,11.0,96.0,8.0,23.0,59.0,290.0,41.0,68.0,15.0,9.0,107.0,64.0,60.0,44.0,16.0,65.0,7.0,200.0,210.0,39.0,14.0,10.0,133.0,77.0,374.0
3536,0.0,10.0,2.0,16.0,131.0,52.0,60.0,1.0,3.0,79.0,151.0,38.0,39.0,4.0,8.0,226.0,203.0,11.0,7.0,41.0,122.0,21.0,387.0,56.0,24.0,18.0,14.0,177.0,51.0,50.0
3585,1.0,13.0,4.0,62.0,206.0,6.0,141.0,23.0,80.0,7.0,332.0,44.0,59.0,265.0,0.0,55.0,355.0,2.0,35.0,9.0,65.0,29.0,500.0,99.0,100.0,56.0,16.0,129.0,69.0,92.0
3634,0.0,28.0,10.0,109.0,93.0,11.0,41.0,1.0,14.0,72.0,329.0,101.0,62.0,12.0,43.0,37.0,317.0,7.0,23.0,52.0,204.0,107.0,307.0,77.0,19.0,9.0,18.0,392.0,470.0,30.0
3683,3.0,2.0,55.0,13.0,122.0,15.0,37.0,76.0,19.0,26.0,2507.0,410.0,462.0,18.0,8.0,46.0,39.0,16.0,115.0,228.0,144.0,53.0,2553.0,339.0,27.0,38.0,10.0,1950.0,289.0,352.0
3732,12.0,2.0,25.0,76.0,738.0,28.0,29.0,15.0,21.0,4.0,396.0,175.0,172.0,63.0,30.0,70.0,84.0,9.0,10.0,47.0,475.0,7.0,402.0,136.0,27.0,17.0,22.0,126.0,78.0,49.0
3781,5.0,16.0,9.0,77.0,1017.0,36.0,44.0,0.0,1.0,35.0,276.0,635.0,85.0,4.0,201.0,93.0,57.0,25.0,19.0,49.0,167.0,24.0,108.0,259.0,28.0,193.0,46.0,174.0,74.0,68.0
3830,0.0,4.0,6.0,46.0,212.0,84.0,38.0,1.0,9.0,74.0,260.0,104.0,100.0,27.0,22.0,197.0,187.0,2.0,101.0,39.0,48.0,12.0,86.0,95.0,24.0,14.0,82.0,576.0,18.0,60.0
3879,4.0,1.0,33.0,181.0,117.0,13.0,8.0,44.0,3.0,27.0,548.0,83.0,59.0,30.0,116.0,80.0,119.0,9.0,53.0,32.0,37.0,16.0,152.0,121.0,55.0,14.0,84.0,1417.0,50.0,56.0
3928,1.0,0.0,12.0,24.0,68.0,15.0,27.0,2.0,26.0,16.0,3.0,36.0,97.0,55.0,64.0,57.0,18.0,10.0,337.0,29.0,5.0,11.0,14.0,54.0,17.0,59.0,70.0,21.0,8.0,303.0
3977,689.0,28.0,2.0,8.0,65.0,6.0,10.0,3.0,103.0,0.0,31.0,49.0,61.0,92.0,187.0,97.0,58.0,1.0,41.0,44.0,42.0,22.0,60.0,19.0,39.0,38.0,34.0,7.0,43.0,89.0
4026,4.0,62.0,10.0,283.0,22.0,3.0,6.0,63.0,45.0,59.0,182.0,36.0,88.0,113.0,334.0,333.0,107.0,2.0,344.0,135.0,56.0,19.0,90.0,18.0,40.0,89.0,67.0,1.0,0.0,201.0
4075,2.0,16.0,22.0,10.0,168.0,19.0,24.0,1.0,30.0,20.0,7.0,32.0,27.0,43.0,2002.0,41.0,73.0,48.0,74.0,36.0,5.0,8.0,107.0,25.0,11.0,95.0,68.0,31.0,3.0,75.0
4124,1.0,2.0,3.0,18.0,60.0,20.0,6.0,9.0,13.0,17.0,28.0,16.0,143.0,34.0,180.0,65.0,91.0,0.0,75.0,157.0,82.0,52.0,94.0,31.0,15.0,419.0,135.0,43.0,30.0,5.0
4173,7.0,0.0,20.0,21.0,66.0,6.0,36.0,12.0,30.0,28.0,40.0,15.0,25.0,29.0,1551.0,31.0,77.0,1.0,242.0,45.0,4.0,24.0,169.0,112.0,86.0,196.0,145.0,88.0,197.0,89.0
4222,0.0,1.0,3.0,10.0,73.0,2.0,12.0,5.0,14.0,23.0,90.0,17.0,94.0,95.0,2852.0,103.0,25.0,31.0,159.0,51.0,35.0,100.0,42.0,8.0,6.0,26.0,74.0,66.0,32.0,143.0
4271,8.0,17.0,9.0,7.0,18.0,34.0,25.0,1.0,2.0,6.0,12.0,14.0,13.0,122.0,1443.0,69.0,54.0,4.0,109.0,44.0,3.0,10.0,20.0,0.0,31.0,42.0,425.0,19.0,5.0,121.0
4320,0.0,24.0,3.0,97.0,4.0,6.0,7.0,1.0,31.0,87.0,12.0,43.0,27.0,10.0,1244.0,26.0,33.0,19.0,30.0,36.0,9.0,56.0,5.0,13.0,55.0,72.0,46.0,29.0,15.0,986.0
4369,18.0,31.0,1.0,21.0,52.0,15.0,58.0,26.0,27.0,100.0,154.0,13.0,79.0,378.0,293.0,4.0,40.0,6.0,92.0,102.0,33.0,19.0,49.0,53.0,48.0,38.0,22.0,143.0,7.0,520.0
4418,7.0,8.0,39.0,0.0,3.0,196.0,46.0,290.0,299.0,25.0,59.0,38.0,53.0,146.0,1.0,18.0,4.0,137.0,15.0,14.0,54.0,23.0,85.0,142.0,9.0,27.0,19.0,66.0,92.0,5.0
4467,2.0,23.0,3.0,0.0,263.0,69.0,64.0,25.0,19.0,28.0,73.0,15.0,27.0,66.0,55.0,20.0,54.0,1.0,22.0,7.0,44.0,59.0,60.0,186.0,8.0,14.0,88.0,216.0,94.0,243.0
4516,0.0,3.0,1.0,2.0,80.0,178.0,20.0,1197.0,39.0,609.0,13.0,8.0,160.0,38.0,88.0,40.0,41.0,67.0,22.0,44.0,346.0,138.0,217.0,857.0,71.0,429.0,125.0,47.0,53.0,5.0
4565,1.0,8.0,17.0,0.0,31.0,341.0,53.0,4.0,20.0,132.0,113.0,3.0,7.0,10.0,14.0,28.0,11.0,69.0,54.0,33.0,18.0,13.0,111.0,210.0,2.0,46.0,35.0,166.0,62.0,9.0
4614,1.0,3.0,5.0,0.0,15.0,521.0,91.0,39.0,30.0,292.0,21.0,4.0,50.0,31.0,9.0,26.0,7.0,126.0,12.0,8.0,27.0,16.0,170.0,146.0,2.0,125.0,20.0,122.0,29.0,6.0
4663,60.0,28.0,24.0,0.0,63.0,285.0,164.0,72.0,80.0,79.0,30.0,32.0,50.0,56.0,1.0,9.0,4.0,94.0,8.0,7.0,25.0,20.0,43.0,271.0,3.0,6.0,103.0,186.0,36.0,33.0
4712,1.0,3.0,41.0,0.0,10.0,556.0,35.0,8.0,38.0,234.0,36.0,4.0,26.0,18.0,80.0,12.0,50.0,32.0,16.0,2.0,9.0,99.0,143.0,118.0,29.0,5.0,74.0,593.0,79.0,173.0
4761,4.0,30.0,45.0,9.0,64.0,528.0,87.0,6.0,73.0,142.0,34.0,15.0,29.0,145.0,0.0,14.0,22.0,17.0,85.0,24.0,227.0,69.0,86.0,191.0,2.0,18.0,43.0,59.0,96.0,3.0
4810,6.0,18.0,2.0,0.0,49.0,69.0,51.0,24.0,22.0,64.0,105.0,10.0,82.0,12.0,45.0,46.0,41.0,32.0,145.0,1.0,20.0,35.0,102.0,514.0,7.0,25.0,19.0,197.0,111.0,5.0
4859,3.0,11.0,2.0,0.0,13.0,186.0,141.0,19.0,48.0,53.0,210.0,9.0,67.0,35.0,1.0,10.0,6.0,55.0,57.0,61.0,49.0,4.0,59.0,62.0,8.0,12.0,16.0,262.0,52.0,14.0
