,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-1294,hsa-miR-671-5p,hsa-miR-188-3p,hsa-miR-384,hsa-miR-412,hsa-miR-133b,hsa-miR-512-3p,hsa-miR-1179,hsa-miR-591,hsa-miR-583,hsa-miR-584,hsa-miR-579,hsa-miR-582-3p,hsa-miR-586,hsa-miR-582-5p,hsa-miR-580,hsa-miR-578,hsa-miR-587,hsa-miR-576-5p,hsa-miR-577,hsa-miR-581,hsa-miR-588,hsa-miR-576-3p,hsa-miR-589,hsa-miR-574-5p,hsa-miR-590-3p,hsa-miR-590-5p,hsa-miR-625
853,13.0,6.0,401.0,33.0,12.0,7.0,8.0,1.0,2.0,40.0,89.0,51.0,20.0,50.0,46.0,18.0,49.0,48.0,53.0,98.0,56.0,54.0,52.0,94.0,57.0,93.0,58.0,92.0,90.0,41.0
902,0.0,19.0,349.0,267.0,8.0,17.0,14.0,33.0,45.0,434.0,22.0,57.0,2.0,56.0,59.0,53.0,62.0,58.0,55.0,52.0,50.0,54.0,60.0,61.0,51.0,47.0,49.0,46.0,48.0,68.0
951,7.0,162.0,21.0,10.0,5.0,490.0,0.0,1.0,43.0,41.0,94.0,48.0,47.0,57.0,52.0,46.0,50.0,56.0,60.0,45.0,25.0,63.0,66.0,59.0,65.0,96.0,54.0,68.0,97.0,53.0
1000,2.0,23.0,349.0,265.0,12.0,24.0,22.0,45.0,27.0,435.0,47.0,63.0,52.0,55.0,59.0,61.0,62.0,56.0,54.0,60.0,50.0,53.0,58.0,57.0,32.0,65.0,96.0,64.0,48.0,46.0
1049,4.0,22.0,348.0,3.0,383.0,18.0,5.0,343.0,276.0,35.0,79.0,54.0,61.0,52.0,57.0,47.0,44.0,53.0,60.0,48.0,34.0,51.0,56.0,59.0,50.0,43.0,33.0,58.0,55.0,31.0
1098,3.0,117.0,0.0,2.0,382.0,4.0,494.0,361.0,76.0,38.0,44.0,59.0,56.0,23.0,61.0,69.0,60.0,64.0,66.0,53.0,104.0,68.0,62.0,52.0,137.0,41.0,105.0,42.0,43.0,31.0
1147,4.0,26.0,8.0,322.0,385.0,488.0,491.0,20.0,258.0,44.0,33.0,53.0,54.0,48.0,51.0,55.0,52.0,49.0,47.0,56.0,45.0,46.0,50.0,57.0,58.0,59.0,31.0,77.0,78.0,22.0
1196,2.0,27.0,5.0,15.0,399.0,25.0,493.0,362.0,262.0,3.0,98.0,52.0,53.0,47.0,50.0,54.0,51.0,55.0,46.0,58.0,44.0,45.0,48.0,74.0,43.0,100.0,49.0,75.0,96.0,4.0
1245,4.0,15.0,400.0,5.0,397.0,17.0,2.0,360.0,0.0,434.0,35.0,21.0,29.0,108.0,43.0,68.0,71.0,56.0,109.0,67.0,144.0,143.0,57.0,66.0,3.0,22.0,147.0,64.0,62.0,23.0
1294,2.0,12.0,26.0,4.0,5.0,34.0,6.0,8.0,43.0,434.0,10.0,54.0,46.0,47.0,48.0,85.0,45.0,53.0,57.0,71.0,59.0,70.0,49.0,98.0,60.0,97.0,25.0,94.0,93.0,39.0
1343,16.0,13.0,6.0,3.0,28.0,15.0,1.0,17.0,39.0,434.0,35.0,63.0,62.0,69.0,66.0,58.0,65.0,68.0,70.0,59.0,75.0,71.0,67.0,52.0,34.0,46.0,109.0,47.0,48.0,78.0
1392,1.0,17.0,3.0,31.0,7.0,14.0,15.0,5.0,530.0,43.0,77.0,70.0,29.0,65.0,68.0,72.0,69.0,66.0,64.0,73.0,62.0,63.0,67.0,74.0,114.0,39.0,115.0,76.0,60.0,35.0
1441,12.0,161.0,346.0,287.0,380.0,28.0,14.0,26.0,119.0,434.0,93.0,42.0,43.0,22.0,46.0,45.0,44.0,48.0,51.0,67.0,63.0,65.0,47.0,95.0,62.0,69.0,61.0,94.0,68.0,1.0
1490,1.0,164.0,19.0,2.0,380.0,8.0,493.0,29.0,37.0,32.0,9.0,50.0,48.0,55.0,52.0,47.0,51.0,54.0,66.0,82.0,62.0,61.0,53.0,67.0,64.0,68.0,45.0,96.0,94.0,63.0
1539,21.0,164.0,11.0,4.0,399.0,488.0,491.0,362.0,1.0,37.0,45.0,54.0,53.0,58.0,55.0,52.0,63.0,57.0,59.0,51.0,27.0,60.0,56.0,50.0,61.0,62.0,87.0,47.0,46.0,75.0
1588,4.0,21.0,0.0,5.0,399.0,18.0,493.0,361.0,29.0,434.0,48.0,54.0,63.0,47.0,46.0,62.0,57.0,45.0,56.0,61.0,36.0,55.0,59.0,60.0,64.0,58.0,53.0,49.0,44.0,71.0
1637,0.0,18.0,456.0,5.0,7.0,29.0,15.0,1.0,282.0,36.0,84.0,58.0,57.0,55.0,63.0,67.0,61.0,66.0,27.0,68.0,62.0,64.0,65.0,51.0,56.0,49.0,52.0,46.0,59.0,95.0
1686,16.0,11.0,6.0,1.0,397.0,13.0,492.0,18.0,39.0,47.0,49.0,64.0,31.0,70.0,67.0,63.0,65.0,69.0,71.0,62.0,141.0,75.0,68.0,61.0,110.0,59.0,109.0,72.0,48.0,80.0
1735,12.0,20.0,1.0,26.0,7.0,2.0,492.0,361.0,0.0,36.0,48.0,50.0,63.0,55.0,58.0,56.0,57.0,59.0,54.0,62.0,30.0,51.0,46.0,61.0,49.0,60.0,47.0,53.0,52.0,31.0
1784,43.0,32.0,3.0,39.0,2.0,27.0,493.0,359.0,9.0,34.0,100.0,64.0,49.0,55.0,52.0,63.0,50.0,54.0,56.0,47.0,58.0,57.0,53.0,44.0,59.0,46.0,60.0,45.0,51.0,31.0
1833,16.0,25.0,0.0,4.0,395.0,489.0,2.0,42.0,1.0,32.0,85.0,58.0,56.0,57.0,63.0,55.0,61.0,59.0,52.0,54.0,62.0,53.0,60.0,47.0,46.0,49.0,48.0,82.0,65.0,33.0
1882,16.0,13.0,0.0,25.0,4.0,488.0,491.0,18.0,5.0,2.0,22.0,59.0,60.0,110.0,93.0,61.0,58.0,168.0,109.0,72.0,147.0,146.0,108.0,66.0,148.0,67.0,149.0,68.0,69.0,84.0
1931,220.0,30.0,0.0,9.0,398.0,29.0,492.0,344.0,23.0,2.0,36.0,56.0,57.0,51.0,54.0,58.0,55.0,52.0,35.0,60.0,49.0,50.0,53.0,78.0,48.0,104.0,59.0,79.0,98.0,20.0
1980,33.0,119.0,3.0,4.0,384.0,487.0,14.0,1.0,30.0,434.0,44.0,64.0,66.0,56.0,20.0,67.0,63.0,58.0,104.0,68.0,156.0,106.0,60.0,69.0,108.0,70.0,107.0,53.0,52.0,78.0
2029,41.0,30.0,17.0,11.0,10.0,488.0,29.0,0.0,42.0,434.0,99.0,55.0,56.0,37.0,53.0,57.0,54.0,51.0,36.0,76.0,48.0,49.0,52.0,77.0,60.0,78.0,61.0,79.0,98.0,185.0
2078,3.0,6.0,403.0,0.0,4.0,487.0,33.0,30.0,326.0,435.0,97.0,55.0,19.0,69.0,70.0,54.0,56.0,62.0,58.0,53.0,60.0,66.0,61.0,50.0,101.0,100.0,157.0,72.0,99.0,59.0
2127,4.0,161.0,22.0,0.0,380.0,491.0,9.0,1.0,122.0,31.0,92.0,48.0,46.0,54.0,50.0,69.0,49.0,52.0,55.0,71.0,58.0,57.0,51.0,98.0,60.0,72.0,61.0,97.0,93.0,34.0
2176,9.0,13.0,22.0,262.0,383.0,489.0,10.0,345.0,39.0,435.0,96.0,58.0,69.0,26.0,60.0,56.0,59.0,63.0,67.0,55.0,53.0,54.0,61.0,50.0,51.0,62.0,47.0,97.0,98.0,65.0
2225,189.0,7.0,347.0,3.0,397.0,486.0,489.0,1.0,38.0,434.0,56.0,65.0,64.0,105.0,67.0,63.0,66.0,73.0,173.0,62.0,143.0,142.0,68.0,61.0,144.0,59.0,145.0,58.0,57.0,79.0
2274,189.0,127.0,0.0,25.0,24.0,488.0,491.0,1.0,327.0,436.0,56.0,68.0,66.0,107.0,70.0,65.0,69.0,90.0,157.0,63.0,108.0,109.0,71.0,61.0,144.0,32.0,145.0,59.0,72.0,82.0
2323,233.0,32.0,350.0,2.0,366.0,490.0,31.0,328.0,4.0,44.0,97.0,51.0,50.0,56.0,53.0,49.0,52.0,55.0,57.0,48.0,59.0,58.0,54.0,46.0,61.0,78.0,38.0,103.0,79.0,275.0
2372,36.0,122.0,10.0,2.0,28.0,489.0,492.0,6.0,282.0,38.0,47.0,67.0,66.0,19.0,69.0,63.0,68.0,71.0,107.0,62.0,3.0,157.0,70.0,61.0,144.0,60.0,146.0,59.0,50.0,83.0
2421,35.0,16.0,10.0,24.0,399.0,487.0,490.0,346.0,0.0,433.0,23.0,65.0,64.0,73.0,67.0,63.0,66.0,69.0,105.0,62.0,107.0,106.0,68.0,61.0,142.0,59.0,143.0,71.0,48.0,79.0
2470,16.0,18.0,362.0,27.0,29.0,489.0,492.0,360.0,0.0,434.0,22.0,68.0,67.0,171.0,70.0,66.0,69.0,107.0,20.0,65.0,109.0,108.0,71.0,64.0,142.0,63.0,143.0,62.0,61.0,83.0
2519,29.0,129.0,9.0,33.0,32.0,16.0,490.0,362.0,327.0,435.0,1.0,71.0,70.0,18.0,77.0,67.0,73.0,158.0,145.0,66.0,148.0,146.0,108.0,65.0,149.0,64.0,150.0,63.0,61.0,22.0
2568,1.0,162.0,27.0,13.0,10.0,19.0,17.0,346.0,0.0,436.0,83.0,54.0,18.0,62.0,48.0,52.0,59.0,61.0,50.0,51.0,57.0,56.0,60.0,21.0,58.0,49.0,55.0,80.0,64.0,75.0
2617,16.0,123.0,2.0,261.0,398.0,489.0,13.0,360.0,9.0,1.0,62.0,70.0,69.0,109.0,105.0,68.0,71.0,140.0,108.0,67.0,19.0,143.0,107.0,66.0,145.0,65.0,146.0,64.0,63.0,23.0
2666,22.0,178.0,16.0,10.0,8.0,28.0,27.0,348.0,1.0,43.0,35.0,53.0,54.0,48.0,51.0,55.0,52.0,49.0,47.0,56.0,59.0,58.0,50.0,57.0,60.0,34.0,61.0,68.0,77.0,184.0
2715,3.0,5.0,347.0,7.0,2.0,6.0,4.0,29.0,1.0,35.0,93.0,23.0,48.0,58.0,67.0,47.0,49.0,57.0,59.0,51.0,61.0,60.0,56.0,52.0,27.0,96.0,63.0,69.0,94.0,68.0
2764,2.0,163.0,3.0,8.0,397.0,11.0,31.0,358.0,1.0,431.0,16.0,45.0,61.0,54.0,49.0,98.0,48.0,53.0,57.0,70.0,64.0,59.0,50.0,97.0,56.0,96.0,65.0,95.0,94.0,63.0
2813,0.0,159.0,1.0,265.0,400.0,10.0,490.0,345.0,45.0,34.0,17.0,49.0,53.0,22.0,50.0,67.0,48.0,54.0,58.0,82.0,60.0,59.0,52.0,70.0,63.0,94.0,65.0,93.0,91.0,37.0
2862,11.0,13.0,25.0,260.0,381.0,491.0,495.0,343.0,36.0,42.0,16.0,20.0,46.0,56.0,49.0,47.0,48.0,55.0,58.0,51.0,60.0,59.0,54.0,67.0,61.0,97.0,62.0,69.0,68.0,40.0
2911,4.0,11.0,1.0,264.0,27.0,490.0,493.0,361.0,5.0,37.0,2.0,68.0,69.0,62.0,66.0,71.0,67.0,63.0,61.0,73.0,59.0,23.0,65.0,64.0,58.0,55.0,106.0,49.0,44.0,80.0
2960,2.0,13.0,349.0,263.0,7.0,12.0,11.0,33.0,34.0,435.0,98.0,52.0,47.0,27.0,55.0,53.0,46.0,58.0,60.0,50.0,62.0,61.0,54.0,51.0,63.0,68.0,64.0,83.0,70.0,67.0
3009,4.0,17.0,348.0,20.0,1.0,6.0,12.0,14.0,0.0,39.0,19.0,72.0,71.0,144.0,107.0,70.0,76.0,108.0,145.0,69.0,147.0,146.0,140.0,68.0,148.0,66.0,150.0,65.0,62.0,84.0
3058,8.0,4.0,23.0,10.0,384.0,13.0,12.0,345.0,278.0,5.0,84.0,45.0,52.0,59.0,53.0,47.0,44.0,58.0,60.0,48.0,63.0,62.0,57.0,49.0,64.0,50.0,65.0,54.0,68.0,70.0
3107,4.0,26.0,3.0,11.0,383.0,488.0,491.0,7.0,22.0,2.0,35.0,52.0,53.0,47.0,57.0,54.0,58.0,48.0,46.0,55.0,44.0,45.0,49.0,56.0,51.0,76.0,59.0,93.0,77.0,253.0
3156,35.0,118.0,3.0,262.0,383.0,15.0,4.0,8.0,2.0,37.0,21.0,64.0,62.0,105.0,66.0,61.0,65.0,96.0,155.0,59.0,142.0,106.0,68.0,58.0,143.0,56.0,144.0,69.0,55.0,82.0
3205,6.0,110.0,12.0,263.0,398.0,492.0,8.0,19.0,32.0,433.0,50.0,64.0,65.0,58.0,62.0,59.0,63.0,60.0,56.0,51.0,54.0,55.0,67.0,39.0,53.0,40.0,70.0,41.0,42.0,28.0
3254,11.0,16.0,400.0,261.0,2.0,13.0,7.0,345.0,41.0,42.0,49.0,68.0,52.0,59.0,56.0,51.0,54.0,58.0,60.0,44.0,62.0,61.0,57.0,45.0,63.0,46.0,64.0,47.0,48.0,94.0
3303,0.0,27.0,13.0,324.0,5.0,29.0,28.0,11.0,43.0,45.0,36.0,51.0,53.0,61.0,49.0,54.0,50.0,60.0,70.0,55.0,77.0,62.0,48.0,56.0,76.0,57.0,35.0,58.0,59.0,186.0
3352,8.0,12.0,27.0,2.0,5.0,487.0,10.0,28.0,42.0,41.0,19.0,63.0,61.0,51.0,65.0,58.0,64.0,47.0,80.0,67.0,133.0,32.0,66.0,56.0,97.0,53.0,29.0,49.0,48.0,60.0
3401,13.0,4.0,364.0,12.0,0.0,8.0,9.0,347.0,326.0,34.0,19.0,55.0,68.0,62.0,59.0,50.0,58.0,61.0,63.0,51.0,66.0,65.0,60.0,48.0,67.0,49.0,99.0,54.0,84.0,47.0
3450,0.0,165.0,21.0,267.0,399.0,9.0,7.0,29.0,327.0,434.0,13.0,55.0,51.0,60.0,70.0,52.0,50.0,59.0,61.0,54.0,64.0,62.0,71.0,87.0,65.0,73.0,66.0,101.0,99.0,49.0
3499,25.0,159.0,350.0,12.0,9.0,22.0,19.0,0.0,479.0,437.0,45.0,60.0,51.0,52.0,58.0,57.0,59.0,53.0,50.0,56.0,46.0,44.0,54.0,55.0,47.0,62.0,48.0,61.0,49.0,70.0
3548,21.0,10.0,363.0,265.0,399.0,489.0,11.0,39.0,84.0,2.0,74.0,69.0,67.0,77.0,71.0,66.0,70.0,73.0,109.0,65.0,145.0,159.0,72.0,63.0,146.0,62.0,147.0,61.0,59.0,23.0
3597,8.0,160.0,18.0,265.0,0.0,487.0,490.0,31.0,279.0,435.0,89.0,46.0,59.0,52.0,49.0,96.0,48.0,51.0,55.0,68.0,21.0,20.0,50.0,95.0,63.0,93.0,65.0,92.0,90.0,58.0
3646,0.0,29.0,346.0,262.0,17.0,14.0,495.0,343.0,40.0,5.0,66.0,49.0,22.0,23.0,64.0,44.0,50.0,51.0,57.0,45.0,26.0,58.0,52.0,47.0,27.0,48.0,59.0,65.0,95.0,33.0
3695,187.0,16.0,346.0,263.0,383.0,12.0,34.0,0.0,42.0,2.0,17.0,45.0,24.0,55.0,50.0,46.0,49.0,54.0,57.0,68.0,30.0,29.0,67.0,70.0,60.0,69.0,63.0,94.0,93.0,56.0
3744,0.0,17.0,348.0,265.0,10.0,486.0,18.0,29.0,326.0,435.0,47.0,54.0,56.0,59.0,46.0,58.0,49.0,60.0,62.0,52.0,51.0,57.0,45.0,55.0,50.0,53.0,44.0,61.0,48.0,68.0
3793,223.0,31.0,13.0,317.0,5.0,28.0,493.0,345.0,22.0,46.0,98.0,55.0,56.0,51.0,53.0,57.0,54.0,52.0,50.0,58.0,48.0,49.0,59.0,63.0,60.0,77.0,76.0,103.0,97.0,21.0
3842,5.0,21.0,402.0,12.0,11.0,19.0,15.0,346.0,118.0,27.0,47.0,57.0,56.0,52.0,60.0,55.0,59.0,23.0,51.0,54.0,34.0,50.0,48.0,53.0,45.0,62.0,44.0,49.0,61.0,70.0
3891,10.0,161.0,22.0,262.0,30.0,14.0,13.0,0.0,282.0,434.0,67.0,66.0,54.0,64.0,58.0,53.0,55.0,63.0,65.0,51.0,60.0,56.0,61.0,49.0,52.0,46.0,50.0,44.0,59.0,98.0
3940,1.0,6.0,25.0,2.0,11.0,34.0,492.0,31.0,0.0,435.0,96.0,48.0,55.0,56.0,47.0,51.0,49.0,57.0,60.0,70.0,62.0,61.0,69.0,72.0,63.0,99.0,64.0,101.0,97.0,53.0
3989,2.0,34.0,17.0,27.0,12.0,14.0,510.0,16.0,38.0,75.0,62.0,70.0,71.0,65.0,68.0,72.0,69.0,66.0,64.0,73.0,81.0,63.0,67.0,74.0,116.0,32.0,188.0,76.0,77.0,112.0
4038,27.0,140.0,350.0,267.0,402.0,487.0,490.0,346.0,0.0,43.0,62.0,73.0,71.0,145.0,108.0,70.0,103.0,144.0,147.0,69.0,149.0,148.0,167.0,68.0,150.0,3.0,151.0,66.0,65.0,80.0
4087,16.0,28.0,0.0,322.0,6.0,488.0,491.0,361.0,23.0,434.0,101.0,55.0,56.0,50.0,53.0,57.0,54.0,51.0,49.0,68.0,47.0,48.0,52.0,77.0,46.0,34.0,58.0,98.0,99.0,185.0
4136,17.0,22.0,25.0,264.0,5.0,490.0,493.0,344.0,29.0,434.0,95.0,52.0,51.0,56.0,54.0,50.0,53.0,44.0,62.0,47.0,48.0,57.0,60.0,46.0,59.0,23.0,61.0,45.0,63.0,69.0
4185,16.0,11.0,346.0,261.0,378.0,491.0,3.0,340.0,0.0,432.0,35.0,58.0,57.0,66.0,62.0,55.0,60.0,31.0,67.0,54.0,70.0,69.0,63.0,53.0,101.0,52.0,136.0,51.0,50.0,75.0
4234,20.0,5.0,348.0,26.0,23.0,488.0,491.0,0.0,281.0,433.0,29.0,67.0,66.0,72.0,69.0,32.0,68.0,71.0,73.0,64.0,140.0,102.0,70.0,63.0,174.0,74.0,143.0,61.0,58.0,86.0
4283,189.0,15.0,25.0,264.0,1.0,486.0,16.0,347.0,554.0,36.0,62.0,46.0,47.0,51.0,61.0,56.0,48.0,54.0,50.0,57.0,155.0,99.0,59.0,58.0,101.0,60.0,29.0,53.0,55.0,69.0
4332,39.0,30.0,347.0,315.0,3.0,27.0,26.0,342.0,133.0,433.0,101.0,57.0,61.0,52.0,55.0,77.0,56.0,53.0,50.0,103.0,36.0,49.0,54.0,78.0,47.0,97.0,46.0,99.0,100.0,275.0
4381,1.0,122.0,2.0,289.0,367.0,14.0,15.0,344.0,24.0,436.0,48.0,61.0,60.0,66.0,63.0,58.0,62.0,65.0,67.0,56.0,69.0,68.0,64.0,49.0,71.0,46.0,75.0,47.0,55.0,77.0
4430,8.0,122.0,14.0,31.0,29.0,488.0,491.0,360.0,46.0,45.0,57.0,68.0,67.0,108.0,71.0,66.0,70.0,107.0,143.0,64.0,145.0,144.0,140.0,63.0,146.0,62.0,147.0,61.0,60.0,80.0
4479,1.0,14.0,362.0,31.0,28.0,488.0,491.0,361.0,87.0,3.0,70.0,59.0,60.0,108.0,57.0,61.0,58.0,140.0,107.0,62.0,144.0,143.0,106.0,63.0,145.0,64.0,146.0,65.0,67.0,80.0
4528,2.0,16.0,347.0,6.0,8.0,489.0,492.0,29.0,35.0,43.0,86.0,56.0,70.0,61.0,57.0,46.0,71.0,60.0,62.0,48.0,65.0,64.0,58.0,49.0,66.0,50.0,67.0,51.0,52.0,47.0
4577,0.0,164.0,22.0,5.0,394.0,486.0,489.0,46.0,45.0,41.0,16.0,51.0,48.0,59.0,54.0,71.0,52.0,58.0,60.0,73.0,67.0,63.0,56.0,97.0,68.0,96.0,69.0,95.0,94.0,53.0
4626,28.0,40.0,448.0,2.0,341.0,514.0,517.0,465.0,529.0,1.0,36.0,79.0,73.0,67.0,37.0,74.0,72.0,68.0,66.0,75.0,116.0,65.0,69.0,76.0,118.0,77.0,189.0,78.0,64.0,112.0
4675,9.0,12.0,349.0,14.0,10.0,486.0,489.0,29.0,326.0,435.0,50.0,60.0,58.0,135.0,62.0,55.0,61.0,65.0,97.0,56.0,152.0,153.0,64.0,67.0,151.0,25.0,150.0,53.0,51.0,39.0
4724,22.0,161.0,1.0,10.0,397.0,21.0,493.0,360.0,26.0,35.0,25.0,17.0,45.0,54.0,51.0,46.0,62.0,53.0,50.0,47.0,56.0,55.0,52.0,49.0,57.0,48.0,58.0,63.0,89.0,69.0
4773,3.0,13.0,346.0,261.0,382.0,490.0,493.0,360.0,120.0,1.0,94.0,46.0,48.0,54.0,44.0,49.0,45.0,68.0,55.0,50.0,58.0,57.0,53.0,84.0,60.0,70.0,61.0,96.0,95.0,56.0
4822,0.0,13.0,362.0,26.0,397.0,489.0,492.0,345.0,87.0,41.0,44.0,66.0,67.0,59.0,64.0,68.0,71.0,60.0,58.0,69.0,74.0,57.0,62.0,70.0,107.0,55.0,108.0,63.0,54.0,79.0
4871,0.0,11.0,5.0,23.0,26.0,489.0,13.0,10.0,41.0,3.0,53.0,63.0,18.0,69.0,65.0,61.0,64.0,68.0,101.0,60.0,105.0,163.0,67.0,59.0,140.0,58.0,141.0,70.0,54.0,76.0
