,DHAP/glyceraldehyde 3P,homocysteine,phosphocreatine,beta-alanine,2-deoxyadenosine,palmitoylcarnitine,C18:0 LPE,C56:5 TAG,cis/trans-hydroxyproline,pantothenate,NADP,uracil,dCMP,taurodeoxycholate,C18:0 LPC,creatine,C22:6 CE,niacinamide,N-carbamoyl-beta-alanine,alpha-glycerophosphocholine,creatinine,C34:2 DAG,adenosine,valerylcarnitine,putrescine,butyrylcarnitine/isobutyrylcarnitine,C16:0 LPE,sarcosine,C36:1 DAG,C20:4 CE
808,0.0,1.0,4.0,2.0,8.0,11.0,5.0,9.0,6.0,7.0,37.0,34.0,14.0,13.0,12.0,3.0,15.0,17.0,50.0,20.0,16.0,29.0,18.0,22.0,19.0,30.0,26.0,24.0,21.0,23.0
857,0.0,1.0,2.0,3.0,7.0,8.0,5.0,10.0,9.0,4.0,34.0,38.0,12.0,18.0,25.0,6.0,16.0,19.0,55.0,51.0,20.0,17.0,21.0,24.0,29.0,23.0,15.0,22.0,14.0,28.0
906,0.0,1.0,2.0,3.0,6.0,9.0,13.0,8.0,7.0,4.0,14.0,10.0,40.0,11.0,29.0,12.0,15.0,18.0,28.0,19.0,20.0,31.0,21.0,24.0,16.0,51.0,30.0,27.0,26.0,22.0
955,0.0,1.0,3.0,4.0,14.0,15.0,7.0,10.0,12.0,5.0,36.0,34.0,8.0,11.0,13.0,2.0,17.0,26.0,48.0,16.0,18.0,6.0,19.0,23.0,20.0,21.0,29.0,24.0,25.0,31.0
1004,0.0,1.0,2.0,4.0,8.0,7.0,17.0,6.0,44.0,5.0,10.0,3.0,37.0,15.0,9.0,29.0,19.0,31.0,32.0,14.0,28.0,18.0,27.0,22.0,25.0,23.0,24.0,33.0,20.0,21.0
1053,1.0,2.0,5.0,0.0,4.0,9.0,14.0,15.0,6.0,11.0,3.0,7.0,12.0,8.0,21.0,24.0,19.0,26.0,55.0,10.0,23.0,29.0,22.0,16.0,58.0,51.0,25.0,28.0,20.0,18.0
1102,1.0,4.0,2.0,0.0,3.0,6.0,9.0,16.0,14.0,5.0,7.0,10.0,8.0,12.0,27.0,19.0,13.0,18.0,17.0,11.0,20.0,26.0,21.0,23.0,50.0,22.0,28.0,25.0,24.0,29.0
1151,0.0,4.0,1.0,5.0,2.0,3.0,8.0,31.0,12.0,7.0,10.0,9.0,16.0,40.0,14.0,22.0,11.0,20.0,18.0,21.0,23.0,13.0,48.0,26.0,62.0,53.0,17.0,28.0,30.0,19.0
1200,4.0,0.0,2.0,1.0,7.0,9.0,5.0,32.0,8.0,6.0,41.0,3.0,13.0,46.0,26.0,14.0,30.0,21.0,25.0,19.0,18.0,11.0,20.0,24.0,52.0,23.0,16.0,22.0,28.0,29.0
1249,3.0,2.0,8.0,0.0,4.0,1.0,9.0,14.0,5.0,11.0,7.0,6.0,37.0,39.0,23.0,20.0,10.0,17.0,16.0,18.0,21.0,29.0,22.0,48.0,27.0,54.0,19.0,12.0,24.0,28.0
1298,1.0,4.0,5.0,0.0,6.0,3.0,2.0,18.0,10.0,7.0,9.0,12.0,32.0,42.0,19.0,13.0,14.0,21.0,27.0,28.0,24.0,39.0,25.0,22.0,44.0,26.0,46.0,20.0,36.0,31.0
1347,0.0,1.0,3.0,2.0,4.0,14.0,5.0,10.0,6.0,42.0,12.0,33.0,8.0,9.0,11.0,20.0,31.0,19.0,23.0,16.0,21.0,26.0,22.0,27.0,58.0,47.0,30.0,29.0,25.0,18.0
1396,1.0,2.0,0.0,3.0,6.0,4.0,5.0,15.0,9.0,13.0,7.0,10.0,34.0,45.0,25.0,18.0,28.0,17.0,16.0,11.0,19.0,20.0,29.0,23.0,52.0,21.0,26.0,24.0,50.0,22.0
1445,1.0,2.0,0.0,3.0,7.0,4.0,6.0,9.0,8.0,11.0,12.0,5.0,13.0,10.0,30.0,21.0,26.0,19.0,16.0,20.0,22.0,29.0,24.0,32.0,48.0,28.0,27.0,23.0,18.0,17.0
1494,0.0,1.0,5.0,3.0,2.0,7.0,4.0,16.0,10.0,6.0,15.0,11.0,9.0,8.0,32.0,19.0,22.0,17.0,34.0,18.0,20.0,12.0,21.0,13.0,24.0,26.0,25.0,29.0,28.0,27.0
1543,6.0,0.0,1.0,3.0,4.0,5.0,2.0,14.0,9.0,43.0,42.0,40.0,7.0,16.0,17.0,20.0,10.0,12.0,19.0,13.0,21.0,15.0,22.0,25.0,8.0,28.0,27.0,62.0,11.0,23.0
1592,1.0,0.0,16.0,2.0,9.0,14.0,7.0,12.0,8.0,4.0,10.0,45.0,5.0,13.0,27.0,22.0,20.0,6.0,34.0,11.0,21.0,31.0,17.0,26.0,33.0,25.0,15.0,24.0,32.0,56.0
1641,0.0,2.0,5.0,1.0,8.0,9.0,7.0,18.0,6.0,3.0,4.0,10.0,13.0,14.0,23.0,19.0,28.0,12.0,17.0,15.0,20.0,11.0,16.0,21.0,29.0,22.0,24.0,47.0,26.0,27.0
1690,4.0,0.0,1.0,2.0,13.0,15.0,6.0,11.0,8.0,3.0,10.0,16.0,40.0,39.0,17.0,5.0,28.0,14.0,19.0,20.0,23.0,7.0,22.0,12.0,29.0,25.0,24.0,57.0,9.0,27.0
1739,3.0,0.0,9.0,4.0,2.0,10.0,1.0,11.0,15.0,12.0,38.0,8.0,5.0,45.0,17.0,7.0,19.0,6.0,18.0,16.0,21.0,13.0,29.0,26.0,14.0,24.0,28.0,27.0,20.0,54.0
1788,1.0,0.0,5.0,2.0,4.0,10.0,11.0,3.0,8.0,15.0,6.0,7.0,12.0,14.0,19.0,27.0,30.0,13.0,31.0,28.0,26.0,9.0,54.0,22.0,23.0,49.0,21.0,52.0,33.0,18.0
1837,3.0,2.0,0.0,1.0,12.0,9.0,7.0,11.0,5.0,4.0,10.0,8.0,13.0,44.0,21.0,16.0,28.0,6.0,17.0,47.0,18.0,25.0,15.0,14.0,19.0,29.0,22.0,20.0,26.0,27.0
1886,5.0,0.0,1.0,9.0,12.0,8.0,3.0,24.0,4.0,6.0,13.0,42.0,11.0,10.0,25.0,21.0,27.0,2.0,19.0,20.0,22.0,32.0,23.0,14.0,43.0,40.0,7.0,55.0,31.0,26.0
1935,1.0,0.0,2.0,3.0,4.0,14.0,5.0,9.0,11.0,8.0,15.0,42.0,6.0,45.0,16.0,13.0,29.0,19.0,12.0,18.0,20.0,7.0,21.0,10.0,30.0,23.0,24.0,22.0,27.0,28.0
1984,0.0,1.0,3.0,2.0,4.0,9.0,7.0,25.0,11.0,40.0,38.0,45.0,33.0,47.0,8.0,12.0,6.0,23.0,24.0,22.0,19.0,5.0,27.0,14.0,10.0,15.0,13.0,16.0,17.0,21.0
2033,0.0,6.0,4.0,3.0,2.0,1.0,8.0,9.0,7.0,37.0,31.0,11.0,38.0,36.0,5.0,19.0,13.0,17.0,16.0,18.0,27.0,12.0,20.0,23.0,14.0,28.0,10.0,25.0,24.0,21.0
2082,0.0,4.0,2.0,6.0,1.0,3.0,5.0,44.0,11.0,10.0,40.0,8.0,27.0,13.0,12.0,18.0,7.0,34.0,38.0,33.0,19.0,9.0,17.0,24.0,15.0,23.0,28.0,26.0,31.0,32.0
2131,0.0,2.0,1.0,4.0,3.0,7.0,5.0,8.0,13.0,14.0,39.0,17.0,36.0,37.0,6.0,24.0,11.0,26.0,27.0,25.0,23.0,9.0,15.0,19.0,21.0,20.0,10.0,29.0,12.0,28.0
2180,0.0,1.0,3.0,5.0,2.0,4.0,10.0,12.0,27.0,9.0,36.0,39.0,8.0,42.0,7.0,15.0,25.0,17.0,16.0,14.0,13.0,6.0,26.0,18.0,19.0,20.0,23.0,22.0,11.0,24.0
2229,0.0,14.0,2.0,3.0,1.0,9.0,7.0,8.0,36.0,12.0,32.0,34.0,17.0,40.0,6.0,25.0,5.0,27.0,13.0,26.0,24.0,11.0,10.0,20.0,15.0,21.0,29.0,18.0,23.0,28.0
2278,0.0,5.0,2.0,3.0,1.0,7.0,15.0,9.0,13.0,12.0,41.0,19.0,36.0,14.0,6.0,4.0,16.0,26.0,27.0,25.0,21.0,8.0,20.0,50.0,11.0,28.0,10.0,23.0,17.0,24.0
2327,0.0,6.0,1.0,3.0,2.0,4.0,7.0,28.0,5.0,14.0,38.0,34.0,39.0,12.0,13.0,9.0,8.0,26.0,27.0,25.0,23.0,15.0,22.0,16.0,10.0,17.0,24.0,21.0,18.0,20.0
2376,0.0,5.0,2.0,1.0,3.0,4.0,6.0,7.0,10.0,11.0,45.0,35.0,44.0,49.0,12.0,8.0,15.0,17.0,16.0,18.0,28.0,22.0,21.0,26.0,23.0,9.0,13.0,20.0,27.0,19.0
2425,0.0,2.0,1.0,4.0,3.0,6.0,10.0,7.0,5.0,9.0,39.0,42.0,12.0,15.0,8.0,16.0,20.0,22.0,19.0,21.0,30.0,18.0,11.0,27.0,14.0,26.0,29.0,28.0,24.0,25.0
2474,0.0,2.0,1.0,3.0,6.0,5.0,28.0,46.0,13.0,10.0,8.0,9.0,7.0,14.0,11.0,16.0,4.0,22.0,24.0,21.0,18.0,23.0,20.0,17.0,15.0,32.0,27.0,25.0,26.0,31.0
2523,0.0,4.0,1.0,5.0,21.0,3.0,12.0,25.0,11.0,14.0,8.0,2.0,7.0,15.0,28.0,10.0,9.0,17.0,16.0,18.0,19.0,13.0,20.0,24.0,22.0,31.0,29.0,26.0,27.0,23.0
2572,3.0,2.0,1.0,4.0,6.0,0.0,5.0,20.0,12.0,7.0,11.0,10.0,34.0,17.0,14.0,9.0,13.0,16.0,44.0,21.0,22.0,15.0,19.0,27.0,25.0,26.0,23.0,59.0,18.0,28.0
2621,3.0,1.0,0.0,2.0,4.0,7.0,8.0,14.0,16.0,33.0,5.0,15.0,11.0,13.0,10.0,19.0,6.0,18.0,20.0,17.0,21.0,26.0,29.0,23.0,9.0,22.0,24.0,54.0,27.0,28.0
2670,0.0,4.0,2.0,1.0,7.0,6.0,13.0,17.0,15.0,5.0,12.0,3.0,10.0,11.0,14.0,21.0,9.0,19.0,18.0,20.0,22.0,27.0,29.0,30.0,24.0,26.0,16.0,49.0,25.0,23.0
2719,0.0,3.0,1.0,4.0,6.0,9.0,2.0,14.0,11.0,17.0,12.0,7.0,5.0,15.0,25.0,18.0,8.0,20.0,19.0,21.0,22.0,27.0,29.0,30.0,16.0,48.0,23.0,53.0,13.0,24.0
2768,0.0,7.0,3.0,2.0,5.0,1.0,8.0,27.0,38.0,47.0,32.0,4.0,9.0,10.0,11.0,6.0,25.0,13.0,26.0,24.0,20.0,22.0,19.0,17.0,12.0,28.0,18.0,56.0,14.0,23.0
2817,0.0,3.0,1.0,2.0,9.0,6.0,7.0,25.0,15.0,4.0,10.0,39.0,11.0,45.0,21.0,5.0,8.0,12.0,50.0,47.0,22.0,13.0,20.0,28.0,18.0,17.0,23.0,16.0,26.0,19.0
2866,1.0,2.0,0.0,10.0,6.0,5.0,3.0,15.0,9.0,7.0,14.0,8.0,36.0,11.0,16.0,19.0,4.0,18.0,17.0,47.0,20.0,48.0,13.0,25.0,12.0,23.0,21.0,49.0,28.0,27.0
2915,0.0,4.0,1.0,8.0,6.0,3.0,2.0,26.0,44.0,11.0,9.0,10.0,39.0,13.0,15.0,5.0,7.0,14.0,17.0,47.0,19.0,22.0,20.0,12.0,48.0,23.0,25.0,27.0,28.0,18.0
2964,4.0,1.0,3.0,5.0,2.0,8.0,9.0,13.0,6.0,12.0,36.0,37.0,0.0,11.0,10.0,18.0,19.0,7.0,17.0,54.0,26.0,14.0,21.0,27.0,22.0,23.0,16.0,25.0,20.0,47.0
3013,0.0,2.0,5.0,7.0,1.0,11.0,4.0,16.0,6.0,38.0,15.0,14.0,3.0,10.0,9.0,21.0,13.0,19.0,18.0,20.0,22.0,8.0,30.0,17.0,27.0,28.0,25.0,29.0,23.0,24.0
3062,1.0,0.0,3.0,13.0,2.0,14.0,10.0,8.0,4.0,9.0,7.0,12.0,5.0,37.0,6.0,19.0,28.0,11.0,18.0,47.0,20.0,24.0,21.0,15.0,29.0,50.0,22.0,25.0,17.0,23.0
3111,0.0,1.0,4.0,3.0,2.0,14.0,8.0,10.0,7.0,40.0,11.0,31.0,5.0,16.0,6.0,25.0,12.0,9.0,27.0,50.0,24.0,13.0,23.0,17.0,29.0,18.0,15.0,22.0,26.0,21.0
3160,3.0,2.0,1.0,6.0,0.0,12.0,4.0,7.0,8.0,9.0,39.0,43.0,5.0,10.0,13.0,22.0,18.0,20.0,19.0,21.0,23.0,11.0,16.0,15.0,26.0,28.0,29.0,17.0,30.0,24.0
3209,1.0,2.0,0.0,3.0,7.0,8.0,12.0,13.0,6.0,44.0,42.0,45.0,4.0,10.0,5.0,14.0,15.0,28.0,29.0,27.0,25.0,16.0,24.0,11.0,20.0,18.0,23.0,30.0,21.0,22.0
3258,1.0,0.0,4.0,13.0,3.0,20.0,7.0,6.0,10.0,5.0,35.0,39.0,2.0,8.0,24.0,17.0,15.0,12.0,11.0,16.0,18.0,14.0,19.0,22.0,29.0,50.0,25.0,23.0,27.0,28.0
3307,2.0,0.0,5.0,4.0,3.0,9.0,1.0,8.0,6.0,15.0,12.0,36.0,10.0,35.0,16.0,18.0,19.0,7.0,14.0,44.0,27.0,13.0,21.0,11.0,28.0,23.0,26.0,25.0,22.0,51.0
3356,0.0,1.0,2.0,4.0,3.0,6.0,7.0,9.0,12.0,13.0,38.0,29.0,10.0,14.0,8.0,23.0,25.0,5.0,41.0,56.0,22.0,11.0,20.0,17.0,18.0,46.0,26.0,27.0,21.0,24.0
3405,3.0,0.0,4.0,6.0,2.0,13.0,7.0,14.0,8.0,34.0,36.0,32.0,1.0,9.0,5.0,19.0,16.0,12.0,18.0,48.0,20.0,10.0,21.0,15.0,28.0,23.0,27.0,29.0,25.0,22.0
3454,1.0,12.0,0.0,2.0,7.0,3.0,10.0,11.0,28.0,33.0,6.0,37.0,9.0,15.0,5.0,16.0,13.0,14.0,17.0,18.0,27.0,24.0,20.0,19.0,4.0,51.0,23.0,57.0,25.0,26.0
3503,2.0,6.0,0.0,4.0,5.0,1.0,3.0,12.0,13.0,16.0,11.0,9.0,10.0,30.0,15.0,21.0,8.0,14.0,22.0,23.0,19.0,35.0,29.0,18.0,7.0,25.0,31.0,49.0,36.0,34.0
3552,4.0,13.0,0.0,6.0,7.0,1.0,3.0,8.0,2.0,15.0,9.0,10.0,16.0,5.0,17.0,21.0,28.0,12.0,14.0,18.0,20.0,25.0,29.0,22.0,11.0,64.0,23.0,45.0,26.0,27.0
3601,0.0,13.0,1.0,2.0,4.0,3.0,9.0,22.0,16.0,12.0,10.0,5.0,7.0,17.0,11.0,19.0,8.0,15.0,20.0,18.0,21.0,26.0,6.0,23.0,14.0,29.0,25.0,51.0,27.0,28.0
3650,1.0,3.0,0.0,2.0,12.0,10.0,8.0,9.0,6.0,5.0,13.0,16.0,34.0,4.0,11.0,21.0,7.0,19.0,20.0,18.0,17.0,26.0,29.0,24.0,14.0,23.0,15.0,57.0,27.0,28.0
3699,1.0,2.0,0.0,3.0,9.0,11.0,5.0,10.0,12.0,18.0,7.0,16.0,14.0,6.0,4.0,26.0,8.0,15.0,28.0,49.0,25.0,17.0,24.0,20.0,13.0,21.0,23.0,51.0,30.0,29.0
3748,8.0,9.0,0.0,6.0,2.0,25.0,1.0,13.0,5.0,31.0,11.0,37.0,34.0,4.0,3.0,10.0,12.0,7.0,15.0,17.0,20.0,21.0,14.0,27.0,22.0,23.0,26.0,51.0,19.0,18.0
3797,2.0,9.0,0.0,7.0,4.0,5.0,1.0,8.0,15.0,12.0,3.0,38.0,11.0,40.0,14.0,20.0,16.0,6.0,17.0,19.0,28.0,22.0,10.0,26.0,24.0,25.0,21.0,61.0,29.0,18.0
3846,2.0,27.0,0.0,1.0,7.0,3.0,8.0,22.0,6.0,9.0,10.0,11.0,31.0,12.0,4.0,14.0,13.0,15.0,23.0,24.0,21.0,38.0,19.0,18.0,5.0,44.0,16.0,49.0,37.0,42.0
3895,1.0,11.0,0.0,5.0,7.0,2.0,6.0,4.0,32.0,44.0,43.0,3.0,8.0,13.0,15.0,17.0,14.0,12.0,19.0,16.0,18.0,26.0,29.0,23.0,21.0,20.0,24.0,57.0,27.0,28.0
3944,4.0,2.0,0.0,5.0,1.0,30.0,11.0,6.0,15.0,33.0,10.0,3.0,37.0,36.0,29.0,7.0,13.0,9.0,17.0,19.0,21.0,16.0,14.0,27.0,24.0,25.0,22.0,28.0,20.0,18.0
3993,3.0,4.0,0.0,1.0,2.0,11.0,24.0,7.0,5.0,33.0,41.0,6.0,32.0,40.0,9.0,8.0,10.0,14.0,19.0,15.0,18.0,26.0,16.0,13.0,21.0,20.0,23.0,22.0,27.0,28.0
4042,5.0,2.0,1.0,3.0,0.0,7.0,12.0,4.0,11.0,16.0,9.0,8.0,18.0,40.0,21.0,15.0,6.0,17.0,27.0,26.0,25.0,13.0,23.0,20.0,10.0,56.0,46.0,19.0,24.0,28.0
4091,0.0,2.0,1.0,3.0,6.0,13.0,23.0,8.0,7.0,5.0,4.0,34.0,11.0,16.0,9.0,19.0,10.0,18.0,28.0,15.0,20.0,12.0,21.0,25.0,31.0,24.0,30.0,27.0,26.0,17.0
4140,5.0,7.0,0.0,2.0,1.0,9.0,10.0,3.0,32.0,6.0,8.0,40.0,13.0,11.0,23.0,4.0,28.0,16.0,17.0,15.0,18.0,26.0,12.0,19.0,20.0,21.0,24.0,14.0,51.0,27.0
4189,5.0,2.0,0.0,1.0,3.0,24.0,13.0,10.0,14.0,7.0,9.0,4.0,8.0,42.0,6.0,11.0,22.0,16.0,27.0,19.0,20.0,17.0,21.0,15.0,30.0,23.0,18.0,26.0,31.0,25.0
4238,4.0,3.0,2.0,1.0,0.0,21.0,23.0,5.0,11.0,9.0,12.0,8.0,6.0,43.0,13.0,10.0,28.0,14.0,17.0,47.0,18.0,25.0,15.0,20.0,29.0,52.0,22.0,19.0,26.0,27.0
4287,9.0,3.0,1.0,0.0,2.0,21.0,6.0,5.0,11.0,7.0,13.0,8.0,36.0,37.0,15.0,12.0,4.0,10.0,18.0,20.0,19.0,16.0,29.0,23.0,22.0,49.0,25.0,24.0,27.0,28.0
4336,7.0,1.0,0.0,5.0,3.0,10.0,28.0,6.0,12.0,16.0,8.0,2.0,4.0,13.0,22.0,9.0,11.0,18.0,17.0,48.0,20.0,14.0,15.0,26.0,23.0,24.0,21.0,27.0,49.0,19.0
4385,12.0,1.0,2.0,0.0,3.0,16.0,41.0,6.0,22.0,8.0,7.0,10.0,13.0,9.0,27.0,5.0,4.0,21.0,20.0,19.0,23.0,11.0,24.0,25.0,44.0,40.0,36.0,26.0,32.0,31.0
4434,3.0,2.0,0.0,11.0,1.0,25.0,12.0,5.0,6.0,10.0,35.0,4.0,34.0,37.0,20.0,9.0,16.0,18.0,17.0,61.0,27.0,28.0,21.0,7.0,22.0,24.0,8.0,26.0,44.0,19.0
4483,0.0,7.0,4.0,2.0,1.0,21.0,8.0,5.0,6.0,38.0,35.0,10.0,11.0,9.0,12.0,3.0,28.0,18.0,15.0,14.0,16.0,25.0,17.0,20.0,29.0,19.0,23.0,22.0,26.0,27.0
4532,3.0,4.0,0.0,1.0,2.0,6.0,15.0,7.0,8.0,12.0,38.0,5.0,40.0,10.0,9.0,13.0,17.0,19.0,18.0,20.0,21.0,24.0,29.0,14.0,26.0,16.0,11.0,28.0,23.0,22.0
4581,2.0,6.0,0.0,1.0,7.0,15.0,12.0,4.0,28.0,11.0,32.0,39.0,33.0,10.0,5.0,8.0,45.0,20.0,19.0,43.0,3.0,13.0,22.0,9.0,26.0,21.0,16.0,23.0,18.0,47.0
4630,0.0,8.0,1.0,2.0,3.0,6.0,13.0,7.0,32.0,11.0,36.0,15.0,34.0,4.0,9.0,14.0,28.0,18.0,19.0,17.0,20.0,25.0,21.0,22.0,29.0,44.0,5.0,24.0,26.0,27.0
4679,3.0,5.0,0.0,1.0,4.0,10.0,7.0,2.0,31.0,32.0,41.0,14.0,8.0,9.0,19.0,23.0,26.0,6.0,25.0,44.0,15.0,21.0,20.0,13.0,18.0,17.0,12.0,28.0,22.0,24.0
4728,2.0,8.0,0.0,3.0,1.0,7.0,4.0,6.0,9.0,11.0,12.0,34.0,35.0,37.0,10.0,5.0,17.0,19.0,18.0,58.0,22.0,23.0,28.0,14.0,13.0,25.0,15.0,21.0,27.0,20.0
4777,2.0,6.0,0.0,8.0,3.0,9.0,4.0,5.0,14.0,10.0,7.0,32.0,16.0,12.0,11.0,1.0,26.0,24.0,25.0,50.0,22.0,13.0,20.0,18.0,17.0,45.0,15.0,29.0,21.0,23.0
4826,1.0,4.0,3.0,2.0,0.0,9.0,7.0,6.0,5.0,10.0,40.0,11.0,35.0,8.0,12.0,14.0,28.0,19.0,18.0,20.0,22.0,29.0,24.0,13.0,27.0,21.0,16.0,54.0,23.0,25.0
4875,1.0,6.0,0.0,4.0,8.0,2.0,7.0,3.0,12.0,37.0,35.0,13.0,39.0,15.0,11.0,5.0,28.0,17.0,18.0,16.0,19.0,25.0,29.0,23.0,22.0,21.0,9.0,24.0,26.0,27.0
