,hsa-miR-574-5p,hsa-miR-548m,hsa-miR-558,hsa-miR-21,hsa-miR-1308,hsa-miR-22,hsa-let-7e,hsa-miR-2117,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-190b,hsa-miR-10a,hsa-miR-545,ebv-miR-BART2-5p,hsa-miR-488,hsa-miR-1246,hsa-miR-34a,hsa-miR-153,hsa-miR-422a,hsa-miR-711,kshv-miR-K12-6-3p,hsa-miR-1269,hcmv-miR-US5-1,hsa-miR-30a,hsa-miR-140-3p,hsa-miR-302e,hsa-miR-30e,hsa-miR-600,hsa-miR-28-5p
2959,4.0,13.0,20.0,11.0,17.0,38.0,434.0,6.0,67.0,174.0,80.0,92.0,441.0,78.0,61.0,539.0,41.0,58.0,397.0,505.0,326.0,77.0,26.0,72.0,53.0,345.0,89.0,79.0,138.0,81.0
3008,1.0,6.0,189.0,31.0,367.0,8.0,11.0,2.0,324.0,191.0,36.0,72.0,60.0,74.0,80.0,53.0,426.0,84.0,79.0,65.0,311.0,49.0,51.0,64.0,32.0,70.0,562.0,596.0,103.0,96.0
3057,1.0,16.0,21.0,10.0,24.0,94.0,434.0,8.0,2.0,48.0,367.0,405.0,64.0,45.0,74.0,66.0,427.0,68.0,352.0,61.0,278.0,35.0,11.0,40.0,69.0,41.0,619.0,623.0,137.0,571.0
3106,7.0,15.0,14.0,3.0,373.0,21.0,91.0,2.0,268.0,102.0,43.0,405.0,45.0,50.0,24.0,52.0,12.0,69.0,353.0,77.0,85.0,56.0,36.0,78.0,619.0,40.0,76.0,622.0,0.0,571.0
3155,0.0,47.0,28.0,18.0,370.0,44.0,26.0,14.0,270.0,193.0,29.0,17.0,46.0,64.0,23.0,34.0,45.0,70.0,41.0,65.0,307.0,72.0,15.0,93.0,83.0,69.0,84.0,89.0,74.0,91.0
3204,7.0,6.0,167.0,4.0,33.0,13.0,436.0,64.0,1.0,72.0,25.0,83.0,444.0,52.0,79.0,523.0,35.0,69.0,348.0,70.0,338.0,58.0,51.0,89.0,74.0,77.0,75.0,82.0,19.0,17.0
3253,11.0,15.0,145.0,20.0,9.0,22.0,437.0,4.0,45.0,139.0,57.0,60.0,444.0,47.0,72.0,48.0,62.0,35.0,6.0,87.0,330.0,68.0,80.0,79.0,622.0,360.0,39.0,85.0,75.0,573.0
3302,164.0,28.0,150.0,15.0,370.0,6.0,434.0,7.0,19.0,179.0,349.0,396.0,439.0,40.0,12.0,82.0,427.0,83.0,398.0,86.0,81.0,49.0,35.0,67.0,53.0,347.0,74.0,92.0,117.0,70.0
3351,6.0,8.0,189.0,17.0,34.0,45.0,16.0,32.0,60.0,35.0,72.0,68.0,448.0,46.0,26.0,58.0,428.0,75.0,357.0,61.0,69.0,25.0,56.0,81.0,620.0,40.0,51.0,80.0,107.0,572.0
3400,19.0,37.0,42.0,25.0,21.0,562.0,430.0,2.0,29.0,66.0,16.0,405.0,36.0,13.0,18.0,26.0,444.0,56.0,350.0,34.0,320.0,32.0,52.0,61.0,627.0,57.0,625.0,44.0,50.0,30.0
