,hsa-miR-223,ebv-miR-BART8,hsa-miR-1299,hsa-miR-22,hsa-miR-224,hsa-miR-216a,hsa-miR-890,hsa-miR-142-5p,hsa-miR-663,hsa-miR-200a,hsa-miR-206,hsa-miR-744,ebv-miR-BART18-3p,hsa-let-7e,hsa-miR-548d-3p,hsa-miR-1975,hsa-miR-133b,hsa-miR-1978,hsa-miR-320c,hsv2-miR-H4-5p,hsa-miR-140-5p,hsa-miR-323-5p,hsa-miR-1183,hsa-miR-1294,hsa-miR-1246,ebv-miR-BART19-5p,hsa-miR-210,hsa-miR-765,hsa-miR-545,hsa-miR-202
1880,17.0,2.0,9.0,23.0,0.0,346.0,49.0,176.0,10.0,19.0,1.0,3.0,34.0,62.0,43.0,39.0,139.0,36.0,457.0,63.0,54.0,26.0,24.0,297.0,53.0,5.0,56.0,7.0,70.0,121.0
1929,2.0,3.0,19.0,17.0,23.0,99.0,4.0,10.0,1.0,18.0,6.0,36.0,39.0,5.0,11.0,96.0,381.0,273.0,562.0,137.0,40.0,123.0,393.0,119.0,208.0,68.0,55.0,35.0,69.0,25.0
1978,4.0,6.0,15.0,10.0,2.0,41.0,0.0,18.0,49.0,8.0,11.0,1.0,291.0,26.0,66.0,164.0,20.0,239.0,14.0,284.0,207.0,130.0,106.0,249.0,140.0,5.0,89.0,330.0,16.0,472.0
2027,16.0,0.0,4.0,1.0,19.0,20.0,2.0,137.0,35.0,47.0,186.0,3.0,131.0,68.0,6.0,26.0,44.0,34.0,158.0,32.0,31.0,14.0,368.0,5.0,39.0,206.0,439.0,59.0,10.0,42.0
2076,12.0,1.0,3.0,6.0,5.0,28.0,14.0,9.0,172.0,22.0,17.0,16.0,490.0,8.0,75.0,148.0,57.0,51.0,88.0,4.0,0.0,144.0,191.0,516.0,106.0,13.0,59.0,2.0,44.0,371.0
2125,192.0,22.0,9.0,2.0,61.0,29.0,11.0,27.0,108.0,30.0,32.0,3.0,52.0,26.0,33.0,121.0,21.0,226.0,1.0,17.0,42.0,92.0,15.0,20.0,93.0,0.0,187.0,18.0,8.0,145.0
2174,90.0,0.0,5.0,9.0,277.0,15.0,119.0,83.0,120.0,30.0,17.0,2.0,18.0,94.0,295.0,47.0,63.0,204.0,155.0,144.0,104.0,142.0,59.0,452.0,40.0,4.0,26.0,3.0,53.0,360.0
2223,3.0,4.0,18.0,7.0,22.0,2.0,45.0,19.0,17.0,147.0,14.0,42.0,74.0,0.0,496.0,23.0,325.0,12.0,43.0,153.0,46.0,211.0,66.0,5.0,106.0,13.0,11.0,35.0,21.0,484.0
2272,6.0,21.0,42.0,82.0,191.0,22.0,7.0,84.0,35.0,4.0,1.0,0.0,75.0,8.0,94.0,81.0,2.0,303.0,19.0,77.0,85.0,36.0,118.0,26.0,54.0,15.0,151.0,3.0,298.0,245.0
2321,12.0,5.0,13.0,4.0,597.0,15.0,0.0,55.0,105.0,11.0,25.0,163.0,241.0,6.0,27.0,66.0,187.0,143.0,34.0,157.0,129.0,59.0,83.0,248.0,42.0,51.0,20.0,116.0,255.0,46.0
2370,4.0,7.0,30.0,3.0,38.0,25.0,2.0,22.0,102.0,5.0,12.0,61.0,69.0,14.0,229.0,39.0,56.0,41.0,6.0,0.0,64.0,174.0,97.0,476.0,163.0,53.0,20.0,68.0,9.0,186.0
2419,12.0,5.0,2.0,1.0,85.0,3.0,77.0,27.0,53.0,201.0,11.0,90.0,31.0,0.0,96.0,63.0,6.0,233.0,116.0,34.0,19.0,73.0,269.0,49.0,25.0,99.0,20.0,572.0,170.0,474.0
2468,20.0,2.0,1.0,14.0,32.0,0.0,116.0,4.0,12.0,80.0,502.0,5.0,16.0,3.0,22.0,72.0,69.0,77.0,565.0,360.0,321.0,47.0,18.0,194.0,21.0,28.0,6.0,114.0,189.0,10.0
2517,75.0,5.0,4.0,7.0,1.0,2.0,12.0,20.0,0.0,27.0,54.0,81.0,17.0,6.0,359.0,63.0,24.0,297.0,49.0,544.0,9.0,30.0,19.0,120.0,226.0,45.0,37.0,39.0,136.0,13.0
2566,4.0,0.0,7.0,159.0,44.0,6.0,29.0,9.0,22.0,52.0,335.0,1.0,32.0,8.0,40.0,42.0,270.0,70.0,26.0,229.0,2.0,97.0,89.0,3.0,14.0,83.0,124.0,27.0,322.0,233.0
2615,34.0,0.0,3.0,5.0,56.0,1.0,108.0,6.0,2.0,203.0,38.0,11.0,4.0,14.0,25.0,16.0,31.0,69.0,137.0,575.0,160.0,28.0,57.0,231.0,95.0,12.0,172.0,45.0,387.0,104.0
2664,5.0,3.0,2.0,22.0,27.0,0.0,65.0,189.0,1.0,364.0,195.0,17.0,40.0,13.0,70.0,494.0,34.0,33.0,10.0,6.0,224.0,9.0,25.0,4.0,32.0,15.0,477.0,300.0,445.0,110.0
2713,7.0,1.0,38.0,4.0,21.0,0.0,6.0,23.0,5.0,29.0,57.0,34.0,82.0,2.0,16.0,223.0,43.0,246.0,24.0,147.0,18.0,40.0,174.0,111.0,276.0,33.0,11.0,59.0,539.0,58.0
2762,2.0,1.0,3.0,259.0,154.0,0.0,114.0,18.0,6.0,47.0,244.0,21.0,9.0,183.0,197.0,37.0,125.0,46.0,20.0,411.0,62.0,196.0,107.0,43.0,205.0,32.0,146.0,44.0,27.0,116.0
2811,3.0,1.0,12.0,41.0,28.0,15.0,295.0,18.0,0.0,293.0,117.0,13.0,9.0,4.0,168.0,285.0,111.0,8.0,21.0,6.0,241.0,7.0,78.0,32.0,33.0,390.0,101.0,86.0,583.0,188.0
2860,67.0,6.0,12.0,212.0,219.0,24.0,8.0,5.0,1.0,28.0,383.0,31.0,111.0,48.0,59.0,63.0,3.0,543.0,21.0,327.0,2.0,72.0,4.0,30.0,16.0,15.0,68.0,49.0,239.0,7.0
2909,50.0,5.0,0.0,134.0,109.0,1.0,83.0,137.0,2.0,71.0,131.0,4.0,6.0,37.0,113.0,79.0,604.0,32.0,19.0,340.0,12.0,11.0,34.0,358.0,46.0,490.0,188.0,18.0,318.0,88.0
2958,66.0,1.0,106.0,0.0,25.0,14.0,8.0,90.0,42.0,624.0,10.0,2.0,104.0,5.0,3.0,52.0,9.0,350.0,50.0,59.0,222.0,198.0,127.0,88.0,7.0,77.0,22.0,78.0,120.0,262.0
3007,433.0,8.0,78.0,14.0,15.0,3.0,40.0,402.0,153.0,387.0,27.0,2.0,69.0,307.0,23.0,68.0,5.0,6.0,350.0,1.0,249.0,49.0,83.0,105.0,9.0,122.0,13.0,10.0,39.0,145.0
3056,3.0,19.0,11.0,56.0,4.0,20.0,122.0,43.0,15.0,14.0,251.0,5.0,222.0,10.0,2.0,7.0,13.0,65.0,6.0,52.0,0.0,60.0,67.0,21.0,74.0,207.0,511.0,17.0,90.0,84.0
3105,31.0,12.0,176.0,20.0,47.0,420.0,10.0,433.0,8.0,117.0,9.0,6.0,69.0,16.0,21.0,1.0,169.0,39.0,3.0,27.0,143.0,77.0,90.0,29.0,5.0,37.0,108.0,243.0,253.0,23.0
3154,3.0,0.0,51.0,124.0,33.0,13.0,111.0,390.0,9.0,18.0,195.0,69.0,113.0,88.0,1.0,8.0,6.0,108.0,114.0,77.0,80.0,7.0,42.0,61.0,189.0,298.0,66.0,63.0,116.0,358.0
3203,15.0,1.0,9.0,16.0,214.0,3.0,115.0,75.0,78.0,26.0,71.0,4.0,13.0,444.0,47.0,130.0,19.0,21.0,48.0,32.0,124.0,11.0,25.0,45.0,0.0,7.0,5.0,50.0,29.0,22.0
3252,4.0,15.0,171.0,26.0,37.0,41.0,469.0,148.0,10.0,165.0,1.0,31.0,9.0,191.0,74.0,23.0,11.0,50.0,69.0,0.0,2.0,8.0,52.0,44.0,370.0,89.0,17.0,7.0,182.0,67.0
3301,17.0,10.0,9.0,65.0,20.0,1.0,22.0,202.0,31.0,79.0,8.0,19.0,115.0,137.0,12.0,46.0,4.0,365.0,37.0,0.0,390.0,15.0,40.0,7.0,223.0,351.0,28.0,6.0,27.0,526.0
3350,19.0,48.0,402.0,13.0,0.0,8.0,21.0,630.0,72.0,181.0,14.0,10.0,242.0,112.0,149.0,26.0,2.0,154.0,77.0,3.0,1.0,54.0,161.0,30.0,155.0,145.0,235.0,113.0,63.0,24.0
3399,1.0,6.0,4.0,26.0,12.0,47.0,68.0,57.0,89.0,121.0,201.0,34.0,210.0,283.0,11.0,0.0,437.0,90.0,299.0,16.0,329.0,9.0,25.0,466.0,58.0,28.0,3.0,42.0,30.0,2.0
3448,13.0,26.0,0.0,19.0,14.0,1.0,133.0,477.0,8.0,30.0,243.0,31.0,32.0,40.0,56.0,4.0,15.0,528.0,175.0,9.0,23.0,82.0,2.0,5.0,305.0,48.0,370.0,486.0,7.0,12.0
3497,8.0,42.0,31.0,25.0,45.0,0.0,179.0,63.0,62.0,207.0,30.0,4.0,159.0,70.0,215.0,21.0,11.0,53.0,203.0,27.0,161.0,220.0,116.0,69.0,330.0,17.0,115.0,382.0,79.0,5.0
3546,8.0,231.0,17.0,9.0,5.0,2.0,60.0,33.0,36.0,24.0,102.0,305.0,84.0,77.0,138.0,71.0,6.0,602.0,332.0,15.0,62.0,106.0,3.0,85.0,65.0,7.0,68.0,87.0,0.0,18.0
3595,39.0,55.0,16.0,10.0,0.0,11.0,21.0,198.0,104.0,3.0,382.0,80.0,35.0,17.0,117.0,190.0,7.0,58.0,290.0,6.0,262.0,90.0,26.0,157.0,86.0,296.0,183.0,273.0,103.0,4.0
3644,3.0,7.0,45.0,1.0,9.0,16.0,2.0,26.0,346.0,208.0,535.0,120.0,237.0,4.0,40.0,46.0,85.0,596.0,25.0,162.0,13.0,265.0,33.0,136.0,259.0,158.0,280.0,94.0,122.0,0.0
3693,105.0,84.0,159.0,139.0,8.0,9.0,210.0,147.0,19.0,71.0,42.0,183.0,68.0,17.0,220.0,36.0,3.0,249.0,273.0,6.0,295.0,350.0,4.0,43.0,13.0,219.0,118.0,315.0,132.0,351.0
3742,12.0,10.0,31.0,22.0,221.0,4.0,57.0,527.0,5.0,152.0,8.0,140.0,14.0,81.0,27.0,15.0,55.0,23.0,20.0,35.0,53.0,169.0,17.0,291.0,19.0,13.0,412.0,124.0,82.0,0.0
3791,42.0,149.0,132.0,58.0,4.0,0.0,6.0,44.0,48.0,19.0,195.0,107.0,33.0,21.0,30.0,5.0,145.0,207.0,199.0,236.0,93.0,198.0,1.0,156.0,37.0,200.0,23.0,262.0,34.0,27.0
3840,2.0,0.0,28.0,3.0,236.0,1.0,14.0,25.0,5.0,157.0,99.0,52.0,35.0,143.0,67.0,4.0,12.0,40.0,210.0,193.0,558.0,352.0,8.0,174.0,16.0,90.0,197.0,128.0,132.0,36.0
3889,53.0,35.0,0.0,4.0,42.0,1.0,14.0,332.0,12.0,80.0,130.0,36.0,52.0,21.0,193.0,13.0,6.0,25.0,22.0,58.0,129.0,296.0,2.0,10.0,235.0,11.0,483.0,154.0,3.0,26.0
3938,1.0,8.0,338.0,40.0,34.0,18.0,2.0,0.0,24.0,19.0,122.0,474.0,3.0,50.0,102.0,9.0,566.0,6.0,65.0,126.0,5.0,69.0,516.0,43.0,101.0,25.0,238.0,185.0,55.0,11.0
3987,1.0,5.0,39.0,29.0,20.0,353.0,4.0,0.0,8.0,18.0,43.0,75.0,114.0,23.0,150.0,9.0,17.0,16.0,66.0,32.0,7.0,71.0,78.0,194.0,15.0,118.0,82.0,294.0,182.0,33.0
4036,2.0,37.0,4.0,14.0,3.0,7.0,27.0,0.0,68.0,6.0,10.0,221.0,32.0,1.0,44.0,11.0,366.0,82.0,322.0,298.0,15.0,40.0,57.0,67.0,42.0,328.0,5.0,112.0,51.0,17.0
4085,7.0,12.0,5.0,11.0,1.0,101.0,0.0,3.0,39.0,24.0,498.0,406.0,47.0,188.0,31.0,118.0,105.0,116.0,91.0,302.0,16.0,125.0,60.0,140.0,18.0,314.0,65.0,22.0,17.0,150.0
4134,2.0,46.0,15.0,232.0,0.0,67.0,34.0,1.0,30.0,13.0,9.0,11.0,135.0,68.0,76.0,80.0,171.0,12.0,63.0,111.0,39.0,10.0,25.0,32.0,6.0,202.0,216.0,181.0,230.0,51.0
4183,1.0,3.0,82.0,13.0,4.0,50.0,5.0,0.0,314.0,8.0,77.0,9.0,30.0,62.0,7.0,27.0,74.0,166.0,297.0,11.0,48.0,33.0,132.0,256.0,19.0,60.0,49.0,226.0,54.0,95.0
4232,0.0,43.0,19.0,119.0,5.0,89.0,1.0,2.0,27.0,11.0,73.0,41.0,14.0,39.0,24.0,52.0,57.0,26.0,337.0,35.0,3.0,101.0,588.0,66.0,177.0,197.0,48.0,176.0,12.0,45.0
4281,15.0,26.0,4.0,25.0,1.0,200.0,2.0,48.0,16.0,7.0,44.0,337.0,115.0,9.0,110.0,18.0,405.0,33.0,434.0,472.0,82.0,5.0,223.0,344.0,10.0,467.0,11.0,285.0,54.0,17.0
4330,2.0,7.0,8.0,80.0,11.0,26.0,0.0,14.0,480.0,1.0,187.0,163.0,21.0,18.0,5.0,12.0,177.0,87.0,445.0,10.0,67.0,15.0,236.0,64.0,62.0,44.0,284.0,508.0,65.0,32.0
4379,4.0,12.0,29.0,19.0,0.0,25.0,1.0,3.0,17.0,2.0,136.0,130.0,21.0,41.0,34.0,6.0,381.0,58.0,207.0,24.0,246.0,35.0,433.0,76.0,11.0,461.0,39.0,81.0,7.0,10.0
4428,5.0,1.0,0.0,4.0,6.0,40.0,41.0,20.0,38.0,30.0,22.0,47.0,151.0,2.0,26.0,9.0,254.0,112.0,183.0,44.0,139.0,60.0,78.0,301.0,82.0,79.0,19.0,12.0,100.0,335.0
4477,4.0,0.0,2.0,7.0,12.0,529.0,210.0,17.0,6.0,95.0,290.0,274.0,66.0,75.0,53.0,242.0,5.0,86.0,97.0,178.0,262.0,68.0,226.0,46.0,32.0,604.0,113.0,424.0,29.0,38.0
4526,14.0,3.0,0.0,205.0,11.0,44.0,209.0,16.0,15.0,13.0,86.0,60.0,81.0,120.0,24.0,12.0,342.0,42.0,276.0,9.0,192.0,113.0,26.0,45.0,56.0,130.0,344.0,146.0,228.0,77.0
4575,1.0,0.0,3.0,37.0,77.0,16.0,232.0,4.0,23.0,10.0,21.0,168.0,90.0,18.0,70.0,15.0,171.0,5.0,54.0,439.0,176.0,87.0,13.0,32.0,24.0,299.0,51.0,38.0,71.0,326.0
4624,0.0,2.0,1.0,11.0,474.0,41.0,6.0,4.0,3.0,7.0,31.0,56.0,5.0,77.0,16.0,34.0,574.0,50.0,15.0,88.0,80.0,47.0,10.0,24.0,22.0,83.0,40.0,441.0,23.0,9.0
4673,2.0,10.0,0.0,3.0,4.0,164.0,24.0,12.0,57.0,83.0,122.0,218.0,104.0,452.0,30.0,162.0,67.0,1.0,41.0,86.0,125.0,6.0,5.0,101.0,89.0,399.0,71.0,73.0,220.0,74.0
4722,4.0,2.0,5.0,1.0,189.0,67.0,97.0,26.0,0.0,365.0,12.0,58.0,15.0,228.0,14.0,142.0,73.0,3.0,13.0,95.0,508.0,54.0,19.0,302.0,20.0,466.0,64.0,29.0,123.0,32.0
4771,117.0,0.0,2.0,1.0,12.0,21.0,283.0,7.0,3.0,45.0,18.0,6.0,26.0,65.0,19.0,23.0,13.0,9.0,290.0,191.0,109.0,80.0,30.0,245.0,54.0,131.0,229.0,214.0,95.0,40.0
4820,3.0,0.0,9.0,14.0,303.0,217.0,6.0,1.0,12.0,109.0,2.0,32.0,122.0,93.0,125.0,5.0,13.0,50.0,169.0,41.0,137.0,60.0,99.0,110.0,7.0,386.0,75.0,116.0,375.0,70.0
4869,4.0,0.0,3.0,5.0,281.0,49.0,512.0,167.0,2.0,60.0,11.0,90.0,8.0,564.0,14.0,13.0,277.0,1.0,22.0,70.0,117.0,86.0,132.0,12.0,486.0,98.0,449.0,17.0,273.0,311.0
