,hsa-miR-548m,hsa-miR-545,hsa-miR-34a,hsa-miR-22,hsa-miR-590-5p,hsa-miR-574-5p,hsa-miR-1308,hsa-miR-488,hsa-let-7e,hsa-miR-586,hsa-miR-584,hsa-miR-583,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-578,hsa-miR-579,hsa-miR-587,hsa-miR-580,hsa-miR-588,hsa-miR-590-3p,hsa-miR-581,hsa-miR-589,hsa-miR-576-5p,hsa-miR-577,hsa-miR-591,hsa-miR-576-3p,hsa-miR-592,hsa-miR-628-5p,hsa-miR-626,hsa-miR-627
657,5.0,127.0,509.0,1.0,24.0,34.0,6.0,41.0,424.0,66.0,65.0,64.0,63.0,23.0,57.0,58.0,67.0,60.0,68.0,55.0,61.0,69.0,105.0,56.0,47.0,106.0,43.0,79.0,82.0,80.0
706,2.0,122.0,6.0,5.0,54.0,16.0,358.0,552.0,425.0,64.0,69.0,60.0,56.0,57.0,104.0,103.0,65.0,101.0,66.0,68.0,55.0,67.0,140.0,105.0,61.0,141.0,53.0,78.0,80.0,79.0
755,4.0,15.0,12.0,3.0,34.0,7.0,8.0,42.0,43.0,68.0,69.0,70.0,76.0,72.0,143.0,142.0,65.0,107.0,62.0,60.0,106.0,61.0,145.0,144.0,33.0,146.0,56.0,78.0,80.0,79.0
804,15.0,120.0,3.0,567.0,47.0,16.0,356.0,532.0,422.0,54.0,55.0,57.0,59.0,58.0,152.0,66.0,67.0,62.0,22.0,48.0,60.0,49.0,139.0,104.0,45.0,140.0,42.0,73.0,76.0,74.0
853,21.0,157.0,15.0,566.0,22.0,18.0,357.0,26.0,36.0,59.0,45.0,46.0,44.0,43.0,53.0,52.0,77.0,51.0,61.0,81.0,49.0,80.0,56.0,55.0,82.0,57.0,83.0,75.0,73.0,74.0
902,3.0,19.0,0.0,27.0,5.0,2.0,30.0,552.0,29.0,56.0,46.0,42.0,49.0,52.0,58.0,51.0,55.0,59.0,54.0,50.0,57.0,53.0,45.0,48.0,47.0,44.0,43.0,76.0,67.0,69.0
951,0.0,4.0,508.0,15.0,19.0,36.0,42.0,38.0,40.0,54.0,56.0,58.0,46.0,60.0,53.0,55.0,51.0,57.0,50.0,47.0,59.0,49.0,48.0,52.0,44.0,61.0,7.0,67.0,69.0,68.0
1000,2.0,132.0,24.0,8.0,4.0,42.0,360.0,0.0,424.0,48.0,52.0,53.0,55.0,49.0,27.0,50.0,56.0,51.0,45.0,44.0,54.0,41.0,46.0,47.0,57.0,43.0,75.0,71.0,69.0,70.0
1049,11.0,24.0,506.0,8.0,7.0,6.0,30.0,25.0,41.0,49.0,50.0,51.0,53.0,52.0,93.0,56.0,48.0,55.0,58.0,46.0,54.0,47.0,133.0,94.0,57.0,96.0,44.0,71.0,69.0,70.0
1098,14.0,154.0,10.0,0.0,51.0,42.0,2.0,35.0,425.0,57.0,41.0,50.0,47.0,26.0,48.0,49.0,55.0,52.0,54.0,59.0,56.0,53.0,45.0,46.0,58.0,43.0,44.0,64.0,4.0,65.0
1147,4.0,156.0,26.0,40.0,16.0,63.0,356.0,36.0,39.0,50.0,52.0,55.0,68.0,56.0,27.0,59.0,49.0,58.0,53.0,83.0,57.0,51.0,61.0,60.0,96.0,62.0,95.0,46.0,2.0,48.0
1196,16.0,7.0,509.0,2.0,0.0,79.0,359.0,4.0,31.0,51.0,55.0,46.0,52.0,53.0,37.0,44.0,50.0,54.0,49.0,45.0,47.0,48.0,41.0,43.0,40.0,42.0,91.0,68.0,5.0,67.0
1245,16.0,157.0,6.0,1.0,34.0,29.0,18.0,37.0,27.0,50.0,51.0,12.0,43.0,48.0,53.0,54.0,56.0,55.0,47.0,40.0,44.0,41.0,57.0,52.0,75.0,49.0,59.0,71.0,4.0,70.0
1294,150.0,172.0,4.0,3.0,72.0,63.0,355.0,533.0,38.0,49.0,48.0,47.0,46.0,53.0,41.0,42.0,50.0,43.0,51.0,54.0,44.0,52.0,45.0,40.0,73.0,55.0,74.0,274.0,181.0,273.0
1343,14.0,156.0,509.0,0.0,3.0,44.0,356.0,4.0,6.0,59.0,51.0,55.0,47.0,52.0,35.0,53.0,58.0,60.0,57.0,50.0,56.0,54.0,48.0,49.0,43.0,46.0,45.0,76.0,74.0,75.0
1392,27.0,170.0,26.0,19.0,6.0,68.0,356.0,3.0,39.0,48.0,47.0,46.0,45.0,53.0,25.0,54.0,49.0,41.0,50.0,52.0,42.0,51.0,70.0,55.0,72.0,69.0,73.0,274.0,181.0,273.0
1441,2.0,153.0,10.0,1.0,87.0,56.0,354.0,7.0,422.0,35.0,36.0,38.0,41.0,40.0,49.0,47.0,34.0,46.0,48.0,88.0,43.0,61.0,54.0,51.0,86.0,55.0,84.0,59.0,44.0,45.0
1490,17.0,133.0,506.0,27.0,58.0,1.0,39.0,551.0,37.0,49.0,57.0,33.0,51.0,52.0,43.0,48.0,56.0,47.0,55.0,53.0,50.0,54.0,45.0,46.0,44.0,41.0,42.0,69.0,66.0,67.0
1539,7.0,11.0,509.0,36.0,45.0,30.0,2.0,6.0,35.0,51.0,64.0,53.0,56.0,55.0,62.0,61.0,41.0,60.0,42.0,50.0,58.0,43.0,80.0,63.0,46.0,163.0,47.0,48.0,94.0,95.0
1588,6.0,4.0,513.0,0.0,3.0,34.0,19.0,25.0,424.0,76.0,67.0,56.0,54.0,55.0,50.0,51.0,77.0,52.0,78.0,97.0,53.0,96.0,48.0,49.0,99.0,47.0,100.0,281.0,278.0,279.0
1637,6.0,11.0,22.0,565.0,17.0,27.0,3.0,537.0,40.0,42.0,45.0,46.0,54.0,49.0,58.0,56.0,47.0,55.0,48.0,66.0,53.0,50.0,60.0,59.0,93.0,61.0,91.0,43.0,51.0,44.0
1686,4.0,1.0,510.0,566.0,21.0,8.0,2.0,537.0,16.0,52.0,54.0,46.0,53.0,55.0,45.0,57.0,49.0,50.0,48.0,56.0,51.0,47.0,44.0,40.0,41.0,83.0,93.0,84.0,58.0,92.0
1735,6.0,4.0,508.0,0.0,3.0,13.0,27.0,535.0,423.0,42.0,50.0,65.0,55.0,53.0,25.0,58.0,43.0,57.0,44.0,46.0,56.0,45.0,61.0,60.0,54.0,63.0,66.0,51.0,48.0,47.0
1784,1.0,14.0,505.0,41.0,58.0,154.0,357.0,35.0,427.0,59.0,52.0,57.0,49.0,61.0,98.0,44.0,53.0,45.0,50.0,55.0,47.0,46.0,100.0,157.0,51.0,155.0,56.0,78.0,69.0,71.0
1833,0.0,3.0,507.0,31.0,4.0,58.0,29.0,536.0,423.0,44.0,38.0,41.0,46.0,39.0,52.0,51.0,43.0,49.0,47.0,62.0,48.0,60.0,54.0,53.0,86.0,55.0,84.0,50.0,42.0,59.0
1882,3.0,0.0,511.0,6.0,48.0,11.0,23.0,551.0,425.0,44.0,26.0,64.0,53.0,51.0,57.0,56.0,45.0,55.0,50.0,47.0,54.0,46.0,60.0,58.0,52.0,61.0,67.0,49.0,95.0,65.0
1931,1.0,11.0,505.0,41.0,52.0,98.0,0.0,550.0,425.0,59.0,45.0,58.0,53.0,55.0,37.0,34.0,61.0,48.0,57.0,54.0,60.0,56.0,96.0,86.0,51.0,135.0,50.0,67.0,69.0,68.0
1980,9.0,2.0,510.0,5.0,24.0,59.0,29.0,36.0,424.0,42.0,44.0,62.0,50.0,48.0,54.0,53.0,40.0,52.0,41.0,45.0,51.0,43.0,57.0,56.0,65.0,58.0,10.0,47.0,63.0,49.0
2029,2.0,0.0,511.0,37.0,67.0,27.0,28.0,4.0,36.0,45.0,43.0,42.0,50.0,49.0,58.0,55.0,46.0,54.0,66.0,68.0,65.0,81.0,60.0,59.0,92.0,61.0,91.0,144.0,57.0,62.0
2078,1.0,132.0,8.0,2.0,44.0,29.0,356.0,552.0,425.0,61.0,57.0,58.0,38.0,60.0,26.0,54.0,50.0,55.0,48.0,45.0,49.0,46.0,39.0,40.0,42.0,79.0,41.0,43.0,63.0,77.0
2127,0.0,14.0,5.0,11.0,91.0,22.0,25.0,28.0,31.0,43.0,37.0,44.0,45.0,46.0,21.0,50.0,38.0,49.0,39.0,42.0,48.0,40.0,54.0,53.0,63.0,55.0,62.0,47.0,89.0,61.0
2176,0.0,6.0,21.0,38.0,92.0,5.0,357.0,3.0,425.0,50.0,47.0,44.0,46.0,52.0,58.0,66.0,51.0,65.0,96.0,95.0,48.0,67.0,60.0,59.0,89.0,62.0,87.0,56.0,54.0,55.0
2225,18.0,1.0,23.0,33.0,92.0,7.0,357.0,38.0,35.0,48.0,43.0,49.0,53.0,42.0,57.0,56.0,52.0,55.0,66.0,94.0,54.0,68.0,60.0,58.0,91.0,61.0,90.0,50.0,44.0,41.0
2274,39.0,3.0,27.0,26.0,44.0,151.0,30.0,5.0,427.0,50.0,59.0,57.0,54.0,55.0,85.0,46.0,45.0,47.0,48.0,56.0,49.0,51.0,134.0,95.0,58.0,97.0,60.0,35.0,69.0,68.0
