,HLA-L,TMEM255B,FANCD2,YIPF4,CTA-363E19.2,IGF1R,FNBP1P1,LOXL2,IL6,TNFRSF1B,CCL3,GPR35,OSMR,IKBIP,TFAP2A,ACVR2A,UBL7-AS1,GEN1,ATXN7L3B,ACTL10,ATAD5,TTC31,TWSG1,NAT14,UST,HIF1A-AS1,MAPK13,LCOR,LDHAL6A,PVRIG
2118,10.0,127.0,82.0,121.0,69.0,351.0,8.0,7.0,0.0,15964.0,174.0,21.0,22.0,150.0,20833.0,90.0,9.0,16912.0,33.0,347.0,40.0,17263.0,12374.0,71.0,1.0,12.0,19.0,25.0,149.0,31.0
2167,210.0,153.0,1.0,47.0,14.0,187.0,12.0,168.0,0.0,15973.0,39.0,13640.0,163.0,378.0,20694.0,22.0,314.0,16802.0,6675.0,15.0,73.0,538.0,821.0,9.0,23252.0,85.0,21061.0,4.0,164.0,121.0
2216,5.0,34.0,2.0,0.0,70.0,4209.0,88.0,552.0,1.0,15954.0,143.0,558.0,16.0,7.0,157.0,13485.0,1197.0,435.0,23.0,28.0,141.0,17184.0,100.0,7841.0,146.0,174.0,506.0,355.0,262.0,24.0
2265,21343.0,43.0,17.0,289.0,129.0,3471.0,17121.0,233.0,79.0,176.0,146.0,13613.0,64.0,4.0,131.0,162.0,216.0,1930.0,5.0,9.0,85.0,17237.0,12370.0,238.0,66.0,3080.0,485.0,588.0,341.0,94.0
2314,0.0,14.0,10.0,1.0,150.0,4818.0,17259.0,29.0,2.0,15977.0,92.0,267.0,7.0,19.0,20828.0,30.0,4566.0,16799.0,1966.0,15.0,8.0,132.0,2269.0,75.0,2561.0,154.0,54.0,167.0,4503.0,147.0
2363,79.0,13.0,49.0,9.0,20.0,259.0,8.0,763.0,26.0,212.0,81.0,24.0,7.0,260.0,15.0,143.0,883.0,159.0,86.0,458.0,80.0,261.0,12486.0,8158.0,23387.0,147.0,408.0,36.0,96.0,339.0
2412,5.0,2379.0,141.0,428.0,617.0,47.0,17226.0,6.0,3.0,544.0,160.0,12707.0,4.0,218.0,20825.0,275.0,282.0,40.0,243.0,424.0,51.0,283.0,202.0,8101.0,2.0,10.0,63.0,376.0,4051.0,70.0
2461,319.0,139.0,29.0,16675.0,86.0,4713.0,17253.0,32.0,1.0,219.0,193.0,360.0,91.0,0.0,112.0,13.0,63.0,16866.0,18.0,4.0,329.0,125.0,43.0,268.0,9.0,301.0,138.0,19480.0,185.0,22644.0
2510,0.0,82.0,4.0,16880.0,298.0,4354.0,17109.0,550.0,229.0,157.0,113.0,13687.0,25.0,30.0,53.0,135.0,79.0,6.0,145.0,9312.0,63.0,204.0,95.0,875.0,15.0,3221.0,413.0,285.0,171.0,22661.0
2559,959.0,114.0,1.0,54.0,259.0,73.0,1211.0,106.0,310.0,87.0,92.0,17371.0,131.0,98.0,197.0,38.0,328.0,126.0,7.0,467.0,188.0,152.0,34.0,124.0,43.0,6855.0,150.0,20417.0,90.0,389.0
2608,9.0,11.0,64.0,14.0,22403.0,48.0,106.0,19193.0,179.0,90.0,150.0,13620.0,25.0,103.0,4.0,70.0,392.0,134.0,6580.0,928.0,5.0,329.0,200.0,8220.0,564.0,3183.0,455.0,49.0,359.0,22658.0
2657,1.0,22.0,16.0,7.0,22538.0,3.0,10.0,2077.0,72.0,343.0,192.0,13615.0,169.0,25.0,20808.0,5.0,3867.0,28.0,2186.0,478.0,361.0,74.0,320.0,17.0,23391.0,3287.0,479.0,665.0,151.0,22455.0
2706,198.0,8.0,5.0,38.0,22523.0,34.0,17262.0,19206.0,527.0,197.0,130.0,701.0,386.0,24.0,20828.0,52.0,228.0,16897.0,124.0,742.0,363.0,631.0,112.0,15.0,575.0,1718.0,11.0,19425.0,142.0,379.0
2755,76.0,218.0,7.0,118.0,22416.0,154.0,39.0,53.0,126.0,105.0,99.0,1144.0,28.0,4.0,73.0,9.0,252.0,47.0,2.0,16.0,45.0,17259.0,119.0,8.0,178.0,3235.0,307.0,75.0,5434.0,489.0
2804,2.0,139.0,201.0,348.0,22526.0,368.0,26.0,19214.0,227.0,129.0,12.0,13651.0,167.0,7083.0,114.0,30.0,28.0,16.0,35.0,7179.0,168.0,17268.0,151.0,486.0,382.0,1331.0,824.0,19412.0,297.0,970.0
2853,21317.0,115.0,9.0,22.0,22451.0,11018.0,17273.0,113.0,17.0,110.0,266.0,13654.0,48.0,3.0,134.0,124.0,89.0,71.0,24.0,358.0,69.0,45.0,33.0,25.0,257.0,3352.0,297.0,19415.0,6227.0,398.0
2902,158.0,192.0,7.0,16669.0,22534.0,1021.0,17268.0,100.0,36.0,217.0,167.0,13648.0,78.0,226.0,94.0,145.0,113.0,262.0,114.0,19.0,45.0,196.0,24.0,8154.0,23365.0,3605.0,21039.0,19436.0,95.0,22659.0
2951,2.0,25.0,0.0,279.0,23.0,1.0,17278.0,44.0,31.0,16023.0,70.0,12776.0,619.0,6991.0,3079.0,529.0,284.0,428.0,478.0,288.0,10012.0,208.0,242.0,919.0,23385.0,264.0,21158.0,401.0,5374.0,116.0
3000,17.0,92.0,13.0,15.0,142.0,14.0,130.0,634.0,2960.0,340.0,198.0,1547.0,580.0,7145.0,339.0,114.0,98.0,16926.0,230.0,7186.0,9951.0,473.0,8.0,1502.0,635.0,26.0,21123.0,610.0,5416.0,82.0
3049,0.0,67.0,2.0,494.0,22400.0,54.0,383.0,116.0,219.0,19.0,14.0,202.0,3.0,5122.0,158.0,238.0,4619.0,16803.0,311.0,12.0,81.0,248.0,60.0,101.0,23313.0,342.0,21043.0,103.0,252.0,22641.0
3098,0.0,1.0,14.0,5.0,7.0,32.0,959.0,333.0,164.0,15954.0,57.0,1484.0,21561.0,172.0,157.0,210.0,106.0,136.0,5241.0,24.0,9829.0,214.0,522.0,8168.0,23393.0,198.0,21161.0,44.0,3953.0,39.0
3147,0.0,8.0,11.0,274.0,22405.0,4.0,17279.0,74.0,388.0,77.0,165.0,12761.0,972.0,35.0,162.0,286.0,405.0,7.0,34.0,287.0,9978.0,288.0,37.0,268.0,23253.0,224.0,21049.0,421.0,368.0,3.0
3196,0.0,11.0,332.0,31.0,148.0,7.0,9.0,510.0,105.0,1067.0,321.0,12739.0,278.0,4919.0,20832.0,13282.0,89.0,127.0,138.0,48.0,816.0,258.0,176.0,465.0,3.0,15.0,162.0,215.0,272.0,4.0
3245,1.0,289.0,27.0,82.0,61.0,4.0,25.0,21.0,17.0,0.0,251.0,483.0,134.0,7087.0,12.0,321.0,3826.0,16835.0,138.0,7197.0,307.0,53.0,79.0,1522.0,308.0,58.0,962.0,37.0,177.0,40.0
3294,11.0,1389.0,14.0,40.0,83.0,19.0,17270.0,19237.0,22223.0,4.0,215.0,52.0,21546.0,7020.0,140.0,8.0,4536.0,302.0,6646.0,598.0,80.0,155.0,223.0,78.0,410.0,92.0,1715.0,89.0,200.0,47.0
