,FRA1,MEK1_pS217_S221,CDK1,Annexin 1,HER3,Src_pY527,CD49b,Src_pY416,Bax,Gab2,YB-1_pS102,Src,Rab25,E-Cadherin,Transglutaminase,Raptor,PKC-pan_BetaII_pS660,Smac,TIGAR,XBP1,Smad3,VAV1,HSP70,Notch1,14-3-3_zeta,p53,STAT5-alpha,p90RSK_pT573,Rb,Syk
1718,0.0,5.0,2.0,1.0,10.0,11.0,7.0,9.0,3.0,4.0,6.0,15.0,12.0,16.0,14.0,8.0,17.0,23.0,13.0,18.0,19.0,29.0,87.0,28.0,22.0,35.0,27.0,37.0,32.0,24.0
1767,2.0,5.0,1.0,0.0,3.0,13.0,18.0,4.0,8.0,7.0,10.0,9.0,12.0,6.0,17.0,20.0,15.0,19.0,11.0,29.0,16.0,35.0,33.0,14.0,25.0,79.0,23.0,30.0,38.0,46.0
1816,0.0,11.0,3.0,2.0,1.0,6.0,8.0,9.0,5.0,4.0,7.0,14.0,21.0,12.0,13.0,16.0,10.0,28.0,22.0,15.0,17.0,31.0,34.0,18.0,26.0,57.0,23.0,32.0,20.0,40.0
1865,0.0,10.0,1.0,3.0,5.0,8.0,7.0,9.0,16.0,2.0,24.0,19.0,11.0,4.0,15.0,14.0,6.0,13.0,21.0,36.0,20.0,47.0,106.0,18.0,28.0,29.0,79.0,33.0,22.0,12.0
1914,0.0,1.0,4.0,2.0,5.0,12.0,16.0,6.0,15.0,8.0,9.0,11.0,13.0,7.0,3.0,20.0,10.0,19.0,18.0,14.0,17.0,54.0,92.0,28.0,26.0,37.0,58.0,24.0,29.0,21.0
1963,3.0,4.0,0.0,5.0,8.0,9.0,2.0,14.0,11.0,23.0,24.0,12.0,59.0,13.0,1.0,19.0,75.0,15.0,6.0,10.0,31.0,7.0,17.0,40.0,25.0,54.0,21.0,16.0,56.0,53.0
2012,2.0,4.0,0.0,9.0,17.0,6.0,1.0,13.0,20.0,7.0,8.0,15.0,21.0,22.0,5.0,16.0,73.0,11.0,19.0,14.0,26.0,12.0,18.0,49.0,31.0,52.0,10.0,24.0,28.0,33.0
2061,2.0,4.0,0.0,8.0,7.0,17.0,1.0,9.0,6.0,15.0,34.0,36.0,10.0,16.0,3.0,12.0,30.0,5.0,20.0,22.0,68.0,26.0,13.0,38.0,102.0,70.0,21.0,18.0,23.0,29.0
2110,1.0,4.0,2.0,9.0,21.0,14.0,0.0,10.0,30.0,5.0,31.0,7.0,22.0,13.0,3.0,17.0,18.0,6.0,11.0,24.0,19.0,23.0,12.0,43.0,35.0,57.0,8.0,15.0,20.0,26.0
2159,10.0,4.0,1.0,14.0,18.0,7.0,0.0,2.0,24.0,15.0,8.0,16.0,9.0,17.0,3.0,11.0,28.0,5.0,12.0,13.0,30.0,6.0,22.0,48.0,102.0,51.0,23.0,19.0,59.0,71.0
2208,4.0,5.0,1.0,9.0,12.0,15.0,0.0,26.0,22.0,8.0,2.0,17.0,21.0,7.0,3.0,11.0,23.0,16.0,14.0,18.0,42.0,19.0,6.0,37.0,27.0,51.0,10.0,33.0,24.0,30.0
2257,2.0,3.0,1.0,14.0,4.0,17.0,0.0,20.0,19.0,11.0,12.0,15.0,76.0,10.0,6.0,16.0,77.0,8.0,7.0,24.0,22.0,23.0,9.0,44.0,103.0,64.0,21.0,13.0,29.0,68.0
2306,4.0,0.0,2.0,19.0,8.0,5.0,1.0,6.0,22.0,7.0,25.0,26.0,12.0,16.0,3.0,13.0,24.0,11.0,10.0,21.0,29.0,18.0,9.0,40.0,119.0,30.0,15.0,14.0,68.0,64.0
2355,3.0,4.0,2.0,5.0,16.0,9.0,0.0,6.0,17.0,11.0,12.0,23.0,24.0,15.0,1.0,7.0,19.0,25.0,13.0,20.0,33.0,21.0,8.0,41.0,113.0,75.0,22.0,10.0,32.0,34.0
2404,6.0,0.0,3.0,12.0,8.0,14.0,4.0,5.0,20.0,15.0,18.0,9.0,2.0,22.0,1.0,17.0,16.0,19.0,7.0,21.0,26.0,10.0,29.0,46.0,104.0,55.0,24.0,13.0,62.0,31.0
2453,0.0,2.0,1.0,20.0,9.0,4.0,6.0,7.0,18.0,17.0,24.0,8.0,5.0,28.0,14.0,27.0,26.0,15.0,10.0,33.0,40.0,13.0,23.0,3.0,116.0,42.0,12.0,39.0,29.0,45.0
2502,4.0,0.0,5.0,14.0,1.0,3.0,2.0,7.0,13.0,115.0,11.0,16.0,8.0,15.0,19.0,10.0,25.0,34.0,23.0,22.0,61.0,18.0,24.0,6.0,109.0,37.0,17.0,32.0,30.0,59.0
2551,1.0,0.0,4.0,6.0,2.0,5.0,3.0,7.0,11.0,16.0,10.0,17.0,9.0,22.0,12.0,36.0,26.0,8.0,18.0,28.0,40.0,31.0,23.0,13.0,25.0,35.0,20.0,32.0,15.0,34.0
2600,1.0,0.0,3.0,9.0,6.0,5.0,2.0,8.0,18.0,24.0,20.0,11.0,4.0,22.0,15.0,25.0,33.0,7.0,21.0,48.0,37.0,30.0,34.0,12.0,103.0,10.0,14.0,70.0,23.0,29.0
2649,5.0,1.0,2.0,18.0,9.0,8.0,0.0,4.0,11.0,17.0,16.0,6.0,15.0,23.0,22.0,21.0,73.0,7.0,14.0,33.0,59.0,38.0,10.0,3.0,24.0,28.0,13.0,25.0,26.0,27.0
2698,6.0,0.0,4.0,2.0,1.0,24.0,8.0,9.0,16.0,27.0,10.0,15.0,5.0,25.0,3.0,39.0,14.0,11.0,21.0,35.0,20.0,12.0,117.0,7.0,109.0,30.0,36.0,18.0,26.0,22.0
2747,2.0,0.0,5.0,10.0,9.0,3.0,1.0,7.0,28.0,23.0,8.0,11.0,4.0,37.0,19.0,16.0,21.0,6.0,32.0,31.0,71.0,15.0,22.0,12.0,30.0,46.0,13.0,34.0,33.0,14.0
2796,1.0,0.0,6.0,7.0,3.0,5.0,4.0,11.0,12.0,120.0,25.0,16.0,14.0,18.0,10.0,19.0,64.0,2.0,26.0,38.0,71.0,21.0,23.0,8.0,17.0,28.0,22.0,76.0,20.0,37.0
2845,3.0,1.0,4.0,5.0,6.0,2.0,0.0,9.0,21.0,26.0,18.0,8.0,10.0,11.0,23.0,39.0,29.0,13.0,14.0,40.0,38.0,20.0,12.0,24.0,28.0,41.0,15.0,19.0,7.0,62.0
2894,2.0,1.0,5.0,9.0,10.0,3.0,0.0,7.0,19.0,17.0,6.0,18.0,4.0,16.0,14.0,22.0,15.0,13.0,25.0,37.0,58.0,8.0,12.0,11.0,31.0,36.0,21.0,27.0,35.0,75.0
2943,0.0,1.0,3.0,4.0,7.0,9.0,6.0,8.0,26.0,2.0,10.0,14.0,22.0,13.0,19.0,20.0,16.0,15.0,5.0,29.0,11.0,24.0,23.0,35.0,17.0,25.0,18.0,76.0,12.0,34.0
2992,0.0,6.0,2.0,1.0,9.0,4.0,14.0,13.0,15.0,3.0,5.0,10.0,33.0,7.0,39.0,12.0,17.0,19.0,8.0,31.0,25.0,16.0,22.0,23.0,21.0,20.0,29.0,36.0,11.0,18.0
3041,0.0,1.0,9.0,3.0,8.0,6.0,2.0,7.0,15.0,11.0,4.0,53.0,14.0,29.0,16.0,12.0,19.0,10.0,23.0,25.0,35.0,24.0,17.0,26.0,5.0,22.0,27.0,74.0,20.0,56.0
3090,0.0,2.0,6.0,11.0,4.0,3.0,1.0,9.0,8.0,7.0,10.0,12.0,18.0,33.0,30.0,28.0,19.0,22.0,20.0,13.0,5.0,14.0,26.0,24.0,17.0,15.0,67.0,34.0,36.0,29.0
3139,0.0,7.0,2.0,3.0,10.0,4.0,1.0,11.0,8.0,6.0,5.0,12.0,21.0,15.0,30.0,20.0,14.0,18.0,23.0,13.0,33.0,22.0,24.0,51.0,9.0,16.0,28.0,35.0,26.0,29.0
3188,0.0,1.0,8.0,2.0,3.0,5.0,4.0,12.0,7.0,6.0,10.0,20.0,16.0,17.0,29.0,28.0,13.0,21.0,26.0,9.0,27.0,22.0,87.0,35.0,15.0,18.0,75.0,19.0,11.0,24.0
3237,0.0,4.0,1.0,2.0,3.0,8.0,5.0,7.0,12.0,14.0,6.0,20.0,11.0,32.0,27.0,13.0,23.0,9.0,17.0,34.0,19.0,22.0,40.0,25.0,21.0,16.0,18.0,15.0,35.0,37.0
3286,1.0,5.0,6.0,2.0,7.0,0.0,4.0,3.0,10.0,12.0,8.0,30.0,11.0,15.0,25.0,16.0,21.0,17.0,22.0,18.0,35.0,20.0,14.0,13.0,9.0,19.0,28.0,27.0,23.0,24.0
3335,0.0,2.0,6.0,1.0,15.0,4.0,3.0,10.0,5.0,9.0,7.0,28.0,23.0,26.0,41.0,11.0,17.0,18.0,27.0,14.0,20.0,33.0,21.0,38.0,13.0,8.0,34.0,31.0,24.0,12.0
3384,1.0,3.0,2.0,0.0,6.0,15.0,7.0,8.0,13.0,4.0,14.0,12.0,18.0,30.0,5.0,24.0,20.0,11.0,17.0,9.0,27.0,16.0,68.0,28.0,22.0,10.0,52.0,51.0,19.0,21.0
3433,0.0,1.0,8.0,4.0,6.0,5.0,7.0,9.0,3.0,2.0,18.0,12.0,10.0,11.0,13.0,34.0,19.0,15.0,14.0,21.0,65.0,16.0,29.0,26.0,30.0,23.0,72.0,20.0,24.0,25.0
3482,0.0,1.0,3.0,5.0,6.0,7.0,4.0,12.0,2.0,10.0,13.0,11.0,14.0,19.0,9.0,26.0,8.0,15.0,27.0,35.0,37.0,17.0,21.0,28.0,20.0,23.0,22.0,77.0,16.0,70.0
3531,1.0,0.0,8.0,2.0,4.0,6.0,14.0,13.0,3.0,9.0,21.0,5.0,11.0,7.0,17.0,26.0,15.0,12.0,19.0,20.0,27.0,16.0,23.0,22.0,31.0,18.0,29.0,38.0,10.0,59.0
3580,0.0,1.0,2.0,5.0,11.0,12.0,8.0,16.0,4.0,3.0,18.0,13.0,6.0,7.0,22.0,10.0,17.0,24.0,14.0,26.0,27.0,9.0,15.0,30.0,37.0,23.0,39.0,21.0,20.0,35.0
3629,2.0,4.0,5.0,0.0,1.0,15.0,6.0,10.0,3.0,9.0,17.0,14.0,7.0,8.0,31.0,11.0,16.0,25.0,21.0,12.0,60.0,56.0,24.0,30.0,20.0,39.0,27.0,78.0,67.0,32.0
3678,0.0,1.0,2.0,3.0,7.0,4.0,11.0,14.0,5.0,15.0,8.0,13.0,10.0,6.0,33.0,18.0,17.0,12.0,16.0,19.0,32.0,44.0,9.0,42.0,35.0,26.0,41.0,20.0,21.0,62.0
3727,0.0,11.0,12.0,5.0,4.0,14.0,10.0,3.0,1.0,2.0,15.0,8.0,7.0,6.0,9.0,23.0,17.0,16.0,21.0,19.0,25.0,13.0,33.0,44.0,29.0,28.0,63.0,24.0,18.0,32.0
3776,1.0,0.0,5.0,7.0,6.0,2.0,4.0,8.0,17.0,3.0,28.0,15.0,10.0,9.0,12.0,25.0,11.0,13.0,22.0,32.0,19.0,29.0,42.0,16.0,21.0,31.0,39.0,18.0,14.0,37.0
3825,2.0,0.0,8.0,6.0,1.0,9.0,4.0,10.0,5.0,3.0,20.0,18.0,7.0,14.0,17.0,24.0,13.0,12.0,27.0,11.0,22.0,23.0,21.0,30.0,110.0,19.0,28.0,25.0,15.0,32.0
3874,0.0,2.0,13.0,5.0,1.0,7.0,9.0,11.0,6.0,8.0,20.0,21.0,3.0,4.0,14.0,17.0,10.0,15.0,35.0,37.0,28.0,16.0,18.0,53.0,105.0,19.0,25.0,30.0,12.0,26.0
3923,0.0,4.0,8.0,3.0,2.0,42.0,7.0,1.0,20.0,16.0,5.0,36.0,19.0,11.0,10.0,22.0,9.0,15.0,12.0,60.0,6.0,14.0,29.0,33.0,18.0,13.0,21.0,27.0,37.0,17.0
3972,0.0,2.0,17.0,10.0,7.0,20.0,6.0,4.0,11.0,5.0,3.0,9.0,13.0,8.0,15.0,14.0,1.0,25.0,12.0,55.0,21.0,27.0,22.0,58.0,109.0,16.0,31.0,18.0,39.0,29.0
4021,0.0,1.0,7.0,3.0,19.0,25.0,5.0,8.0,2.0,13.0,6.0,9.0,11.0,12.0,17.0,29.0,4.0,14.0,10.0,43.0,18.0,22.0,26.0,15.0,27.0,30.0,35.0,24.0,28.0,37.0
4070,1.0,3.0,11.0,4.0,7.0,18.0,2.0,0.0,9.0,25.0,6.0,5.0,14.0,10.0,13.0,26.0,20.0,8.0,19.0,29.0,17.0,23.0,22.0,39.0,16.0,15.0,33.0,28.0,36.0,61.0
4119,0.0,1.0,2.0,3.0,4.0,18.0,9.0,5.0,7.0,27.0,6.0,13.0,37.0,8.0,15.0,68.0,12.0,32.0,10.0,56.0,11.0,29.0,22.0,16.0,14.0,17.0,61.0,25.0,24.0,26.0
4168,0.0,1.0,8.0,6.0,10.0,25.0,7.0,3.0,5.0,27.0,2.0,9.0,15.0,12.0,20.0,24.0,11.0,17.0,13.0,35.0,4.0,22.0,19.0,28.0,23.0,16.0,14.0,29.0,26.0,21.0
4217,0.0,1.0,5.0,6.0,10.0,14.0,29.0,3.0,2.0,26.0,4.0,7.0,9.0,8.0,13.0,12.0,18.0,22.0,11.0,43.0,16.0,17.0,110.0,21.0,20.0,23.0,15.0,19.0,65.0,24.0
4266,0.0,3.0,5.0,6.0,14.0,32.0,13.0,1.0,2.0,10.0,4.0,9.0,15.0,7.0,17.0,18.0,12.0,20.0,8.0,23.0,11.0,22.0,80.0,24.0,29.0,16.0,30.0,28.0,31.0,25.0
4315,0.0,12.0,6.0,2.0,15.0,13.0,23.0,5.0,7.0,18.0,3.0,1.0,4.0,11.0,8.0,14.0,19.0,9.0,17.0,53.0,10.0,20.0,80.0,16.0,24.0,22.0,21.0,41.0,31.0,26.0
4364,0.0,1.0,4.0,8.0,5.0,30.0,2.0,14.0,9.0,20.0,3.0,11.0,16.0,12.0,13.0,7.0,6.0,17.0,15.0,29.0,19.0,25.0,28.0,32.0,27.0,34.0,23.0,55.0,57.0,22.0
4413,3.0,8.0,5.0,0.0,4.0,2.0,1.0,9.0,6.0,7.0,11.0,10.0,23.0,19.0,47.0,13.0,27.0,18.0,17.0,14.0,28.0,22.0,66.0,15.0,25.0,20.0,24.0,64.0,35.0,12.0
4462,1.0,6.0,9.0,2.0,5.0,0.0,3.0,8.0,10.0,4.0,13.0,7.0,17.0,30.0,18.0,24.0,16.0,20.0,14.0,27.0,12.0,23.0,59.0,22.0,25.0,15.0,28.0,31.0,66.0,11.0
4511,0.0,1.0,3.0,5.0,2.0,4.0,17.0,14.0,22.0,8.0,10.0,12.0,11.0,15.0,33.0,20.0,18.0,34.0,6.0,7.0,9.0,24.0,90.0,28.0,23.0,26.0,19.0,65.0,62.0,13.0
4560,0.0,5.0,6.0,7.0,2.0,1.0,4.0,22.0,8.0,3.0,29.0,13.0,16.0,23.0,27.0,11.0,19.0,26.0,12.0,28.0,10.0,25.0,96.0,20.0,17.0,14.0,15.0,74.0,31.0,9.0
4609,0.0,6.0,9.0,5.0,2.0,4.0,1.0,10.0,7.0,3.0,28.0,11.0,8.0,15.0,14.0,29.0,13.0,27.0,18.0,25.0,24.0,20.0,81.0,32.0,23.0,26.0,19.0,21.0,61.0,12.0
4658,0.0,5.0,10.0,1.0,3.0,2.0,19.0,17.0,9.0,8.0,13.0,6.0,23.0,7.0,15.0,24.0,18.0,27.0,11.0,16.0,4.0,32.0,80.0,26.0,25.0,14.0,29.0,47.0,67.0,12.0
4707,0.0,2.0,5.0,6.0,1.0,3.0,4.0,28.0,7.0,8.0,17.0,21.0,19.0,14.0,16.0,11.0,30.0,24.0,9.0,13.0,18.0,23.0,77.0,20.0,22.0,49.0,26.0,76.0,66.0,15.0
4756,1.0,3.0,9.0,4.0,2.0,0.0,7.0,19.0,17.0,25.0,16.0,14.0,10.0,26.0,20.0,15.0,24.0,21.0,22.0,8.0,13.0,30.0,37.0,28.0,27.0,12.0,5.0,33.0,66.0,6.0
4805,0.0,3.0,8.0,1.0,6.0,2.0,10.0,4.0,13.0,12.0,14.0,11.0,24.0,18.0,34.0,16.0,17.0,25.0,19.0,15.0,23.0,54.0,33.0,21.0,20.0,7.0,9.0,26.0,75.0,5.0
4854,0.0,1.0,6.0,4.0,3.0,2.0,5.0,8.0,10.0,7.0,26.0,11.0,14.0,21.0,16.0,15.0,19.0,20.0,12.0,22.0,24.0,30.0,91.0,18.0,25.0,9.0,27.0,37.0,68.0,13.0
