,FAM21B,PYCARD,HMGA2,RP11-1094M14.1,PTEN,ZNF502,NDN,AP006222.2,FAM110C,BHLHE41,GAMT,HSPB1,ALDH2,ADAP2,BTN3A1,SCN9A,GBP5,CPNE7,IFITM2,NRK,SNCA,C20orf96,RP11-216M21.1,PITPNC1,HS1BP3,TMEM240,PNRC2,RPL22,TSPYL5,HSD11B2
1184,0.0,9.0,489.0,1.0,45.0,27.0,40.0,19.0,23.0,11.0,3.0,26.0,4.0,448.0,391.0,10.0,7.0,48.0,37.0,50.0,113.0,20.0,73.0,43.0,62.0,31.0,59.0,111.0,1992.0,28.0
1233,0.0,11.0,19.0,1.0,25.0,3.0,231.0,2.0,91.0,12.0,33.0,23.0,7.0,38.0,658.0,54.0,21.0,6.0,15.0,276.0,14.0,42.0,53.0,29.0,37.0,20.0,24.0,50.0,615.0,49.0
1282,0.0,5.0,17.0,7.0,69.0,3.0,101.0,2.0,11.0,32.0,9.0,4.0,34.0,51.0,161.0,21.0,23.0,10.0,24.0,233.0,200.0,62.0,8.0,27.0,72.0,29.0,12.0,31.0,138.0,37.0
1331,0.0,202.0,9.0,1.0,35.0,24.0,11.0,5.0,3.0,10.0,66.0,8.0,20.0,56.0,364.0,13.0,33.0,62.0,7.0,153.0,42.0,22.0,4.0,63.0,47.0,711.0,37.0,127.0,105.0,44.0
1380,0.0,7.0,20.0,9.0,11.0,23.0,193.0,3.0,50.0,8.0,17.0,18.0,5.0,80.0,602.0,22.0,56.0,2.0,1.0,146.0,109.0,4.0,6.0,155.0,54.0,45.0,53.0,55.0,26.0,49.0
1429,0.0,36.0,14.0,37.0,42.0,3.0,300.0,12.0,19.0,15.0,9.0,28.0,4.0,18.0,347.0,33.0,13.0,6.0,2.0,22.0,59.0,47.0,115.0,50.0,151.0,66.0,74.0,82.0,156.0,24.0
1478,0.0,1.0,4.0,3.0,71.0,2.0,117.0,14.0,900.0,8.0,21.0,7.0,5.0,31.0,13.0,101.0,18.0,27.0,16.0,144.0,76.0,39.0,307.0,130.0,33.0,97.0,28.0,44.0,642.0,191.0
1527,2.0,0.0,17.0,32.0,157.0,18.0,14.0,20.0,19.0,5.0,36.0,10.0,4.0,8.0,11.0,176.0,71.0,67.0,89.0,51.0,15.0,9.0,104.0,112.0,37.0,230.0,3.0,105.0,7832.0,151.0
1576,0.0,3.0,24.0,271.0,6.0,4.0,69.0,7.0,664.0,12.0,58.0,9.0,2.0,65.0,38.0,172.0,28.0,1.0,10.0,195.0,108.0,18.0,1642.0,33.0,16.0,109.0,140.0,47.0,30.0,48.0
1625,1.0,7.0,3.0,2.0,89.0,6.0,621.0,9.0,1001.0,18.0,46.0,12.0,0.0,44.0,10.0,36.0,88.0,56.0,11.0,374.0,14.0,17.0,23.0,208.0,8.0,2236.0,288.0,47.0,91.0,535.0
1674,7.0,0.0,3.0,1.0,39.0,220.0,80.0,29.0,214.0,16.0,10.0,34.0,2.0,101.0,21.0,231.0,19.0,31.0,53.0,392.0,38.0,45.0,232.0,28.0,18.0,46.0,6.0,47.0,1697.0,1054.0
1723,1.0,0.0,3.0,21.0,46.0,13.0,113.0,30.0,16.0,10.0,78.0,6.0,12.0,67.0,17.0,116.0,11.0,2.0,7.0,77.0,98.0,14.0,80.0,150.0,62.0,159.0,15.0,120.0,1478.0,169.0
1772,0.0,1.0,2.0,105.0,53.0,3.0,361.0,13.0,549.0,16.0,24.0,5.0,9.0,185.0,12.0,80.0,40.0,27.0,6.0,278.0,31.0,23.0,3525.0,60.0,106.0,87.0,46.0,56.0,2369.0,171.0
1821,0.0,1.0,35.0,26.0,73.0,37.0,99.0,13.0,12.0,7.0,14.0,8.0,6.0,89.0,29.0,292.0,34.0,24.0,1015.0,193.0,173.0,57.0,1339.0,64.0,61.0,22.0,2.0,211.0,308.0,125.0
1870,2.0,3.0,1.0,4.0,159.0,16.0,328.0,13.0,46.0,5.0,23.0,108.0,0.0,136.0,33.0,57.0,18.0,8.0,38.0,118.0,47.0,11.0,22.0,153.0,35.0,222.0,7.0,111.0,249.0,103.0
1919,0.0,1.0,11.0,20.0,55.0,18.0,24.0,6.0,212.0,12.0,39.0,7.0,10.0,65.0,8.0,170.0,33.0,36.0,507.0,126.0,103.0,9.0,427.0,99.0,31.0,85.0,43.0,169.0,1248.0,592.0
1968,0.0,30.0,15.0,187.0,67.0,3.0,1.0,9.0,38.0,133.0,1102.0,17.0,113.0,23.0,25.0,12.0,27.0,10.0,47.0,8.0,6.0,78.0,42.0,137.0,36.0,496.0,51.0,11.0,39.0,28.0
2017,5.0,36.0,0.0,33.0,21.0,7.0,10.0,94.0,53.0,151.0,317.0,101.0,11.0,258.0,29.0,1.0,46.0,26.0,430.0,4.0,70.0,14.0,2.0,132.0,17.0,367.0,309.0,24.0,39.0,185.0
2066,0.0,1.0,15.0,4.0,74.0,2.0,9.0,18.0,11.0,230.0,582.0,10.0,22.0,93.0,57.0,17.0,38.0,100.0,6.0,21.0,3.0,30.0,7.0,134.0,131.0,269.0,416.0,181.0,20.0,69.0
2115,1.0,22.0,6.0,190.0,23.0,4.0,9.0,33.0,73.0,47.0,75.0,11.0,14.0,45.0,15.0,5.0,36.0,26.0,306.0,16.0,63.0,64.0,43.0,21.0,46.0,296.0,71.0,8.0,746.0,48.0
2164,6.0,25.0,2.0,806.0,23.0,4.0,0.0,56.0,10.0,32.0,171.0,15.0,29.0,22.0,20.0,21.0,134.0,146.0,65.0,3.0,19.0,46.0,5.0,54.0,35.0,191.0,266.0,7.0,176.0,257.0
2213,2.0,5.0,11.0,75.0,13.0,0.0,7.0,16.0,27.0,354.0,263.0,32.0,47.0,121.0,8.0,20.0,156.0,10.0,189.0,4.0,46.0,23.0,118.0,19.0,36.0,296.0,298.0,6.0,14.0,91.0
2262,0.0,12.0,1.0,48.0,11.0,79.0,211.0,91.0,19.0,28.0,180.0,52.0,10.0,27.0,3.0,2.0,101.0,24.0,29.0,8.0,22.0,80.0,82.0,14.0,44.0,161.0,184.0,6.0,94.0,49.0
2311,1.0,7.0,10.0,51.0,72.0,48.0,6.0,68.0,362.0,8.0,102.0,29.0,59.0,31.0,11.0,17.0,19.0,604.0,1015.0,3.0,16.0,82.0,57.0,58.0,163.0,284.0,317.0,26.0,156.0,175.0
2360,1.0,3.0,12.0,56.0,10.0,34.0,504.0,39.0,619.0,27.0,35.0,134.0,32.0,7.0,36.0,6.0,24.0,517.0,119.0,41.0,17.0,91.0,63.0,43.0,22.0,359.0,1274.0,8.0,31.0,443.0
2409,4.0,46.0,0.0,1551.0,23.0,33.0,27.0,15.0,53.0,20.0,257.0,10.0,13.0,141.0,3.0,93.0,79.0,90.0,31.0,32.0,240.0,16.0,107.0,11.0,54.0,852.0,488.0,14.0,228.0,76.0
2458,14.0,3.0,4.0,0.0,18.0,1.0,114.0,37.0,6.0,36.0,133.0,362.0,29.0,128.0,16.0,13.0,12.0,767.0,161.0,145.0,10.0,614.0,35.0,137.0,86.0,316.0,64.0,20.0,2.0,641.0
2507,0.0,3.0,4.0,8.0,9.0,1.0,227.0,23.0,13.0,176.0,24.0,124.0,17.0,19.0,232.0,34.0,217.0,14.0,11.0,37.0,10.0,50.0,72.0,369.0,81.0,45.0,80.0,54.0,6.0,32.0
2556,0.0,2.0,1.0,6.0,46.0,7.0,69.0,47.0,3.0,64.0,22.0,111.0,34.0,24.0,38.0,17.0,103.0,13.0,14.0,67.0,214.0,74.0,176.0,535.0,56.0,8.0,10.0,65.0,4.0,37.0
2605,0.0,4.0,2.0,30.0,43.0,20.0,25.0,38.0,1.0,317.0,11.0,19.0,3.0,49.0,28.0,60.0,27.0,501.0,6.0,12.0,18.0,53.0,17.0,92.0,29.0,68.0,120.0,278.0,7.0,73.0
2654,0.0,2.0,67.0,1.0,41.0,10.0,281.0,16.0,7.0,254.0,5.0,51.0,31.0,14.0,36.0,42.0,45.0,185.0,101.0,34.0,26.0,78.0,46.0,301.0,37.0,63.0,107.0,54.0,56.0,29.0
2703,0.0,8.0,1.0,19.0,6.0,119.0,4.0,75.0,18.0,2.0,23.0,191.0,12.0,224.0,31.0,40.0,16.0,415.0,286.0,94.0,30.0,97.0,28.0,338.0,29.0,44.0,25.0,34.0,387.0,135.0
2752,0.0,10.0,1.0,18.0,9.0,4.0,26.0,12.0,17.0,15.0,34.0,102.0,29.0,35.0,143.0,6.0,39.0,42.0,77.0,51.0,37.0,174.0,47.0,391.0,79.0,28.0,3.0,59.0,2.0,45.0
2801,0.0,3.0,1.0,5.0,41.0,27.0,15.0,24.0,16.0,23.0,302.0,51.0,29.0,26.0,30.0,32.0,12.0,120.0,119.0,55.0,70.0,33.0,217.0,194.0,140.0,50.0,47.0,56.0,2.0,14.0
2850,0.0,10.0,11.0,3.0,5.0,4.0,20.0,85.0,1.0,15.0,227.0,27.0,7.0,157.0,32.0,23.0,30.0,38.0,19.0,83.0,52.0,40.0,59.0,466.0,69.0,58.0,93.0,102.0,12.0,34.0
2899,0.0,2.0,10.0,5.0,4.0,11.0,372.0,3.0,7.0,31.0,221.0,44.0,46.0,118.0,129.0,50.0,18.0,20.0,12.0,120.0,236.0,64.0,370.0,184.0,39.0,37.0,43.0,22.0,1.0,15.0
2948,0.0,57.0,3.0,6.0,8.0,2.0,149.0,47.0,18.0,1.0,20.0,245.0,43.0,83.0,113.0,10.0,12.0,9.0,32.0,66.0,4.0,37.0,13.0,61.0,74.0,5.0,56.0,29.0,33.0,35.0
2997,0.0,3.0,6.0,2.0,12.0,1.0,342.0,261.0,20.0,11.0,15.0,94.0,8.0,21.0,82.0,10.0,42.0,35.0,4.0,57.0,26.0,232.0,14.0,193.0,48.0,13.0,32.0,45.0,95.0,36.0
3046,0.0,10.0,78.0,1.0,7.0,17.0,40.0,24.0,79.0,45.0,18.0,41.0,86.0,101.0,223.0,6.0,16.0,8.0,27.0,35.0,82.0,26.0,2.0,310.0,129.0,13.0,11.0,74.0,95.0,185.0
3095,2.0,16.0,5.0,0.0,83.0,3.0,596.0,31.0,126.0,22.0,9.0,75.0,317.0,17.0,50.0,24.0,25.0,1.0,6.0,45.0,216.0,21.0,63.0,48.0,67.0,43.0,113.0,51.0,38.0,304.0
3144,0.0,5.0,9.0,1.0,40.0,3.0,50.0,43.0,4.0,20.0,159.0,118.0,56.0,28.0,18.0,30.0,36.0,53.0,6.0,10.0,57.0,21.0,2.0,23.0,209.0,13.0,45.0,47.0,12.0,109.0
3193,0.0,4.0,5.0,1.0,32.0,2.0,526.0,38.0,28.0,9.0,103.0,34.0,22.0,10.0,69.0,6.0,12.0,21.0,77.0,8.0,13.0,100.0,7.0,61.0,247.0,11.0,48.0,33.0,15.0,43.0
3242,3.0,436.0,7.0,0.0,12.0,6.0,14.0,39.0,19.0,1.0,103.0,63.0,47.0,10.0,28.0,38.0,13.0,32.0,34.0,11.0,4.0,69.0,2.0,35.0,59.0,136.0,585.0,29.0,9.0,44.0
3291,2.0,1.0,11.0,0.0,10.0,4.0,652.0,23.0,49.0,5.0,14.0,285.0,264.0,70.0,47.0,7.0,21.0,44.0,129.0,12.0,22.0,125.0,9.0,30.0,176.0,6.0,20.0,76.0,3.0,61.0
3340,2.0,47.0,3.0,0.0,5.0,61.0,35.0,34.0,16.0,1.0,23.0,15.0,166.0,10.0,97.0,24.0,6.0,12.0,45.0,38.0,27.0,101.0,7.0,11.0,111.0,4.0,127.0,52.0,131.0,64.0
3389,1.0,2.0,4.0,0.0,50.0,3.0,3950.0,12.0,66.0,6.0,140.0,26.0,143.0,556.0,51.0,55.0,5.0,173.0,11.0,499.0,21.0,117.0,24.0,16.0,183.0,7.0,265.0,13.0,39.0,79.0
3438,4.0,75.0,1.0,39.0,31.0,436.0,3.0,46.0,190.0,25.0,21.0,163.0,35.0,8.0,13.0,364.0,2.0,26.0,503.0,5.0,111.0,147.0,156.0,10.0,28.0,314.0,113.0,102.0,261.0,15.0
3487,0.0,2.0,19.0,127.0,1.0,29.0,17.0,39.0,5.0,108.0,3.0,34.0,186.0,7.0,41.0,164.0,10.0,38.0,44.0,16.0,487.0,43.0,65.0,20.0,31.0,18.0,24.0,158.0,53.0,11.0
3536,0.0,10.0,1.0,283.0,14.0,295.0,23.0,40.0,62.0,199.0,21.0,42.0,12.0,38.0,16.0,99.0,20.0,43.0,111.0,49.0,73.0,47.0,92.0,72.0,63.0,32.0,39.0,155.0,48.0,26.0
3585,2.0,1.0,4.0,67.0,5.0,1182.0,31.0,86.0,49.0,518.0,12.0,28.0,24.0,0.0,9.0,135.0,13.0,247.0,10.0,25.0,859.0,145.0,40.0,113.0,26.0,47.0,58.0,46.0,78.0,132.0
3634,0.0,2.0,22.0,18.0,3.0,1134.0,1.0,94.0,13.0,134.0,36.0,39.0,93.0,25.0,34.0,75.0,4.0,63.0,277.0,21.0,118.0,15.0,48.0,82.0,31.0,10.0,5.0,537.0,23.0,61.0
3683,0.0,1.0,29.0,1508.0,33.0,108.0,9.0,17.0,4.0,285.0,16.0,32.0,116.0,54.0,10.0,172.0,15.0,20.0,63.0,3.0,435.0,25.0,303.0,26.0,97.0,23.0,41.0,42.0,6.0,31.0
3732,0.0,3.0,10.0,28.0,6.0,30.0,11.0,50.0,42.0,329.0,14.0,62.0,24.0,4.0,36.0,257.0,59.0,12.0,21.0,31.0,174.0,68.0,89.0,241.0,15.0,33.0,32.0,60.0,1.0,46.0
3781,1.0,4.0,3.0,1112.0,18.0,55.0,0.0,25.0,14.0,180.0,6.0,80.0,43.0,10.0,33.0,134.0,19.0,101.0,47.0,9.0,46.0,48.0,41.0,16.0,128.0,5.0,296.0,163.0,7.0,11.0
3830,0.0,2.0,5.0,141.0,4.0,190.0,1.0,52.0,3.0,247.0,167.0,26.0,62.0,23.0,16.0,57.0,7.0,158.0,71.0,15.0,215.0,64.0,122.0,42.0,95.0,43.0,51.0,256.0,34.0,49.0
3879,0.0,60.0,18.0,97.0,1.0,466.0,10.0,42.0,96.0,92.0,7.0,84.0,8.0,3.0,46.0,314.0,254.0,49.0,82.0,6.0,468.0,29.0,108.0,5.0,39.0,14.0,442.0,80.0,215.0,16.0
3928,42.0,3.0,6.0,0.0,10.0,15.0,1321.0,36.0,201.0,133.0,21.0,11.0,305.0,7.0,12.0,29.0,20.0,73.0,19.0,17.0,35.0,177.0,18.0,9.0,62.0,226.0,146.0,80.0,2.0,116.0
3977,0.0,2.0,4.0,1.0,3.0,7.0,23.0,24.0,62.0,156.0,18.0,9.0,36.0,6.0,10.0,22.0,30.0,20.0,49.0,12.0,101.0,87.0,100.0,28.0,31.0,276.0,76.0,450.0,15.0,119.0
4026,26.0,28.0,14.0,4.0,11.0,2.0,21.0,42.0,212.0,613.0,1.0,8.0,17.0,12.0,29.0,31.0,58.0,0.0,5.0,7.0,133.0,55.0,53.0,63.0,47.0,253.0,691.0,493.0,67.0,36.0
4075,6.0,1.0,3.0,0.0,14.0,2.0,135.0,51.0,227.0,92.0,69.0,45.0,5.0,22.0,8.0,21.0,30.0,126.0,600.0,62.0,41.0,240.0,4.0,42.0,49.0,121.0,39.0,167.0,156.0,226.0
4124,2.0,1.0,7.0,3.0,8.0,35.0,38.0,55.0,22.0,103.0,18.0,5.0,23.0,6.0,47.0,36.0,17.0,81.0,46.0,14.0,51.0,39.0,10.0,30.0,29.0,161.0,44.0,163.0,0.0,150.0
4173,0.0,2.0,1.0,9.0,8.0,46.0,52.0,77.0,141.0,122.0,5.0,4.0,47.0,3.0,30.0,12.0,23.0,172.0,56.0,20.0,25.0,102.0,65.0,360.0,40.0,248.0,15.0,222.0,50.0,422.0
4222,0.0,1.0,13.0,4.0,26.0,193.0,11.0,9.0,328.0,256.0,29.0,2.0,21.0,28.0,7.0,19.0,36.0,60.0,320.0,8.0,34.0,48.0,10.0,62.0,88.0,167.0,133.0,78.0,12.0,76.0
4271,66.0,22.0,1.0,8.0,31.0,21.0,4.0,16.0,27.0,79.0,19.0,5.0,104.0,57.0,3.0,35.0,14.0,170.0,28.0,2.0,12.0,175.0,26.0,58.0,63.0,759.0,571.0,122.0,45.0,235.0
4320,0.0,10.0,1.0,2.0,3.0,5.0,6.0,28.0,255.0,285.0,27.0,12.0,11.0,20.0,56.0,45.0,16.0,262.0,98.0,23.0,25.0,219.0,14.0,142.0,34.0,79.0,75.0,129.0,4.0,226.0
4369,0.0,4.0,11.0,1.0,2.0,7.0,6.0,5.0,133.0,114.0,8.0,3.0,60.0,70.0,96.0,16.0,53.0,71.0,86.0,52.0,248.0,14.0,9.0,55.0,45.0,36.0,436.0,593.0,28.0,47.0
4418,2.0,0.0,3.0,9.0,10.0,1.0,30.0,57.0,11.0,58.0,101.0,21.0,71.0,105.0,8.0,23.0,40.0,200.0,38.0,174.0,97.0,118.0,17.0,45.0,100.0,46.0,4.0,33.0,435.0,68.0
4467,1.0,21.0,182.0,8.0,4.0,44.0,0.0,13.0,3.0,43.0,20.0,35.0,27.0,201.0,75.0,7.0,18.0,254.0,259.0,215.0,145.0,333.0,29.0,34.0,138.0,25.0,10.0,80.0,889.0,58.0
4516,3.0,4.0,7.0,1.0,14.0,5.0,0.0,24.0,6.0,28.0,40.0,20.0,359.0,10.0,2.0,19.0,65.0,692.0,86.0,34.0,152.0,249.0,8.0,56.0,128.0,277.0,12.0,15.0,36.0,51.0
4565,15.0,9.0,111.0,16.0,10.0,0.0,1.0,12.0,5.0,246.0,78.0,7.0,91.0,46.0,6.0,17.0,25.0,296.0,27.0,95.0,347.0,28.0,19.0,13.0,99.0,113.0,41.0,390.0,40.0,21.0
4614,6.0,17.0,2.0,31.0,20.0,15.0,4.0,21.0,1.0,13.0,37.0,12.0,267.0,34.0,18.0,3.0,60.0,59.0,49.0,36.0,64.0,35.0,7.0,28.0,203.0,68.0,9.0,155.0,25.0,19.0
4663,3.0,15.0,14.0,9.0,1.0,0.0,2.0,34.0,6.0,26.0,23.0,25.0,39.0,27.0,30.0,45.0,149.0,339.0,155.0,226.0,74.0,97.0,83.0,17.0,75.0,43.0,7.0,37.0,121.0,71.0
4712,0.0,24.0,48.0,15.0,7.0,8.0,6.0,58.0,20.0,19.0,13.0,14.0,17.0,38.0,5.0,54.0,34.0,320.0,9.0,46.0,267.0,30.0,92.0,31.0,55.0,113.0,152.0,26.0,36.0,47.0
4761,53.0,7.0,33.0,0.0,1.0,26.0,171.0,64.0,4.0,110.0,18.0,125.0,8.0,27.0,9.0,10.0,75.0,1031.0,11.0,50.0,89.0,92.0,2.0,98.0,136.0,30.0,29.0,19.0,161.0,132.0
4810,0.0,1.0,5.0,11.0,16.0,13.0,9.0,44.0,26.0,14.0,53.0,2.0,122.0,99.0,4.0,47.0,38.0,173.0,10.0,46.0,168.0,123.0,602.0,21.0,117.0,70.0,6.0,52.0,617.0,108.0
4859,0.0,1.0,5.0,4.0,25.0,69.0,23.0,361.0,6.0,8.0,17.0,14.0,15.0,79.0,10.0,36.0,49.0,217.0,164.0,137.0,55.0,52.0,26.0,122.0,70.0,24.0,3.0,28.0,1369.0,106.0
