,IFI27,PLAGL1,PREX2,GSTT1,PRICKLE1,SULF2,RP11-98I9.4,PTPN13,CALB1,IQCA1,PRTFDC1,KCTD14,AC016683.6,RP11-390F4.3,KCNK1,DZIP1,RP11-73M18.7,LAMB3,RP11-389O22.4,MBOAT1,FAM83A,RNY3P8,FRYL,ZNF69,TMEM117,G0S2,RP11-477N3.1,MFAP5,EMID1,ZNF334
499,0.0,1.0,5.0,22.0,12.0,55.0,68.0,110.0,53.0,6.0,3.0,52.0,9.0,16.0,7.0,13.0,31.0,136.0,86.0,455.0,11.0,67.0,45.0,14.0,44.0,40.0,43.0,24.0,93.0,23.0
548,0.0,11.0,5.0,18.0,3.0,23.0,8.0,25.0,35.0,15.0,27.0,22.0,76.0,6.0,29.0,17.0,152.0,191.0,48.0,12.0,1.0,9.0,40.0,121.0,19.0,50.0,24.0,47.0,7.0,10.0
597,0.0,1.0,4.0,44.0,52.0,2.0,10.0,14.0,22.0,29.0,28.0,42.0,298.0,16.0,6.0,3.0,77.0,26.0,34.0,48.0,5.0,24.0,189.0,79.0,12.0,50.0,33.0,58.0,7.0,27.0
646,0.0,2.0,49.0,1.0,15.0,45.0,8.0,4.0,16.0,43.0,133.0,32.0,288.0,191.0,20.0,14.0,29.0,108.0,51.0,124.0,12.0,33.0,42.0,635.0,50.0,66.0,13.0,10.0,9.0,6.0
695,0.0,6.0,2.0,11.0,1.0,10.0,3.0,51.0,14.0,37.0,16.0,46.0,9.0,22.0,4.0,5.0,55.0,100.0,1627.0,48.0,74.0,43.0,21.0,71.0,18.0,120.0,8.0,29.0,12.0,7.0
744,0.0,13.0,4.0,44.0,23.0,3.0,25.0,43.0,136.0,1.0,20.0,96.0,5.0,12.0,8.0,7.0,99.0,33.0,34.0,64.0,2.0,80.0,74.0,16.0,112.0,36.0,117.0,125.0,10.0,6.0
793,0.0,31.0,1.0,136.0,20.0,40.0,6.0,32.0,750.0,2.0,56.0,26.0,36.0,52.0,37.0,3.0,53.0,29.0,223.0,24.0,27.0,263.0,23.0,73.0,70.0,376.0,38.0,17.0,86.0,22.0
842,0.0,11.0,8.0,2.0,16.0,9.0,18.0,13.0,43.0,4.0,19.0,57.0,22.0,17.0,6.0,10.0,66.0,27.0,53.0,67.0,3.0,35.0,69.0,201.0,5.0,30.0,39.0,44.0,89.0,1.0
891,1.0,10.0,2.0,0.0,8.0,41.0,5.0,34.0,18.0,78.0,4.0,30.0,38.0,23.0,9.0,3.0,21.0,64.0,126.0,17.0,11.0,66.0,56.0,24.0,6.0,12.0,52.0,22.0,53.0,16.0
940,0.0,16.0,17.0,1.0,22.0,6.0,14.0,5.0,13.0,66.0,61.0,115.0,179.0,9.0,3.0,2.0,94.0,35.0,118.0,10.0,4.0,150.0,89.0,31.0,11.0,44.0,148.0,52.0,8.0,18.0
989,14.0,97.0,8.0,1.0,2.0,9.0,5.0,12.0,6.0,86.0,0.0,4.0,3.0,117.0,114.0,42.0,48.0,29.0,268.0,25.0,132.0,34.0,73.0,18.0,43.0,7.0,194.0,174.0,52.0,30.0
1038,5.0,90.0,3.0,17.0,1.0,4.0,12.0,33.0,39.0,127.0,30.0,54.0,20.0,260.0,68.0,10.0,85.0,25.0,245.0,59.0,119.0,70.0,110.0,2.0,82.0,7.0,221.0,363.0,80.0,11.0
1087,0.0,85.0,40.0,15.0,12.0,1.0,43.0,4.0,3.0,21.0,7.0,9.0,2.0,116.0,28.0,8.0,109.0,18.0,82.0,34.0,10.0,84.0,45.0,5.0,38.0,26.0,162.0,61.0,151.0,35.0
1136,4.0,15.0,18.0,0.0,9.0,2.0,10.0,7.0,25.0,31.0,1.0,24.0,3.0,109.0,17.0,30.0,12.0,19.0,69.0,52.0,54.0,43.0,166.0,23.0,88.0,13.0,91.0,175.0,111.0,6.0
1185,7.0,174.0,2.0,4.0,5.0,0.0,24.0,18.0,16.0,49.0,1.0,11.0,8.0,23.0,52.0,3.0,42.0,90.0,30.0,33.0,149.0,38.0,124.0,20.0,84.0,17.0,116.0,76.0,77.0,10.0
1234,0.0,13.0,1.0,11.0,6.0,15.0,10.0,4.0,9.0,26.0,5.0,8.0,21.0,92.0,29.0,23.0,64.0,12.0,20.0,7.0,105.0,79.0,139.0,24.0,28.0,2.0,57.0,82.0,85.0,25.0
1283,4.0,32.0,9.0,1.0,5.0,11.0,15.0,3.0,10.0,42.0,0.0,8.0,21.0,28.0,24.0,25.0,17.0,139.0,36.0,29.0,7.0,39.0,51.0,2.0,22.0,40.0,200.0,241.0,85.0,6.0
1332,2.0,133.0,3.0,1.0,7.0,0.0,22.0,16.0,11.0,31.0,4.0,8.0,57.0,45.0,17.0,9.0,33.0,98.0,85.0,70.0,65.0,360.0,27.0,19.0,72.0,42.0,122.0,52.0,39.0,12.0
1381,2.0,78.0,4.0,17.0,13.0,1.0,116.0,7.0,6.0,19.0,0.0,21.0,95.0,73.0,9.0,3.0,30.0,85.0,61.0,18.0,20.0,161.0,56.0,25.0,92.0,29.0,1400.0,80.0,16.0,10.0
1430,0.0,2.0,3.0,6.0,7.0,1.0,26.0,14.0,8.0,56.0,21.0,9.0,5.0,51.0,91.0,20.0,25.0,37.0,89.0,129.0,39.0,17.0,101.0,29.0,150.0,46.0,137.0,28.0,12.0,33.0
1479,0.0,3.0,1.0,6.0,2.0,14.0,9.0,31.0,139.0,18.0,7.0,4.0,91.0,129.0,411.0,67.0,17.0,21.0,30.0,97.0,42.0,39.0,43.0,49.0,40.0,95.0,48.0,83.0,10.0,28.0
1528,2.0,0.0,5.0,15.0,9.0,1.0,8.0,13.0,77.0,17.0,10.0,6.0,332.0,31.0,76.0,27.0,25.0,51.0,50.0,65.0,124.0,68.0,110.0,107.0,45.0,30.0,89.0,32.0,143.0,44.0
1577,0.0,1.0,10.0,4.0,30.0,5.0,8.0,17.0,28.0,7.0,3.0,2.0,224.0,19.0,116.0,63.0,21.0,13.0,50.0,41.0,15.0,133.0,106.0,210.0,57.0,20.0,49.0,196.0,23.0,9.0
1626,0.0,4.0,5.0,1.0,6.0,2.0,17.0,20.0,14.0,7.0,10.0,3.0,26.0,39.0,230.0,73.0,11.0,46.0,8.0,149.0,98.0,68.0,117.0,69.0,183.0,99.0,27.0,35.0,30.0,66.0
1675,0.0,1.0,7.0,5.0,10.0,2.0,32.0,30.0,12.0,3.0,4.0,6.0,33.0,103.0,53.0,51.0,31.0,16.0,14.0,97.0,39.0,69.0,93.0,202.0,24.0,20.0,41.0,43.0,124.0,11.0
1724,1.0,7.0,0.0,2.0,4.0,3.0,11.0,25.0,28.0,9.0,14.0,10.0,71.0,78.0,242.0,304.0,18.0,42.0,54.0,493.0,59.0,27.0,50.0,216.0,84.0,121.0,24.0,21.0,20.0,185.0
1773,1.0,3.0,9.0,4.0,2.0,0.0,8.0,17.0,114.0,22.0,13.0,10.0,71.0,31.0,50.0,43.0,24.0,12.0,34.0,167.0,131.0,49.0,76.0,28.0,6.0,39.0,11.0,15.0,208.0,62.0
1822,0.0,2.0,19.0,5.0,1.0,4.0,13.0,37.0,11.0,14.0,26.0,3.0,44.0,56.0,57.0,36.0,91.0,21.0,31.0,54.0,23.0,575.0,98.0,723.0,53.0,8.0,77.0,7.0,71.0,174.0
1871,2.0,1.0,35.0,0.0,6.0,24.0,4.0,8.0,12.0,11.0,7.0,3.0,5.0,20.0,416.0,196.0,9.0,197.0,32.0,77.0,48.0,92.0,60.0,21.0,28.0,54.0,30.0,14.0,89.0,145.0
1920,1.0,3.0,2.0,4.0,5.0,8.0,6.0,45.0,23.0,13.0,15.0,0.0,60.0,24.0,499.0,41.0,7.0,33.0,36.0,178.0,661.0,72.0,76.0,20.0,54.0,162.0,50.0,101.0,106.0,167.0
1969,0.0,8.0,2.0,71.0,1.0,137.0,5.0,11.0,95.0,64.0,14.0,97.0,12.0,31.0,19.0,66.0,3.0,13.0,115.0,17.0,18.0,21.0,20.0,4.0,43.0,35.0,28.0,80.0,177.0,53.0
2018,3.0,38.0,0.0,9.0,4.0,512.0,7.0,66.0,6.0,128.0,10.0,2.0,37.0,15.0,43.0,31.0,67.0,5.0,57.0,22.0,152.0,164.0,62.0,402.0,26.0,1.0,12.0,130.0,34.0,122.0
2067,0.0,1.0,21.0,25.0,2.0,61.0,34.0,15.0,31.0,27.0,11.0,19.0,116.0,13.0,7.0,9.0,5.0,3.0,14.0,4.0,16.0,26.0,74.0,87.0,68.0,29.0,30.0,320.0,17.0,24.0
2116,5.0,11.0,7.0,0.0,3.0,92.0,12.0,64.0,35.0,13.0,6.0,38.0,58.0,27.0,28.0,71.0,1.0,10.0,48.0,17.0,2.0,20.0,46.0,77.0,25.0,42.0,44.0,213.0,15.0,22.0
2165,1.0,0.0,2.0,9.0,5.0,198.0,27.0,10.0,37.0,6.0,7.0,24.0,56.0,60.0,65.0,96.0,3.0,14.0,22.0,4.0,28.0,95.0,79.0,34.0,42.0,17.0,13.0,20.0,15.0,329.0
2214,0.0,48.0,40.0,55.0,1.0,198.0,59.0,33.0,103.0,13.0,104.0,233.0,8.0,27.0,46.0,21.0,3.0,10.0,7.0,2.0,17.0,44.0,93.0,6.0,121.0,62.0,23.0,39.0,54.0,95.0
2263,6.0,46.0,27.0,41.0,12.0,235.0,9.0,11.0,37.0,5.0,0.0,67.0,24.0,112.0,239.0,26.0,1.0,4.0,63.0,38.0,16.0,45.0,8.0,10.0,56.0,15.0,14.0,162.0,44.0,59.0
2312,11.0,21.0,4.0,0.0,9.0,98.0,14.0,35.0,20.0,28.0,1.0,6.0,16.0,10.0,55.0,59.0,3.0,7.0,18.0,17.0,15.0,40.0,73.0,30.0,27.0,12.0,13.0,39.0,110.0,22.0
2361,8.0,274.0,4.0,0.0,49.0,93.0,17.0,10.0,1.0,46.0,3.0,84.0,11.0,110.0,14.0,12.0,9.0,5.0,31.0,6.0,2.0,58.0,16.0,19.0,18.0,20.0,38.0,56.0,78.0,37.0
2410,0.0,1.0,89.0,28.0,5.0,526.0,12.0,11.0,7.0,22.0,4.0,30.0,3.0,16.0,94.0,102.0,2.0,25.0,54.0,17.0,32.0,60.0,40.0,15.0,43.0,131.0,42.0,105.0,99.0,186.0
2459,3.0,0.0,1.0,12.0,7.0,2.0,75.0,5.0,8.0,74.0,73.0,70.0,290.0,26.0,4.0,71.0,18.0,38.0,25.0,55.0,187.0,14.0,15.0,13.0,209.0,43.0,35.0,53.0,165.0,10.0
2508,0.0,1.0,2.0,16.0,4.0,9.0,74.0,62.0,26.0,25.0,11.0,3.0,29.0,21.0,6.0,5.0,14.0,121.0,78.0,59.0,143.0,137.0,20.0,117.0,13.0,35.0,213.0,41.0,10.0,39.0
2557,0.0,1.0,2.0,16.0,7.0,13.0,25.0,11.0,23.0,21.0,19.0,20.0,29.0,10.0,3.0,4.0,33.0,85.0,72.0,9.0,60.0,42.0,14.0,71.0,38.0,24.0,31.0,12.0,111.0,80.0
2606,1.0,0.0,3.0,17.0,5.0,9.0,28.0,2.0,12.0,10.0,18.0,26.0,43.0,15.0,19.0,21.0,8.0,64.0,20.0,14.0,23.0,44.0,4.0,50.0,74.0,136.0,215.0,368.0,35.0,11.0
2655,0.0,1.0,2.0,49.0,7.0,9.0,6.0,4.0,15.0,51.0,156.0,75.0,22.0,130.0,3.0,11.0,94.0,63.0,573.0,69.0,359.0,16.0,14.0,20.0,167.0,27.0,47.0,41.0,26.0,56.0
2704,0.0,3.0,2.0,8.0,27.0,1.0,121.0,10.0,4.0,18.0,94.0,13.0,11.0,5.0,6.0,7.0,35.0,15.0,177.0,16.0,66.0,49.0,14.0,23.0,42.0,26.0,628.0,21.0,39.0,12.0
2753,0.0,7.0,12.0,15.0,5.0,4.0,112.0,1.0,10.0,177.0,169.0,14.0,111.0,76.0,2.0,30.0,63.0,31.0,73.0,9.0,67.0,43.0,18.0,6.0,234.0,11.0,36.0,51.0,20.0,167.0
2802,3.0,0.0,14.0,2.0,12.0,7.0,21.0,4.0,11.0,6.0,5.0,23.0,44.0,26.0,1.0,22.0,15.0,41.0,25.0,18.0,61.0,29.0,10.0,35.0,167.0,142.0,62.0,409.0,131.0,32.0
2851,1.0,0.0,14.0,2.0,35.0,6.0,15.0,3.0,7.0,53.0,50.0,88.0,4.0,45.0,12.0,5.0,34.0,36.0,163.0,13.0,126.0,120.0,8.0,84.0,31.0,29.0,289.0,26.0,19.0,161.0
2900,1.0,0.0,4.0,8.0,9.0,2.0,145.0,16.0,11.0,21.0,26.0,15.0,3.0,36.0,7.0,5.0,19.0,99.0,31.0,27.0,154.0,46.0,6.0,95.0,49.0,79.0,38.0,35.0,29.0,140.0
2949,3.0,26.0,14.0,6.0,0.0,1.0,55.0,57.0,85.0,21.0,47.0,10.0,114.0,38.0,12.0,24.0,95.0,179.0,4.0,44.0,23.0,159.0,223.0,104.0,36.0,93.0,28.0,34.0,11.0,501.0
2998,0.0,11.0,10.0,4.0,9.0,1.0,38.0,46.0,62.0,32.0,558.0,2.0,5.0,16.0,22.0,7.0,989.0,297.0,15.0,101.0,66.0,28.0,118.0,138.0,177.0,41.0,54.0,26.0,18.0,61.0
3047,0.0,20.0,8.0,59.0,10.0,50.0,5.0,9.0,13.0,12.0,99.0,2.0,19.0,42.0,6.0,7.0,1132.0,82.0,15.0,16.0,35.0,71.0,94.0,148.0,77.0,4.0,17.0,51.0,152.0,170.0
3096,0.0,5.0,24.0,86.0,18.0,29.0,14.0,78.0,26.0,3.0,864.0,10.0,7.0,34.0,53.0,35.0,225.0,59.0,15.0,31.0,2.0,57.0,25.0,301.0,65.0,49.0,42.0,37.0,4.0,44.0
3145,1.0,0.0,64.0,10.0,21.0,8.0,72.0,4.0,9.0,92.0,362.0,23.0,67.0,22.0,2.0,5.0,93.0,26.0,7.0,3.0,97.0,11.0,70.0,79.0,814.0,35.0,49.0,66.0,16.0,53.0
3194,0.0,3.0,7.0,4.0,2.0,70.0,52.0,29.0,256.0,172.0,757.0,6.0,67.0,15.0,24.0,155.0,66.0,144.0,17.0,84.0,245.0,42.0,323.0,54.0,146.0,33.0,76.0,93.0,5.0,394.0
3243,0.0,5.0,52.0,91.0,1.0,2.0,87.0,4.0,82.0,14.0,1076.0,126.0,50.0,16.0,6.0,41.0,88.0,56.0,3.0,11.0,10.0,7.0,101.0,37.0,90.0,35.0,76.0,65.0,24.0,306.0
3292,0.0,3.0,14.0,12.0,1.0,9.0,15.0,42.0,128.0,22.0,194.0,51.0,2.0,40.0,43.0,31.0,75.0,95.0,13.0,20.0,5.0,29.0,534.0,10.0,249.0,136.0,21.0,46.0,44.0,255.0
3341,1.0,10.0,12.0,30.0,22.0,0.0,91.0,13.0,47.0,5.0,919.0,25.0,76.0,15.0,4.0,50.0,41.0,180.0,14.0,16.0,72.0,31.0,55.0,53.0,792.0,205.0,97.0,36.0,24.0,52.0
3390,2.0,0.0,14.0,12.0,24.0,8.0,32.0,16.0,427.0,4.0,3107.0,7.0,1.0,5.0,22.0,174.0,107.0,323.0,9.0,34.0,27.0,21.0,42.0,19.0,153.0,204.0,13.0,91.0,66.0,44.0
3439,24.0,4.0,9.0,2.0,17.0,3.0,20.0,8.0,37.0,1.0,12.0,51.0,5.0,181.0,67.0,155.0,23.0,33.0,29.0,264.0,18.0,42.0,13.0,35.0,106.0,177.0,22.0,120.0,49.0,135.0
3488,4.0,0.0,1.0,6.0,41.0,8.0,5.0,16.0,22.0,10.0,12.0,9.0,40.0,74.0,27.0,15.0,75.0,30.0,18.0,7.0,11.0,80.0,50.0,20.0,84.0,43.0,115.0,185.0,33.0,81.0
3537,71.0,6.0,2.0,1.0,117.0,0.0,14.0,20.0,37.0,5.0,11.0,4.0,27.0,23.0,122.0,126.0,16.0,26.0,12.0,7.0,51.0,42.0,15.0,9.0,136.0,134.0,43.0,484.0,75.0,74.0
3586,10.0,5.0,3.0,1.0,20.0,0.0,21.0,11.0,51.0,9.0,35.0,18.0,29.0,23.0,60.0,88.0,14.0,78.0,2.0,216.0,42.0,58.0,40.0,87.0,163.0,547.0,91.0,346.0,17.0,59.0
3635,7.0,8.0,4.0,2.0,48.0,0.0,15.0,17.0,11.0,1.0,73.0,5.0,13.0,12.0,47.0,28.0,22.0,9.0,3.0,114.0,30.0,52.0,41.0,18.0,212.0,50.0,91.0,137.0,36.0,27.0
3684,4.0,2.0,13.0,0.0,36.0,1.0,7.0,10.0,15.0,5.0,25.0,19.0,26.0,3.0,45.0,55.0,27.0,37.0,9.0,74.0,44.0,58.0,16.0,6.0,138.0,101.0,46.0,102.0,18.0,28.0
3733,22.0,0.0,2.0,4.0,7.0,28.0,13.0,8.0,120.0,9.0,173.0,15.0,23.0,16.0,44.0,17.0,122.0,20.0,14.0,56.0,30.0,61.0,36.0,70.0,65.0,75.0,51.0,110.0,6.0,10.0
3782,3.0,1.0,11.0,0.0,51.0,2.0,16.0,14.0,59.0,4.0,74.0,36.0,186.0,9.0,22.0,512.0,43.0,10.0,13.0,83.0,35.0,70.0,24.0,15.0,28.0,47.0,110.0,156.0,26.0,135.0
3831,7.0,1.0,4.0,10.0,2.0,0.0,49.0,13.0,97.0,78.0,8.0,37.0,9.0,14.0,11.0,203.0,135.0,6.0,44.0,127.0,194.0,36.0,30.0,3.0,153.0,38.0,84.0,80.0,24.0,291.0
3880,17.0,149.0,6.0,3.0,16.0,1.0,74.0,87.0,26.0,4.0,234.0,60.0,77.0,30.0,20.0,181.0,78.0,44.0,28.0,11.0,54.0,203.0,33.0,5.0,133.0,508.0,24.0,195.0,22.0,151.0
3929,0.0,5.0,29.0,1.0,4.0,8.0,3.0,16.0,7.0,13.0,42.0,20.0,15.0,68.0,38.0,101.0,202.0,30.0,2.0,158.0,19.0,58.0,60.0,70.0,18.0,40.0,24.0,44.0,52.0,83.0
3978,1.0,0.0,8.0,4.0,5.0,182.0,41.0,25.0,18.0,104.0,17.0,61.0,3.0,23.0,31.0,240.0,119.0,56.0,11.0,156.0,7.0,42.0,37.0,69.0,46.0,40.0,26.0,43.0,98.0,448.0
4027,2.0,0.0,9.0,1.0,4.0,11.0,24.0,13.0,3.0,6.0,16.0,61.0,14.0,32.0,21.0,40.0,353.0,99.0,33.0,407.0,5.0,168.0,68.0,62.0,25.0,118.0,146.0,37.0,20.0,96.0
4076,0.0,4.0,19.0,29.0,9.0,73.0,20.0,41.0,97.0,12.0,165.0,76.0,26.0,23.0,8.0,35.0,129.0,6.0,45.0,40.0,3.0,46.0,59.0,564.0,21.0,16.0,2.0,304.0,11.0,47.0
4125,1.0,8.0,2.0,6.0,7.0,65.0,4.0,57.0,40.0,5.0,36.0,23.0,0.0,11.0,163.0,84.0,320.0,101.0,39.0,106.0,104.0,136.0,29.0,75.0,9.0,96.0,21.0,61.0,48.0,305.0
4174,0.0,3.0,1.0,9.0,2.0,13.0,4.0,80.0,163.0,5.0,92.0,37.0,39.0,15.0,41.0,279.0,28.0,126.0,199.0,608.0,79.0,132.0,20.0,118.0,43.0,373.0,109.0,35.0,21.0,29.0
4223,1.0,14.0,12.0,0.0,13.0,2.0,8.0,37.0,84.0,9.0,32.0,165.0,4.0,6.0,29.0,47.0,195.0,167.0,40.0,544.0,11.0,39.0,148.0,99.0,19.0,98.0,22.0,55.0,68.0,62.0
4272,4.0,3.0,15.0,6.0,5.0,1.0,10.0,29.0,16.0,43.0,491.0,12.0,2.0,21.0,24.0,90.0,256.0,101.0,18.0,166.0,0.0,56.0,17.0,92.0,8.0,84.0,31.0,69.0,19.0,140.0
4321,3.0,11.0,6.0,0.0,2.0,12.0,8.0,55.0,5.0,17.0,107.0,25.0,1.0,20.0,30.0,24.0,148.0,71.0,37.0,111.0,4.0,26.0,21.0,190.0,127.0,38.0,54.0,27.0,62.0,108.0
4370,1.0,5.0,2.0,0.0,8.0,3.0,12.0,67.0,27.0,9.0,17.0,11.0,119.0,6.0,25.0,39.0,190.0,43.0,167.0,72.0,129.0,65.0,47.0,531.0,42.0,198.0,54.0,29.0,7.0,75.0
4419,5.0,1.0,6.0,0.0,17.0,39.0,4.0,25.0,3.0,11.0,12.0,2.0,49.0,13.0,27.0,33.0,14.0,50.0,8.0,23.0,59.0,26.0,57.0,45.0,38.0,82.0,37.0,40.0,64.0,20.0
4468,0.0,3.0,24.0,1.0,154.0,461.0,14.0,44.0,8.0,11.0,10.0,2.0,21.0,4.0,67.0,20.0,35.0,51.0,108.0,38.0,124.0,625.0,32.0,30.0,6.0,42.0,255.0,19.0,85.0,33.0
4517,4.0,2.0,5.0,0.0,29.0,8.0,11.0,129.0,15.0,1.0,30.0,13.0,21.0,14.0,10.0,20.0,43.0,139.0,16.0,90.0,34.0,32.0,39.0,18.0,108.0,1058.0,54.0,25.0,192.0,6.0
4566,32.0,0.0,13.0,1.0,30.0,9.0,5.0,11.0,2.0,60.0,41.0,20.0,53.0,15.0,70.0,110.0,25.0,136.0,44.0,61.0,90.0,16.0,37.0,66.0,35.0,982.0,34.0,14.0,277.0,54.0
4615,13.0,1.0,3.0,0.0,38.0,4.0,8.0,110.0,5.0,7.0,12.0,2.0,9.0,10.0,30.0,86.0,17.0,61.0,39.0,58.0,117.0,40.0,36.0,154.0,19.0,56.0,153.0,49.0,112.0,22.0
4664,6.0,2.0,1.0,0.0,47.0,9.0,27.0,62.0,7.0,13.0,50.0,8.0,34.0,17.0,11.0,3.0,89.0,52.0,12.0,42.0,14.0,39.0,73.0,46.0,21.0,135.0,110.0,10.0,41.0,4.0
4713,14.0,1.0,4.0,0.0,31.0,24.0,6.0,28.0,3.0,2.0,11.0,8.0,30.0,9.0,42.0,71.0,5.0,198.0,21.0,59.0,54.0,45.0,43.0,44.0,18.0,365.0,23.0,13.0,482.0,10.0
4762,7.0,1.0,5.0,0.0,43.0,4.0,17.0,20.0,3.0,16.0,9.0,2.0,8.0,10.0,75.0,138.0,18.0,39.0,24.0,27.0,35.0,32.0,94.0,6.0,21.0,66.0,121.0,14.0,15.0,25.0
4811,5.0,8.0,1.0,0.0,25.0,9.0,16.0,22.0,3.0,4.0,11.0,2.0,472.0,6.0,17.0,83.0,19.0,15.0,27.0,49.0,1008.0,76.0,74.0,65.0,14.0,522.0,10.0,21.0,415.0,24.0
4860,2.0,1.0,4.0,0.0,35.0,32.0,17.0,48.0,6.0,5.0,3.0,7.0,38.0,11.0,33.0,86.0,24.0,20.0,58.0,76.0,19.0,29.0,89.0,15.0,14.0,168.0,10.0,8.0,55.0,9.0
