,FBLN2,SUSD5,TRIM58,GSTM3,CYB5R2,LPHN2,EIF5AL1,CMTM7,RP11-8L2.1,IL20RA,CCL28,GGT6,AP000783.1,CTB-36O1.3,AGFG2,CORO2A,LINC00960,ALDH1L1,STAT6,WRNIP1,GPRIN2,LTBP2,NRIP3,NCALD,SERTAD4-AS1,RP11-408B11.2,ARHGDIB,RP11-757G14.1,CYTH1,APH1B
743,16.0,12.0,21.0,104.0,3.0,9.0,0.0,5.0,31.0,1.0,53.0,288.0,29.0,223.0,46.0,7.0,38.0,170.0,77.0,57.0,287.0,347.0,8.0,75.0,36.0,73.0,247.0,88.0,265.0,25.0
792,75.0,33.0,11.0,85.0,0.0,13.0,4.0,2.0,10.0,40.0,51.0,98.0,30.0,15.0,119.0,29.0,121.0,9.0,146.0,56.0,317.0,23.0,63.0,22.0,77.0,25.0,84.0,333.0,123.0,12.0
841,26.0,11.0,81.0,249.0,6.0,2.0,0.0,7.0,85.0,3.0,131.0,501.0,18.0,46.0,263.0,47.0,136.0,53.0,215.0,68.0,303.0,77.0,35.0,153.0,196.0,205.0,173.0,61.0,132.0,44.0
890,7.0,0.0,364.0,179.0,5.0,1.0,2.0,12.0,92.0,6.0,19.0,175.0,233.0,21.0,69.0,3.0,277.0,327.0,26.0,66.0,299.0,57.0,9.0,22.0,41.0,4.0,212.0,94.0,116.0,10.0
939,14.0,1.0,89.0,116.0,3.0,0.0,9.0,4.0,31.0,6.0,39.0,124.0,319.0,156.0,23.0,25.0,48.0,112.0,330.0,115.0,127.0,63.0,97.0,106.0,164.0,71.0,129.0,52.0,45.0,7.0
988,0.0,2.0,16.0,3.0,10.0,54.0,36.0,12.0,18.0,268.0,20.0,1.0,9.0,555.0,350.0,824.0,17.0,5.0,19.0,35.0,79.0,67.0,82.0,81.0,68.0,598.0,232.0,209.0,102.0,57.0
1037,2.0,4.0,29.0,5.0,0.0,68.0,73.0,3.0,49.0,58.0,11.0,34.0,6.0,155.0,12.0,45.0,20.0,54.0,25.0,192.0,276.0,470.0,59.0,63.0,17.0,563.0,128.0,36.0,51.0,81.0
1086,0.0,5.0,61.0,211.0,11.0,40.0,15.0,2.0,1.0,41.0,27.0,16.0,28.0,7.0,12.0,187.0,4.0,57.0,228.0,183.0,142.0,83.0,22.0,17.0,39.0,397.0,62.0,54.0,140.0,530.0
1135,5.0,1.0,37.0,16.0,0.0,135.0,45.0,19.0,4.0,33.0,2.0,9.0,8.0,11.0,20.0,59.0,3.0,39.0,14.0,96.0,189.0,230.0,53.0,13.0,22.0,905.0,38.0,12.0,63.0,197.0
1184,0.0,18.0,418.0,106.0,5.0,21.0,19.0,67.0,2.0,99.0,24.0,69.0,1.0,8.0,3.0,37.0,10.0,94.0,63.0,45.0,366.0,177.0,26.0,14.0,73.0,2135.0,16.0,64.0,61.0,111.0
1233,0.0,8.0,113.0,38.0,2.0,18.0,5.0,80.0,9.0,44.0,4.0,7.0,15.0,3.0,68.0,10.0,30.0,13.0,19.0,78.0,65.0,379.0,81.0,21.0,33.0,997.0,66.0,25.0,63.0,196.0
1282,1.0,2.0,40.0,1634.0,0.0,99.0,115.0,8.0,35.0,39.0,222.0,10.0,17.0,26.0,27.0,295.0,5.0,121.0,175.0,64.0,82.0,118.0,331.0,38.0,77.0,6638.0,86.0,3.0,71.0,423.0
1331,1.0,7.0,166.0,46.0,0.0,23.0,55.0,32.0,14.0,83.0,60.0,10.0,3.0,52.0,16.0,221.0,2.0,36.0,35.0,99.0,240.0,173.0,5.0,125.0,85.0,976.0,50.0,17.0,245.0,27.0
1380,13.0,0.0,5.0,222.0,36.0,46.0,56.0,51.0,6.0,298.0,78.0,31.0,16.0,2.0,22.0,75.0,4.0,192.0,21.0,74.0,216.0,71.0,61.0,17.0,10.0,380.0,65.0,9.0,87.0,81.0
1429,0.0,3.0,98.0,47.0,2.0,86.0,7.0,8.0,17.0,28.0,20.0,12.0,4.0,60.0,10.0,124.0,125.0,19.0,306.0,54.0,64.0,281.0,39.0,120.0,41.0,3277.0,13.0,42.0,46.0,284.0
1478,22.0,2.0,0.0,1.0,6.0,4.0,12.0,123.0,36.0,20.0,16.0,50.0,90.0,51.0,17.0,8.0,111.0,170.0,42.0,25.0,85.0,126.0,10.0,46.0,3.0,33.0,37.0,164.0,40.0,1044.0
1527,6.0,0.0,33.0,16.0,1.0,4.0,3.0,30.0,28.0,7.0,20.0,40.0,2.0,289.0,5.0,29.0,11.0,166.0,17.0,83.0,180.0,204.0,18.0,60.0,14.0,31.0,24.0,45.0,102.0,595.0
1576,3.0,79.0,2.0,1.0,116.0,8.0,0.0,91.0,20.0,168.0,175.0,31.0,39.0,51.0,9.0,56.0,5.0,142.0,25.0,14.0,115.0,119.0,106.0,38.0,49.0,4.0,78.0,956.0,103.0,263.0
1625,8.0,11.0,3.0,69.0,9.0,1.0,0.0,40.0,66.0,6.0,34.0,15.0,47.0,5.0,48.0,242.0,2.0,16.0,10.0,30.0,37.0,164.0,84.0,81.0,18.0,19.0,39.0,59.0,227.0,876.0
1674,3.0,176.0,2.0,1.0,27.0,14.0,0.0,28.0,62.0,19.0,13.0,79.0,8.0,69.0,10.0,77.0,26.0,58.0,4.0,5.0,16.0,31.0,301.0,15.0,12.0,6.0,129.0,278.0,74.0,202.0
1723,0.0,19.0,70.0,4.0,6.0,1.0,2.0,7.0,33.0,3.0,8.0,23.0,10.0,37.0,5.0,125.0,143.0,236.0,18.0,20.0,223.0,43.0,24.0,35.0,104.0,22.0,406.0,135.0,49.0,1155.0
1772,2.0,0.0,31.0,12.0,63.0,13.0,5.0,82.0,20.0,274.0,145.0,176.0,23.0,4.0,8.0,73.0,19.0,32.0,62.0,50.0,55.0,127.0,202.0,17.0,7.0,85.0,77.0,196.0,67.0,2647.0
1821,18.0,5.0,3.0,9.0,11.0,92.0,7.0,6.0,13.0,22.0,20.0,51.0,32.0,35.0,2.0,0.0,21.0,40.0,4.0,24.0,94.0,46.0,61.0,323.0,73.0,12.0,103.0,218.0,54.0,240.0
1870,2.0,33.0,42.0,18.0,66.0,5.0,1.0,7.0,13.0,26.0,20.0,171.0,98.0,45.0,8.0,34.0,38.0,338.0,262.0,25.0,53.0,24.0,19.0,4.0,6.0,31.0,54.0,148.0,183.0,119.0
1919,4.0,0.0,5.0,36.0,6.0,12.0,21.0,20.0,33.0,74.0,108.0,180.0,66.0,28.0,10.0,2.0,44.0,269.0,16.0,14.0,160.0,182.0,3.0,29.0,17.0,7.0,81.0,281.0,131.0,847.0
1968,25.0,579.0,116.0,142.0,9.0,0.0,3.0,16.0,1.0,5.0,265.0,87.0,11.0,66.0,136.0,551.0,140.0,26.0,89.0,74.0,12.0,81.0,101.0,19.0,27.0,18.0,669.0,747.0,47.0,21.0
2017,53.0,439.0,6.0,11.0,85.0,9.0,0.0,142.0,2.0,105.0,213.0,29.0,14.0,77.0,34.0,33.0,1.0,28.0,3.0,68.0,4.0,18.0,17.0,26.0,31.0,32.0,200.0,550.0,58.0,90.0
2066,40.0,329.0,31.0,38.0,14.0,0.0,1.0,7.0,2.0,34.0,6.0,278.0,67.0,13.0,86.0,11.0,22.0,199.0,5.0,26.0,24.0,4.0,97.0,25.0,48.0,182.0,60.0,446.0,107.0,15.0
2115,14.0,62.0,4.0,143.0,16.0,0.0,1.0,49.0,2.0,21.0,25.0,6.0,18.0,12.0,214.0,372.0,65.0,8.0,5.0,34.0,23.0,3.0,1017.0,67.0,98.0,50.0,80.0,31.0,40.0,19.0
2164,88.0,322.0,22.0,7.0,4.0,1.0,2.0,20.0,0.0,9.0,43.0,27.0,39.0,21.0,37.0,127.0,8.0,26.0,18.0,40.0,6.0,3.0,64.0,119.0,41.0,16.0,61.0,1018.0,445.0,47.0
2213,104.0,34.0,4.0,6.0,11.0,2.0,1.0,64.0,0.0,22.0,68.0,9.0,33.0,21.0,108.0,73.0,32.0,51.0,8.0,71.0,14.0,5.0,530.0,50.0,77.0,17.0,38.0,167.0,210.0,24.0
2262,48.0,36.0,8.0,21.0,54.0,2.0,0.0,7.0,1.0,67.0,12.0,18.0,4.0,130.0,29.0,224.0,10.0,84.0,5.0,19.0,59.0,6.0,313.0,103.0,26.0,62.0,38.0,42.0,79.0,99.0
2311,23.0,194.0,11.0,15.0,20.0,8.0,5.0,9.0,0.0,2.0,10.0,16.0,14.0,3.0,40.0,247.0,6.0,19.0,17.0,25.0,13.0,4.0,135.0,148.0,96.0,123.0,72.0,299.0,60.0,57.0
2360,105.0,5.0,12.0,112.0,15.0,1.0,2.0,11.0,0.0,8.0,47.0,20.0,14.0,10.0,107.0,19.0,7.0,33.0,29.0,61.0,26.0,3.0,180.0,70.0,13.0,36.0,31.0,146.0,259.0,37.0
2409,20.0,27.0,13.0,114.0,3.0,0.0,1.0,9.0,2.0,37.0,109.0,56.0,22.0,11.0,43.0,138.0,69.0,6.0,92.0,15.0,4.0,5.0,221.0,28.0,19.0,67.0,304.0,94.0,214.0,97.0
2458,25.0,10.0,1.0,0.0,9.0,71.0,1007.0,2.0,24.0,20.0,86.0,15.0,27.0,44.0,8.0,75.0,42.0,163.0,456.0,56.0,143.0,4.0,13.0,83.0,52.0,64.0,47.0,46.0,67.0,181.0
2507,0.0,6.0,1.0,25.0,182.0,19.0,60.0,17.0,22.0,35.0,77.0,9.0,3.0,28.0,5.0,7.0,70.0,53.0,208.0,33.0,44.0,64.0,31.0,50.0,10.0,27.0,118.0,66.0,67.0,199.0
2556,2.0,8.0,5.0,3.0,47.0,1.0,15.0,6.0,22.0,14.0,39.0,38.0,215.0,32.0,18.0,24.0,1219.0,63.0,58.0,88.0,26.0,82.0,17.0,20.0,101.0,13.0,371.0,418.0,362.0,75.0
2605,0.0,5.0,4.0,7.0,94.0,9.0,45.0,1.0,24.0,95.0,6.0,17.0,50.0,44.0,147.0,8.0,41.0,14.0,172.0,33.0,58.0,10.0,2.0,197.0,35.0,182.0,167.0,804.0,104.0,15.0
2654,7.0,5.0,2.0,24.0,1153.0,0.0,4.0,10.0,30.0,27.0,1.0,6.0,19.0,28.0,51.0,149.0,81.0,23.0,533.0,13.0,67.0,8.0,37.0,93.0,22.0,38.0,455.0,336.0,199.0,126.0
2703,7.0,5.0,0.0,2.0,100.0,25.0,27.0,6.0,8.0,13.0,3.0,4.0,173.0,101.0,184.0,22.0,42.0,28.0,34.0,67.0,15.0,39.0,11.0,175.0,86.0,33.0,434.0,71.0,85.0,76.0
2752,2.0,4.0,19.0,9.0,7.0,1.0,103.0,0.0,3.0,65.0,11.0,15.0,146.0,23.0,31.0,100.0,96.0,22.0,1059.0,27.0,36.0,16.0,43.0,314.0,66.0,89.0,70.0,261.0,275.0,79.0
2801,3.0,1.0,11.0,0.0,8.0,26.0,4.0,19.0,6.0,5.0,2.0,10.0,25.0,36.0,13.0,55.0,171.0,12.0,127.0,126.0,39.0,103.0,27.0,28.0,183.0,561.0,84.0,159.0,192.0,180.0
2850,6.0,8.0,30.0,56.0,16.0,3.0,17.0,0.0,2.0,21.0,224.0,70.0,7.0,65.0,54.0,181.0,63.0,19.0,96.0,236.0,11.0,20.0,13.0,58.0,4.0,55.0,248.0,313.0,357.0,204.0
2899,2.0,10.0,14.0,30.0,1048.0,0.0,22.0,13.0,6.0,73.0,47.0,55.0,180.0,545.0,15.0,1.0,137.0,23.0,612.0,67.0,428.0,24.0,3.0,122.0,132.0,82.0,40.0,1368.0,123.0,347.0
2948,19.0,21.0,13.0,5.0,710.0,57.0,45.0,703.0,60.0,91.0,4.0,237.0,101.0,3.0,44.0,36.0,7.0,113.0,16.0,46.0,12.0,39.0,6.0,18.0,14.0,179.0,50.0,23.0,56.0,22.0
2997,10.0,39.0,47.0,11.0,14.0,24.0,36.0,100.0,124.0,273.0,2.0,16.0,27.0,18.0,38.0,84.0,1.0,31.0,57.0,63.0,4.0,186.0,23.0,90.0,21.0,1088.0,86.0,45.0,105.0,123.0
3046,28.0,589.0,21.0,2.0,153.0,722.0,74.0,314.0,466.0,11.0,29.0,5.0,4.0,114.0,73.0,70.0,15.0,36.0,7.0,37.0,16.0,34.0,43.0,97.0,25.0,47.0,51.0,22.0,13.0,181.0
3095,3.0,8.0,122.0,1.0,6.0,86.0,18.0,59.0,45.0,11.0,0.0,14.0,87.0,13.0,15.0,12.0,10.0,9.0,19.0,142.0,2.0,28.0,33.0,43.0,21.0,65.0,23.0,25.0,63.0,73.0
3144,4.0,1.0,233.0,59.0,111.0,16.0,511.0,82.0,35.0,24.0,11.0,823.0,23.0,72.0,18.0,81.0,194.0,790.0,38.0,45.0,47.0,160.0,10.0,21.0,3.0,28.0,67.0,12.0,8.0,527.0
3193,3.0,19.0,210.0,5.0,43.0,23.0,28.0,21.0,61.0,12.0,0.0,32.0,36.0,6.0,202.0,101.0,7.0,26.0,285.0,153.0,10.0,37.0,4.0,138.0,17.0,333.0,2.0,25.0,55.0,38.0
3242,4.0,7.0,31.0,5.0,0.0,106.0,129.0,44.0,33.0,38.0,1.0,9.0,3.0,113.0,42.0,15.0,112.0,14.0,246.0,82.0,70.0,430.0,11.0,69.0,32.0,76.0,19.0,10.0,8.0,45.0
3291,34.0,36.0,243.0,3.0,18.0,23.0,71.0,25.0,186.0,29.0,21.0,13.0,6.0,11.0,37.0,27.0,12.0,88.0,24.0,39.0,4.0,30.0,0.0,64.0,8.0,48.0,179.0,40.0,54.0,74.0
3340,53.0,79.0,51.0,2.0,396.0,38.0,3.0,10.0,42.0,72.0,17.0,1.0,14.0,930.0,1072.0,11.0,4.0,15.0,0.0,39.0,26.0,134.0,100.0,207.0,44.0,6.0,121.0,547.0,54.0,27.0
3389,18.0,73.0,38.0,2.0,142.0,15.0,36.0,280.0,59.0,27.0,26.0,47.0,20.0,11.0,9.0,121.0,31.0,125.0,60.0,14.0,3.0,114.0,16.0,8.0,51.0,71.0,35.0,70.0,6.0,41.0
3438,0.0,11.0,2.0,18.0,42.0,14.0,19.0,115.0,53.0,97.0,47.0,44.0,147.0,203.0,7.0,1.0,9.0,43.0,38.0,62.0,93.0,29.0,263.0,75.0,69.0,874.0,6.0,83.0,64.0,92.0
3487,4.0,35.0,3.0,37.0,10.0,2.0,13.0,653.0,29.0,41.0,49.0,355.0,12.0,6.0,8.0,7.0,1.0,17.0,21.0,57.0,25.0,56.0,119.0,52.0,27.0,239.0,72.0,259.0,162.0,196.0
3536,2.0,6.0,1.0,409.0,136.0,4.0,12.0,102.0,7.0,356.0,5.0,1666.0,28.0,27.0,29.0,13.0,0.0,155.0,41.0,11.0,197.0,73.0,137.0,3.0,149.0,667.0,10.0,170.0,31.0,139.0
3585,1.0,5.0,0.0,93.0,87.0,12.0,35.0,114.0,25.0,148.0,75.0,26.0,4.0,6.0,68.0,8.0,2.0,46.0,64.0,118.0,9.0,62.0,92.0,14.0,84.0,536.0,17.0,3.0,36.0,159.0
3634,4.0,47.0,0.0,6.0,42.0,90.0,194.0,214.0,16.0,206.0,12.0,159.0,48.0,41.0,17.0,11.0,10.0,37.0,94.0,49.0,25.0,216.0,439.0,19.0,20.0,35.0,45.0,120.0,14.0,68.0
3683,3.0,8.0,10.0,1.0,13.0,48.0,4.0,417.0,7.0,51.0,61.0,59.0,6.0,17.0,12.0,0.0,19.0,16.0,2.0,110.0,23.0,56.0,93.0,63.0,156.0,705.0,69.0,33.0,18.0,38.0
3732,3.0,83.0,2.0,156.0,68.0,1.0,10.0,1332.0,16.0,206.0,60.0,562.0,18.0,7.0,9.0,4.0,0.0,86.0,5.0,105.0,14.0,34.0,123.0,11.0,79.0,38.0,59.0,47.0,78.0,23.0
3781,2.0,5.0,0.0,13.0,1.0,67.0,7.0,136.0,30.0,23.0,43.0,61.0,27.0,91.0,6.0,37.0,11.0,16.0,22.0,94.0,18.0,84.0,197.0,8.0,139.0,299.0,28.0,39.0,78.0,59.0
3830,7.0,25.0,0.0,22.0,2.0,15.0,74.0,705.0,12.0,304.0,51.0,158.0,4.0,1.0,37.0,34.0,10.0,83.0,36.0,72.0,31.0,29.0,148.0,8.0,30.0,241.0,9.0,85.0,61.0,33.0
3879,2.0,0.0,3.0,196.0,247.0,18.0,5.0,72.0,14.0,24.0,51.0,143.0,46.0,49.0,23.0,27.0,17.0,101.0,56.0,30.0,48.0,68.0,1149.0,97.0,116.0,162.0,95.0,7.0,8.0,129.0
3928,10.0,52.0,5.0,4.0,23.0,782.0,0.0,16.0,29.0,8.0,18.0,7.0,27.0,21.0,116.0,138.0,43.0,11.0,1.0,49.0,15.0,87.0,146.0,135.0,115.0,9.0,33.0,42.0,65.0,19.0
3977,0.0,6.0,5.0,20.0,19.0,30.0,21.0,28.0,7.0,4.0,15.0,8.0,71.0,154.0,27.0,56.0,39.0,52.0,3.0,62.0,120.0,898.0,63.0,107.0,93.0,1.0,68.0,119.0,9.0,97.0
4026,10.0,53.0,0.0,3.0,92.0,13.0,28.0,55.0,19.0,22.0,37.0,17.0,32.0,68.0,719.0,25.0,26.0,51.0,4.0,39.0,86.0,61.0,70.0,77.0,8.0,5.0,21.0,160.0,45.0,126.0
4075,15.0,60.0,3.0,7.0,16.0,81.0,0.0,38.0,55.0,2.0,17.0,4.0,10.0,76.0,70.0,33.0,40.0,39.0,1.0,41.0,11.0,128.0,20.0,61.0,64.0,9.0,25.0,43.0,26.0,66.0
4124,1.0,189.0,0.0,37.0,252.0,32.0,6.0,19.0,11.0,45.0,203.0,53.0,40.0,93.0,69.0,18.0,3.0,14.0,25.0,68.0,55.0,257.0,16.0,8.0,192.0,168.0,184.0,1523.0,23.0,557.0
4173,1.0,44.0,3.0,4.0,68.0,12.0,15.0,23.0,43.0,2.0,129.0,21.0,88.0,18.0,47.0,131.0,533.0,113.0,20.0,28.0,25.0,109.0,476.0,31.0,135.0,5.0,72.0,14.0,58.0,147.0
4222,67.0,12.0,1.0,61.0,28.0,139.0,24.0,3.0,59.0,0.0,70.0,41.0,4.0,26.0,83.0,157.0,5.0,260.0,9.0,14.0,141.0,20.0,11.0,8.0,48.0,2.0,121.0,58.0,7.0,55.0
4271,0.0,348.0,106.0,7.0,1102.0,17.0,3.0,74.0,16.0,14.0,18.0,4.0,86.0,9.0,24.0,23.0,57.0,12.0,8.0,48.0,21.0,167.0,409.0,136.0,31.0,6.0,58.0,961.0,90.0,60.0
4320,1.0,19.0,7.0,4.0,3.0,22.0,6.0,80.0,12.0,35.0,87.0,42.0,54.0,85.0,139.0,18.0,90.0,47.0,9.0,403.0,49.0,77.0,211.0,10.0,109.0,28.0,2.0,65.0,119.0,16.0
4369,1.0,47.0,87.0,53.0,10.0,118.0,36.0,42.0,30.0,9.0,248.0,21.0,8.0,13.0,6.0,32.0,2.0,15.0,0.0,34.0,92.0,56.0,83.0,51.0,168.0,5.0,69.0,75.0,23.0,25.0
4418,0.0,1.0,26.0,37.0,24.0,41.0,12.0,16.0,35.0,19.0,33.0,31.0,23.0,881.0,89.0,67.0,108.0,200.0,7.0,34.0,607.0,9.0,46.0,293.0,141.0,4.0,21.0,15.0,156.0,25.0
4467,4.0,259.0,51.0,0.0,50.0,69.0,24.0,18.0,118.0,6.0,8.0,3.0,5.0,199.0,17.0,123.0,224.0,14.0,144.0,29.0,77.0,16.0,88.0,121.0,49.0,28.0,19.0,60.0,170.0,100.0
4516,0.0,21.0,3.0,5.0,19.0,7.0,18.0,41.0,6.0,40.0,4.0,13.0,42.0,123.0,20.0,8.0,422.0,15.0,95.0,2.0,175.0,43.0,170.0,56.0,80.0,76.0,141.0,121.0,117.0,16.0
4565,16.0,0.0,15.0,10.0,11.0,3.0,302.0,13.0,29.0,81.0,8.0,2.0,41.0,1393.0,271.0,21.0,197.0,77.0,23.0,71.0,214.0,6.0,24.0,312.0,63.0,12.0,36.0,97.0,51.0,56.0
4614,8.0,0.0,11.0,50.0,2.0,133.0,142.0,15.0,68.0,27.0,210.0,37.0,9.0,1008.0,7.0,87.0,14.0,90.0,20.0,51.0,74.0,4.0,43.0,192.0,38.0,67.0,63.0,18.0,64.0,39.0
4663,4.0,1.0,3.0,9.0,16.0,27.0,117.0,2.0,25.0,62.0,17.0,0.0,129.0,106.0,164.0,501.0,180.0,10.0,57.0,38.0,97.0,21.0,70.0,318.0,15.0,23.0,7.0,34.0,537.0,6.0
4712,13.0,5.0,6.0,0.0,23.0,53.0,106.0,35.0,81.0,24.0,3.0,1.0,21.0,383.0,20.0,10.0,47.0,31.0,27.0,26.0,97.0,19.0,100.0,384.0,113.0,145.0,8.0,22.0,136.0,52.0
4761,2.0,0.0,47.0,36.0,5.0,10.0,162.0,86.0,7.0,17.0,27.0,3.0,18.0,132.0,21.0,12.0,309.0,28.0,222.0,15.0,325.0,9.0,388.0,198.0,182.0,43.0,55.0,95.0,42.0,40.0
4810,10.0,1.0,12.0,2.0,0.0,16.0,44.0,6.0,21.0,20.0,49.0,7.0,24.0,162.0,22.0,8.0,125.0,19.0,226.0,37.0,109.0,4.0,38.0,130.0,65.0,33.0,18.0,13.0,74.0,14.0
4859,3.0,0.0,7.0,13.0,10.0,12.0,33.0,58.0,18.0,17.0,9.0,6.0,5.0,1280.0,39.0,26.0,211.0,23.0,91.0,137.0,60.0,21.0,36.0,247.0,11.0,38.0,32.0,2.0,55.0,113.0
